# seed=10
# instance=BALANCED
# popSize=50
# generations=100
# crossover=BlockUniform(p=0.75)
# mutation=p0=0.05,pMin=0.002,alpha=0.95
# tournamentK=3
# elitism=2
# lambda_similarity=0.3
# fights_per_team=10
# anchors=5
gen,changes,best_fitness,best_winrate,best_similarity,avg_fitness,worst_fitness,best_genome
0,1,-0.5785,0.8571,0.9289,-0.1616,0.2379,"25 19 30 42 0 25 13 36 29 36 36 11 16 24 32 6 23 31 1 26 42 12 1 16 32 9 5 8 31 39 34 7 36 10 38 36 19 14 10 9 37 11 27 27 21 4 40 11 26 15 41 20 29 14 29 1 9 42 30 13 28 7 29 35 8 18 10 2 31 33 14 22 33 21 41 41 13 21 38 39 33 37 32 2 33 39 40 24 42 26 16 39 17 7 15 20 38 30 40 10 29 8 29 39 11 20 33 6 3 16 26 30 26 37 30 23 34 18 20 10 8 27 37 42 4 15 11 42 7 19 19 41 8 19 31 7 30 15 7 28 31 40 8 38 4 0 27 0 33 3 27 27 42 10 16 29 42 15 32 0 14 32 19 17 35 3 3 17 32 41 36 27 1 24 24 8 15 38 30 17 39 12 10 2 26 32 12 20 9 40 1 2 4 42 6 11 28 29 14 28 0 18 32 16 41 23 11 28 42 15 7 3 22 21 25 39 16 1 9 25 28 2 8 29 24 28 6 17 14 33 2 23 20 42 15 2 19 19 2 24 2 32 2 36 9 13 21 18 23 18 16 19 19 25 22 27 18 20 40 15 42 40 28 42 36 23 5 0 23 14 13 29 13 35 7 23 13 5 40 38 6 6 27 25 22 2 34 18 40 33 14 40 38 16 6 13 14 42 35 36 35 40 38 7 27 7 26 32 15 20 1 7 19 38 25 11 31 34 15 21 41 23 6 35 29 38 6 24 28 18 42 9 0 15 32 11 30 11 30 16 39 41 19 42 1 37 34 3 40 29 13 3 39 31 22 33 8 8 11 27 16 6 7 20 4 17 38 28 31 19 17 25 27 36 6 38 6 36 39 13 29 31 10 4 25 24 9 19 8 38 20 13 13 25 13 7 15 5 41 42 34 24 41 2 26 24 11 14 11 6 37 25 27 5 20 24 2 39 30 10 12 14 8 40 0 25 30 8 5 8 0 41 25 33 2 8 4 29 40 33 1 36 33 21 23 10 39 32 1 14 11 41 34 10 6 32 9 4 39 8 14 20 10 16 17 14 15 24 26 9 14 9 12 8 3 30 26 24 4 34 12 31 40 1 28 22 40 5 16 6 40 29 39 15 25 20 33 26 33 31"
1,2,-0.7540,0.9643,0.7008,-0.4339,-0.2297,"20 37 37 20 4 12 7 2 12 37 10 37 12 12 19 4 9 38 12 20 5 12 12 12 2 4 12 6 2 18 37 12 7 19 19 4 12 2 8 5 4 37 12 9 5 12 9 5 12 4 2 12 14 12 6 6 12 5 2 8 8 4 12 9 7 4 19 20 7 9 7 37 8 8 9 20 37 37 7 4 12 11 2 19 19 12 4 6 7 6 9 6 8 5 9 37 37 12 26 12 31 38 22 40 7 33 26 6 37 31 33 8 25 23 23 21 10 30 35 9 37 9 11 18 0 17 22 4 12 42 27 36 1 2 6 18 42 2 7 25 18 36 23 6 15 33 12 36 19 13 11 36 18 20 11 39 13 15 17 37 25 6 35 41 28 5 41 31 24 29 10 18 0 13 1 42 18 6 17 30 26 26 8 5 15 13 28 19 36 41 37 2 1 32 4 23 31 36 16 32 10 10 12 12 20 2 12 12 18 12 12 12 12 2 21 18 2 2 12 17 12 9 12 11 12 21 36 18 12 11 12 2 4 12 12 10 4 2 9 17 12 12 12 2 2 17 27 12 12 17 21 11 18 17 2 18 18 12 18 18 2 18 12 12 12 2 12 2 12 12 12 12 17 2 12 17 12 12 12 18 10 12 12 12 17 12 22 37 9 12 17 12 12 2 17 12 2 21 12 11 40 30 25 26 12 25 26 40 26 5 25 25 40 25 26 25 26 27 25 37 25 40 40 25 28 25 25 12 12 25 40 4 25 25 40 12 6 28 25 25 25 12 40 30 40 25 25 25 30 25 40 25 12 26 25 25 25 25 25 25 25 26 25 29 25 40 25 25 27 25 40 25 30 27 40 40 26 25 25 14 40 12 25 25 36 26 25 4 25 40 29 36 27 25 25 25 27 26 25 25 8 7 2 9 12 42 23 9 23 2 23 12 9 12 42 7 7 2 42 8 7 8 24 12 12 7 2 2 24 2 2 8 8 7 2 7 12 7 8 2 7 2 2 2 12 2 7 9 2 2 12 8 7 2 24 2 12 7 9 12 42 2 2 2 7 24 2 12 8 2 2 2 12 12 8 7 23 12 2 12 8 2 2 9 7 8 2 2 12 8 12 2 9 2 7 2 7 42 8 23"
2,3,-0.8395,1.0000,0.5351,-0.5190,-0.2812,"7 3 7 25 25 7 7 3 27 7 0 7 7 25 7 7 25 25 25 7 7 7 7 7 25 41 7 7 25 25 7 7 0 25 25 8 25 3 7 7 25 25 0 7 3 25 8 7 2 7 8 7 7 7 8 7 25 25 7 8 7 27 7 25 7 0 7 7 8 27 25 7 27 7 25 7 7 7 25 8 7 25 7 8 7 7 7 7 7 7 7 7 7 11 25 7 7 2 7 0 2 2 5 2 2 6 30 25 2 5 37 25 2 0 2 2 2 2 6 28 25 4 2 2 31 2 28 2 29 3 2 0 2 6 28 25 30 33 27 25 2 25 2 42 37 6 32 31 3 25 0 2 2 28 2 5 28 28 28 2 2 2 30 28 28 2 4 2 1 37 5 38 4 2 2 28 25 2 25 2 26 33 4 2 42 27 2 2 2 2 2 2 25 6 30 25 2 28 28 6 19 35 36 34 19 34 35 34 35 11 9 19 20 34 34 19 19 34 9 19 34 40 40 9 34 35 20 34 34 19 9 36 19 34 19 34 29 34 34 34 10 9 9 19 2 11 28 34 34 28 19 36 34 34 19 19 29 34 35 19 34 19 30 36 34 20 38 20 34 19 19 34 34 34 34 34 10 34 34 9 34 34 36 35 34 35 34 34 20 19 20 34 34 9 19 36 34 34 5 34 13 25 25 11 25 9 9 1 0 9 25 27 25 12 0 9 25 3 31 25 3 25 25 25 1 25 9 25 25 25 12 12 25 9 12 11 25 9 12 13 27 23 9 9 25 27 25 25 23 27 26 9 26 27 25 25 27 25 3 26 25 25 25 26 27 24 25 25 25 25 25 27 25 26 23 27 25 25 13 25 25 11 26 12 25 25 25 27 10 25 25 9 24 26 26 25 23 9 25 26 42 34 34 42 36 34 42 4 42 4 4 15 2 42 42 42 42 37 42 42 42 42 34 14 36 42 37 34 4 4 2 34 5 42 5 42 34 35 42 2 42 42 37 42 34 36 14 35 34 42 42 2 42 34 12 34 2 42 42 4 42 34 34 42 42 6 34 42 42 42 42 42 5 42 42 28 2 42 2 4 42 42 35 36 34 42 42 34 5 34 42 12 42 34 5 34 42 4 34 42"
3,3,-0.8091,1.0000,0.6362,-0.5330,-0.3132,"7 3 7 25 25 7 7 3 27 7 0 7 7 25 7 7 25 25 25 7 7 7 7 7 25 41 7 7 25 25 7 7 0 25 25 8 25 3 7 7 25 25 0 7 3 25 8 7 2 7 8 7 7 7 8 7 25 25 7 8 7 27 7 25 7 0 7 7 8 27 25 7 27 7 25 7 7 7 25 8 7 25 7 8 7 7 7 7 7 7 7 7 7 11 25 7 7 2 7 0 2 2 5 2 2 6 30 25 2 5 37 25 2 0 2 2 2 2 6 28 25 4 2 2 31 2 28 2 29 3 2 0 2 6 28 25 30 33 27 25 2 25 2 42 37 6 32 31 3 25 0 2 2 28 2 5 28 28 28 2 2 2 30 28 28 2 4 2 1 37 5 38 4 2 2 28 25 2 25 2 26 33 4 2 42 27 2 2 2 2 2 2 25 6 30 25 2 28 28 6 19 35 36 34 19 34 35 34 35 11 9 19 20 34 34 19 19 34 9 19 34 40 40 9 34 35 20 34 34 19 9 36 19 34 19 34 29 34 34 34 10 9 9 19 2 11 28 34 34 28 19 36 34 34 19 19 29 34 35 19 34 19 30 36 34 20 38 20 34 19 19 34 34 34 34 34 10 34 34 9 34 34 36 35 34 35 34 34 20 19 20 34 34 9 19 36 34 34 5 34 13 25 25 11 25 9 9 1 0 9 25 27 25 12 0 9 25 3 31 25 3 25 25 25 1 25 9 25 25 25 12 12 25 9 12 11 25 9 12 13 27 23 9 9 25 27 25 25 23 27 26 9 26 27 25 25 27 25 3 26 25 25 25 26 27 24 25 25 25 25 25 27 25 26 23 27 25 25 13 25 25 11 26 12 25 25 25 27 10 25 25 9 24 26 26 25 23 9 25 26 42 34 34 42 36 34 42 4 42 4 4 15 2 42 42 42 42 37 42 42 42 42 34 14 36 42 37 34 4 4 2 34 5 42 5 42 34 35 42 2 42 42 37 42 34 36 14 35 34 42 42 2 42 34 12 34 2 42 42 4 42 34 34 42 42 6 34 42 42 42 42 42 5 42 42 28 2 42 2 4 42 42 35 36 34 42 42 34 5 34 42 12 42 34 5 34 42 4 34 42"
4,3,-0.7823,1.0000,0.7257,-0.5136,-0.2493,"7 3 7 25 25 7 7 3 27 7 0 7 7 25 7 7 25 25 25 7 7 7 7 7 25 41 7 7 25 25 7 7 0 25 25 8 25 3 7 7 25 25 0 7 3 25 8 7 2 7 8 7 7 7 8 7 25 25 7 8 7 27 7 25 7 0 7 7 8 27 25 7 27 7 25 7 7 7 25 8 7 25 7 8 7 7 7 7 7 7 7 7 7 11 25 7 7 2 7 0 2 2 5 2 2 6 30 25 2 5 37 25 2 0 2 2 2 2 6 28 25 4 2 2 31 2 28 2 29 3 2 0 2 6 28 25 30 33 27 25 2 25 2 42 37 6 32 31 3 25 0 2 2 28 2 5 28 28 28 2 2 2 30 28 28 2 4 2 1 37 5 38 4 2 2 28 25 2 25 2 26 33 4 2 42 27 2 2 2 2 2 2 25 6 30 25 2 28 28 6 19 35 36 34 19 34 35 34 35 11 9 19 20 34 34 19 19 34 9 19 34 40 40 9 34 35 20 34 34 19 9 36 19 34 19 34 29 34 34 34 10 9 9 19 2 11 28 34 34 28 19 36 34 34 19 19 29 34 35 19 34 19 30 36 34 20 38 20 34 19 19 34 34 34 34 34 10 34 34 9 34 34 36 35 34 35 34 34 20 19 20 34 34 9 19 36 34 34 5 34 13 25 25 11 25 9 9 1 0 9 25 27 25 12 0 9 25 3 31 25 3 25 25 25 1 25 9 25 25 25 12 12 25 9 12 11 25 9 12 13 27 23 9 9 25 27 25 25 23 27 26 9 26 27 25 25 27 25 3 26 25 25 25 26 27 24 25 25 25 25 25 27 25 26 23 27 25 25 13 25 25 11 26 12 25 25 25 27 10 25 25 9 24 26 26 25 23 9 25 26 42 34 34 42 36 34 42 4 42 4 4 15 2 42 42 42 42 37 42 42 42 42 34 14 36 42 37 34 4 4 2 34 5 42 5 42 34 35 42 2 42 42 37 42 34 36 14 35 34 42 42 2 42 34 12 34 2 42 42 4 42 34 34 42 42 6 34 42 42 42 42 42 5 42 42 28 2 42 2 4 42 42 35 36 34 42 42 34 5 34 42 12 42 34 5 34 42 4 34 42"
5,3,-0.7923,1.0000,0.6922,-0.5201,-0.2611,"7 3 7 25 25 7 7 3 27 7 0 7 7 25 7 7 25 25 25 7 7 7 7 7 25 41 7 7 25 25 7 7 0 25 25 8 25 3 7 7 25 25 0 7 3 25 8 7 2 7 8 7 7 7 8 7 25 25 7 8 7 27 7 25 7 0 7 7 8 27 25 7 27 7 25 7 7 7 25 8 7 25 7 8 7 7 7 7 7 7 7 7 7 11 25 7 7 2 7 0 2 2 5 2 2 6 30 25 2 5 37 25 2 0 2 2 2 2 6 28 25 4 2 2 31 2 28 2 29 3 2 0 2 6 28 25 30 33 27 25 2 25 2 42 37 6 32 31 3 25 0 2 2 28 2 5 28 28 28 2 2 2 30 28 28 2 4 2 1 37 5 38 4 2 2 28 25 2 25 2 26 33 4 2 42 27 2 2 2 2 2 2 25 6 30 25 2 28 28 6 19 35 36 34 19 34 35 34 35 11 9 19 20 34 34 19 19 34 9 19 34 40 40 9 34 35 20 34 34 19 9 36 19 34 19 34 29 34 34 34 10 9 9 19 2 11 28 34 34 28 19 36 34 34 19 19 29 34 35 19 34 19 30 36 34 20 38 20 34 19 19 34 34 34 34 34 10 34 34 9 34 34 36 35 34 35 34 34 20 19 20 34 34 9 19 36 34 34 5 34 13 25 25 11 25 9 9 1 0 9 25 27 25 12 0 9 25 3 31 25 3 25 25 25 1 25 9 25 25 25 12 12 25 9 12 11 25 9 12 13 27 23 9 9 25 27 25 25 23 27 26 9 26 27 25 25 27 25 3 26 25 25 25 26 27 24 25 25 25 25 25 27 25 26 23 27 25 25 13 25 25 11 26 12 25 25 25 27 10 25 25 9 24 26 26 25 23 9 25 26 42 34 34 42 36 34 42 4 42 4 4 15 2 42 42 42 42 37 42 42 42 42 34 14 36 42 37 34 4 4 2 34 5 42 5 42 34 35 42 2 42 42 37 42 34 36 14 35 34 42 42 2 42 34 12 34 2 42 42 4 42 34 34 42 42 6 34 42 42 42 42 42 5 42 42 28 2 42 2 4 42 42 35 36 34 42 42 34 5 34 42 12 42 34 5 34 42 4 34 42"
6,3,-0.8257,1.0000,0.5811,-0.5265,-0.2796,"7 3 7 25 25 7 7 3 27 7 0 7 7 25 7 7 25 25 25 7 7 7 7 7 25 41 7 7 25 25 7 7 0 25 25 8 25 3 7 7 25 25 0 7 3 25 8 7 2 7 8 7 7 7 8 7 25 25 7 8 7 27 7 25 7 0 7 7 8 27 25 7 27 7 25 7 7 7 25 8 7 25 7 8 7 7 7 7 7 7 7 7 7 11 25 7 7 2 7 0 2 2 5 2 2 6 30 25 2 5 37 25 2 0 2 2 2 2 6 28 25 4 2 2 31 2 28 2 29 3 2 0 2 6 28 25 30 33 27 25 2 25 2 42 37 6 32 31 3 25 0 2 2 28 2 5 28 28 28 2 2 2 30 28 28 2 4 2 1 37 5 38 4 2 2 28 25 2 25 2 26 33 4 2 42 27 2 2 2 2 2 2 25 6 30 25 2 28 28 6 19 35 36 34 19 34 35 34 35 11 9 19 20 34 34 19 19 34 9 19 34 40 40 9 34 35 20 34 34 19 9 36 19 34 19 34 29 34 34 34 10 9 9 19 2 11 28 34 34 28 19 36 34 34 19 19 29 34 35 19 34 19 30 36 34 20 38 20 34 19 19 34 34 34 34 34 10 34 34 9 34 34 36 35 34 35 34 34 20 19 20 34 34 9 19 36 34 34 5 34 13 25 25 11 25 9 9 1 0 9 25 27 25 12 0 9 25 3 31 25 3 25 25 25 1 25 9 25 25 25 12 12 25 9 12 11 25 9 12 13 27 23 9 9 25 27 25 25 23 27 26 9 26 27 25 25 27 25 3 26 25 25 25 26 27 24 25 25 25 25 25 27 25 26 23 27 25 25 13 25 25 11 26 12 25 25 25 27 10 25 25 9 24 26 26 25 23 9 25 26 42 34 34 42 36 34 42 4 42 4 4 15 2 42 42 42 42 37 42 42 42 42 34 14 36 42 37 34 4 4 2 34 5 42 5 42 34 35 42 2 42 42 37 42 34 36 14 35 34 42 42 2 42 34 12 34 2 42 42 4 42 34 34 42 42 6 34 42 42 42 42 42 5 42 42 28 2 42 2 4 42 42 35 36 34 42 42 34 5 34 42 12 42 34 5 34 42 4 34 42"
7,3,-0.7880,1.0000,0.7068,-0.5199,-0.2887,"7 3 7 25 25 7 7 3 27 7 0 7 7 25 7 7 25 25 25 7 7 7 7 7 25 41 7 7 25 25 7 7 0 25 25 8 25 3 7 7 25 25 0 7 3 25 8 7 2 7 8 7 7 7 8 7 25 25 7 8 7 27 7 25 7 0 7 7 8 27 25 7 27 7 25 7 7 7 25 8 7 25 7 8 7 7 7 7 7 7 7 7 7 11 25 7 7 2 7 0 2 2 5 2 2 6 30 25 2 5 37 25 2 0 2 2 2 2 6 28 25 4 2 2 31 2 28 2 29 3 2 0 2 6 28 25 30 33 27 25 2 25 2 42 37 6 32 31 3 25 0 2 2 28 2 5 28 28 28 2 2 2 30 28 28 2 4 2 1 37 5 38 4 2 2 28 25 2 25 2 26 33 4 2 42 27 2 2 2 2 2 2 25 6 30 25 2 28 28 6 19 35 36 34 19 34 35 34 35 11 9 19 20 34 34 19 19 34 9 19 34 40 40 9 34 35 20 34 34 19 9 36 19 34 19 34 29 34 34 34 10 9 9 19 2 11 28 34 34 28 19 36 34 34 19 19 29 34 35 19 34 19 30 36 34 20 38 20 34 19 19 34 34 34 34 34 10 34 34 9 34 34 36 35 34 35 34 34 20 19 20 34 34 9 19 36 34 34 5 34 13 25 25 11 25 9 9 1 0 9 25 27 25 12 0 9 25 3 31 25 3 25 25 25 1 25 9 25 25 25 12 12 25 9 12 11 25 9 12 13 27 23 9 9 25 27 25 25 23 27 26 9 26 27 25 25 27 25 3 26 25 25 25 26 27 24 25 25 25 25 25 27 25 26 23 27 25 25 13 25 25 11 26 12 25 25 25 27 10 25 25 9 24 26 26 25 23 9 25 26 42 34 34 42 36 34 42 4 42 4 4 15 2 42 42 42 42 37 42 42 42 42 34 14 36 42 37 34 4 4 2 34 5 42 5 42 34 35 42 2 42 42 37 42 34 36 14 35 34 42 42 2 42 34 12 34 2 42 42 4 42 34 34 42 42 6 34 42 42 42 42 42 5 42 42 28 2 42 2 4 42 42 35 36 34 42 42 34 5 34 42 12 42 34 5 34 42 4 34 42"
8,3,-0.7956,1.0000,0.6814,-0.5088,-0.3250,"7 3 7 25 25 7 7 3 27 7 0 7 7 25 7 7 25 25 25 7 7 7 7 7 25 41 7 7 25 25 7 7 0 25 25 8 25 3 7 7 25 25 0 7 3 25 8 7 2 7 8 7 7 7 8 7 25 25 7 8 7 27 7 25 7 0 7 7 8 27 25 7 27 7 25 7 7 7 25 8 7 25 7 8 7 7 7 7 7 7 7 7 7 11 25 7 7 2 7 0 2 2 5 2 2 6 30 25 2 5 37 25 2 0 2 2 2 2 6 28 25 4 2 2 31 2 28 2 29 3 2 0 2 6 28 25 30 33 27 25 2 25 2 42 37 6 32 31 3 25 0 2 2 28 2 5 28 28 28 2 2 2 30 28 28 2 4 2 1 37 5 38 4 2 2 28 25 2 25 2 26 33 4 2 42 27 2 2 2 2 2 2 25 6 30 25 2 28 28 6 19 35 36 34 19 34 35 34 35 11 9 19 20 34 34 19 19 34 9 19 34 40 40 9 34 35 20 34 34 19 9 36 19 34 19 34 29 34 34 34 10 9 9 19 2 11 28 34 34 28 19 36 34 34 19 19 29 34 35 19 34 19 30 36 34 20 38 20 34 19 19 34 34 34 34 34 10 34 34 9 34 34 36 35 34 35 34 34 20 19 20 34 34 9 19 36 34 34 5 34 13 25 25 11 25 9 9 1 0 9 25 27 25 12 0 9 25 3 31 25 3 25 25 25 1 25 9 25 25 25 12 12 25 9 12 11 25 9 12 13 27 23 9 9 25 27 25 25 23 27 26 9 26 27 25 25 27 25 3 26 25 25 25 26 27 24 25 25 25 25 25 27 25 26 23 27 25 25 13 25 25 11 26 12 25 25 25 27 10 25 25 9 24 26 26 25 23 9 25 26 42 34 34 42 36 34 42 4 42 4 4 15 2 42 42 42 42 37 42 42 42 42 34 14 36 42 37 34 4 4 2 34 5 42 5 42 34 35 42 2 42 42 37 42 34 36 14 35 34 42 42 2 42 34 12 34 2 42 42 4 42 34 34 42 42 6 34 42 42 42 42 42 5 42 42 28 2 42 2 4 42 42 35 36 34 42 42 34 5 34 42 12 42 34 5 34 42 4 34 42"
9,3,-0.8057,1.0000,0.6476,-0.5134,-0.3146,"7 3 7 25 25 7 7 3 27 7 0 7 7 25 7 7 25 25 25 7 7 7 7 7 25 41 7 7 25 25 7 7 0 25 25 8 25 3 7 7 25 25 0 7 3 25 8 7 2 7 8 7 7 7 8 7 25 25 7 8 7 27 7 25 7 0 7 7 8 27 25 7 27 7 25 7 7 7 25 8 7 25 7 8 7 7 7 7 7 7 7 7 7 11 25 7 7 2 7 0 2 2 5 2 2 6 30 25 2 5 37 25 2 0 2 2 2 2 6 28 25 4 2 2 31 2 28 2 29 3 2 0 2 6 28 25 30 33 27 25 2 25 2 42 37 6 32 31 3 25 0 2 2 28 2 5 28 28 28 2 2 2 30 28 28 2 4 2 1 37 5 38 4 2 2 28 25 2 25 2 26 33 4 2 42 27 2 2 2 2 2 2 25 6 30 25 2 28 28 6 19 35 36 34 19 34 35 34 35 11 9 19 20 34 34 19 19 34 9 19 34 40 40 9 34 35 20 34 34 19 9 36 19 34 19 34 29 34 34 34 10 9 9 19 2 11 28 34 34 28 19 36 34 34 19 19 29 34 35 19 34 19 30 36 34 20 38 20 34 19 19 34 34 34 34 34 10 34 34 9 34 34 36 35 34 35 34 34 20 19 20 34 34 9 19 36 34 34 5 34 13 25 25 11 25 9 9 1 0 9 25 27 25 12 0 9 25 3 31 25 3 25 25 25 1 25 9 25 25 25 12 12 25 9 12 11 25 9 12 13 27 23 9 9 25 27 25 25 23 27 26 9 26 27 25 25 27 25 3 26 25 25 25 26 27 24 25 25 25 25 25 27 25 26 23 27 25 25 13 25 25 11 26 12 25 25 25 27 10 25 25 9 24 26 26 25 23 9 25 26 42 34 34 42 36 34 42 4 42 4 4 15 2 42 42 42 42 37 42 42 42 42 34 14 36 42 37 34 4 4 2 34 5 42 5 42 34 35 42 2 42 42 37 42 34 36 14 35 34 42 42 2 42 34 12 34 2 42 42 4 42 34 34 42 42 6 34 42 42 42 42 42 5 42 42 28 2 42 2 4 42 42 35 36 34 42 42 34 5 34 42 12 42 34 5 34 42 4 34 42"
