# seed=13
# instance=EXPONENTIAL
# popSize=50
# generations=100
# crossover=BlockUniform(p=0.25)
# mutation=p0=0.05,pMin=0.002,alpha=0.95
# tournamentK=3
# elitism=2
# lambda_similarity=0.3
# fights_per_team=10
# anchors=5
gen,changes,best_fitness,best_winrate,best_similarity,avg_fitness,worst_fitness,best_genome
0,1,-0.5593,0.8333,0.9136,-0.1447,0.2776,"24 7 38 35 13 34 40 20 30 28 25 1 13 34 31 3 40 26 20 37 39 13 26 20 10 16 30 15 10 0 27 23 2 35 18 36 1 19 28 19 13 16 35 21 27 1 19 11 38 36 39 18 17 30 38 36 1 36 18 24 19 31 20 27 34 26 35 5 23 30 5 0 17 31 5 22 5 7 17 26 30 29 16 1 39 10 8 35 39 21 6 39 16 3 29 19 3 3 6 25 16 42 25 4 35 39 22 19 22 26 2 30 1 14 26 14 2 41 26 21 35 13 0 9 22 40 13 21 34 35 23 23 10 33 18 28 37 10 40 20 8 31 6 13 25 2 8 21 6 37 7 6 32 18 6 16 19 38 32 28 12 16 24 1 21 34 6 16 29 13 18 36 7 11 25 23 2 17 18 18 6 11 24 24 42 3 7 2 2 16 20 0 20 18 26 9 21 13 21 31 26 6 12 41 42 24 14 35 26 32 10 13 33 3 29 16 39 16 28 27 1 12 35 2 6 9 35 6 14 7 7 40 29 11 16 24 22 39 27 22 39 35 16 18 30 1 25 19 30 25 32 21 11 36 4 35 31 29 31 6 34 24 17 38 10 13 29 22 6 34 20 40 38 33 1 7 29 32 4 0 39 5 2 12 6 39 24 20 37 13 4 5 18 30 32 14 0 11 34 2 33 9 40 42 1 12 19 10 38 5 41 11 2 5 9 1 32 16 27 32 15 16 37 36 5 0 25 41 32 30 23 24 26 5 21 1 31 22 20 7 8 36 40 19 9 28 42 8 0 37 18 41 38 3 39 18 15 37 12 38 26 28 37 8 22 36 18 5 22 2 0 7 31 35 36 39 38 36 26 34 34 14 12 17 18 10 8 30 0 37 4 18 3 22 15 37 7 27 34 36 31 23 32 17 35 1 7 23 24 35 1 34 13 33 28 30 10 18 31 33 36 37 38 16 25 6 12 18 1 38 4 16 34 3 25 12 35 27 4 0 16 32 40 31 21 8 19 1 20 0 42 40 36 16 0 28 24 20 7 19 10 36 23 42 23 0 1 30 35 3 1 3 2 0 27 35 36 21 7 28 28 16 21 12 30 21 5 11 0 33 3 35 39 4 27 38 1 14 8 4"
1,2,-0.7024,0.9231,0.7356,-0.4163,-0.2182,"37 2 2 9 10 37 5 2 2 5 5 10 2 2 4 4 9 2 2 2 2 2 6 2 4 2 2 9 5 6 9 37 2 2 9 10 37 9 9 34 9 9 12 2 9 2 5 2 2 2 0 28 9 2 35 2 2 9 9 2 9 2 2 12 37 9 9 6 2 2 9 2 2 6 9 2 2 37 28 6 2 2 2 10 28 9 2 2 2 2 11 9 37 9 2 2 11 2 12 2 16 31 12 12 12 36 31 12 34 34 12 34 34 36 31 31 32 21 34 31 12 15 12 36 16 36 35 35 35 12 36 12 35 12 12 16 16 16 16 31 31 35 35 16 34 40 35 33 31 12 32 16 34 12 35 12 16 34 12 34 35 16 12 34 34 34 34 16 34 12 5 36 12 34 16 31 16 16 31 12 34 40 12 34 36 34 34 36 31 34 36 40 12 34 16 21 34 16 16 34 23 23 12 42 24 24 23 12 24 12 42 12 12 23 12 24 12 23 24 12 12 12 12 24 12 23 12 12 12 5 12 12 19 42 24 23 23 24 24 12 12 23 15 24 12 24 23 42 24 12 42 23 24 24 24 12 42 23 12 26 12 12 12 23 6 12 42 12 12 24 24 4 12 12 12 12 24 12 24 23 23 12 12 42 12 12 12 42 12 12 12 7 12 23 24 12 12 14 12 24 1 38 38 5 3 25 25 13 8 4 13 11 40 1 3 4 9 25 26 37 24 1 38 1 26 5 0 41 38 5 37 4 23 25 5 38 25 13 19 24 38 13 25 38 1 5 13 6 25 13 27 19 41 27 6 13 27 34 25 25 0 22 25 38 31 31 0 0 4 18 4 4 1 2 3 4 13 13 25 6 38 25 6 1 27 25 2 38 25 30 5 39 28 38 0 13 27 13 3 1 2 12 3 12 31 0 37 6 0 0 25 27 0 6 12 37 0 3 17 0 30 12 12 12 0 17 18 0 5 17 5 12 37 12 2 3 25 6 12 12 17 25 17 0 5 0 3 0 5 0 3 12 0 5 3 0 3 0 0 37 5 3 2 3 26 0 0 0 3 17 0 3 12 12 18 3 41 12 3 5 25 5 6 3 0 0 12 12 25 12 2 17 5 3 17 2 0 26 3 2"
2,3,-0.7635,0.9565,0.6435,-0.4556,-0.2594,"26 25 17 26 25 17 25 25 26 25 26 25 26 18 25 25 25 25 25 26 17 25 25 25 26 32 2 25 14 25 18 26 25 25 9 25 25 25 25 25 25 17 27 25 25 25 17 25 31 25 25 27 25 25 25 25 25 9 17 18 26 25 10 9 17 25 2 27 25 17 17 18 25 25 25 2 18 17 25 25 25 18 27 25 25 26 25 25 18 25 25 17 31 26 25 25 25 27 18 17 27 26 25 25 2 25 2 4 25 15 6 25 25 25 2 25 25 26 27 25 26 26 25 2 2 26 25 25 25 25 25 27 15 25 22 27 2 37 25 25 2 12 26 37 25 2 25 14 14 25 25 25 27 25 25 25 25 15 25 2 25 25 27 2 26 26 2 2 26 22 27 25 25 12 25 27 25 2 27 25 25 12 25 25 25 25 22 25 22 27 25 25 2 12 26 6 25 25 2 12 41 28 38 29 24 12 12 12 13 29 28 28 28 30 24 30 24 12 29 28 28 28 28 28 8 28 28 28 30 28 41 30 12 28 21 28 29 28 28 24 11 12 28 28 28 28 30 30 23 0 29 28 24 23 28 28 28 28 28 28 28 28 28 41 28 0 41 29 29 29 10 29 12 24 28 24 12 28 28 35 10 13 28 28 29 23 12 30 12 28 28 28 12 23 12 12 28 28 28 28 12 12 12 22 12 12 34 35 40 12 40 35 31 21 12 34 31 12 12 35 23 12 12 12 12 34 31 34 12 12 36 13 40 31 12 12 32 21 31 12 35 12 34 12 34 12 12 36 40 22 36 22 12 35 22 23 12 36 22 12 12 36 12 41 36 35 12 34 34 33 40 36 36 12 12 12 22 12 31 12 31 35 21 34 12 21 12 12 40 35 12 40 34 12 31 40 12 12 40 36 0 40 38 38 40 15 15 40 40 19 19 0 3 40 13 38 0 13 19 12 19 12 40 14 14 25 17 1 14 13 17 19 15 12 40 1 15 13 3 2 22 0 18 2 19 13 40 40 17 19 19 14 19 40 19 17 38 38 12 19 19 38 40 17 1 15 38 14 1 1 15 1 38 22 19 38 38 12 1 1 15 17 38 19 17 0 17 40 40 17 40 22 19 13 15 15 15 40 15 14"
3,3,-0.7236,0.8800,0.5212,-0.4807,-0.2320,"26 25 17 26 25 17 25 25 26 25 26 25 26 18 25 25 25 25 25 26 17 25 25 25 26 32 2 25 14 25 18 26 25 25 9 25 25 25 25 25 25 17 27 25 25 25 17 25 31 25 25 27 25 25 25 25 25 9 17 18 26 25 10 9 17 25 2 27 25 17 17 18 25 25 25 2 18 17 25 25 25 18 27 25 25 26 25 25 18 25 25 17 31 26 25 25 25 27 18 17 27 26 25 25 2 25 2 4 25 15 6 25 25 25 2 25 25 26 27 25 26 26 25 2 2 26 25 25 25 25 25 27 15 25 22 27 2 37 25 25 2 12 26 37 25 2 25 14 14 25 25 25 27 25 25 25 25 15 25 2 25 25 27 2 26 26 2 2 26 22 27 25 25 12 25 27 25 2 27 25 25 12 25 25 25 25 22 25 22 27 25 25 2 12 26 6 25 25 2 12 41 28 38 29 24 12 12 12 13 29 28 28 28 30 24 30 24 12 29 28 28 28 28 28 8 28 28 28 30 28 41 30 12 28 21 28 29 28 28 24 11 12 28 28 28 28 30 30 23 0 29 28 24 23 28 28 28 28 28 28 28 28 28 41 28 0 41 29 29 29 10 29 12 24 28 24 12 28 28 35 10 13 28 28 29 23 12 30 12 28 28 28 12 23 12 12 28 28 28 28 12 12 12 22 12 12 34 35 40 12 40 35 31 21 12 34 31 12 12 35 23 12 12 12 12 34 31 34 12 12 36 13 40 31 12 12 32 21 31 12 35 12 34 12 34 12 12 36 40 22 36 22 12 35 22 23 12 36 22 12 12 36 12 41 36 35 12 34 34 33 40 36 36 12 12 12 22 12 31 12 31 35 21 34 12 21 12 12 40 35 12 40 34 12 31 40 12 12 40 36 0 40 38 38 40 15 15 40 40 19 19 0 3 40 13 38 0 13 19 12 19 12 40 14 14 25 17 1 14 13 17 19 15 12 40 1 15 13 3 2 22 0 18 2 19 13 40 40 17 19 19 14 19 40 19 17 38 38 12 19 19 38 40 17 1 15 38 14 1 1 15 1 38 22 19 38 38 12 1 1 15 17 38 19 17 0 17 40 40 17 40 22 19 13 15 15 15 40 15 14"
4,4,-0.8185,1.0000,0.6050,-0.4809,-0.2693,"9 5 2 42 2 2 2 42 42 42 2 2 42 2 2 10 2 2 11 42 2 2 42 2 42 40 38 9 11 5 11 2 6 2 9 2 2 2 2 2 37 9 2 9 10 0 10 15 42 6 2 2 10 13 2 4 2 2 5 10 10 11 37 11 10 42 37 42 37 2 9 2 2 2 4 38 1 2 2 9 10 11 10 42 2 2 9 5 42 2 2 2 2 4 2 15 9 11 2 2 10 2 20 2 9 19 13 11 9 19 38 2 1 2 19 38 9 13 11 19 11 3 2 9 2 3 2 2 9 0 9 9 38 2 2 38 0 13 2 9 9 0 17 38 2 10 19 3 9 2 9 2 9 2 38 1 2 9 13 9 11 9 2 10 2 38 1 38 0 2 9 0 1 2 38 9 9 10 0 19 1 11 13 2 9 9 11 13 9 2 9 2 12 13 9 0 9 19 3 38 13 25 5 25 3 27 25 34 26 38 0 25 27 27 25 25 25 25 26 2 1 34 25 26 39 26 0 27 25 26 26 25 0 25 27 12 25 25 25 25 25 25 25 2 39 0 25 3 27 25 27 25 25 13 38 4 25 27 0 13 25 25 25 26 27 0 0 25 25 25 25 25 27 27 25 0 0 25 27 12 25 25 0 38 1 26 2 27 5 12 26 35 35 25 25 25 25 25 13 3 2 12 11 2 26 11 9 21 21 2 40 25 21 9 9 2 11 10 2 2 11 25 22 6 2 21 2 2 2 9 2 22 9 2 25 2 22 10 12 2 10 21 40 21 25 2 2 2 2 2 25 9 10 21 9 2 2 21 40 9 21 2 22 12 11 2 2 2 25 2 2 21 21 2 22 9 25 25 12 2 2 10 2 2 21 22 9 25 21 22 22 2 2 22 2 27 25 14 21 21 2 2 41 2 2 2 8 2 2 2 2 2 2 23 2 5 5 5 2 2 37 2 5 12 2 2 2 31 2 12 5 2 2 2 23 2 2 2 2 2 8 2 2 2 2 2 37 12 35 32 5 5 2 4 33 37 2 23 37 2 4 6 2 2 5 2 2 2 8 2 2 4 2 5 6 8 2 2 2 2 4 2 2 2 2 8 2 2 32 2 41 2 2 2 2 2 12 2 2 2"
5,4,-0.7536,0.9259,0.5743,-0.4641,-0.2794,"9 5 2 42 2 2 2 42 42 42 2 2 42 2 2 10 2 2 11 42 2 2 42 2 42 40 38 9 11 5 11 2 6 2 9 2 2 2 2 2 37 9 2 9 10 0 10 15 42 6 2 2 10 13 2 4 2 2 5 10 10 11 37 11 10 42 37 42 37 2 9 2 2 2 4 38 1 2 2 9 10 11 10 42 2 2 9 5 42 2 2 2 2 4 2 15 9 11 2 2 10 2 20 2 9 19 13 11 9 19 38 2 1 2 19 38 9 13 11 19 11 3 2 9 2 3 2 2 9 0 9 9 38 2 2 38 0 13 2 9 9 0 17 38 2 10 19 3 9 2 9 2 9 2 38 1 2 9 13 9 11 9 2 10 2 38 1 38 0 2 9 0 1 2 38 9 9 10 0 19 1 11 13 2 9 9 11 13 9 2 9 2 12 13 9 0 9 19 3 38 13 25 5 25 3 27 25 34 26 38 0 25 27 27 25 25 25 25 26 2 1 34 25 26 39 26 0 27 25 26 26 25 0 25 27 12 25 25 25 25 25 25 25 2 39 0 25 3 27 25 27 25 25 13 38 4 25 27 0 13 25 25 25 26 27 0 0 25 25 25 25 25 27 27 25 0 0 25 27 12 25 25 0 38 1 26 2 27 5 12 26 35 35 25 25 25 25 25 13 3 2 12 11 2 26 11 9 21 21 2 40 25 21 9 9 2 11 10 2 2 11 25 22 6 2 21 2 2 2 9 2 22 9 2 25 2 22 10 12 2 10 21 40 21 25 2 2 2 2 2 25 9 10 21 9 2 2 21 40 9 21 2 22 12 11 2 2 2 25 2 2 21 21 2 22 9 25 25 12 2 2 10 2 2 21 22 9 25 21 22 22 2 2 22 2 27 25 14 21 21 2 2 41 2 2 2 8 2 2 2 2 2 2 23 2 5 5 5 2 2 37 2 5 12 2 2 2 31 2 12 5 2 2 2 23 2 2 2 2 2 8 2 2 2 2 2 37 12 35 32 5 5 2 4 33 37 2 23 37 2 4 6 2 2 5 2 2 2 8 2 2 4 2 5 6 8 2 2 2 2 4 2 2 2 2 8 2 2 32 2 41 2 2 2 2 2 12 2 2 2"
6,5,-0.8193,1.0000,0.6025,-0.4959,-0.2790,"12 16 25 12 3 25 16 12 16 25 25 25 25 25 25 26 12 16 12 25 16 5 12 16 25 12 12 27 26 13 25 25 12 3 12 12 25 34 12 16 37 25 12 5 16 4 12 4 16 25 25 25 25 12 27 42 26 12 25 25 4 12 25 16 27 16 12 16 27 26 25 38 6 26 25 16 34 16 25 25 25 25 25 25 16 12 25 25 25 25 38 16 25 16 26 12 12 27 25 38 21 6 24 22 2 2 21 4 22 21 21 21 5 21 21 22 21 2 21 2 21 2 21 21 22 2 21 31 22 37 31 2 21 22 21 31 5 2 21 2 22 33 21 37 2 5 31 31 2 21 21 21 22 21 21 2 31 22 32 2 22 26 2 21 21 23 32 2 33 21 21 5 32 6 21 2 32 21 21 21 2 21 21 31 21 21 2 21 21 22 22 21 21 2 21 5 21 2 21 21 4 5 2 5 5 2 2 37 2 2 2 4 2 2 2 2 6 6 2 2 2 42 2 37 42 2 6 4 2 42 42 2 2 6 2 2 4 5 42 0 2 37 42 5 2 37 2 2 2 2 2 4 4 2 2 4 2 37 2 2 4 37 2 4 2 4 4 42 2 37 5 2 15 2 2 2 2 2 2 37 2 42 2 2 2 37 4 4 2 25 2 2 4 37 5 2 2 5 37 2 17 17 37 16 12 17 17 37 37 31 16 16 23 4 19 42 42 31 5 6 19 5 12 19 19 19 37 14 14 17 4 15 15 6 14 19 15 15 31 17 31 15 6 15 2 5 15 17 14 14 31 15 17 19 5 16 6 4 2 14 31 15 15 37 15 16 12 31 15 14 2 16 6 14 5 6 5 17 6 17 4 17 42 17 37 12 12 14 31 19 17 4 14 14 31 19 16 5 37 2 23 31 24 33 31 23 39 39 23 31 23 24 23 23 23 31 24 39 23 31 23 23 33 31 23 31 23 31 23 23 23 24 23 23 31 31 31 33 24 39 24 31 37 23 32 23 23 39 23 23 31 24 23 23 23 23 24 39 23 41 23 24 31 23 23 24 23 23 24 23 23 38 32 31 23 23 37 23 33 23 33 23 23 23 23 23 31 23 23 33 31 23 24 23 24 31 24 23 13 31"
7,5,-0.8051,1.0000,0.6498,-0.4787,-0.2639,"12 16 25 12 3 25 16 12 16 25 25 25 25 25 25 26 12 16 12 25 16 5 12 16 25 12 12 27 26 13 25 25 12 3 12 12 25 34 12 16 37 25 12 5 16 4 12 4 16 25 25 25 25 12 27 42 26 12 25 25 4 12 25 16 27 16 12 16 27 26 25 38 6 26 25 16 34 16 25 25 25 25 25 25 16 12 25 25 25 25 38 16 25 16 26 12 12 27 25 38 21 6 24 22 2 2 21 4 22 21 21 21 5 21 21 22 21 2 21 2 21 2 21 21 22 2 21 31 22 37 31 2 21 22 21 31 5 2 21 2 22 33 21 37 2 5 31 31 2 21 21 21 22 21 21 2 31 22 32 2 22 26 2 21 21 23 32 2 33 21 21 5 32 6 21 2 32 21 21 21 2 21 21 31 21 21 2 21 21 22 22 21 21 2 21 5 21 2 21 21 4 5 2 5 5 2 2 37 2 2 2 4 2 2 2 2 6 6 2 2 2 42 2 37 42 2 6 4 2 42 42 2 2 6 2 2 4 5 42 0 2 37 42 5 2 37 2 2 2 2 2 4 4 2 2 4 2 37 2 2 4 37 2 4 2 4 4 42 2 37 5 2 15 2 2 2 2 2 2 37 2 42 2 2 2 37 4 4 2 25 2 2 4 37 5 2 2 5 37 2 17 17 37 16 12 17 17 37 37 31 16 16 23 4 19 42 42 31 5 6 19 5 12 19 19 19 37 14 14 17 4 15 15 6 14 19 15 15 31 17 31 15 6 15 2 5 15 17 14 14 31 15 17 19 5 16 6 4 2 14 31 15 15 37 15 16 12 31 15 14 2 16 6 14 5 6 5 17 6 17 4 17 42 17 37 12 12 14 31 19 17 4 14 14 31 19 16 5 37 2 23 31 24 33 31 23 39 39 23 31 23 24 23 23 23 31 24 39 23 31 23 23 33 31 23 31 23 31 23 23 23 24 23 23 31 31 31 33 24 39 24 31 37 23 32 23 23 39 23 23 31 24 23 23 23 23 24 39 23 41 23 24 31 23 23 24 23 23 24 23 23 38 32 31 23 23 37 23 33 23 33 23 23 23 23 23 31 23 23 33 31 23 24 23 24 31 24 23 13 31"
8,5,-0.7422,0.9167,0.5815,-0.4882,-0.2930,"12 16 25 12 3 25 16 12 16 25 25 25 25 25 25 26 12 16 12 25 16 5 12 16 25 12 12 27 26 13 25 25 12 3 12 12 25 34 12 16 37 25 12 5 16 4 12 4 16 25 25 25 25 12 27 42 26 12 25 25 4 12 25 16 27 16 12 16 27 26 25 38 6 26 25 16 34 16 25 25 25 25 25 25 16 12 25 25 25 25 38 16 25 16 26 12 12 27 25 38 21 6 24 22 2 2 21 4 22 21 21 21 5 21 21 22 21 2 21 2 21 2 21 21 22 2 21 31 22 37 31 2 21 22 21 31 5 2 21 2 22 33 21 37 2 5 31 31 2 21 21 21 22 21 21 2 31 22 32 2 22 26 2 21 21 23 32 2 33 21 21 5 32 6 21 2 32 21 21 21 2 21 21 31 21 21 2 21 21 22 22 21 21 2 21 5 21 2 21 21 4 5 2 5 5 2 2 37 2 2 2 4 2 2 2 2 6 6 2 2 2 42 2 37 42 2 6 4 2 42 42 2 2 6 2 2 4 5 42 0 2 37 42 5 2 37 2 2 2 2 2 4 4 2 2 4 2 37 2 2 4 37 2 4 2 4 4 42 2 37 5 2 15 2 2 2 2 2 2 37 2 42 2 2 2 37 4 4 2 25 2 2 4 37 5 2 2 5 37 2 17 17 37 16 12 17 17 37 37 31 16 16 23 4 19 42 42 31 5 6 19 5 12 19 19 19 37 14 14 17 4 15 15 6 14 19 15 15 31 17 31 15 6 15 2 5 15 17 14 14 31 15 17 19 5 16 6 4 2 14 31 15 15 37 15 16 12 31 15 14 2 16 6 14 5 6 5 17 6 17 4 17 42 17 37 12 12 14 31 19 17 4 14 14 31 19 16 5 37 2 23 31 24 33 31 23 39 39 23 31 23 24 23 23 23 31 24 39 23 31 23 23 33 31 23 31 23 31 23 23 23 24 23 23 31 31 31 33 24 39 24 31 37 23 32 23 23 39 23 23 31 24 23 23 23 23 24 39 23 41 23 24 31 23 23 24 23 23 24 23 23 38 32 31 23 23 37 23 33 23 33 23 23 23 23 23 31 23 23 33 31 23 24 23 24 31 24 23 13 31"
9,5,-0.7784,0.9667,0.6277,-0.4880,-0.3171,"12 16 25 12 3 25 16 12 16 25 25 25 25 25 25 26 12 16 12 25 16 5 12 16 25 12 12 27 26 13 25 25 12 3 12 12 25 34 12 16 37 25 12 5 16 4 12 4 16 25 25 25 25 12 27 42 26 12 25 25 4 12 25 16 27 16 12 16 27 26 25 38 6 26 25 16 34 16 25 25 25 25 25 25 16 12 25 25 25 25 38 16 25 16 26 12 12 27 25 38 21 6 24 22 2 2 21 4 22 21 21 21 5 21 21 22 21 2 21 2 21 2 21 21 22 2 21 31 22 37 31 2 21 22 21 31 5 2 21 2 22 33 21 37 2 5 31 31 2 21 21 21 22 21 21 2 31 22 32 2 22 26 2 21 21 23 32 2 33 21 21 5 32 6 21 2 32 21 21 21 2 21 21 31 21 21 2 21 21 22 22 21 21 2 21 5 21 2 21 21 4 5 2 5 5 2 2 37 2 2 2 4 2 2 2 2 6 6 2 2 2 42 2 37 42 2 6 4 2 42 42 2 2 6 2 2 4 5 42 0 2 37 42 5 2 37 2 2 2 2 2 4 4 2 2 4 2 37 2 2 4 37 2 4 2 4 4 42 2 37 5 2 15 2 2 2 2 2 2 37 2 42 2 2 2 37 4 4 2 25 2 2 4 37 5 2 2 5 37 2 17 17 37 16 12 17 17 37 37 31 16 16 23 4 19 42 42 31 5 6 19 5 12 19 19 19 37 14 14 17 4 15 15 6 14 19 15 15 31 17 31 15 6 15 2 5 15 17 14 14 31 15 17 19 5 16 6 4 2 14 31 15 15 37 15 16 12 31 15 14 2 16 6 14 5 6 5 17 6 17 4 17 42 17 37 12 12 14 31 19 17 4 14 14 31 19 16 5 37 2 23 31 24 33 31 23 39 39 23 31 23 24 23 23 23 31 24 39 23 31 23 23 33 31 23 31 23 31 23 23 23 24 23 23 31 31 31 33 24 39 24 31 37 23 32 23 23 39 23 23 31 24 23 23 23 23 24 39 23 41 23 24 31 23 23 24 23 23 24 23 23 38 32 31 23 23 37 23 33 23 33 23 23 23 23 23 31 23 23 33 31 23 24 23 24 31 24 23 13 31"
