rank,fitness,winrate,genome
1,-0.7275,1.0000,"16 16 12 25 25 25 25 25 27 12 25 25 38 25 25 26 40 25 27 25 16 25 16 16 26 26 25 27 25 16 27 25 25 26 12 16 27 25 16 25 26 27 26 16 25 25 26 16 26 16 25 12 12 12 16 1 27 16 12 25 16 12 25 12 16 12 12 12 16 16 16 16 16 16 16 42 25 25 25 12 27 16 36 25 25 12 16 12 19 27 25 25 25 25 26 16 25 26 9 25 39 39 13 39 12 39 13 1 0 3 39 39 39 39 3 39 39 39 38 39 0 39 39 26 18 39 38 39 39 3 38 39 6 39 13 39 39 38 1 39 0 29 39 1 39 1 13 0 39 39 41 13 0 5 39 38 4 0 7 39 3 39 39 39 1 39 13 0 39 39 19 39 11 13 0 32 39 18 39 39 0 1 39 39 39 13 39 3 39 0 13 32 39 38 39 13 39 39 39 13 8 8 8 2 2 7 2 8 7 8 2 2 8 2 2 2 7 2 2 2 8 2 8 2 2 2 2 2 2 7 2 2 8 2 2 8 2 2 7 2 2 7 2 8 7 2 2 7 2 2 7 7 7 2 2 8 7 2 2 2 2 2 25 2 2 2 8 2 7 2 8 7 2 2 2 8 2 2 8 8 2 2 2 2 7 7 7 8 2 2 2 2 2 8 7 2 7 2 8 7 39 36 8 7 7 39 8 39 8 2 7 2 2 7 39 39 2 34 7 8 39 8 2 2 7 39 2 8 2 8 2 39 8 7 3 0 2 7 2 7 2 0 39 2 2 2 2 0 2 2 3 2 2 39 2 0 7 2 8 39 2 2 2 39 7 2 0 8 2 7 8 2 7 8 39 2 2 2 2 2 2 0 39 7 39 8 39 8 2 2 2 8 39 8 8 39 2 2 2 0 2 37 3 2 6 24 0 2 8 7 8 5 7 2 0 4 7 3 2 2 7 2 6 0 6 2 0 5 4 6 12 5 2 6 2 2 0 3 41 4 37 3 37 2 39 2 2 2 2 3 0 3 7 37 0 0 3 2 2 4 2 4 2 2 2 39 2 2 7 8 7 2 6 4 7 38 0 0 7 7 2 2 2 2 6 2 0 27 2 2 7 2 2 2 2 17 2 3 8 3"
2,-0.7230,1.0000,"16 16 12 25 25 25 25 25 27 12 25 25 38 25 25 26 40 25 27 25 16 25 16 16 26 26 25 27 25 16 27 25 25 26 12 16 27 25 16 25 26 27 26 16 25 25 26 16 26 16 25 12 12 12 16 1 27 16 12 25 16 12 25 12 16 12 12 12 16 16 16 16 16 16 16 42 25 25 25 12 27 16 36 25 25 12 16 12 19 27 25 25 25 25 26 16 25 26 9 25 39 39 13 39 12 39 13 1 0 3 39 39 39 39 3 39 39 39 38 39 0 39 39 26 18 39 38 39 39 3 38 39 6 39 13 39 39 38 1 39 0 29 39 1 39 1 13 0 39 39 41 13 0 5 39 38 4 0 7 39 3 39 39 39 1 39 13 0 39 39 19 39 11 13 0 32 39 18 39 39 0 1 39 39 39 13 39 3 39 0 13 32 39 38 39 13 39 39 39 13 9 25 9 39 2 10 9 11 7 39 2 10 9 2 39 39 7 9 9 10 25 2 9 9 11 9 10 7 9 9 9 9 9 2 10 39 7 9 39 10 2 2 7 10 9 10 11 9 8 9 9 9 2 39 9 2 9 2 9 9 9 9 9 11 39 7 2 39 9 9 39 7 9 11 9 8 9 2 2 2 11 9 11 9 10 2 7 39 9 9 9 10 39 2 9 9 2 10 39 9 39 36 39 39 0 39 2 2 5 7 8 2 2 4 39 39 4 2 2 2 2 3 6 8 2 39 2 2 39 2 2 2 8 5 4 2 8 5 39 37 2 0 37 34 2 6 39 6 39 2 4 2 2 39 2 2 2 2 39 6 2 2 2 39 5 2 2 39 2 2 8 2 7 2 39 39 3 2 37 39 39 2 2 2 6 7 2 8 2 2 2 2 39 37 39 37 2 2 2 0 2 37 3 2 6 24 0 2 8 7 8 5 7 2 0 4 7 3 2 2 7 2 6 0 6 2 0 5 4 6 12 5 2 6 2 2 0 3 41 4 37 3 37 2 39 2 2 2 2 3 0 3 7 37 0 0 3 2 2 4 2 4 2 2 2 39 2 2 7 8 7 2 6 4 7 38 0 0 7 7 2 2 2 2 6 2 0 27 2 2 7 2 2 2 2 17 2 3 8 3"
3,-0.7137,1.0000,"16 16 12 25 25 25 25 25 27 12 25 25 38 25 25 26 40 25 27 25 16 25 16 16 26 26 25 27 25 16 27 25 25 26 12 16 27 25 16 25 26 27 26 16 25 25 26 16 26 16 25 12 12 12 16 1 27 16 12 25 16 12 25 12 16 12 12 12 16 16 16 16 16 16 16 42 25 25 25 12 27 16 36 25 25 12 16 12 19 27 25 25 25 25 26 16 25 26 9 25 39 0 0 39 12 0 13 1 0 3 39 0 39 39 3 39 3 3 38 0 3 3 3 26 18 39 38 39 39 3 3 0 6 39 13 39 39 3 1 39 0 3 0 1 39 1 3 0 39 0 41 13 0 5 39 38 0 0 7 39 3 3 39 39 1 39 13 0 39 39 19 39 0 0 0 3 3 18 3 39 3 3 3 3 41 0 3 3 3 0 13 32 39 38 0 13 39 39 39 13 2 25 39 39 2 7 39 39 7 39 2 2 2 2 39 39 7 39 2 25 25 2 2 39 39 8 25 7 25 2 2 39 39 2 2 39 7 7 39 39 2 2 7 2 39 2 8 39 8 39 2 7 2 39 2 2 2 2 39 2 2 39 25 39 39 7 2 39 2 2 39 7 2 2 39 8 2 2 2 2 39 39 7 25 7 2 7 39 2 39 2 8 39 2 39 2 2 2 39 2 39 36 39 39 0 39 0 39 39 7 8 2 2 2 39 39 34 34 7 39 39 3 2 8 41 39 1 3 39 3 3 39 8 3 3 0 8 7 39 0 7 0 39 34 0 2 39 0 39 39 3 0 2 39 2 0 7 0 39 39 39 3 2 39 7 39 0 39 2 0 8 39 7 39 39 39 3 39 2 39 39 0 39 39 39 7 39 8 2 7 2 2 39 8 39 39 2 0 39 0 2 37 3 2 6 24 0 2 8 7 8 5 7 2 0 4 7 3 2 2 7 2 6 0 6 2 0 5 4 6 12 5 2 6 2 2 0 3 41 4 37 3 37 2 39 2 2 2 2 3 0 3 7 37 0 0 3 2 2 4 2 4 2 2 2 39 2 2 7 8 7 2 6 4 7 38 0 0 7 7 2 2 2 2 6 2 0 27 2 2 7 2 2 2 2 17 2 3 8 3"
4,-0.7087,1.0000,"16 16 12 25 25 25 25 25 27 12 25 25 38 25 25 26 40 25 27 25 16 25 16 16 26 26 25 27 25 16 27 25 25 26 12 16 27 25 16 25 26 27 26 16 25 25 26 16 26 16 25 12 12 12 16 1 27 16 12 25 16 12 25 12 16 12 12 12 16 16 16 16 16 16 16 42 25 25 25 12 27 16 36 25 25 12 16 12 19 27 25 25 25 25 26 16 25 26 9 25 39 0 0 39 12 0 13 1 0 3 39 0 39 39 3 39 3 3 38 0 3 3 3 26 18 39 38 39 39 3 3 0 6 39 13 39 39 3 1 39 0 3 0 1 39 1 3 0 39 0 41 13 0 5 39 38 0 0 7 39 3 3 39 39 1 39 13 0 39 39 19 39 0 0 0 3 3 18 3 39 3 3 3 3 41 0 3 3 3 0 13 32 39 38 0 13 39 39 39 13 2 25 39 39 2 7 39 39 7 39 2 2 2 2 39 39 7 39 2 25 25 2 2 39 39 8 25 7 25 2 2 39 39 2 2 39 7 7 39 39 2 2 7 2 39 2 8 39 8 39 2 7 2 39 2 2 2 2 39 2 2 39 25 39 39 7 2 39 2 2 39 7 2 2 39 8 2 2 2 2 39 39 7 25 7 2 7 39 2 39 2 8 39 2 39 2 2 2 39 2 39 36 39 39 0 39 0 39 39 7 8 2 2 2 39 39 34 34 7 39 39 3 2 8 41 39 1 3 39 3 3 39 8 3 3 0 8 7 39 0 7 0 39 34 0 2 39 0 39 39 3 0 2 39 2 0 7 0 39 39 39 3 2 39 7 39 0 39 2 0 8 39 7 39 39 39 3 39 2 39 39 0 39 39 39 7 39 8 2 7 2 2 39 8 39 39 2 0 39 0 2 37 3 2 6 24 0 2 8 7 8 5 7 2 0 4 7 3 2 2 7 2 6 0 6 2 0 5 4 6 12 5 2 6 2 2 0 3 41 4 37 3 37 2 39 2 2 2 2 3 0 3 7 37 0 0 3 2 2 4 2 4 2 2 2 39 2 2 7 8 7 2 6 4 7 38 0 0 7 7 2 2 2 2 6 2 0 27 2 2 7 2 2 2 2 17 2 3 8 3"
5,-0.7077,1.0000,"16 16 12 25 25 25 25 25 27 12 25 25 38 25 25 26 40 25 27 25 16 25 16 16 26 26 25 27 25 16 27 25 25 26 12 16 27 25 16 25 26 27 26 16 25 25 26 16 26 16 25 12 12 12 16 1 27 16 12 25 16 12 25 12 16 12 12 12 16 16 16 16 16 16 16 42 25 25 25 12 27 16 36 25 25 12 16 12 19 27 25 25 25 25 26 16 25 26 9 25 39 39 13 39 12 39 13 1 0 3 39 39 39 39 3 39 39 39 38 39 0 39 39 26 18 39 38 39 39 3 38 39 6 39 13 39 39 38 1 39 0 29 39 1 39 1 13 0 39 39 41 13 0 5 39 38 4 0 7 39 3 39 39 39 1 39 13 0 39 39 19 39 11 13 0 32 39 18 39 39 0 1 39 39 39 13 39 3 39 0 13 32 39 38 39 13 39 39 39 13 2 25 39 39 2 7 39 39 7 39 2 2 2 2 39 39 7 39 2 25 25 2 2 39 39 8 25 7 25 2 2 39 39 2 2 39 7 7 39 39 2 2 7 2 39 2 8 39 8 39 2 7 2 39 2 2 2 2 39 2 2 39 25 39 39 7 2 39 2 2 39 7 2 2 39 8 2 2 2 2 39 39 7 25 7 2 7 39 2 39 2 8 39 2 39 2 2 2 39 2 39 36 39 39 0 39 0 39 39 7 8 2 2 2 39 39 34 34 7 39 39 3 2 8 41 39 1 3 39 3 3 39 8 3 3 0 8 7 39 0 7 0 39 34 0 2 39 0 39 39 3 0 2 39 2 0 7 0 39 39 39 3 2 39 7 39 0 39 2 0 8 39 7 39 39 39 3 39 2 39 39 0 39 39 39 7 39 8 2 7 2 2 39 8 39 39 2 0 39 0 39 39 3 2 39 24 0 2 39 7 39 39 39 2 0 39 7 39 2 2 39 2 6 39 6 2 0 39 4 6 12 5 2 6 2 39 0 3 41 39 37 39 39 39 39 2 39 39 2 39 0 39 7 39 0 39 39 2 2 4 39 4 2 2 2 39 2 39 7 8 7 2 6 4 39 38 0 39 39 7 39 2 2 2 6 2 0 39 39 39 39 2 39 2 2 17 2 3 39 39"
6,-0.6829,0.9565,"16 16 12 25 25 25 25 25 27 12 25 25 38 25 25 26 40 25 27 25 16 25 16 16 26 26 25 27 25 16 27 25 25 26 12 16 27 25 16 25 26 27 26 16 25 25 26 16 26 16 25 12 12 12 16 1 27 16 12 25 16 12 25 12 16 12 12 12 16 16 16 16 16 16 16 42 25 25 25 12 27 16 36 25 25 12 16 12 19 27 25 25 25 25 26 16 25 26 9 25 39 0 0 39 12 0 13 1 0 3 39 0 39 39 3 39 3 3 38 0 3 3 3 26 18 39 38 39 39 3 3 0 6 39 13 39 39 3 1 39 0 3 0 1 39 1 3 0 39 0 41 13 0 5 39 38 0 0 7 39 3 3 39 39 1 39 13 0 39 39 19 39 0 0 0 3 3 18 3 39 3 3 3 3 41 0 3 3 3 0 13 32 39 38 0 13 39 39 39 13 9 25 9 39 2 10 9 11 7 39 2 10 9 2 39 39 7 9 9 10 25 2 9 9 11 9 10 7 9 9 9 9 9 2 10 39 7 9 39 10 2 2 7 10 9 10 11 9 8 9 9 9 2 39 9 2 9 2 9 9 9 9 9 11 39 7 2 39 9 9 39 7 9 11 9 8 9 2 2 2 11 9 11 9 10 2 7 39 9 9 9 10 39 2 9 9 2 10 39 9 39 36 39 39 0 39 2 2 5 7 8 2 2 4 39 39 4 2 2 2 2 3 6 8 2 39 2 2 39 2 2 2 8 5 4 2 8 5 39 37 2 0 37 34 2 6 39 6 39 2 4 2 2 39 2 2 2 2 39 6 2 2 2 39 5 2 2 39 2 2 8 2 7 2 39 39 3 2 37 39 39 2 2 2 6 7 2 8 2 2 2 2 39 37 39 37 2 2 2 0 2 37 3 2 6 24 0 2 8 7 8 5 7 2 0 4 7 3 2 2 7 2 6 0 6 2 0 5 4 6 12 5 2 6 2 2 0 3 41 4 37 3 37 2 39 2 2 2 2 3 0 3 7 37 0 0 3 2 2 4 2 4 2 2 2 39 2 2 7 8 7 2 6 4 7 38 0 0 7 7 2 2 2 2 6 2 0 27 2 2 7 2 2 2 2 17 2 3 8 3"
7,-0.6721,0.9600,"16 16 12 25 25 25 25 25 27 12 25 25 38 25 25 26 40 25 27 25 16 25 16 16 26 26 25 27 25 16 27 25 25 26 12 16 27 25 16 25 26 27 26 16 25 25 26 16 26 16 25 12 12 12 16 1 27 16 12 25 16 12 25 12 16 12 12 12 16 16 16 16 16 16 16 42 25 25 25 12 27 16 36 25 25 12 16 12 19 27 25 25 25 25 26 16 25 26 9 25 39 39 13 39 12 39 13 1 0 3 39 39 39 39 3 39 39 39 38 39 0 39 39 26 18 39 38 39 39 3 38 39 6 39 13 39 39 38 1 39 0 29 39 1 39 1 13 0 39 39 41 13 0 5 39 38 4 0 7 39 3 39 39 39 1 39 13 0 39 39 19 39 11 13 0 32 39 18 39 39 0 1 39 39 39 13 39 3 39 0 13 32 39 38 39 13 39 39 39 13 2 25 39 39 2 7 39 39 7 39 2 2 2 2 39 39 7 39 2 25 25 2 2 39 39 8 25 7 25 2 2 39 39 2 2 39 7 7 39 39 2 2 7 2 39 2 8 39 8 39 2 7 2 39 2 2 2 2 39 2 2 39 25 39 39 7 2 39 2 2 39 7 2 2 39 8 2 2 2 2 39 39 7 25 7 2 7 39 2 39 2 8 39 2 39 2 2 2 39 2 39 36 39 39 0 39 2 2 5 7 8 2 2 4 39 39 4 2 2 2 2 3 6 8 2 39 2 2 39 2 2 2 8 5 4 2 8 5 39 37 2 0 37 34 2 6 39 6 39 2 4 2 2 39 2 2 2 2 39 6 2 2 2 39 5 2 2 39 2 2 8 2 7 2 39 39 3 2 37 39 39 2 2 2 6 7 2 8 2 2 2 2 39 37 39 37 2 2 2 0 2 37 3 2 6 24 0 2 8 7 8 5 7 2 0 4 7 3 2 2 7 2 6 0 6 2 0 5 4 6 12 5 2 6 2 2 0 3 41 4 37 3 37 2 39 2 2 2 2 3 0 3 7 37 0 0 3 2 2 4 2 4 2 2 2 39 2 2 7 8 7 2 6 4 7 38 0 0 7 7 2 2 2 2 6 2 0 27 2 2 7 2 2 2 2 17 2 3 8 3"
8,-0.6374,0.9200,"16 16 12 25 25 25 25 25 27 12 25 25 38 25 25 26 40 25 27 25 16 25 16 16 26 26 25 27 25 16 27 25 25 26 12 16 27 25 16 25 26 27 26 16 25 25 26 16 26 16 25 12 12 12 16 1 27 16 12 25 16 12 25 12 16 12 12 12 16 16 16 16 16 16 16 42 25 25 25 12 27 16 36 25 25 12 16 12 19 27 25 25 25 25 26 16 25 26 9 25 39 0 0 39 12 0 13 1 0 3 39 0 39 39 3 39 3 3 38 0 3 3 3 26 18 39 38 39 39 3 3 0 6 39 13 39 39 3 1 39 0 3 0 1 39 1 3 0 39 0 41 13 0 5 39 38 0 0 7 39 3 3 39 39 1 39 13 0 39 39 19 39 0 0 0 3 3 18 3 39 3 3 3 3 41 0 3 3 3 0 13 32 39 38 0 13 39 39 39 13 2 3 1 39 2 7 3 13 7 39 2 2 2 2 39 39 7 39 2 3 0 2 38 39 39 8 0 7 25 2 2 39 39 2 2 39 7 7 39 39 38 2 7 2 39 2 38 39 8 39 2 7 2 13 2 2 2 2 1 2 38 39 13 39 13 7 2 39 38 2 39 7 2 3 39 38 2 2 13 2 13 1 7 38 7 0 7 13 2 39 38 8 39 2 39 2 3 2 13 1 39 36 39 39 0 39 0 39 39 7 8 2 2 2 39 39 34 34 7 39 39 3 2 8 41 39 1 3 39 3 3 39 8 3 3 0 8 7 39 0 7 0 39 34 0 2 39 0 39 39 3 0 2 39 2 0 7 0 39 39 39 3 2 39 7 39 0 39 2 0 8 39 7 39 39 39 3 39 2 39 39 0 39 39 39 7 39 8 2 7 2 2 39 8 39 39 2 0 39 0 2 37 3 2 6 24 0 2 8 7 8 5 7 2 0 4 7 3 2 2 7 2 6 0 6 2 0 5 4 6 12 5 2 6 2 2 0 3 41 4 37 3 37 2 39 2 2 2 2 3 0 3 7 37 0 0 3 2 2 4 2 4 2 2 2 39 2 2 7 8 7 2 6 4 7 38 0 0 7 7 2 2 2 2 6 2 0 27 2 2 7 2 2 2 2 17 2 3 8 3"
9,-0.6363,0.9167,"16 16 12 25 25 25 25 25 27 12 25 25 38 25 25 26 40 25 27 25 16 25 16 16 26 26 25 27 25 16 27 25 25 26 12 16 27 25 16 25 26 27 26 16 25 25 26 16 26 16 25 12 12 12 16 1 27 16 12 25 16 12 25 12 16 12 12 12 16 16 16 16 16 16 16 42 25 25 25 12 27 16 36 25 25 12 16 12 19 27 25 25 25 25 26 16 25 26 9 25 39 39 13 39 12 39 13 1 0 3 39 39 39 39 3 39 39 39 38 39 0 39 39 26 18 39 38 39 39 3 38 39 6 39 13 39 39 38 1 39 0 29 39 1 39 1 13 0 39 39 41 13 0 5 39 38 4 0 7 39 3 39 39 39 1 39 13 0 39 39 19 39 11 13 0 32 39 18 39 39 0 1 39 39 39 13 39 3 39 0 13 32 39 38 39 13 39 39 39 13 9 25 9 39 2 10 9 11 7 39 2 10 9 2 39 39 7 9 9 10 25 2 9 9 11 9 10 7 9 9 9 9 9 2 10 39 7 9 39 10 2 2 7 10 9 10 11 9 8 9 9 9 2 39 9 2 9 2 9 9 9 9 9 11 39 7 2 39 9 9 39 7 9 11 9 8 9 2 2 2 11 9 11 9 10 2 7 39 9 9 9 10 39 2 9 9 2 10 39 9 39 36 39 39 0 39 2 2 5 7 8 2 2 4 39 39 4 2 2 2 2 3 6 8 2 39 2 2 39 2 2 2 8 5 4 2 8 5 39 37 2 0 37 34 2 6 39 6 39 2 4 2 2 39 2 2 2 2 39 6 2 2 2 39 5 2 2 39 2 2 8 2 7 2 39 39 3 2 37 39 39 2 2 2 6 7 2 8 2 2 2 2 39 37 39 37 2 2 2 0 2 37 3 2 6 24 0 2 8 7 8 5 7 2 0 4 7 3 2 2 7 2 6 0 6 2 0 5 4 6 12 5 2 6 2 2 0 3 41 4 37 3 37 2 39 2 2 2 2 3 0 3 7 37 0 0 3 2 2 4 2 4 2 2 2 39 2 2 7 8 7 2 6 4 7 38 0 0 7 7 2 2 2 2 6 2 0 27 2 2 7 2 2 2 2 17 2 3 8 3"
10,-0.6316,0.9231,"16 16 12 25 25 25 25 25 27 12 25 25 38 25 25 26 40 25 27 25 16 25 16 16 26 26 25 27 25 16 27 25 25 26 12 16 27 25 16 25 26 27 26 16 25 25 26 16 26 16 25 12 12 12 16 1 27 16 12 25 16 12 25 12 16 12 12 12 16 16 16 16 16 16 16 42 25 25 25 12 27 16 36 25 25 12 16 12 19 27 25 25 25 25 26 16 25 26 9 25 39 39 13 39 12 39 13 1 0 3 39 39 39 39 3 39 39 39 38 39 0 39 39 26 18 39 38 39 39 3 38 39 6 39 13 39 39 38 1 39 0 29 39 1 39 1 13 0 39 39 41 13 0 5 39 38 4 0 7 39 3 39 39 39 1 39 13 0 39 39 19 39 11 13 0 32 39 18 39 39 0 1 39 39 39 13 39 3 39 0 13 32 39 38 39 13 39 39 39 13 2 25 39 39 2 7 39 39 7 39 2 2 2 2 39 39 7 39 2 25 25 2 2 39 39 8 25 7 25 2 2 39 39 2 2 39 7 7 39 39 2 2 7 2 39 2 8 39 8 39 2 7 2 39 2 2 2 2 39 2 2 39 25 39 39 7 2 39 2 2 39 7 2 2 39 8 2 2 2 2 39 39 7 25 7 2 7 39 2 39 2 8 39 2 39 2 2 2 39 2 39 36 2 39 4 39 37 39 39 2 37 2 2 2 39 5 34 37 7 39 37 37 2 8 41 37 1 3 39 3 3 39 8 3 3 0 4 7 39 2 7 0 39 34 0 2 39 2 39 5 3 0 4 6 2 0 7 0 39 39 6 3 2 2 2 37 0 2 5 0 8 39 7 39 39 37 3 39 2 39 37 2 39 39 39 7 2 8 2 37 2 2 6 8 39 39 4 0 39 2 2 37 3 2 6 24 0 2 8 7 8 5 7 2 0 4 7 3 2 2 7 2 6 0 6 2 0 5 4 6 12 5 2 6 2 2 0 3 41 4 37 3 37 2 39 2 2 2 2 3 0 3 7 37 0 0 3 2 2 4 2 4 2 2 2 39 2 2 7 8 7 2 6 4 7 38 0 0 7 7 2 2 2 2 6 2 0 27 2 2 7 2 2 2 2 17 2 3 8 3"
