rank,fitness,winrate,genome
1,-0.7076,1.0000,"3 37 2 0 38 1 4 3 2 4 2 0 2 2 2 3 5 1 6 5 3 3 2 37 3 2 3 2 4 37 4 24 5 3 3 0 6 6 2 3 3 3 5 2 3 13 2 6 4 0 20 6 20 4 0 3 32 41 13 2 37 3 0 2 2 2 0 14 0 2 0 37 6 41 6 5 3 37 13 3 0 4 0 6 24 9 3 2 2 3 2 3 0 0 3 0 6 3 2 5 7 42 0 3 3 2 8 2 0 2 2 37 2 2 2 7 2 2 2 7 37 3 0 3 3 0 0 4 26 0 0 0 3 5 3 7 3 3 2 0 42 4 3 4 2 7 42 7 7 2 2 7 5 7 2 2 2 2 2 8 0 5 6 2 8 2 2 0 0 0 7 8 3 0 2 0 3 2 0 0 0 0 5 3 7 2 2 0 2 2 37 4 3 3 0 3 0 5 3 6 13 10 38 38 39 2 9 10 13 1 38 0 2 0 2 38 2 0 38 11 42 42 0 38 2 0 0 2 2 42 2 11 0 13 1 9 0 3 2 0 13 13 13 0 6 11 2 0 1 2 13 3 0 9 2 0 11 38 1 38 2 3 5 0 11 42 2 1 0 1 1 38 2 13 42 2 2 1 38 10 2 42 13 42 3 3 42 3 3 5 0 42 2 13 13 42 0 38 2 11 3 3 0 0 3 0 2 2 5 0 3 2 0 4 3 0 4 2 2 2 2 0 6 0 2 0 2 2 3 2 2 2 3 5 4 2 0 5 3 37 2 3 37 3 2 6 0 6 3 2 4 2 3 3 18 2 2 2 3 6 2 2 0 1 5 2 2 41 0 2 0 2 3 2 0 0 0 2 37 3 3 2 2 2 6 0 2 3 2 2 41 2 3 37 0 37 2 2 2 0 6 2 25 25 0 3 10 37 25 1 5 0 3 37 0 5 25 0 0 3 3 18 6 27 28 0 25 0 0 25 6 3 25 0 3 37 5 25 25 2 5 0 25 3 0 0 3 26 6 25 27 25 5 2 4 0 26 6 25 30 25 37 25 25 41 31 0 3 37 23 25 39 13 0 0 4 0 2 0 6 4 0 0 25 25 25 6 2 5 3 2 2 3 37 37 4 3 37 4 0"
2,-0.7065,1.0000,"3 37 2 0 38 1 4 3 2 4 2 0 2 2 2 3 5 1 6 5 3 3 2 37 3 2 3 2 4 37 4 24 5 3 3 0 6 6 2 3 3 3 5 2 3 13 2 6 4 0 20 6 20 4 0 3 32 41 13 2 37 3 0 2 2 2 0 14 0 2 0 37 6 41 6 5 3 37 13 3 0 4 0 6 24 9 3 2 2 3 2 3 0 0 3 0 6 3 2 5 7 42 0 3 3 2 8 2 0 2 2 37 2 2 2 7 2 2 2 7 37 3 0 3 3 0 0 4 26 0 0 0 3 5 3 7 3 3 2 0 42 4 3 4 2 7 42 7 7 2 2 7 5 7 2 2 2 2 2 8 0 5 6 2 8 2 2 0 0 0 7 8 3 0 2 0 3 2 0 0 0 0 5 3 7 2 2 0 2 2 37 4 3 3 0 3 0 5 3 6 13 10 38 38 39 2 9 10 13 1 38 0 2 0 2 38 2 0 38 11 42 42 0 38 2 0 0 2 2 42 2 11 0 13 1 9 0 3 2 0 13 13 13 0 6 11 2 0 1 2 13 3 0 9 2 0 11 38 1 38 2 3 5 0 11 42 2 1 0 1 1 38 2 13 42 2 2 1 38 10 2 42 13 42 3 3 42 3 3 5 0 42 2 13 13 42 0 38 2 11 3 3 0 0 3 0 2 2 5 0 3 2 0 4 3 0 4 2 2 2 2 0 6 0 2 0 2 2 3 2 2 2 3 5 4 2 0 5 3 37 2 3 37 3 2 6 0 6 3 2 4 2 3 3 18 2 2 2 3 6 2 2 0 1 5 2 2 41 0 2 0 2 3 2 0 0 0 2 37 3 3 2 2 2 6 0 2 3 2 2 41 2 3 37 0 37 2 2 2 0 6 2 25 25 0 3 10 37 25 1 5 0 3 37 0 5 25 0 0 3 3 18 6 27 28 0 25 0 0 25 6 3 25 0 3 37 5 25 25 2 5 0 25 3 0 0 3 26 6 25 27 25 5 2 4 0 26 6 25 30 25 37 25 25 41 31 0 3 37 23 25 39 13 0 0 4 0 2 0 6 4 0 0 25 25 25 6 2 5 3 2 2 3 37 37 4 3 37 4 0"
3,-0.7046,1.0000,"3 37 2 0 38 1 4 3 2 4 2 0 2 2 2 3 5 1 6 5 3 3 2 37 3 2 3 2 4 37 4 24 5 3 3 0 6 6 2 3 3 3 5 2 3 13 2 6 4 0 20 6 20 4 0 3 32 41 13 2 37 3 0 2 2 2 0 14 0 2 0 37 6 41 6 5 3 37 13 3 0 4 0 6 24 9 3 2 2 3 2 3 0 0 3 0 6 3 2 5 7 42 0 3 3 2 8 2 0 2 2 37 2 2 2 7 2 2 2 7 37 3 0 3 3 0 0 4 26 0 0 0 3 5 3 7 3 3 2 0 42 4 3 4 2 7 42 7 7 2 2 7 5 7 2 2 2 2 2 8 0 5 6 2 8 2 2 0 0 0 7 8 3 0 2 0 3 2 0 0 0 0 5 3 7 2 2 0 2 2 37 4 3 3 0 3 0 5 3 6 13 10 38 38 39 2 9 10 13 1 38 0 2 0 2 38 2 0 38 11 42 42 0 38 2 0 0 2 2 42 2 11 0 13 1 9 0 3 2 0 13 13 13 0 6 11 2 0 1 2 13 3 0 9 2 0 11 38 1 38 2 3 5 0 11 42 2 1 0 1 1 38 2 13 42 2 2 1 38 10 2 42 13 42 3 3 42 3 3 5 0 42 2 13 13 42 0 38 2 11 3 3 0 0 3 0 2 2 5 0 3 2 0 4 3 0 4 2 2 2 2 0 6 0 2 0 2 2 3 2 2 2 3 5 4 2 0 5 3 37 2 3 37 3 2 6 0 6 3 2 4 2 3 3 18 2 2 2 3 6 2 2 0 1 5 2 2 41 0 2 0 2 3 2 0 0 0 2 37 3 3 2 2 2 6 0 2 3 2 2 41 2 3 37 0 37 2 2 2 0 6 2 25 25 0 3 10 37 25 1 5 0 3 37 0 5 25 0 0 3 3 18 6 27 28 0 25 0 0 25 6 3 25 0 3 37 5 25 25 2 5 0 25 3 0 0 3 26 6 25 27 25 5 2 4 0 26 6 25 30 25 37 25 25 41 31 0 3 37 23 25 39 13 0 0 4 0 2 0 6 4 0 0 25 25 25 6 2 5 3 2 2 3 37 37 4 3 37 4 0"
4,-0.7044,1.0000,"3 37 2 0 38 1 4 3 2 4 2 0 2 2 2 3 5 1 6 5 3 3 2 37 3 2 3 2 4 37 4 24 5 3 3 0 6 6 2 3 3 3 5 2 3 13 2 6 4 0 20 6 20 4 0 3 32 41 13 2 37 3 0 2 2 2 0 14 0 2 0 37 6 41 6 5 3 37 13 3 0 4 0 6 24 9 3 2 2 3 2 3 0 0 3 0 6 3 2 5 7 42 0 3 3 2 8 2 0 2 2 37 2 2 2 7 2 2 2 7 37 3 0 3 3 0 0 4 26 0 0 0 3 5 3 7 3 3 2 0 42 4 3 4 2 7 42 7 7 2 2 7 5 7 2 2 2 2 2 8 0 5 6 2 8 2 2 0 0 0 7 8 3 0 2 0 3 2 0 0 0 0 5 3 7 2 2 0 2 2 37 4 3 3 0 3 0 5 3 6 13 10 38 38 39 2 9 10 13 1 38 0 2 0 2 38 2 0 38 11 42 42 0 38 2 0 0 2 2 42 2 11 0 13 1 9 0 3 2 0 13 13 13 0 6 11 2 0 1 2 13 3 0 9 2 0 11 38 1 38 2 3 5 0 11 42 2 1 0 1 1 38 2 13 42 2 2 1 38 10 2 42 13 42 3 3 42 3 3 5 0 42 2 13 13 42 0 38 2 11 3 3 0 0 3 0 2 2 5 0 3 2 0 4 3 0 4 2 2 2 2 0 6 0 2 0 2 2 3 2 2 2 3 5 4 2 0 5 3 37 2 3 37 3 2 6 0 6 3 2 4 2 3 3 18 2 2 2 3 6 2 2 0 1 5 2 2 41 0 2 0 2 3 2 0 0 0 2 37 3 3 2 2 2 6 0 2 3 2 2 41 2 3 37 0 37 2 2 2 0 6 2 25 25 0 3 10 37 25 1 5 0 3 37 0 5 25 0 0 3 3 18 6 27 28 0 25 0 0 25 6 3 25 0 3 37 5 25 25 2 5 0 25 3 0 0 3 26 6 25 27 25 5 2 4 0 26 6 25 30 25 37 25 25 41 31 0 3 37 23 25 39 13 0 0 4 0 2 0 6 4 0 0 25 25 25 6 2 5 3 2 2 3 37 37 4 3 37 4 0"
5,-0.7029,1.0000,"13 37 2 13 38 1 4 3 13 3 2 0 2 2 2 3 5 1 0 5 3 3 2 38 3 1 0 2 13 37 13 24 5 0 3 0 6 6 2 3 3 3 5 38 3 38 3 6 4 0 20 1 1 4 38 3 0 41 13 2 37 3 0 2 2 2 0 14 0 2 0 38 1 1 3 5 3 3 1 3 1 4 0 0 24 0 3 2 2 3 38 3 0 0 0 1 38 3 13 5 7 42 0 3 3 2 8 2 0 2 2 37 2 2 2 7 2 2 2 7 37 3 0 3 3 0 0 4 26 0 0 0 3 5 3 7 3 3 2 0 42 4 3 4 2 7 42 7 7 2 2 7 5 7 2 2 2 2 2 8 0 5 6 2 8 2 2 0 0 0 7 8 3 0 2 0 3 2 0 0 0 0 5 3 7 2 2 0 2 2 37 4 3 3 0 3 0 5 3 6 13 10 38 38 39 2 9 10 13 1 38 0 2 0 2 38 2 0 38 11 42 42 0 38 2 0 0 2 2 42 2 11 0 13 1 9 0 3 2 0 13 13 13 0 6 11 2 0 1 2 13 3 0 9 2 0 11 38 1 38 2 3 5 0 11 42 2 1 0 1 1 38 2 13 42 2 2 1 38 10 2 42 13 42 3 3 42 3 3 5 0 42 2 13 13 42 0 38 2 11 3 3 0 0 3 0 2 2 5 0 3 2 0 4 3 0 4 2 2 2 2 0 6 0 2 0 2 2 3 2 2 2 3 5 4 2 0 5 3 37 2 3 37 3 2 6 0 6 3 2 4 2 3 3 18 2 2 2 3 6 2 2 0 1 5 2 2 41 0 2 0 2 3 2 0 0 0 2 37 3 3 2 2 2 6 0 2 3 2 2 41 2 3 37 0 37 2 2 2 0 2 3 25 25 0 0 10 0 0 4 0 0 6 3 0 3 6 3 6 3 3 18 2 0 28 0 25 0 0 0 24 3 25 0 3 0 41 25 2 25 25 0 0 4 0 0 0 6 37 25 27 3 26 0 2 0 26 5 25 0 4 0 25 25 41 31 4 4 0 23 3 39 2 0 0 0 4 27 3 3 0 6 0 25 25 3 3 6 0 0 37 3 3 25 0 2 3 2 0 5"
6,-0.7022,1.0000,"0 37 2 0 38 3 4 38 2 4 2 0 0 2 2 3 3 1 1 5 3 3 1 37 3 2 3 2 4 3 1 38 5 3 3 0 0 0 2 3 3 3 13 2 3 38 2 6 4 0 20 6 20 4 0 3 3 1 13 2 0 3 38 2 2 2 0 14 0 2 0 0 6 41 6 5 3 3 1 1 0 4 38 0 24 9 3 1 38 1 2 38 0 0 3 0 13 3 1 5 7 42 0 3 3 2 8 2 0 2 2 37 2 2 2 7 2 2 2 7 37 3 0 3 3 0 0 4 26 0 0 0 3 5 3 7 3 3 2 0 42 4 3 4 2 7 42 7 7 2 2 7 5 7 2 2 2 2 2 8 0 5 6 2 8 2 2 0 0 0 7 8 3 0 2 0 3 2 0 0 0 0 5 3 7 2 2 0 2 2 37 4 3 3 0 3 0 5 3 6 13 10 38 38 39 2 9 10 13 1 38 0 2 0 2 38 2 0 38 11 42 42 0 38 2 0 0 2 2 42 2 11 0 13 1 9 0 3 2 0 13 13 13 0 6 11 2 0 1 2 13 3 0 9 2 0 11 38 1 38 2 3 5 0 11 42 2 1 0 1 1 38 2 13 42 2 2 1 38 10 2 42 13 42 3 3 42 3 3 5 0 42 2 13 13 42 0 38 2 11 3 3 0 0 3 0 2 2 5 0 3 2 0 4 3 0 4 2 2 2 2 0 6 0 2 0 2 2 3 2 2 2 3 5 4 2 0 5 3 37 2 3 37 3 2 6 0 6 3 2 4 2 3 3 18 2 2 2 3 6 2 2 0 1 5 2 2 41 0 2 0 2 3 2 0 0 0 2 37 3 3 2 2 2 6 0 2 3 2 2 41 2 3 37 0 37 2 2 2 0 25 3 25 25 0 3 10 0 25 1 0 0 3 3 0 3 25 0 0 3 3 18 25 27 28 0 25 0 0 25 24 3 25 0 3 0 5 25 25 25 25 0 25 3 0 0 3 26 7 25 27 25 26 0 10 0 26 18 25 30 25 0 25 25 41 31 0 3 0 23 25 39 13 0 0 0 0 27 0 3 3 0 0 25 25 25 3 17 24 3 3 3 3 25 0 3 3 0 0 0"
7,-0.6912,0.9630,"13 37 2 13 38 1 4 3 13 3 2 0 2 2 2 3 5 1 0 5 3 3 2 38 3 1 0 2 13 37 13 24 5 0 3 0 6 6 2 3 3 3 5 38 3 38 3 6 4 0 20 1 1 4 38 3 0 41 13 2 37 3 0 2 2 2 0 14 0 2 0 38 1 1 3 5 3 3 1 3 1 4 0 0 24 0 3 2 2 3 38 3 0 0 0 1 38 3 13 5 7 42 0 3 3 2 8 2 0 2 2 37 2 2 2 7 2 2 2 7 37 3 0 3 3 0 0 4 26 0 0 0 3 5 3 7 3 3 2 0 42 4 3 4 2 7 42 7 7 2 2 7 5 7 2 2 2 2 2 8 0 5 6 2 8 2 2 0 0 0 7 8 3 0 2 0 3 2 0 0 0 0 5 3 7 2 2 0 2 2 37 4 3 3 0 3 0 5 3 6 13 10 38 38 39 2 9 10 13 1 38 0 2 0 2 38 2 0 38 11 42 42 0 38 2 0 0 2 2 42 2 11 0 13 1 9 0 3 2 0 13 13 13 0 6 11 2 0 1 2 13 3 0 9 2 0 11 38 1 38 2 3 5 0 11 42 2 1 0 1 1 38 2 13 42 2 2 1 38 10 2 42 13 42 3 3 42 3 3 5 0 42 2 13 13 42 0 38 2 11 30 28 38 13 27 38 28 30 27 38 28 28 28 28 28 28 28 13 28 2 25 28 28 25 28 28 29 28 38 28 28 0 28 28 29 28 28 30 25 30 29 28 25 28 28 29 1 25 29 28 30 28 29 3 1 28 13 28 3 28 3 29 28 0 25 28 2 28 25 30 29 28 28 28 25 28 38 30 28 28 25 30 26 28 38 38 28 28 28 1 28 28 28 30 29 28 28 2 28 38 0 3 25 25 0 0 10 0 0 1 0 0 3 3 0 3 25 3 0 3 3 18 25 0 28 0 25 0 0 0 24 3 25 0 3 0 41 25 25 25 25 0 0 3 0 0 0 26 3 25 27 3 26 0 10 0 26 18 25 0 3 0 25 25 41 31 3 3 0 23 3 39 13 0 0 0 3 27 3 3 0 0 0 25 25 3 3 3 0 0 0 3 3 25 0 0 3 0 0 0"
8,-0.6738,0.9697,"3 37 2 0 38 1 4 3 2 4 2 0 2 2 2 3 5 1 6 5 3 3 2 37 3 2 3 2 4 37 4 24 5 3 3 0 6 6 2 3 3 3 5 2 3 13 2 6 4 0 20 6 20 4 0 3 32 41 13 2 37 3 0 2 2 2 0 14 0 2 0 37 6 41 6 5 3 37 13 3 0 4 0 6 24 9 3 2 2 3 2 3 0 0 3 0 6 3 2 5 7 42 0 3 3 2 8 2 0 2 2 37 2 2 2 7 2 2 2 7 37 3 0 3 3 0 0 4 26 0 0 0 3 5 3 7 3 3 2 0 42 4 3 4 2 7 42 7 7 2 2 7 5 7 2 2 2 2 2 8 0 5 6 2 8 2 2 0 0 0 7 8 3 0 2 0 3 2 0 0 0 0 5 3 7 2 2 0 2 2 37 4 3 3 0 3 0 5 3 6 13 10 38 38 39 2 9 10 13 1 38 0 2 0 2 38 2 0 38 11 42 42 0 38 2 0 0 2 2 42 2 11 0 13 1 9 0 3 2 0 13 13 13 0 6 11 2 0 1 2 13 3 0 9 2 0 11 38 1 38 2 3 5 0 11 42 2 1 0 1 1 38 2 13 42 2 2 1 38 10 2 42 13 42 3 3 42 3 3 5 0 42 2 13 13 42 0 38 2 11 3 3 0 0 3 0 2 2 5 0 3 2 0 4 3 0 4 2 2 2 2 0 6 0 2 0 2 2 3 2 2 2 3 5 4 2 0 5 3 37 2 3 37 3 2 6 0 6 3 2 4 2 3 3 18 2 2 2 3 6 2 2 0 1 5 2 2 41 0 2 0 2 3 2 0 0 0 2 37 3 3 2 2 2 6 0 2 3 2 2 41 2 3 37 0 37 2 2 2 0 6 2 25 25 0 3 10 37 25 1 5 0 3 37 0 5 25 0 0 3 3 18 6 27 28 0 25 0 0 25 6 3 25 0 3 37 5 25 25 2 5 0 25 3 0 0 3 26 6 25 27 25 5 2 4 0 26 6 25 30 25 37 25 25 41 31 0 3 37 23 25 39 13 0 0 4 0 2 0 6 4 0 0 25 25 25 6 2 5 3 2 2 3 37 37 4 3 37 4 0"
9,-0.6693,0.9630,"3 37 2 0 38 1 4 3 2 4 2 0 2 2 2 3 5 1 6 5 3 3 2 37 3 2 3 2 4 37 4 24 5 3 3 0 6 6 2 3 3 3 5 2 3 13 2 6 4 0 20 6 20 4 0 3 32 41 13 2 37 3 0 2 2 2 0 14 0 2 0 37 6 41 6 5 3 37 13 3 0 4 0 6 24 9 3 2 2 3 2 3 0 0 3 0 6 3 2 5 7 42 0 3 3 2 8 2 0 2 2 37 2 2 2 7 2 2 2 7 37 3 0 3 3 0 0 4 26 0 0 0 3 5 3 7 3 3 2 0 42 4 3 4 2 7 42 7 7 2 2 7 5 7 2 2 2 2 2 8 0 5 6 2 8 2 2 0 0 0 7 8 3 0 2 0 3 2 0 0 0 0 5 3 7 2 2 0 2 2 37 4 3 3 0 3 0 5 3 6 13 10 38 38 39 2 9 10 13 1 38 0 2 0 2 38 2 0 38 11 42 42 0 38 2 0 0 2 2 42 2 11 0 13 1 9 0 3 2 0 13 13 13 0 6 11 2 0 1 2 13 3 0 9 2 0 11 38 1 38 2 3 5 0 11 42 2 1 0 1 1 38 2 13 42 2 2 1 38 10 2 42 13 42 3 3 42 3 3 5 0 42 2 13 13 42 0 38 2 11 3 3 0 0 3 0 2 2 5 0 3 2 0 4 3 0 4 2 2 2 2 0 6 0 2 0 2 2 3 2 2 2 3 5 4 2 0 5 3 37 2 3 37 3 2 6 0 6 3 2 4 2 3 3 18 2 2 2 3 6 2 2 0 1 5 2 2 41 0 2 0 2 3 2 0 0 0 2 37 3 3 2 2 2 6 0 2 3 2 2 41 2 3 37 0 37 2 2 2 0 0 3 25 25 0 0 10 0 0 1 0 0 3 3 0 3 25 3 0 3 3 18 25 0 28 0 25 0 0 0 24 3 25 0 3 0 41 25 25 25 25 0 0 3 0 0 0 26 3 25 27 3 26 0 10 0 26 18 25 0 3 0 25 25 41 31 3 3 0 23 3 39 13 0 0 0 3 27 3 3 0 0 0 25 25 3 3 3 0 0 0 3 3 25 0 0 3 0 0 0"
10,-0.6663,0.9600,"3 37 2 0 38 1 4 3 2 4 2 0 2 2 2 3 5 1 6 5 3 3 2 37 3 2 3 2 4 37 4 24 5 3 3 0 6 6 2 3 3 3 5 2 3 13 2 6 4 0 20 6 20 4 0 3 32 41 13 2 37 3 0 2 2 2 0 14 0 2 0 37 6 41 6 5 3 37 13 3 0 4 0 6 24 9 3 2 2 3 2 3 0 0 3 0 6 3 2 5 7 42 0 3 3 2 8 2 0 2 2 37 2 2 2 7 2 2 2 7 37 3 0 3 3 0 0 4 26 0 0 0 3 5 3 7 3 3 2 0 42 4 3 4 2 7 42 7 7 2 2 7 5 7 2 2 2 2 2 8 0 5 6 2 8 2 2 0 0 0 7 8 3 0 2 0 3 2 0 0 0 0 5 3 7 2 2 0 2 2 37 4 3 3 0 3 0 5 3 6 13 10 38 38 39 2 9 10 13 1 38 0 2 0 2 38 2 0 38 11 42 42 0 38 2 0 0 2 2 42 2 11 0 13 1 9 0 3 2 0 13 13 13 0 6 11 2 0 1 2 13 3 0 9 2 0 11 38 1 38 2 3 5 0 11 42 2 1 0 1 1 38 2 13 42 2 2 1 38 10 2 42 13 42 3 3 42 3 3 5 0 42 2 13 13 42 0 38 2 11 3 3 0 0 3 0 2 2 5 0 3 2 0 4 3 0 4 2 2 2 2 0 6 0 2 0 2 2 3 2 2 2 3 5 4 2 0 5 3 37 2 3 37 3 2 6 0 6 3 2 4 2 3 3 18 2 2 2 3 6 2 2 0 1 5 2 2 41 0 2 0 2 3 2 0 0 0 2 37 3 3 2 2 2 6 0 2 3 2 2 41 2 3 37 0 37 2 2 2 0 6 2 25 25 0 3 10 37 25 1 5 0 3 37 0 5 25 0 0 3 3 18 6 27 28 0 25 0 0 25 6 3 25 0 3 37 5 25 25 2 5 0 25 3 0 0 3 26 6 25 27 25 5 2 4 0 26 6 25 30 25 37 25 25 41 31 0 3 37 23 25 39 13 0 0 4 0 2 0 6 4 0 0 25 25 25 6 2 5 3 2 2 3 37 37 4 3 37 4 0"
