rank,fitness,winrate,genome
1,-0.7379,1.0000,"2 39 26 25 2 26 26 25 25 25 37 25 2 25 25 4 25 26 6 26 5 37 25 2 26 2 25 25 2 27 2 27 25 26 25 25 25 25 2 25 25 39 25 25 25 25 2 39 37 25 27 7 2 25 26 25 25 25 25 25 25 25 25 26 25 2 27 26 25 2 2 26 2 27 25 39 2 25 25 25 2 39 25 25 2 25 2 4 2 2 6 39 39 25 39 25 2 2 25 25 25 15 25 25 25 25 26 26 12 12 12 25 16 25 16 16 16 26 25 16 2 16 12 27 2 25 16 12 25 15 25 5 12 27 12 16 25 25 25 8 2 25 16 12 12 25 12 9 27 12 16 12 25 8 25 25 25 25 16 16 12 27 8 27 2 12 16 2 12 12 16 2 25 25 16 16 2 25 26 7 27 16 16 12 26 25 12 12 12 25 16 25 16 14 12 27 15 25 2 12 16 2 2 11 2 37 2 2 6 2 37 2 10 2 2 2 2 2 2 2 12 2 2 2 41 6 5 11 2 2 2 10 2 2 2 2 31 2 2 11 2 11 2 10 37 11 2 2 2 2 4 2 2 6 2 2 2 2 2 2 2 2 37 5 38 37 6 4 37 2 2 37 31 2 2 6 2 2 2 2 2 2 6 2 41 2 31 10 2 4 5 4 2 10 2 6 2 2 2 2 0 3 14 0 14 3 0 0 0 12 0 0 3 3 0 3 0 12 0 3 3 3 3 3 0 0 12 0 0 0 0 3 3 0 3 0 3 12 3 3 0 0 3 40 0 0 40 0 14 3 0 0 0 0 0 0 3 3 0 0 3 0 3 0 3 0 0 3 0 3 0 0 0 0 3 0 0 0 0 3 3 0 0 3 3 0 3 3 0 3 0 3 3 12 0 0 3 0 0 0 0 27 0 41 12 0 26 38 0 12 0 0 3 12 13 0 41 3 12 1 3 25 12 0 1 25 12 3 38 0 13 27 3 27 3 27 13 26 12 0 25 0 0 12 12 0 0 38 3 12 0 3 38 0 39 27 38 12 13 0 3 0 33 12 3 27 3 12 0 13 3 26 26 13 12 27 3 1 3 1 0 26 12 31 12 3 3 3 0 0 0 13 12 0 0 0 27 12 0 25"
2,-0.6783,0.9130,"2 39 2 6 2 2 2 2 2 39 37 39 2 39 39 4 2 2 6 2 5 37 2 2 39 2 2 2 2 4 2 2 5 2 4 2 2 39 2 39 2 39 2 7 39 2 2 39 37 6 6 7 2 2 39 2 12 2 39 2 5 37 6 2 2 2 37 2 2 2 2 2 2 2 6 39 2 39 6 2 2 39 2 39 2 2 2 4 2 2 6 39 39 4 39 2 2 2 2 5 25 15 25 25 25 25 26 26 12 12 12 25 16 25 16 16 16 26 25 16 2 16 12 27 2 25 16 12 25 15 25 5 12 27 12 16 25 25 25 8 2 25 16 12 12 25 12 9 27 12 16 12 25 8 25 25 25 25 16 16 12 27 8 27 2 12 16 2 12 12 16 2 25 25 16 16 2 25 26 7 27 16 16 12 26 25 12 12 12 25 16 25 16 14 12 27 15 25 2 12 16 2 2 11 2 37 2 2 6 2 37 2 10 2 2 2 2 2 2 2 12 2 2 2 41 6 5 11 2 2 2 10 2 2 2 2 31 2 2 11 2 11 2 10 37 11 2 2 2 2 4 2 2 6 2 2 2 2 2 2 2 2 37 5 38 37 6 4 37 2 2 37 31 2 2 6 2 2 2 2 2 2 6 2 41 2 31 10 2 4 5 4 2 10 2 6 2 2 2 2 0 36 12 12 14 2 34 12 34 12 34 36 3 34 34 12 0 2 12 12 12 12 12 3 0 0 34 34 0 34 0 2 3 2 3 0 3 35 12 3 12 2 12 12 11 0 2 2 12 12 12 34 0 0 35 35 2 2 12 34 2 34 12 36 12 12 35 2 34 12 0 34 35 35 35 12 34 12 12 3 2 34 2 12 2 2 3 12 36 3 2 2 3 36 2 34 2 12 0 35 34 4 34 41 36 34 5 34 34 34 34 35 34 2 2 34 34 34 2 34 36 2 31 38 2 6 34 6 34 2 34 6 36 34 2 34 36 6 34 36 34 35 38 34 36 34 31 34 37 34 34 2 35 34 34 34 34 34 4 34 34 34 36 34 34 6 2 34 2 6 34 35 37 34 35 35 4 34 34 36 34 34 2 34 4 34 35 6 36 34 34 34 36 34 6 34 6 2 36 34"
3,-0.6592,0.9259,"2 39 2 6 2 2 2 2 2 39 37 39 2 39 39 4 2 2 6 2 5 37 2 2 39 2 2 2 2 4 2 2 5 2 4 2 2 39 2 39 2 39 2 7 39 2 2 39 37 6 6 7 2 2 39 2 12 2 39 2 5 37 6 2 2 2 37 2 2 2 2 2 2 2 6 39 2 39 6 2 2 39 2 39 2 2 2 4 2 2 6 39 39 4 39 2 2 2 2 5 25 15 25 25 25 25 26 26 12 12 12 25 16 25 16 16 16 26 25 16 2 16 12 27 2 25 16 12 25 15 25 5 12 27 12 16 25 25 25 8 2 25 16 12 12 25 12 9 27 12 16 12 25 8 25 25 25 25 16 16 12 27 8 27 2 12 16 2 12 12 16 2 25 25 16 16 2 25 26 7 27 16 16 12 26 25 12 12 12 25 16 25 16 14 12 27 15 25 2 12 16 2 38 11 2 1 1 38 6 2 38 2 10 0 2 1 13 2 1 2 12 2 2 2 41 6 5 11 2 13 1 38 2 13 2 2 3 1 3 11 38 38 2 10 37 11 2 2 2 2 4 1 2 3 13 2 1 2 2 2 2 2 38 5 38 3 3 1 37 2 0 37 31 1 13 6 2 2 2 2 38 2 6 2 1 2 31 10 2 4 13 4 2 3 2 6 2 2 38 2 0 3 14 0 14 3 0 0 0 12 0 0 3 3 0 3 0 12 0 3 3 3 3 3 0 0 12 0 0 0 0 3 3 0 3 0 3 12 3 3 0 0 3 40 0 0 40 0 14 3 0 0 0 0 0 0 3 3 0 0 3 0 3 0 3 0 0 3 0 3 0 0 0 0 3 0 0 0 0 3 3 0 0 3 3 0 3 3 0 3 0 3 3 12 0 0 3 0 0 0 0 23 23 41 23 23 23 24 24 23 23 23 23 23 23 0 41 23 23 23 23 25 12 0 23 25 12 23 24 23 24 23 23 23 23 23 13 26 23 0 23 23 23 23 23 0 0 23 23 23 23 24 23 0 23 27 38 12 13 23 23 23 33 23 23 27 23 12 23 13 3 23 23 23 23 27 3 23 23 1 23 23 12 23 23 24 3 23 0 0 0 23 23 0 0 0 27 23 23 23"
4,-0.6563,0.9231,"2 39 2 6 2 2 2 2 2 39 37 39 2 39 39 4 2 2 6 2 5 37 2 2 39 2 2 2 2 4 2 2 5 2 4 2 2 39 2 39 2 39 2 7 39 2 2 39 37 6 6 7 2 2 39 2 12 2 39 2 5 37 6 2 2 2 37 2 2 2 2 2 2 2 6 39 2 39 6 2 2 39 2 39 2 2 2 4 2 2 6 39 39 4 39 2 2 2 2 5 25 15 25 25 25 25 26 26 12 12 12 25 16 25 16 16 16 26 25 16 2 16 12 27 2 25 16 12 25 15 25 5 12 27 12 16 25 25 25 8 2 25 16 12 12 25 12 9 27 12 16 12 25 8 25 25 25 25 16 16 12 27 8 27 2 12 16 2 12 12 16 2 25 25 16 16 2 25 26 7 27 16 16 12 26 25 12 12 12 25 16 25 16 14 12 27 15 25 2 12 16 2 38 11 2 1 1 38 6 2 38 2 10 0 2 1 13 2 1 2 12 2 2 2 41 6 5 11 2 13 1 38 2 13 2 2 3 1 3 11 38 38 2 10 37 11 2 2 2 2 4 1 2 3 13 2 1 2 2 2 2 2 38 5 38 3 3 1 37 2 0 37 31 1 13 6 2 2 2 2 38 2 6 2 1 2 31 10 2 4 13 4 2 3 2 6 2 2 38 2 0 3 14 0 14 3 0 0 0 12 0 0 3 3 0 3 0 12 0 3 3 3 3 3 0 0 12 0 0 0 0 3 3 0 3 0 3 12 3 3 0 0 3 40 0 0 40 0 14 3 0 0 0 0 0 0 3 3 0 0 3 0 3 0 3 0 0 3 0 3 0 0 0 0 3 0 0 0 0 3 3 0 0 3 3 0 3 3 0 3 0 3 3 12 0 0 3 0 0 0 0 23 23 41 23 23 23 24 24 23 23 23 23 23 23 0 41 23 23 23 23 25 12 0 23 25 12 23 24 23 24 23 23 23 23 23 13 26 23 0 23 23 23 23 23 0 0 23 23 23 23 24 23 0 23 27 38 12 13 23 23 23 33 23 23 27 23 12 23 13 3 23 23 23 23 27 3 23 23 1 23 23 12 23 23 24 3 23 0 0 0 23 23 0 0 0 27 23 23 23"
5,-0.6550,0.9200,"2 39 2 6 2 2 2 2 2 39 37 39 2 39 39 4 2 2 6 2 5 37 2 2 39 2 2 2 2 4 2 2 5 2 4 2 2 39 2 39 2 39 2 7 39 2 2 39 37 6 6 7 2 2 39 2 12 2 39 2 5 37 6 2 2 2 37 2 2 2 2 2 2 2 6 39 2 39 6 2 2 39 2 39 2 2 2 4 2 2 6 39 39 4 39 2 2 2 2 5 25 15 25 25 25 25 26 26 12 12 12 25 16 25 16 16 16 26 25 16 2 16 12 27 2 25 16 12 25 15 25 5 12 27 12 16 25 25 25 8 2 25 16 12 12 25 12 9 27 12 16 12 25 8 25 25 25 25 16 16 12 27 8 27 2 12 16 2 12 12 16 2 25 25 16 16 2 25 26 7 27 16 16 12 26 25 12 12 12 25 16 25 16 14 12 27 15 25 2 12 34 2 2 11 34 34 2 2 6 34 37 2 35 34 2 34 2 2 34 36 36 2 2 2 41 34 35 34 2 2 34 10 34 2 2 34 34 2 34 34 35 11 2 10 34 11 2 36 36 34 34 34 36 34 36 2 2 2 2 34 34 2 36 34 34 34 34 34 34 34 34 34 31 34 2 6 34 35 34 34 34 2 6 2 36 34 34 34 34 35 34 35 2 34 34 34 36 34 34 34 39 3 14 0 39 3 0 0 0 12 39 39 3 39 0 3 39 39 0 39 3 39 3 3 39 0 39 0 39 39 0 39 3 0 3 39 39 12 3 3 0 0 3 39 0 39 39 0 14 3 0 0 0 0 0 0 39 39 0 0 3 39 3 39 3 0 0 39 0 39 0 0 0 0 3 39 39 39 0 39 3 0 0 39 39 39 3 3 0 3 39 39 3 39 39 39 3 39 0 0 0 27 0 41 12 0 26 38 0 12 0 0 3 12 13 0 41 3 12 1 3 25 12 0 1 25 12 3 38 0 13 27 3 27 3 27 13 26 12 0 25 0 0 12 12 0 0 38 3 12 0 3 38 0 39 27 38 12 13 0 3 0 33 12 3 27 3 12 0 13 3 26 26 13 12 27 3 1 3 1 0 26 12 31 12 3 3 3 0 0 0 13 12 0 0 0 27 12 0 25"
6,-0.6535,0.8846,"2 39 2 6 2 2 2 2 2 39 37 39 2 39 39 4 2 2 6 2 5 37 2 2 39 2 2 2 2 4 2 2 5 2 4 2 2 39 2 39 2 39 2 7 39 2 2 39 37 6 6 7 2 2 39 2 12 2 39 2 5 37 6 2 2 2 37 2 2 2 2 2 2 2 6 39 2 39 6 2 2 39 2 39 2 2 2 4 2 2 6 39 39 4 39 2 2 2 2 5 25 15 25 25 25 25 26 26 12 12 12 25 16 25 16 16 16 26 25 16 2 16 12 27 2 25 16 12 25 15 25 5 12 27 12 16 25 25 25 8 2 25 16 12 12 25 12 9 27 12 16 12 25 8 25 25 25 25 16 16 12 27 8 27 2 12 16 2 12 12 16 2 25 25 16 16 2 25 26 7 27 16 16 12 26 25 12 12 12 25 16 25 16 14 12 27 15 25 2 12 16 2 2 11 2 37 2 2 6 2 37 2 10 2 2 2 2 2 2 2 12 2 2 2 41 6 5 11 2 2 2 10 2 2 2 2 31 2 2 11 2 11 2 10 37 11 2 2 2 2 4 2 2 6 2 2 2 2 2 2 2 2 37 5 38 37 6 4 37 2 2 37 31 2 2 6 2 2 2 2 2 2 6 2 41 2 31 10 2 4 5 4 2 10 2 6 2 2 2 2 0 36 12 12 14 2 34 12 34 12 34 36 3 34 34 12 0 2 12 12 12 12 12 3 0 0 34 34 0 34 0 2 3 2 3 0 3 35 12 3 12 2 12 12 11 0 2 2 12 12 12 34 0 0 35 35 2 2 12 34 2 34 12 36 12 12 35 2 34 12 0 34 35 35 35 12 34 12 12 3 2 34 2 12 2 2 3 12 36 3 2 2 3 36 2 34 2 12 0 35 34 4 34 41 36 34 5 34 34 34 34 35 34 2 2 34 34 34 2 34 36 2 31 38 2 6 34 6 34 2 34 6 36 34 2 34 36 6 34 36 34 35 38 34 36 34 31 34 37 34 34 2 35 34 34 34 34 34 4 34 34 34 36 34 34 6 2 34 2 6 34 35 37 34 35 35 4 34 34 36 34 34 2 34 4 34 35 6 36 34 34 34 36 34 6 34 6 2 36 34"
7,-0.6471,0.9167,"2 39 2 6 2 2 2 2 2 39 37 39 2 39 39 4 2 2 6 2 5 37 2 2 39 2 2 2 2 4 2 2 5 2 4 2 2 39 2 39 2 39 2 7 39 2 2 39 37 6 6 7 2 2 39 2 12 2 39 2 5 37 6 2 2 2 37 2 2 2 2 2 2 2 6 39 2 39 6 2 2 39 2 39 2 2 2 4 2 2 6 39 39 4 39 2 2 2 2 5 25 15 25 25 25 25 26 26 12 12 12 25 16 25 16 16 16 26 25 16 2 16 12 27 2 25 16 12 25 15 25 5 12 27 12 16 25 25 25 8 2 25 16 12 12 25 12 9 27 12 16 12 25 8 25 25 25 25 16 16 12 27 8 27 2 12 16 2 12 12 16 2 25 25 16 16 2 25 26 7 27 16 16 12 26 25 12 12 12 25 16 25 16 14 12 27 15 25 2 12 16 2 38 11 2 1 1 38 6 2 38 2 10 0 2 1 13 2 1 2 12 2 2 2 41 6 5 11 2 13 1 38 2 13 2 2 3 1 3 11 38 38 2 10 37 11 2 2 2 2 4 1 2 3 13 2 1 2 2 2 2 2 38 5 38 3 3 1 37 2 0 37 31 1 13 6 2 2 2 2 38 2 6 2 1 2 31 10 2 4 13 4 2 3 2 6 2 2 38 2 0 3 14 0 14 3 0 0 0 12 0 0 3 3 0 3 0 12 0 3 3 3 3 3 0 0 12 0 0 0 0 3 3 0 3 0 3 12 3 3 0 0 3 40 0 0 40 0 14 3 0 0 0 0 0 0 3 3 0 0 3 0 3 0 3 0 0 3 0 3 0 0 0 0 3 0 0 0 0 3 3 0 0 3 3 0 3 3 0 3 0 3 3 12 0 0 3 0 0 0 0 23 23 41 23 23 23 24 24 23 23 23 23 23 23 0 41 23 23 23 23 25 12 0 23 25 12 23 24 23 24 23 23 23 23 23 13 26 23 0 23 23 23 23 23 0 0 23 23 23 23 24 23 0 23 27 38 12 13 23 23 23 33 23 23 27 23 12 23 13 3 23 23 23 23 27 3 23 23 1 23 23 12 23 23 24 3 23 0 0 0 23 23 0 0 0 27 23 23 23"
8,-0.6289,0.9048,"2 39 2 6 2 2 2 2 2 39 37 39 2 39 39 4 2 2 6 2 5 37 2 2 39 2 2 2 2 4 2 2 5 2 4 2 2 39 2 39 2 39 2 7 39 2 2 39 37 6 6 7 2 2 39 2 12 2 39 2 5 37 6 2 2 2 37 2 2 2 2 2 2 2 6 39 2 39 6 2 2 39 2 39 2 2 2 4 2 2 6 39 39 4 39 2 2 2 2 5 25 15 25 25 25 25 26 26 12 12 12 25 16 25 16 16 16 26 25 16 2 16 12 27 2 25 16 12 25 15 25 5 12 27 12 16 25 25 25 8 2 25 16 12 12 25 12 9 27 12 16 12 25 8 25 25 25 25 16 16 12 27 8 27 2 12 16 2 12 12 16 2 25 25 16 16 2 25 26 7 27 16 16 12 26 25 12 12 12 25 16 25 16 14 12 27 15 25 2 12 16 2 2 11 2 37 2 2 6 2 37 2 10 2 2 2 2 2 2 2 12 2 2 2 41 6 5 11 2 2 2 10 2 2 2 2 31 2 2 11 2 11 2 10 37 11 2 2 2 2 4 2 2 6 2 2 2 2 2 2 2 2 37 5 38 37 6 4 37 2 2 37 31 2 2 6 2 2 2 2 2 2 6 2 41 2 31 10 2 4 5 4 2 10 2 6 2 2 2 2 0 3 14 0 14 3 0 0 0 12 0 0 3 3 0 3 0 12 0 3 3 3 3 3 0 0 12 0 0 0 0 3 3 0 3 0 3 12 3 3 0 0 3 40 0 0 40 0 14 3 0 0 0 0 0 0 3 3 0 0 3 0 3 0 3 0 0 3 0 3 0 0 0 0 3 0 0 0 0 3 3 0 0 3 3 0 3 3 0 3 0 3 3 12 0 0 3 0 0 0 0 27 0 41 12 12 12 12 12 12 12 0 3 32 12 0 12 3 12 12 3 33 12 0 12 12 12 12 12 12 31 12 3 12 31 12 12 26 12 0 25 12 33 12 12 33 0 12 3 12 0 33 12 32 12 31 32 12 12 0 33 0 12 32 3 27 3 12 0 31 12 26 32 12 12 12 3 1 12 1 0 31 12 31 12 3 3 3 12 12 0 32 12 0 0 0 32 12 32 25"
9,-0.6189,0.8889,"2 39 2 6 2 2 2 2 2 39 37 39 2 39 39 4 2 2 6 2 5 37 2 2 39 2 2 2 2 4 2 2 5 2 4 2 2 39 2 39 2 39 2 7 39 2 2 39 37 6 6 7 2 2 39 2 12 2 39 2 5 37 6 2 2 2 37 2 2 2 2 2 2 2 6 39 2 39 6 2 2 39 2 39 2 2 2 4 2 2 6 39 39 4 39 2 2 2 2 5 25 15 25 25 25 25 26 26 12 12 12 25 16 25 16 16 16 26 25 16 2 16 12 27 2 25 16 12 25 15 25 5 12 27 12 16 25 25 25 8 2 25 16 12 12 25 12 9 27 12 16 12 25 8 25 25 25 25 16 16 12 27 8 27 2 12 16 2 12 12 16 2 25 25 16 16 2 25 26 7 27 16 16 12 26 25 12 12 12 25 16 25 16 14 12 27 15 25 2 12 16 2 38 11 2 1 1 38 6 2 38 2 10 0 2 1 13 2 1 2 12 2 2 2 41 6 5 11 2 13 1 38 2 13 2 2 3 1 3 11 38 38 2 10 37 11 2 2 2 2 4 1 2 3 13 2 1 2 2 2 2 2 38 5 38 3 3 1 37 2 0 37 31 1 13 6 2 2 2 2 38 2 6 2 1 2 31 10 2 4 13 4 2 3 2 6 2 2 38 2 0 3 14 0 14 3 0 0 0 12 0 0 3 3 0 3 0 12 0 3 3 3 3 3 0 0 12 0 0 0 0 3 3 0 3 0 3 12 3 3 0 0 3 40 0 0 40 0 14 3 0 0 0 0 0 0 3 3 0 0 3 0 3 0 3 0 0 3 0 3 0 0 0 0 3 0 0 0 0 3 3 0 0 3 3 0 3 3 0 3 0 3 3 12 0 0 3 0 0 0 0 23 23 41 23 23 23 24 24 23 23 23 23 23 23 0 41 23 23 23 23 25 12 0 23 25 12 23 24 23 24 23 23 23 23 23 13 26 23 0 23 23 23 23 23 0 0 23 23 23 23 24 23 0 23 27 38 12 13 23 23 23 33 23 23 27 23 12 23 13 3 23 23 23 23 27 3 23 23 1 23 23 12 23 23 24 3 23 0 0 0 23 23 0 0 0 27 23 23 23"
10,-0.5911,0.8571,"2 39 2 6 2 2 2 2 2 39 37 39 2 39 39 4 2 2 6 2 5 37 2 2 39 2 2 2 2 4 2 2 5 2 4 2 2 39 2 39 2 39 2 7 39 2 2 39 37 6 6 7 2 2 39 2 12 2 39 2 5 37 6 2 2 2 37 2 2 2 2 2 2 2 6 39 2 39 6 2 2 39 2 39 2 2 2 4 2 2 6 39 39 4 39 2 2 2 2 5 25 15 25 25 25 25 26 26 12 12 12 25 16 25 16 16 16 26 25 16 2 16 12 27 2 25 16 12 25 15 25 5 12 27 12 16 25 25 25 8 2 25 16 12 12 25 12 9 27 12 16 12 25 8 25 25 25 25 16 16 12 27 8 27 2 12 16 2 12 12 16 2 25 25 16 16 2 25 26 7 27 16 16 12 26 25 12 12 12 25 16 25 16 14 12 27 15 25 2 12 21 21 22 11 2 21 22 2 6 21 21 21 22 2 21 21 22 2 21 2 12 22 22 21 22 6 21 21 2 2 21 21 2 21 21 2 31 2 21 21 2 21 21 21 21 11 21 21 2 2 21 22 22 6 21 21 2 21 2 21 2 22 37 22 38 37 21 21 37 21 2 22 31 2 2 22 2 21 2 21 2 21 21 21 21 21 31 21 2 21 5 21 2 21 21 22 21 21 2 21 0 3 14 0 14 3 0 0 0 12 0 0 3 3 0 3 0 12 0 3 3 3 3 3 0 0 12 0 0 0 0 3 3 0 3 0 3 12 3 3 0 0 3 40 0 0 40 0 14 3 0 0 0 0 0 0 3 3 0 0 3 0 3 0 3 0 0 3 0 3 0 0 0 0 3 0 0 0 0 3 3 0 0 3 3 0 3 3 0 3 0 3 3 12 0 0 3 0 0 0 0 27 0 41 12 0 26 38 0 12 0 0 3 12 13 0 41 3 12 1 3 25 12 0 1 25 12 3 38 0 13 27 3 27 3 27 13 26 12 0 25 0 0 12 12 0 0 38 3 12 0 3 38 0 39 27 38 12 13 0 3 0 33 12 3 27 3 12 0 13 3 26 26 13 12 27 3 1 3 1 0 26 12 31 12 3 3 3 0 0 0 13 12 0 0 0 27 12 0 25"
