# seed=9
# instance=PIECEWISE
# popSize=50
# generations=100
# crossover=BlockUniform(p=0.75)
# mutation=p0=0.002,pMin=0.002,alpha=0.95
# tournamentK=3
# elitism=2
# lambda_similarity=0.3
# fights_per_team=10
# anchors=5
gen,changes,best_fitness,best_winrate,best_similarity,avg_fitness,worst_fitness,best_genome
0,1,-0.5730,0.8519,0.9296,-0.1643,0.2720,"10 8 25 32 40 21 38 37 18 13 24 22 20 32 21 21 11 10 22 16 34 32 6 26 21 24 26 39 38 2 0 16 21 28 19 36 25 5 14 22 13 38 10 4 16 8 5 42 35 6 14 19 20 4 9 30 22 0 25 37 14 29 41 35 21 1 26 4 32 25 39 34 39 39 6 23 1 25 29 28 36 9 32 35 19 10 11 17 14 36 23 16 7 13 28 28 37 42 9 38 26 14 24 15 16 35 10 34 33 28 37 39 21 33 15 39 5 37 22 29 26 20 36 11 42 8 2 31 8 40 21 33 40 31 20 34 18 42 36 33 21 2 26 10 30 40 20 14 18 11 28 42 21 1 13 16 0 9 41 4 29 20 38 34 12 6 33 28 1 16 21 39 24 27 17 12 19 16 5 1 42 34 37 28 27 31 4 32 23 28 12 40 0 10 12 2 24 42 17 32 29 1 0 39 19 11 6 35 9 0 12 30 15 9 27 0 29 40 42 27 38 33 11 37 25 39 12 18 32 14 39 24 5 26 14 6 2 2 34 2 17 24 14 42 34 22 22 18 28 2 25 9 18 17 21 31 38 16 21 5 2 17 32 20 13 39 8 28 15 34 25 17 25 16 38 5 30 1 11 12 38 39 35 35 2 35 21 6 30 7 36 40 42 36 33 11 28 15 12 40 0 20 25 35 7 31 27 0 2 14 9 5 14 2 35 9 24 13 4 29 33 39 28 24 9 34 31 14 22 6 41 23 20 19 40 28 11 3 36 1 15 30 25 11 23 15 27 31 14 6 42 39 33 27 41 25 42 40 37 20 2 14 41 11 5 31 10 3 11 34 31 13 34 28 36 21 6 37 7 42 2 37 35 8 3 6 4 10 7 9 42 19 33 15 7 38 4 6 30 22 10 38 36 18 31 29 8 0 31 12 5 34 18 2 23 9 3 5 4 27 23 37 23 5 4 32 42 16 1 32 9 16 33 7 28 27 18 24 22 14 32 9 19 28 10 13 12 36 4 21 2 14 36 34 13 14 6 13 42 19 26 15 15 27 2 22 21 36 35 22 4 0 41 18 1 15 11 5 18 35 19 36 41 7 8 8 7 20 32 11 3 21 9 33 15 30 38 8 23 28"
1,2,-0.6545,0.8800,0.7516,-0.3978,-0.2067,"15 32 30 19 14 19 12 19 39 2 35 25 4 17 12 10 21 19 25 12 1 6 8 32 37 5 21 10 26 0 8 2 11 24 8 25 33 10 10 16 39 32 29 25 31 38 10 26 10 35 9 10 28 36 15 34 27 6 22 8 4 34 4 22 17 14 33 2 20 34 34 28 1 32 6 20 10 4 6 31 35 18 18 32 24 25 1 40 6 11 10 26 21 22 35 0 1 34 19 34 22 23 31 13 26 26 1 31 21 0 26 6 0 25 27 7 20 14 41 20 27 21 9 23 1 26 42 35 21 9 1 0 30 11 36 33 4 4 35 25 12 2 24 13 4 17 21 37 14 32 21 2 41 23 24 11 5 13 41 37 22 8 5 26 39 13 40 1 0 14 0 42 10 9 10 0 36 28 32 31 2 9 37 8 37 4 40 8 22 26 14 20 36 40 23 17 40 9 17 38 25 37 16 36 36 22 1 21 10 0 15 15 27 30 36 11 4 31 16 36 40 18 34 17 38 0 40 11 2 5 11 7 14 41 27 21 40 42 16 42 35 18 42 31 27 30 2 0 8 14 12 36 7 0 34 37 32 1 1 7 26 18 12 35 42 30 11 33 38 36 13 38 20 6 4 13 13 42 11 2 26 37 41 28 9 22 2 35 41 16 8 25 40 6 11 5 0 35 22 9 23 23 34 23 23 24 23 23 32 3 23 23 3 23 19 24 38 23 23 23 10 23 24 23 39 23 13 23 24 13 23 23 23 24 38 24 24 1 23 23 23 23 23 23 23 23 36 24 10 23 23 23 24 23 38 0 24 23 36 23 0 23 42 0 42 0 1 23 23 24 23 11 16 23 23 23 23 28 23 23 19 0 18 13 1 2 23 23 23 23 24 23 23 7 23 24 24 15 42 1 0 7 12 25 2 1 23 19 1 0 7 12 13 27 8 41 31 21 11 26 26 38 36 14 5 41 5 14 39 1 5 25 28 34 15 13 1 9 41 18 10 33 7 27 32 37 21 39 25 8 30 14 1 33 39 27 9 28 25 25 15 42 26 18 35 31 27 32 12 13 17 40 12 16 6 38 35 4 25 23 9 14 3 4 38 32 12 40 30 1 40 20 15 2 15 11 23 23 5 35"
2,3,-0.6954,0.9167,0.7376,-0.4331,-0.2217,"36 23 23 23 30 23 23 23 23 23 2 9 23 17 34 23 18 23 38 35 10 37 23 23 39 23 23 24 23 23 23 24 29 23 6 23 3 27 23 23 23 22 24 23 23 18 23 24 23 24 2 24 24 23 19 23 24 22 29 23 23 23 23 23 24 29 12 24 36 23 23 23 28 23 23 40 19 24 23 23 23 21 0 28 13 27 23 23 12 23 23 23 22 27 16 17 16 33 23 24 10 28 40 4 32 36 3 28 2 1 42 31 27 3 15 20 26 29 2 18 29 37 41 24 7 34 13 23 3 17 10 10 15 7 28 41 1 2 26 25 39 2 30 10 39 38 23 42 40 0 14 35 24 14 8 27 30 1 42 21 15 31 25 42 11 27 0 29 38 35 10 16 8 10 11 29 28 25 14 13 39 20 31 22 37 25 8 24 2 34 8 8 18 24 26 37 30 16 33 17 3 3 41 4 0 0 0 33 3 40 0 4 15 4 14 13 0 39 10 41 0 23 35 39 26 42 3 11 37 18 0 35 3 0 10 34 8 39 0 2 0 26 0 8 10 9 0 3 3 9 0 26 3 3 0 3 0 21 0 1 3 3 32 3 3 0 24 27 10 0 19 0 3 0 11 0 3 7 10 6 3 0 3 18 40 3 2 0 0 41 31 6 0 9 10 8 24 0 3 35 3 38 19 30 0 3 18 4 3 3 30 13 13 4 22 11 13 7 35 16 17 38 18 0 13 8 3 3 13 1 6 6 33 3 4 16 12 1 31 26 40 9 2 24 3 1 25 19 0 41 30 17 39 6 20 1 0 22 16 16 3 30 3 14 1 27 13 3 0 37 25 38 29 3 19 5 27 13 13 38 36 13 32 0 13 1 39 12 12 14 39 38 38 41 15 0 38 21 12 0 2 4 40 31 2 35 40 2 9 11 2 27 2 2 11 2 34 25 29 3 0 39 0 33 2 2 2 2 26 11 2 2 2 2 19 2 32 10 2 2 24 13 2 2 27 22 2 2 10 2 2 10 27 2 19 2 2 2 2 27 2 33 2 2 11 2 2 33 7 2 16 5 9 2 26 42 40 2 9 2 2 2 2 13 2 2 2 4 2 2 9 11 41 2 27 32 2 10 2 6"
3,3,-0.6847,0.9167,0.7732,-0.4389,-0.2491,"36 23 23 23 30 23 23 23 23 23 2 9 23 17 34 23 18 23 38 35 10 37 23 23 39 23 23 24 23 23 23 24 29 23 6 23 3 27 23 23 23 22 24 23 23 18 23 24 23 24 2 24 24 23 19 23 24 22 29 23 23 23 23 23 24 29 12 24 36 23 23 23 28 23 23 40 19 24 23 23 23 21 0 28 13 27 23 23 12 23 23 23 22 27 16 17 16 33 23 24 10 28 40 4 32 36 3 28 2 1 42 31 27 3 15 20 26 29 2 18 29 37 41 24 7 34 13 23 3 17 10 10 15 7 28 41 1 2 26 25 39 2 30 10 39 38 23 42 40 0 14 35 24 14 8 27 30 1 42 21 15 31 25 42 11 27 0 29 38 35 10 16 8 10 11 29 28 25 14 13 39 20 31 22 37 25 8 24 2 34 8 8 18 24 26 37 30 16 33 17 3 3 41 4 0 0 0 33 3 40 0 4 15 4 14 13 0 39 10 41 0 23 35 39 26 42 3 11 37 18 0 35 3 0 10 34 8 39 0 2 0 26 0 8 10 9 0 3 3 9 0 26 3 3 0 3 0 21 0 1 3 3 32 3 3 0 24 27 10 0 19 0 3 0 11 0 3 7 10 6 3 0 3 18 40 3 2 0 0 41 31 6 0 9 10 8 24 0 3 35 3 38 19 30 0 3 18 4 3 3 30 13 13 4 22 11 13 7 35 16 17 38 18 0 13 8 3 3 13 1 6 6 33 3 4 16 12 1 31 26 40 9 2 24 3 1 25 19 0 41 30 17 39 6 20 1 0 22 16 16 3 30 3 14 1 27 13 3 0 37 25 38 29 3 19 5 27 13 13 38 36 13 32 0 13 1 39 12 12 14 39 38 38 41 15 0 38 21 12 0 2 4 40 31 2 35 40 2 9 11 2 27 2 2 11 2 34 25 29 3 0 39 0 33 2 2 2 2 26 11 2 2 2 2 19 2 32 10 2 2 24 13 2 2 27 22 2 2 10 2 2 10 27 2 19 2 2 2 2 27 2 33 2 2 11 2 2 33 7 2 16 5 9 2 26 42 40 2 9 2 2 2 2 13 2 2 2 4 2 2 9 11 41 2 27 32 2 10 2 6"
4,4,-0.7254,0.9286,0.6773,-0.4458,-0.2686,"36 23 23 23 30 23 23 23 23 23 2 9 23 17 34 23 18 23 38 35 10 37 23 23 39 23 23 24 23 23 23 24 29 23 6 23 3 27 23 23 23 22 24 23 23 18 23 24 23 24 2 24 24 23 19 23 24 22 29 23 23 23 23 23 24 29 12 24 36 23 23 23 28 23 23 40 19 24 23 23 23 21 0 28 13 27 23 23 12 23 23 23 22 27 16 17 16 33 23 24 41 41 40 38 41 41 41 28 1 3 0 3 41 3 41 41 41 3 41 18 29 37 41 41 7 0 1 41 3 41 41 10 1 0 0 0 38 2 26 41 0 41 0 38 41 38 23 41 1 3 41 41 41 14 0 41 41 41 41 21 41 0 41 41 11 3 0 29 13 41 10 0 0 41 41 41 0 41 0 41 41 3 41 0 37 25 1 41 2 34 1 8 18 41 41 13 30 1 41 17 2 2 25 2 2 27 25 2 3 25 8 2 2 7 2 27 27 39 25 2 2 23 35 27 2 8 7 8 8 25 2 2 7 2 2 7 25 25 25 25 2 8 2 8 27 9 8 2 8 9 27 2 2 2 2 3 25 25 7 27 3 8 7 3 3 2 8 7 2 0 25 2 7 7 11 25 2 7 8 8 8 2 25 2 2 25 2 2 7 2 27 2 2 25 8 8 25 0 25 2 3 38 19 30 0 3 18 4 3 3 30 13 13 4 22 11 13 7 35 16 17 38 18 0 13 8 3 3 13 1 6 6 33 3 4 16 12 1 31 26 40 9 2 24 3 1 25 19 0 41 30 17 39 6 20 1 0 22 16 16 3 30 3 14 1 27 13 3 0 37 25 38 29 3 19 5 27 13 13 38 36 13 32 0 13 1 39 12 12 14 39 38 38 41 15 0 38 21 12 0 12 21 12 22 2 22 40 12 9 21 2 22 22 2 11 12 34 22 12 12 22 12 21 12 2 2 12 12 26 11 21 2 22 12 12 2 12 12 2 22 22 12 22 12 12 22 21 22 10 22 12 22 22 2 19 22 2 12 12 21 22 33 2 22 11 12 2 12 21 2 12 12 22 2 26 21 21 12 9 12 12 2 12 13 2 22 2 4 21 2 21 11 41 2 22 21 2 10 12 6"
5,4,-0.6486,0.8750,0.7546,-0.4663,-0.2802,"36 23 23 23 30 23 23 23 23 23 2 9 23 17 34 23 18 23 38 35 10 37 23 23 39 23 23 24 23 23 23 24 29 23 6 23 3 27 23 23 23 22 24 23 23 18 23 24 23 24 2 24 24 23 19 23 24 22 29 23 23 23 23 23 24 29 12 24 36 23 23 23 28 23 23 40 19 24 23 23 23 21 0 28 13 27 23 23 12 23 23 23 22 27 16 17 16 33 23 24 41 41 40 38 41 41 41 28 1 3 0 3 41 3 41 41 41 3 41 18 29 37 41 41 7 0 1 41 3 41 41 10 1 0 0 0 38 2 26 41 0 41 0 38 41 38 23 41 1 3 41 41 41 14 0 41 41 41 41 21 41 0 41 41 11 3 0 29 13 41 10 0 0 41 41 41 0 41 0 41 41 3 41 0 37 25 1 41 2 34 1 8 18 41 41 13 30 1 41 17 2 2 25 2 2 27 25 2 3 25 8 2 2 7 2 27 27 39 25 2 2 23 35 27 2 8 7 8 8 25 2 2 7 2 2 7 25 25 25 25 2 8 2 8 27 9 8 2 8 9 27 2 2 2 2 3 25 25 7 27 3 8 7 3 3 2 8 7 2 0 25 2 7 7 11 25 2 7 8 8 8 2 25 2 2 25 2 2 7 2 27 2 2 25 8 8 25 0 25 2 3 38 19 30 0 3 18 4 3 3 30 13 13 4 22 11 13 7 35 16 17 38 18 0 13 8 3 3 13 1 6 6 33 3 4 16 12 1 31 26 40 9 2 24 3 1 25 19 0 41 30 17 39 6 20 1 0 22 16 16 3 30 3 14 1 27 13 3 0 37 25 38 29 3 19 5 27 13 13 38 36 13 32 0 13 1 39 12 12 14 39 38 38 41 15 0 38 21 12 0 12 21 12 22 2 22 40 12 9 21 2 22 22 2 11 12 34 22 12 12 22 12 21 12 2 2 12 12 26 11 21 2 22 12 12 2 12 12 2 22 22 12 22 12 12 22 21 22 10 22 12 22 22 2 19 22 2 12 12 21 22 33 2 22 11 12 2 12 21 2 12 12 22 2 26 21 21 12 9 12 12 2 12 13 2 22 2 4 21 2 21 11 41 2 22 21 2 10 12 6"
6,4,-0.6948,0.8929,0.6600,-0.4720,-0.2966,"36 23 23 23 30 23 23 23 23 23 2 9 23 17 34 23 18 23 38 35 10 37 23 23 39 23 23 24 23 23 23 24 29 23 6 23 3 27 23 23 23 22 24 23 23 18 23 24 23 24 2 24 24 23 19 23 24 22 29 23 23 23 23 23 24 29 12 24 36 23 23 23 28 23 23 40 19 24 23 23 23 21 0 28 13 27 23 23 12 23 23 23 22 27 16 17 16 33 23 24 41 41 40 38 41 41 41 28 1 3 0 3 41 3 41 41 41 3 41 18 29 37 41 41 7 0 1 41 3 41 41 10 1 0 0 0 38 2 26 41 0 41 0 38 41 38 23 41 1 3 41 41 41 14 0 41 41 41 41 21 41 0 41 41 11 3 0 29 13 41 10 0 0 41 41 41 0 41 0 41 41 3 41 0 37 25 1 41 2 34 1 8 18 41 41 13 30 1 41 17 2 2 25 2 2 27 25 2 3 25 8 2 2 7 2 27 27 39 25 2 2 23 35 27 2 8 7 8 8 25 2 2 7 2 2 7 25 25 25 25 2 8 2 8 27 9 8 2 8 9 27 2 2 2 2 3 25 25 7 27 3 8 7 3 3 2 8 7 2 0 25 2 7 7 11 25 2 7 8 8 8 2 25 2 2 25 2 2 7 2 27 2 2 25 8 8 25 0 25 2 3 38 19 30 0 3 18 4 3 3 30 13 13 4 22 11 13 7 35 16 17 38 18 0 13 8 3 3 13 1 6 6 33 3 4 16 12 1 31 26 40 9 2 24 3 1 25 19 0 41 30 17 39 6 20 1 0 22 16 16 3 30 3 14 1 27 13 3 0 37 25 38 29 3 19 5 27 13 13 38 36 13 32 0 13 1 39 12 12 14 39 38 38 41 15 0 38 21 12 0 12 21 12 22 2 22 40 12 9 21 2 22 22 2 11 12 34 22 12 12 22 12 21 12 2 2 12 12 26 11 21 2 22 12 12 2 12 12 2 22 22 12 22 12 12 22 21 22 10 22 12 22 22 2 19 22 2 12 12 21 22 33 2 22 11 12 2 12 21 2 12 12 22 2 26 21 21 12 9 12 12 2 12 13 2 22 2 4 21 2 21 11 41 2 22 21 2 10 12 6"
7,5,-0.7283,0.9600,0.7722,-0.4665,-0.2971,"38 25 13 1 12 18 18 10 18 6 12 17 17 12 12 18 12 17 22 18 17 17 12 9 12 6 12 12 12 12 17 5 6 12 13 6 12 14 12 4 12 17 12 12 18 12 2 17 18 17 35 16 12 2 6 19 18 12 13 6 13 12 12 12 12 17 4 9 17 3 12 38 17 12 12 17 3 2 12 18 34 2 37 8 30 12 9 12 18 18 17 5 41 12 37 12 13 17 36 38 2 2 24 16 2 29 33 6 22 25 2 33 2 34 0 29 2 5 5 26 4 37 2 39 20 22 2 6 2 2 5 2 2 2 35 2 9 2 38 12 2 2 2 2 2 2 4 34 2 2 31 2 2 37 20 2 16 2 6 22 2 34 4 24 28 25 37 2 2 4 2 2 2 2 37 2 2 17 2 37 42 37 2 2 2 17 39 6 38 42 20 31 2 2 5 2 24 3 15 13 1 0 41 4 13 0 0 33 3 40 0 38 15 1 14 13 1 39 10 41 0 41 41 39 1 41 41 0 37 1 3 38 3 0 38 41 8 41 0 41 0 41 13 0 38 9 0 41 41 9 0 26 3 3 3 41 1 1 1 13 3 3 41 41 1 41 24 27 3 0 19 41 41 0 11 0 41 41 38 1 41 0 41 18 13 41 41 0 0 41 41 6 0 9 41 41 41 0 3 35 6 42 2 2 0 2 2 42 4 12 37 2 13 2 42 16 2 2 2 2 5 42 18 2 2 2 3 12 42 1 6 2 2 37 2 2 2 2 42 2 16 37 2 42 2 2 16 12 12 4 2 12 2 4 42 2 2 2 2 2 42 2 6 2 42 12 2 2 6 37 25 2 4 42 2 2 2 2 12 2 5 42 12 2 12 5 42 5 4 2 2 38 2 42 2 2 42 6 2 2 15 35 40 37 33 9 36 5 40 40 21 3 35 40 1 40 36 33 40 12 17 12 40 40 40 28 7 38 20 40 31 13 11 40 32 40 40 40 7 8 40 8 20 24 13 33 38 11 18 40 24 40 24 5 21 40 15 40 7 13 40 40 14 40 40 29 40 36 0 40 40 9 40 8 27 40 40 40 40 40 40 1 40 23 26 34 26 40 4 40 0 24 40 17 9 40 1 40 7 40"
8,5,-0.6755,0.9167,0.8039,-0.4727,-0.3039,"38 25 13 1 12 18 18 10 18 6 12 17 17 12 12 18 12 17 22 18 17 17 12 9 12 6 12 12 12 12 17 5 6 12 13 6 12 14 12 4 12 17 12 12 18 12 2 17 18 17 35 16 12 2 6 19 18 12 13 6 13 12 12 12 12 17 4 9 17 3 12 38 17 12 12 17 3 2 12 18 34 2 37 8 30 12 9 12 18 18 17 5 41 12 37 12 13 17 36 38 2 2 24 16 2 29 33 6 22 25 2 33 2 34 0 29 2 5 5 26 4 37 2 39 20 22 2 6 2 2 5 2 2 2 35 2 9 2 38 12 2 2 2 2 2 2 4 34 2 2 31 2 2 37 20 2 16 2 6 22 2 34 4 24 28 25 37 2 2 4 2 2 2 2 37 2 2 17 2 37 42 37 2 2 2 17 39 6 38 42 20 31 2 2 5 2 24 3 15 13 1 0 41 4 13 0 0 33 3 40 0 38 15 1 14 13 1 39 10 41 0 41 41 39 1 41 41 0 37 1 3 38 3 0 38 41 8 41 0 41 0 41 13 0 38 9 0 41 41 9 0 26 3 3 3 41 1 1 1 13 3 3 41 41 1 41 24 27 3 0 19 41 41 0 11 0 41 41 38 1 41 0 41 18 13 41 41 0 0 41 41 6 0 9 41 41 41 0 3 35 6 42 2 2 0 2 2 42 4 12 37 2 13 2 42 16 2 2 2 2 5 42 18 2 2 2 3 12 42 1 6 2 2 37 2 2 2 2 42 2 16 37 2 42 2 2 16 12 12 4 2 12 2 4 42 2 2 2 2 2 42 2 6 2 42 12 2 2 6 37 25 2 4 42 2 2 2 2 12 2 5 42 12 2 12 5 42 5 4 2 2 38 2 42 2 2 42 6 2 2 15 35 40 37 33 9 36 5 40 40 21 3 35 40 1 40 36 33 40 12 17 12 40 40 40 28 7 38 20 40 31 13 11 40 32 40 40 40 7 8 40 8 20 24 13 33 38 11 18 40 24 40 24 5 21 40 15 40 7 13 40 40 14 40 40 29 40 36 0 40 40 9 40 8 27 40 40 40 40 40 40 1 40 23 26 34 26 40 4 40 0 24 40 17 9 40 1 40 7 40"
9,5,-0.6503,0.8846,0.7811,-0.4651,-0.3348,"38 25 13 1 12 18 18 10 18 6 12 17 17 12 12 18 12 17 22 18 17 17 12 9 12 6 12 12 12 12 17 5 6 12 13 6 12 14 12 4 12 17 12 12 18 12 2 17 18 17 35 16 12 2 6 19 18 12 13 6 13 12 12 12 12 17 4 9 17 3 12 38 17 12 12 17 3 2 12 18 34 2 37 8 30 12 9 12 18 18 17 5 41 12 37 12 13 17 36 38 2 2 24 16 2 29 33 6 22 25 2 33 2 34 0 29 2 5 5 26 4 37 2 39 20 22 2 6 2 2 5 2 2 2 35 2 9 2 38 12 2 2 2 2 2 2 4 34 2 2 31 2 2 37 20 2 16 2 6 22 2 34 4 24 28 25 37 2 2 4 2 2 2 2 37 2 2 17 2 37 42 37 2 2 2 17 39 6 38 42 20 31 2 2 5 2 24 3 15 13 1 0 41 4 13 0 0 33 3 40 0 38 15 1 14 13 1 39 10 41 0 41 41 39 1 41 41 0 37 1 3 38 3 0 38 41 8 41 0 41 0 41 13 0 38 9 0 41 41 9 0 26 3 3 3 41 1 1 1 13 3 3 41 41 1 41 24 27 3 0 19 41 41 0 11 0 41 41 38 1 41 0 41 18 13 41 41 0 0 41 41 6 0 9 41 41 41 0 3 35 6 42 2 2 0 2 2 42 4 12 37 2 13 2 42 16 2 2 2 2 5 42 18 2 2 2 3 12 42 1 6 2 2 37 2 2 2 2 42 2 16 37 2 42 2 2 16 12 12 4 2 12 2 4 42 2 2 2 2 2 42 2 6 2 42 12 2 2 6 37 25 2 4 42 2 2 2 2 12 2 5 42 12 2 12 5 42 5 4 2 2 38 2 42 2 2 42 6 2 2 15 35 40 37 33 9 36 5 40 40 21 3 35 40 1 40 36 33 40 12 17 12 40 40 40 28 7 38 20 40 31 13 11 40 32 40 40 40 7 8 40 8 20 24 13 33 38 11 18 40 24 40 24 5 21 40 15 40 7 13 40 40 14 40 40 29 40 36 0 40 40 9 40 8 27 40 40 40 40 40 40 1 40 23 26 34 26 40 4 40 0 24 40 17 9 40 1 40 7 40"
