rank,fitness,winrate,genome
1,-0.7333,1.0000,"2 12 0 5 0 2 3 5 2 2 0 3 2 1 0 2 2 2 6 12 3 28 2 0 38 0 2 2 2 2 3 2 37 6 2 2 3 0 4 2 3 3 3 2 2 2 1 2 2 4 2 2 6 5 2 3 16 37 5 16 2 5 2 0 2 6 2 2 12 37 6 4 2 2 6 12 0 16 3 37 0 3 3 2 6 0 3 37 2 12 0 2 3 3 3 3 37 2 2 2 0 41 41 0 3 1 36 0 0 3 3 13 3 38 41 3 41 3 0 12 34 1 41 41 41 1 0 41 35 13 41 1 0 3 38 13 13 13 41 3 0 0 0 0 1 0 1 3 0 1 41 38 13 1 0 41 41 41 0 0 1 13 1 13 38 41 36 41 38 41 41 1 3 41 38 0 0 0 1 34 34 34 38 41 1 41 1 13 12 3 41 41 0 1 41 41 38 41 36 41 8 38 2 13 2 7 7 2 0 8 38 2 32 2 13 8 1 31 0 14 31 7 13 38 2 1 1 2 13 0 31 2 8 33 2 31 7 2 1 0 14 15 13 31 19 31 31 2 37 38 2 13 2 0 13 38 8 1 2 17 19 13 0 0 2 38 15 8 2 1 38 1 8 3 0 13 0 0 38 33 42 13 13 2 2 13 0 2 1 13 38 31 38 31 2 2 7 0 8 8 3 13 10 3 4 3 2 3 0 1 3 1 2 38 6 38 2 38 3 2 1 3 2 2 2 0 2 0 3 13 2 1 0 2 2 1 2 13 38 2 2 3 4 0 3 1 1 0 2 0 13 2 2 3 0 0 0 0 2 0 1 0 2 3 8 13 0 5 2 6 3 38 0 2 3 0 0 3 2 13 11 5 0 3 9 2 0 1 3 3 38 13 13 0 0 9 2 0 3 11 19 20 20 37 3 19 20 19 19 19 38 20 2 19 1 20 19 37 19 9 3 3 9 4 19 19 31 19 13 4 20 13 20 19 19 19 19 38 0 0 19 2 19 19 19 19 6 2 0 9 19 19 1 6 19 13 19 2 5 19 19 2 6 19 6 37 20 20 19 19 19 19 37 6 20 20 20 19 38 20 1 13 2 19 2 13 20 19 19 20 37 19 20 19 19 19 0 19 19 19"
2,-0.7201,0.9688,"12 14 15 0 13 15 41 15 19 41 17 17 17 0 41 38 3 19 17 38 15 38 19 0 17 13 0 19 15 0 0 12 17 0 19 15 41 0 13 41 17 2 19 19 41 0 0 14 41 13 1 41 41 1 1 1 19 16 38 41 19 14 14 17 41 38 16 41 17 19 41 19 13 0 14 14 38 17 3 17 15 17 28 15 15 1 14 19 17 15 13 16 5 0 14 13 17 41 15 15 0 41 41 0 3 1 36 0 0 3 3 13 3 38 41 3 41 3 0 12 34 1 41 41 41 1 0 41 35 13 41 1 0 3 38 13 13 13 41 3 0 0 0 0 1 0 1 3 0 1 41 38 13 1 0 41 41 41 0 0 1 13 1 13 38 41 36 41 38 41 41 1 3 41 38 0 0 0 1 34 34 34 38 41 1 41 1 13 12 3 41 41 0 1 41 41 38 41 36 41 5 2 19 37 2 14 6 13 6 4 38 1 38 13 19 2 0 10 6 4 6 15 19 0 38 10 37 0 15 6 0 6 3 17 38 2 2 42 1 1 38 14 14 2 14 37 2 9 5 4 37 5 14 0 3 6 2 15 9 1 4 15 4 2 6 17 15 17 19 37 42 13 15 2 37 0 2 0 17 6 38 6 2 2 5 19 19 15 0 5 0 0 2 6 37 2 0 38 19 37 25 25 25 2 4 0 25 25 0 25 25 26 2 7 25 2 2 25 3 26 25 5 25 25 2 26 25 25 3 25 25 25 25 2 27 25 27 2 2 2 25 25 25 25 25 39 3 0 25 25 2 27 27 25 25 0 2 0 25 0 25 6 2 3 8 3 0 26 26 6 25 3 0 2 3 25 26 2 26 25 25 26 25 3 25 27 25 13 26 5 27 25 0 0 0 9 25 2 25 11 3 1 40 2 42 40 2 40 12 7 8 8 8 7 40 8 13 40 42 0 2 40 40 10 40 7 0 40 38 40 7 40 0 0 40 2 40 40 3 2 38 7 0 0 40 1 1 0 2 3 13 38 13 40 40 38 42 3 3 8 13 40 2 2 13 0 42 2 3 40 1 1 38 2 2 40 13 1 3 38 40 40 40 2 1 3 12 0 40 40 40 2 40 12 42 7 40 40 2 13"
3,-0.7101,0.9565,"2 12 0 5 0 2 3 5 2 2 0 3 2 1 0 2 2 2 6 12 3 28 2 0 38 0 2 2 2 2 3 2 37 6 2 2 3 0 4 2 3 3 3 2 2 2 1 2 2 4 2 2 6 5 2 3 16 37 5 16 2 5 2 0 2 6 2 2 12 37 6 4 2 2 6 12 0 16 3 37 0 3 3 2 6 0 3 37 2 12 0 2 3 3 3 3 37 2 2 2 0 41 41 0 3 1 36 0 0 3 3 13 3 38 41 3 41 3 0 12 34 1 41 41 41 1 0 41 35 13 41 1 0 3 38 13 13 13 41 3 0 0 0 0 1 0 1 3 0 1 41 38 13 1 0 41 41 41 0 0 1 13 1 13 38 41 36 41 38 41 41 1 3 41 38 0 0 0 1 34 34 34 38 41 1 41 1 13 12 3 41 41 0 1 41 41 38 41 36 41 8 38 2 13 2 7 7 2 0 8 38 2 32 2 13 8 1 31 0 14 31 7 13 38 2 1 1 2 13 0 31 2 8 33 2 31 7 2 1 0 14 15 13 31 19 31 31 2 37 38 2 13 2 0 13 38 8 1 2 17 19 13 0 0 2 38 15 8 2 1 38 1 8 3 0 13 0 0 38 33 42 13 13 2 2 13 0 2 1 13 38 31 38 31 2 2 7 0 8 8 3 2 26 25 4 25 2 3 25 26 25 0 2 7 6 2 2 25 3 25 25 25 2 2 27 0 2 26 27 6 25 25 25 25 27 1 25 25 2 25 25 25 4 9 3 39 25 0 2 25 26 25 26 2 26 25 25 0 27 0 25 25 25 3 8 25 0 25 27 25 25 3 25 2 26 26 0 2 2 41 25 25 0 27 9 27 2 26 25 5 25 25 0 0 25 9 26 25 25 25 34 35 34 34 34 0 34 9 2 34 34 35 2 2 1 35 34 37 34 34 34 34 36 4 34 34 35 34 34 4 3 13 34 35 0 34 34 34 0 0 36 2 34 36 34 2 34 2 0 9 36 34 34 6 34 34 36 35 5 34 34 34 35 34 34 34 36 34 6 2 1 36 37 34 34 34 4 35 34 0 1 34 34 35 34 13 34 34 34 0 35 36 0 34 34 4 0 31 9 35"
4,-0.7099,0.9583,"12 14 15 0 13 15 41 15 19 41 17 17 17 0 41 38 3 19 17 38 15 38 19 0 17 13 0 19 15 0 0 12 17 0 19 15 41 0 13 41 17 2 19 19 41 0 0 14 41 13 1 41 41 1 1 1 19 16 38 41 19 14 14 17 41 38 16 41 17 19 41 19 13 0 14 14 38 17 3 17 15 17 28 15 15 1 14 19 17 15 13 16 5 0 14 13 17 41 15 15 0 41 41 0 3 1 36 0 0 3 3 13 3 38 41 3 41 3 0 12 34 1 41 41 41 1 0 41 35 13 41 1 0 3 38 13 13 13 41 3 0 0 0 0 1 0 1 3 0 1 41 38 13 1 0 41 41 41 0 0 1 13 1 13 38 41 36 41 38 41 41 1 3 41 38 0 0 0 1 34 34 34 38 41 1 41 1 13 12 3 41 41 0 1 41 41 38 41 36 41 5 2 19 37 2 14 6 13 6 4 38 1 38 13 19 2 0 10 6 4 6 15 19 0 38 10 37 0 15 6 0 6 3 17 38 2 2 42 1 1 38 14 14 2 14 37 2 9 5 4 37 5 14 0 3 6 2 15 9 1 4 15 4 2 6 17 15 17 19 37 42 13 15 2 37 0 2 0 17 6 38 6 2 2 5 19 19 15 0 5 0 0 2 6 37 2 0 38 19 37 25 25 25 2 4 0 25 25 0 25 25 26 2 7 25 2 2 25 3 26 25 5 25 25 2 26 25 25 3 25 25 25 25 2 27 25 27 2 2 2 25 25 25 25 25 39 3 0 25 25 2 27 27 25 25 0 2 0 25 0 25 6 2 3 8 3 0 26 26 6 25 3 0 2 3 25 26 2 26 25 25 26 25 3 25 27 25 13 26 5 27 25 0 0 0 9 25 2 25 11 3 1 42 2 42 1 2 3 12 7 8 8 8 7 16 8 13 38 42 0 2 2 42 10 2 7 0 2 38 42 7 38 0 0 3 2 0 38 3 2 38 7 0 0 8 1 1 0 2 3 13 38 13 0 2 38 42 3 3 8 13 7 2 2 13 0 42 2 3 16 1 1 38 2 2 8 13 1 3 38 2 38 1 2 1 3 12 0 7 13 7 2 0 12 42 7 38 2 2 13"
5,-0.6992,0.9677,"2 12 0 5 0 2 3 5 2 2 0 3 2 1 0 2 2 2 6 12 3 28 2 0 38 0 2 2 2 2 3 2 37 6 2 2 3 0 4 2 3 3 3 2 2 2 1 2 2 4 2 2 6 5 2 3 16 37 5 16 2 5 2 0 2 6 2 2 12 37 6 4 2 2 6 12 0 16 3 37 0 3 3 2 6 0 3 37 2 12 0 2 3 3 3 3 37 2 2 2 0 41 41 0 3 1 36 0 0 3 3 13 3 38 41 3 41 3 0 12 34 1 41 41 41 1 0 41 35 13 41 1 0 3 38 13 13 13 41 3 0 0 0 0 1 0 1 3 0 1 41 38 13 1 0 41 41 41 0 0 1 13 1 13 38 41 36 41 38 41 41 1 3 41 38 0 0 0 1 34 34 34 38 41 1 41 1 13 12 3 41 41 0 1 41 41 38 41 36 41 8 38 2 13 2 7 7 2 0 8 38 2 32 2 13 8 1 31 0 14 31 7 13 38 2 1 1 2 13 0 31 2 8 33 2 31 7 2 1 0 14 15 13 31 19 31 31 2 37 38 2 13 2 0 13 38 8 1 2 17 19 13 0 0 2 38 15 8 2 1 38 1 8 3 0 13 0 0 38 33 42 13 13 2 2 13 0 2 1 13 38 31 38 31 2 2 7 0 8 8 3 2 10 2 4 0 2 3 0 0 3 0 2 7 6 2 2 2 3 2 2 5 2 2 2 0 2 0 3 6 2 2 0 2 2 1 2 2 2 2 2 39 4 9 3 39 3 0 2 2 2 2 2 2 0 0 2 0 2 0 3 6 2 3 8 3 0 5 2 6 2 3 0 2 3 0 0 2 2 41 11 5 0 3 9 2 2 13 3 5 10 7 0 0 0 9 2 2 3 11 38 8 42 37 3 0 1 9 2 12 38 2 2 2 1 0 4 37 5 9 3 3 9 4 9 2 31 2 13 4 3 13 38 0 0 1 11 38 0 0 2 2 2 13 13 2 6 2 0 9 6 13 1 6 37 13 13 2 5 2 5 2 6 9 6 37 10 2 6 2 1 0 37 6 5 37 4 38 38 0 1 13 2 0 2 13 6 2 2 0 37 37 0 37 31 4 0 31 9 9"
6,-0.6949,0.9600,"2 12 0 5 0 2 3 5 2 2 0 3 2 1 0 2 2 2 6 12 3 28 2 0 38 0 2 2 2 2 3 2 37 6 2 2 3 0 4 2 3 3 3 2 2 2 1 2 2 4 2 2 6 5 2 3 16 37 5 16 2 5 2 0 2 6 2 2 12 37 6 4 2 2 6 12 0 16 3 37 0 3 3 2 6 0 3 37 2 12 0 2 3 3 3 3 37 2 2 2 0 41 41 0 3 1 36 0 0 3 3 13 3 38 41 3 41 3 0 12 34 1 41 41 41 1 0 41 35 13 41 1 0 3 38 13 13 13 41 3 0 0 0 0 1 0 1 3 0 1 41 38 13 1 0 41 41 41 0 0 1 13 1 13 38 41 36 41 38 41 41 1 3 41 38 0 0 0 1 34 34 34 38 41 1 41 1 13 12 3 41 41 0 1 41 41 38 41 36 41 8 0 2 2 2 38 7 2 2 8 31 2 32 2 31 8 2 31 38 1 3 7 1 7 2 1 38 2 7 2 31 2 3 33 1 0 7 13 2 13 14 15 31 31 38 31 31 2 37 8 3 3 2 38 13 13 8 2 2 17 19 31 8 1 3 0 1 0 13 1 32 31 8 2 0 7 3 13 38 33 1 32 2 2 0 8 31 0 0 13 1 31 8 31 0 2 7 13 8 8 3 2 10 2 4 0 2 3 0 0 3 0 2 7 6 2 2 2 3 2 2 5 2 2 2 0 2 0 3 6 2 2 0 2 2 1 2 2 2 2 2 39 4 9 3 39 3 0 2 2 2 2 2 2 0 0 2 0 2 0 3 6 2 3 8 3 0 5 2 6 2 3 0 2 3 0 0 2 2 41 11 5 0 3 9 2 2 13 3 5 10 7 0 0 0 9 2 2 3 11 38 8 42 1 3 0 3 9 2 12 38 2 2 0 0 0 3 37 13 9 3 0 0 4 9 2 31 2 3 4 1 13 38 0 0 1 1 0 1 0 2 1 38 13 38 2 3 0 0 38 6 13 1 0 38 13 13 38 13 38 3 2 6 9 6 37 10 2 3 2 1 0 37 6 5 37 4 38 38 13 1 13 38 0 2 38 6 2 2 0 37 3 0 37 3 4 13 31 9 0"
7,-0.6922,0.9500,"2 12 0 5 0 2 3 5 2 2 0 3 2 1 0 2 2 2 6 12 3 28 2 0 38 0 2 2 2 2 3 2 37 6 2 2 3 0 4 2 3 3 3 2 2 2 1 2 2 4 2 2 6 5 2 3 16 37 5 16 2 5 2 0 2 6 2 2 12 37 6 4 2 2 6 12 0 16 3 37 0 3 3 2 6 0 3 37 2 12 0 2 3 3 3 3 37 2 2 2 0 41 41 0 3 1 36 0 0 3 3 13 3 38 41 3 41 3 0 12 34 1 41 41 41 1 0 41 35 13 41 1 0 3 38 13 13 13 41 3 0 0 0 0 1 0 1 3 0 1 41 38 13 1 0 41 41 41 0 0 1 13 1 13 38 41 36 41 38 41 41 1 3 41 38 0 0 0 1 34 34 34 38 41 1 41 1 13 12 3 41 41 0 1 41 41 38 41 36 41 8 38 2 13 2 7 7 2 0 8 38 2 32 2 13 8 1 31 0 14 31 7 13 38 2 1 1 2 13 0 31 2 8 33 2 31 7 2 1 0 14 15 13 31 19 31 31 2 37 38 2 13 2 0 13 38 8 1 2 17 19 13 0 0 2 38 15 8 2 1 38 1 8 3 0 13 0 0 38 33 42 13 13 2 2 13 0 2 1 13 38 31 38 31 2 2 7 0 8 8 25 1 38 2 4 0 3 25 0 38 13 26 3 7 3 2 3 13 3 26 25 0 3 25 0 26 25 25 3 13 25 38 25 2 1 25 27 2 2 2 1 38 3 13 25 39 3 1 25 25 2 0 3 25 25 1 2 0 25 0 1 6 2 3 8 3 0 26 26 6 25 3 1 2 3 25 26 13 26 25 25 26 25 3 3 38 25 13 26 5 27 38 0 0 0 9 25 2 25 11 38 8 42 37 3 0 1 9 2 12 38 2 2 2 1 0 4 37 5 9 3 3 9 4 9 2 31 2 13 4 3 13 38 0 0 1 11 38 0 0 2 2 2 13 13 2 6 2 0 9 6 13 1 6 37 13 13 2 5 2 5 2 6 9 6 37 10 2 6 2 1 0 37 6 5 37 4 38 38 0 1 13 2 0 2 13 6 2 2 0 37 37 0 37 31 4 0 31 9 9"
8,-0.6703,0.9200,"2 12 0 5 0 2 3 5 2 2 0 3 2 1 0 2 2 2 6 12 3 28 2 0 38 0 2 2 2 2 3 2 37 6 2 2 3 0 4 2 3 3 3 2 2 2 1 2 2 4 2 2 6 5 2 3 16 37 5 16 2 5 2 0 2 6 2 2 12 37 6 4 2 2 6 12 0 16 3 37 0 3 3 2 6 0 3 37 2 12 0 2 3 3 3 3 37 2 2 2 0 41 41 0 3 1 36 0 0 3 3 13 3 38 41 3 41 3 0 12 34 1 41 41 41 1 0 41 35 13 41 1 0 3 38 13 13 13 41 3 0 0 0 0 1 0 1 3 0 1 41 38 13 1 0 41 41 41 0 0 1 13 1 13 38 41 36 41 38 41 41 1 3 41 38 0 0 0 1 34 34 34 38 41 1 41 1 13 12 3 41 41 0 1 41 41 38 41 36 41 8 38 2 13 2 7 7 2 0 8 38 2 32 2 13 8 1 31 0 14 31 7 13 38 2 1 1 2 13 0 31 2 8 33 2 31 7 2 1 0 14 15 13 31 19 31 31 2 37 38 2 13 2 0 13 38 8 1 2 17 19 13 0 0 2 38 15 8 2 1 38 1 8 3 0 13 0 0 38 33 42 13 13 2 2 13 0 2 1 13 38 31 38 31 2 2 7 0 8 8 3 2 10 2 4 0 2 3 0 0 3 0 2 7 6 2 2 2 3 2 2 5 2 2 2 0 2 0 3 6 2 2 0 2 2 1 2 2 2 2 2 39 4 9 3 39 3 0 2 2 2 2 2 2 0 0 2 0 2 0 3 6 2 3 8 3 0 5 2 6 2 3 0 2 3 0 0 2 2 41 11 5 0 3 9 2 2 13 3 5 10 7 0 0 0 9 2 2 3 11 38 8 42 37 3 0 1 9 2 12 38 2 2 2 1 0 4 37 5 9 3 3 9 4 9 2 31 2 13 4 3 13 38 0 0 1 11 38 0 0 2 2 2 13 13 2 6 2 0 9 6 13 1 6 37 13 13 2 5 2 5 2 6 9 6 37 10 2 6 2 1 0 37 6 5 37 4 38 38 0 1 13 2 0 2 13 6 2 2 0 37 37 0 37 31 4 0 31 9 9"
9,-0.6435,0.8750,"39 17 39 39 14 14 39 23 19 32 14 15 39 39 39 39 39 31 14 15 31 39 31 39 32 15 39 19 15 39 39 39 14 31 15 23 32 23 39 31 23 39 39 17 31 17 15 14 23 19 17 14 39 19 39 14 39 31 31 17 15 39 39 39 31 14 39 23 14 17 31 39 39 14 31 19 39 31 39 39 2 39 39 39 19 17 19 31 39 39 39 14 15 15 23 19 31 15 17 39 0 41 41 0 3 1 36 0 0 3 3 13 3 38 41 3 41 3 0 12 34 1 41 41 41 1 0 41 35 13 41 1 0 3 38 13 13 13 41 3 0 0 0 0 1 0 1 3 0 1 41 38 13 1 0 41 41 41 0 0 1 13 1 13 38 41 36 41 38 41 41 1 3 41 38 0 0 0 1 34 34 34 38 41 1 41 1 13 12 3 41 41 0 1 41 41 38 41 36 41 0 2 19 19 2 14 42 3 1 3 38 1 38 3 0 2 3 3 19 0 3 15 3 0 0 10 17 0 15 9 0 1 3 3 3 3 3 42 1 0 38 14 0 37 14 13 3 9 13 3 2 3 14 3 3 37 0 15 9 3 1 15 17 0 1 17 0 3 41 17 0 0 15 2 37 0 38 0 17 3 38 3 2 9 3 3 0 15 0 0 0 0 0 3 3 2 0 3 19 3 3 2 10 2 4 0 2 3 0 0 3 0 2 7 6 2 2 2 3 2 2 5 2 2 2 0 2 0 3 6 2 2 0 2 2 1 2 2 2 2 2 39 4 9 3 39 3 0 2 2 2 2 2 2 0 0 2 0 2 0 3 6 2 3 8 3 0 5 2 6 2 3 0 2 3 0 0 2 2 41 11 5 0 3 9 2 2 13 3 5 10 7 0 0 0 9 2 2 3 11 38 8 42 1 3 0 3 9 2 12 38 2 2 0 0 0 3 37 13 9 3 0 0 4 9 2 31 2 3 4 1 13 38 0 0 1 1 0 1 0 2 1 38 13 38 2 3 0 0 38 6 13 1 0 38 13 13 38 13 38 3 2 6 9 6 37 10 2 3 2 1 0 37 6 5 37 4 38 38 13 1 13 38 0 2 38 6 2 2 0 37 3 0 37 3 4 13 31 9 0"
10,-0.6413,0.8696,"2 12 0 5 0 2 3 5 2 2 0 3 2 1 0 2 2 2 6 12 3 28 2 0 38 0 2 2 2 2 3 2 37 6 2 2 3 0 4 2 3 3 3 2 2 2 1 2 2 4 2 2 6 5 2 3 16 37 5 16 2 5 2 0 2 6 2 2 12 37 6 4 2 2 6 12 0 16 3 37 0 3 3 2 6 0 3 37 2 12 0 2 3 3 3 3 37 2 2 2 0 41 41 0 0 1 36 0 0 3 3 0 3 3 41 0 0 3 0 12 34 1 41 3 41 3 0 41 0 13 41 0 0 3 38 13 13 13 41 3 0 0 0 0 0 0 1 3 0 1 0 0 3 1 0 41 41 41 41 3 1 0 3 13 0 41 36 3 38 3 41 1 3 0 38 0 0 0 1 34 3 34 38 0 0 3 1 13 12 3 41 41 0 3 3 41 38 41 36 41 8 38 2 13 2 7 7 2 0 8 38 2 32 2 13 8 1 31 0 14 31 7 13 38 2 1 1 2 13 0 31 2 8 33 2 31 7 2 1 0 14 15 13 31 19 31 31 2 37 38 2 13 2 0 13 38 8 1 2 17 19 13 0 0 2 38 15 8 2 1 38 1 8 3 0 13 0 0 38 33 42 13 13 2 2 13 0 2 1 13 38 31 38 31 2 2 7 0 8 8 12 12 12 12 42 12 27 3 27 25 25 0 42 27 12 25 16 12 12 12 25 42 25 12 12 25 42 16 16 42 42 42 27 25 26 12 26 12 12 12 12 26 12 27 26 27 25 26 12 25 2 42 2 12 0 0 12 12 12 12 3 12 27 3 12 25 12 12 42 12 2 42 12 12 12 25 12 25 12 16 25 25 12 12 9 42 25 12 12 12 12 26 26 27 12 25 12 42 26 11 24 12 42 37 23 0 23 12 12 23 12 2 2 23 1 0 24 37 5 24 23 23 24 23 12 12 31 2 13 4 24 13 23 12 12 12 23 12 0 0 2 2 12 13 12 12 12 12 12 12 23 13 23 12 37 12 12 2 23 23 24 24 6 12 6 12 10 12 12 2 24 0 23 6 5 23 12 24 24 12 1 13 23 12 12 12 6 24 12 12 37 37 12 37 31 23 23 31 24 12"
