rank,fitness,winrate,genome
1,-0.7801,1.0000,"25 25 26 25 12 16 7 7 27 39 25 12 25 38 27 16 12 25 39 8 39 16 16 12 16 39 12 7 16 12 25 12 3 12 25 13 26 12 39 12 12 27 39 25 12 16 26 39 12 16 25 16 3 12 25 16 0 25 16 16 12 16 25 25 39 16 12 16 27 25 39 12 12 12 25 7 27 12 25 27 25 12 25 25 16 25 25 26 26 0 12 25 25 25 25 25 39 1 25 26 31 39 39 31 2 39 4 5 31 31 2 32 39 39 39 39 39 39 31 8 39 31 31 32 39 39 2 31 39 33 31 39 39 2 31 31 39 39 31 39 39 39 32 39 33 39 2 31 4 31 39 31 2 2 5 39 2 2 32 31 31 6 31 2 33 31 8 33 39 8 31 39 39 31 39 24 39 39 39 6 39 2 37 2 2 31 2 33 39 31 2 39 39 39 39 2 39 2 2 33 2 2 2 9 2 9 2 2 2 2 6 2 10 2 11 11 11 37 9 5 4 37 6 37 2 2 2 2 2 10 8 2 9 2 2 2 2 2 2 2 9 7 2 11 2 2 2 2 2 2 2 9 37 8 2 2 37 2 2 6 2 9 2 2 7 9 2 2 5 6 2 4 2 2 10 2 2 6 18 11 2 2 11 2 6 2 2 2 2 2 2 11 2 2 11 2 2 9 2 2 23 37 0 3 3 11 2 2 0 2 2 23 4 39 2 23 23 2 23 19 23 3 0 3 3 0 0 2 23 0 0 0 3 2 3 20 3 3 19 0 23 10 3 23 23 2 23 19 23 2 2 2 2 23 23 19 23 2 20 2 0 2 23 12 2 5 2 0 0 0 2 2 3 0 5 0 3 2 0 0 0 0 23 3 23 23 9 0 23 2 2 2 3 3 0 3 0 23 3 23 3 3 0 36 31 0 0 36 0 3 34 34 31 0 3 3 3 0 0 3 0 3 36 0 3 0 3 35 0 32 0 3 34 32 34 0 3 0 31 3 36 3 0 3 3 34 3 34 0 36 34 34 3 0 0 3 0 0 0 34 0 35 34 0 0 0 0 3 35 33 34 34 0 3 34 31 3 34 34 34 34 0 34 31 34 3 0 0 34 0 31 0 36 34 3 31 34 3 0 0"
2,-0.7709,1.0000,"2 25 26 25 5 16 37 2 27 39 2 12 2 2 2 16 12 2 39 6 2 16 2 12 2 4 2 7 5 5 2 2 3 12 25 13 2 12 2 12 12 37 2 25 2 2 26 6 12 2 25 16 2 2 25 4 0 25 16 5 2 2 25 2 39 16 12 4 37 2 39 12 12 12 6 5 2 2 25 2 2 12 25 25 2 25 6 2 4 2 2 25 2 25 2 2 39 2 2 4 2 4 4 2 2 2 4 5 2 39 2 23 2 2 2 37 5 6 31 8 2 5 4 2 6 2 2 4 2 2 2 6 4 2 37 4 5 4 2 7 8 2 4 12 2 37 2 2 4 2 37 2 2 2 5 2 2 2 2 6 23 6 2 2 2 2 8 2 7 8 5 6 2 37 7 24 2 2 2 6 2 2 37 2 2 7 2 2 37 5 2 2 6 37 5 2 5 2 2 2 5 2 2 37 2 2 6 2 6 4 4 2 8 2 2 7 7 37 6 4 6 2 4 2 8 2 37 7 5 6 37 6 2 31 37 2 5 2 2 5 2 7 2 2 29 37 2 2 5 4 37 5 8 6 2 6 2 2 2 5 4 2 4 7 6 28 2 7 7 37 7 5 7 2 2 2 2 2 5 6 2 6 37 2 2 2 2 7 2 5 7 8 2 6 37 8 5 2 2 2 3 2 19 2 2 0 2 6 2 0 3 4 2 5 6 2 2 5 3 2 2 5 19 19 2 0 2 0 2 2 4 2 0 2 2 5 37 3 5 2 2 20 4 2 2 2 4 2 2 2 37 2 2 2 0 0 6 2 2 2 2 2 6 6 39 2 5 2 2 1 19 2 2 5 2 2 2 2 6 41 2 20 5 2 19 5 2 4 2 20 2 5 0 5 2 2 2 2 2 2 2 1 2 1 2 38 3 36 8 2 20 2 7 0 0 0 3 19 13 2 2 0 0 36 2 7 7 0 3 8 1 2 2 0 2 2 1 0 1 8 19 1 38 7 38 2 3 0 7 38 7 7 2 0 38 7 2 38 13 38 3 2 2 7 1 2 13 0 3 8 1 2 19 35 4 2 5 2 2 13 8 13 38 2 5 38 2 2 31 2 20 3 2 3 3 7 13 37 8 0"
3,-0.7547,1.0000,"25 25 26 25 12 16 7 7 27 39 25 12 25 38 27 16 12 25 39 8 39 16 16 12 16 39 12 7 16 12 25 12 3 12 25 13 26 12 39 12 12 27 39 25 12 16 26 39 12 16 25 16 3 12 25 16 0 25 16 16 12 16 25 25 39 16 12 16 27 25 39 12 12 12 25 7 27 12 25 27 25 12 25 25 16 25 25 26 26 0 12 25 25 25 25 25 39 1 25 26 31 39 39 31 2 39 4 5 31 31 2 32 39 39 39 39 39 39 31 8 39 31 31 32 39 39 2 31 39 33 31 39 39 2 31 31 39 39 31 39 39 39 32 39 33 39 2 31 4 31 39 31 2 2 5 39 2 2 32 31 31 6 31 2 33 31 8 33 39 8 31 39 39 31 39 24 39 39 39 6 39 2 37 2 2 31 2 33 39 31 2 39 39 39 39 2 39 2 2 33 2 2 2 9 2 9 2 2 2 2 6 2 10 2 11 11 11 37 9 5 4 37 6 37 2 2 2 2 2 10 8 2 9 2 2 2 2 2 2 2 9 7 2 11 2 2 2 2 2 2 2 9 37 8 2 2 37 2 2 6 2 9 2 2 7 9 2 2 5 6 2 4 2 2 10 2 2 6 18 11 2 2 11 2 6 2 2 2 2 2 2 11 2 2 11 2 2 9 2 2 23 37 0 3 3 11 2 2 0 2 2 23 4 39 2 23 23 2 23 19 23 3 0 3 3 0 0 2 23 0 0 0 3 2 3 20 3 3 19 0 23 10 3 23 23 2 23 19 23 2 2 2 2 23 23 19 23 2 20 2 0 2 23 12 2 5 2 0 0 0 2 2 3 0 5 0 3 2 0 0 0 0 23 3 23 23 9 0 23 2 2 2 3 3 0 3 0 23 3 23 3 3 0 36 31 0 0 36 0 3 34 34 31 0 3 3 3 0 0 3 0 3 36 0 3 0 3 35 0 32 0 3 34 32 34 0 3 0 31 3 36 3 0 3 3 34 3 34 0 36 34 34 3 0 0 3 0 0 0 34 0 35 34 0 0 0 0 3 35 33 34 34 0 3 34 31 3 34 34 34 34 0 34 31 34 3 0 0 34 0 31 0 36 34 3 31 34 3 0 0"
4,-0.7472,0.8636,"25 25 26 25 12 16 7 7 27 39 25 12 25 38 27 16 12 25 39 8 39 16 16 12 16 39 12 7 16 12 25 12 3 12 25 13 26 12 39 12 12 27 39 25 12 16 26 39 12 16 25 16 3 12 25 16 0 25 16 16 12 16 25 25 39 16 12 16 27 25 39 12 12 12 25 7 27 12 25 27 25 12 25 25 16 25 25 26 26 0 12 25 25 25 25 25 39 1 25 26 25 32 25 25 27 2 25 25 25 25 25 23 25 27 26 25 25 4 31 8 25 5 25 25 25 26 2 27 2 23 25 25 25 5 25 25 25 25 7 25 27 25 25 12 25 25 25 25 2 25 25 27 26 27 25 25 37 27 26 25 27 25 25 25 25 25 8 25 7 8 25 25 25 25 27 24 2 25 23 25 27 27 27 2 6 25 25 25 25 26 2 25 25 25 25 25 25 25 25 26 27 25 2 39 25 2 2 21 25 25 25 26 27 25 25 25 25 21 25 25 25 25 2 25 25 6 2 2 25 25 7 25 2 25 25 27 25 26 25 25 6 2 2 25 2 2 2 25 25 25 2 7 27 27 25 37 25 25 25 26 26 39 2 25 26 27 26 7 2 25 25 2 27 25 25 2 25 25 25 21 4 2 25 26 25 25 27 25 25 25 27 25 2 25 25 2 2 25 2 26 23 21 21 21 21 21 21 22 0 21 21 21 21 39 22 21 21 21 21 19 23 21 0 3 22 22 0 21 21 21 22 0 21 2 3 21 21 21 21 21 21 21 3 21 21 2 21 21 21 2 2 2 2 23 23 19 23 22 21 21 0 2 22 12 21 5 21 22 21 21 21 2 22 0 21 21 21 21 21 0 21 0 22 22 21 22 9 0 23 22 21 21 22 22 21 3 21 22 3 21 17 20 20 19 17 19 19 19 19 19 19 19 18 25 19 17 19 20 19 17 19 10 9 19 19 19 18 19 19 20 19 17 18 17 19 20 42 19 17 20 19 26 18 9 18 11 19 19 19 20 20 20 19 19 19 19 17 17 17 19 19 19 19 19 19 25 17 19 18 17 19 25 18 12 26 19 20 19 19 9 19 17 20 19 19 18 19 19 19 19 19 19 10 9 20 26 20 12 19 19"
5,-0.7406,0.8571,"12 16 12 12 25 12 7 7 12 39 25 25 12 38 27 26 16 12 12 8 39 39 12 12 25 39 16 7 16 12 25 16 3 3 25 13 16 25 39 16 25 12 39 12 1 7 26 12 26 25 25 27 16 16 25 25 16 12 25 12 17 39 25 25 39 27 39 12 27 12 16 0 0 12 12 7 27 12 25 27 25 8 25 25 25 25 25 26 12 16 3 25 25 25 25 25 39 1 25 12 0 0 0 11 9 1 41 2 9 9 38 41 41 9 9 38 41 41 41 41 9 41 10 9 9 11 38 9 41 41 41 41 9 9 13 41 41 9 7 41 41 9 9 1 0 2 41 10 9 12 41 9 2 41 5 41 41 11 9 2 41 41 41 38 9 2 3 11 9 11 41 6 41 1 1 41 41 9 23 0 41 9 0 9 41 11 13 9 41 1 38 9 11 1 38 41 41 9 41 38 0 24 14 12 1 19 23 17 17 19 13 13 31 14 15 15 14 23 32 15 23 24 0 17 23 17 19 23 17 15 23 3 24 23 15 19 15 19 15 19 23 14 23 31 23 17 17 31 15 38 38 17 24 17 19 14 14 17 17 23 17 19 17 15 19 17 14 38 31 17 17 14 23 15 17 17 0 19 23 24 23 14 0 31 1 19 15 24 23 23 23 32 14 14 17 14 1 17 17 14 30 9 10 9 9 9 5 2 9 9 10 5 9 21 2 10 28 4 2 28 9 9 9 9 12 9 6 9 6 28 9 6 2 2 5 6 10 9 10 9 9 9 12 2 2 9 11 2 10 10 2 9 9 2 9 21 2 9 6 11 10 9 10 28 9 29 30 30 11 10 10 2 9 28 21 9 9 2 10 9 4 28 10 11 28 9 28 9 5 11 21 9 28 9 11 9 9 9 9 28 1 9 2 6 3 10 1 0 35 35 10 11 9 0 11 1 9 9 3 38 37 9 34 5 13 3 9 6 0 1 9 9 9 34 9 38 1 37 9 37 34 34 34 13 38 0 0 11 13 3 10 13 34 3 9 10 9 11 9 9 3 9 6 10 34 3 38 3 10 11 35 9 13 3 6 9 1 3 34 9 9 3 9 9 1 10 6 11 13 0 11 9 16 38 9 13 9 9 9 9"
6,-0.7405,0.9615,"2 25 26 25 5 16 37 2 27 39 2 12 2 2 2 16 12 2 39 6 2 16 2 12 2 4 2 7 5 5 2 2 3 12 25 13 2 12 2 12 12 37 2 25 2 2 26 6 12 2 25 16 2 2 25 4 0 25 16 5 2 2 25 2 39 16 12 4 37 2 39 12 12 12 6 5 2 2 25 2 2 12 25 25 2 25 6 2 4 2 2 25 2 25 2 2 39 2 2 4 2 4 4 2 2 2 4 5 2 39 2 23 2 2 2 37 5 6 31 8 2 5 4 2 6 2 2 4 2 2 2 6 4 2 37 4 5 4 2 7 8 2 4 12 2 37 2 2 4 2 37 2 2 2 5 2 2 2 2 6 23 6 2 2 2 2 8 2 7 8 5 6 2 37 7 24 2 2 2 6 2 2 37 2 2 7 2 2 37 5 2 2 6 37 5 2 5 2 2 2 5 2 2 37 2 2 6 2 6 4 4 2 8 2 2 7 7 37 6 4 6 2 4 2 8 2 37 7 5 6 37 6 2 31 37 2 5 2 2 5 2 7 2 2 29 37 2 2 5 4 37 5 8 6 2 6 2 2 2 5 4 2 4 7 6 28 2 7 7 37 7 5 7 2 2 2 2 2 5 6 2 6 37 2 2 2 2 7 2 5 7 8 2 6 37 8 5 2 2 2 3 2 19 2 2 0 2 6 2 0 3 4 2 5 6 2 2 5 3 2 2 5 19 19 2 0 2 0 2 2 4 2 0 2 2 5 37 3 5 2 2 20 4 2 2 2 4 2 2 2 37 2 2 2 0 0 6 2 2 2 2 2 6 6 39 2 5 2 2 1 19 2 2 5 2 2 2 2 6 41 2 20 5 2 19 5 2 4 2 20 2 5 0 5 2 2 2 2 2 2 2 1 2 1 2 38 3 36 8 2 20 2 7 0 0 0 3 19 13 2 2 0 0 36 2 7 7 0 3 8 1 2 2 0 2 2 1 0 1 8 19 1 38 7 38 2 3 0 7 38 7 7 2 0 38 7 2 38 13 38 3 2 2 7 1 2 13 0 3 8 1 2 19 35 4 2 5 2 2 13 8 13 38 2 5 38 2 2 31 2 20 3 2 3 3 7 13 37 8 0"
7,-0.7332,0.9545,"25 25 26 25 12 16 7 7 27 39 25 12 25 38 27 16 12 25 39 8 39 16 16 12 16 39 12 7 16 12 25 12 3 12 25 13 26 12 39 12 12 27 39 25 12 16 26 39 12 16 25 16 3 12 25 16 0 25 16 16 12 16 25 25 39 16 12 16 27 25 39 12 12 12 25 7 27 12 25 27 25 12 25 25 16 25 25 26 26 0 12 25 25 25 25 25 39 1 25 26 2 4 4 2 2 2 4 5 2 39 2 23 2 2 2 37 5 6 31 8 2 5 4 2 6 2 2 4 2 2 2 6 4 2 37 4 5 4 2 7 8 2 4 12 2 37 2 2 4 2 37 2 2 2 5 2 2 2 2 6 23 6 2 2 2 2 8 2 7 8 5 6 2 37 7 24 2 2 2 6 2 2 37 2 2 7 2 2 37 5 2 2 6 37 5 2 5 2 2 2 2 2 2 2 2 2 32 2 2 2 4 2 8 2 2 7 7 37 2 4 6 2 4 2 8 2 7 7 5 5 37 7 2 31 37 7 5 2 2 5 2 7 2 6 29 2 2 2 6 2 2 2 8 6 2 2 2 2 2 5 7 2 5 7 28 28 2 7 7 2 7 5 7 2 2 2 28 2 5 7 2 2 37 2 2 2 2 7 2 2 7 8 5 7 6 8 5 2 2 2 3 2 19 2 2 0 2 6 2 0 3 4 2 5 6 2 2 5 3 2 2 5 19 19 2 0 2 0 2 2 4 2 0 2 2 5 37 3 5 2 2 20 4 2 2 2 4 2 2 2 37 2 2 2 0 0 6 2 2 2 2 2 6 6 39 2 5 2 2 1 19 2 2 5 2 2 2 2 6 41 2 20 5 2 19 5 2 4 2 20 2 5 0 5 2 2 2 2 2 2 2 1 2 1 2 38 3 36 8 2 20 2 7 0 0 0 3 19 13 2 2 0 0 36 2 7 7 0 3 8 1 2 2 0 2 2 1 0 1 8 19 1 38 7 38 2 3 0 7 38 7 7 2 0 38 7 2 38 13 38 3 2 2 7 1 2 13 0 3 8 1 2 19 35 4 2 5 2 2 13 8 13 38 2 5 38 2 2 31 2 20 3 2 3 3 7 13 37 8 0"
8,-0.7224,0.9565,"25 25 26 25 12 16 7 7 27 39 25 12 25 38 27 16 12 25 39 8 39 16 16 12 16 39 12 7 16 12 25 12 3 12 25 13 26 12 39 12 12 27 39 25 12 16 26 39 12 16 25 16 3 12 25 16 0 25 16 16 12 16 25 25 39 16 12 16 27 25 39 12 12 12 25 7 27 12 25 27 25 12 25 25 16 25 25 26 26 0 12 25 25 25 25 25 39 1 25 26 2 4 4 2 2 2 4 5 2 39 2 23 2 2 2 37 5 6 31 8 2 5 4 2 6 2 2 4 2 2 2 6 4 2 37 4 5 4 2 7 8 2 4 12 2 37 2 2 4 2 37 2 2 2 5 2 2 2 2 6 23 6 2 2 2 2 8 2 7 8 5 6 2 37 7 24 2 2 2 6 2 2 37 2 2 7 2 2 37 5 2 2 6 37 5 2 5 2 2 2 2 2 2 2 2 2 32 2 2 2 4 2 8 2 2 7 7 37 2 4 6 2 4 2 8 2 7 7 5 5 37 7 2 31 37 7 5 2 2 5 2 7 2 6 29 2 2 2 6 2 2 2 8 6 2 2 2 2 2 5 7 2 5 7 28 28 2 7 7 2 7 5 7 2 2 2 28 2 5 7 2 2 37 2 2 2 2 7 2 2 7 8 5 7 6 8 5 2 2 2 3 2 19 2 2 0 2 6 2 0 3 4 2 5 6 2 2 5 3 2 2 5 19 19 2 0 2 0 2 2 4 2 0 2 2 5 37 3 5 2 2 20 4 2 2 2 4 2 2 2 37 2 2 2 0 0 6 2 2 2 2 2 6 6 39 2 5 2 2 1 19 2 2 5 2 2 2 2 6 41 2 20 5 2 19 5 2 4 2 20 2 5 0 5 2 2 2 2 2 2 2 1 2 1 2 38 3 36 8 2 20 2 7 0 0 0 3 19 13 2 2 0 0 36 2 7 7 0 3 8 1 2 2 0 2 2 1 0 1 8 19 1 38 7 38 2 3 0 7 38 7 7 2 0 38 7 2 38 13 38 3 2 2 7 1 2 13 0 3 8 1 2 19 35 4 2 5 2 2 13 8 13 38 2 5 38 2 2 31 2 20 3 2 3 3 7 13 37 8 0"
9,-0.6782,0.8000,"12 16 12 12 25 12 7 7 12 39 25 25 12 38 27 26 16 12 12 8 39 39 12 12 25 39 16 7 16 12 25 16 3 3 25 13 16 25 39 16 25 12 39 12 1 7 26 12 26 25 25 27 16 16 25 25 16 12 25 12 17 39 25 25 39 27 39 12 27 12 16 0 0 12 12 7 27 12 25 27 25 8 25 25 25 25 25 26 12 16 3 25 25 25 25 25 39 1 25 12 0 0 0 11 9 1 41 2 9 9 38 41 41 9 9 38 41 41 41 41 9 41 10 9 9 11 38 9 41 41 41 41 9 9 13 41 41 9 7 41 41 9 9 1 0 2 41 10 9 12 41 9 2 41 5 41 41 11 9 2 41 41 41 38 9 2 3 11 9 11 41 6 41 1 1 41 41 9 23 0 41 9 0 9 41 11 13 9 41 1 38 9 11 1 38 41 41 9 41 38 0 24 23 12 1 23 23 38 38 0 13 13 31 23 23 31 32 23 32 24 23 24 0 23 23 23 24 23 23 33 23 3 24 23 23 23 12 23 23 24 23 23 23 31 23 0 23 31 13 38 38 3 24 23 31 38 23 23 23 23 23 31 24 23 23 31 32 38 31 23 23 12 23 1 23 39 0 33 23 24 23 23 0 31 1 23 31 24 23 23 23 32 23 30 38 23 1 0 23 12 30 9 10 9 9 9 5 2 9 9 10 5 9 21 2 10 28 4 2 28 9 9 9 9 12 9 6 9 6 28 9 6 2 2 5 6 10 9 10 9 9 9 12 2 2 9 11 2 10 10 2 9 9 2 9 21 2 9 6 11 10 9 10 28 9 29 30 30 11 10 10 2 9 28 21 9 9 2 10 9 4 28 10 11 28 9 28 9 5 11 21 9 28 9 11 9 9 9 9 28 36 9 2 6 34 10 37 9 35 35 10 11 9 9 11 6 9 9 34 9 37 9 34 5 9 34 9 6 9 12 9 9 9 34 9 5 35 37 9 37 34 34 34 12 11 34 4 11 6 11 10 37 34 3 9 10 9 11 9 9 4 9 6 10 34 12 35 37 10 11 35 9 9 9 6 9 34 9 34 9 9 9 9 9 11 10 6 11 9 11 11 9 16 5 9 9 9 9 9 9"
10,-0.6651,0.8750,"25 25 26 25 12 16 7 7 27 39 25 12 25 38 27 16 12 25 39 8 39 16 16 12 16 39 12 7 16 12 25 12 3 12 25 13 26 12 39 12 12 27 39 25 12 16 26 39 12 16 25 16 3 12 25 16 0 25 16 16 12 16 25 25 39 16 12 16 27 25 39 12 12 12 25 7 27 12 25 27 25 12 25 25 16 25 25 26 26 0 12 25 25 25 25 25 39 1 25 26 5 2 4 2 2 2 4 2 2 2 2 2 31 31 5 37 2 2 2 8 2 2 31 2 31 5 2 2 2 33 31 2 5 2 31 6 31 31 2 7 2 32 32 2 33 37 2 2 2 31 2 2 2 2 2 2 2 2 5 2 31 6 2 2 4 2 8 2 6 4 2 2 31 2 2 24 2 4 31 2 2 2 2 2 2 2 2 33 31 31 2 2 31 37 31 2 37 4 2 2 2 10 2 2 2 2 11 2 2 10 9 11 8 2 2 7 7 37 2 2 9 9 2 9 8 2 7 9 2 5 2 2 2 31 9 2 5 2 2 2 2 7 2 2 2 2 2 2 2 2 10 2 8 6 11 2 2 9 2 5 9 2 10 10 9 2 2 2 9 2 2 2 7 2 2 11 2 2 5 2 11 2 10 2 2 2 2 2 2 11 2 2 5 7 6 2 2 2 2 2 2 40 19 40 40 7 8 7 7 7 7 2 40 40 7 40 7 40 40 7 40 40 40 7 7 7 40 40 40 7 7 40 9 7 40 4 37 40 4 40 40 40 2 7 2 40 7 7 40 2 7 0 7 40 7 7 40 40 37 40 7 7 40 7 7 2 7 2 7 2 7 7 2 1 2 37 7 7 8 7 6 7 2 40 40 40 37 4 2 8 19 8 7 8 8 40 40 7 7 40 9 11 11 16 9 9 10 14 9 9 42 9 9 31 9 9 9 31 9 16 10 9 11 36 2 14 9 9 9 42 11 19 10 9 16 42 31 17 9 17 19 15 19 9 15 11 9 19 9 9 7 17 9 9 9 9 33 9 42 9 17 11 10 9 17 9 9 9 17 9 9 9 14 9 42 2 9 14 42 10 9 9 7 15 10 9 19 16 9 11 42 10 9 17 11 9 42 42 14 9"
