rank,fitness,winrate,genome
1,-0.7800,0.8800,"18 17 3 18 17 17 17 17 17 18 17 26 18 39 0 17 17 18 17 9 17 18 17 18 17 17 0 27 17 9 39 26 17 17 17 17 17 17 9 17 39 0 39 3 17 17 9 17 9 17 9 3 17 17 27 17 17 3 39 0 0 17 3 11 17 0 18 17 0 17 17 9 3 17 17 18 3 39 39 39 11 17 18 0 17 17 17 17 18 17 17 17 39 17 17 17 17 17 10 17 39 17 17 17 18 17 18 17 17 17 17 17 2 17 23 18 17 17 17 39 18 17 17 17 17 17 17 17 17 17 39 17 17 17 18 17 18 17 39 17 17 17 18 17 17 17 18 17 17 17 17 17 39 17 17 17 17 17 39 17 23 23 17 4 17 17 17 18 17 17 17 17 17 17 17 17 18 39 17 24 17 17 17 17 18 17 17 17 17 17 18 39 39 17 39 17 39 17 18 17 34 34 34 5 31 34 22 34 17 34 34 34 36 21 21 34 34 34 21 35 21 21 34 18 35 34 34 34 34 21 22 34 22 34 17 21 34 34 21 21 21 35 21 34 4 35 2 36 21 21 22 21 21 17 36 34 31 34 34 34 34 34 34 34 20 34 21 36 34 17 21 34 34 17 34 22 34 34 21 35 36 34 34 17 36 21 34 34 34 31 17 21 36 33 34 35 34 34 34 34 17 16 25 26 16 42 25 25 12 17 17 17 27 9 26 12 25 26 25 27 12 12 16 27 11 25 25 25 25 25 27 17 25 25 26 16 25 25 12 25 12 27 25 12 12 9 25 25 25 16 27 12 26 26 27 16 25 12 16 25 17 25 9 25 27 26 25 25 16 9 26 1 25 25 16 12 26 25 17 25 16 25 18 25 25 16 16 9 25 25 25 17 25 27 17 16 25 25 26 25 28 28 6 4 5 2 28 28 40 5 28 23 42 30 30 28 13 4 6 30 40 28 28 40 24 2 29 28 30 40 2 23 28 30 30 24 6 2 40 30 2 5 2 40 28 37 2 5 28 4 40 31 6 40 23 37 30 28 40 28 40 28 2 28 28 28 4 2 9 28 40 40 28 40 31 30 4 40 30 23 6 28 29 28 30 28 28 2 4 5 2 6 37 28 6 28 40 40 28 29"
2,-0.7776,1.0000,"2 2 8 2 2 2 2 7 25 2 2 8 27 7 2 7 25 25 7 7 8 25 8 25 39 7 25 2 25 2 2 39 2 39 25 25 2 39 2 7 39 26 25 2 13 2 25 25 39 7 2 8 2 2 2 8 25 25 39 25 2 25 8 25 25 38 25 25 25 2 2 27 25 7 2 2 2 25 26 2 2 25 8 2 8 39 7 0 27 25 25 25 26 2 7 39 2 39 39 8 4 2 37 2 4 2 10 6 28 2 2 39 2 9 2 3 1 29 9 10 2 10 9 2 2 4 2 9 2 9 2 9 5 2 2 2 31 37 29 6 9 2 37 2 6 2 13 11 3 9 2 2 2 28 2 6 9 9 10 2 9 5 2 39 37 9 2 13 2 2 2 2 1 2 11 2 39 2 2 9 9 9 4 10 6 2 11 2 30 9 2 9 9 10 4 28 2 9 2 9 42 42 31 12 31 33 31 31 42 33 31 9 16 31 10 31 31 2 31 31 31 16 33 31 2 2 31 32 31 31 31 31 32 31 41 31 16 32 32 32 9 31 32 16 42 42 31 42 31 42 11 12 42 31 31 2 32 42 31 31 33 31 31 42 31 31 31 31 33 42 31 16 42 32 42 31 31 12 33 42 32 12 31 42 31 16 42 32 32 12 42 31 12 2 31 31 32 31 12 42 12 16 16 12 12 16 25 25 16 27 12 26 25 16 12 25 39 26 16 25 12 25 7 25 12 16 39 12 25 25 12 16 25 25 27 25 16 12 26 25 26 25 41 25 12 25 16 25 25 16 25 12 12 25 25 25 25 25 25 25 16 27 25 27 25 27 26 16 25 25 16 39 12 12 27 25 7 25 12 25 16 25 12 25 26 39 25 25 12 7 12 7 16 12 27 16 16 27 12 25 2 2 7 7 2 7 7 2 7 7 2 8 2 7 2 2 2 2 2 2 8 2 37 2 8 2 2 2 8 7 7 6 2 8 2 7 2 8 7 8 2 2 2 2 2 8 2 7 2 7 2 7 7 7 2 6 2 7 8 7 2 7 7 2 2 4 7 7 8 2 8 7 7 7 2 7 2 2 2 2 7 2 4 2 7 2 7 7 7 2 2 7 2 8 2 7 0 7 7 7"
3,-0.7483,1.0000,"2 2 8 39 39 2 2 7 25 39 2 8 27 7 39 39 25 25 39 39 8 39 8 25 39 39 25 2 39 2 39 39 2 39 25 25 2 39 2 39 39 39 25 2 39 2 39 25 39 7 2 8 2 2 39 8 39 39 39 39 2 39 8 39 39 39 39 39 39 39 2 39 25 7 2 39 2 25 26 2 2 25 39 2 8 39 7 39 39 25 25 39 39 39 7 39 2 39 39 8 4 12 5 40 6 9 9 12 2 2 12 12 23 37 23 2 23 38 2 2 12 12 4 12 1 12 2 12 24 12 13 12 23 2 24 12 12 12 11 12 12 23 38 24 12 10 2 24 9 0 6 12 37 12 9 12 37 9 23 2 12 12 2 12 2 12 2 12 24 0 11 38 12 11 6 6 2 2 23 12 2 2 2 24 24 4 6 2 12 10 12 12 23 11 12 24 9 2 2 23 42 42 42 12 16 42 25 42 42 2 2 9 16 42 10 42 12 2 16 42 12 16 16 2 2 2 16 42 12 42 42 16 16 42 41 41 16 12 2 12 9 16 2 16 42 42 2 42 2 42 11 12 42 2 12 2 9 42 12 42 10 2 42 42 42 16 42 12 42 42 42 16 42 42 42 2 16 12 42 42 15 12 42 42 41 16 42 9 11 12 42 12 12 2 42 21 2 2 12 42 12 16 16 12 12 16 25 25 16 27 12 26 25 16 12 25 39 26 16 25 12 25 7 25 12 16 39 12 25 25 12 16 25 25 27 25 16 12 26 25 26 25 41 25 12 25 16 25 25 16 25 12 12 25 25 25 25 25 25 25 16 27 25 27 25 27 26 16 25 25 16 39 12 12 27 25 7 25 12 25 16 25 12 25 26 39 25 25 12 7 12 7 16 12 27 16 16 27 12 25 2 2 7 7 0 7 7 2 7 7 0 8 3 7 2 0 2 2 0 3 0 0 37 2 8 0 3 2 8 7 7 6 2 3 2 7 2 3 0 8 0 0 3 2 2 8 2 7 2 3 2 0 7 7 3 6 0 7 3 3 2 0 3 2 0 4 7 7 8 2 8 7 3 0 2 7 2 2 2 2 7 2 0 2 0 2 7 7 7 3 3 0 3 3 2 7 0 3 3 41"
4,-0.7365,0.9583,"8 25 2 7 2 2 8 0 2 2 2 25 13 2 8 8 7 2 25 7 7 25 3 2 8 2 25 2 8 2 8 39 2 3 2 8 2 8 2 2 39 26 25 2 13 39 25 25 2 2 7 39 25 7 13 38 25 8 2 25 2 2 2 2 2 8 25 2 2 7 8 27 7 2 3 7 2 25 2 39 2 7 26 26 25 13 27 0 27 7 2 2 2 2 8 39 8 2 2 2 4 38 13 1 6 9 0 3 2 2 2 9 2 37 2 2 2 38 13 2 2 6 4 13 1 38 1 9 2 25 13 2 2 2 0 0 0 1 3 2 13 3 38 13 13 10 2 9 1 0 6 3 37 1 3 4 0 9 3 38 3 5 2 10 38 37 2 13 10 0 11 3 4 11 0 6 2 2 0 13 2 2 2 0 2 4 13 2 10 10 1 0 2 11 2 0 9 13 2 0 19 34 20 35 3 35 34 2 3 19 34 19 19 34 36 2 2 34 34 19 34 34 34 34 41 0 34 34 34 34 37 2 34 34 34 34 19 19 3 5 19 2 35 34 2 34 34 34 34 34 20 34 19 34 19 34 34 35 19 34 34 0 19 3 34 19 0 0 11 0 35 36 34 34 34 36 6 19 34 34 36 20 19 11 34 19 34 34 0 19 19 19 0 34 34 2 34 34 34 9 17 16 25 26 16 42 25 25 12 17 17 17 27 9 26 12 25 26 25 27 12 12 16 27 11 25 25 25 25 25 27 17 25 25 26 16 25 25 12 25 12 27 25 12 12 9 25 25 25 16 27 12 26 26 27 16 25 12 16 25 17 25 9 25 27 26 25 25 16 9 26 1 25 25 16 12 26 25 17 25 16 25 18 25 25 16 16 9 25 25 25 17 25 27 17 16 25 25 26 25 42 0 2 1 9 38 3 1 9 3 13 3 3 32 38 3 3 0 38 0 42 3 0 0 13 3 3 2 3 0 13 3 11 0 4 0 0 3 3 0 38 42 0 3 2 3 0 3 3 3 3 0 0 0 0 0 0 42 0 42 0 42 13 13 3 10 6 1 9 13 3 6 11 37 42 1 6 9 3 42 0 42 8 1 0 13 9 9 0 38 9 0 12 0 0 38 0 3 0 9"
5,-0.7190,0.9231,"0 3 2 25 2 2 4 2 3 25 10 2 2 28 2 2 2 4 2 2 28 2 2 2 2 2 2 2 6 0 2 2 2 4 2 6 4 4 2 2 2 25 2 0 2 3 2 2 5 25 5 2 2 5 2 2 2 6 2 4 2 5 2 24 6 2 37 2 37 2 2 2 5 2 2 2 12 3 2 2 23 2 3 10 6 2 2 2 24 3 2 5 2 37 2 37 2 25 2 37 9 28 28 9 9 11 10 11 28 9 9 39 9 9 11 3 1 29 9 10 9 10 9 28 28 9 30 9 1 9 29 9 28 10 9 28 31 9 29 10 9 9 28 28 10 9 13 11 3 9 28 39 9 28 9 10 9 9 10 9 9 39 9 39 28 9 39 13 39 11 9 9 1 9 11 9 39 9 39 9 9 9 28 10 30 28 11 9 30 9 9 9 9 10 28 28 9 9 9 9 11 11 41 2 16 41 25 9 16 2 2 9 11 12 10 9 2 2 9 16 2 2 16 2 2 2 16 2 3 21 2 12 16 2 41 41 16 12 2 2 9 9 2 16 2 27 2 2 2 25 11 12 41 2 21 2 9 25 12 13 10 2 41 2 10 12 9 12 2 2 2 16 16 41 1 2 12 2 2 11 15 2 0 22 41 2 27 9 11 2 9 41 41 2 10 21 2 2 11 2 17 16 25 26 16 42 25 25 12 17 17 17 27 9 26 12 25 26 25 27 12 12 16 27 11 25 25 25 25 25 27 17 25 25 26 16 25 25 12 25 12 27 25 12 12 9 25 25 25 16 27 12 26 26 27 16 25 12 16 25 17 25 9 25 27 26 25 25 16 9 26 1 25 25 16 12 26 25 17 25 16 25 18 25 25 16 16 9 25 25 25 17 25 27 17 16 25 25 26 25 2 2 7 7 2 7 7 2 7 7 2 8 2 7 2 2 2 2 2 2 8 2 37 2 8 2 2 2 8 7 7 6 2 8 2 7 2 8 7 8 2 2 2 2 2 8 2 7 2 7 2 7 7 7 2 6 2 7 8 7 2 7 7 2 2 4 7 7 8 2 8 7 7 7 2 7 2 2 2 2 7 2 4 2 7 2 7 7 7 2 2 7 2 8 2 7 0 7 7 7"
6,-0.7035,0.9000,"0 3 2 25 2 2 4 2 3 25 10 2 2 28 2 2 2 4 2 2 28 2 2 2 2 2 2 2 6 0 2 2 2 4 2 6 4 4 2 2 2 25 2 0 2 3 2 2 5 25 5 2 2 5 2 2 2 6 2 4 2 5 2 24 6 2 37 2 37 2 2 2 5 2 2 2 12 3 2 2 23 2 3 10 6 2 2 2 24 3 2 5 2 37 2 37 2 25 2 37 24 2 23 2 23 5 9 5 23 2 2 5 37 23 2 2 2 2 24 2 5 6 2 2 2 23 23 9 2 2 2 23 2 4 2 2 2 23 11 2 5 23 38 2 23 6 2 2 2 2 23 2 37 2 37 24 37 2 23 2 5 4 24 2 2 6 37 13 23 23 2 2 2 11 4 5 23 4 2 2 23 23 2 6 6 2 6 23 2 2 24 4 2 11 23 5 23 2 23 37 11 11 41 2 16 41 25 9 16 2 2 9 11 12 10 9 2 2 9 16 2 2 16 2 2 2 16 2 3 21 2 12 16 2 41 41 16 12 2 2 9 9 2 16 2 27 2 2 2 25 11 12 41 2 21 2 9 25 12 13 10 2 41 2 10 12 9 12 2 2 2 16 16 41 1 2 12 2 2 11 15 2 0 22 41 2 27 9 11 2 9 41 41 2 10 21 2 2 11 2 12 16 25 12 12 16 25 25 16 27 12 25 25 25 25 25 25 25 16 25 12 25 7 25 27 16 26 12 25 25 25 16 25 25 27 25 25 12 25 27 26 25 25 25 27 25 16 25 25 16 25 12 12 25 25 25 25 25 25 25 16 25 25 25 25 27 25 16 25 25 16 25 25 12 25 25 25 25 25 25 25 25 12 25 27 25 27 25 26 27 12 25 16 12 27 16 25 27 25 26 2 2 7 7 2 7 7 2 7 7 2 8 2 7 2 2 2 2 2 2 8 2 37 2 8 2 2 2 8 7 7 6 2 8 2 7 2 8 7 8 2 2 2 2 2 8 2 7 2 7 2 7 7 7 2 6 2 7 8 7 2 7 7 2 2 4 7 7 8 2 8 7 7 7 2 7 2 2 2 2 7 2 4 2 7 2 7 7 7 2 2 7 2 8 2 7 0 7 7 7"
7,-0.6932,0.8636,"0 3 2 25 2 2 4 2 3 25 10 2 2 28 2 2 2 4 2 2 28 2 2 2 2 2 2 2 6 0 2 2 2 4 2 6 4 4 2 2 2 25 2 0 2 3 2 2 5 25 5 2 2 5 2 2 2 6 2 4 2 5 2 24 6 2 37 2 37 2 2 2 5 2 2 2 12 3 2 2 23 2 3 10 6 2 2 2 24 3 2 5 2 37 2 37 2 25 2 37 4 2 5 40 6 9 9 2 2 2 2 9 2 37 2 2 2 38 2 2 2 6 4 2 1 38 2 9 2 25 13 2 2 2 2 4 0 1 11 2 0 13 38 4 4 10 2 9 9 0 6 3 37 2 9 4 37 9 37 2 5 5 2 10 2 37 2 13 10 0 11 38 4 11 6 6 2 2 2 13 2 2 2 0 2 4 6 2 10 10 1 0 2 11 2 37 9 2 2 37 11 11 41 2 16 41 25 9 16 2 2 9 11 12 10 9 2 2 9 16 2 2 16 2 2 2 16 2 3 21 2 12 16 2 41 41 16 12 2 2 9 9 2 16 2 27 2 2 2 25 11 12 41 2 21 2 9 25 12 13 10 2 41 2 10 12 9 12 2 2 2 16 16 41 1 2 12 2 2 11 15 2 0 22 41 2 27 9 11 2 9 41 41 2 10 21 2 2 11 2 12 16 25 12 12 16 25 25 16 27 12 25 25 25 25 25 25 25 16 25 12 25 7 25 27 16 26 12 25 25 25 16 25 25 27 25 25 12 25 27 26 25 25 25 27 25 16 25 25 16 25 12 12 25 25 25 25 25 25 25 16 25 25 25 25 27 25 16 25 25 16 25 25 12 25 25 25 25 25 25 25 25 12 25 27 25 27 25 26 27 12 25 16 12 27 16 25 27 25 26 2 2 7 7 2 7 7 2 7 7 2 8 2 7 2 2 2 2 2 2 8 2 37 2 8 2 2 2 8 7 7 6 2 8 2 7 2 8 7 8 2 2 2 2 2 8 2 7 2 7 2 7 7 7 2 6 2 7 8 7 2 7 7 2 2 4 7 7 8 2 8 7 7 7 2 7 2 2 2 2 7 2 4 2 7 2 7 7 7 2 2 7 2 8 2 7 0 7 7 7"
8,-0.6830,0.8519,"1 25 39 3 27 27 39 0 25 39 2 25 13 5 2 25 25 38 25 25 25 25 3 0 0 39 25 38 38 13 5 39 39 3 25 25 13 0 25 1 39 26 25 38 13 39 25 25 1 39 25 39 25 25 13 38 25 25 39 25 13 3 25 1 25 1 25 25 25 2 25 27 25 39 3 39 39 25 26 39 39 25 26 26 25 13 27 0 27 25 25 0 26 25 39 39 5 39 39 13 4 38 13 1 6 9 0 3 2 2 2 9 2 37 2 2 2 38 13 2 2 6 4 13 1 38 1 9 2 25 13 2 2 2 0 0 0 1 3 2 13 3 38 13 13 10 2 9 1 0 6 3 37 1 3 4 0 9 3 38 3 5 2 10 38 37 2 13 10 0 11 3 4 11 0 6 2 2 0 13 2 2 2 0 2 4 13 2 10 10 1 0 2 11 2 0 9 13 2 0 19 34 20 35 3 35 34 2 3 19 34 19 19 34 36 2 2 34 34 19 34 34 34 34 41 0 34 34 34 34 37 2 34 34 34 34 19 19 3 5 19 2 35 34 2 34 34 34 34 34 20 34 19 34 19 34 34 35 19 34 34 0 19 3 34 19 0 0 11 0 35 36 34 34 34 36 6 19 34 34 36 20 19 11 34 19 34 34 0 19 19 19 0 34 34 2 34 34 34 9 17 16 25 26 16 42 25 25 12 17 17 17 27 9 26 12 25 26 25 27 12 12 16 27 11 25 25 25 25 25 27 17 25 25 26 16 25 25 12 25 12 27 25 12 12 9 25 25 25 16 27 12 26 26 27 16 25 12 16 25 17 25 9 25 27 26 25 25 16 9 26 1 25 25 16 12 26 25 17 25 16 25 18 25 25 16 16 9 25 25 25 17 25 27 17 16 25 25 26 25 42 0 2 42 9 42 3 0 9 3 6 3 3 32 3 3 2 0 0 0 42 3 0 0 42 3 3 2 3 0 3 0 11 0 4 0 0 3 3 0 10 42 0 3 2 3 0 3 3 3 3 9 0 0 3 3 4 42 0 42 0 42 0 2 3 10 6 9 9 3 42 6 11 37 42 3 6 9 3 42 0 42 8 0 3 3 9 9 3 42 9 0 12 13 0 2 0 3 27 9"
9,-0.6822,0.8750,"2 2 8 2 2 2 2 7 25 2 2 8 27 7 2 7 25 25 7 7 8 25 8 25 39 7 25 2 25 2 2 39 2 39 25 25 2 39 2 7 39 26 25 2 13 2 25 25 39 7 2 8 2 2 2 8 25 25 39 25 2 25 8 25 25 38 25 25 25 2 2 27 25 7 2 2 2 25 26 2 2 25 8 2 8 39 7 0 27 25 25 25 26 2 7 39 2 39 39 8 4 12 5 40 6 9 9 12 2 2 12 12 23 37 23 2 23 38 2 2 12 12 4 12 1 12 2 12 24 12 13 12 23 2 24 12 12 12 11 12 12 23 38 24 12 10 2 24 9 0 6 12 37 12 9 12 37 9 23 2 12 12 2 12 2 12 2 12 24 0 11 38 12 11 6 6 2 2 23 12 2 2 2 24 24 4 6 2 12 10 12 12 23 11 12 24 9 2 2 23 42 42 42 12 16 42 25 42 42 2 2 9 16 42 10 42 12 2 16 42 12 16 16 2 2 2 16 42 12 42 42 16 16 42 41 41 16 12 2 12 9 16 2 16 42 42 2 42 2 42 11 12 42 2 12 2 9 42 12 42 10 2 42 42 42 16 42 12 42 42 42 16 42 42 42 2 16 12 42 42 15 12 42 42 41 16 42 9 11 12 42 12 12 2 42 21 2 2 12 42 12 16 16 12 12 16 25 25 16 27 12 26 25 16 12 25 39 26 16 25 12 25 7 25 12 16 39 12 25 25 12 16 25 25 27 25 16 12 26 25 26 25 41 25 12 25 16 25 25 16 25 12 12 25 25 25 25 25 25 25 16 27 25 27 25 27 26 16 25 25 16 39 12 12 27 25 7 25 12 25 16 25 12 25 26 39 25 25 12 7 12 7 16 12 27 16 16 27 12 25 2 2 7 7 0 7 7 2 7 7 0 8 3 7 2 0 2 2 0 3 0 0 37 2 8 0 3 2 8 7 7 6 2 3 2 7 2 3 0 8 0 0 3 2 2 8 2 7 2 3 2 0 7 7 3 6 0 7 3 3 2 0 3 2 0 4 7 7 8 2 8 7 3 0 2 7 2 2 2 2 7 2 0 2 0 2 7 7 7 3 3 0 3 3 2 7 0 3 3 41"
10,-0.6759,0.8077,"18 17 3 18 17 17 17 17 17 18 17 26 18 39 0 17 17 18 17 9 17 18 17 18 17 17 0 27 17 9 39 26 17 17 17 17 17 17 9 17 39 0 39 3 17 17 9 17 9 17 9 3 17 17 27 17 17 3 39 0 0 17 3 11 17 0 18 17 0 17 17 9 3 17 17 18 3 39 39 39 11 17 18 0 17 17 17 17 18 17 17 17 39 17 17 17 17 17 10 17 39 17 17 17 18 17 18 17 17 17 17 17 2 17 23 18 17 17 17 39 18 17 17 17 17 17 17 17 17 17 39 17 17 17 18 17 18 17 39 17 17 17 18 17 17 17 18 17 17 17 17 17 39 17 17 17 17 17 39 17 23 23 17 4 17 17 17 18 17 17 17 17 17 17 17 17 18 39 17 24 17 17 17 17 18 17 17 17 17 17 18 39 39 17 39 17 39 17 18 17 34 34 34 5 31 34 22 34 17 34 34 34 36 21 21 34 34 34 21 35 21 21 34 18 35 34 34 34 34 21 22 34 22 34 17 21 34 34 21 21 21 35 21 34 4 35 2 36 21 21 22 21 21 17 36 34 31 34 34 34 34 34 34 34 20 34 21 36 34 17 21 34 34 17 34 22 34 34 21 35 36 34 34 17 36 21 34 34 34 31 17 21 36 33 34 35 34 34 34 34 17 16 25 26 16 42 25 25 12 17 17 17 27 9 26 12 25 26 25 27 12 12 16 27 11 25 25 25 25 25 27 17 25 25 26 16 25 25 12 25 12 27 25 12 12 9 25 25 25 16 27 12 26 26 27 16 25 12 16 25 17 25 9 25 27 26 25 25 16 9 26 1 25 25 16 12 26 25 17 25 16 25 18 25 25 16 16 9 25 25 25 17 25 27 17 16 25 25 26 25 28 28 6 4 5 2 28 28 40 5 28 23 42 30 30 28 13 4 6 30 40 28 28 40 24 2 29 28 30 40 2 23 28 30 30 24 6 2 40 30 2 5 2 40 28 37 2 5 28 4 40 31 6 40 23 37 30 28 40 28 40 28 2 28 28 28 4 2 9 28 40 40 28 40 31 30 4 40 30 23 6 28 29 28 30 28 28 2 4 5 2 6 37 28 6 28 40 40 28 29"
