# seed=5
# instance=EXPONENTIAL
# popSize=50
# generations=100
# crossover=BlockUniform(p=0.25)
# mutation=p0=0.05,pMin=0.002,alpha=0.95
# tournamentK=3
# elitism=2
# lambda_similarity=0.3
# fights_per_team=10
# anchors=5
gen,changes,best_fitness,best_winrate,best_similarity,avg_fitness,worst_fitness,best_genome
0,1,-0.5653,0.8462,0.9362,-0.1341,0.2777,"10 19 33 39 9 35 38 39 16 24 12 9 42 37 12 8 15 37 18 18 37 11 26 39 28 22 9 36 37 39 17 9 12 0 21 29 6 26 13 3 12 21 2 41 37 29 34 32 21 42 34 0 32 37 33 19 9 19 31 13 3 31 24 34 41 12 15 24 39 42 6 36 2 32 38 1 24 12 30 37 11 21 5 23 41 42 3 4 10 35 36 20 23 24 1 7 38 26 28 11 34 7 38 37 4 37 14 2 2 21 0 20 38 17 9 20 18 19 42 2 8 29 25 10 3 1 35 14 29 26 22 42 11 1 4 18 33 38 42 6 29 37 35 30 40 30 41 11 5 11 20 11 22 11 12 6 40 28 27 24 15 15 36 11 41 37 17 7 9 31 35 6 32 26 4 0 36 14 21 28 0 19 4 1 17 19 23 39 2 34 39 9 13 1 17 7 40 7 25 24 5 19 42 39 18 9 32 1 13 24 26 0 42 27 2 15 21 42 2 12 22 35 19 31 39 15 2 29 18 38 25 15 14 29 13 1 1 8 24 35 16 32 4 34 23 2 15 15 32 34 24 32 0 35 13 21 35 7 27 31 4 23 38 23 24 23 8 41 15 24 37 42 20 14 13 17 32 22 14 21 12 27 7 11 27 14 37 40 23 33 37 28 35 26 31 41 29 2 2 11 19 10 12 11 18 12 22 21 36 23 5 2 9 38 40 20 20 6 41 17 5 26 40 21 6 39 13 10 7 26 0 15 33 38 25 4 21 3 22 41 39 27 19 17 31 1 41 7 2 39 42 7 36 0 9 6 0 2 10 6 4 4 9 2 39 28 8 39 31 5 36 36 6 14 1 20 15 37 27 7 22 14 6 41 3 5 6 41 0 12 2 13 41 25 30 27 3 12 16 29 21 32 16 17 36 2 0 7 13 1 25 23 13 35 33 3 17 27 17 3 20 39 6 42 17 30 40 39 41 0 14 15 27 17 42 23 21 4 18 41 6 13 36 4 32 38 9 17 16 3 9 40 22 38 8 37 32 17 25 39 28 31 20 2 19 40 33 42 22 1 4 29 9 7 33 20 8 3 25 19 26 38 36 34 10 23 40 5 9 25 41 16 24 21 0 30 41 30 22 18"
1,2,-0.6903,0.8462,0.5196,-0.1935,0.2779,"2 17 1 12 2 2 5 41 2 4 37 2 12 17 37 17 6 17 2 36 17 2 2 2 6 2 2 5 2 2 6 20 2 4 18 14 12 37 2 2 12 2 4 12 12 2 2 2 17 12 2 12 18 36 2 18 9 12 2 4 12 2 12 5 18 2 2 12 12 5 6 2 2 6 2 2 12 36 37 37 12 6 2 12 17 12 1 29 5 2 2 2 2 17 12 2 35 2 12 4 39 35 34 39 34 25 34 36 27 0 25 34 34 36 34 34 34 34 34 0 0 37 0 39 34 0 34 34 34 34 34 34 36 35 34 34 3 34 34 25 36 34 34 25 39 35 36 34 35 39 28 39 39 34 34 34 39 28 1 25 36 34 0 35 34 34 34 34 39 34 39 36 34 38 34 34 34 34 29 34 34 39 39 34 39 34 35 34 36 34 35 34 34 34 34 34 39 25 34 34 34 19 17 34 5 19 12 19 14 1 15 15 15 34 19 19 35 14 18 17 15 15 35 17 14 17 19 34 15 14 15 15 19 17 15 19 14 34 31 17 15 17 15 34 15 17 34 34 35 34 19 17 34 19 19 33 34 31 14 19 34 19 19 17 15 15 34 34 14 14 19 17 36 4 19 34 35 36 15 17 34 15 34 8 34 19 14 34 34 34 34 10 32 2 15 15 32 15 17 34 12 12 19 32 15 31 12 12 31 31 12 12 17 12 31 28 29 28 12 30 31 19 29 12 12 31 31 32 12 12 12 31 31 31 12 31 28 19 31 19 14 19 12 12 20 12 28 28 12 12 31 12 12 30 19 14 12 30 31 12 28 12 12 19 12 31 28 12 12 30 28 19 12 12 12 25 12 12 12 28 12 30 20 12 28 30 19 29 29 14 31 31 28 31 31 30 12 33 32 29 42 34 34 34 34 34 42 31 42 16 31 31 2 31 32 31 12 31 31 35 31 42 31 31 31 36 31 31 31 31 42 34 34 31 34 31 26 31 32 12 42 31 34 31 31 31 31 31 26 27 34 34 42 34 33 2 8 34 2 31 31 32 31 31 42 33 16 31 32 34 25 35 16 36 31 42 33 34 31 34 34 33 42 42 31 31 34 31 31 31 31 33 31 31 2 34 34 25 32 31"
2,3,-0.7160,0.8261,0.3668,-0.2353,0.2632,"34 35 6 41 3 34 41 25 41 36 41 35 38 1 41 36 41 41 5 34 0 41 41 29 40 36 13 41 41 0 41 3 34 41 0 41 10 41 41 35 41 34 35 34 3 33 41 13 41 34 34 36 30 27 41 1 8 41 41 34 41 41 41 0 41 0 41 11 1 13 22 41 41 35 41 38 38 13 41 34 42 41 41 41 34 34 31 1 41 34 34 41 20 1 41 35 41 41 3 41 17 14 17 34 19 34 17 15 19 36 14 19 19 19 19 17 2 19 14 19 14 19 19 17 17 19 17 21 34 36 17 39 19 34 17 35 19 19 19 39 14 19 19 19 19 40 19 6 39 35 19 14 17 19 14 39 19 19 17 40 19 36 19 15 15 17 28 14 19 34 19 14 17 17 34 36 14 15 17 17 19 14 19 36 14 17 34 17 25 15 19 14 19 34 34 17 15 36 34 19 25 41 41 1 41 38 41 41 25 41 38 38 41 34 41 25 25 41 41 41 12 41 25 41 3 41 41 25 25 25 13 26 25 41 27 38 41 38 1 27 25 14 25 12 41 41 13 41 12 25 25 34 27 13 41 27 38 41 0 25 26 26 41 25 6 12 25 38 13 24 12 25 41 24 3 41 6 0 13 5 25 25 27 41 41 41 25 41 41 25 25 41 12 25 41 41 19 25 6 12 14 41 41 14 15 28 17 7 27 19 41 2 15 17 14 14 15 14 17 30 2 15 17 0 15 12 17 19 19 2 15 14 19 2 2 2 15 19 2 15 3 17 19 19 19 13 7 19 41 41 17 14 15 15 2 15 41 8 19 7 15 17 17 17 41 14 17 19 2 19 29 8 19 2 17 15 2 17 19 17 17 19 14 15 19 17 19 14 15 14 17 41 15 19 17 41 41 17 17 2 34 38 16 38 3 35 34 6 16 34 33 16 1 12 5 32 3 13 31 12 34 34 36 33 36 36 34 16 3 13 12 31 14 7 36 34 13 33 2 34 34 31 33 3 38 38 36 34 38 38 3 0 3 33 3 9 1 36 34 34 35 34 38 0 34 1 3 13 38 33 31 35 3 12 34 12 3 25 34 13 12 35 0 0 41 12 18 3 34 34 38 34 34 1 31 38 34 16 16 31"
3,3,-0.6908,0.8333,0.4751,-0.2462,0.2364,"34 35 6 41 3 34 41 25 41 36 41 35 38 1 41 36 41 41 5 34 0 41 41 29 40 36 13 41 41 0 41 3 34 41 0 41 10 41 41 35 41 34 35 34 3 33 41 13 41 34 34 36 30 27 41 1 8 41 41 34 41 41 41 0 41 0 41 11 1 13 22 41 41 35 41 38 38 13 41 34 42 41 41 41 34 34 31 1 41 34 34 41 20 1 41 35 41 41 3 41 17 14 17 34 19 34 17 15 19 36 14 19 19 19 19 17 2 19 14 19 14 19 19 17 17 19 17 21 34 36 17 39 19 34 17 35 19 19 19 39 14 19 19 19 19 40 19 6 39 35 19 14 17 19 14 39 19 19 17 40 19 36 19 15 15 17 28 14 19 34 19 14 17 17 34 36 14 15 17 17 19 14 19 36 14 17 34 17 25 15 19 14 19 34 34 17 15 36 34 19 25 41 41 1 41 38 41 41 25 41 38 38 41 34 41 25 25 41 41 41 12 41 25 41 3 41 41 25 25 25 13 26 25 41 27 38 41 38 1 27 25 14 25 12 41 41 13 41 12 25 25 34 27 13 41 27 38 41 0 25 26 26 41 25 6 12 25 38 13 24 12 25 41 24 3 41 6 0 13 5 25 25 27 41 41 41 25 41 41 25 25 41 12 25 41 41 19 25 6 12 14 41 41 14 15 28 17 7 27 19 41 2 15 17 14 14 15 14 17 30 2 15 17 0 15 12 17 19 19 2 15 14 19 2 2 2 15 19 2 15 3 17 19 19 19 13 7 19 41 41 17 14 15 15 2 15 41 8 19 7 15 17 17 17 41 14 17 19 2 19 29 8 19 2 17 15 2 17 19 17 17 19 14 15 19 17 19 14 15 14 17 41 15 19 17 41 41 17 17 2 34 38 16 38 3 35 34 6 16 34 33 16 1 12 5 32 3 13 31 12 34 34 36 33 36 36 34 16 3 13 12 31 14 7 36 34 13 33 2 34 34 31 33 3 38 38 36 34 38 38 3 0 3 33 3 9 1 36 34 34 35 34 38 0 34 1 3 13 38 33 31 35 3 12 34 12 3 25 34 13 12 35 0 0 41 12 18 3 34 34 38 34 34 1 31 38 34 16 16 31"
4,4,-0.7992,0.9583,0.5303,-0.2719,0.2392,"2 25 1 25 25 2 25 25 25 4 37 2 25 17 37 17 6 25 2 25 17 25 2 25 6 25 2 5 27 2 25 27 25 25 25 25 27 37 26 27 12 25 4 12 25 2 27 2 17 12 2 25 25 25 2 25 9 25 25 25 12 25 25 5 25 25 27 25 25 27 26 2 25 27 2 25 26 36 37 37 12 6 25 25 25 26 1 29 5 2 27 27 27 17 25 2 25 25 12 25 33 30 30 31 31 28 31 30 28 28 30 30 28 30 29 32 28 28 32 29 30 28 25 28 28 31 28 32 31 31 25 33 31 31 30 31 28 31 31 28 36 31 28 30 31 28 31 28 31 25 28 32 28 32 32 25 39 28 25 30 31 33 29 28 33 29 31 34 31 29 28 25 28 28 27 29 26 29 33 29 28 30 28 28 31 25 31 25 30 31 33 28 25 29 32 28 30 31 32 33 18 17 12 34 12 13 17 41 24 1 38 12 13 41 41 12 17 13 41 24 41 3 1 24 17 0 41 24 41 23 17 17 0 0 23 41 41 41 41 12 41 0 18 38 3 12 41 38 12 41 17 41 23 19 17 41 41 12 41 41 17 38 17 17 41 38 41 13 41 1 3 1 17 38 3 23 0 38 18 41 12 24 1 0 12 41 41 12 17 17 41 41 41 41 12 38 32 24 38 41 29 30 12 12 12 12 28 12 12 12 12 1 12 30 12 29 12 40 29 29 12 28 12 12 12 40 28 12 28 28 29 3 12 30 12 12 30 12 28 12 12 12 12 29 29 12 12 12 12 42 13 12 12 12 12 3 42 38 29 12 12 12 12 12 28 29 28 12 38 12 12 12 16 28 28 12 16 12 30 12 12 12 29 12 12 28 12 12 1 12 12 12 12 12 12 12 38 33 28 12 25 25 25 27 25 19 25 12 27 34 25 25 12 26 27 36 25 25 20 7 7 34 25 25 12 7 26 12 19 25 12 25 25 25 25 25 12 12 25 12 25 19 12 25 19 36 27 25 12 25 20 12 25 19 12 19 25 25 25 25 25 27 35 25 25 27 27 7 12 25 25 25 36 25 25 25 35 26 12 25 12 25 25 12 19 19 35 7 12 26 25 25 25 26 20 25 7 25 19 27"
5,5,-0.8115,1.0000,0.6283,-0.2755,0.2336,"2 25 2 27 12 12 12 25 25 25 27 12 12 25 12 25 25 12 12 25 12 2 12 25 4 24 12 15 30 12 12 12 12 12 12 28 12 2 28 12 12 30 25 12 12 28 12 12 27 29 25 12 25 12 37 2 25 6 12 2 25 12 25 25 25 25 27 2 5 12 12 2 25 12 29 29 25 12 25 25 6 12 2 25 12 29 29 2 25 30 12 2 13 30 25 12 29 12 12 28 23 12 2 2 9 2 30 29 2 16 23 2 16 2 9 2 10 2 12 23 11 11 2 23 23 11 2 11 30 12 23 11 24 37 23 10 2 23 11 2 23 2 11 2 23 23 2 9 11 5 40 24 23 2 2 2 10 9 36 23 9 23 11 23 28 23 23 23 2 9 24 23 2 2 2 23 9 2 2 2 6 2 2 4 2 2 23 2 2 23 2 2 23 23 2 10 2 2 9 2 19 38 38 13 19 0 20 38 0 12 0 19 22 13 19 2 3 20 3 19 37 19 19 19 2 20 19 23 19 13 19 38 19 19 1 19 1 1 0 19 19 19 23 0 38 13 3 13 0 12 0 19 2 20 19 19 19 2 19 19 19 19 38 19 19 12 0 19 0 19 19 12 13 19 13 23 0 1 2 19 2 20 2 13 20 4 1 19 2 0 3 4 1 4 3 3 19 0 12 38 34 25 34 25 14 25 35 34 34 36 35 26 34 27 17 34 20 35 34 34 34 25 34 34 34 19 25 22 34 35 5 34 17 34 34 34 34 25 34 36 25 14 34 25 36 33 34 15 27 14 25 25 34 19 15 26 34 20 37 34 34 25 34 34 25 34 25 27 27 36 26 14 36 19 25 35 34 34 35 34 26 34 34 35 26 34 19 34 34 35 19 37 34 34 14 25 34 36 34 34 39 39 13 13 39 17 39 39 39 39 5 39 0 36 4 39 39 14 39 16 39 17 39 39 39 39 39 41 39 39 19 39 39 39 16 39 39 39 39 4 13 39 41 39 33 39 39 39 39 28 39 39 39 39 23 9 39 39 35 39 23 21 21 32 42 39 39 41 26 12 39 39 36 39 39 3 39 5 39 39 37 39 6 39 39 1 35 16 39 0 39 39 33 39 11 25 39 39 39 39"
6,5,-0.7734,0.9643,0.6363,-0.2822,0.1894,"2 25 2 27 12 12 12 25 25 25 27 12 12 25 12 25 25 12 12 25 12 2 12 25 4 24 12 15 30 12 12 12 12 12 12 28 12 2 28 12 12 30 25 12 12 28 12 12 27 29 25 12 25 12 37 2 25 6 12 2 25 12 25 25 25 25 27 2 5 12 12 2 25 12 29 29 25 12 25 25 6 12 2 25 12 29 29 2 25 30 12 2 13 30 25 12 29 12 12 28 23 12 2 2 9 2 30 29 2 16 23 2 16 2 9 2 10 2 12 23 11 11 2 23 23 11 2 11 30 12 23 11 24 37 23 10 2 23 11 2 23 2 11 2 23 23 2 9 11 5 40 24 23 2 2 2 10 9 36 23 9 23 11 23 28 23 23 23 2 9 24 23 2 2 2 23 9 2 2 2 6 2 2 4 2 2 23 2 2 23 2 2 23 23 2 10 2 2 9 2 19 38 38 13 19 0 20 38 0 12 0 19 22 13 19 2 3 20 3 19 37 19 19 19 2 20 19 23 19 13 19 38 19 19 1 19 1 1 0 19 19 19 23 0 38 13 3 13 0 12 0 19 2 20 19 19 19 2 19 19 19 19 38 19 19 12 0 19 0 19 19 12 13 19 13 23 0 1 2 19 2 20 2 13 20 4 1 19 2 0 3 4 1 4 3 3 19 0 12 38 34 25 34 25 14 25 35 34 34 36 35 26 34 27 17 34 20 35 34 34 34 25 34 34 34 19 25 22 34 35 5 34 17 34 34 34 34 25 34 36 25 14 34 25 36 33 34 15 27 14 25 25 34 19 15 26 34 20 37 34 34 25 34 34 25 34 25 27 27 36 26 14 36 19 25 35 34 34 35 34 26 34 34 35 26 34 19 34 34 35 19 37 34 34 14 25 34 36 34 34 39 39 13 13 39 17 39 39 39 39 5 39 0 36 4 39 39 14 39 16 39 17 39 39 39 39 39 41 39 39 19 39 39 39 16 39 39 39 39 4 13 39 41 39 33 39 39 39 39 28 39 39 39 39 23 9 39 39 35 39 23 21 21 32 42 39 39 41 26 12 39 39 36 39 39 3 39 5 39 39 37 39 6 39 39 1 35 16 39 0 39 39 33 39 11 25 39 39 39 39"
7,5,-0.8022,1.0000,0.6593,-0.2821,0.1667,"2 25 2 27 12 12 12 25 25 25 27 12 12 25 12 25 25 12 12 25 12 2 12 25 4 24 12 15 30 12 12 12 12 12 12 28 12 2 28 12 12 30 25 12 12 28 12 12 27 29 25 12 25 12 37 2 25 6 12 2 25 12 25 25 25 25 27 2 5 12 12 2 25 12 29 29 25 12 25 25 6 12 2 25 12 29 29 2 25 30 12 2 13 30 25 12 29 12 12 28 23 12 2 2 9 2 30 29 2 16 23 2 16 2 9 2 10 2 12 23 11 11 2 23 23 11 2 11 30 12 23 11 24 37 23 10 2 23 11 2 23 2 11 2 23 23 2 9 11 5 40 24 23 2 2 2 10 9 36 23 9 23 11 23 28 23 23 23 2 9 24 23 2 2 2 23 9 2 2 2 6 2 2 4 2 2 23 2 2 23 2 2 23 23 2 10 2 2 9 2 19 38 38 13 19 0 20 38 0 12 0 19 22 13 19 2 3 20 3 19 37 19 19 19 2 20 19 23 19 13 19 38 19 19 1 19 1 1 0 19 19 19 23 0 38 13 3 13 0 12 0 19 2 20 19 19 19 2 19 19 19 19 38 19 19 12 0 19 0 19 19 12 13 19 13 23 0 1 2 19 2 20 2 13 20 4 1 19 2 0 3 4 1 4 3 3 19 0 12 38 34 25 34 25 14 25 35 34 34 36 35 26 34 27 17 34 20 35 34 34 34 25 34 34 34 19 25 22 34 35 5 34 17 34 34 34 34 25 34 36 25 14 34 25 36 33 34 15 27 14 25 25 34 19 15 26 34 20 37 34 34 25 34 34 25 34 25 27 27 36 26 14 36 19 25 35 34 34 35 34 26 34 34 35 26 34 19 34 34 35 19 37 34 34 14 25 34 36 34 34 39 39 13 13 39 17 39 39 39 39 5 39 0 36 4 39 39 14 39 16 39 17 39 39 39 39 39 41 39 39 19 39 39 39 16 39 39 39 39 4 13 39 41 39 33 39 39 39 39 28 39 39 39 39 23 9 39 39 35 39 23 21 21 32 42 39 39 41 26 12 39 39 36 39 39 3 39 5 39 39 37 39 6 39 39 1 35 16 39 0 39 39 33 39 11 25 39 39 39 39"
8,5,-0.7798,0.9130,0.4440,-0.2907,0.1639,"2 25 2 27 12 12 12 25 25 25 27 12 12 25 12 25 25 12 12 25 12 2 12 25 4 24 12 15 30 12 12 12 12 12 12 28 12 2 28 12 12 30 25 12 12 28 12 12 27 29 25 12 25 12 37 2 25 6 12 2 25 12 25 25 25 25 27 2 5 12 12 2 25 12 29 29 25 12 25 25 6 12 2 25 12 29 29 2 25 30 12 2 13 30 25 12 29 12 12 28 23 12 2 2 9 2 30 29 2 16 23 2 16 2 9 2 10 2 12 23 11 11 2 23 23 11 2 11 30 12 23 11 24 37 23 10 2 23 11 2 23 2 11 2 23 23 2 9 11 5 40 24 23 2 2 2 10 9 36 23 9 23 11 23 28 23 23 23 2 9 24 23 2 2 2 23 9 2 2 2 6 2 2 4 2 2 23 2 2 23 2 2 23 23 2 10 2 2 9 2 19 38 38 13 19 0 20 38 0 12 0 19 22 13 19 2 3 20 3 19 37 19 19 19 2 20 19 23 19 13 19 38 19 19 1 19 1 1 0 19 19 19 23 0 38 13 3 13 0 12 0 19 2 20 19 19 19 2 19 19 19 19 38 19 19 12 0 19 0 19 19 12 13 19 13 23 0 1 2 19 2 20 2 13 20 4 1 19 2 0 3 4 1 4 3 3 19 0 12 38 34 25 34 25 14 25 35 34 34 36 35 26 34 27 17 34 20 35 34 34 34 25 34 34 34 19 25 22 34 35 5 34 17 34 34 34 34 25 34 36 25 14 34 25 36 33 34 15 27 14 25 25 34 19 15 26 34 20 37 34 34 25 34 34 25 34 25 27 27 36 26 14 36 19 25 35 34 34 35 34 26 34 34 35 26 34 19 34 34 35 19 37 34 34 14 25 34 36 34 34 39 39 13 13 39 17 39 39 39 39 5 39 0 36 4 39 39 14 39 16 39 17 39 39 39 39 39 41 39 39 19 39 39 39 16 39 39 39 39 4 13 39 41 39 33 39 39 39 39 28 39 39 39 39 23 9 39 39 35 39 23 21 21 32 42 39 39 41 26 12 39 39 36 39 39 3 39 5 39 39 37 39 6 39 39 1 35 16 39 0 39 39 33 39 11 25 39 39 39 39"
9,5,-0.7894,1.0000,0.7019,-0.2987,0.1626,"2 25 2 27 12 12 12 25 25 25 27 12 12 25 12 25 25 12 12 25 12 2 12 25 4 24 12 15 30 12 12 12 12 12 12 28 12 2 28 12 12 30 25 12 12 28 12 12 27 29 25 12 25 12 37 2 25 6 12 2 25 12 25 25 25 25 27 2 5 12 12 2 25 12 29 29 25 12 25 25 6 12 2 25 12 29 29 2 25 30 12 2 13 30 25 12 29 12 12 28 23 12 2 2 9 2 30 29 2 16 23 2 16 2 9 2 10 2 12 23 11 11 2 23 23 11 2 11 30 12 23 11 24 37 23 10 2 23 11 2 23 2 11 2 23 23 2 9 11 5 40 24 23 2 2 2 10 9 36 23 9 23 11 23 28 23 23 23 2 9 24 23 2 2 2 23 9 2 2 2 6 2 2 4 2 2 23 2 2 23 2 2 23 23 2 10 2 2 9 2 19 38 38 13 19 0 20 38 0 12 0 19 22 13 19 2 3 20 3 19 37 19 19 19 2 20 19 23 19 13 19 38 19 19 1 19 1 1 0 19 19 19 23 0 38 13 3 13 0 12 0 19 2 20 19 19 19 2 19 19 19 19 38 19 19 12 0 19 0 19 19 12 13 19 13 23 0 1 2 19 2 20 2 13 20 4 1 19 2 0 3 4 1 4 3 3 19 0 12 38 34 25 34 25 14 25 35 34 34 36 35 26 34 27 17 34 20 35 34 34 34 25 34 34 34 19 25 22 34 35 5 34 17 34 34 34 34 25 34 36 25 14 34 25 36 33 34 15 27 14 25 25 34 19 15 26 34 20 37 34 34 25 34 34 25 34 25 27 27 36 26 14 36 19 25 35 34 34 35 34 26 34 34 35 26 34 19 34 34 35 19 37 34 34 14 25 34 36 34 34 39 39 13 13 39 17 39 39 39 39 5 39 0 36 4 39 39 14 39 16 39 17 39 39 39 39 39 41 39 39 19 39 39 39 16 39 39 39 39 4 13 39 41 39 33 39 39 39 39 28 39 39 39 39 23 9 39 39 35 39 23 21 21 32 42 39 39 41 26 12 39 39 36 39 39 3 39 5 39 39 37 39 6 39 39 1 35 16 39 0 39 39 33 39 11 25 39 39 39 39"
