rank,fitness,winrate,genome
1,-0.8150,1.0000,"36 39 39 2 2 34 34 39 35 39 39 39 34 39 34 34 39 34 39 9 36 39 9 9 34 26 39 39 34 11 34 10 34 36 34 39 36 9 9 34 39 9 39 34 39 39 39 42 9 34 36 35 34 34 39 9 2 39 9 39 25 39 10 9 36 39 34 34 36 11 9 2 5 2 34 34 9 39 39 39 9 39 34 34 39 9 39 39 10 39 2 34 34 39 2 2 39 39 34 9 25 42 26 42 26 25 12 25 25 42 42 42 25 16 25 26 2 25 42 25 42 26 5 42 42 12 42 25 25 42 27 25 2 27 42 26 2 26 25 25 42 25 25 25 16 25 25 16 16 25 25 25 25 12 26 25 25 37 25 25 42 16 26 4 26 25 2 25 42 25 25 25 25 4 42 25 5 27 25 42 25 5 26 16 25 25 26 16 25 27 12 42 27 42 25 25 25 27 12 27 2 37 2 2 8 8 2 4 8 7 2 2 7 7 8 2 2 7 2 7 8 37 2 7 38 2 2 7 7 8 39 7 7 2 2 7 2 2 7 8 7 7 8 2 8 37 2 7 2 4 8 2 2 7 2 7 4 2 7 7 2 2 7 5 8 7 2 2 8 2 2 2 7 7 8 8 4 2 1 1 7 8 2 2 8 2 7 2 3 2 7 2 2 2 2 2 2 2 4 7 33 2 2 2 2 2 7 37 2 2 31 2 2 8 31 4 2 37 7 2 31 2 5 33 31 2 2 6 2 5 2 7 2 6 2 2 2 2 33 4 2 31 2 2 6 5 28 8 37 2 4 6 2 7 2 37 2 6 2 2 4 2 2 37 2 6 4 4 2 2 2 37 2 6 6 31 6 37 2 7 5 2 5 2 31 4 32 2 2 6 2 2 2 5 2 31 32 2 2 30 1 0 0 3 38 13 38 41 0 0 0 38 0 13 0 41 3 0 3 0 3 41 3 13 13 38 0 41 13 0 0 0 3 0 0 0 3 3 1 0 13 3 1 38 3 0 41 3 39 13 3 3 0 0 3 13 13 3 2 1 3 39 41 3 0 41 13 41 41 41 0 41 0 3 3 3 38 38 1 41 0 3 1 0 0 41 3 9 9 6 3 41 38 39 10 1 0 0 13 41"
2,-0.8075,0.9130,"17 25 25 18 17 18 34 17 18 25 39 17 17 17 17 25 27 34 25 17 17 17 17 17 25 17 39 17 17 17 17 17 17 25 18 18 17 17 17 17 26 25 39 17 39 39 17 17 17 18 18 35 18 26 17 9 2 17 17 17 17 17 17 25 25 17 17 17 27 11 17 17 5 2 18 17 9 17 26 17 25 17 34 26 39 17 17 17 27 17 17 34 34 17 18 17 39 17 17 27 25 42 26 42 26 25 12 25 25 42 42 42 25 16 25 26 2 25 42 25 42 26 5 42 42 12 42 25 25 42 27 25 2 27 42 26 2 26 25 25 42 25 25 25 16 25 25 16 16 25 25 25 25 12 26 25 25 37 25 25 42 16 26 4 26 25 2 25 42 25 25 25 25 4 42 25 5 27 25 42 25 5 26 16 25 25 26 16 25 27 12 42 27 42 25 25 25 27 12 27 2 37 2 2 8 0 2 3 8 40 3 2 7 3 0 40 40 7 2 0 3 37 2 40 3 40 2 7 0 8 3 40 3 2 0 7 40 3 7 8 7 0 40 3 40 40 2 7 40 40 3 3 40 7 3 0 40 0 3 40 40 2 7 40 0 7 3 40 8 40 2 2 7 0 40 8 0 2 40 3 40 3 2 2 0 2 40 3 3 2 7 0 3 3 0 3 3 2 4 40 24 23 24 23 25 23 20 1 23 19 19 19 23 20 23 19 23 19 19 23 1 23 13 24 19 29 25 28 23 19 24 19 24 23 19 24 23 20 23 23 23 23 19 23 20 1 25 23 23 24 23 24 24 23 23 23 23 23 19 23 19 23 23 26 39 23 23 23 24 23 23 23 23 23 23 23 20 23 19 28 23 23 23 20 23 19 1 23 23 28 23 23 39 23 19 19 23 19 23 23 24 23 23 23 23 17 23 23 23 23 23 24 23 23 23 23 23 24 23 19 23 23 23 23 23 23 24 24 17 23 17 23 23 23 19 23 23 23 23 23 23 24 23 23 23 23 24 13 23 23 23 23 23 23 23 23 17 19 23 23 13 23 23 34 23 23 23 24 24 23 23 23 24 23 23 31 23 23 23 23 14 1 23 23 23 24 24 23 23 23 23 23 19 23 23 23 23 24 23 34"
3,-0.8042,0.9630,"11 2 2 42 2 2 2 2 42 2 9 42 11 2 34 2 2 9 42 9 2 2 42 2 10 9 2 2 5 10 2 11 2 2 9 2 2 10 42 9 2 9 42 2 2 9 42 2 2 10 42 42 4 2 37 9 2 2 42 2 6 2 2 42 9 2 6 10 36 42 2 2 2 4 10 2 4 39 2 10 2 42 42 2 10 10 9 2 10 2 37 9 42 2 2 2 4 10 2 11 25 42 26 42 26 25 12 25 25 42 42 42 25 16 25 26 2 25 42 25 42 26 5 42 42 12 42 25 25 42 27 25 2 27 42 26 2 26 25 25 42 25 25 25 16 25 25 16 16 25 25 25 25 12 26 25 25 37 25 25 42 16 26 4 26 25 2 25 42 25 25 25 25 4 42 25 5 27 25 42 25 5 26 16 25 25 26 16 25 27 12 42 27 42 25 25 25 27 12 27 2 37 2 2 8 8 2 4 8 7 2 2 7 7 8 2 2 7 2 7 8 37 2 7 38 2 2 7 7 8 39 7 7 2 2 7 2 2 7 8 7 7 8 2 8 37 2 7 2 4 8 2 2 7 2 7 4 2 7 7 2 2 7 5 8 7 2 2 8 2 2 2 7 7 8 8 4 2 1 1 7 8 2 2 8 2 7 2 3 2 7 2 2 2 2 2 2 2 4 7 33 2 2 2 2 2 7 37 2 2 31 2 2 8 31 4 2 37 7 2 31 2 5 33 31 2 2 6 2 5 2 7 2 6 2 2 2 2 33 4 2 31 2 2 6 5 28 8 37 2 4 6 2 7 2 37 2 6 2 2 4 2 2 37 2 6 4 4 2 2 2 37 2 6 6 31 6 37 2 7 5 2 5 2 31 4 32 2 2 6 2 2 2 5 2 31 32 2 2 30 2 25 3 3 0 2 8 2 3 7 13 25 0 8 3 25 13 3 38 0 0 38 1 25 7 2 1 2 0 0 8 13 2 2 8 3 38 7 2 2 2 2 23 2 8 3 2 7 25 27 25 1 2 27 1 8 0 2 7 25 2 8 2 27 13 38 7 0 13 7 25 1 26 8 8 1 7 26 25 8 25 7 25 2 7 8 2 38 3 13 38 27 25 2 1 2 2 25 38 25"
4,-0.8024,1.0000,"36 34 12 9 12 1 12 35 3 12 1 12 12 36 35 36 38 12 7 12 35 12 8 0 34 1 12 12 9 35 12 12 13 16 12 12 34 12 12 34 12 12 0 7 42 42 12 12 38 10 8 12 12 34 12 16 12 12 34 42 13 36 16 8 36 12 0 1 12 7 12 12 1 38 12 34 12 12 0 1 0 12 1 36 34 35 42 36 12 12 2 12 12 34 38 9 42 2 12 9 25 42 26 42 26 25 12 25 25 42 42 42 25 16 25 26 2 25 42 25 42 26 5 42 42 12 42 25 25 42 27 25 2 27 42 26 2 26 25 25 42 25 25 25 16 25 25 16 16 25 25 25 25 12 26 25 25 37 25 25 42 16 26 4 26 25 2 25 42 25 25 25 25 4 42 25 5 27 25 42 25 5 26 16 25 25 26 16 25 27 12 42 27 42 25 25 25 27 12 27 25 8 25 27 15 16 25 8 12 12 26 25 16 12 25 25 25 25 27 12 25 12 25 12 26 12 25 16 25 16 12 25 16 16 25 25 12 9 16 16 25 16 12 16 12 25 16 12 15 12 7 16 15 12 25 12 7 25 16 27 25 25 37 25 27 16 16 15 15 12 12 12 16 7 27 25 12 14 10 7 12 12 26 25 14 25 12 16 16 16 16 27 15 7 12 25 25 25 16 12 33 2 2 2 2 2 7 37 2 2 31 2 2 8 31 4 2 37 7 2 31 2 5 33 31 2 2 6 2 5 2 7 2 6 2 2 2 2 33 4 2 31 2 2 6 5 28 8 37 2 4 6 2 7 2 37 2 6 2 2 4 2 2 37 2 6 4 4 2 2 2 37 2 6 6 31 6 37 2 7 5 2 5 2 31 4 32 2 2 6 2 2 2 5 2 31 32 2 2 30 1 0 0 3 38 13 38 41 0 0 0 38 0 13 0 41 3 0 3 0 3 41 3 13 13 38 0 41 13 0 0 0 3 0 0 0 3 3 1 0 13 3 1 38 3 0 41 3 39 13 3 3 0 0 3 13 13 3 2 1 3 39 41 3 0 41 13 41 41 41 0 41 0 3 3 3 38 38 1 41 0 3 1 0 0 41 3 9 9 6 3 41 38 39 10 1 0 0 13 41"
5,-0.7809,0.9310,"11 2 2 42 2 2 2 2 42 2 9 42 11 2 34 2 2 9 42 9 2 2 42 2 10 9 2 2 5 10 2 11 2 2 9 2 2 10 42 9 2 9 42 2 2 9 42 2 2 10 42 42 4 2 37 9 2 2 42 2 6 2 2 42 9 2 6 10 36 42 2 2 2 4 10 2 4 39 2 10 2 42 42 2 10 10 9 2 10 2 37 9 42 2 2 2 4 10 2 11 25 42 26 42 26 25 12 25 25 42 42 42 25 16 25 26 2 25 42 25 42 26 5 42 42 12 42 25 25 42 27 25 2 27 42 26 2 26 25 25 42 25 25 25 16 25 25 16 16 25 25 25 25 12 26 25 25 37 25 25 42 16 26 4 26 25 2 25 42 25 25 25 25 4 42 25 5 27 25 42 25 5 26 16 25 25 26 16 25 27 12 42 27 42 25 25 25 27 12 27 2 37 2 2 8 8 2 4 8 7 2 2 7 7 8 2 2 7 2 7 8 37 2 7 38 2 2 7 7 8 39 7 7 2 2 7 2 2 7 8 7 7 8 2 8 37 2 7 2 4 8 2 2 7 2 7 4 2 7 7 2 2 7 5 8 7 2 2 8 2 2 2 7 7 8 8 4 2 1 1 7 8 2 2 8 2 7 2 3 2 7 2 2 2 2 2 2 2 4 7 33 2 2 2 2 2 7 37 2 2 31 2 2 8 31 4 2 37 7 2 31 2 5 33 31 2 2 6 2 5 2 7 2 6 2 2 2 2 33 4 2 31 2 2 6 5 28 8 37 2 4 6 2 7 2 37 2 6 2 2 4 2 2 37 2 6 4 4 2 2 2 37 2 6 6 31 6 37 2 7 5 2 5 2 31 4 32 2 2 6 2 2 2 5 2 31 32 2 2 30 2 25 2 7 2 2 8 2 26 7 2 25 7 8 26 25 42 7 25 7 2 8 2 25 7 2 2 2 25 7 8 2 2 2 8 25 2 7 2 2 2 2 23 2 8 25 2 7 25 27 25 2 2 27 19 8 25 2 7 25 2 8 2 27 25 25 7 27 2 7 25 7 26 8 8 2 7 26 25 8 25 7 25 2 7 8 2 26 8 25 25 27 25 2 26 2 2 25 8 25"
6,-0.7776,0.9167,"35 34 34 7 28 2 7 34 34 12 35 36 29 35 30 34 7 34 34 12 35 35 34 34 12 34 34 4 34 28 7 34 29 34 36 34 12 35 36 35 8 12 34 8 34 34 34 2 30 30 28 37 36 34 34 7 7 34 12 34 34 7 34 12 34 34 34 34 36 34 11 2 30 12 12 34 29 34 34 34 12 34 34 7 35 36 34 2 34 35 35 34 34 8 34 7 34 34 12 34 25 42 26 42 26 25 12 25 25 42 42 42 25 16 25 26 2 25 42 25 42 26 5 42 42 12 42 25 25 42 27 25 2 27 42 26 2 26 25 25 42 25 25 25 16 25 25 16 16 25 25 25 25 12 26 25 25 37 25 25 42 16 26 4 26 25 2 25 42 25 25 25 25 4 42 25 5 27 25 42 25 5 26 16 25 25 26 16 25 27 12 42 27 42 25 25 25 27 12 27 6 34 34 2 2 34 2 40 35 35 2 2 7 36 34 34 34 34 34 35 2 37 2 35 38 34 35 7 34 36 34 36 36 34 34 34 40 35 7 35 2 34 34 2 36 34 2 34 35 34 34 2 34 34 34 36 34 4 7 34 35 2 35 40 34 2 6 2 35 35 34 2 36 34 34 2 34 34 2 34 34 36 34 34 2 34 34 34 35 5 37 34 5 34 36 34 34 34 2 34 33 2 31 2 33 31 7 37 31 2 31 2 31 8 31 31 2 31 7 31 31 33 31 32 31 2 2 6 31 31 31 7 33 31 31 32 31 2 33 32 2 31 2 33 31 5 28 31 37 2 4 32 2 7 2 31 32 6 31 2 31 32 33 37 31 6 31 32 32 2 2 37 31 32 31 31 6 37 2 7 5 2 33 31 31 4 31 31 31 31 31 31 33 31 31 32 32 33 2 31 31 31 2 33 32 2 8 2 26 32 31 25 7 32 32 25 42 33 31 31 31 33 2 31 7 31 2 2 25 7 31 2 2 31 31 31 31 7 2 33 2 31 23 33 31 31 2 31 31 27 31 31 31 31 19 8 25 31 31 25 31 32 31 27 25 31 31 32 31 31 25 7 31 8 8 31 31 26 33 8 32 31 31 2 7 31 2 31 8 32 31 31 31 33 31 2 2 31 8 31"
7,-0.7663,0.8929,"29 38 12 28 30 12 28 12 38 30 30 28 28 29 29 29 39 30 28 30 12 28 28 3 28 12 3 28 12 12 28 30 29 12 28 39 28 29 28 29 12 28 30 30 28 28 39 12 28 29 12 29 30 12 28 28 28 28 28 39 28 38 28 28 3 28 0 13 28 12 29 12 5 28 28 12 28 12 30 28 30 3 28 28 39 12 39 28 12 28 28 34 12 29 30 28 12 28 12 12 4 32 31 31 31 33 31 31 28 41 6 2 28 2 32 31 33 16 31 37 33 31 28 2 31 12 0 2 31 32 2 2 16 32 5 2 33 31 28 31 28 2 31 32 31 2 31 31 28 29 31 31 4 37 32 33 31 31 31 31 2 31 32 12 32 31 31 2 2 31 31 33 31 31 31 32 31 32 2 2 28 31 2 2 31 31 31 31 6 31 2 2 2 37 2 28 31 31 30 31 33 31 9 31 32 31 31 31 31 33 31 32 31 31 31 31 31 31 33 33 32 31 9 9 31 9 32 31 31 31 31 31 31 32 9 31 31 33 31 31 31 31 32 31 31 33 31 32 11 31 31 31 33 9 31 31 10 11 9 9 31 31 31 31 33 31 31 9 31 31 11 31 31 9 31 33 9 31 31 31 32 31 31 33 31 33 10 31 33 31 31 31 32 31 33 32 31 33 32 32 25 39 25 25 38 25 25 27 25 25 25 25 25 25 25 0 38 25 28 25 25 25 28 25 38 25 25 38 25 25 25 26 27 27 39 25 25 2 39 26 25 25 25 27 38 25 25 26 28 16 25 25 3 27 25 39 27 25 25 25 27 27 25 25 25 25 39 3 25 25 25 25 25 25 25 12 39 25 39 27 25 25 26 26 25 27 0 27 25 39 25 39 27 25 27 26 38 38 26 27 1 39 38 1 3 40 1 39 40 40 42 13 38 38 3 37 5 6 40 13 39 40 0 0 40 40 40 40 39 0 40 39 40 1 5 39 1 40 13 6 6 13 42 3 37 40 37 2 39 38 40 0 3 39 42 13 28 13 38 0 1 2 3 39 40 40 1 1 6 5 40 40 41 37 39 40 40 40 38 0 40 0 38 5 5 13 41 0 37 39 13 40 6 38 1 40 40 39 40 38"
8,-0.7222,0.8846,"36 39 39 2 2 34 34 39 35 39 39 39 34 39 34 34 39 34 39 9 36 39 9 9 34 26 39 39 34 11 34 10 34 36 34 39 36 9 9 34 39 9 39 34 39 39 39 42 9 34 36 35 34 34 39 9 2 39 9 39 25 39 10 9 36 39 34 34 36 11 9 2 5 2 34 34 9 39 39 39 9 39 34 34 39 9 39 39 10 39 2 34 34 39 2 2 39 39 34 9 25 2 7 2 26 25 2 25 2 8 2 42 2 16 25 2 7 7 7 2 8 26 7 8 8 12 2 8 25 7 8 7 2 8 7 2 8 2 25 7 8 8 2 25 16 2 25 2 16 7 2 8 7 2 26 2 25 37 25 7 7 16 26 4 8 25 7 25 2 25 7 25 2 8 2 25 2 2 2 2 7 5 2 16 25 8 26 2 8 7 12 42 2 8 2 7 7 2 8 27 25 8 25 27 15 16 25 8 12 12 26 25 16 12 25 25 25 25 27 12 25 12 25 12 26 12 25 16 25 16 12 25 16 16 25 25 12 9 16 16 25 16 12 16 12 25 16 12 15 12 7 16 15 12 25 12 7 25 16 27 25 25 37 25 27 16 16 15 15 12 12 12 16 7 27 25 12 14 10 7 12 12 26 25 14 25 12 16 16 16 16 27 15 7 12 25 25 25 16 12 34 19 34 17 14 14 34 39 17 39 15 39 39 38 19 0 39 39 39 39 39 19 1 34 19 34 39 15 13 17 19 34 39 39 14 39 34 39 15 15 36 39 17 34 34 39 39 39 39 3 13 36 1 19 39 14 17 39 39 39 15 34 36 34 3 17 3 14 15 19 39 14 39 39 34 15 14 15 19 19 14 15 36 39 36 39 14 34 39 39 39 14 15 34 39 39 34 14 0 34 41 7 7 31 32 7 7 41 0 32 7 31 7 31 7 31 7 41 32 31 33 41 8 7 0 8 13 31 3 7 8 31 32 31 0 0 3 3 33 7 8 7 7 31 8 0 31 3 8 41 3 7 7 0 7 7 31 7 8 33 7 7 7 3 7 7 7 7 7 8 7 7 32 3 3 7 7 7 7 31 7 7 7 7 7 7 7 33 7 7 31 31 7 7 10 1 7 7 7 41"
9,-0.7206,0.8800,"2 42 42 42 4 42 42 6 38 5 42 42 28 37 42 6 39 4 2 42 12 42 6 3 2 42 2 4 42 2 42 30 6 42 42 5 42 37 28 5 42 28 42 37 2 28 6 42 37 42 2 42 6 42 42 28 5 28 42 6 6 6 2 42 37 42 2 42 28 42 42 12 5 42 2 12 42 42 30 42 2 4 42 42 39 2 42 2 42 42 42 2 2 42 5 42 2 42 2 42 41 0 3 38 41 41 41 41 41 41 29 13 0 38 12 1 41 41 41 41 41 38 41 0 9 12 0 12 13 1 41 13 28 0 41 38 0 0 41 3 41 3 30 41 13 41 12 1 0 9 3 41 9 41 41 41 0 1 38 41 1 41 13 13 41 41 13 41 41 41 3 30 38 38 41 41 41 1 1 1 38 41 41 1 41 41 41 12 3 13 0 41 13 9 41 41 41 41 41 0 25 8 35 36 34 34 25 8 12 34 34 25 35 12 34 34 36 25 34 34 34 36 36 34 26 34 25 16 36 34 36 34 16 35 25 34 34 34 34 34 35 16 12 34 12 35 16 12 34 12 7 16 34 34 34 34 7 25 16 27 25 35 37 36 34 34 16 34 34 34 36 12 34 34 27 34 36 34 34 34 34 34 35 34 35 25 12 36 34 36 34 34 34 36 12 34 34 34 16 34 25 39 25 25 38 25 25 27 25 25 25 25 25 25 25 0 38 25 28 25 25 25 28 25 38 25 25 38 25 25 25 26 27 27 39 25 25 2 39 26 25 25 25 27 38 25 25 26 28 16 25 25 3 27 25 39 27 25 25 25 27 27 25 25 25 25 39 3 25 25 25 25 25 25 25 12 39 25 39 27 25 25 26 26 25 27 0 27 25 39 25 39 27 25 27 26 38 38 26 27 1 39 38 1 3 40 1 39 40 40 42 13 38 38 3 37 5 6 40 13 39 40 0 0 40 40 40 40 39 0 40 39 40 1 5 39 1 40 13 6 6 13 42 3 37 40 37 2 39 38 40 0 3 39 42 13 28 13 38 0 1 2 3 39 40 40 1 1 6 5 40 40 41 37 39 40 40 40 38 0 40 0 38 5 5 13 41 0 37 39 13 40 6 38 1 40 40 39 40 38"
10,-0.6766,0.8261,"35 34 34 7 28 2 7 34 34 12 35 36 29 35 30 34 7 34 34 12 35 35 34 34 12 34 34 4 34 28 7 34 29 34 36 34 12 35 36 35 8 12 34 8 34 34 34 2 30 30 28 37 36 34 34 7 7 34 12 34 34 7 34 12 34 34 34 34 36 34 11 2 30 12 12 34 29 34 34 34 12 34 34 7 35 36 34 2 34 35 35 34 34 8 34 7 34 34 12 34 25 42 26 42 26 25 12 25 25 42 42 42 25 16 25 26 2 25 42 25 42 26 5 42 42 12 42 25 25 42 27 25 2 27 42 26 2 26 25 25 42 25 25 25 16 25 25 16 16 25 25 25 25 12 26 25 25 37 25 25 42 16 26 4 26 25 2 25 42 25 25 25 25 4 42 25 5 27 25 42 25 5 26 16 25 25 26 16 25 27 12 42 27 42 25 25 25 27 12 27 2 37 2 2 8 40 2 40 8 40 2 2 7 7 8 40 40 7 2 7 8 37 2 40 38 40 2 7 7 8 39 40 40 2 40 7 40 40 7 8 7 40 40 2 40 40 2 7 40 40 40 2 40 7 2 7 40 2 7 40 40 2 7 40 40 7 40 40 8 40 2 2 7 40 40 8 4 2 40 1 40 8 2 2 40 2 40 40 3 2 7 2 40 2 40 40 40 2 4 40 4 2 2 2 2 2 7 2 37 6 2 2 2 8 31 4 2 37 7 2 5 2 5 37 37 2 2 4 2 5 2 2 2 2 2 2 6 37 2 37 2 31 2 2 5 5 2 2 4 2 4 2 2 2 2 37 2 37 2 2 4 2 4 37 2 6 4 2 2 2 2 2 2 2 2 5 6 37 2 7 2 2 5 2 31 4 6 4 2 6 2 2 2 5 5 2 32 2 2 30 34 12 23 16 16 16 16 12 16 23 23 16 12 31 23 12 16 12 12 19 12 23 16 16 16 12 23 23 12 12 12 16 16 23 19 0 0 12 15 23 12 17 23 16 16 23 24 13 16 23 16 19 23 23 16 16 17 16 23 23 16 16 23 34 12 23 16 12 24 16 23 12 23 12 16 16 23 23 16 16 12 1 16 12 23 23 24 23 16 16 16 19 19 16 17 16 16 16 16 16"
