# seed=19
# instance=BALANCED
# popSize=50
# generations=100
# crossover=BlockUniform(p=0.25)
# mutation=p0=0.05,pMin=0.002,alpha=0.95
# tournamentK=3
# elitism=4
# lambda_similarity=0.3
# fights_per_team=10
# anchors=5
gen,changes,best_fitness,best_winrate,best_similarity,avg_fitness,worst_fitness,best_genome
0,1,-0.5729,0.8462,0.9109,-0.1597,0.2374,"24 32 17 7 15 7 3 39 29 37 32 25 29 0 23 20 34 35 1 36 4 39 28 12 34 42 16 6 21 21 28 16 16 30 35 38 35 21 19 38 9 38 30 6 5 32 27 30 32 8 32 29 29 12 27 29 37 29 39 16 14 10 7 6 9 38 33 1 33 33 7 33 1 24 21 41 0 15 29 13 35 31 36 28 4 38 36 40 17 6 26 1 22 0 39 27 6 41 37 7 31 1 21 29 2 16 7 10 21 10 13 40 30 33 32 35 37 16 25 40 23 32 23 14 38 20 36 17 29 4 29 40 15 13 23 1 14 27 37 1 34 4 20 25 28 36 11 5 34 11 26 8 19 4 14 12 37 4 21 34 40 12 27 25 32 6 26 11 9 3 20 26 1 27 20 36 41 26 9 3 19 26 0 34 8 38 23 33 41 19 33 6 36 35 27 27 35 12 5 41 42 2 24 41 36 22 29 27 32 8 14 7 10 10 17 15 5 37 0 20 33 32 1 10 2 20 35 41 12 17 28 39 6 29 19 0 40 32 4 37 10 9 23 6 32 16 13 10 4 40 41 25 20 10 34 30 9 32 33 11 23 1 32 1 36 18 22 20 1 24 6 40 9 30 10 30 3 26 33 8 22 35 32 24 37 20 33 13 16 9 35 29 33 8 10 0 0 19 41 12 19 40 22 16 4 41 1 28 2 12 2 36 27 19 9 27 41 7 19 28 20 31 1 41 39 16 6 3 21 3 34 39 11 6 39 24 25 32 32 39 39 15 24 11 32 4 31 4 36 17 6 19 1 8 22 11 26 18 29 18 12 13 0 11 4 24 8 29 33 16 33 19 16 31 15 6 40 6 15 7 1 0 10 23 5 37 23 2 6 9 14 9 1 21 5 2 21 27 26 42 2 8 33 19 42 34 10 37 8 31 9 1 39 33 26 20 42 37 10 30 26 32 1 12 15 29 14 39 25 16 2 29 33 18 27 35 15 6 5 6 26 42 29 13 15 31 10 40 42 28 19 9 36 38 4 21 11 26 0 35 3 33 34 25 13 25 33 28 23 35 6 23 4 27 6 28 12 31 33 29 3 14 35 5 13 7 27 20 11 8 13 20 36 3 6 22 9 9 41 6"
1,2,-0.8166,1.0000,0.6114,-0.2128,0.2449,"2 2 16 42 12 2 12 16 2 2 12 9 2 9 4 2 31 2 2 42 9 2 9 2 9 2 2 36 2 2 12 2 42 2 2 42 42 37 42 12 9 42 2 2 2 2 5 2 2 2 12 42 42 2 2 2 9 2 5 42 2 5 6 2 12 37 2 2 2 5 2 2 37 6 10 5 12 42 2 9 9 2 2 4 2 31 9 2 4 4 9 37 2 37 2 2 9 2 4 2 4 4 4 2 25 25 31 25 12 25 19 4 12 25 25 12 2 31 2 26 31 25 5 4 25 19 19 26 25 25 6 12 25 25 4 2 5 20 25 12 25 25 26 37 19 20 31 25 25 2 26 37 25 25 31 25 37 4 27 4 25 25 20 25 37 31 6 12 12 2 19 5 27 25 31 20 2 27 27 4 25 25 27 6 5 25 25 27 33 25 5 37 25 2 37 37 27 2 19 25 36 12 39 14 12 39 12 35 12 12 39 19 19 39 39 39 39 28 39 35 39 12 39 39 36 34 35 12 12 39 39 39 39 19 12 19 17 1 15 39 12 12 12 28 39 12 39 12 39 17 39 39 12 39 35 17 15 39 36 30 12 28 19 39 39 17 12 28 39 14 15 39 12 36 12 17 12 34 19 39 39 39 19 39 34 12 34 19 39 19 39 39 39 12 0 17 39 39 12 9 19 41 19 19 19 20 23 19 24 41 19 19 23 19 19 20 19 23 23 20 19 41 12 41 19 41 41 20 33 23 23 23 19 19 41 24 41 20 19 41 23 41 23 19 20 23 13 23 19 23 20 24 23 23 19 23 3 19 19 19 24 19 23 19 23 24 19 20 19 19 24 41 23 41 19 19 23 0 23 19 20 19 19 19 19 23 5 24 34 19 33 23 19 24 19 24 20 19 19 23 7 41 41 9 41 10 3 41 3 41 41 41 7 9 3 41 9 9 41 7 1 9 7 41 7 3 41 41 41 41 41 41 42 9 13 3 41 41 41 3 41 41 10 1 41 8 7 11 11 13 41 6 41 41 7 8 9 41 10 0 32 9 10 8 41 3 41 11 41 23 13 1 3 41 8 9 41 3 41 41 3 41 41 7 38 41 9 9 41 9 7 41 0 41 10 1 7 0 7 9"
2,3,-0.8398,1.0000,0.5339,-0.2519,0.1939,"12 29 28 12 12 29 12 41 41 41 41 12 29 27 2 20 41 0 41 10 30 29 5 13 38 41 41 12 37 41 41 12 41 4 41 12 6 41 41 41 41 2 41 2 41 41 12 0 41 41 28 27 41 41 5 41 30 41 41 6 28 41 41 41 41 12 12 25 12 41 0 6 30 4 38 12 2 2 41 0 5 1 13 41 41 41 4 12 6 41 38 41 41 41 12 41 41 41 0 30 2 2 5 4 9 0 2 4 2 2 2 2 2 5 2 2 2 2 2 16 0 35 2 2 2 6 12 2 11 2 37 2 5 2 16 12 4 2 2 2 2 5 2 2 37 40 3 16 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 12 2 2 2 0 2 2 12 2 2 2 2 0 2 6 2 0 5 2 16 2 4 2 28 31 2 5 37 5 2 2 2 2 37 2 4 2 25 32 25 25 25 2 25 32 2 25 32 25 2 4 25 27 25 2 33 25 31 25 31 25 25 2 31 25 33 26 25 2 26 25 31 2 31 25 25 2 33 25 25 25 25 25 26 25 26 2 12 27 5 37 32 25 25 25 12 19 25 5 2 26 2 25 25 25 2 25 27 27 37 26 2 25 6 2 26 25 25 2 2 4 12 26 27 25 27 4 12 37 25 25 26 31 25 25 25 26 35 34 6 42 2 34 2 35 42 2 2 35 34 2 37 7 2 2 2 42 2 2 36 35 4 2 2 2 2 34 2 2 35 2 34 4 36 37 2 6 2 42 7 2 4 34 42 42 34 2 2 2 5 34 2 2 34 2 42 34 2 2 34 2 4 35 34 5 42 40 2 2 6 2 2 2 37 5 2 5 2 2 5 2 34 42 42 2 42 29 5 4 42 34 37 7 4 2 4 2 12 25 41 12 26 17 12 12 12 26 27 41 18 27 12 12 12 12 12 12 19 26 12 12 25 12 17 12 27 12 26 18 12 12 26 18 27 27 19 27 12 12 12 7 12 12 2 17 12 12 12 12 18 12 27 12 27 34 12 12 3 36 12 12 12 12 26 1 12 17 18 12 12 25 12 21 41 27 12 12 27 26 15 12 26 18 25 12 12 25 12 33 26 18 12 42 27 25 27 26"
3,3,-0.8235,1.0000,0.5883,-0.2887,0.1747,"12 29 28 12 12 29 12 41 41 41 41 12 29 27 2 20 41 0 41 10 30 29 5 13 38 41 41 12 37 41 41 12 41 4 41 12 6 41 41 41 41 2 41 2 41 41 12 0 41 41 28 27 41 41 5 41 30 41 41 6 28 41 41 41 41 12 12 25 12 41 0 6 30 4 38 12 2 2 41 0 5 1 13 41 41 41 4 12 6 41 38 41 41 41 12 41 41 41 0 30 2 2 5 4 9 0 2 4 2 2 2 2 2 5 2 2 2 2 2 16 0 35 2 2 2 6 12 2 11 2 37 2 5 2 16 12 4 2 2 2 2 5 2 2 37 40 3 16 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 12 2 2 2 0 2 2 12 2 2 2 2 0 2 6 2 0 5 2 16 2 4 2 28 31 2 5 37 5 2 2 2 2 37 2 4 2 25 32 25 25 25 2 25 32 2 25 32 25 2 4 25 27 25 2 33 25 31 25 31 25 25 2 31 25 33 26 25 2 26 25 31 2 31 25 25 2 33 25 25 25 25 25 26 25 26 2 12 27 5 37 32 25 25 25 12 19 25 5 2 26 2 25 25 25 2 25 27 27 37 26 2 25 6 2 26 25 25 2 2 4 12 26 27 25 27 4 12 37 25 25 26 31 25 25 25 26 35 34 6 42 2 34 2 35 42 2 2 35 34 2 37 7 2 2 2 42 2 2 36 35 4 2 2 2 2 34 2 2 35 2 34 4 36 37 2 6 2 42 7 2 4 34 42 42 34 2 2 2 5 34 2 2 34 2 42 34 2 2 34 2 4 35 34 5 42 40 2 2 6 2 2 2 37 5 2 5 2 2 5 2 34 42 42 2 42 29 5 4 42 34 37 7 4 2 4 2 12 25 41 12 26 17 12 12 12 26 27 41 18 27 12 12 12 12 12 12 19 26 12 12 25 12 17 12 27 12 26 18 12 12 26 18 27 27 19 27 12 12 12 7 12 12 2 17 12 12 12 12 18 12 27 12 27 34 12 12 3 36 12 12 12 12 26 1 12 17 18 12 12 25 12 21 41 27 12 12 27 26 15 12 26 18 25 12 12 25 12 33 26 18 12 42 27 25 27 26"
4,3,-0.8089,1.0000,0.6369,-0.2965,0.1610,"12 29 28 12 12 29 12 41 41 41 41 12 29 27 2 20 41 0 41 10 30 29 5 13 38 41 41 12 37 41 41 12 41 4 41 12 6 41 41 41 41 2 41 2 41 41 12 0 41 41 28 27 41 41 5 41 30 41 41 6 28 41 41 41 41 12 12 25 12 41 0 6 30 4 38 12 2 2 41 0 5 1 13 41 41 41 4 12 6 41 38 41 41 41 12 41 41 41 0 30 2 2 5 4 9 0 2 4 2 2 2 2 2 5 2 2 2 2 2 16 0 35 2 2 2 6 12 2 11 2 37 2 5 2 16 12 4 2 2 2 2 5 2 2 37 40 3 16 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 12 2 2 2 0 2 2 12 2 2 2 2 0 2 6 2 0 5 2 16 2 4 2 28 31 2 5 37 5 2 2 2 2 37 2 4 2 25 32 25 25 25 2 25 32 2 25 32 25 2 4 25 27 25 2 33 25 31 25 31 25 25 2 31 25 33 26 25 2 26 25 31 2 31 25 25 2 33 25 25 25 25 25 26 25 26 2 12 27 5 37 32 25 25 25 12 19 25 5 2 26 2 25 25 25 2 25 27 27 37 26 2 25 6 2 26 25 25 2 2 4 12 26 27 25 27 4 12 37 25 25 26 31 25 25 25 26 35 34 6 42 2 34 2 35 42 2 2 35 34 2 37 7 2 2 2 42 2 2 36 35 4 2 2 2 2 34 2 2 35 2 34 4 36 37 2 6 2 42 7 2 4 34 42 42 34 2 2 2 5 34 2 2 34 2 42 34 2 2 34 2 4 35 34 5 42 40 2 2 6 2 2 2 37 5 2 5 2 2 5 2 34 42 42 2 42 29 5 4 42 34 37 7 4 2 4 2 12 25 41 12 26 17 12 12 12 26 27 41 18 27 12 12 12 12 12 12 19 26 12 12 25 12 17 12 27 12 26 18 12 12 26 18 27 27 19 27 12 12 12 7 12 12 2 17 12 12 12 12 18 12 27 12 27 34 12 12 3 36 12 12 12 12 26 1 12 17 18 12 12 25 12 21 41 27 12 12 27 26 15 12 26 18 25 12 12 25 12 33 26 18 12 42 27 25 27 26"
5,3,-0.8069,0.9630,0.5201,-0.3090,0.1630,"12 29 28 12 12 29 12 41 41 41 41 12 29 27 2 20 41 0 41 10 30 29 5 13 38 41 41 12 37 41 41 12 41 4 41 12 6 41 41 41 41 2 41 2 41 41 12 0 41 41 28 27 41 41 5 41 30 41 41 6 28 41 41 41 41 12 12 25 12 41 0 6 30 4 38 12 2 2 41 0 5 1 13 41 41 41 4 12 6 41 38 41 41 41 12 41 41 41 0 30 2 2 5 4 9 0 2 4 2 2 2 2 2 5 2 2 2 2 2 16 0 35 2 2 2 6 12 2 11 2 37 2 5 2 16 12 4 2 2 2 2 5 2 2 37 40 3 16 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 12 2 2 2 0 2 2 12 2 2 2 2 0 2 6 2 0 5 2 16 2 4 2 28 31 2 5 37 5 2 2 2 2 37 2 4 2 25 32 25 25 25 2 25 32 2 25 32 25 2 4 25 27 25 2 33 25 31 25 31 25 25 2 31 25 33 26 25 2 26 25 31 2 31 25 25 2 33 25 25 25 25 25 26 25 26 2 12 27 5 37 32 25 25 25 12 19 25 5 2 26 2 25 25 25 2 25 27 27 37 26 2 25 6 2 26 25 25 2 2 4 12 26 27 25 27 4 12 37 25 25 26 31 25 25 25 26 35 34 6 42 2 34 2 35 42 2 2 35 34 2 37 7 2 2 2 42 2 2 36 35 4 2 2 2 2 34 2 2 35 2 34 4 36 37 2 6 2 42 7 2 4 34 42 42 34 2 2 2 5 34 2 2 34 2 42 34 2 2 34 2 4 35 34 5 42 40 2 2 6 2 2 2 37 5 2 5 2 2 5 2 34 42 42 2 42 29 5 4 42 34 37 7 4 2 4 2 12 25 41 12 26 17 12 12 12 26 27 41 18 27 12 12 12 12 12 12 19 26 12 12 25 12 17 12 27 12 26 18 12 12 26 18 27 27 19 27 12 12 12 7 12 12 2 17 12 12 12 12 18 12 27 12 27 34 12 12 3 36 12 12 12 12 26 1 12 17 18 12 12 25 12 21 41 27 12 12 27 26 15 12 26 18 25 12 12 25 12 33 26 18 12 42 27 25 27 26"
6,3,-0.8057,0.9643,0.5286,-0.2989,0.1575,"12 29 28 12 12 29 12 41 41 41 41 12 29 27 2 20 41 0 41 10 30 29 5 13 38 41 41 12 37 41 41 12 41 4 41 12 6 41 41 41 41 2 41 2 41 41 12 0 41 41 28 27 41 41 5 41 30 41 41 6 28 41 41 41 41 12 12 25 12 41 0 6 30 4 38 12 2 2 41 0 5 1 13 41 41 41 4 12 6 41 38 41 41 41 12 41 41 41 0 30 2 2 5 4 9 0 2 4 2 2 2 2 2 5 2 2 2 2 2 16 0 35 2 2 2 6 12 2 11 2 37 2 5 2 16 12 4 2 2 2 2 5 2 2 37 40 3 16 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 12 2 2 2 0 2 2 12 2 2 2 2 0 2 6 2 0 5 2 16 2 4 2 28 31 2 5 37 5 2 2 2 2 37 2 4 2 25 32 25 25 25 2 25 32 2 25 32 25 2 4 25 27 25 2 33 25 31 25 31 25 25 2 31 25 33 26 25 2 26 25 31 2 31 25 25 2 33 25 25 25 25 25 26 25 26 2 12 27 5 37 32 25 25 25 12 19 25 5 2 26 2 25 25 25 2 25 27 27 37 26 2 25 6 2 26 25 25 2 2 4 12 26 27 25 27 4 12 37 25 25 26 31 25 25 25 26 35 34 6 42 2 34 2 35 42 2 2 35 34 2 37 7 2 2 2 42 2 2 36 35 4 2 2 2 2 34 2 2 35 2 34 4 36 37 2 6 2 42 7 2 4 34 42 42 34 2 2 2 5 34 2 2 34 2 42 34 2 2 34 2 4 35 34 5 42 40 2 2 6 2 2 2 37 5 2 5 2 2 5 2 34 42 42 2 42 29 5 4 42 34 37 7 4 2 4 2 12 25 41 12 26 17 12 12 12 26 27 41 18 27 12 12 12 12 12 12 19 26 12 12 25 12 17 12 27 12 26 18 12 12 26 18 27 27 19 27 12 12 12 7 12 12 2 17 12 12 12 12 18 12 27 12 27 34 12 12 3 36 12 12 12 12 26 1 12 17 18 12 12 25 12 21 41 27 12 12 27 26 15 12 26 18 25 12 12 25 12 33 26 18 12 42 27 25 27 26"
7,3,-0.8289,1.0000,0.5704,-0.3235,0.1372,"12 29 28 12 12 29 12 41 41 41 41 12 29 27 2 20 41 0 41 10 30 29 5 13 38 41 41 12 37 41 41 12 41 4 41 12 6 41 41 41 41 2 41 2 41 41 12 0 41 41 28 27 41 41 5 41 30 41 41 6 28 41 41 41 41 12 12 25 12 41 0 6 30 4 38 12 2 2 41 0 5 1 13 41 41 41 4 12 6 41 38 41 41 41 12 41 41 41 0 30 2 2 5 4 9 0 2 4 2 2 2 2 2 5 2 2 2 2 2 16 0 35 2 2 2 6 12 2 11 2 37 2 5 2 16 12 4 2 2 2 2 5 2 2 37 40 3 16 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 12 2 2 2 0 2 2 12 2 2 2 2 0 2 6 2 0 5 2 16 2 4 2 28 31 2 5 37 5 2 2 2 2 37 2 4 2 25 32 25 25 25 2 25 32 2 25 32 25 2 4 25 27 25 2 33 25 31 25 31 25 25 2 31 25 33 26 25 2 26 25 31 2 31 25 25 2 33 25 25 25 25 25 26 25 26 2 12 27 5 37 32 25 25 25 12 19 25 5 2 26 2 25 25 25 2 25 27 27 37 26 2 25 6 2 26 25 25 2 2 4 12 26 27 25 27 4 12 37 25 25 26 31 25 25 25 26 35 34 6 42 2 34 2 35 42 2 2 35 34 2 37 7 2 2 2 42 2 2 36 35 4 2 2 2 2 34 2 2 35 2 34 4 36 37 2 6 2 42 7 2 4 34 42 42 34 2 2 2 5 34 2 2 34 2 42 34 2 2 34 2 4 35 34 5 42 40 2 2 6 2 2 2 37 5 2 5 2 2 5 2 34 42 42 2 42 29 5 4 42 34 37 7 4 2 4 2 12 25 41 12 26 17 12 12 12 26 27 41 18 27 12 12 12 12 12 12 19 26 12 12 25 12 17 12 27 12 26 18 12 12 26 18 27 27 19 27 12 12 12 7 12 12 2 17 12 12 12 12 18 12 27 12 27 34 12 12 3 36 12 12 12 12 26 1 12 17 18 12 12 25 12 21 41 27 12 12 27 26 15 12 26 18 25 12 12 25 12 33 26 18 12 42 27 25 27 26"
8,4,-0.8943,1.0000,0.3524,-0.3275,0.1327,"31 7 8 7 7 8 34 1 34 7 36 31 33 7 33 31 7 7 8 7 7 33 7 7 7 14 7 7 7 7 7 7 7 34 8 34 7 1 8 8 7 7 8 8 7 7 31 7 7 7 31 7 31 7 38 7 7 31 7 7 17 8 7 8 31 0 7 31 7 7 7 34 31 7 7 7 7 35 7 7 7 7 7 8 7 31 7 34 7 7 0 7 14 8 7 13 1 7 34 34 2 26 2 25 27 16 27 16 25 2 27 12 9 16 12 9 12 2 25 12 25 12 12 16 25 25 34 25 31 16 37 25 25 25 6 12 9 12 16 25 6 16 12 27 5 9 25 25 10 12 25 25 4 2 12 2 16 12 12 25 4 2 9 12 2 25 12 25 25 25 16 25 12 25 25 16 25 16 9 2 25 25 6 12 25 12 12 11 2 16 25 25 25 2 9 12 2 12 37 25 31 33 31 31 10 31 33 31 39 31 3 39 32 39 33 39 3 3 39 12 31 12 3 3 0 33 31 31 3 39 33 0 0 39 3 39 3 39 31 39 39 0 31 39 31 31 39 31 31 33 39 39 31 31 32 39 31 31 12 33 31 31 31 32 12 31 32 31 39 31 33 31 31 31 32 17 39 0 39 39 31 31 33 32 3 3 31 31 33 3 31 39 31 33 31 31 39 3 36 33 31 31 9 31 10 31 11 11 31 31 31 7 9 31 33 31 10 9 7 19 9 19 31 31 7 31 31 33 31 9 7 31 12 11 31 12 34 9 32 32 31 31 31 8 7 31 31 7 31 9 7 10 9 31 31 31 32 31 31 7 10 9 10 31 9 31 34 31 31 31 9 32 33 9 31 32 31 31 31 31 31 31 9 9 31 31 7 31 9 31 10 32 31 33 31 8 33 31 9 34 31 31 5 2 4 12 15 14 31 5 31 31 2 31 31 12 32 31 14 2 31 37 33 33 31 31 31 31 15 31 14 31 31 32 4 4 31 12 6 31 2 4 31 12 31 31 33 31 31 31 33 24 6 6 31 31 5 12 31 32 31 31 5 31 4 33 31 5 23 15 31 31 4 31 12 31 31 12 37 33 37 37 14 31 15 31 31 31 12 31 31 31 33 23 31 37 39 2 31 31"
9,4,-0.8547,0.9600,0.3511,-0.3169,0.1280,"31 7 8 7 7 8 34 1 34 7 36 31 33 7 33 31 7 7 8 7 7 33 7 7 7 14 7 7 7 7 7 7 7 34 8 34 7 1 8 8 7 7 8 8 7 7 31 7 7 7 31 7 31 7 38 7 7 31 7 7 17 8 7 8 31 0 7 31 7 7 7 34 31 7 7 7 7 35 7 7 7 7 7 8 7 31 7 34 7 7 0 7 14 8 7 13 1 7 34 34 2 26 2 25 27 16 27 16 25 2 27 12 9 16 12 9 12 2 25 12 25 12 12 16 25 25 34 25 31 16 37 25 25 25 6 12 9 12 16 25 6 16 12 27 5 9 25 25 10 12 25 25 4 2 12 2 16 12 12 25 4 2 9 12 2 25 12 25 25 25 16 25 12 25 25 16 25 16 9 2 25 25 6 12 25 12 12 11 2 16 25 25 25 2 9 12 2 12 37 25 31 33 31 31 10 31 33 31 39 31 3 39 32 39 33 39 3 3 39 12 31 12 3 3 0 33 31 31 3 39 33 0 0 39 3 39 3 39 31 39 39 0 31 39 31 31 39 31 31 33 39 39 31 31 32 39 31 31 12 33 31 31 31 32 12 31 32 31 39 31 33 31 31 31 32 17 39 0 39 39 31 31 33 32 3 3 31 31 33 3 31 39 31 33 31 31 39 3 36 33 31 31 9 31 10 31 11 11 31 31 31 7 9 31 33 31 10 9 7 19 9 19 31 31 7 31 31 33 31 9 7 31 12 11 31 12 34 9 32 32 31 31 31 8 7 31 31 7 31 9 7 10 9 31 31 31 32 31 31 7 10 9 10 31 9 31 34 31 31 31 9 32 33 9 31 32 31 31 31 31 31 31 9 9 31 31 7 31 9 31 10 32 31 33 31 8 33 31 9 34 31 31 5 2 4 12 15 14 31 5 31 31 2 31 31 12 32 31 14 2 31 37 33 33 31 31 31 31 15 31 14 31 31 32 4 4 31 12 6 31 2 4 31 12 31 31 33 31 31 31 33 24 6 6 31 31 5 12 31 32 31 31 5 31 4 33 31 5 23 15 31 31 4 31 12 31 31 12 37 33 37 37 14 31 15 31 31 31 12 31 31 31 33 23 31 37 39 2 31 31"
