rank,fitness,winrate,genome
1,-0.7449,1.0000,"2 3 38 38 0 8 0 3 37 2 37 3 2 3 2 0 2 6 37 42 0 0 42 0 7 4 3 2 3 8 6 5 0 2 8 2 37 8 3 0 3 6 2 0 0 3 0 42 8 6 2 3 6 5 3 3 6 0 2 6 6 1 0 3 4 37 37 8 2 37 37 8 3 0 42 2 2 2 42 3 3 4 6 38 5 2 2 37 2 3 6 7 3 8 6 0 37 4 0 2 2 1 3 8 38 0 37 6 0 0 0 3 0 6 25 37 0 3 39 26 25 25 33 3 0 26 25 0 5 26 5 3 37 27 2 3 0 6 25 13 38 3 0 0 5 0 3 0 5 0 3 25 0 5 3 0 3 0 0 37 5 3 2 3 34 0 0 0 3 25 0 3 27 25 4 3 41 0 3 5 25 5 6 3 0 0 13 25 3 25 2 25 5 3 31 2 0 25 3 2 13 13 38 38 2 2 2 4 13 1 38 2 2 37 5 38 0 37 38 16 2 16 0 38 2 0 0 2 0 1 37 1 0 13 1 2 2 3 2 16 13 13 13 0 41 0 2 0 1 2 13 3 2 2 37 6 2 38 1 38 2 3 0 0 37 3 0 1 5 1 1 4 0 13 0 6 2 1 38 37 3 2 13 0 3 13 16 3 3 12 0 2 16 13 13 0 0 38 2 5 42 17 17 0 3 0 0 18 17 17 3 17 17 12 2 17 18 17 17 41 17 0 17 17 17 0 0 17 0 0 18 0 3 17 3 18 3 3 17 17 17 18 17 0 0 17 17 17 18 0 0 12 12 17 0 17 17 17 17 17 0 17 12 17 17 17 17 18 18 0 18 17 3 17 17 0 17 12 18 17 17 0 17 17 17 17 17 0 17 17 12 17 3 17 17 3 3 17 3 6 4 5 6 0 7 2 2 2 2 2 8 2 3 7 7 7 2 1 2 7 13 2 7 7 13 0 2 13 37 4 2 0 0 2 37 38 0 2 2 7 2 2 13 7 2 2 2 2 1 3 2 7 2 13 38 2 7 23 7 8 7 3 2 8 0 0 8 2 0 13 0 2 13 0 13 4 4 2 39 2 2 2 2 1 38 13 0 2 2 2 2 0 2 8 13 39 38 2 2 1"
2,-0.7432,1.0000,"2 3 38 38 0 8 0 3 37 2 37 3 2 3 2 0 2 6 37 42 0 0 42 0 7 4 3 2 3 8 6 5 0 2 8 2 37 8 3 0 3 6 2 0 0 3 0 42 8 6 2 3 6 5 3 3 6 0 2 6 6 1 0 3 4 37 37 8 2 37 37 8 3 0 42 2 2 2 42 3 3 4 6 38 5 2 2 37 2 3 6 7 3 8 6 0 37 4 0 2 2 1 3 8 38 0 37 6 0 0 0 3 0 6 25 37 0 3 39 26 25 25 33 3 0 26 25 0 5 26 5 3 37 27 2 3 0 6 25 13 38 3 0 0 5 0 3 0 5 0 3 25 0 5 3 0 3 0 0 37 5 3 2 3 34 0 0 0 3 25 0 3 27 25 4 3 41 0 3 5 25 5 6 3 0 0 13 25 3 25 2 25 5 3 31 2 0 25 3 2 13 13 38 38 2 2 2 4 13 1 38 2 2 37 5 38 0 37 38 16 2 16 0 38 2 0 0 2 0 1 37 1 0 13 1 2 2 3 2 16 13 13 13 0 41 0 2 0 1 2 13 3 2 2 37 6 2 38 1 38 2 3 0 0 37 3 0 1 5 1 1 4 0 13 0 6 2 1 38 37 3 2 13 0 3 13 16 3 3 12 0 2 16 13 13 0 0 38 2 5 42 17 9 0 2 0 10 18 17 2 3 10 17 2 2 17 2 9 2 41 2 2 17 9 9 2 0 2 0 10 2 0 2 11 2 10 3 3 17 17 17 18 17 11 2 17 17 17 18 0 0 12 12 2 11 10 11 11 9 17 0 10 12 17 17 17 17 2 2 9 18 17 3 2 17 2 17 12 18 17 17 2 10 2 17 17 17 0 2 17 12 17 3 17 17 3 3 17 2 6 4 5 6 0 7 2 2 2 2 2 8 2 3 7 7 7 2 1 2 7 13 2 7 7 13 0 2 13 37 4 2 0 0 2 37 38 0 2 2 7 2 2 13 7 2 2 2 2 1 3 2 7 2 13 38 2 7 23 7 8 7 3 2 8 0 0 8 2 0 13 0 2 13 0 13 4 4 2 39 2 2 2 2 1 38 13 0 2 2 2 2 0 2 8 13 39 38 2 2 1"
3,-0.7431,1.0000,"2 25 38 26 0 25 25 25 37 25 27 25 2 25 25 25 2 25 27 25 25 0 42 26 25 25 25 2 25 26 6 27 25 2 8 25 26 8 3 25 25 25 2 0 25 3 0 25 27 25 2 25 25 25 27 3 25 0 25 6 26 1 0 3 4 25 25 8 25 25 25 25 3 25 27 2 2 2 42 25 3 27 25 26 25 25 25 37 25 3 25 27 26 25 6 25 25 25 0 26 2 1 3 8 38 0 37 6 0 0 0 3 0 6 25 37 0 3 39 26 25 25 33 3 0 26 25 0 5 26 5 3 37 27 2 3 0 6 25 13 38 3 0 0 5 0 3 0 5 0 3 25 0 5 3 0 3 0 0 37 5 3 2 3 34 0 0 0 3 25 0 3 27 25 4 3 41 0 3 5 25 5 6 3 0 0 13 25 3 25 2 25 5 3 31 2 0 25 3 2 13 0 0 0 1 0 3 1 6 13 0 0 42 0 3 0 0 3 42 0 42 42 13 1 4 42 1 13 0 42 42 4 38 3 3 13 5 1 42 0 38 2 42 42 0 0 0 41 42 3 1 0 3 13 38 3 0 0 38 5 13 13 3 42 3 1 5 13 1 3 13 3 1 0 0 13 3 3 3 0 42 38 42 3 38 42 42 3 0 38 4 38 3 3 3 38 3 3 42 42 12 12 12 34 12 34 34 12 42 16 12 17 34 34 34 16 16 12 38 16 34 16 16 16 42 17 34 34 42 17 35 34 12 16 42 6 34 34 16 35 16 42 12 35 12 34 16 34 12 12 34 34 16 34 34 12 3 16 17 16 34 12 34 16 12 12 16 42 42 42 16 12 42 12 35 34 2 16 18 34 42 34 35 16 34 34 12 16 2 12 34 12 17 34 34 34 36 34 34 36 4 5 6 0 7 2 2 2 2 2 8 2 3 7 7 7 2 1 2 7 13 2 7 7 13 0 2 13 37 4 2 0 0 2 37 38 0 2 2 7 2 2 13 7 2 2 2 2 1 3 2 7 2 13 38 2 7 23 7 8 7 3 2 8 0 0 8 2 0 13 0 2 13 0 13 4 4 2 39 2 2 2 2 1 38 13 0 2 2 2 2 0 2 8 13 39 38 2 2 1"
4,-0.7148,0.9667,"2 3 38 38 0 8 0 3 37 2 37 3 2 3 2 0 2 6 37 42 0 0 42 0 7 4 3 2 3 8 6 5 0 2 8 2 37 8 3 0 3 6 2 0 0 3 0 42 8 6 2 3 6 5 3 3 6 0 2 6 6 1 0 3 4 37 37 8 2 37 37 8 3 0 42 2 2 2 42 3 3 4 6 38 5 2 2 37 2 3 6 7 3 8 6 0 37 4 0 2 2 1 3 8 38 0 37 6 0 0 0 3 0 6 25 37 0 3 39 26 25 25 33 3 0 26 25 0 5 26 5 3 37 27 2 3 0 6 25 13 38 3 0 0 5 0 3 0 5 0 3 25 0 5 3 0 3 0 0 37 5 3 2 3 34 0 0 0 3 25 0 3 27 25 4 3 41 0 3 5 25 5 6 3 0 0 13 25 3 25 2 25 5 3 31 2 0 25 3 2 13 13 38 38 2 2 2 4 13 1 38 2 2 37 5 38 0 37 38 16 2 16 0 38 2 0 0 2 0 1 37 1 0 13 1 2 2 3 2 16 13 13 13 0 41 0 2 0 1 2 13 3 2 2 37 6 2 38 1 38 2 3 0 0 37 3 0 1 5 1 1 4 0 13 0 6 2 1 38 37 3 2 13 0 3 13 16 3 3 12 0 2 16 13 13 0 0 38 2 5 42 17 17 0 3 0 0 18 17 17 3 17 17 12 2 17 18 17 17 41 17 0 17 17 17 0 0 17 0 0 18 0 3 17 3 18 3 3 17 17 17 18 17 0 0 17 17 17 18 0 0 12 12 17 0 17 17 17 17 17 0 17 12 17 17 17 17 18 18 0 18 17 3 17 17 0 17 12 18 17 17 0 17 17 17 17 17 0 17 17 12 17 3 17 17 3 3 17 3 6 4 5 6 0 7 2 2 2 2 2 8 2 3 7 7 7 2 1 2 7 13 2 7 7 13 0 2 13 37 4 2 0 0 2 37 38 0 2 2 7 2 2 13 7 2 2 2 2 1 3 2 7 2 13 38 2 7 23 7 8 7 3 2 8 0 0 8 2 0 13 0 2 13 0 13 4 4 2 39 2 2 2 2 1 38 13 0 2 2 2 2 0 2 8 13 39 38 2 2 1"
5,-0.7003,0.9500,"2 3 38 38 0 8 0 3 37 2 37 3 2 3 2 0 2 6 37 42 0 0 42 0 7 4 3 2 3 8 6 5 0 2 8 2 37 8 3 0 3 6 2 0 0 3 0 42 8 6 2 3 6 5 3 3 6 0 2 6 6 1 0 3 4 37 37 8 2 37 37 8 3 0 42 2 2 2 42 3 3 4 6 38 5 2 2 37 2 3 6 7 3 8 6 0 37 4 0 2 2 1 3 8 38 0 37 6 0 0 0 3 0 6 25 37 0 3 39 26 25 25 33 3 0 26 25 0 5 26 5 3 37 27 2 3 0 6 25 13 38 3 0 0 5 0 3 0 5 0 3 25 0 5 3 0 3 0 0 37 5 3 2 3 34 0 0 0 3 25 0 3 27 25 4 3 41 0 3 5 25 5 6 3 0 0 13 25 3 25 2 25 5 3 31 2 0 25 3 2 13 0 0 0 1 0 3 1 6 13 0 0 42 0 3 0 0 3 42 0 42 42 13 1 4 42 1 13 0 42 42 4 38 3 3 13 5 1 42 0 38 2 42 42 0 0 0 41 42 3 1 0 3 13 38 3 0 0 38 5 13 13 3 42 3 1 5 13 1 3 13 3 1 0 0 13 3 3 3 0 42 38 42 3 38 42 42 3 0 38 4 38 3 3 3 38 3 3 42 42 12 12 12 34 12 34 34 12 42 16 12 17 34 34 34 16 16 12 38 16 34 16 16 16 42 17 34 34 42 17 35 34 12 16 42 6 34 34 16 35 16 42 12 35 12 34 16 34 12 12 34 34 16 34 34 12 3 16 17 16 34 12 34 16 12 12 16 42 42 42 16 12 42 12 35 34 2 16 18 34 42 34 35 16 34 34 12 16 2 12 34 12 17 34 34 34 36 34 34 36 4 5 6 0 7 2 2 2 2 2 8 2 3 7 7 7 2 1 2 7 13 2 7 7 13 0 2 13 37 4 2 0 0 2 37 38 0 2 2 7 2 2 13 7 2 2 2 2 1 3 2 7 2 13 38 2 7 23 7 8 7 3 2 8 0 0 8 2 0 13 0 2 13 0 13 4 4 2 39 2 2 2 2 1 38 13 0 2 2 2 2 0 2 8 13 39 38 2 2 1"
6,-0.6843,0.9583,"2 3 38 38 0 8 0 3 37 2 37 3 2 3 2 0 2 6 37 42 0 0 42 0 7 4 3 2 3 8 6 5 0 2 8 2 37 8 3 0 3 6 2 0 0 3 0 42 8 6 2 3 6 5 3 3 6 0 2 6 6 1 0 3 4 37 37 8 2 37 37 8 3 0 42 2 2 2 42 3 3 4 6 38 5 2 2 37 2 3 6 7 3 8 6 0 37 4 0 2 2 1 3 8 38 0 37 6 0 0 0 3 0 6 25 37 0 3 39 26 25 25 33 3 0 26 25 0 5 26 5 3 37 27 2 3 0 6 25 13 38 3 0 0 5 0 3 0 5 0 3 25 0 5 3 0 3 0 0 37 5 3 2 3 34 0 0 0 3 25 0 3 27 25 4 3 41 0 3 5 25 5 6 3 0 0 13 25 3 25 2 25 5 3 31 2 0 25 3 2 13 13 38 38 2 2 2 4 13 1 38 2 2 37 5 38 0 37 38 16 2 16 0 38 2 0 0 2 0 1 37 1 0 13 1 2 2 3 2 16 13 13 13 0 41 0 2 0 1 2 13 3 2 2 37 6 2 38 1 38 2 3 0 0 37 3 0 1 5 1 1 4 0 13 0 6 2 1 38 37 3 2 13 0 3 13 16 3 3 12 0 2 16 13 13 0 0 38 2 5 42 17 9 0 2 0 10 18 17 2 3 10 17 2 2 17 2 9 2 41 2 2 17 9 9 2 0 2 0 10 2 0 2 11 2 10 3 3 17 17 17 18 17 11 2 17 17 17 18 0 0 12 12 2 11 10 11 11 9 17 0 10 12 17 17 17 17 2 2 9 18 17 3 2 17 2 17 12 18 17 17 2 10 2 17 17 17 0 2 17 12 17 3 17 17 3 3 17 2 6 4 5 6 0 7 2 2 2 2 2 8 2 3 7 7 7 2 1 2 7 13 2 7 7 13 0 2 13 37 4 2 0 0 2 37 38 0 2 2 7 2 2 13 7 2 2 2 2 1 3 2 7 2 13 38 2 7 23 7 8 7 3 2 8 0 0 8 2 0 13 0 2 13 0 13 4 4 2 39 2 2 2 2 1 38 13 0 2 2 2 2 0 2 8 13 39 38 2 2 1"
7,-0.6524,0.8846,"2 3 38 38 0 8 0 3 37 2 37 3 2 3 2 0 2 6 37 42 0 0 42 0 7 4 3 2 3 8 6 5 0 2 8 2 37 8 3 0 3 6 2 0 0 3 0 42 8 6 2 3 6 5 3 3 6 0 2 6 6 1 0 3 4 37 37 8 2 37 37 8 3 0 42 2 2 2 42 3 3 4 6 38 5 2 2 37 2 3 6 7 3 8 6 0 37 4 0 2 2 25 27 8 25 27 27 27 0 0 0 25 0 6 25 37 25 3 39 26 27 25 27 26 25 26 25 25 25 25 25 3 37 27 2 3 0 6 25 25 25 3 0 26 25 25 27 0 25 26 3 25 25 26 3 25 26 25 27 37 25 25 26 3 25 0 0 0 25 27 26 25 25 25 4 25 25 0 27 25 25 25 6 3 0 0 13 25 25 25 25 25 25 26 31 25 0 27 3 25 38 1 0 0 3 0 3 1 0 13 13 3 42 38 3 38 1 3 13 0 0 42 13 1 4 42 38 1 1 3 1 4 0 3 1 1 0 0 13 0 38 0 42 42 0 0 38 41 42 3 13 0 3 1 38 3 1 0 3 1 13 13 3 0 3 1 13 13 38 13 3 1 0 0 3 13 3 3 13 1 38 3 1 38 38 42 42 1 38 38 4 1 0 13 3 3 0 1 3 13 13 1 17 25 25 18 13 1 0 3 25 0 13 25 0 25 25 26 1 13 13 0 13 25 3 17 25 17 17 17 25 25 25 38 13 13 25 25 25 25 1 1 3 17 18 25 3 17 38 25 0 0 25 25 0 13 25 25 25 1 25 27 25 38 26 1 0 38 0 0 1 3 38 25 38 25 25 25 25 17 13 13 38 25 0 17 26 25 13 25 38 27 25 0 26 25 0 38 25 26 9 3 21 21 1 21 0 22 0 2 9 31 22 21 22 3 22 3 2 3 22 21 21 31 22 10 3 21 22 38 0 26 21 0 21 21 22 0 2 21 2 2 21 21 21 21 3 38 41 21 22 21 3 0 21 21 3 21 0 3 0 21 5 0 21 21 3 21 2 21 22 22 0 3 21 22 22 21 22 21 21 21 21 21 21 21 0 21 21 3 0 0 21 2 21 9 22 21 21 2"
8,-0.6502,0.8800,"2 3 38 38 0 8 0 3 37 2 37 3 2 3 2 0 2 6 37 42 0 0 42 0 7 4 3 2 3 8 6 5 0 2 8 2 37 8 3 0 3 6 2 0 0 3 0 42 8 6 2 3 6 5 3 3 6 0 2 6 6 1 0 3 4 37 37 8 2 37 37 8 3 0 42 2 2 2 42 3 3 4 6 38 5 2 2 37 2 3 6 7 3 8 6 0 37 4 0 2 2 25 27 8 25 27 27 27 0 0 0 25 0 6 25 37 25 3 39 26 27 25 27 26 25 26 25 25 25 25 25 3 37 27 2 3 0 6 25 25 25 3 0 26 25 25 27 0 25 26 3 25 25 26 3 25 26 25 27 37 25 25 26 3 25 0 0 0 25 27 26 25 25 25 4 25 25 0 27 25 25 25 6 3 0 0 13 25 25 25 25 25 25 26 31 25 0 27 3 25 38 1 0 0 3 0 3 1 0 13 13 3 42 38 3 38 1 3 13 0 0 42 13 1 4 42 38 1 1 3 1 4 0 3 1 1 0 0 13 0 38 0 42 42 0 0 38 41 42 3 13 0 3 1 38 3 1 0 3 1 13 13 3 0 3 1 13 13 38 13 3 1 0 0 3 13 3 3 13 1 38 3 1 38 38 42 42 1 38 38 4 1 0 13 3 3 0 1 3 13 13 1 17 25 25 18 13 1 0 3 25 0 13 25 0 25 25 26 1 13 13 0 13 25 3 17 25 17 17 17 25 25 25 38 13 13 25 25 25 25 1 1 3 17 18 25 3 17 38 25 0 0 25 25 0 13 25 25 25 1 25 27 25 38 26 1 0 38 0 0 1 3 38 25 38 25 25 25 25 17 13 13 38 25 0 17 26 25 13 25 38 27 25 0 26 25 0 38 25 26 9 3 21 21 1 21 0 22 0 2 9 31 22 21 22 3 22 3 2 3 22 21 21 31 22 10 3 21 22 38 0 26 21 0 21 21 22 0 2 21 2 2 21 21 21 21 3 38 41 21 22 21 3 0 21 21 3 21 0 3 0 21 5 0 21 21 3 21 2 21 22 22 0 3 21 22 22 21 22 21 21 21 21 21 21 21 0 21 21 3 0 0 21 2 21 9 22 21 21 2"
9,-0.6394,0.8889,"0 3 38 38 0 8 0 3 3 2 2 3 2 3 2 0 3 6 8 42 0 0 42 0 7 2 3 2 3 8 0 2 0 2 8 0 3 8 3 0 3 2 2 0 0 3 0 42 8 37 2 3 3 2 3 3 0 0 2 37 0 1 0 3 3 38 42 8 2 0 2 8 3 0 42 2 2 2 42 3 3 0 8 38 5 2 2 3 2 3 42 7 3 8 7 0 7 2 0 0 2 1 3 8 38 0 37 6 0 0 0 3 0 6 25 37 0 3 39 26 25 25 33 3 0 26 25 0 5 26 5 3 37 27 2 3 0 6 25 13 38 3 0 0 5 0 3 0 5 0 3 25 0 5 3 0 3 0 0 37 5 3 2 3 34 0 0 0 3 25 0 3 27 25 4 3 41 0 3 5 25 5 6 3 0 0 13 25 3 25 2 25 5 3 31 2 0 25 3 2 13 0 0 0 1 0 3 1 6 13 0 0 42 0 3 0 0 3 42 0 42 42 13 1 4 42 1 13 0 42 42 4 38 3 3 13 5 1 42 0 38 2 42 42 0 0 0 41 42 3 1 0 3 13 38 3 0 0 38 5 13 13 3 42 3 1 5 13 1 3 13 3 1 0 0 13 3 3 3 0 42 38 42 3 38 42 42 3 0 38 4 38 3 3 3 38 3 3 42 42 3 12 0 0 3 0 0 3 0 3 3 17 3 12 2 0 17 17 38 41 2 0 0 3 0 0 0 3 0 0 0 0 3 6 3 3 3 3 2 0 0 3 3 0 0 3 12 0 3 0 0 12 12 12 0 13 12 0 12 12 0 18 12 2 6 17 23 0 3 0 17 17 3 0 0 0 3 12 0 0 0 0 24 3 12 17 17 0 23 3 12 24 3 3 0 3 3 17 3 6 2 2 2 4 2 2 37 2 2 4 2 2 3 7 37 2 2 6 2 7 2 2 7 7 5 5 2 6 6 4 5 2 4 2 2 2 0 2 2 4 5 37 13 4 2 2 2 2 2 3 2 2 2 2 38 2 7 2 2 8 2 3 2 8 0 37 2 2 2 2 2 2 13 0 2 2 2 2 2 2 2 2 2 37 2 13 2 2 37 2 6 2 2 6 2 2 38 2 2 2"
10,-0.5901,0.8333,"2 3 38 38 0 8 0 3 37 2 37 3 2 3 2 0 2 6 37 42 0 0 42 0 7 4 3 2 3 8 6 5 0 2 8 2 37 8 3 0 3 6 2 0 0 3 0 42 8 6 2 3 6 5 3 3 6 0 2 6 6 1 0 3 4 37 37 8 2 37 37 8 3 0 42 2 2 2 42 3 3 4 6 38 5 2 2 37 2 3 6 7 3 8 6 0 37 4 0 2 2 25 27 8 25 27 27 27 0 0 0 25 0 6 25 37 25 3 39 26 27 25 27 26 25 26 25 25 25 25 25 3 37 27 2 3 0 6 25 25 25 3 0 26 25 25 27 0 25 26 3 25 25 26 3 25 26 25 27 37 25 25 26 3 25 0 0 0 25 27 26 25 25 25 4 25 25 0 27 25 25 25 6 3 0 0 13 25 25 25 25 25 25 26 31 25 0 27 3 25 13 13 38 38 2 2 2 4 13 1 38 2 2 37 5 38 0 37 38 16 2 16 0 38 2 0 0 2 0 1 37 1 0 13 1 2 2 3 2 16 13 13 13 0 41 0 2 0 1 2 13 3 2 2 37 6 2 38 1 38 2 3 0 0 37 3 0 1 5 1 1 4 0 13 0 6 2 1 38 37 3 2 13 0 3 13 16 3 3 12 0 2 16 13 13 0 0 38 2 5 13 1 17 25 25 18 13 1 0 3 25 0 13 25 0 25 25 26 1 13 13 0 13 25 3 17 25 17 17 17 25 25 25 38 13 13 25 25 25 25 1 1 3 17 18 25 3 17 38 25 0 0 25 25 0 13 25 25 25 1 25 27 25 38 26 1 0 38 0 0 1 3 38 25 38 25 25 25 25 17 13 13 38 25 0 17 26 25 13 25 38 27 25 0 26 25 0 38 25 26 4 5 6 0 7 2 2 2 2 2 8 2 3 7 7 7 2 1 2 7 13 2 7 7 13 0 2 13 37 4 2 0 0 2 37 38 0 2 2 7 2 2 13 7 2 2 2 2 1 3 2 7 2 13 38 2 7 23 7 8 7 3 2 8 0 0 8 2 0 13 0 2 13 0 13 4 4 2 39 2 2 2 2 1 38 13 0 2 2 2 2 0 2 8 13 39 38 2 2 1"
