# seed=7
# instance=EXPONENTIAL
# popSize=50
# generations=100
# crossover=BlockUniform(p=0.25)
# mutation=p0=0.05,pMin=0.002,alpha=0.95
# tournamentK=3
# elitism=4
# lambda_similarity=0.3
# fights_per_team=10
# anchors=5
gen,changes,best_fitness,best_winrate,best_similarity,avg_fitness,worst_fitness,best_genome
0,1,-0.5550,0.8333,0.9278,-0.1349,0.2750,"41 41 8 40 28 9 33 25 10 15 39 4 5 26 4 14 32 25 34 12 38 34 16 23 18 8 41 9 26 2 32 31 20 0 1 31 42 35 18 16 16 16 30 34 7 40 30 36 38 1 3 35 11 35 41 24 21 1 12 21 42 39 23 15 38 27 8 33 23 37 0 3 3 2 17 18 6 17 26 17 36 24 9 23 5 15 35 14 22 20 38 14 4 37 7 39 41 4 39 13 35 21 38 20 2 13 9 22 38 33 6 17 41 7 28 39 41 28 28 4 2 0 3 21 6 31 12 20 21 16 35 17 34 3 15 33 6 29 0 41 25 26 29 3 20 10 11 21 22 1 15 41 35 8 34 3 6 2 5 1 0 28 36 20 10 30 21 39 11 27 27 5 3 39 11 28 19 8 26 11 16 40 30 36 11 30 11 3 13 1 29 1 0 17 39 38 7 2 34 14 27 4 6 41 1 6 5 5 24 42 42 7 25 5 1 8 31 15 4 25 37 41 3 10 11 6 37 20 9 29 19 1 20 24 37 2 40 6 25 28 13 14 11 38 34 38 36 39 26 15 17 24 0 10 26 7 20 25 26 7 24 34 1 24 32 19 5 37 23 30 19 6 15 36 28 0 30 33 39 21 38 28 40 5 21 24 8 7 10 5 42 31 40 38 23 10 39 2 42 33 33 15 30 38 10 28 12 8 1 11 6 15 9 42 28 3 28 38 32 2 26 14 18 9 19 8 6 39 33 16 1 18 42 38 19 0 29 25 35 24 37 22 28 21 37 23 14 17 30 29 35 6 28 2 27 1 39 15 24 36 26 2 41 20 0 26 15 0 3 34 13 2 1 36 17 18 34 0 35 13 28 4 35 19 37 24 37 20 39 33 23 33 20 4 5 29 7 34 36 15 42 12 40 19 36 27 34 20 40 24 32 18 31 17 41 38 14 41 41 2 38 14 9 0 0 18 2 6 11 5 13 3 7 3 30 38 4 35 28 34 40 19 8 30 20 11 36 40 30 34 6 36 24 6 3 23 27 31 0 16 24 34 37 13 18 0 2 29 36 0 5 35 26 35 19 15 29 4 11 11 28 42 19 14 16 10 28 3 8 21 22 40 14 16 36 19 34 38 5 19"
1,2,-0.7642,0.9231,0.5294,-0.1987,0.2752,"2 25 10 34 25 26 25 25 26 28 11 2 34 25 25 25 10 25 12 28 27 26 29 27 2 25 25 25 28 25 36 2 25 25 27 25 34 25 25 2 25 27 26 25 12 9 25 2 9 26 9 25 25 2 28 26 9 25 26 25 26 25 28 2 26 25 2 9 30 34 25 25 2 28 11 25 2 25 2 27 25 25 25 26 25 27 25 2 26 34 25 7 26 9 25 25 25 28 28 26 24 26 34 34 12 34 36 35 34 7 39 34 34 36 36 39 35 34 12 35 12 34 12 36 34 34 42 34 34 34 39 34 36 36 34 39 39 34 34 35 36 39 34 34 34 34 34 39 36 34 34 35 12 34 39 34 34 34 39 22 24 34 35 36 39 34 36 26 34 19 34 34 34 39 21 39 39 39 34 38 35 34 34 39 20 35 39 20 34 35 20 34 39 34 34 32 34 34 36 34 29 2 6 33 31 37 31 31 31 33 36 2 32 31 32 31 31 31 28 31 32 2 33 2 31 31 20 4 31 32 31 31 31 31 31 33 33 31 4 32 31 32 12 2 2 2 31 5 2 32 31 28 2 31 32 31 2 28 31 2 31 31 33 31 33 31 32 31 31 31 28 4 2 31 2 32 28 2 31 32 30 31 31 32 32 28 2 2 31 5 31 2 31 31 28 33 31 33 2 31 21 22 24 21 19 19 20 19 21 19 12 19 19 21 19 19 19 20 20 19 22 19 19 21 19 20 12 23 19 21 23 20 21 19 19 19 19 19 19 21 19 19 19 24 23 21 19 23 19 19 23 31 23 19 24 19 19 23 22 19 19 12 12 19 21 19 19 23 19 21 19 21 21 23 19 19 19 23 19 19 20 19 19 21 23 19 12 19 23 12 19 19 19 20 19 22 21 21 12 19 2 42 1 8 3 0 2 7 28 2 1 12 37 0 2 2 8 2 2 2 13 5 2 2 42 8 2 8 2 7 2 7 42 13 3 13 2 13 2 42 38 37 1 5 0 2 2 3 31 0 38 13 38 2 42 3 1 2 42 8 28 37 3 2 7 13 2 3 3 2 38 38 38 42 1 2 42 0 2 17 0 2 42 1 28 3 7 3 38 42 7 38 0 42 3 2 2 2 2 37"
2,2,-0.7508,0.9167,0.5529,-0.2409,0.2161,"2 25 10 34 25 26 25 25 26 28 11 2 34 25 25 25 10 25 12 28 27 26 29 27 2 25 25 25 28 25 36 2 25 25 27 25 34 25 25 2 25 27 26 25 12 9 25 2 9 26 9 25 25 2 28 26 9 25 26 25 26 25 28 2 26 25 2 9 30 34 25 25 2 28 11 25 2 25 2 27 25 25 25 26 25 27 25 2 26 34 25 7 26 9 25 25 25 28 28 26 24 26 34 34 12 34 36 35 34 7 39 34 34 36 36 39 35 34 12 35 12 34 12 36 34 34 42 34 34 34 39 34 36 36 34 39 39 34 34 35 36 39 34 34 34 34 34 39 36 34 34 35 12 34 39 34 34 34 39 22 24 34 35 36 39 34 36 26 34 19 34 34 34 39 21 39 39 39 34 38 35 34 34 39 20 35 39 20 34 35 20 34 39 34 34 32 34 34 36 34 29 2 6 33 31 37 31 31 31 33 36 2 32 31 32 31 31 31 28 31 32 2 33 2 31 31 20 4 31 32 31 31 31 31 31 33 33 31 4 32 31 32 12 2 2 2 31 5 2 32 31 28 2 31 32 31 2 28 31 2 31 31 33 31 33 31 32 31 31 31 28 4 2 31 2 32 28 2 31 32 30 31 31 32 32 28 2 2 31 5 31 2 31 31 28 33 31 33 2 31 21 22 24 21 19 19 20 19 21 19 12 19 19 21 19 19 19 20 20 19 22 19 19 21 19 20 12 23 19 21 23 20 21 19 19 19 19 19 19 21 19 19 19 24 23 21 19 23 19 19 23 31 23 19 24 19 19 23 22 19 19 12 12 19 21 19 19 23 19 21 19 21 21 23 19 19 19 23 19 19 20 19 19 21 23 19 12 19 23 12 19 19 19 20 19 22 21 21 12 19 2 42 1 8 3 0 2 7 28 2 1 12 37 0 2 2 8 2 2 2 13 5 2 2 42 8 2 8 2 7 2 7 42 13 3 13 2 13 2 42 38 37 1 5 0 2 2 3 31 0 38 13 38 2 42 3 1 2 42 8 28 37 3 2 7 13 2 3 3 2 38 38 38 42 1 2 42 0 2 17 0 2 42 1 28 3 7 3 38 42 7 38 0 42 3 2 2 2 2 37"
3,3,-0.7663,0.9545,0.6273,-0.2611,0.1848,"12 2 36 11 2 12 10 9 12 11 11 4 12 2 12 2 42 2 34 2 42 34 2 10 2 36 11 9 12 2 36 9 11 2 12 10 2 11 2 2 2 10 5 2 2 11 10 2 11 10 2 34 35 2 9 10 9 36 12 2 10 9 34 10 2 2 12 2 12 2 34 36 10 11 2 9 12 9 2 2 12 12 2 2 5 2 4 12 9 2 12 9 2 2 12 12 11 36 12 9 25 25 7 25 25 25 25 2 25 7 25 31 26 2 8 25 25 5 26 25 27 25 25 25 2 7 2 25 25 25 2 27 27 12 27 25 25 31 25 25 25 25 25 25 27 2 26 25 2 25 25 25 2 8 27 25 2 2 2 25 2 6 2 25 25 25 2 6 25 7 8 12 25 25 26 26 25 12 26 25 2 4 25 25 25 27 25 25 6 25 25 25 25 25 25 25 27 26 25 26 31 1 40 34 40 32 31 31 33 35 36 31 31 25 31 34 34 31 1 34 31 31 31 34 31 31 36 25 31 31 31 25 31 31 40 31 36 31 34 35 31 31 31 34 31 31 31 34 31 34 33 34 31 31 34 33 28 32 31 33 34 31 34 36 26 31 34 31 31 31 31 33 31 34 31 1 31 31 34 31 40 31 33 32 25 32 32 31 31 31 40 31 35 33 32 31 35 27 33 31 28 21 21 29 0 28 12 28 42 29 28 30 12 30 22 8 29 42 21 30 12 28 29 12 22 28 28 30 28 3 28 28 28 28 28 30 41 41 12 30 21 22 30 28 30 28 28 28 12 12 12 41 41 41 28 30 41 28 1 28 29 22 41 28 3 22 28 42 28 12 28 28 12 28 28 3 38 42 28 42 28 29 12 28 30 22 28 28 3 28 12 28 22 28 29 28 28 7 12 28 8 2 7 7 7 38 7 0 0 2 7 7 1 7 1 2 1 2 7 7 38 2 8 7 3 7 2 3 13 3 38 7 38 38 38 1 2 7 2 38 7 7 7 2 3 7 7 8 0 7 2 7 7 2 1 7 7 7 7 13 2 2 2 13 7 0 0 7 2 13 7 8 7 7 7 7 38 3 1 7 7 2 3 2 0 38 8 7 7 7 2 7 8 0 38 0 3 13 7 7"
4,4,-0.7847,0.9231,0.4614,-0.2863,0.1748,"0 31 2 5 25 13 31 37 31 31 5 5 4 4 25 5 13 31 3 0 31 5 31 37 33 5 37 9 9 2 2 37 25 6 31 32 4 37 25 31 33 6 4 38 32 31 31 31 31 1 4 11 3 6 4 31 4 31 31 31 26 4 9 31 37 6 9 6 2 10 33 25 13 28 31 1 6 5 6 5 37 31 6 2 37 6 25 31 0 2 13 11 1 31 6 37 31 2 31 10 1 5 6 2 13 2 13 13 0 0 37 33 1 2 2 0 2 0 2 5 0 0 2 13 37 1 13 2 38 2 13 31 0 6 5 1 2 2 2 2 13 0 13 2 5 2 5 3 13 13 32 5 13 1 2 2 6 2 39 2 1 2 2 2 0 13 2 13 2 2 4 1 1 3 4 2 2 31 3 1 6 38 2 37 3 6 38 6 4 2 31 2 3 37 3 4 4 3 31 34 42 2 42 39 8 39 39 2 42 33 6 39 42 42 39 42 2 2 8 6 42 2 42 42 39 2 2 39 6 32 39 2 8 7 39 42 6 39 2 4 42 39 37 2 37 39 39 39 37 42 39 39 7 2 39 6 39 6 39 39 42 42 39 42 42 2 39 42 2 4 2 42 2 2 39 39 39 39 2 37 39 39 42 39 42 42 7 4 42 39 5 2 6 7 39 39 2 2 2 2 6 0 1 13 2 3 38 0 6 1 38 1 9 5 0 6 2 2 2 5 1 13 2 21 3 0 3 1 1 13 37 1 6 0 3 19 38 6 13 13 2 38 0 38 3 21 38 3 13 0 2 1 0 19 1 1 19 38 38 2 37 38 0 38 38 2 4 5 9 38 38 4 38 13 38 6 1 6 37 5 0 4 0 13 13 5 38 1 4 12 13 1 2 3 13 1 1 21 1 0 1 25 0 1 17 0 18 17 17 17 38 17 17 17 25 17 13 38 0 17 17 0 27 17 17 17 0 18 1 17 38 31 38 0 17 17 17 1 0 0 17 17 0 17 38 2 17 17 17 13 31 17 27 25 42 25 25 3 3 38 17 0 25 25 18 17 17 17 25 1 1 1 13 17 1 17 17 17 38 17 17 1 3 25 13 17 17 0 17 25 38 17 17 18 3 3 25 25 1 17"
5,4,-0.7727,0.9583,0.6188,-0.2800,0.2021,"0 31 2 5 25 13 31 37 31 31 5 5 4 4 25 5 13 31 3 0 31 5 31 37 33 5 37 9 9 2 2 37 25 6 31 32 4 37 25 31 33 6 4 38 32 31 31 31 31 1 4 11 3 6 4 31 4 31 31 31 26 4 9 31 37 6 9 6 2 10 33 25 13 28 31 1 6 5 6 5 37 31 6 2 37 6 25 31 0 2 13 11 1 31 6 37 31 2 31 10 1 5 6 2 13 2 13 13 0 0 37 33 1 2 2 0 2 0 2 5 0 0 2 13 37 1 13 2 38 2 13 31 0 6 5 1 2 2 2 2 13 0 13 2 5 2 5 3 13 13 32 5 13 1 2 2 6 2 39 2 1 2 2 2 0 13 2 13 2 2 4 1 1 3 4 2 2 31 3 1 6 38 2 37 3 6 38 6 4 2 31 2 3 37 3 4 4 3 31 34 42 2 42 39 8 39 39 2 42 33 6 39 42 42 39 42 2 2 8 6 42 2 42 42 39 2 2 39 6 32 39 2 8 7 39 42 6 39 2 4 42 39 37 2 37 39 39 39 37 42 39 39 7 2 39 6 39 6 39 39 42 42 39 42 42 2 39 42 2 4 2 42 2 2 39 39 39 39 2 37 39 39 42 39 42 42 7 4 42 39 5 2 6 7 39 39 2 2 2 2 6 0 1 13 2 3 38 0 6 1 38 1 9 5 0 6 2 2 2 5 1 13 2 21 3 0 3 1 1 13 37 1 6 0 3 19 38 6 13 13 2 38 0 38 3 21 38 3 13 0 2 1 0 19 1 1 19 38 38 2 37 38 0 38 38 2 4 5 9 38 38 4 38 13 38 6 1 6 37 5 0 4 0 13 13 5 38 1 4 12 13 1 2 3 13 1 1 21 1 0 1 25 0 1 17 0 18 17 17 17 38 17 17 17 25 17 13 38 0 17 17 0 27 17 17 17 0 18 1 17 38 31 38 0 17 17 17 1 0 0 17 17 0 17 38 2 17 17 17 13 31 17 27 25 42 25 25 3 3 38 17 0 25 25 18 17 17 17 25 1 1 1 13 17 1 17 17 17 38 17 17 1 3 25 13 17 17 0 17 25 38 17 17 18 3 3 25 25 1 17"
6,5,-0.7967,1.0000,0.6776,-0.2893,0.1452,"27 6 2 2 6 25 25 25 27 25 25 37 25 2 2 25 37 25 25 25 25 2 26 2 25 2 25 27 42 2 25 25 25 25 4 5 12 25 25 25 25 25 39 2 25 25 25 2 25 2 25 25 39 2 2 25 25 25 2 25 25 25 2 25 25 5 25 27 25 6 42 25 25 25 25 25 27 25 12 39 2 39 2 4 2 2 42 25 25 2 26 12 39 25 25 25 25 2 25 2 2 5 2 3 6 5 5 2 4 4 2 5 12 2 2 2 12 2 12 2 20 12 2 2 2 37 37 2 19 2 12 15 20 13 2 12 2 19 31 2 20 12 20 5 2 12 37 2 5 12 25 18 30 23 2 2 5 5 4 5 6 2 2 12 12 2 2 12 2 6 2 2 2 20 6 28 2 22 2 2 2 20 2 2 4 2 20 2 10 2 41 12 12 6 2 14 19 4 2 12 41 12 11 13 20 38 12 28 12 20 19 12 19 12 41 41 41 12 1 41 12 12 12 34 20 41 41 20 41 20 12 3 3 12 12 20 12 12 41 41 41 28 12 12 20 12 30 19 12 19 19 12 1 12 19 19 41 12 19 28 28 28 34 20 41 41 12 12 19 12 13 20 41 12 13 20 25 19 20 12 39 3 12 41 20 12 12 19 25 9 12 38 12 20 41 12 20 19 0 12 28 12 7 7 7 7 14 38 0 8 15 28 7 8 38 7 7 7 7 7 8 7 8 7 7 28 7 7 7 7 7 8 1 7 7 7 7 28 0 8 28 8 1 7 7 7 0 8 7 7 1 1 28 7 30 17 7 1 25 12 28 7 7 15 8 7 7 26 7 0 7 30 8 8 7 8 7 8 7 7 29 8 7 38 8 7 28 8 7 7 28 7 7 7 7 7 7 8 7 25 37 3 32 41 32 3 41 31 6 1 31 31 13 1 41 12 38 6 31 31 41 41 12 41 23 31 41 41 12 41 41 23 0 41 41 23 24 38 12 2 31 41 41 38 41 41 3 31 41 24 12 24 41 1 12 41 41 41 24 31 41 12 41 33 31 13 0 41 12 33 12 31 13 31 23 41 41 32 31 41 31 41 23 33 41 33 31 41 0 31 32 33 41 32 41 12 3 12 31 3"
7,6,-0.8013,1.0000,0.6622,-0.2917,0.2137,"27 25 25 27 2 2 25 8 7 25 2 2 25 2 12 7 12 26 7 6 2 2 25 26 25 27 25 26 2 2 25 25 25 27 25 25 2 2 25 27 42 25 2 7 25 27 7 25 26 25 2 25 25 8 25 25 25 25 8 8 25 25 25 36 7 2 25 34 25 37 25 7 25 8 26 25 25 4 2 25 25 25 25 37 12 8 12 7 25 12 8 2 25 8 25 7 25 26 7 25 28 30 12 12 12 39 12 30 39 12 39 28 39 29 14 39 12 42 39 12 14 15 12 14 14 12 12 12 39 39 15 42 28 12 14 39 12 28 39 39 12 12 39 28 28 14 39 39 39 29 42 15 14 12 12 15 28 39 12 28 12 39 29 14 39 12 14 15 39 28 39 39 39 12 12 39 39 28 39 7 39 12 30 39 39 14 39 39 39 14 39 12 12 30 39 39 12 12 14 39 34 4 2 11 34 34 34 25 34 34 34 34 34 34 36 34 5 2 34 2 2 34 34 25 37 34 34 6 23 34 34 34 2 34 34 34 2 2 37 34 23 34 23 23 34 6 37 34 23 25 36 2 34 34 36 2 36 36 7 23 34 2 36 2 4 34 34 35 2 2 34 34 34 34 23 32 23 2 2 4 23 34 7 5 7 34 23 34 5 35 35 36 34 34 34 34 2 35 34 7 28 28 30 16 28 9 29 28 28 28 42 28 28 12 28 39 29 39 29 28 28 2 42 28 28 28 16 30 42 3 42 28 28 28 30 16 28 28 42 28 29 28 29 28 10 9 2 30 30 39 28 16 29 39 39 29 9 28 29 12 16 39 29 28 11 28 2 28 28 12 29 28 12 28 28 28 28 29 16 37 29 30 28 28 28 10 28 28 29 28 28 2 28 30 28 28 42 30 28 28 4 3 25 19 13 38 7 13 3 7 3 0 0 0 0 7 7 7 0 32 8 7 15 3 0 13 1 3 13 3 3 0 0 3 7 7 13 7 8 7 3 25 13 3 0 8 13 1 7 7 0 0 17 0 3 13 0 3 38 41 13 3 0 3 7 1 33 1 7 0 13 38 31 7 7 7 3 3 25 42 0 0 38 7 0 7 17 3 2 17 3 7 7 0 0 3 13 7 1 3"
8,7,-0.8263,1.0000,0.5790,-0.3005,0.1606,"27 25 25 27 2 2 25 8 7 25 2 2 25 2 12 7 12 26 7 6 2 2 25 26 25 27 25 26 2 2 25 25 25 27 25 25 2 2 25 27 42 25 2 7 25 27 7 25 26 25 2 25 25 8 25 25 25 25 8 8 25 25 25 36 7 2 25 34 25 37 25 7 25 8 26 25 25 4 2 25 25 25 25 37 12 8 12 7 25 12 8 2 25 8 25 7 25 26 7 25 28 30 12 12 12 39 12 30 39 12 39 28 39 29 14 39 12 42 39 12 14 15 12 14 14 12 12 12 39 39 15 42 28 12 14 39 12 28 39 39 12 12 39 28 28 14 39 39 39 29 42 15 14 12 12 15 28 39 12 28 12 39 29 14 39 12 14 15 39 28 39 39 39 12 12 39 39 28 39 7 39 12 30 39 39 14 39 39 39 14 39 12 12 30 39 39 12 12 14 39 34 4 2 11 34 34 34 25 34 34 34 34 34 34 36 34 5 2 34 2 2 34 34 25 37 34 34 6 23 34 34 34 2 34 34 34 2 2 37 34 23 34 23 23 34 6 37 34 23 25 36 2 34 34 36 2 36 36 7 23 34 2 36 2 4 34 34 35 2 2 34 34 34 34 23 32 23 2 2 4 23 34 7 5 7 34 23 34 5 35 35 36 34 34 34 34 2 35 34 7 28 28 30 16 28 9 29 28 28 28 42 28 28 12 28 39 29 39 29 28 28 2 42 28 28 28 16 30 42 3 42 28 28 28 30 16 28 28 42 28 29 28 29 28 10 9 2 30 30 39 28 16 29 39 39 29 9 28 29 12 16 39 29 28 11 28 2 28 28 12 29 28 12 28 28 28 28 29 16 37 29 30 28 28 28 10 28 28 29 28 28 2 28 30 28 28 42 30 28 28 4 3 25 19 13 38 7 13 3 7 3 0 0 0 0 7 7 7 0 32 8 7 15 3 0 13 1 3 13 3 3 0 0 3 7 7 13 7 8 7 3 25 13 3 0 8 13 1 7 7 0 0 17 0 3 13 0 3 38 41 13 3 0 3 7 1 33 1 7 0 13 38 31 7 7 7 3 3 25 42 0 0 38 7 0 7 17 3 2 17 3 7 7 0 0 3 13 7 1 3"
9,7,-0.7769,1.0000,0.7438,-0.3054,0.1907,"27 25 25 27 2 2 25 8 7 25 2 2 25 2 12 7 12 26 7 6 2 2 25 26 25 27 25 26 2 2 25 25 25 27 25 25 2 2 25 27 42 25 2 7 25 27 7 25 26 25 2 25 25 8 25 25 25 25 8 8 25 25 25 36 7 2 25 34 25 37 25 7 25 8 26 25 25 4 2 25 25 25 25 37 12 8 12 7 25 12 8 2 25 8 25 7 25 26 7 25 28 30 12 12 12 39 12 30 39 12 39 28 39 29 14 39 12 42 39 12 14 15 12 14 14 12 12 12 39 39 15 42 28 12 14 39 12 28 39 39 12 12 39 28 28 14 39 39 39 29 42 15 14 12 12 15 28 39 12 28 12 39 29 14 39 12 14 15 39 28 39 39 39 12 12 39 39 28 39 7 39 12 30 39 39 14 39 39 39 14 39 12 12 30 39 39 12 12 14 39 34 4 2 11 34 34 34 25 34 34 34 34 34 34 36 34 5 2 34 2 2 34 34 25 37 34 34 6 23 34 34 34 2 34 34 34 2 2 37 34 23 34 23 23 34 6 37 34 23 25 36 2 34 34 36 2 36 36 7 23 34 2 36 2 4 34 34 35 2 2 34 34 34 34 23 32 23 2 2 4 23 34 7 5 7 34 23 34 5 35 35 36 34 34 34 34 2 35 34 7 28 28 30 16 28 9 29 28 28 28 42 28 28 12 28 39 29 39 29 28 28 2 42 28 28 28 16 30 42 3 42 28 28 28 30 16 28 28 42 28 29 28 29 28 10 9 2 30 30 39 28 16 29 39 39 29 9 28 29 12 16 39 29 28 11 28 2 28 28 12 29 28 12 28 28 28 28 29 16 37 29 30 28 28 28 10 28 28 29 28 28 2 28 30 28 28 42 30 28 28 4 3 25 19 13 38 7 13 3 7 3 0 0 0 0 7 7 7 0 32 8 7 15 3 0 13 1 3 13 3 3 0 0 3 7 7 13 7 8 7 3 25 13 3 0 8 13 1 7 7 0 0 17 0 3 13 0 3 38 41 13 3 0 3 7 1 33 1 7 0 13 38 31 7 7 7 3 3 25 42 0 0 38 7 0 7 17 3 2 17 3 7 7 0 0 3 13 7 1 3"
