rank,fitness,winrate,genome
1,-0.7779,0.9565,"42 25 25 25 12 16 25 12 16 25 28 12 25 27 25 16 12 12 30 16 28 16 16 12 16 25 12 25 12 12 28 16 16 12 12 16 25 12 25 16 16 12 12 16 16 16 16 29 12 12 28 16 30 12 27 12 25 25 16 16 12 12 25 39 12 16 12 16 25 12 16 12 12 12 12 16 25 12 25 25 28 12 16 16 16 25 25 27 16 16 12 25 28 39 25 25 26 12 25 25 5 37 7 37 2 8 2 2 7 5 2 8 6 5 8 2 7 6 2 2 6 6 37 6 7 2 37 2 2 2 2 37 8 37 8 37 5 7 2 6 7 7 5 2 8 7 7 37 2 2 2 37 7 2 7 2 8 8 8 2 6 8 2 5 7 7 2 6 7 8 37 5 4 7 9 2 37 6 2 37 2 7 2 7 8 7 4 2 2 37 6 2 6 8 6 37 2 37 2 8 1 13 0 13 3 2 13 1 1 38 19 13 38 3 14 38 3 38 3 3 1 1 38 14 2 38 1 3 0 38 38 0 1 13 14 3 3 38 13 1 38 38 1 3 38 1 13 3 38 13 38 38 0 38 0 4 13 38 13 3 1 0 0 0 38 3 13 38 13 0 38 14 13 38 38 3 38 13 13 3 2 1 1 0 0 3 2 1 19 25 38 13 13 1 0 38 38 13 13 1 39 41 39 2 40 2 40 39 37 23 2 39 16 39 39 39 39 40 39 3 39 39 39 39 39 37 6 39 39 40 40 39 39 40 39 39 4 40 27 39 3 6 40 39 25 39 39 3 39 39 39 40 40 39 6 6 26 39 40 39 39 39 39 39 40 0 39 39 39 39 39 6 2 39 5 6 2 39 39 39 39 39 40 40 39 39 5 39 39 39 39 39 39 4 39 39 5 40 39 39 25 0 7 39 3 7 8 7 7 25 7 7 7 7 19 8 8 7 8 39 7 7 7 25 3 7 25 25 7 25 7 3 8 7 3 3 7 7 7 8 7 39 8 25 8 25 7 27 7 7 25 7 2 7 25 3 7 0 7 25 8 7 8 39 7 3 0 14 7 8 27 8 7 7 7 7 26 8 7 7 26 25 26 8 7 7 0 7 26 2 7 8 3 25 7 0 8 7 25 7"
2,-0.7651,1.0000,"12 25 16 12 42 25 26 25 16 17 12 16 27 25 27 27 15 26 16 12 12 16 28 17 28 25 28 27 12 17 25 25 14 25 25 27 42 16 25 25 12 16 12 16 25 12 25 12 25 12 19 28 12 27 12 15 27 30 27 12 16 26 16 28 19 12 25 16 16 19 25 12 19 27 17 26 15 27 25 17 14 12 16 25 25 19 16 16 17 28 19 12 25 25 12 26 25 25 14 25 2 4 4 4 2 2 0 2 10 2 2 2 2 2 5 2 2 2 2 6 2 11 37 0 5 2 10 2 37 9 6 6 2 4 2 5 4 2 2 4 4 2 2 2 2 2 2 2 6 2 9 2 2 2 7 2 2 2 38 2 2 2 2 9 9 4 5 4 37 9 5 9 13 2 2 2 2 6 2 2 0 6 2 37 37 2 2 2 3 2 11 2 2 6 9 2 2 2 9 2 11 2 9 2 11 2 0 6 6 10 2 2 5 20 2 9 10 10 11 5 19 2 9 11 2 2 37 2 19 2 9 19 9 41 19 2 2 9 6 9 2 2 2 19 6 11 2 6 39 2 2 2 20 2 2 2 2 10 9 9 2 2 2 19 10 37 2 2 2 2 2 2 37 4 9 2 2 2 10 11 19 2 2 2 2 9 2 2 2 2 6 2 10 10 19 2 9 10 2 2 4 4 38 38 13 2 19 20 2 6 19 2 1 6 1 1 1 4 2 2 38 1 13 2 2 1 0 19 3 2 6 9 20 3 36 1 34 38 20 2 2 2 19 10 2 19 9 0 0 5 3 19 3 19 2 5 2 19 1 19 3 0 37 0 19 3 19 2 9 0 9 2 0 2 34 19 2 2 4 38 2 4 1 37 2 13 38 2 19 0 13 2 19 0 0 0 0 2 2 19 40 19 19 19 19 19 9 19 40 20 9 12 12 32 19 19 19 19 9 40 12 20 12 19 20 19 19 19 19 19 9 12 19 9 31 19 19 19 12 9 12 19 12 19 12 19 19 12 19 17 19 19 19 12 19 19 19 19 19 33 19 9 19 12 9 12 9 31 19 12 19 9 19 19 10 32 19 20 33 19 19 19 19 40 20 19 20 19 32 19 19 33 31 20 33 20 9 19 12 9"
3,-0.7601,1.0000,"42 25 25 25 12 16 25 12 16 25 28 12 25 27 25 16 12 12 30 16 28 16 16 12 16 25 12 25 12 12 28 16 16 12 12 16 25 12 25 16 16 12 12 16 16 16 16 29 12 12 28 16 30 12 27 12 25 25 16 16 12 12 25 39 12 16 12 16 25 12 16 12 12 12 12 16 25 12 25 25 28 12 16 16 16 25 25 27 16 16 12 25 28 39 25 25 26 12 25 25 39 39 39 39 39 2 2 6 42 2 4 2 39 6 39 39 2 39 39 39 39 2 2 2 39 39 39 41 39 12 16 2 2 42 39 39 6 39 39 2 37 39 39 2 2 39 39 39 5 41 2 2 39 28 2 39 2 39 28 16 16 2 6 39 39 39 2 39 6 42 4 28 39 39 6 39 39 39 42 2 2 2 39 39 2 2 39 2 2 39 39 5 4 39 2 2 2 39 2 12 19 2 19 2 2 19 0 6 6 20 2 6 5 20 9 5 2 6 19 5 19 20 2 2 20 2 37 19 19 9 2 19 2 41 19 2 2 5 6 2 2 2 2 19 6 11 2 6 39 4 20 2 20 2 2 2 2 25 9 9 3 2 4 19 19 37 2 6 2 20 37 2 37 4 37 2 6 2 2 11 19 2 20 2 2 9 2 2 2 9 6 9 6 19 19 2 2 2 20 2 5 2 2 37 2 2 2 2 2 2 2 2 1 5 2 2 1 4 5 2 2 2 13 2 2 2 0 19 2 5 6 2 2 2 2 1 5 38 20 2 2 2 19 2 37 6 9 5 37 2 6 2 2 2 2 5 2 2 4 2 2 0 37 2 37 2 2 2 9 5 37 2 0 2 34 2 2 2 2 5 2 2 2 2 2 13 2 6 2 2 13 2 2 2 2 2 0 2 2 2 40 19 19 19 19 19 9 19 40 20 9 12 12 32 19 19 19 19 9 40 12 20 12 19 20 19 19 19 19 19 9 12 19 9 31 19 19 19 12 9 12 19 12 19 12 19 19 12 19 17 19 19 19 12 19 19 19 19 19 33 19 9 19 12 9 12 9 31 19 12 19 9 19 19 10 32 19 20 33 19 19 19 19 40 20 19 20 19 32 19 19 33 31 20 33 20 9 19 12 9"
4,-0.7284,0.9667,"42 25 25 25 12 16 25 12 16 25 28 12 25 27 25 16 12 12 30 16 28 16 16 12 16 25 12 25 12 12 28 16 16 12 12 16 25 12 25 16 16 12 12 16 16 16 16 29 12 12 28 16 30 12 27 12 25 25 16 16 12 12 25 39 12 16 12 16 25 12 16 12 12 12 12 16 25 12 25 25 28 12 16 16 16 25 25 27 16 16 12 25 28 39 25 25 26 12 25 25 2 4 4 4 2 2 0 2 10 2 2 2 2 2 5 2 2 2 2 6 2 11 37 0 5 2 10 2 37 9 6 6 2 4 2 5 4 2 2 4 4 2 2 2 2 2 2 2 6 2 9 2 2 2 7 2 2 2 38 2 2 2 2 9 9 4 5 4 37 9 5 9 13 2 2 2 2 6 2 2 0 6 2 37 37 2 2 2 3 2 11 2 2 6 9 2 2 2 9 2 11 2 9 2 11 2 0 6 6 10 2 2 5 20 2 9 10 10 11 5 19 2 9 11 2 2 37 2 19 2 9 19 9 41 19 2 2 9 6 9 2 2 2 19 6 11 2 6 39 2 2 2 20 2 2 2 2 10 9 9 2 2 2 19 10 37 2 2 2 2 2 2 37 4 9 2 2 2 10 11 19 2 2 2 2 9 2 2 2 2 6 2 10 10 19 2 9 10 2 2 4 4 38 38 13 2 19 20 2 6 19 2 1 6 1 1 1 4 2 2 38 1 13 2 2 1 0 19 3 2 6 9 20 3 36 1 34 38 20 2 2 2 19 10 2 19 9 0 0 5 3 19 3 19 2 5 2 19 1 19 3 0 37 0 19 3 19 2 9 0 9 2 0 2 34 19 2 2 4 38 2 4 1 37 2 13 38 2 19 0 13 2 19 0 0 0 0 2 2 19 25 0 0 39 3 25 25 0 3 25 3 3 2 0 19 2 3 25 3 39 2 0 0 25 3 39 25 25 39 25 25 3 25 39 3 3 25 12 41 3 25 39 3 25 39 25 39 27 25 25 25 0 2 39 25 3 39 0 25 25 3 25 25 39 3 3 0 14 0 25 27 0 39 25 25 12 26 25 25 0 26 25 26 25 7 3 0 27 26 2 25 39 3 25 25 0 39 0 25 0"
5,-0.7250,0.9583,"42 25 25 25 12 16 25 12 16 25 28 12 25 27 25 16 12 12 30 16 28 16 16 12 16 25 12 25 12 12 28 16 16 12 12 16 25 12 25 16 16 12 12 16 16 16 16 29 12 12 28 16 30 12 27 12 25 25 16 16 12 12 25 39 12 16 12 16 25 12 16 12 12 12 12 16 25 12 25 25 28 12 16 16 16 25 25 27 16 16 12 25 28 39 25 25 26 12 25 25 2 4 4 4 2 2 0 2 10 2 2 2 2 2 5 2 2 2 2 6 2 11 37 0 5 2 10 2 37 9 6 6 2 4 2 5 4 2 2 4 4 2 2 2 2 2 2 2 6 2 9 2 2 2 7 2 2 2 38 2 2 2 2 9 9 4 5 4 37 9 5 9 13 2 2 2 2 6 2 2 0 6 2 37 37 2 2 2 3 2 11 2 2 6 9 2 2 2 9 2 11 2 9 2 11 2 0 6 6 10 2 2 5 20 2 9 10 10 11 5 19 2 9 11 2 2 37 2 19 2 9 19 9 41 19 2 2 9 6 9 2 2 2 19 6 11 2 6 39 2 2 2 20 2 2 2 2 10 9 9 2 2 2 19 10 37 2 2 2 2 2 2 37 4 9 2 2 2 10 11 19 2 2 2 2 9 2 2 2 2 6 2 10 10 19 2 9 10 2 2 4 4 38 38 13 2 19 20 2 6 19 2 1 6 1 1 1 4 2 2 38 1 13 2 2 1 0 19 3 2 6 9 20 3 36 1 34 38 20 2 2 2 19 10 2 19 9 0 0 5 3 19 3 19 2 5 2 19 1 19 3 0 37 0 19 3 19 2 9 0 9 2 0 2 34 19 2 2 4 38 2 4 1 37 2 13 38 2 19 0 13 2 19 0 0 0 0 2 2 19 6 42 0 39 2 25 42 42 4 2 3 42 42 42 19 42 42 2 42 5 42 42 42 37 3 42 5 37 39 25 42 42 2 37 3 42 25 42 6 6 37 39 3 6 42 6 4 42 25 25 25 42 4 39 25 3 39 42 25 4 5 42 37 39 42 4 42 2 0 42 42 0 42 25 25 12 26 25 5 42 26 25 42 2 2 3 0 27 5 2 42 39 42 25 42 4 39 0 42 42"
6,-0.7244,0.9524,"42 25 25 25 12 16 25 12 16 25 28 12 25 27 25 16 12 12 30 16 28 16 16 12 16 25 12 25 12 12 28 16 16 12 12 16 25 12 25 16 16 12 12 16 16 16 16 29 12 12 28 16 30 12 27 12 25 25 16 16 12 12 25 39 12 16 12 16 25 12 16 12 12 12 12 16 25 12 25 25 28 12 16 16 16 25 25 27 16 16 12 25 28 39 25 25 26 12 25 25 2 4 4 4 2 2 0 2 10 2 2 2 2 2 5 2 2 2 2 6 2 11 37 0 5 2 10 2 37 9 6 6 2 4 2 5 4 2 2 4 4 2 2 2 2 2 2 2 6 2 9 2 2 2 7 2 2 2 38 2 2 2 2 9 9 4 5 4 37 9 5 9 13 2 2 2 2 6 2 2 0 6 2 37 37 2 2 2 3 2 11 2 2 6 9 2 2 2 9 2 19 2 19 2 2 19 0 6 6 20 2 6 5 20 9 5 2 6 19 5 19 20 2 2 20 2 37 19 19 9 2 19 2 41 19 2 2 5 6 2 2 2 2 19 6 11 2 6 39 4 20 2 20 2 2 2 2 25 9 9 3 2 4 19 19 37 2 6 2 20 37 2 37 4 37 2 6 2 2 11 19 2 20 2 2 9 2 2 2 9 6 9 6 19 19 2 2 2 20 2 4 4 38 38 13 2 19 20 2 6 19 2 1 6 1 1 1 4 2 2 38 1 13 2 2 1 0 19 3 2 6 9 20 3 36 1 34 38 20 2 2 2 19 10 2 19 9 0 0 5 3 19 3 19 2 5 2 19 1 19 3 0 37 0 19 3 19 2 9 0 9 2 0 2 34 19 2 2 4 38 2 4 1 37 2 13 38 2 19 0 13 2 19 0 0 0 0 2 2 19 25 0 0 39 3 25 25 0 3 25 3 3 2 0 19 2 3 25 3 39 2 0 0 25 3 39 25 25 39 25 25 3 25 39 3 3 25 12 41 3 25 39 3 25 39 25 39 27 25 25 25 0 2 39 25 3 39 0 25 25 3 25 25 39 3 3 0 14 0 25 27 0 39 25 25 12 26 25 25 0 26 25 26 25 7 3 0 27 26 2 25 39 3 25 25 0 39 0 25 0"
7,-0.7220,0.9048,"42 25 25 25 12 16 25 12 16 25 28 12 25 27 25 16 12 12 30 16 28 16 16 12 16 25 12 25 12 12 28 16 16 12 12 16 25 12 25 16 16 12 12 16 16 16 16 29 12 12 28 16 30 12 27 12 25 25 16 16 12 12 25 39 12 16 12 16 25 12 16 12 12 12 12 16 25 12 25 25 28 12 16 16 16 25 25 27 16 16 12 25 28 39 25 25 26 12 25 25 5 37 7 37 2 8 2 2 7 5 2 8 6 5 8 2 7 6 2 2 6 6 37 6 7 2 37 2 2 2 2 37 8 37 8 37 5 7 2 6 7 7 5 2 8 7 7 37 2 2 2 37 7 2 7 2 8 8 8 2 6 8 2 5 7 7 2 6 7 8 37 5 4 7 9 2 37 6 2 37 2 7 2 7 8 7 4 2 2 37 6 2 6 8 6 37 2 37 2 8 1 13 0 13 3 2 13 1 1 38 19 13 38 3 14 38 3 38 3 3 1 1 38 14 2 38 1 3 0 38 38 0 1 13 14 3 3 38 13 1 38 38 1 3 38 1 13 3 38 13 38 38 0 38 0 4 13 38 13 3 1 0 0 0 38 3 13 38 13 0 38 14 13 38 38 3 38 13 13 3 2 1 1 0 0 3 2 1 19 25 38 13 13 1 0 38 38 13 13 1 39 41 39 2 40 2 40 39 37 23 2 39 16 39 39 39 39 40 39 3 39 39 39 39 39 37 6 39 39 40 40 39 39 40 39 39 4 40 27 39 3 6 40 39 25 39 39 3 39 39 39 40 40 39 6 6 26 39 40 39 39 39 39 39 40 0 39 39 39 39 39 6 2 39 5 6 2 39 39 39 39 39 40 40 39 39 5 39 39 39 39 39 39 4 39 39 5 40 39 39 25 0 7 39 3 7 8 7 7 25 7 7 7 7 19 8 8 7 8 39 7 7 7 25 3 7 25 25 7 25 7 3 8 7 3 3 7 7 7 8 7 39 8 25 8 25 7 27 7 7 25 7 2 7 25 3 7 0 7 25 8 7 8 39 7 3 0 14 7 8 27 8 7 7 7 7 26 8 7 7 26 25 26 8 7 7 0 7 26 2 7 8 3 25 7 0 8 7 25 7"
8,-0.7017,0.8400,"42 25 25 25 12 16 25 25 25 25 28 12 25 27 25 16 12 27 30 12 28 16 16 12 16 25 12 25 16 12 28 12 28 12 30 16 25 12 25 12 12 30 26 27 12 16 25 29 12 16 28 16 30 12 27 16 25 25 25 16 12 16 25 39 25 16 12 16 25 28 25 12 12 12 25 26 25 12 25 25 28 12 25 39 16 25 25 27 16 26 12 25 28 39 25 25 26 27 25 25 0 41 41 41 41 1 41 1 1 41 13 3 0 41 41 41 9 38 0 38 3 38 1 41 41 41 13 41 41 41 3 41 41 41 41 41 13 41 38 41 41 33 41 41 12 0 41 41 0 0 3 41 41 41 41 13 0 41 3 0 33 41 1 38 41 38 10 13 13 0 41 41 41 41 41 41 1 3 1 41 3 13 41 41 0 12 41 41 41 41 41 41 1 41 41 12 0 1 41 41 39 22 28 39 39 12 39 12 39 28 39 12 39 19 39 39 12 39 39 39 30 22 30 28 28 28 39 39 12 39 28 39 30 28 22 28 12 30 28 39 12 28 39 28 30 17 12 39 28 28 39 21 30 28 39 12 21 39 12 39 39 28 28 12 12 29 28 39 39 12 39 39 28 21 28 12 28 39 28 12 39 29 39 12 20 39 39 39 28 28 39 28 39 39 12 39 39 28 28 21 0 12 1 12 40 1 16 13 3 12 1 39 31 3 12 0 12 0 38 3 0 32 40 39 13 3 33 38 12 3 32 12 40 25 38 12 39 40 1 12 1 25 13 12 38 26 39 13 25 0 12 12 3 39 32 12 12 33 31 39 39 12 0 31 12 13 0 0 32 12 12 13 32 3 1 39 39 12 0 0 33 13 31 25 3 12 1 33 12 38 3 38 39 39 13 27 25 12 38 12 28 39 30 39 39 40 39 28 40 40 40 28 40 39 28 2 28 29 40 40 2 40 40 40 28 40 40 28 28 39 26 28 40 28 39 28 30 28 39 12 28 39 28 40 39 39 30 40 29 40 40 28 40 39 40 40 40 28 30 12 27 40 26 30 28 28 39 40 26 40 29 40 39 28 40 12 39 40 40 28 39 28 30 28 28 39 39 40 39 2 28 39 28 40 40 28 40 29 40 39"
9,-0.7014,0.9500,"12 25 16 12 42 25 26 25 16 17 12 16 27 25 27 27 15 26 16 12 12 16 28 17 28 25 28 27 12 17 25 25 14 25 25 27 42 16 25 25 12 16 12 16 25 12 25 12 25 12 19 28 12 27 12 15 27 30 27 12 16 26 16 28 19 12 25 16 16 19 25 12 19 27 17 26 15 27 25 17 14 12 16 25 25 19 16 16 17 28 19 12 25 25 12 26 25 25 14 25 2 4 4 4 2 2 0 2 10 2 2 2 2 2 5 2 2 2 2 6 2 11 37 0 5 2 10 2 37 9 6 6 2 4 2 5 4 2 2 4 4 2 2 2 2 2 2 2 6 2 9 2 2 2 7 2 2 2 38 2 2 2 2 9 9 4 5 4 37 9 5 9 13 2 2 2 2 6 2 2 0 6 2 37 37 2 2 2 3 2 11 2 2 6 9 2 2 2 9 2 11 2 9 2 11 2 0 6 6 10 2 2 5 20 2 9 10 10 11 5 19 2 9 11 2 2 37 2 19 2 9 19 9 41 19 2 2 9 6 9 2 2 2 19 6 11 2 6 39 2 2 2 20 2 2 2 2 10 9 9 2 2 2 19 10 37 2 2 2 2 2 2 37 4 9 2 2 2 10 11 19 2 2 2 2 9 2 2 2 2 6 2 10 10 19 2 9 10 2 2 4 4 38 38 13 2 19 20 2 6 19 2 1 6 1 1 1 4 2 2 38 1 13 2 2 1 0 19 3 2 6 9 20 3 36 1 34 38 20 2 2 2 19 10 2 19 9 0 0 5 3 19 3 19 2 5 2 19 1 19 3 0 37 0 19 3 19 2 9 0 9 2 0 2 34 19 2 2 4 38 2 4 1 37 2 13 38 2 19 0 13 2 19 0 0 0 0 2 2 19 40 19 19 19 19 19 9 19 40 20 9 12 12 32 19 19 19 19 9 40 12 20 12 19 20 19 19 19 19 19 9 12 19 9 31 19 19 19 12 9 12 19 12 19 12 19 19 12 19 17 19 19 19 12 19 19 19 19 19 33 19 9 19 12 9 12 9 31 19 12 19 9 19 19 10 32 19 20 33 19 19 19 19 40 20 19 20 19 32 19 19 33 31 20 33 20 9 19 12 9"
10,-0.6854,0.8800,"12 25 16 12 42 25 26 25 16 17 12 16 27 25 27 27 15 26 16 12 12 16 28 17 28 25 28 27 12 17 25 25 14 25 25 27 42 16 25 25 12 16 12 16 25 12 25 12 25 12 19 28 12 27 12 15 27 30 27 12 16 26 16 28 19 12 25 16 16 19 25 12 19 27 17 26 15 27 25 17 14 12 16 25 25 19 16 16 17 28 19 12 25 25 12 26 25 25 14 25 2 4 4 4 2 2 0 2 10 2 2 2 2 2 5 2 2 2 2 6 2 11 37 0 5 2 10 2 37 9 6 6 2 4 2 5 4 2 2 4 4 2 2 2 2 2 2 2 6 2 9 2 2 2 7 2 2 2 38 2 2 2 2 9 9 4 5 4 37 9 5 9 13 2 2 2 2 6 2 2 0 6 2 37 37 2 2 2 3 2 11 2 2 6 9 2 2 2 9 2 11 2 9 2 11 2 0 6 6 10 2 2 5 20 2 9 10 10 11 5 19 2 9 11 2 2 37 2 19 2 9 19 9 41 19 2 2 9 6 9 2 2 2 19 6 11 2 6 39 2 2 2 20 2 2 2 2 10 9 9 2 2 2 19 10 37 2 2 2 2 2 2 37 4 9 2 2 2 10 11 19 2 2 2 2 9 2 2 2 2 6 2 10 10 19 2 9 10 2 2 4 4 2 11 13 2 9 11 2 10 2 9 9 10 1 10 2 9 10 10 2 2 11 10 10 1 2 2 3 2 2 9 9 2 2 11 34 2 20 2 2 9 19 2 9 19 9 0 0 2 2 19 2 19 2 2 2 19 10 2 2 2 37 2 2 3 9 2 9 2 9 2 2 2 2 19 2 2 2 38 2 4 9 10 2 2 2 11 9 9 9 2 19 0 11 0 0 2 2 19 40 19 19 19 19 19 9 19 40 20 9 12 12 32 19 19 19 19 9 40 12 20 12 19 20 19 19 19 19 19 9 12 19 9 31 19 19 19 12 9 12 19 12 19 12 19 19 12 19 17 19 19 19 12 19 19 19 19 19 33 19 9 19 12 9 12 9 31 19 12 19 9 19 19 10 32 19 20 33 19 19 19 19 40 20 19 20 19 32 19 19 33 31 20 33 20 9 19 12 9"
