# seed=15
# instance=PIECEWISE
# popSize=100
# generations=100
# crossover=BlockUniform(p=0.25)
# mutation=p0=0.05,pMin=0.002,alpha=0.95
# tournamentK=3
# elitism=2
# lambda_similarity=0.3
# fights_per_team=10
# anchors=5
gen,changes,best_fitness,best_winrate,best_similarity,avg_fitness,worst_fitness,best_genome
0,1,-0.5961,0.8696,0.9115,-0.1707,0.2782,"12 11 10 30 19 11 15 19 4 20 19 21 20 37 42 11 21 20 28 3 26 37 14 41 13 3 13 6 26 12 13 13 32 18 20 28 29 28 37 2 1 17 33 41 33 26 7 13 32 30 10 9 5 32 29 33 41 18 16 36 42 34 31 3 4 2 2 15 23 37 27 3 21 41 40 19 12 22 16 11 5 33 29 14 7 0 2 1 9 29 9 23 40 10 33 4 40 16 18 19 11 20 20 11 32 1 15 10 27 9 8 2 26 18 16 4 5 14 15 3 20 40 1 39 25 20 40 38 9 13 19 11 7 35 14 1 24 18 0 37 42 28 3 39 40 11 28 18 22 3 38 0 40 0 25 17 5 8 33 33 30 3 36 22 16 3 42 3 10 20 2 29 21 11 37 11 37 32 25 22 38 9 13 2 35 34 26 34 31 24 30 13 12 14 35 41 9 25 0 38 21 4 17 15 37 24 21 41 36 8 20 29 23 16 36 40 0 8 23 20 1 41 3 8 42 42 42 8 14 17 17 40 1 37 16 39 36 29 17 12 6 39 11 28 32 41 2 24 29 20 12 3 11 41 16 42 18 40 0 16 29 6 0 30 14 10 12 14 18 9 6 30 34 17 24 36 13 29 24 9 0 38 20 25 42 22 23 25 16 18 25 25 30 31 9 18 3 21 27 13 9 14 11 14 29 29 36 29 24 31 6 21 14 40 1 21 3 9 30 9 11 30 28 16 42 6 28 1 39 34 28 29 4 0 12 3 12 16 27 28 1 22 36 1 12 16 40 19 37 5 10 29 39 29 13 36 26 37 15 12 23 39 23 28 16 19 1 13 20 19 13 29 24 40 8 15 4 27 15 36 34 33 14 11 23 14 26 14 4 3 38 5 25 27 14 31 11 0 42 6 17 34 18 29 24 37 42 13 16 28 0 2 23 15 10 0 7 20 10 37 15 31 7 9 33 31 0 26 14 27 18 27 7 0 31 6 20 39 33 1 20 20 12 16 41 39 20 8 38 18 35 22 2 15 17 7 31 40 36 41 18 1 18 40 30 4 18 32 39 5 35 18 11 12 22 2 17 24 15 29 29 20 11 18 6 2 30 32 29 2 30 39 23 25 31 14 18 13 14 6"
1,2,-0.7558,0.9231,0.5574,-0.2039,0.2002,"8 41 7 31 7 7 7 41 8 2 2 7 2 7 7 8 7 7 2 7 8 7 7 7 2 7 0 2 7 3 7 7 7 7 7 2 8 41 8 2 7 41 8 7 1 7 7 38 7 7 8 7 7 7 7 4 7 13 7 7 7 13 7 7 7 2 7 2 0 7 7 2 7 7 2 7 1 7 7 7 3 0 4 1 7 8 7 7 8 7 7 8 7 7 7 13 31 38 8 7 19 19 20 19 19 19 12 19 19 19 19 20 33 19 19 19 26 20 19 19 20 19 19 19 28 19 35 28 31 19 19 19 19 28 19 19 19 12 12 10 19 12 28 19 19 19 19 28 19 10 32 24 31 19 20 20 39 32 20 19 19 28 19 19 12 28 19 3 28 28 19 12 21 28 15 19 19 12 28 19 19 20 12 20 12 19 31 19 19 12 19 28 12 32 20 12 12 19 42 19 13 2 5 38 3 0 6 11 3 38 0 2 5 2 38 4 38 13 1 2 1 3 2 9 2 3 0 38 37 6 9 0 0 3 2 38 3 38 3 1 0 13 6 2 2 0 14 3 1 13 9 5 0 13 38 4 2 1 0 13 11 38 6 37 38 0 0 1 0 4 9 3 1 0 0 0 0 3 0 37 1 3 0 38 1 9 2 37 5 2 3 2 36 0 2 0 3 34 13 3 21 25 17 21 3 27 21 21 21 28 32 25 21 27 21 25 21 22 21 22 36 26 22 26 21 21 7 27 25 21 21 25 21 25 27 3 22 21 25 25 22 21 25 21 13 21 21 21 21 21 27 25 21 21 17 29 25 21 25 21 21 21 22 26 27 5 25 25 25 25 21 21 21 21 22 7 2 25 27 21 25 25 21 10 21 22 21 27 21 22 26 21 22 22 22 25 25 25 21 21 2 6 11 2 7 6 6 4 23 2 13 39 10 9 9 2 11 10 2 2 11 4 37 27 2 18 2 37 2 9 5 5 9 2 3 2 37 37 0 6 10 13 16 40 40 2 2 2 2 2 6 9 10 1 9 2 2 30 32 4 17 2 4 8 11 2 2 2 13 2 2 21 20 2 2 9 37 22 6 5 2 5 6 2 26 4 9 4 2 37 6 2 2 6 2 18 19 2 31 19"
2,3,-0.7573,0.9259,0.5622,-0.2621,0.1624,"34 34 34 34 0 34 34 17 0 34 25 17 3 34 3 36 3 34 0 17 0 17 34 3 34 34 17 0 34 17 17 34 34 3 34 17 18 15 34 0 34 3 0 16 36 3 10 3 0 18 25 0 0 34 34 3 18 3 34 17 34 0 0 35 12 34 26 34 0 34 35 3 0 36 0 17 12 35 18 0 36 17 3 17 17 34 26 12 34 0 34 17 17 17 34 3 41 34 34 0 1 31 4 0 13 31 13 2 38 33 4 31 0 25 31 31 2 17 1 31 31 13 31 1 0 9 31 31 3 6 31 31 3 2 31 31 31 13 13 32 38 38 31 16 2 13 13 31 3 33 31 31 33 1 31 32 31 0 4 1 31 2 2 3 31 0 31 0 4 38 31 39 39 2 37 38 38 38 5 31 3 1 18 1 23 32 31 32 31 32 13 13 33 0 31 33 38 24 3 13 17 14 19 20 9 17 17 22 17 0 1 17 14 12 15 17 14 12 17 14 0 19 15 17 17 17 17 17 38 17 17 17 5 19 2 42 10 2 14 17 17 13 19 17 32 19 17 14 13 17 3 14 15 38 19 17 7 19 14 19 8 13 17 37 3 18 17 2 19 12 17 19 14 14 19 15 14 13 12 17 14 14 17 0 19 14 15 6 19 17 19 41 17 38 17 17 14 19 17 17 2 34 0 1 34 34 34 1 2 38 34 2 6 3 2 0 38 2 2 35 34 34 0 2 38 36 2 13 3 3 2 2 34 3 10 11 38 10 1 0 3 0 0 34 38 2 2 13 2 1 36 34 38 1 2 1 34 3 2 13 36 0 34 34 0 2 13 36 2 35 11 34 11 34 1 0 11 13 34 34 2 2 34 38 34 0 36 11 36 13 2 0 34 35 5 34 0 10 0 34 25 10 26 27 27 22 2 19 26 25 25 25 25 2 26 26 27 25 22 25 25 2 11 26 10 25 25 25 12 25 12 27 25 25 25 2 27 25 25 2 19 25 11 25 27 25 25 25 25 25 26 22 25 25 25 18 25 25 26 25 12 9 26 12 12 2 2 2 25 25 25 2 25 25 25 27 2 2 26 25 25 25 21 26 25 2 25 25 25 27 25 26 25 25 2 2 21 25 25 27"
3,3,-0.7538,0.9091,0.5175,-0.2665,0.1629,"34 34 34 34 0 34 34 17 0 34 25 17 3 34 3 36 3 34 0 17 0 17 34 3 34 34 17 0 34 17 17 34 34 3 34 17 18 15 34 0 34 3 0 16 36 3 10 3 0 18 25 0 0 34 34 3 18 3 34 17 34 0 0 35 12 34 26 34 0 34 35 3 0 36 0 17 12 35 18 0 36 17 3 17 17 34 26 12 34 0 34 17 17 17 34 3 41 34 34 0 1 31 4 0 13 31 13 2 38 33 4 31 0 25 31 31 2 17 1 31 31 13 31 1 0 9 31 31 3 6 31 31 3 2 31 31 31 13 13 32 38 38 31 16 2 13 13 31 3 33 31 31 33 1 31 32 31 0 4 1 31 2 2 3 31 0 31 0 4 38 31 39 39 2 37 38 38 38 5 31 3 1 18 1 23 32 31 32 31 32 13 13 33 0 31 33 38 24 3 13 17 14 19 20 9 17 17 22 17 0 1 17 14 12 15 17 14 12 17 14 0 19 15 17 17 17 17 17 38 17 17 17 5 19 2 42 10 2 14 17 17 13 19 17 32 19 17 14 13 17 3 14 15 38 19 17 7 19 14 19 8 13 17 37 3 18 17 2 19 12 17 19 14 14 19 15 14 13 12 17 14 14 17 0 19 14 15 6 19 17 19 41 17 38 17 17 14 19 17 17 2 34 0 1 34 34 34 1 2 38 34 2 6 3 2 0 38 2 2 35 34 34 0 2 38 36 2 13 3 3 2 2 34 3 10 11 38 10 1 0 3 0 0 34 38 2 2 13 2 1 36 34 38 1 2 1 34 3 2 13 36 0 34 34 0 2 13 36 2 35 11 34 11 34 1 0 11 13 34 34 2 2 34 38 34 0 36 11 36 13 2 0 34 35 5 34 0 10 0 34 25 10 26 27 27 22 2 19 26 25 25 25 25 2 26 26 27 25 22 25 25 2 11 26 10 25 25 25 12 25 12 27 25 25 25 2 27 25 25 2 19 25 11 25 27 25 25 25 25 25 26 22 25 25 25 18 25 25 26 25 12 9 26 12 12 2 2 2 25 25 25 2 25 25 25 27 2 2 26 25 25 25 21 26 25 2 25 25 25 27 25 26 25 25 2 2 21 25 25 27"
4,3,-0.7329,0.9130,0.6004,-0.2862,0.1441,"34 34 34 34 0 34 34 17 0 34 25 17 3 34 3 36 3 34 0 17 0 17 34 3 34 34 17 0 34 17 17 34 34 3 34 17 18 15 34 0 34 3 0 16 36 3 10 3 0 18 25 0 0 34 34 3 18 3 34 17 34 0 0 35 12 34 26 34 0 34 35 3 0 36 0 17 12 35 18 0 36 17 3 17 17 34 26 12 34 0 34 17 17 17 34 3 41 34 34 0 1 31 4 0 13 31 13 2 38 33 4 31 0 25 31 31 2 17 1 31 31 13 31 1 0 9 31 31 3 6 31 31 3 2 31 31 31 13 13 32 38 38 31 16 2 13 13 31 3 33 31 31 33 1 31 32 31 0 4 1 31 2 2 3 31 0 31 0 4 38 31 39 39 2 37 38 38 38 5 31 3 1 18 1 23 32 31 32 31 32 13 13 33 0 31 33 38 24 3 13 17 14 19 20 9 17 17 22 17 0 1 17 14 12 15 17 14 12 17 14 0 19 15 17 17 17 17 17 38 17 17 17 5 19 2 42 10 2 14 17 17 13 19 17 32 19 17 14 13 17 3 14 15 38 19 17 7 19 14 19 8 13 17 37 3 18 17 2 19 12 17 19 14 14 19 15 14 13 12 17 14 14 17 0 19 14 15 6 19 17 19 41 17 38 17 17 14 19 17 17 2 34 0 1 34 34 34 1 2 38 34 2 6 3 2 0 38 2 2 35 34 34 0 2 38 36 2 13 3 3 2 2 34 3 10 11 38 10 1 0 3 0 0 34 38 2 2 13 2 1 36 34 38 1 2 1 34 3 2 13 36 0 34 34 0 2 13 36 2 35 11 34 11 34 1 0 11 13 34 34 2 2 34 38 34 0 36 11 36 13 2 0 34 35 5 34 0 10 0 34 25 10 26 27 27 22 2 19 26 25 25 25 25 2 26 26 27 25 22 25 25 2 11 26 10 25 25 25 12 25 12 27 25 25 25 2 27 25 25 2 19 25 11 25 27 25 25 25 25 25 26 22 25 25 25 18 25 25 26 25 12 9 26 12 12 2 2 2 25 25 25 2 25 25 25 27 2 2 26 25 25 25 21 26 25 2 25 25 25 27 25 26 25 25 2 2 21 25 25 27"
5,4,-0.7703,0.9143,0.4801,-0.2893,0.1509,"6 0 4 2 31 32 16 4 2 31 17 31 0 29 37 0 3 31 5 31 6 1 31 31 3 4 4 42 5 32 37 0 2 37 32 32 5 0 6 31 26 0 0 5 0 0 21 2 5 31 0 37 6 31 31 2 0 41 31 0 3 5 3 6 3 3 0 26 37 31 32 31 31 2 31 14 3 5 32 31 6 38 3 2 2 3 3 0 37 37 0 37 8 5 10 3 3 0 10 3 31 0 31 31 32 33 31 33 38 5 31 31 33 31 31 31 31 19 31 31 2 11 1 31 31 33 31 31 31 32 38 32 9 2 40 11 1 31 31 31 31 31 31 33 31 31 31 31 2 31 25 1 38 0 29 31 32 31 31 32 31 3 31 0 2 38 31 2 2 31 2 3 31 33 33 2 31 12 0 13 33 1 31 31 31 31 2 31 31 31 3 31 3 31 31 31 31 31 18 31 34 36 39 34 39 40 39 1 36 34 39 39 34 12 39 39 24 34 39 34 39 39 39 39 34 39 39 39 39 39 34 39 39 39 39 34 34 34 12 39 39 34 39 39 34 12 39 39 34 34 39 34 34 26 35 39 17 39 35 39 8 34 39 39 34 39 35 34 36 34 12 39 34 34 39 39 39 35 39 36 36 36 12 34 35 39 34 39 34 39 39 34 39 34 21 39 34 34 34 39 25 25 25 27 31 38 27 25 25 25 25 26 25 25 7 28 27 26 25 13 25 27 25 25 13 25 4 25 26 25 25 28 27 28 25 28 28 0 25 25 27 25 30 25 21 13 28 28 25 13 13 27 30 28 1 25 25 25 28 26 28 25 28 25 30 28 25 25 25 25 25 25 38 25 27 25 41 13 3 25 26 26 27 13 25 25 28 3 27 27 25 28 6 3 25 25 25 25 28 34 17 42 42 6 17 42 42 42 42 4 42 42 42 18 6 42 37 17 42 42 17 42 6 17 1 17 17 42 17 17 42 4 42 5 17 5 42 42 17 2 2 2 17 37 16 17 17 3 42 42 42 37 21 4 42 17 17 42 42 17 5 42 35 42 4 42 42 0 6 42 42 17 42 17 42 5 2 2 17 42 4 42 16 38 42 42 42 5 42 17 42 17 6 37 42 42 4 42 42 37"
6,4,-0.7403,0.9130,0.5759,-0.2925,0.1507,"6 0 4 2 31 32 16 4 2 31 17 31 0 29 37 0 3 31 5 31 6 1 31 31 3 4 4 42 5 32 37 0 2 37 32 32 5 0 6 31 26 0 0 5 0 0 21 2 5 31 0 37 6 31 31 2 0 41 31 0 3 5 3 6 3 3 0 26 37 31 32 31 31 2 31 14 3 5 32 31 6 38 3 2 2 3 3 0 37 37 0 37 8 5 10 3 3 0 10 3 31 0 31 31 32 33 31 33 38 5 31 31 33 31 31 31 31 19 31 31 2 11 1 31 31 33 31 31 31 32 38 32 9 2 40 11 1 31 31 31 31 31 31 33 31 31 31 31 2 31 25 1 38 0 29 31 32 31 31 32 31 3 31 0 2 38 31 2 2 31 2 3 31 33 33 2 31 12 0 13 33 1 31 31 31 31 2 31 31 31 3 31 3 31 31 31 31 31 18 31 34 36 39 34 39 40 39 1 36 34 39 39 34 12 39 39 24 34 39 34 39 39 39 39 34 39 39 39 39 39 34 39 39 39 39 34 34 34 12 39 39 34 39 39 34 12 39 39 34 34 39 34 34 26 35 39 17 39 35 39 8 34 39 39 34 39 35 34 36 34 12 39 34 34 39 39 39 35 39 36 36 36 12 34 35 39 34 39 34 39 39 34 39 34 21 39 34 34 34 39 25 25 25 27 31 38 27 25 25 25 25 26 25 25 7 28 27 26 25 13 25 27 25 25 13 25 4 25 26 25 25 28 27 28 25 28 28 0 25 25 27 25 30 25 21 13 28 28 25 13 13 27 30 28 1 25 25 25 28 26 28 25 28 25 30 28 25 25 25 25 25 25 38 25 27 25 41 13 3 25 26 26 27 13 25 25 28 3 27 27 25 28 6 3 25 25 25 25 28 34 17 42 42 6 17 42 42 42 42 4 42 42 42 18 6 42 37 17 42 42 17 42 6 17 1 17 17 42 17 17 42 4 42 5 17 5 42 42 17 2 2 2 17 37 16 17 17 3 42 42 42 37 21 4 42 17 17 42 42 17 5 42 35 42 4 42 42 0 6 42 42 17 42 17 42 5 2 2 17 42 4 42 16 38 42 42 42 5 42 17 42 17 6 37 42 42 4 42 42 37"
7,5,-0.7822,0.9524,0.5673,-0.3040,0.1382,"2 37 2 21 21 22 21 21 2 3 2 21 38 2 22 21 21 0 21 2 21 21 13 2 35 21 21 5 2 4 21 21 22 21 6 21 2 21 2 21 21 21 38 42 22 3 2 23 21 21 21 22 21 6 1 13 38 21 5 2 5 21 21 22 21 22 21 21 38 0 2 37 21 21 21 38 21 3 42 21 5 21 22 22 13 1 21 22 21 1 22 21 21 21 5 21 13 2 22 22 2 12 2 12 4 31 2 5 2 4 2 16 16 37 2 5 12 2 2 2 2 42 2 2 42 0 12 16 2 6 12 16 5 37 2 2 6 42 42 42 2 2 5 0 2 5 2 42 2 2 42 2 12 2 2 2 42 42 42 12 37 4 2 4 12 2 2 12 6 2 2 2 32 2 2 2 4 2 2 5 42 4 4 2 12 2 0 2 31 16 2 42 11 16 37 16 37 4 2 6 23 1 27 26 27 3 27 0 12 27 12 12 24 12 12 38 12 2 12 12 25 27 25 0 25 3 12 12 12 26 27 13 25 0 26 12 12 3 26 12 12 12 1 12 0 1 24 12 12 12 12 0 3 12 12 12 0 12 13 1 0 12 27 26 12 12 3 25 27 12 2 27 12 12 3 27 25 38 12 25 9 0 12 0 12 1 23 38 12 26 0 3 27 38 25 0 12 12 12 12 2 2 2 29 28 2 2 37 2 2 2 2 39 0 2 28 37 5 6 2 2 2 2 2 3 3 4 4 37 2 12 21 30 29 28 2 2 37 6 29 0 2 28 0 2 5 2 0 2 28 37 5 5 0 28 2 29 2 2 2 0 2 2 2 28 12 0 2 0 27 2 4 2 39 28 39 5 28 29 28 2 2 6 4 2 0 6 0 28 2 37 2 2 4 6 2 2 0 2 2 0 3 3 3 2 2 2 12 2 1 13 37 0 2 13 37 5 2 37 1 1 7 2 7 2 38 1 7 1 8 2 8 8 2 1 2 0 6 8 13 38 3 2 2 7 2 2 26 25 0 1 0 25 0 0 1 5 1 25 0 2 2 2 2 7 2 7 1 2 2 2 0 13 8 25 13 13 13 2 2 12 2 2 2 2 2 2 13 1 2 12 2 2 4 2 37 2 7 26 2"
8,5,-0.7586,0.9091,0.5016,-0.3083,0.1369,"2 37 2 21 21 22 21 21 2 3 2 21 38 2 22 21 21 0 21 2 21 21 13 2 35 21 21 5 2 4 21 21 22 21 6 21 2 21 2 21 21 21 38 42 22 3 2 23 21 21 21 22 21 6 1 13 38 21 5 2 5 21 21 22 21 22 21 21 38 0 2 37 21 21 21 38 21 3 42 21 5 21 22 22 13 1 21 22 21 1 22 21 21 21 5 21 13 2 22 22 2 12 2 12 4 31 2 5 2 4 2 16 16 37 2 5 12 2 2 2 2 42 2 2 42 0 12 16 2 6 12 16 5 37 2 2 6 42 42 42 2 2 5 0 2 5 2 42 2 2 42 2 12 2 2 2 42 42 42 12 37 4 2 4 12 2 2 12 6 2 2 2 32 2 2 2 4 2 2 5 42 4 4 2 12 2 0 2 31 16 2 42 11 16 37 16 37 4 2 6 23 1 27 26 27 3 27 0 12 27 12 12 24 12 12 38 12 2 12 12 25 27 25 0 25 3 12 12 12 26 27 13 25 0 26 12 12 3 26 12 12 12 1 12 0 1 24 12 12 12 12 0 3 12 12 12 0 12 13 1 0 12 27 26 12 12 3 25 27 12 2 27 12 12 3 27 25 38 12 25 9 0 12 0 12 1 23 38 12 26 0 3 27 38 25 0 12 12 12 12 2 2 2 29 28 2 2 37 2 2 2 2 39 0 2 28 37 5 6 2 2 2 2 2 3 3 4 4 37 2 12 21 30 29 28 2 2 37 6 29 0 2 28 0 2 5 2 0 2 28 37 5 5 0 28 2 29 2 2 2 0 2 2 2 28 12 0 2 0 27 2 4 2 39 28 39 5 28 29 28 2 2 6 4 2 0 6 0 28 2 37 2 2 4 6 2 2 0 2 2 0 3 3 3 2 2 2 12 2 1 13 37 0 2 13 37 5 2 37 1 1 7 2 7 2 38 1 7 1 8 2 8 8 2 1 2 0 6 8 13 38 3 2 2 7 2 2 26 25 0 1 0 25 0 0 1 5 1 25 0 2 2 2 2 7 2 7 1 2 2 2 0 13 8 25 13 13 13 2 2 12 2 2 2 2 2 2 13 1 2 12 2 2 4 2 37 2 7 26 2"
9,6,-0.7908,0.9630,0.5738,-0.3163,0.1422,"2 37 2 21 21 22 21 21 2 3 2 21 38 2 22 21 21 0 21 2 21 21 13 2 35 21 21 5 2 4 21 21 22 21 6 21 2 21 2 21 21 21 38 42 22 3 2 23 21 21 21 22 21 6 1 13 38 21 5 2 5 21 21 22 21 22 21 21 38 0 2 37 21 21 21 38 21 3 42 21 5 21 22 22 13 1 21 22 21 1 22 21 21 21 5 21 13 2 22 22 2 12 2 12 4 31 2 5 2 4 2 16 16 37 2 5 12 2 2 2 2 42 2 2 42 0 12 16 2 6 12 16 5 37 2 2 6 42 42 42 2 2 5 0 2 5 2 42 2 2 42 2 12 2 2 2 42 42 42 12 37 4 2 4 12 2 2 12 6 2 2 2 32 2 2 2 4 2 2 5 42 4 4 2 12 2 0 2 31 16 2 42 11 16 37 16 37 4 2 6 23 1 27 26 27 3 27 0 12 27 12 12 24 12 12 38 12 2 12 12 25 27 25 0 25 3 12 12 12 26 27 13 25 0 26 12 12 3 26 12 12 12 1 12 0 1 24 12 12 12 12 0 3 12 12 12 0 12 13 1 0 12 27 26 12 12 3 25 27 12 2 27 12 12 3 27 25 38 12 25 9 0 12 0 12 1 23 38 12 26 0 3 27 38 25 0 12 12 12 12 2 2 2 29 28 2 2 37 2 2 2 2 39 0 2 28 37 5 6 2 2 2 2 2 3 3 4 4 37 2 12 21 30 29 28 2 2 37 6 29 0 2 28 0 2 5 2 0 2 28 37 5 5 0 28 2 29 2 2 2 0 2 2 2 28 12 0 2 0 27 2 4 2 39 28 39 5 28 29 28 2 2 6 4 2 0 6 0 28 2 37 2 2 4 6 2 2 0 2 2 0 3 3 3 2 2 2 12 2 1 13 37 0 2 13 37 5 2 37 1 1 7 2 7 2 38 1 7 1 8 2 8 8 2 1 2 0 6 8 13 38 3 2 2 7 2 2 26 25 0 1 0 25 0 0 1 5 1 25 0 2 2 2 2 7 2 7 1 2 2 2 0 13 8 25 13 13 13 2 2 12 2 2 2 2 2 2 13 1 2 12 2 2 4 2 37 2 7 26 2"
