rank,fitness,winrate,genome
1,-0.8068,0.9310,"39 0 3 0 39 41 0 39 39 0 3 3 39 26 5 26 39 0 39 39 39 0 39 39 39 39 25 39 25 25 25 3 0 25 39 39 39 0 39 0 3 25 25 27 25 25 3 25 3 39 27 3 39 39 33 39 39 39 1 26 39 39 25 39 3 25 3 25 3 0 39 3 25 25 39 39 39 3 0 0 39 39 26 0 0 3 26 0 0 39 0 3 25 39 39 39 39 3 0 39 3 38 4 42 6 2 4 42 1 4 2 42 5 37 13 2 5 5 4 2 5 1 38 2 6 6 38 37 5 37 42 2 2 2 42 2 37 42 6 38 6 37 42 0 1 0 37 4 13 1 13 42 42 4 4 2 1 37 42 3 42 37 3 0 37 3 1 0 6 38 4 42 2 2 13 3 42 38 9 6 0 5 42 0 1 37 13 13 37 2 6 4 42 2 37 3 13 13 4 6 39 17 0 39 39 39 3 0 39 13 0 3 39 39 3 3 39 0 3 39 39 39 41 39 17 0 39 39 39 39 39 3 39 41 0 41 19 38 39 39 3 39 39 0 39 39 0 39 39 0 0 0 39 41 41 3 39 41 0 39 41 39 39 3 1 0 3 41 42 39 3 41 39 18 39 0 39 39 41 39 39 17 39 39 39 0 0 38 39 39 39 0 39 0 41 5 39 39 0 39 5 3 2 4 12 12 2 14 6 5 2 12 37 2 0 12 30 5 38 38 25 25 3 1 2 37 4 4 30 25 25 29 13 25 38 25 25 2 5 25 30 3 25 13 12 4 26 4 1 25 2 2 1 25 5 29 25 5 1 25 6 0 38 0 2 4 26 37 25 25 12 30 6 12 12 6 6 25 25 38 4 25 5 27 2 13 37 37 37 2 38 12 4 25 13 6 4 25 25 25 25 39 2 25 39 25 39 39 25 39 4 39 39 39 39 39 39 39 39 39 0 39 39 25 27 39 25 42 39 39 39 39 39 39 25 39 39 39 42 42 39 25 27 25 12 25 39 26 25 39 39 29 39 39 25 39 42 30 39 42 39 25 39 27 39 39 39 39 39 25 25 39 42 39 42 39 25 25 42 39 39 39 25 25 25 39 25 39 28 39 42 39 39 39 39 26 39 39 39 39"
2,-0.7926,1.0000,"3 3 0 38 0 3 0 2 2 38 38 2 0 38 3 13 2 0 5 2 38 42 2 1 4 5 4 11 38 2 13 1 13 2 1 2 13 38 0 1 13 1 4 2 1 7 13 13 7 38 38 13 33 2 3 4 2 1 13 4 4 0 13 13 38 7 7 2 8 2 42 2 13 13 4 0 0 2 3 1 2 2 42 2 2 2 38 0 0 42 3 13 13 37 0 37 6 2 0 2 9 11 2 2 0 2 3 9 2 3 3 3 9 42 9 0 3 7 0 3 0 3 2 0 2 8 0 0 3 7 2 7 9 0 0 2 3 2 0 2 0 8 0 9 2 2 0 0 9 7 3 3 14 17 3 8 3 2 9 7 0 7 0 2 40 9 7 40 9 3 11 28 3 2 2 2 2 7 0 7 3 9 9 4 2 7 3 5 11 2 3 2 2 2 3 3 7 2 0 2 0 38 2 2 7 8 2 2 0 3 8 38 13 34 7 7 2 3 42 7 34 2 13 7 13 1 0 2 2 1 0 2 2 1 37 6 8 5 2 13 1 2 34 7 3 13 2 1 0 2 2 7 0 0 8 2 7 6 7 13 13 2 1 38 38 1 8 0 3 13 1 2 2 13 13 2 3 0 1 2 38 1 0 8 2 7 2 0 2 2 2 7 38 8 13 37 4 2 2 2 34 34 34 3 9 34 7 36 9 34 34 34 11 34 9 34 34 34 9 34 9 35 34 34 34 34 34 9 35 36 41 9 34 35 9 40 9 9 35 34 36 35 36 8 34 34 36 34 9 35 10 7 34 35 34 9 34 34 34 40 36 9 34 36 35 34 34 34 34 34 34 9 36 7 34 34 35 34 35 34 10 35 34 7 34 35 9 9 35 9 9 11 34 38 40 9 34 34 34 34 38 0 3 0 5 13 3 13 13 3 41 9 13 3 1 3 3 11 0 9 3 13 3 3 0 9 1 13 3 0 13 1 13 0 0 38 3 38 38 1 3 13 0 38 23 0 1 13 3 38 0 7 0 3 1 0 1 13 1 13 1 13 13 0 1 9 1 1 1 3 9 3 9 13 0 0 1 1 1 1 13 1 1 0 1 3 3 38 11 38 13 0 3 3 3 0 3 1 1 13"
3,-0.7879,1.0000,"3 3 0 38 0 3 0 2 2 38 38 2 0 38 3 13 2 0 5 2 38 42 2 1 4 5 4 11 38 2 13 1 13 2 1 2 13 38 0 1 13 1 4 2 1 7 13 13 7 38 38 13 33 2 3 4 2 1 13 4 4 0 13 13 38 7 7 2 8 2 42 2 13 13 4 0 0 2 3 1 2 2 42 2 2 2 38 0 0 42 3 13 13 37 0 37 6 2 0 2 9 11 2 2 0 2 3 9 2 3 3 3 9 42 9 0 3 7 0 3 0 3 2 0 2 8 0 0 3 7 2 7 9 0 0 2 3 2 0 2 0 8 0 9 2 2 0 0 9 7 3 3 14 17 3 8 3 2 9 7 0 7 0 2 40 9 7 40 9 3 11 28 3 2 2 2 2 7 0 7 3 9 9 4 2 7 3 5 11 2 3 2 2 2 3 3 7 2 0 2 0 38 2 2 7 8 2 2 0 3 8 38 13 34 7 7 2 3 42 7 34 2 13 7 13 1 0 2 2 1 0 2 2 1 37 6 8 5 2 13 1 2 34 7 3 13 2 1 0 2 2 7 0 0 8 2 7 6 7 13 13 2 1 38 38 1 8 0 3 13 1 2 2 13 13 2 3 0 1 2 38 1 0 8 2 7 2 0 2 2 2 7 38 8 13 37 4 2 2 2 7 7 34 7 9 34 7 8 7 7 7 7 7 8 7 8 7 34 8 7 7 7 7 34 7 7 7 7 7 7 7 8 7 7 7 7 9 9 7 34 7 35 7 8 7 7 36 34 9 7 10 7 34 7 7 9 7 7 34 40 7 8 34 36 35 34 34 7 34 34 34 7 7 7 8 7 7 7 35 7 8 35 8 8 8 35 7 9 35 9 7 11 8 38 40 7 34 34 7 8 38 0 3 0 5 13 3 13 13 3 41 9 13 3 1 3 3 11 0 9 3 13 3 3 0 9 1 13 3 0 13 1 13 0 0 38 3 38 38 1 3 13 0 38 23 0 1 13 3 38 0 7 0 3 1 0 1 13 1 13 1 13 13 0 1 9 1 1 1 3 9 3 9 13 0 0 1 1 1 1 13 1 1 0 1 3 3 38 11 38 13 0 3 3 3 0 3 1 1 13"
4,-0.7746,1.0000,"3 3 0 38 0 3 0 2 2 38 38 2 0 38 3 13 2 0 5 2 38 42 2 1 4 5 4 11 38 2 13 1 13 2 1 2 13 38 0 1 13 1 4 2 1 7 13 13 7 38 38 13 33 2 3 4 2 1 13 4 4 0 13 13 38 7 7 2 8 2 42 2 13 13 4 0 0 2 3 1 2 2 42 2 2 2 38 0 0 42 3 13 13 37 0 37 6 2 0 2 9 11 2 2 0 2 3 9 2 3 3 3 9 42 9 0 3 7 0 3 0 3 2 0 2 8 0 0 3 7 2 7 9 0 0 2 3 2 0 2 0 8 0 9 2 2 0 0 9 7 3 3 14 17 3 8 3 2 9 7 0 7 0 2 40 9 7 40 9 3 11 28 3 2 2 2 2 7 0 7 3 9 9 4 2 7 3 5 11 2 3 2 2 2 3 3 7 2 0 2 0 38 2 2 7 8 2 2 0 3 8 38 13 34 7 7 2 3 42 7 34 2 13 7 13 1 0 2 2 1 0 2 2 1 37 6 8 5 2 13 1 2 34 7 3 13 2 1 0 2 2 7 0 0 8 2 7 6 7 13 13 2 1 38 38 1 8 0 3 13 1 2 2 13 13 2 3 0 1 2 38 1 0 8 2 7 2 0 2 2 2 7 38 8 13 37 4 2 2 2 34 34 34 3 9 34 7 36 9 34 34 34 11 34 9 34 34 34 9 34 9 35 34 34 34 34 34 9 35 36 41 9 34 35 9 40 9 9 35 34 36 35 36 8 34 34 36 34 9 35 10 7 34 35 34 9 34 34 34 40 36 9 34 36 35 34 34 34 34 34 34 9 36 7 34 34 35 34 35 34 10 35 34 7 34 35 9 9 35 9 9 11 34 38 40 9 34 34 34 34 38 0 3 0 5 13 3 13 13 3 41 9 13 3 1 3 3 11 0 9 3 13 3 3 0 9 1 13 3 0 13 1 13 0 0 38 3 38 38 1 3 13 0 38 23 0 1 13 3 38 0 7 0 3 1 0 1 13 1 13 1 13 13 0 1 9 1 1 1 3 9 3 9 13 0 0 1 1 1 1 13 1 1 0 1 3 3 38 11 38 13 0 3 3 3 0 3 1 1 13"
5,-0.7688,1.0000,"3 3 0 38 0 3 0 2 2 38 38 2 0 38 3 13 2 0 5 2 38 42 2 1 4 5 4 11 38 2 13 1 13 2 1 2 13 38 0 1 13 1 4 2 1 7 13 13 7 38 38 13 33 2 3 4 2 1 13 4 4 0 13 13 38 7 7 2 8 2 42 2 13 13 4 0 0 2 3 1 2 2 42 2 2 2 38 0 0 42 3 13 13 37 0 37 6 2 0 2 28 28 28 2 29 2 3 9 28 3 28 3 9 28 28 0 28 28 28 3 28 28 29 0 28 8 28 28 3 7 2 7 28 0 0 30 28 2 30 30 0 8 0 9 28 2 30 28 28 28 28 29 29 17 28 8 3 29 28 7 0 7 0 28 28 28 7 40 28 30 11 28 3 28 28 30 28 30 28 7 3 28 28 4 28 29 30 28 28 28 28 2 2 30 28 3 28 2 30 30 0 38 2 2 7 8 2 2 0 3 8 38 13 34 7 7 2 3 42 7 34 2 13 7 13 1 0 2 2 1 0 2 2 1 37 6 8 5 2 13 1 2 34 7 3 13 2 1 0 2 2 7 0 0 8 2 7 6 7 13 13 2 1 38 38 1 8 0 3 13 1 2 2 13 13 2 3 0 1 2 38 1 0 8 2 7 2 0 2 2 2 7 38 8 13 37 4 2 2 2 8 7 2 3 0 2 2 22 2 21 8 2 7 41 21 0 8 7 2 2 1 3 2 8 0 2 3 41 2 0 0 2 41 1 7 3 8 0 2 7 8 3 3 0 21 0 0 3 41 21 41 9 7 0 8 3 7 0 7 0 7 3 0 41 0 9 0 0 41 22 2 8 3 13 8 0 2 2 2 21 41 2 22 0 22 41 7 7 2 8 2 0 0 0 3 3 41 3 2 1 39 0 3 0 39 39 39 13 13 3 41 9 13 3 1 3 39 11 0 9 3 13 3 3 39 9 1 13 39 39 13 39 13 0 39 38 3 38 38 1 3 13 39 38 23 39 39 39 39 39 0 7 39 3 1 0 39 13 1 39 39 13 13 0 39 39 1 39 1 3 39 3 9 13 0 39 1 39 1 1 39 39 39 0 1 3 39 38 39 39 13 0 39 39 39 0 3 39 1 13"
6,-0.7438,0.9231,"39 39 39 39 39 26 39 39 39 39 39 25 39 26 5 26 39 39 39 39 39 39 39 39 39 39 25 39 25 25 25 42 25 25 39 39 39 39 39 39 39 25 25 27 25 25 25 25 24 39 27 26 39 39 33 39 39 39 1 26 39 39 25 39 39 25 26 25 3 39 39 39 25 25 39 39 39 25 5 39 39 39 26 39 4 39 26 39 26 39 39 3 25 39 39 39 39 39 26 39 9 11 2 2 42 2 3 9 2 3 3 3 9 42 9 0 3 7 0 3 0 3 2 0 2 8 0 0 3 7 2 7 9 0 0 2 3 2 0 2 0 8 0 9 2 2 0 0 9 7 3 3 14 17 3 8 3 2 9 7 0 7 0 2 40 9 7 40 9 3 11 28 3 2 2 2 2 7 0 7 3 9 9 4 2 7 3 5 11 2 3 2 2 2 3 3 7 2 0 2 23 24 23 23 23 23 3 0 24 13 23 3 13 0 23 3 23 0 23 23 23 23 41 23 23 0 23 12 23 23 24 23 39 41 23 23 19 23 23 39 23 38 39 23 24 39 24 12 23 23 0 0 23 41 41 23 23 23 0 39 41 23 39 23 23 23 24 23 23 39 23 41 23 23 23 0 39 23 23 39 39 24 23 23 12 0 23 23 13 23 23 0 24 0 41 23 23 23 0 39 8 7 2 3 0 2 2 22 2 21 8 2 7 41 21 0 8 7 2 2 1 3 2 8 0 2 3 41 2 0 0 2 41 1 7 3 8 0 2 7 8 3 3 0 21 0 0 3 41 21 41 9 7 0 8 3 7 0 7 0 7 3 0 41 0 9 0 0 41 22 2 8 3 13 8 0 2 2 2 21 41 2 22 0 22 41 7 7 2 8 2 0 0 0 42 3 41 3 2 1 2 23 9 24 2 9 23 23 24 9 9 23 23 2 2 17 2 40 2 23 2 2 9 2 24 2 23 2 10 9 42 2 12 23 2 2 11 2 40 12 2 40 10 18 23 2 2 2 40 2 27 2 2 23 40 23 2 6 17 11 2 11 40 2 42 2 40 2 10 11 42 2 11 23 2 24 5 10 11 6 10 40 2 2 2 23 23 2 11 40 2 42 9 2 40 2 11 2 12 11"
7,-0.7436,0.9167,"3 3 0 38 0 3 0 2 2 38 38 2 0 38 3 13 2 0 5 2 38 42 2 1 4 5 4 11 38 2 13 1 13 2 1 2 13 38 0 1 13 1 4 2 1 7 13 13 7 38 38 13 33 2 3 4 2 1 13 4 4 0 13 13 38 7 7 2 8 2 42 2 13 13 4 0 0 2 3 1 2 2 42 2 2 2 38 0 0 42 3 13 13 37 0 37 6 2 0 2 3 0 3 1 3 3 0 30 30 30 28 29 0 0 0 28 1 3 38 28 28 28 1 0 3 28 0 0 3 0 3 5 36 18 3 28 28 0 3 28 28 0 28 29 28 30 0 30 28 41 3 28 28 28 30 0 28 0 28 29 40 0 28 28 28 28 0 0 28 38 0 0 28 28 28 28 0 28 28 28 3 9 19 0 3 28 3 0 0 1 3 0 18 28 28 28 3 30 30 28 0 38 2 2 7 8 2 2 0 3 8 38 13 34 7 7 2 3 42 7 34 2 13 7 13 1 0 2 2 1 0 2 2 1 37 6 8 5 2 13 1 2 34 7 3 13 2 1 0 2 2 7 0 0 8 2 7 6 7 13 13 2 1 38 38 1 8 0 3 13 1 2 2 13 13 2 3 0 1 2 38 1 0 8 2 7 2 0 2 2 2 7 38 8 13 37 4 2 2 2 36 12 7 36 12 12 17 12 17 17 12 17 42 17 17 35 12 17 12 35 17 12 17 17 12 17 17 42 17 12 12 12 17 18 12 34 12 42 12 17 35 42 38 12 36 17 17 17 12 42 12 12 36 12 18 36 12 12 12 12 12 12 12 18 12 17 18 34 2 12 18 12 0 2 17 2 34 17 12 17 12 12 34 12 12 17 34 35 17 12 17 17 35 42 12 12 12 12 35 12 12 12 18 3 12 23 18 23 12 12 18 18 12 23 0 17 12 17 0 18 17 12 0 17 3 23 12 0 18 23 24 12 13 3 3 12 3 23 18 3 18 0 17 0 3 0 17 18 23 3 3 12 24 3 23 3 12 0 24 23 0 12 3 0 17 23 18 12 1 0 23 3 18 12 23 12 3 3 12 12 17 18 18 0 12 41 0 38 12 0 23 23 3 18 3 12 12 12 1 0"
8,-0.7232,0.8966,"3 3 0 38 0 3 0 2 2 38 38 2 0 38 3 13 2 0 5 2 38 42 2 1 4 5 4 11 38 2 13 1 13 2 1 2 13 38 0 1 13 1 4 2 1 7 13 13 7 38 38 13 33 2 3 4 2 1 13 4 4 0 13 13 38 7 7 2 8 2 42 2 13 13 4 0 0 2 3 1 2 2 42 2 2 2 38 0 0 42 3 13 13 37 0 37 6 2 0 2 11 9 9 9 9 3 9 9 10 9 28 11 0 0 0 11 9 3 38 28 28 28 9 0 9 11 11 0 3 9 3 5 36 9 3 10 11 0 3 28 9 9 28 9 28 30 9 9 28 9 3 28 9 28 30 9 9 10 9 29 11 0 11 28 10 9 9 9 28 11 0 0 9 9 28 28 0 9 28 28 3 9 9 9 3 28 3 0 11 1 9 0 9 9 28 10 9 9 9 10 0 3 28 30 30 19 0 28 28 28 28 19 28 28 28 28 28 30 28 1 41 28 28 28 0 28 28 0 28 15 3 36 28 38 28 28 17 28 1 28 3 28 28 0 28 28 41 38 0 28 28 19 28 28 0 28 28 38 37 3 28 29 28 28 20 28 28 28 28 0 28 28 30 13 28 3 28 0 3 20 30 28 30 3 30 30 3 30 28 27 28 28 28 38 0 28 3 28 19 0 8 7 2 3 0 2 2 22 2 21 8 2 7 41 21 0 8 7 2 2 1 3 2 8 0 2 3 41 2 0 0 2 41 1 7 3 8 0 2 7 8 3 3 0 21 0 0 3 41 21 41 9 7 0 8 3 7 0 7 0 7 3 0 41 0 9 0 0 41 22 2 8 3 13 8 0 2 2 2 21 41 2 22 0 22 41 7 7 2 8 2 0 0 0 3 3 41 3 2 1 2 2 2 12 7 8 8 2 12 2 34 8 7 13 1 2 2 2 38 34 0 13 2 0 12 2 34 42 0 7 42 12 0 2 1 7 2 7 8 13 1 8 8 0 7 1 2 7 42 38 38 0 2 0 7 1 12 2 7 8 1 3 7 2 1 5 2 38 13 2 8 13 2 7 7 3 2 8 7 7 6 13 8 2 2 12 42 38 8 8 1 3 2 13 7 0 3 8 7 1"
9,-0.6960,0.8696,"3 3 0 38 0 3 0 2 2 38 38 2 0 38 3 13 2 0 5 2 38 42 2 1 4 5 4 11 38 2 13 1 13 2 1 2 13 38 0 1 13 1 4 2 1 7 13 13 7 38 38 13 33 2 3 4 2 1 13 4 4 0 13 13 38 7 7 2 8 2 42 2 13 13 4 0 0 2 3 1 2 2 42 2 2 2 38 0 0 42 3 13 13 37 0 37 6 2 0 2 3 0 3 1 3 3 0 30 30 30 28 29 0 0 0 28 1 3 38 28 28 28 1 0 3 28 0 0 3 0 3 5 36 18 3 28 28 0 3 28 28 0 28 29 28 30 0 30 28 41 3 28 28 28 30 0 28 0 28 29 40 0 28 28 28 28 0 0 28 38 0 0 28 28 28 28 0 28 28 28 3 9 19 0 3 28 3 0 0 1 3 0 18 28 28 28 3 30 30 28 0 38 2 2 7 8 2 2 0 3 8 38 13 34 7 7 2 3 42 7 34 2 13 7 13 1 0 2 2 1 0 2 2 1 37 6 8 5 2 13 1 2 34 7 3 13 2 1 0 2 2 7 0 0 8 2 7 6 7 13 13 2 1 38 38 1 8 0 3 13 1 2 2 13 13 2 3 0 1 2 38 1 0 8 2 7 2 0 2 2 2 7 38 8 13 37 4 2 2 2 18 42 7 17 1 17 17 17 17 17 17 17 42 17 17 17 18 17 42 42 17 18 17 17 17 17 17 42 17 8 17 17 17 18 18 17 17 42 17 17 6 42 38 16 18 17 17 17 17 42 18 2 17 17 18 6 37 17 17 17 2 2 4 18 17 17 18 17 2 42 18 17 0 2 17 2 17 17 17 17 7 17 17 42 4 17 17 7 17 17 17 17 37 42 17 18 12 42 17 8 12 12 18 12 12 23 18 23 12 12 18 18 12 23 12 17 12 17 0 18 17 12 23 17 0 23 12 13 18 23 24 12 13 23 17 12 23 23 18 12 18 18 17 18 12 0 17 18 23 17 0 12 24 23 23 23 12 17 24 23 12 12 12 0 17 23 18 12 1 12 23 3 18 12 23 12 12 18 12 12 17 18 18 23 12 18 23 38 12 23 23 23 3 18 3 12 12 12 1 12"
10,-0.6923,0.8788,"39 0 3 0 39 41 0 39 39 0 3 3 39 26 5 26 39 0 39 39 39 0 39 39 39 39 25 39 25 25 25 3 0 25 39 39 39 0 39 0 3 25 25 27 25 25 3 25 3 39 27 3 39 39 33 39 39 39 1 26 39 39 25 39 3 25 3 25 3 0 39 3 25 25 39 39 39 3 0 0 39 39 26 0 0 3 26 0 0 39 0 3 25 39 39 39 39 3 0 39 3 38 2 42 6 2 42 42 1 6 3 42 0 37 13 0 2 4 4 2 13 1 38 42 42 6 38 3 38 13 42 1 2 2 42 42 38 42 2 38 13 0 42 0 1 0 37 37 13 1 13 42 42 13 1 2 1 13 42 3 42 38 3 0 37 3 1 0 2 38 38 42 2 0 13 3 42 38 9 3 0 3 42 0 1 1 13 13 3 38 13 42 42 3 37 3 13 13 0 38 39 17 0 39 39 39 3 0 39 13 0 3 39 39 3 3 39 0 3 39 39 39 41 39 17 0 39 39 39 39 39 3 39 41 0 41 19 38 39 39 3 39 39 0 39 39 0 39 39 0 0 0 39 41 41 3 39 41 0 39 41 39 39 3 1 0 3 41 42 39 3 41 39 18 39 0 39 39 41 39 39 17 39 39 39 0 0 38 39 39 39 0 39 0 41 5 39 39 0 39 5 3 2 4 12 12 2 14 6 5 2 12 37 2 0 12 30 5 38 38 25 25 3 1 2 37 4 4 30 25 25 29 13 25 38 25 25 2 5 25 30 3 25 13 12 4 26 4 1 25 2 2 1 25 5 29 25 5 1 25 6 0 38 0 2 4 26 37 25 25 12 30 6 12 12 6 6 25 25 38 4 25 5 27 2 13 37 37 37 2 38 12 4 25 13 6 4 25 25 25 25 39 2 25 39 25 39 39 25 39 4 39 39 39 39 39 39 39 39 39 0 39 39 25 27 39 25 42 39 39 39 39 39 39 25 39 39 39 42 42 39 25 27 25 12 25 39 26 25 39 39 29 39 39 25 39 42 30 39 42 39 25 39 27 39 39 39 39 39 25 25 39 42 39 42 39 25 25 42 39 39 39 25 25 25 39 25 39 28 39 42 39 39 39 39 26 39 39 39 39"
