rank,fitness,winrate,genome
1,-0.8571,1.0000,"39 1 34 8 12 20 12 39 39 8 34 39 39 7 7 39 7 7 7 8 7 39 12 7 39 7 7 7 8 39 7 39 39 0 7 7 39 7 7 20 39 7 7 39 39 19 38 7 39 39 7 39 7 12 39 39 34 39 7 19 39 7 39 7 7 7 39 39 39 7 7 7 39 39 39 7 12 39 20 39 39 7 7 7 8 39 8 38 39 7 3 7 39 39 39 7 12 8 39 8 21 21 22 9 21 2 21 21 22 21 21 21 22 21 21 2 41 21 21 21 21 2 21 21 21 21 11 21 9 2 21 9 8 2 21 21 2 22 7 21 21 21 9 21 21 2 21 22 21 21 41 7 8 8 9 9 21 2 22 41 21 21 9 22 21 9 22 22 21 13 21 41 21 22 21 21 2 22 21 21 21 21 21 2 21 21 21 21 8 21 21 21 21 21 8 22 9 21 21 21 28 17 28 17 17 28 28 15 14 28 28 28 28 30 17 28 28 34 28 28 28 30 29 28 15 17 28 28 28 19 28 28 39 17 19 15 30 39 28 28 28 12 28 19 28 39 30 19 17 28 15 28 28 14 29 28 19 28 30 30 28 28 19 28 28 28 30 19 28 30 29 15 28 28 28 28 28 28 28 29 28 29 20 28 28 29 17 28 39 28 28 30 28 12 15 15 28 30 30 28 25 12 25 16 25 25 16 25 25 16 12 25 17 25 25 25 12 25 16 25 25 16 12 25 16 25 26 25 0 25 25 25 25 25 25 26 25 27 25 26 16 16 16 16 25 16 26 25 12 25 12 27 25 25 25 16 12 12 16 16 25 13 25 16 16 16 25 25 25 16 25 25 16 16 25 16 39 25 12 16 12 25 25 25 25 25 25 25 25 16 16 25 12 12 25 12 16 25 25 25 1 1 0 21 22 1 22 13 21 3 21 21 1 21 3 21 38 21 34 21 21 9 38 1 21 1 34 34 38 21 21 22 21 22 11 1 21 21 3 3 21 21 25 22 21 9 0 21 21 21 21 34 3 36 22 22 34 1 21 21 1 21 13 21 21 22 21 22 21 36 21 13 21 21 22 21 22 1 13 22 21 0 21 21 21 1 21 21 21 22 21 11 21 21 22 35 21 21 21 22"
2,-0.8432,1.0000,"25 25 25 16 27 25 6 16 25 4 25 27 19 27 25 27 20 25 5 12 25 25 27 25 4 25 26 5 25 25 12 25 16 4 12 25 5 25 37 2 25 28 27 25 25 19 6 26 25 25 16 25 25 12 25 20 25 12 25 25 29 20 25 25 26 25 25 6 25 25 25 25 25 2 25 16 25 30 25 12 25 25 2 25 25 16 25 20 25 2 25 12 37 25 27 27 28 27 27 25 38 7 25 25 25 12 13 25 25 25 39 25 26 25 26 3 38 25 25 26 25 12 13 25 25 25 39 26 13 26 13 12 25 25 1 38 26 38 3 12 25 25 3 3 38 25 25 25 26 13 0 25 25 25 39 25 25 2 38 27 25 27 25 25 26 25 25 7 9 3 25 25 38 25 13 25 26 25 25 39 38 25 39 25 0 26 25 25 26 26 1 38 25 25 24 38 27 9 39 3 11 2 2 9 8 2 10 9 9 11 9 9 13 2 3 9 7 0 1 9 9 9 9 9 2 8 9 8 9 0 9 9 9 11 9 10 9 9 38 9 9 11 9 9 25 11 0 2 9 10 9 3 9 10 38 9 11 7 9 9 0 9 1 9 8 9 1 11 2 9 9 9 9 7 25 9 9 9 2 9 9 2 3 9 2 11 9 9 11 9 9 2 11 9 9 8 9 7 11 9 11 3 9 11 9 9 10 9 9 36 9 10 3 1 9 11 11 9 1 35 9 3 9 9 3 0 9 9 38 3 3 9 34 9 9 0 9 13 9 34 9 35 38 9 9 11 9 1 3 0 10 10 10 10 9 9 9 9 10 9 9 37 11 9 9 9 35 9 3 9 11 9 11 38 34 9 34 13 9 9 42 35 11 37 0 9 2 38 11 34 9 9 9 9 9 9 34 11 1 10 9 9 11 10 9 10 9 11 9 9 9 9 9 11 9 9 9 25 9 9 9 11 9 9 11 9 9 11 25 9 25 9 10 10 25 9 11 9 25 9 9 11 9 9 9 25 9 9 11 25 11 9 28 23 23 9 9 9 16 9 9 9 26 9 9 9 9 9 9 11 6 9 9 9 10 9 9 11 9 10 9 9 9 2 9 10 10 9 11 9 37 9 9 9 9 9 9 9 9 9"
3,-0.8329,1.0000,"25 6 27 25 17 25 6 17 26 25 27 27 18 25 27 25 25 25 17 27 37 5 25 26 17 17 25 25 4 39 18 25 25 25 25 18 28 25 25 27 17 26 37 6 12 25 25 6 25 25 26 21 12 39 25 25 17 6 25 17 25 25 27 25 25 25 26 2 25 25 29 17 2 25 2 6 25 25 25 6 22 17 25 26 25 25 12 25 25 12 25 25 5 21 25 25 25 26 25 25 16 25 26 25 25 25 16 25 12 25 25 27 26 16 25 27 27 5 42 26 25 21 42 25 26 26 1 25 42 31 4 16 16 42 12 25 42 25 42 25 25 25 21 27 25 25 25 25 25 26 26 42 42 6 25 25 25 25 25 25 25 25 27 25 27 9 25 42 25 25 42 25 42 25 25 25 42 25 16 26 25 25 38 26 25 25 25 25 42 4 6 2 12 25 42 25 25 27 25 25 2 2 4 5 2 2 2 9 9 37 9 9 2 2 3 9 7 0 4 2 2 9 9 9 2 8 9 8 9 2 4 37 9 11 2 2 2 2 38 9 9 11 2 9 37 2 2 2 2 10 9 3 9 37 38 2 2 2 9 2 0 2 2 37 8 2 2 11 2 9 9 9 9 7 2 2 2 2 4 37 2 2 3 2 2 2 2 4 2 9 4 2 5 2 2 2 4 7 2 2 18 2 2 37 5 2 2 37 0 6 2 7 0 2 7 5 2 6 2 2 2 7 2 2 2 3 2 2 0 2 2 2 6 2 2 2 2 2 3 7 2 2 2 0 2 2 17 4 7 2 6 8 2 2 2 6 2 7 6 2 2 2 2 2 7 2 3 17 2 12 37 0 0 2 2 2 2 8 2 4 6 8 6 2 2 2 17 41 37 2 3 2 2 2 7 37 2 6 2 2 17 17 18 42 18 18 17 42 14 42 17 17 17 19 37 17 17 17 17 17 41 17 17 17 17 19 17 17 42 17 0 17 42 5 42 18 17 42 42 42 17 6 17 17 17 6 17 18 17 17 17 6 42 17 18 17 17 17 17 19 18 17 17 18 4 2 17 18 18 19 18 2 17 17 17 18 42 17 18 17 19 18 17 14 41 17 17 17 17 17 37 19 37 17 17 15 17 5 0 18"
4,-0.8259,0.9524,"39 1 34 8 12 20 12 39 39 8 34 39 39 7 7 39 7 7 7 8 7 39 12 7 39 7 7 7 8 39 7 39 39 0 7 7 39 7 7 20 39 7 7 39 39 19 38 7 39 39 7 39 7 12 39 39 34 39 7 19 39 7 39 7 7 7 39 39 39 7 7 7 39 39 39 7 12 39 20 39 39 7 7 7 8 39 8 38 39 7 3 7 39 39 39 7 12 8 39 8 38 7 25 25 25 12 13 25 25 25 39 25 26 25 26 3 38 25 25 26 25 12 13 25 25 25 39 26 13 26 13 12 25 25 1 38 26 38 3 12 25 25 3 3 38 25 25 25 26 13 0 25 25 25 39 25 25 2 38 27 25 27 25 25 26 25 25 7 9 3 25 25 38 25 13 25 26 25 25 39 38 25 39 25 0 26 25 25 26 26 1 38 25 25 24 38 27 9 39 3 39 28 39 28 7 28 6 7 39 30 39 28 30 28 28 5 30 8 30 4 2 9 7 39 39 29 39 39 39 28 37 29 39 39 28 6 39 39 39 28 7 39 39 40 28 39 39 29 8 28 7 39 2 30 28 39 30 28 28 39 39 7 7 28 28 2 39 39 7 39 30 28 8 39 39 28 28 2 39 7 28 30 39 6 28 6 28 37 29 39 39 28 7 28 28 28 30 28 28 7 11 3 34 35 36 9 10 34 35 34 35 34 3 34 34 11 34 36 1 34 9 34 34 34 3 36 34 9 35 34 3 9 35 36 9 0 9 34 34 36 34 35 38 34 34 36 34 34 36 0 34 34 10 10 34 34 9 9 36 9 34 37 11 35 34 34 34 34 34 34 34 34 11 38 34 34 35 13 35 34 34 35 11 37 0 9 2 34 11 35 34 9 36 9 9 9 34 34 36 35 7 38 13 1 34 34 0 3 7 7 7 8 36 7 7 7 7 7 13 34 38 7 34 13 8 7 1 7 34 7 7 7 34 34 0 0 7 8 3 7 13 3 7 13 13 7 7 8 7 7 7 3 7 1 3 7 0 7 3 38 3 7 7 34 38 34 34 7 7 7 7 3 7 8 0 31 7 8 0 8 7 8 20 7 34 7 13 7 7 7 35 34 34 8 7 0 7 13 7 0"
5,-0.8207,0.9524,"25 25 25 16 27 25 6 16 25 4 25 27 19 27 25 27 20 25 5 12 25 25 27 25 4 25 26 5 25 25 12 25 16 4 12 25 5 25 37 2 25 28 27 25 25 19 6 26 25 25 16 25 25 12 25 20 25 12 25 25 29 20 25 25 26 25 25 6 25 25 25 25 25 2 25 16 25 30 25 12 25 25 2 25 25 16 25 20 25 2 25 12 37 25 27 27 28 27 27 25 21 21 22 9 21 2 21 21 22 21 21 21 22 21 21 2 41 21 21 21 21 2 21 21 21 21 11 21 9 2 21 9 8 2 21 21 2 22 7 21 21 21 9 21 21 2 21 22 21 21 41 7 8 8 9 9 21 2 22 41 21 21 9 22 21 9 22 22 21 13 21 41 21 22 21 21 2 22 21 21 21 21 21 2 21 21 21 21 8 21 21 21 21 21 8 22 9 21 21 21 14 39 39 17 39 39 39 15 39 39 14 30 39 39 39 39 15 34 39 28 39 39 17 28 15 17 39 29 14 19 39 15 39 17 19 39 39 39 28 19 39 39 12 39 28 39 28 39 17 39 15 39 39 14 29 30 39 39 39 39 14 39 39 15 19 39 39 19 39 39 29 15 39 39 39 39 19 17 19 39 39 39 20 28 30 39 39 39 39 39 15 30 39 12 39 15 39 17 39 39 25 12 25 16 25 25 16 25 25 16 12 25 17 25 25 25 12 25 16 25 25 16 12 25 16 25 26 25 0 25 25 25 25 25 25 26 25 27 25 26 16 16 16 16 25 16 26 25 12 25 12 27 25 25 25 16 12 12 16 16 25 13 25 16 16 16 25 25 25 16 25 25 16 16 25 16 39 25 12 16 12 25 25 25 25 25 25 25 25 16 16 25 12 12 25 12 16 25 25 25 1 1 0 21 22 1 22 13 21 3 21 21 1 21 3 21 38 21 34 21 21 9 38 1 21 1 34 34 38 21 21 22 21 22 11 1 21 21 3 3 21 21 25 22 21 9 0 21 21 21 21 34 3 36 22 22 34 1 21 21 1 21 13 21 21 22 21 22 21 36 21 13 21 21 22 21 22 1 13 22 21 0 21 21 21 1 21 21 21 22 21 11 21 21 22 35 21 21 21 22"
6,-0.8170,1.0000,"1 0 34 23 3 41 1 34 35 13 3 3 0 38 38 34 3 1 41 1 34 36 35 34 36 38 3 3 41 41 35 3 41 1 1 35 13 41 0 34 13 23 13 1 24 34 41 1 0 41 34 3 34 35 38 3 38 0 34 13 1 1 1 23 41 38 34 1 3 34 1 34 24 35 34 38 34 41 36 35 1 38 41 36 23 41 38 13 34 12 0 0 23 34 41 38 34 35 3 34 25 25 27 4 25 26 25 26 39 25 27 25 39 23 25 26 25 25 25 25 4 39 25 25 26 39 25 27 27 39 26 12 25 25 25 25 25 25 39 12 4 26 25 25 26 39 39 25 27 39 39 26 2 39 25 25 25 25 26 25 2 25 39 25 27 27 39 25 25 4 25 25 25 25 25 27 26 39 2 2 25 27 27 8 0 25 6 12 39 23 12 26 5 25 25 25 39 2 39 4 5 28 13 13 42 6 13 3 42 6 42 37 3 42 38 13 13 42 42 1 34 35 0 1 5 4 42 42 34 0 5 34 42 42 42 34 4 37 42 38 3 13 38 5 13 38 5 0 6 42 13 13 3 36 13 42 42 9 9 42 37 42 37 4 36 42 38 13 2 5 38 42 3 5 5 42 42 2 38 38 13 34 38 1 42 3 38 0 37 42 34 6 42 13 34 42 38 1 0 13 25 12 25 16 25 25 16 25 25 16 12 25 17 25 25 25 12 25 16 25 25 16 12 25 16 25 26 25 0 25 25 25 25 25 25 26 25 27 25 26 16 16 16 16 25 16 26 25 12 25 12 27 25 25 25 16 12 12 16 16 25 13 25 16 16 16 25 25 25 16 25 25 16 16 25 16 39 25 12 16 12 25 25 25 25 25 25 25 25 16 16 25 12 12 25 12 16 25 25 25 1 1 0 21 22 1 22 13 21 3 21 21 1 21 3 21 38 21 34 21 21 9 38 1 21 1 34 34 38 21 21 22 21 22 11 1 21 21 3 3 21 21 25 22 21 9 0 21 21 21 21 34 3 36 22 22 34 1 21 21 1 21 13 21 21 22 21 22 21 36 21 13 21 21 22 21 22 1 13 22 21 0 21 21 21 1 21 21 21 22 21 11 21 21 22 35 21 21 21 22"
7,-0.8074,0.9500,"39 1 34 8 12 20 12 39 39 8 34 39 39 7 7 39 7 7 7 8 7 39 12 7 39 7 7 7 8 39 7 39 39 0 7 7 39 7 7 20 39 7 7 39 39 19 38 7 39 39 7 39 7 12 39 39 34 39 7 19 39 7 39 7 7 7 39 39 39 7 7 7 39 39 39 7 12 39 20 39 39 7 7 7 8 39 8 38 39 7 3 7 39 39 39 7 12 8 39 8 2 2 2 2 19 19 23 2 2 11 2 2 2 19 2 19 2 2 19 2 2 19 5 2 2 20 19 24 6 37 2 2 19 4 2 2 2 6 2 2 19 2 2 2 19 5 2 19 19 2 2 20 11 2 4 2 5 2 2 19 2 2 20 2 2 2 2 2 2 2 20 2 37 20 5 19 6 21 6 19 2 6 2 2 2 10 2 2 6 19 19 2 19 2 23 19 37 2 4 2 39 28 39 28 7 28 6 7 39 30 39 28 30 28 28 5 30 8 30 4 2 9 7 39 39 29 39 39 39 28 37 29 39 39 28 6 39 39 39 28 7 39 39 40 28 39 39 29 8 28 7 39 2 30 28 39 30 28 28 39 39 7 7 28 28 2 39 39 7 39 30 28 8 39 39 28 28 2 39 7 28 30 39 6 28 6 28 37 29 39 39 28 7 28 28 28 30 28 28 7 25 25 1 25 39 1 25 39 1 26 25 27 26 38 25 13 39 25 25 26 1 3 25 25 25 26 13 25 27 25 25 25 38 39 25 26 25 27 25 38 38 25 25 26 27 25 25 26 25 26 26 39 25 25 39 25 25 26 25 25 26 27 3 3 39 25 1 25 38 39 39 0 25 39 25 27 25 13 13 13 3 25 38 25 25 1 26 39 26 25 25 25 25 39 18 13 6 1 25 25 0 7 7 1 34 34 0 7 38 1 7 8 36 38 38 38 7 7 7 34 38 7 13 7 42 7 1 3 34 13 7 0 1 34 34 7 7 8 13 13 7 7 7 7 0 13 7 8 3 13 38 7 7 7 8 7 8 7 34 7 19 7 7 34 13 34 34 7 13 0 7 38 7 1 7 1 7 8 7 8 7 3 20 7 13 38 38 7 7 0 35 0 34 8 1 7 7 7 7 7"
8,-0.8071,1.0000,"25 25 25 16 27 25 6 16 25 4 25 27 19 27 25 27 20 25 5 12 25 25 27 25 4 25 26 5 25 25 12 25 16 4 12 25 5 25 37 2 25 28 27 25 25 19 6 26 25 25 16 25 25 12 25 20 25 12 25 25 29 20 25 25 26 25 25 6 25 25 25 25 25 2 25 16 25 30 25 12 25 25 2 25 25 16 25 20 25 2 25 12 37 25 27 27 28 27 27 25 21 21 22 9 21 2 21 21 22 21 21 21 22 21 21 2 41 21 21 21 21 2 21 21 21 21 11 21 9 2 21 9 8 2 21 21 2 22 7 21 21 21 9 21 21 2 21 22 21 21 41 7 8 8 9 9 21 2 22 41 21 21 9 22 21 9 22 22 21 13 21 41 21 22 21 21 2 22 21 21 21 21 21 2 21 21 21 21 8 21 21 21 21 21 8 22 9 21 21 21 14 39 39 17 39 39 39 15 39 39 14 30 39 39 39 39 15 34 39 28 39 39 17 28 15 17 39 29 14 19 39 15 39 17 19 39 39 39 28 19 39 39 12 39 28 39 28 39 17 39 15 39 39 14 29 30 39 39 39 39 14 39 39 15 19 39 39 19 39 39 29 15 39 39 39 39 19 17 19 39 39 39 20 28 30 39 39 39 39 39 15 30 39 12 39 15 39 17 39 39 25 12 25 16 25 25 16 25 25 16 12 25 17 25 25 25 12 25 16 25 25 16 12 25 16 25 26 25 0 25 25 25 25 25 25 26 25 27 25 26 16 16 16 16 25 16 26 25 12 25 12 27 25 25 25 16 12 12 16 16 25 13 25 16 16 16 25 25 25 16 25 25 16 16 25 16 39 25 12 16 12 25 25 25 25 25 25 25 25 16 16 25 12 12 25 12 16 25 25 25 9 9 16 11 14 9 23 11 12 12 9 9 16 11 11 12 9 12 9 16 9 9 12 9 9 9 19 11 9 9 9 9 9 23 20 9 9 19 34 19 9 11 9 20 9 20 23 9 20 34 9 19 19 20 9 20 9 22 9 19 19 12 9 9 12 9 9 9 10 12 9 11 19 9 9 19 10 19 10 12 12 9 11 19 19 10 16 10 9 9 12 9 9 10 9 9 23 11 9 9"
9,-0.7955,0.9545,"34 34 2 34 34 34 34 17 34 35 4 21 34 12 18 17 34 17 17 12 37 35 34 34 17 17 6 39 4 39 34 18 34 37 34 34 34 28 22 36 36 34 37 34 12 34 34 36 2 21 34 21 34 39 12 34 34 35 34 34 34 34 34 35 18 4 36 2 34 34 29 17 2 39 2 34 4 34 17 6 34 17 34 34 17 21 35 34 18 34 2 17 5 21 35 34 34 34 17 17 16 25 26 25 25 25 16 25 12 25 25 27 26 16 25 27 27 5 42 26 25 21 42 25 26 26 1 25 42 31 4 16 16 42 12 25 42 25 42 25 25 25 21 27 25 25 25 25 25 26 26 42 42 6 25 25 25 25 25 25 25 25 27 25 27 9 25 42 25 25 42 25 42 25 25 25 42 25 16 26 25 25 38 26 25 25 25 25 42 4 6 2 12 25 42 25 25 27 25 25 38 13 4 0 13 2 0 0 13 37 9 9 2 2 38 9 7 0 4 2 2 0 0 9 3 13 9 13 9 2 0 37 9 11 2 2 1 2 38 9 9 11 3 38 1 0 2 2 2 3 38 3 9 3 38 2 2 2 9 1 13 2 2 37 8 38 2 11 3 38 9 9 13 7 2 2 2 2 13 37 2 2 13 2 3 13 2 13 2 3 0 2 1 2 2 38 4 7 2 2 18 2 19 19 5 2 2 12 12 6 2 7 19 19 7 5 2 6 12 12 20 7 20 12 2 12 12 2 12 12 20 12 6 12 19 2 12 12 12 12 2 2 2 12 12 12 20 4 7 12 6 19 19 2 2 6 12 7 19 2 2 12 2 12 12 20 12 12 2 20 37 12 0 2 2 12 12 8 20 12 12 19 12 12 12 12 20 12 37 12 3 20 2 12 7 12 2 6 12 2 17 17 18 42 18 18 17 42 14 42 17 17 17 19 37 17 17 17 17 17 41 17 17 17 17 19 17 17 42 17 0 17 42 5 42 18 17 42 42 42 17 6 17 17 17 6 17 18 17 17 17 6 42 17 18 17 17 17 17 19 18 17 17 18 4 2 17 18 18 19 18 2 17 17 17 18 42 17 18 17 19 18 17 14 41 17 17 17 17 17 37 19 37 17 17 15 17 5 0 18"
10,-0.7870,0.9545,"40 40 40 16 27 40 6 16 40 4 25 27 19 27 25 27 20 25 40 40 40 25 40 40 4 40 40 5 40 25 40 25 40 4 40 40 40 40 37 2 40 40 40 25 40 19 40 26 25 25 40 25 25 12 25 40 25 40 40 25 29 20 25 25 26 25 40 6 40 40 25 25 25 40 40 16 40 30 40 12 40 40 2 40 40 16 25 20 25 2 25 12 37 40 27 27 40 27 27 25 16 25 26 25 25 25 16 25 12 25 25 27 26 16 25 27 27 5 42 26 25 21 42 25 26 26 1 25 42 31 4 16 16 42 12 25 42 25 42 25 25 25 21 27 25 25 25 25 25 26 26 42 42 6 25 25 25 25 25 25 25 25 27 25 27 9 25 42 25 25 42 25 42 25 25 25 42 25 16 26 25 25 38 26 25 25 25 25 42 4 6 2 12 25 42 25 25 27 25 25 11 2 2 9 8 2 10 9 9 11 9 9 13 2 3 9 7 0 1 9 9 9 9 9 2 8 9 8 9 0 9 9 9 11 9 10 9 9 38 9 9 11 9 9 25 11 0 2 9 10 9 3 9 10 38 9 11 7 9 9 0 9 1 9 8 9 1 11 2 9 9 9 9 7 25 9 9 9 2 9 9 2 3 9 2 11 9 9 11 9 9 2 11 9 9 8 9 7 11 9 26 17 25 25 17 25 25 20 12 26 17 12 18 25 18 17 18 24 25 27 25 27 26 26 18 12 26 17 25 17 25 17 25 26 17 25 17 26 25 25 17 25 17 25 17 25 25 12 17 17 17 25 26 17 17 18 26 25 18 25 25 17 25 17 17 17 17 17 17 25 17 18 27 25 26 27 18 24 18 25 12 25 18 27 25 17 17 17 25 27 25 25 17 17 25 25 25 12 26 25 9 9 11 10 9 10 9 11 9 9 9 9 9 11 9 9 9 25 9 9 9 11 9 9 11 9 9 11 25 9 25 9 10 10 25 9 11 9 25 9 9 11 9 9 9 25 9 9 11 25 11 9 28 23 23 9 9 9 16 9 9 9 26 9 9 9 9 9 9 11 6 9 9 9 10 9 9 11 9 10 9 9 9 2 9 10 10 9 11 9 37 9 9 9 9 9 9 9 9 9"
