# seed=28
# instance=BALANCED
# popSize=100
# generations=100
# crossover=BlockUniform(p=0.25)
# mutation=p0=0.05,pMin=0.002,alpha=0.95
# tournamentK=3
# elitism=2
# lambda_similarity=0.3
# fights_per_team=10
# anchors=5
gen,changes,best_fitness,best_winrate,best_similarity,avg_fitness,worst_fitness,best_genome
0,1,-0.5923,0.8667,0.9147,-0.1587,0.2327,"2 5 28 30 1 37 13 32 2 17 28 0 37 0 31 14 35 10 37 26 6 3 18 14 12 17 3 42 9 41 12 9 28 39 37 30 18 16 32 13 32 15 9 30 41 29 14 18 9 39 36 9 14 21 2 9 27 1 26 28 24 27 40 18 1 3 24 23 25 15 11 24 6 16 29 17 10 7 34 21 4 1 4 40 21 1 39 0 39 23 26 24 4 40 20 26 23 4 31 2 32 18 17 9 27 42 24 3 31 37 10 39 9 30 16 17 1 29 28 7 16 42 11 27 18 3 7 27 33 14 15 7 15 15 17 10 35 42 35 38 1 38 30 6 22 5 42 21 35 30 6 24 12 4 0 16 24 39 39 19 15 40 25 16 16 35 29 25 17 29 30 34 9 24 14 38 16 4 18 2 26 26 27 18 7 18 17 21 13 35 40 32 6 30 2 6 39 32 0 41 13 19 13 7 36 22 5 23 16 32 2 14 40 19 4 1 9 20 5 3 31 2 29 15 10 6 17 28 39 33 24 39 31 18 29 1 23 12 32 26 32 19 7 29 29 19 42 8 26 36 40 7 20 19 9 4 33 24 23 19 16 2 0 30 14 5 31 39 23 32 23 14 6 18 24 36 39 21 36 26 32 10 2 13 13 12 13 38 14 17 2 12 32 29 2 5 40 5 20 24 30 2 31 39 23 24 12 17 3 1 17 38 9 42 6 7 28 42 14 28 4 42 16 10 23 32 30 6 24 10 31 16 36 15 22 2 31 20 1 14 19 14 35 18 36 4 26 37 24 37 0 4 3 2 7 4 27 17 32 24 38 14 33 14 3 21 2 5 33 33 41 20 19 26 11 1 2 10 13 16 2 27 3 42 3 21 27 10 11 37 38 8 4 11 22 10 2 30 29 40 2 19 8 36 33 15 3 0 13 29 13 37 25 13 7 35 4 15 15 25 3 34 14 34 31 28 6 27 40 10 21 21 17 3 28 13 42 18 22 17 5 37 42 29 10 6 20 37 38 12 18 23 0 33 11 36 1 11 19 37 14 33 28 39 8 17 42 34 24 14 11 33 13 37 30 10 40 39 25 22 42 12 34 1 1 29 42 35 2 30 11 20 39 33 24 2 33 17 2 15"
1,2,-0.8348,1.0000,0.5507,-0.2085,0.2371,"9 2 9 31 9 3 31 2 2 2 0 2 32 3 5 3 31 31 0 3 31 31 3 6 33 3 31 2 31 32 0 9 12 3 0 6 0 0 31 0 31 0 31 31 3 31 32 31 31 3 0 5 31 31 33 3 4 3 31 31 33 0 0 0 31 3 3 2 4 5 3 2 8 10 3 3 33 4 0 33 3 3 5 3 41 31 3 5 31 31 0 31 3 0 32 2 31 32 2 2 5 40 34 39 39 22 34 39 39 36 40 39 21 6 39 2 39 36 6 40 40 40 20 36 39 40 39 34 39 39 36 39 35 34 22 39 39 39 34 39 40 39 39 39 39 40 39 32 40 40 12 39 40 12 42 34 39 2 21 40 35 34 40 5 34 39 39 40 6 40 36 34 34 40 39 3 5 39 34 39 39 18 40 12 40 34 37 40 40 36 40 12 34 39 39 39 2 39 4 39 28 28 20 19 33 37 31 32 12 28 12 12 37 28 20 12 7 12 12 22 30 3 12 7 7 7 12 19 12 20 19 12 28 12 30 12 19 12 12 29 12 20 20 28 19 28 32 7 7 19 12 20 12 12 12 12 28 20 30 28 20 12 12 19 12 20 12 5 20 12 8 7 12 12 7 30 7 12 12 12 12 29 7 30 20 12 19 12 20 12 20 12 20 19 12 7 28 19 12 12 25 12 31 32 31 26 34 11 31 25 26 31 25 12 25 31 18 27 25 25 25 25 26 25 25 25 31 25 12 27 26 26 26 14 33 12 25 25 25 25 27 31 25 25 11 27 9 31 26 25 25 32 25 31 25 26 32 25 31 33 25 25 25 25 25 25 31 25 9 26 25 25 25 31 26 26 25 31 12 32 33 25 25 25 26 31 26 12 25 12 25 25 26 25 25 31 25 26 25 31 1 41 25 25 27 41 16 35 25 41 25 27 34 25 27 34 25 41 41 0 34 25 41 25 17 41 13 13 25 34 38 25 25 25 29 25 25 25 27 41 9 41 26 25 25 25 35 41 0 27 25 25 27 9 27 25 41 25 41 25 35 25 25 25 26 25 34 25 25 41 26 25 41 41 25 10 25 25 34 41 26 41 25 25 25 26 25 25 9 26 26 41 11 25 25 27 25 41 25 27"
2,3,-0.8406,1.0000,0.5313,-0.2544,0.1856,"9 2 9 31 9 3 31 2 2 2 0 2 32 3 5 3 31 31 0 3 31 31 3 6 33 3 31 2 31 32 0 9 12 3 0 6 0 0 31 0 31 0 31 31 3 31 32 31 31 3 0 5 31 31 33 3 4 3 31 31 33 0 0 0 31 3 3 2 4 5 3 2 8 10 3 3 33 4 0 33 3 3 5 3 41 31 3 5 31 31 0 31 3 0 32 2 31 32 2 2 5 40 34 39 39 22 34 39 39 36 40 39 21 6 39 2 39 36 6 40 40 40 20 36 39 40 39 34 39 39 36 39 35 34 22 39 39 39 34 39 40 39 39 39 39 40 39 32 40 40 12 39 40 12 42 34 39 2 21 40 35 34 40 5 34 39 39 40 6 40 36 34 34 40 39 3 5 39 34 39 39 18 40 12 40 34 37 40 40 36 40 12 34 39 39 39 2 39 4 39 28 28 20 19 33 37 31 32 12 28 12 12 37 28 20 12 7 12 12 22 30 3 12 7 7 7 12 19 12 20 19 12 28 12 30 12 19 12 12 29 12 20 20 28 19 28 32 7 7 19 12 20 12 12 12 12 28 20 30 28 20 12 12 19 12 20 12 5 20 12 8 7 12 12 7 30 7 12 12 12 12 29 7 30 20 12 19 12 20 12 20 12 20 19 12 7 28 19 12 12 25 12 31 32 31 26 34 11 31 25 26 31 25 12 25 31 18 27 25 25 25 25 26 25 25 25 31 25 12 27 26 26 26 14 33 12 25 25 25 25 27 31 25 25 11 27 9 31 26 25 25 32 25 31 25 26 32 25 31 33 25 25 25 25 25 25 31 25 9 26 25 25 25 31 26 26 25 31 12 32 33 25 25 25 26 31 26 12 25 12 25 25 26 25 25 31 25 26 25 31 1 41 25 25 27 41 16 35 25 41 25 27 34 25 27 34 25 41 41 0 34 25 41 25 17 41 13 13 25 34 38 25 25 25 29 25 25 25 27 41 9 41 26 25 25 25 35 41 0 27 25 25 27 9 27 25 41 25 41 25 35 25 25 25 26 25 34 25 25 41 26 25 41 41 25 10 25 25 34 41 26 41 25 25 25 26 25 25 9 26 26 41 11 25 25 27 25 41 25 27"
3,4,-0.8512,1.0000,0.4960,-0.2634,0.1849,"17 17 23 14 23 17 19 23 24 15 19 15 12 24 24 15 2 12 17 19 23 19 17 14 24 19 14 24 19 15 17 19 23 14 19 14 17 19 15 17 23 19 17 17 17 12 19 23 17 12 14 19 14 17 12 17 15 23 19 23 17 19 15 23 17 23 19 17 15 19 24 23 24 14 24 23 19 19 17 19 15 19 19 15 14 2 17 23 24 23 15 19 23 23 14 19 14 14 14 23 31 2 5 2 6 31 2 33 31 31 12 33 28 2 31 2 2 31 2 12 31 5 29 5 2 2 32 2 2 2 31 5 2 31 4 2 4 2 2 31 2 2 31 5 2 4 31 31 2 4 31 31 4 2 2 37 31 2 12 31 12 37 4 32 31 32 2 37 30 5 6 33 31 31 2 37 29 2 2 31 1 4 31 2 5 2 2 12 5 33 4 2 31 33 2 31 31 31 2 2 14 12 3 12 2 3 3 23 15 10 9 9 12 3 11 11 2 3 0 0 0 0 1 0 15 0 38 9 1 2 0 0 28 9 2 2 2 16 10 14 1 2 1 1 3 3 2 13 2 3 1 2 12 11 12 2 12 16 2 2 12 11 15 0 2 2 2 2 3 3 0 12 9 18 9 13 3 12 2 2 2 2 9 1 2 9 1 2 3 2 2 0 11 12 2 11 10 0 13 2 9 25 25 25 12 25 25 25 25 26 25 10 25 25 25 10 25 9 9 11 25 9 9 9 25 9 9 9 25 26 25 27 25 25 26 27 27 26 12 9 25 25 26 25 27 25 25 25 27 9 25 5 27 9 25 25 25 26 25 12 10 25 25 25 27 25 9 11 25 25 25 25 25 25 17 25 25 9 25 25 25 9 9 9 25 25 25 25 26 9 27 25 12 25 11 9 26 25 25 25 2 37 19 2 4 19 20 2 19 19 37 2 19 2 19 2 19 2 19 2 19 2 30 19 37 20 19 19 19 19 2 19 19 28 19 2 2 2 19 19 19 37 19 19 19 20 19 20 19 16 19 19 2 19 19 19 19 6 19 2 2 19 19 20 20 19 19 19 19 2 19 19 30 19 2 19 2 20 2 20 19 20 19 19 12 19 19 19 2 19 19 19 2 19 2 28 2 2 4 19"
4,4,-0.8393,1.0000,0.5358,-0.2867,0.1513,"17 17 23 14 23 17 19 23 24 15 19 15 12 24 24 15 2 12 17 19 23 19 17 14 24 19 14 24 19 15 17 19 23 14 19 14 17 19 15 17 23 19 17 17 17 12 19 23 17 12 14 19 14 17 12 17 15 23 19 23 17 19 15 23 17 23 19 17 15 19 24 23 24 14 24 23 19 19 17 19 15 19 19 15 14 2 17 23 24 23 15 19 23 23 14 19 14 14 14 23 31 2 5 2 6 31 2 33 31 31 12 33 28 2 31 2 2 31 2 12 31 5 29 5 2 2 32 2 2 2 31 5 2 31 4 2 4 2 2 31 2 2 31 5 2 4 31 31 2 4 31 31 4 2 2 37 31 2 12 31 12 37 4 32 31 32 2 37 30 5 6 33 31 31 2 37 29 2 2 31 1 4 31 2 5 2 2 12 5 33 4 2 31 33 2 31 31 31 2 2 14 12 3 12 2 3 3 23 15 10 9 9 12 3 11 11 2 3 0 0 0 0 1 0 15 0 38 9 1 2 0 0 28 9 2 2 2 16 10 14 1 2 1 1 3 3 2 13 2 3 1 2 12 11 12 2 12 16 2 2 12 11 15 0 2 2 2 2 3 3 0 12 9 18 9 13 3 12 2 2 2 2 9 1 2 9 1 2 3 2 2 0 11 12 2 11 10 0 13 2 9 25 25 25 12 25 25 25 25 26 25 10 25 25 25 10 25 9 9 11 25 9 9 9 25 9 9 9 25 26 25 27 25 25 26 27 27 26 12 9 25 25 26 25 27 25 25 25 27 9 25 5 27 9 25 25 25 26 25 12 10 25 25 25 27 25 9 11 25 25 25 25 25 25 17 25 25 9 25 25 25 9 9 9 25 25 25 25 26 9 27 25 12 25 11 9 26 25 25 25 2 37 19 2 4 19 20 2 19 19 37 2 19 2 19 2 19 2 19 2 19 2 30 19 37 20 19 19 19 19 2 19 19 28 19 2 2 2 19 19 19 37 19 19 19 20 19 20 19 16 19 19 2 19 19 19 19 6 19 2 2 19 19 20 20 19 19 19 19 2 19 19 30 19 2 19 2 20 2 20 19 20 19 19 12 19 19 19 2 19 19 19 2 19 2 28 2 2 4 19"
5,5,-0.8766,1.0000,0.4114,-0.2883,0.1286,"34 13 36 0 12 38 3 12 36 34 34 12 34 3 12 13 12 35 34 35 36 34 34 36 0 34 13 3 31 34 0 36 34 34 34 34 38 12 12 38 19 34 1 31 31 36 13 35 35 32 38 34 3 34 36 34 12 34 34 20 34 34 34 38 12 34 36 34 34 34 34 12 36 20 12 20 36 34 34 36 34 34 34 34 34 34 12 38 35 12 34 34 12 34 34 12 38 13 36 3 13 28 38 28 12 28 28 28 28 28 28 38 28 28 28 28 13 28 28 28 28 28 30 28 28 28 28 1 28 28 28 29 28 33 28 28 30 28 30 18 28 28 28 28 33 30 38 28 30 29 29 28 28 30 3 28 28 28 28 28 28 28 28 28 28 0 28 28 28 28 28 28 31 28 26 28 28 29 30 27 30 28 29 28 2 28 29 31 33 28 29 28 28 28 30 28 28 3 28 28 25 12 25 12 30 25 25 27 25 25 25 28 25 18 34 25 34 25 26 12 12 25 17 25 36 2 25 27 2 25 28 25 34 35 25 25 25 18 26 18 18 27 25 12 12 34 27 34 25 25 27 18 12 12 28 25 25 12 25 18 25 25 12 27 34 34 27 34 25 12 12 25 25 25 27 25 17 25 25 34 18 25 12 25 25 34 25 35 17 12 25 12 25 26 12 36 28 25 25 35 1 38 0 0 31 0 41 1 0 32 33 13 32 41 31 1 4 33 41 41 41 13 41 22 38 0 1 0 32 31 41 21 31 31 32 38 41 0 31 41 41 0 41 41 0 31 6 38 41 41 6 2 3 41 0 38 37 1 31 33 38 21 2 41 37 41 41 33 3 41 41 6 1 41 32 0 25 41 0 21 32 33 31 21 41 38 31 13 26 31 41 41 31 31 1 13 3 3 32 41 34 33 35 34 28 34 35 34 34 34 28 34 34 6 4 34 34 34 34 34 35 34 38 34 34 34 14 34 34 34 34 6 36 34 34 34 6 34 36 28 36 34 0 37 34 34 29 3 0 35 0 5 34 6 0 35 35 35 21 16 28 36 28 28 36 21 34 34 28 35 34 36 34 34 3 2 36 5 5 34 34 34 37 34 34 37 6 5 34 35 37 3 2 34 0 5 29 5 34 36"
6,5,-0.8054,1.0000,0.6486,-0.3005,0.1016,"34 13 36 0 12 38 3 12 36 34 34 12 34 3 12 13 12 35 34 35 36 34 34 36 0 34 13 3 31 34 0 36 34 34 34 34 38 12 12 38 19 34 1 31 31 36 13 35 35 32 38 34 3 34 36 34 12 34 34 20 34 34 34 38 12 34 36 34 34 34 34 12 36 20 12 20 36 34 34 36 34 34 34 34 34 34 12 38 35 12 34 34 12 34 34 12 38 13 36 3 13 28 38 28 12 28 28 28 28 28 28 38 28 28 28 28 13 28 28 28 28 28 30 28 28 28 28 1 28 28 28 29 28 33 28 28 30 28 30 18 28 28 28 28 33 30 38 28 30 29 29 28 28 30 3 28 28 28 28 28 28 28 28 28 28 0 28 28 28 28 28 28 31 28 26 28 28 29 30 27 30 28 29 28 2 28 29 31 33 28 29 28 28 28 30 28 28 3 28 28 25 12 25 12 30 25 25 27 25 25 25 28 25 18 34 25 34 25 26 12 12 25 17 25 36 2 25 27 2 25 28 25 34 35 25 25 25 18 26 18 18 27 25 12 12 34 27 34 25 25 27 18 12 12 28 25 25 12 25 18 25 25 12 27 34 34 27 34 25 12 12 25 25 25 27 25 17 25 25 34 18 25 12 25 25 34 25 35 17 12 25 12 25 26 12 36 28 25 25 35 1 38 0 0 31 0 41 1 0 32 33 13 32 41 31 1 4 33 41 41 41 13 41 22 38 0 1 0 32 31 41 21 31 31 32 38 41 0 31 41 41 0 41 41 0 31 6 38 41 41 6 2 3 41 0 38 37 1 31 33 38 21 2 41 37 41 41 33 3 41 41 6 1 41 32 0 25 41 0 21 32 33 31 21 41 38 31 13 26 31 41 41 31 31 1 13 3 3 32 41 34 33 35 34 28 34 35 34 34 34 28 34 34 6 4 34 34 34 34 34 35 34 38 34 34 34 14 34 34 34 34 6 36 34 34 34 6 34 36 28 36 34 0 37 34 34 29 3 0 35 0 5 34 6 0 35 35 35 21 16 28 36 28 28 36 21 34 34 28 35 34 36 34 34 3 2 36 5 5 34 34 34 37 34 34 37 6 5 34 35 37 3 2 34 0 5 29 5 34 36"
7,5,-0.8122,1.0000,0.6261,-0.3012,0.0979,"34 13 36 0 12 38 3 12 36 34 34 12 34 3 12 13 12 35 34 35 36 34 34 36 0 34 13 3 31 34 0 36 34 34 34 34 38 12 12 38 19 34 1 31 31 36 13 35 35 32 38 34 3 34 36 34 12 34 34 20 34 34 34 38 12 34 36 34 34 34 34 12 36 20 12 20 36 34 34 36 34 34 34 34 34 34 12 38 35 12 34 34 12 34 34 12 38 13 36 3 13 28 38 28 12 28 28 28 28 28 28 38 28 28 28 28 13 28 28 28 28 28 30 28 28 28 28 1 28 28 28 29 28 33 28 28 30 28 30 18 28 28 28 28 33 30 38 28 30 29 29 28 28 30 3 28 28 28 28 28 28 28 28 28 28 0 28 28 28 28 28 28 31 28 26 28 28 29 30 27 30 28 29 28 2 28 29 31 33 28 29 28 28 28 30 28 28 3 28 28 25 12 25 12 30 25 25 27 25 25 25 28 25 18 34 25 34 25 26 12 12 25 17 25 36 2 25 27 2 25 28 25 34 35 25 25 25 18 26 18 18 27 25 12 12 34 27 34 25 25 27 18 12 12 28 25 25 12 25 18 25 25 12 27 34 34 27 34 25 12 12 25 25 25 27 25 17 25 25 34 18 25 12 25 25 34 25 35 17 12 25 12 25 26 12 36 28 25 25 35 1 38 0 0 31 0 41 1 0 32 33 13 32 41 31 1 4 33 41 41 41 13 41 22 38 0 1 0 32 31 41 21 31 31 32 38 41 0 31 41 41 0 41 41 0 31 6 38 41 41 6 2 3 41 0 38 37 1 31 33 38 21 2 41 37 41 41 33 3 41 41 6 1 41 32 0 25 41 0 21 32 33 31 21 41 38 31 13 26 31 41 41 31 31 1 13 3 3 32 41 34 33 35 34 28 34 35 34 34 34 28 34 34 6 4 34 34 34 34 34 35 34 38 34 34 34 14 34 34 34 34 6 36 34 34 34 6 34 36 28 36 34 0 37 34 34 29 3 0 35 0 5 34 6 0 35 35 35 21 16 28 36 28 28 36 21 34 34 28 35 34 36 34 34 3 2 36 5 5 34 34 34 37 34 34 37 6 5 34 35 37 3 2 34 0 5 29 5 34 36"
8,5,-0.8337,0.9600,0.4210,-0.3082,0.1079,"34 13 36 0 12 38 3 12 36 34 34 12 34 3 12 13 12 35 34 35 36 34 34 36 0 34 13 3 31 34 0 36 34 34 34 34 38 12 12 38 19 34 1 31 31 36 13 35 35 32 38 34 3 34 36 34 12 34 34 20 34 34 34 38 12 34 36 34 34 34 34 12 36 20 12 20 36 34 34 36 34 34 34 34 34 34 12 38 35 12 34 34 12 34 34 12 38 13 36 3 13 28 38 28 12 28 28 28 28 28 28 38 28 28 28 28 13 28 28 28 28 28 30 28 28 28 28 1 28 28 28 29 28 33 28 28 30 28 30 18 28 28 28 28 33 30 38 28 30 29 29 28 28 30 3 28 28 28 28 28 28 28 28 28 28 0 28 28 28 28 28 28 31 28 26 28 28 29 30 27 30 28 29 28 2 28 29 31 33 28 29 28 28 28 30 28 28 3 28 28 25 12 25 12 30 25 25 27 25 25 25 28 25 18 34 25 34 25 26 12 12 25 17 25 36 2 25 27 2 25 28 25 34 35 25 25 25 18 26 18 18 27 25 12 12 34 27 34 25 25 27 18 12 12 28 25 25 12 25 18 25 25 12 27 34 34 27 34 25 12 12 25 25 25 27 25 17 25 25 34 18 25 12 25 25 34 25 35 17 12 25 12 25 26 12 36 28 25 25 35 1 38 0 0 31 0 41 1 0 32 33 13 32 41 31 1 4 33 41 41 41 13 41 22 38 0 1 0 32 31 41 21 31 31 32 38 41 0 31 41 41 0 41 41 0 31 6 38 41 41 6 2 3 41 0 38 37 1 31 33 38 21 2 41 37 41 41 33 3 41 41 6 1 41 32 0 25 41 0 21 32 33 31 21 41 38 31 13 26 31 41 41 31 31 1 13 3 3 32 41 34 33 35 34 28 34 35 34 34 34 28 34 34 6 4 34 34 34 34 34 35 34 38 34 34 34 14 34 34 34 34 6 36 34 34 34 6 34 36 28 36 34 0 37 34 34 29 3 0 35 0 5 34 6 0 35 35 35 21 16 28 36 28 28 36 21 34 34 28 35 34 36 34 34 3 2 36 5 5 34 34 34 37 34 34 37 6 5 34 35 37 3 2 34 0 5 29 5 34 36"
9,5,-0.8687,1.0000,0.4377,-0.3108,0.1416,"34 13 36 0 12 38 3 12 36 34 34 12 34 3 12 13 12 35 34 35 36 34 34 36 0 34 13 3 31 34 0 36 34 34 34 34 38 12 12 38 19 34 1 31 31 36 13 35 35 32 38 34 3 34 36 34 12 34 34 20 34 34 34 38 12 34 36 34 34 34 34 12 36 20 12 20 36 34 34 36 34 34 34 34 34 34 12 38 35 12 34 34 12 34 34 12 38 13 36 3 13 28 38 28 12 28 28 28 28 28 28 38 28 28 28 28 13 28 28 28 28 28 30 28 28 28 28 1 28 28 28 29 28 33 28 28 30 28 30 18 28 28 28 28 33 30 38 28 30 29 29 28 28 30 3 28 28 28 28 28 28 28 28 28 28 0 28 28 28 28 28 28 31 28 26 28 28 29 30 27 30 28 29 28 2 28 29 31 33 28 29 28 28 28 30 28 28 3 28 28 25 12 25 12 30 25 25 27 25 25 25 28 25 18 34 25 34 25 26 12 12 25 17 25 36 2 25 27 2 25 28 25 34 35 25 25 25 18 26 18 18 27 25 12 12 34 27 34 25 25 27 18 12 12 28 25 25 12 25 18 25 25 12 27 34 34 27 34 25 12 12 25 25 25 27 25 17 25 25 34 18 25 12 25 25 34 25 35 17 12 25 12 25 26 12 36 28 25 25 35 1 38 0 0 31 0 41 1 0 32 33 13 32 41 31 1 4 33 41 41 41 13 41 22 38 0 1 0 32 31 41 21 31 31 32 38 41 0 31 41 41 0 41 41 0 31 6 38 41 41 6 2 3 41 0 38 37 1 31 33 38 21 2 41 37 41 41 33 3 41 41 6 1 41 32 0 25 41 0 21 32 33 31 21 41 38 31 13 26 31 41 41 31 31 1 13 3 3 32 41 34 33 35 34 28 34 35 34 34 34 28 34 34 6 4 34 34 34 34 34 35 34 38 34 34 34 14 34 34 34 34 6 36 34 34 34 6 34 36 28 36 34 0 37 34 34 29 3 0 35 0 5 34 6 0 35 35 35 21 16 28 36 28 28 36 21 34 34 28 35 34 36 34 34 3 2 36 5 5 34 34 34 37 34 34 37 6 5 34 35 37 3 2 34 0 5 29 5 34 36"
