rank,fitness,winrate,genome
1,-0.8131,1.0000,"2 2 2 4 37 8 2 2 2 2 2 2 2 2 6 2 4 37 37 2 2 7 4 8 2 8 6 2 2 2 2 2 8 2 2 2 2 2 2 8 7 2 2 2 7 4 2 2 6 10 6 2 7 37 2 2 2 2 10 2 2 37 2 2 9 5 2 2 2 2 2 7 9 2 6 5 2 2 2 2 2 2 2 2 2 7 2 2 2 2 2 8 7 6 8 4 11 2 2 2 5 8 7 4 2 2 2 2 5 7 2 2 6 2 2 2 5 2 2 2 2 2 2 7 2 7 2 6 8 2 2 8 28 28 8 7 7 2 4 8 2 2 5 2 0 30 4 5 4 2 4 6 2 37 2 29 20 6 2 2 29 2 4 28 8 2 7 37 29 5 6 2 7 28 2 2 37 28 2 7 5 7 7 6 28 5 2 19 2 2 6 37 8 2 2 2 2 2 5 7 6 2 8 37 7 2 7 7 2 2 35 2 7 8 37 7 2 8 5 2 2 2 2 2 2 12 6 2 2 2 2 11 2 8 37 2 2 7 11 2 2 7 2 2 2 2 2 2 7 8 2 2 7 2 2 2 12 2 9 2 7 2 8 37 2 2 2 2 2 2 2 2 2 2 2 2 8 2 2 2 21 34 2 2 2 2 2 2 11 37 2 2 2 6 11 2 8 8 4 2 41 12 0 12 41 41 12 4 5 5 37 5 41 3 0 37 3 4 12 0 41 6 14 0 3 1 0 37 37 37 2 0 41 41 3 5 37 6 6 15 0 4 12 2 0 6 14 12 0 6 37 0 3 37 4 41 2 14 12 37 0 4 2 0 12 1 3 15 1 5 12 2 37 5 0 5 37 2 6 3 2 41 41 3 0 2 41 2 5 37 3 41 4 12 41 41 4 3 3 41 37 2 3 3 3 5 0 0 0 2 11 0 0 5 3 4 6 0 5 3 3 0 4 2 2 0 2 0 3 3 3 41 2 9 1 13 3 3 0 0 10 2 0 3 11 1 2 3 2 11 0 2 2 3 6 0 2 2 2 10 2 6 5 3 2 37 2 3 3 2 0 3 3 0 2 37 2 0 0 5 2 3 3 6 3 3 0 5 3 6 2 2 6 4 0 2 3 0 3 2"
2,-0.8049,1.0000,"2 2 2 4 37 8 2 2 2 2 2 2 2 2 6 2 4 37 37 2 2 7 4 8 2 8 6 2 2 2 2 2 8 2 2 2 2 2 2 8 7 2 2 2 7 4 2 2 6 10 6 2 7 37 2 2 2 2 10 2 2 37 2 2 9 5 2 2 2 2 2 7 9 2 6 5 2 2 2 2 2 2 2 2 2 7 2 2 2 2 2 8 7 6 8 4 11 2 2 2 5 8 7 4 2 2 2 2 5 7 2 2 6 2 2 2 5 2 2 2 2 2 2 7 2 7 2 6 8 2 2 8 28 28 8 7 7 2 4 8 2 2 5 2 0 30 4 5 4 2 4 6 2 37 2 29 20 6 2 2 29 2 4 28 8 2 7 37 29 5 6 2 7 28 2 2 37 28 2 7 5 7 7 6 28 5 2 19 2 2 6 37 8 2 2 2 2 2 5 7 6 2 8 37 7 2 7 7 2 2 35 2 7 8 37 7 2 8 5 2 2 2 2 2 2 12 6 2 2 2 2 11 2 8 37 2 2 7 11 2 2 7 2 2 2 2 2 2 7 8 2 2 7 2 2 2 12 2 9 2 7 2 8 37 2 2 2 2 2 2 2 2 2 2 2 2 8 2 2 2 21 34 2 2 2 2 2 2 11 37 2 2 2 6 11 2 8 8 4 2 41 12 0 12 41 41 12 4 5 5 37 5 41 3 0 37 3 4 12 0 41 6 14 0 3 1 0 37 37 37 2 0 41 41 3 5 37 6 6 15 0 4 12 2 0 6 14 12 0 6 37 0 3 37 4 41 2 14 12 37 0 4 2 0 12 1 3 15 1 5 12 2 37 5 0 5 37 2 6 3 2 41 41 3 0 2 41 2 5 37 3 41 4 12 41 41 4 3 3 41 37 2 3 3 3 5 0 0 0 2 11 0 0 5 3 4 6 0 5 3 3 0 4 2 2 0 2 0 3 3 3 41 2 9 1 13 3 3 0 0 10 2 0 3 11 1 2 3 2 11 0 2 2 3 6 0 2 2 2 10 2 6 5 3 2 37 2 3 3 2 0 3 3 0 2 37 2 0 0 5 2 3 3 6 3 3 0 5 3 6 2 2 6 4 0 2 3 0 3 2"
3,-0.7965,0.9200,"25 25 12 16 15 16 25 12 33 12 25 16 31 12 25 12 25 32 31 25 16 12 35 25 16 39 27 33 25 25 12 34 16 12 16 33 12 25 12 12 12 12 16 16 31 26 12 12 25 25 31 12 16 12 12 12 25 16 25 33 31 16 16 12 25 33 25 16 25 26 31 16 25 32 31 12 16 25 12 25 25 31 32 16 25 16 16 12 27 27 16 32 25 39 16 12 39 34 12 12 31 31 31 31 31 39 39 39 39 32 35 31 31 39 39 31 32 39 33 31 31 32 31 31 31 31 31 31 1 31 33 31 31 39 39 39 39 33 39 39 39 39 13 31 39 39 39 31 39 0 31 31 39 39 31 31 33 39 31 31 31 31 39 32 39 31 31 39 0 31 39 39 39 39 31 31 39 39 31 32 39 39 31 1 31 39 40 31 32 40 31 31 31 39 39 39 31 31 32 12 19 19 19 36 20 20 39 19 19 19 9 19 39 19 39 19 19 19 20 39 39 2 19 39 19 20 19 19 42 39 19 39 19 19 39 19 19 39 39 20 19 39 39 19 20 19 19 39 39 9 39 39 9 19 19 39 8 19 19 19 19 39 19 19 19 19 9 39 19 19 20 19 19 39 10 19 19 19 5 39 19 19 19 20 19 39 19 19 19 39 19 19 19 39 42 19 19 39 20 39 40 24 23 39 39 39 2 39 23 39 23 5 39 4 23 39 37 28 28 39 39 6 40 39 4 40 23 23 39 39 39 40 39 39 24 30 40 23 5 40 40 23 28 2 6 39 4 23 23 6 6 40 23 39 39 23 29 4 40 2 40 5 6 39 39 40 39 39 28 39 23 40 39 39 39 39 2 40 5 28 23 39 39 39 39 40 40 39 39 39 39 40 23 6 23 23 30 23 40 37 0 13 40 1 0 0 3 3 38 0 34 0 0 3 23 38 3 3 13 30 16 42 40 3 40 40 11 3 3 3 0 0 12 12 41 40 0 3 1 40 13 30 38 0 3 13 3 0 40 40 0 0 12 38 0 1 38 1 0 3 13 40 0 3 38 38 16 38 0 16 40 0 3 40 3 0 0 13 40 38 0 40 16 3 0 33 42 42 40 40 40 3 40 0 40 42 3 40 40 40"
4,-0.7953,0.9200,"25 25 12 16 15 16 25 12 33 12 25 16 31 12 25 12 25 32 31 25 16 12 35 25 16 39 27 33 25 25 12 34 16 12 16 33 12 25 12 12 12 12 16 16 31 26 12 12 25 25 31 12 16 12 12 12 25 16 25 33 31 16 16 12 25 33 25 16 25 26 31 16 25 32 31 12 16 25 12 25 25 31 32 16 25 16 16 12 27 27 16 32 25 39 16 12 39 34 12 12 21 22 25 22 25 31 22 25 25 25 35 25 21 25 21 31 32 25 21 22 22 32 21 25 21 21 31 26 1 26 21 21 21 21 21 22 21 33 33 31 21 25 22 21 21 21 25 21 21 21 31 25 25 21 31 21 21 31 21 21 25 22 25 21 26 25 25 31 21 31 21 25 32 22 21 25 21 21 21 22 21 21 31 25 21 26 25 21 26 26 31 21 25 25 22 22 21 31 32 21 39 39 39 36 39 6 39 39 39 39 9 39 39 39 39 39 39 39 37 39 39 2 39 39 39 39 42 39 42 39 6 39 39 39 39 4 39 39 39 39 9 39 39 39 39 9 9 39 39 9 39 39 9 39 39 39 8 39 39 39 42 39 39 39 42 39 9 39 39 39 39 39 39 39 10 39 42 39 5 39 39 39 39 42 39 39 39 42 39 39 39 39 42 39 42 39 42 39 39 39 34 24 34 34 34 34 2 34 36 34 34 5 34 4 23 39 34 28 36 39 34 6 40 36 34 34 34 23 39 34 34 40 34 39 24 34 34 34 5 34 40 23 28 36 6 39 34 36 34 34 6 40 23 39 39 23 34 4 40 2 34 5 35 39 34 40 39 39 34 39 34 34 34 34 39 39 2 36 34 36 34 34 39 34 39 40 34 34 34 34 34 40 34 6 34 34 34 34 34 37 0 39 40 1 39 39 3 3 38 0 39 0 39 3 23 38 3 3 13 30 16 39 39 39 40 40 39 39 3 3 0 0 12 39 41 39 39 3 1 40 13 30 38 0 39 13 3 0 39 40 39 39 39 38 0 1 38 1 39 39 39 39 0 39 38 38 16 39 0 16 40 0 39 40 39 0 0 13 40 38 0 40 39 39 0 33 42 39 40 39 39 3 40 0 40 39 3 40 40 40"
5,-0.7872,0.9583,"2 10 8 2 7 8 2 7 7 9 2 2 2 0 2 7 2 7 13 2 2 7 2 8 2 8 10 2 2 2 8 2 8 7 2 7 2 7 2 8 7 2 2 2 7 7 2 7 7 10 11 2 7 8 7 2 2 2 10 31 2 9 41 7 9 7 2 2 13 2 2 7 9 2 2 11 9 7 9 2 2 9 2 2 2 7 2 2 2 2 7 8 7 2 8 2 11 8 2 2 2 2 6 2 2 2 2 2 5 2 2 2 6 2 2 2 6 2 2 2 2 2 2 7 4 7 2 6 2 2 4 8 2 2 8 6 7 2 4 37 2 2 4 2 0 2 4 2 2 2 6 2 2 2 2 5 2 6 2 4 29 2 4 2 2 2 2 37 4 37 6 2 2 4 2 37 2 28 4 7 2 7 5 2 28 5 2 19 4 6 2 37 2 2 2 2 2 2 5 2 6 2 8 37 7 2 7 7 2 2 35 2 7 8 37 7 2 8 5 2 2 2 2 2 2 12 6 2 2 2 2 11 2 8 37 2 2 7 11 2 2 7 2 2 2 2 2 2 7 8 2 2 7 2 2 2 12 2 9 2 7 2 8 37 2 2 2 2 2 2 2 2 2 2 2 2 8 2 2 2 21 34 2 2 2 2 2 2 11 37 2 2 2 6 11 2 8 8 4 2 41 12 4 4 2 2 12 2 5 2 37 2 2 2 5 2 2 2 2 0 41 6 37 0 5 1 0 2 37 37 2 6 2 4 3 5 4 2 2 4 4 4 2 2 2 2 2 12 0 2 37 2 3 2 4 2 2 2 12 37 2 2 2 0 12 4 3 4 37 5 12 5 37 5 2 2 2 6 2 2 2 6 41 37 37 2 2 2 5 2 3 2 2 6 41 2 2 2 3 2 37 2 3 3 3 5 0 0 0 2 11 0 0 5 3 4 6 0 5 3 3 0 4 2 2 0 2 0 3 3 3 41 2 9 1 13 3 3 0 0 10 2 0 3 11 1 2 3 2 11 0 2 2 3 6 0 2 2 2 10 2 6 5 3 2 37 2 3 3 2 0 3 3 0 2 37 2 0 0 5 2 3 3 6 3 3 0 5 3 6 2 2 6 4 0 2 3 0 3 2"
6,-0.7822,0.9630,"2 10 8 2 7 8 2 7 7 9 2 2 2 0 2 7 2 7 13 2 2 7 2 8 2 8 10 2 2 2 8 2 8 7 2 7 2 7 2 8 7 2 2 2 7 7 2 7 7 10 11 2 7 8 7 2 2 2 10 31 2 9 41 7 9 7 2 2 13 2 2 7 9 2 2 11 9 7 9 2 2 9 2 2 2 7 2 2 2 2 7 8 7 2 8 2 11 8 2 2 2 2 6 2 2 2 2 2 5 2 2 2 6 2 2 2 6 2 2 2 2 2 2 7 4 7 2 6 2 2 4 8 2 2 8 6 7 2 4 37 2 2 4 2 0 2 4 2 2 2 6 2 2 2 2 5 2 6 2 4 29 2 4 2 2 2 2 37 4 37 6 2 2 4 2 37 2 28 4 7 2 7 5 2 28 5 2 19 4 6 2 37 2 2 2 2 2 2 5 2 6 2 8 37 7 2 7 7 2 2 35 2 7 8 37 7 2 8 5 2 2 2 2 2 2 12 6 2 2 2 2 11 2 8 37 2 2 7 11 2 2 7 2 2 2 2 2 2 7 8 2 2 7 2 2 2 12 2 9 2 7 2 8 37 2 2 2 2 2 2 2 2 2 2 2 2 8 2 2 2 21 34 2 2 2 2 2 2 11 37 2 2 2 6 11 2 8 8 4 2 41 37 8 7 8 7 7 8 7 7 7 2 2 8 7 8 7 2 21 7 41 22 7 7 7 37 7 7 8 21 8 8 2 7 7 7 7 7 7 7 4 4 22 22 8 7 2 6 6 7 7 8 7 7 7 21 2 7 21 7 2 7 2 0 7 7 2 8 7 7 7 22 37 7 8 7 8 7 7 7 7 7 41 7 7 8 2 7 8 8 7 7 7 7 2 7 21 7 7 7 37 2 3 3 3 5 0 0 0 2 11 0 0 5 3 4 6 0 5 3 3 0 4 2 2 0 2 0 3 3 3 41 2 9 1 13 3 3 0 0 10 2 0 3 11 1 2 3 2 11 0 2 2 3 6 0 2 2 2 10 2 6 5 3 2 37 2 3 3 2 0 3 3 0 2 37 2 0 0 5 2 3 3 6 3 3 0 5 3 6 2 2 6 4 0 2 3 0 3 2"
7,-0.7805,0.8846,"25 25 12 16 15 16 25 12 33 12 25 16 31 12 25 12 25 32 31 25 16 12 35 25 16 39 27 33 25 25 12 34 16 12 16 33 12 25 12 12 12 12 16 16 31 26 12 12 25 25 31 12 16 12 12 12 25 16 25 33 31 16 16 12 25 33 25 16 25 26 31 16 25 32 31 12 16 25 12 25 25 31 32 16 25 16 16 12 27 27 16 32 25 39 16 12 39 34 12 12 21 22 25 22 25 31 22 25 25 25 35 25 21 25 21 31 32 25 21 22 22 32 21 25 21 21 31 26 1 26 21 21 21 21 21 22 21 33 33 31 21 25 22 21 21 21 25 21 21 21 31 25 25 21 31 21 21 31 21 21 25 22 25 21 26 25 25 31 21 31 21 25 32 22 21 25 21 21 21 22 21 21 31 25 21 26 25 21 26 26 31 21 25 25 22 22 21 31 32 21 39 39 39 36 39 6 39 39 39 39 9 39 39 39 39 39 39 39 37 39 39 2 39 39 39 39 42 39 42 39 6 39 39 39 39 4 39 39 39 39 9 39 39 39 39 9 9 39 39 9 39 39 9 39 39 39 8 39 39 39 42 39 39 39 42 39 9 39 39 39 39 39 39 39 10 39 42 39 5 39 39 39 39 42 39 39 39 42 39 39 39 39 42 39 42 39 42 39 39 39 39 24 34 34 34 34 2 39 36 39 39 39 39 4 23 39 39 28 39 39 39 6 40 36 34 39 34 39 39 39 34 40 39 39 24 39 34 34 39 39 39 23 28 36 6 39 34 39 39 39 6 40 23 39 39 23 39 4 39 39 34 5 35 39 34 40 39 39 34 39 39 34 39 34 39 39 2 36 34 36 39 34 39 34 39 39 34 34 39 34 34 40 34 39 34 34 39 39 39 39 0 39 40 1 39 39 3 3 38 0 39 0 39 3 23 38 3 3 13 30 16 39 39 39 40 40 39 39 3 3 0 0 12 39 41 39 39 3 1 40 13 30 38 0 39 13 3 0 39 40 39 39 39 38 0 1 38 1 39 39 39 39 0 39 38 38 16 39 0 16 40 0 39 40 39 0 0 13 40 38 0 40 39 39 0 33 42 39 40 39 39 3 40 0 40 39 3 40 40 40"
8,-0.7799,0.9167,"25 25 12 16 15 16 25 12 33 12 25 16 31 12 25 12 25 32 31 25 16 12 35 25 16 39 27 33 25 25 12 34 16 12 16 33 12 25 12 12 12 12 16 16 31 26 12 12 25 25 31 12 16 12 12 12 25 16 25 33 31 16 16 12 25 33 25 16 25 26 31 16 25 32 31 12 16 25 12 25 25 31 32 16 25 16 16 12 27 27 16 32 25 39 16 12 39 34 12 12 31 31 31 31 31 39 39 39 39 32 35 31 31 39 39 31 32 39 33 31 31 32 31 31 31 31 31 31 1 31 33 31 31 39 39 39 39 33 39 39 39 39 13 31 39 39 39 31 39 0 31 31 39 39 31 31 33 39 31 31 31 31 39 32 39 31 31 39 0 31 39 39 39 39 31 31 39 39 31 32 39 39 31 1 31 39 40 31 32 40 31 31 31 39 39 39 31 31 32 12 19 19 19 36 20 20 39 19 19 19 9 19 39 19 39 19 19 19 20 39 39 2 19 39 19 20 19 19 42 39 19 39 19 19 39 19 19 39 39 20 19 39 39 19 20 19 19 39 39 9 39 39 9 19 19 39 8 19 19 19 19 39 19 19 19 19 9 39 19 19 20 19 19 39 10 19 19 19 5 39 19 19 19 20 19 39 19 19 19 39 19 19 19 39 42 19 19 39 20 39 40 24 23 39 39 39 2 39 23 39 23 5 39 4 23 39 37 28 28 39 39 6 40 39 4 40 23 23 39 39 39 40 39 39 24 30 40 23 5 40 40 23 28 2 6 39 4 23 23 6 6 40 23 39 39 23 29 4 40 2 40 5 6 39 39 40 39 39 28 39 23 40 39 39 39 39 2 40 5 28 23 39 39 39 39 40 40 39 39 39 39 40 23 6 23 23 30 23 40 37 0 13 40 1 0 0 3 3 38 0 34 0 0 3 23 38 3 3 13 30 16 42 40 3 40 40 11 3 3 3 0 0 12 12 41 40 0 3 1 40 13 30 38 0 3 13 3 0 40 40 0 0 12 38 0 1 38 1 0 3 13 40 0 3 38 38 16 38 0 16 40 0 3 40 3 0 0 13 40 38 0 40 16 3 0 33 42 42 40 40 40 3 40 0 40 42 3 40 40 40"
9,-0.7797,0.9167,"25 25 12 16 15 16 25 12 33 12 25 16 31 12 25 12 25 32 31 25 16 12 35 25 16 39 27 33 25 25 12 34 16 12 16 33 12 25 12 12 12 12 16 16 31 26 12 12 25 25 31 12 16 12 12 12 25 16 25 33 31 16 16 12 25 33 25 16 25 26 31 16 25 32 31 12 16 25 12 25 25 31 32 16 25 16 16 12 27 27 16 32 25 39 16 12 39 34 12 12 31 31 31 31 31 39 39 39 39 32 35 31 31 39 39 31 32 39 33 31 31 32 31 31 31 31 31 31 1 31 33 31 31 39 39 39 39 33 39 39 39 39 13 31 39 39 39 31 39 0 31 31 39 39 31 31 33 39 31 31 31 31 39 32 39 31 31 39 0 31 39 39 39 39 31 31 39 39 31 32 39 39 31 1 31 39 40 31 32 40 31 31 31 39 39 39 31 31 32 12 19 19 19 36 20 20 39 19 19 19 9 19 39 19 39 19 19 19 20 39 39 2 19 39 19 20 19 19 42 39 19 39 19 19 39 19 19 39 39 20 19 39 39 19 20 19 19 39 39 9 39 39 9 19 19 39 8 19 19 19 19 39 19 19 19 19 9 39 19 19 20 19 19 39 10 19 19 19 5 39 19 19 19 20 19 39 19 19 19 39 19 19 19 39 42 19 19 39 20 39 40 24 23 39 39 39 2 39 23 39 23 5 39 4 23 39 37 28 28 39 39 6 40 39 4 40 23 23 39 39 39 40 39 39 24 30 40 23 5 40 40 23 28 2 6 39 4 23 23 6 6 40 23 39 39 23 29 4 40 2 40 5 6 39 39 40 39 39 28 39 23 40 39 39 39 39 2 40 5 28 23 39 39 39 39 40 40 39 39 39 39 40 23 6 23 23 30 23 40 37 0 13 40 1 0 0 3 3 38 0 34 0 0 3 23 38 3 3 13 30 16 42 40 3 40 40 11 3 3 3 0 0 12 12 41 40 0 3 1 40 13 30 38 0 3 13 3 0 40 40 0 0 12 38 0 1 38 1 0 3 13 40 0 3 38 38 16 38 0 16 40 0 3 40 3 0 0 13 40 38 0 40 16 3 0 33 42 42 40 40 40 3 40 0 40 42 3 40 40 40"
10,-0.7729,0.9667,"2 10 8 2 7 8 2 7 7 9 2 2 2 0 2 7 2 7 13 2 2 7 2 8 2 8 10 2 2 2 8 2 8 7 2 7 2 7 2 8 7 2 2 2 7 7 2 7 7 10 11 2 7 8 7 2 2 2 10 31 2 9 41 7 9 7 2 2 13 2 2 7 9 2 2 11 9 7 9 2 2 9 2 2 2 7 2 2 2 2 7 8 7 2 8 2 11 8 2 2 2 2 6 2 2 2 2 2 5 2 2 2 6 2 2 2 6 2 2 2 2 2 2 7 4 7 2 6 2 2 4 8 2 2 8 6 7 2 4 37 2 2 4 2 0 2 4 2 2 2 6 2 2 2 2 5 2 6 2 4 29 2 4 2 2 2 2 37 4 37 6 2 2 4 2 37 2 28 4 7 2 7 5 2 28 5 2 19 4 6 2 37 2 2 2 2 2 2 5 2 6 2 8 37 7 2 7 7 2 2 35 2 7 8 37 7 2 8 5 2 2 2 2 2 2 12 6 2 2 2 2 11 2 8 37 2 2 7 11 2 2 7 2 2 2 2 2 2 7 8 2 2 7 2 2 2 12 2 9 2 7 2 8 37 2 2 2 2 2 2 2 2 2 2 2 2 8 2 2 2 21 34 2 2 2 2 2 2 11 37 2 2 2 6 11 2 8 8 4 2 41 37 8 7 8 7 7 8 7 7 7 2 2 8 7 8 7 2 21 7 41 22 7 7 7 37 7 7 8 21 8 8 2 7 7 7 7 7 7 7 4 4 22 22 8 7 2 6 6 7 7 8 7 7 7 21 2 7 21 7 2 7 2 0 7 7 2 8 7 7 7 22 37 7 8 7 8 7 7 7 7 7 41 7 7 8 2 7 8 8 7 7 7 7 2 7 21 7 7 7 37 2 3 3 3 5 0 0 0 2 11 0 0 5 3 4 6 0 5 3 3 0 4 2 2 0 2 0 3 3 3 41 2 9 1 13 3 3 0 0 10 2 0 3 11 1 2 3 2 11 0 2 2 3 6 0 2 2 2 10 2 6 5 3 2 37 2 3 3 2 0 3 3 0 2 37 2 0 0 5 2 3 3 6 3 3 0 5 3 6 2 2 6 4 0 2 3 0 3 2"
