# seed=8
# instance=EXPONENTIAL
# popSize=100
# generations=100
# crossover=BlockUniform(p=0.25)
# mutation=p0=0.05,pMin=0.002,alpha=0.95
# tournamentK=3
# elitism=2
# lambda_similarity=0.3
# fights_per_team=10
# anchors=5
gen,changes,best_fitness,best_winrate,best_similarity,avg_fitness,worst_fitness,best_genome
0,1,-0.5839,0.8621,0.9272,-0.1368,0.2807,"29 32 23 10 10 22 33 2 0 25 29 31 26 41 40 21 27 15 27 21 3 20 6 28 22 39 40 28 19 42 32 15 22 13 21 13 31 38 39 14 7 23 10 4 35 14 41 23 29 11 13 26 12 23 39 39 32 33 0 23 5 11 6 40 7 8 18 10 13 0 42 7 24 1 21 32 21 28 32 16 6 38 36 38 35 22 31 5 32 26 12 29 36 6 23 34 35 2 6 28 9 4 3 2 9 15 33 29 9 16 33 21 27 40 8 6 5 8 33 31 7 23 8 31 36 41 0 8 4 0 8 18 13 40 26 31 14 19 20 27 12 40 0 0 25 21 0 6 23 5 8 7 28 6 2 33 30 8 18 23 19 23 23 25 34 18 32 25 9 36 28 33 40 18 29 42 0 5 32 42 33 0 39 27 38 33 22 30 28 41 11 6 37 42 9 15 13 30 2 26 29 28 37 17 11 8 40 20 42 24 4 1 31 14 31 19 21 0 13 11 14 30 24 10 15 15 4 35 26 41 38 0 24 9 40 1 18 21 30 19 27 15 18 13 41 41 25 23 19 30 21 28 4 8 40 9 32 34 14 37 33 36 1 18 36 34 0 34 33 34 9 29 13 11 33 9 23 24 26 24 7 19 39 33 1 11 16 9 20 12 28 28 18 7 26 13 21 25 16 6 6 33 26 24 35 35 4 22 4 38 36 9 35 30 24 35 33 18 34 11 17 17 0 28 5 1 0 31 32 9 17 35 11 33 2 21 13 24 7 3 12 26 31 0 15 24 27 14 29 6 34 23 23 0 42 6 24 21 23 33 5 27 15 7 33 19 8 2 10 39 32 2 16 32 37 31 38 12 5 9 39 37 15 2 35 29 42 1 12 22 18 22 31 4 11 8 12 39 7 4 8 38 3 18 7 6 30 28 17 5 13 27 22 6 17 14 42 11 33 33 11 22 23 13 7 16 11 10 28 25 29 1 10 21 1 29 18 28 35 0 33 9 3 39 13 30 34 15 37 12 13 16 28 32 22 18 38 22 19 13 17 11 4 29 34 28 4 14 19 40 15 38 2 27 17 36 10 25 0 21 37 29 17 18 40 19 20 38 16 42 27 31 21 26 39 0 20 37 1 6"
1,2,-0.7241,0.8889,0.5494,-0.1874,0.2800,"4 2 2 2 2 26 6 18 25 25 2 2 37 22 2 25 26 2 27 2 37 2 25 4 6 2 5 2 2 25 5 2 2 21 2 2 2 2 2 4 2 21 25 12 26 2 2 25 25 3 26 25 25 2 25 2 25 2 2 25 6 2 4 25 2 2 2 2 2 2 12 2 4 26 2 2 27 12 2 6 2 2 2 4 2 2 2 5 2 6 2 37 2 37 4 6 5 2 2 2 12 0 38 38 12 2 2 12 12 8 2 1 39 2 0 7 12 2 7 8 0 38 2 3 2 12 7 29 28 12 8 7 0 38 2 0 38 7 39 8 12 30 39 8 13 38 1 2 1 21 38 0 2 38 13 12 2 2 7 1 1 0 2 8 3 0 1 1 38 12 12 8 2 3 2 2 3 7 13 3 7 1 3 2 2 28 3 2 2 1 39 38 38 21 2 2 38 2 38 2 37 2 23 19 5 5 19 19 19 4 2 5 5 20 4 19 23 2 23 20 37 23 5 19 37 6 19 19 5 24 23 23 23 2 27 19 37 19 19 19 2 19 6 37 19 19 20 19 19 5 5 19 23 23 40 2 23 6 2 19 19 19 23 19 19 37 2 19 4 19 4 6 19 5 19 19 19 6 19 2 24 4 19 19 23 19 23 6 19 6 6 19 19 19 19 23 23 4 6 19 9 3 7 40 25 0 6 29 22 3 36 12 0 19 27 15 35 0 9 1 16 29 18 0 3 2 16 36 41 29 3 3 5 3 28 26 0 34 3 3 3 0 0 2 40 6 33 3 3 3 0 0 37 17 35 19 13 3 37 38 26 37 0 3 3 3 29 11 19 41 3 31 22 0 5 24 1 6 0 5 24 27 8 0 12 33 16 3 0 41 41 0 30 3 8 3 3 38 3 41 0 37 0 3 5 5 15 6 9 9 0 2 0 4 2 37 3 39 0 10 0 5 39 39 39 4 0 2 2 25 0 0 30 2 3 39 5 3 37 16 11 2 3 39 0 0 3 9 39 0 2 2 2 2 4 37 3 39 0 2 3 2 3 39 5 37 37 37 0 2 0 37 2 2 39 9 2 5 4 0 39 3 4 2 0 2 37 0 2 37 9 2 39 3 3 39 3 3 6 41"
2,3,-0.7554,0.9167,0.5375,-0.2324,0.1885,"14 31 31 19 14 19 19 33 17 32 14 19 14 12 14 31 15 14 17 17 17 32 14 17 12 19 14 17 14 31 32 31 31 14 19 17 12 14 12 15 15 31 17 31 19 15 17 32 15 19 15 19 31 14 31 17 31 19 15 31 12 31 17 14 14 19 14 19 19 19 14 19 31 27 15 19 12 19 17 19 19 14 14 19 31 31 17 19 19 19 31 31 17 19 19 31 12 15 15 19 19 19 19 19 9 1 10 2 20 19 19 9 34 19 34 2 35 9 34 11 38 34 34 20 9 2 19 19 19 34 20 34 34 19 19 19 36 19 19 2 19 20 19 19 19 19 19 19 13 2 10 13 10 19 19 19 19 34 19 2 19 11 11 19 9 34 34 19 19 19 2 34 19 11 34 34 19 19 10 2 34 2 2 11 19 19 19 19 2 19 19 20 20 34 19 20 34 19 2 19 25 25 25 39 25 11 25 25 25 31 26 12 27 26 25 25 26 25 27 25 39 39 25 25 25 39 25 25 25 39 12 25 25 25 9 25 25 25 25 26 25 39 27 25 12 25 9 25 26 26 25 25 25 25 25 25 25 25 39 39 27 26 39 11 25 39 39 26 27 25 25 25 25 27 26 25 26 25 25 39 25 39 39 25 42 25 25 39 25 26 25 26 25 27 25 39 25 25 39 10 11 25 26 3 13 21 9 25 0 27 22 25 0 9 0 0 12 9 3 10 41 12 3 11 9 9 25 0 9 9 9 9 10 9 0 25 0 0 3 9 9 26 9 10 9 3 3 9 25 0 25 0 0 0 0 0 41 9 11 9 3 9 41 0 9 9 41 0 9 9 0 11 9 0 9 21 3 3 0 9 9 25 3 41 3 3 27 9 9 12 9 41 3 41 0 11 25 0 9 3 34 34 23 3 12 23 34 24 42 34 36 42 34 42 23 34 34 17 23 42 34 35 0 2 35 42 34 3 34 4 1 19 34 34 42 42 0 34 34 34 42 42 34 36 34 34 42 38 23 0 34 42 34 34 34 12 34 34 34 38 34 34 34 24 34 34 42 42 34 35 34 42 34 34 36 42 0 42 38 34 2 42 35 38 3 24 35 3 36 12 34 42 35 34 0 24 38 34 12 24"
3,4,-0.7578,0.8800,0.4075,-0.2562,0.1675,"4 2 2 2 2 26 6 18 25 25 2 2 37 22 2 25 26 2 27 2 37 2 25 4 6 2 5 2 2 25 5 2 2 21 2 2 2 2 2 4 2 21 25 12 26 2 2 25 25 3 26 25 25 2 25 2 25 2 2 25 6 2 4 25 2 2 2 2 2 2 12 2 4 26 2 2 27 12 2 6 2 2 2 4 2 2 2 5 2 6 2 37 2 37 4 6 5 2 2 2 12 0 38 38 12 2 2 12 12 8 2 1 39 2 0 7 12 2 7 8 0 38 2 3 2 12 7 29 28 12 8 7 0 38 2 0 38 7 39 8 12 30 39 8 13 38 1 2 1 21 38 0 2 38 13 12 2 2 7 1 1 0 2 8 3 0 1 1 38 12 12 8 2 3 2 2 3 7 13 3 7 1 3 2 2 28 3 2 2 1 39 38 38 21 2 2 38 2 38 2 37 2 23 19 5 5 19 19 19 4 2 5 5 20 4 19 23 2 23 20 37 23 5 19 37 6 19 19 5 24 23 23 23 2 27 19 37 19 19 19 2 19 6 37 19 19 20 19 19 5 5 19 23 23 40 2 23 6 2 19 19 19 23 19 19 37 2 19 4 19 4 6 19 5 19 19 19 6 19 2 24 4 19 19 23 19 23 6 19 6 6 19 19 19 19 23 23 4 6 19 9 3 7 40 25 0 6 29 22 3 36 12 0 19 27 15 35 0 9 1 16 29 18 0 3 2 16 36 41 29 3 3 5 3 28 26 0 34 3 3 3 0 0 2 40 6 33 3 3 3 0 0 37 17 35 19 13 3 37 38 26 37 0 3 3 3 29 11 19 41 3 31 22 0 5 24 1 6 0 5 24 27 8 0 12 33 16 3 0 41 41 0 30 3 8 3 3 38 3 41 0 37 0 3 5 5 15 6 9 9 0 2 0 4 2 37 3 39 0 10 0 5 39 39 39 4 0 2 2 25 0 0 30 2 3 39 5 3 37 16 11 2 3 39 0 0 3 9 39 0 2 2 2 2 4 37 3 39 0 2 3 2 3 39 5 37 37 37 0 2 0 37 2 2 39 9 2 5 4 0 39 3 4 2 0 2 37 0 2 37 9 2 39 3 3 39 3 3 6 41"
4,5,-0.8296,1.0000,0.5681,-0.2737,0.1934,"25 25 2 25 2 27 26 25 25 25 2 25 27 25 27 2 25 25 37 27 11 25 25 25 25 34 2 25 2 25 25 37 11 25 25 2 12 25 25 25 25 2 12 25 9 25 12 25 27 37 25 25 25 25 26 25 27 25 26 11 10 5 25 4 25 25 2 25 25 26 26 16 27 2 25 25 27 2 9 25 11 26 9 25 25 27 5 25 25 2 25 2 9 25 2 25 2 2 27 25 1 13 35 2 31 1 34 0 12 12 2 38 4 32 4 12 1 2 1 6 2 2 2 2 0 1 2 6 2 33 2 5 4 2 6 35 4 37 12 2 36 12 35 2 1 12 2 0 6 2 32 12 28 6 2 6 31 2 2 2 4 12 37 36 4 2 12 2 31 5 0 2 1 36 2 5 2 5 2 2 6 2 1 31 2 13 2 2 2 2 2 5 6 2 4 4 4 31 2 2 17 17 34 17 17 17 25 34 25 17 17 17 34 17 25 17 17 25 18 25 17 27 17 27 17 25 18 25 27 26 27 17 17 25 25 17 17 17 36 17 17 25 27 25 25 17 34 34 17 17 17 25 17 25 17 18 25 27 26 25 17 18 18 17 25 17 17 23 34 17 18 18 35 18 34 17 12 25 26 18 17 18 25 12 26 17 25 17 17 25 17 17 17 17 25 17 25 34 18 17 7 3 8 13 4 38 39 39 39 39 39 39 6 39 39 3 13 39 38 1 7 39 1 0 39 38 8 13 38 0 39 42 39 1 39 38 38 3 7 38 42 39 3 1 39 7 1 1 7 7 3 39 7 7 3 38 39 39 13 17 7 1 42 1 13 39 13 38 39 39 39 38 39 8 17 17 39 13 0 39 38 7 4 38 7 42 5 39 38 39 8 7 3 3 39 0 3 13 7 13 25 34 5 36 34 25 37 24 34 27 5 2 4 0 25 34 34 23 6 3 6 25 5 26 34 37 25 5 34 34 4 34 34 2 34 5 3 26 23 3 34 0 36 25 34 37 37 25 2 4 23 34 36 34 0 5 35 23 2 34 4 34 36 4 37 6 37 35 2 34 36 2 36 37 34 4 4 25 25 34 34 35 25 37 4 37 35 0 37 5 6 34 3 6 5 6 4 36 34 6"
5,6,-0.8426,1.0000,0.5247,-0.2822,0.1630,"25 25 2 25 2 27 26 25 25 25 2 25 27 25 27 2 25 25 37 27 11 25 25 25 25 34 2 25 2 25 25 37 11 25 25 2 12 25 25 25 25 2 12 25 9 25 12 25 27 37 25 25 25 25 26 25 27 25 26 11 10 5 25 4 25 25 2 25 25 26 26 16 27 2 25 25 27 2 9 25 11 26 9 25 25 27 5 25 25 2 25 2 9 25 2 25 2 2 27 25 1 13 35 2 31 1 34 0 12 12 2 38 4 32 4 12 1 2 1 6 2 2 2 2 0 1 2 6 2 33 2 5 4 2 6 35 4 37 12 2 36 12 35 2 1 12 2 0 6 2 32 12 28 6 2 6 31 2 2 2 4 12 37 36 4 2 12 2 31 5 0 2 1 36 2 5 2 5 2 2 6 2 1 31 2 13 2 2 2 2 2 5 6 2 4 4 4 31 2 2 17 17 34 17 17 17 25 34 25 17 17 17 34 17 25 17 17 25 18 25 17 27 17 27 17 25 18 25 27 26 27 17 17 25 25 17 17 17 36 17 17 25 27 25 25 17 34 34 17 17 17 25 17 25 17 18 25 27 26 25 17 18 18 17 25 17 17 23 34 17 18 18 35 18 34 17 12 25 26 18 17 18 25 12 26 17 25 17 17 25 17 17 17 17 25 17 25 34 18 17 7 3 8 13 4 38 39 39 39 39 39 39 6 39 39 3 13 39 38 1 7 39 1 0 39 38 8 13 38 0 39 42 39 1 39 38 38 3 7 38 42 39 3 1 39 7 1 1 7 7 3 39 7 7 3 38 39 39 13 17 7 1 42 1 13 39 13 38 39 39 39 38 39 8 17 17 39 13 0 39 38 7 4 38 7 42 5 39 38 39 8 7 3 3 39 0 3 13 7 13 25 34 5 36 34 25 37 24 34 27 5 2 4 0 25 34 34 23 6 3 6 25 5 26 34 37 25 5 34 34 4 34 34 2 34 5 3 26 23 3 34 0 36 25 34 37 37 25 2 4 23 34 36 34 0 5 35 23 2 34 4 34 36 4 37 6 37 35 2 34 36 2 36 37 34 4 4 25 25 34 34 35 25 37 4 37 35 0 37 5 6 34 3 6 5 6 4 36 34 6"
6,7,-0.8486,1.0000,0.5046,-0.2923,0.1813,"12 26 12 27 7 12 27 38 8 22 25 8 25 25 25 14 25 26 25 13 12 25 26 25 26 25 12 7 25 22 25 25 12 21 27 27 25 25 12 25 25 25 22 25 21 19 25 3 27 25 25 25 25 22 26 25 26 12 25 12 25 25 7 25 25 38 26 25 25 22 27 21 7 7 25 25 12 25 1 7 25 25 25 19 25 25 15 8 26 0 25 25 26 25 0 7 26 12 1 12 18 12 2 17 12 42 0 42 7 12 8 18 37 2 5 6 17 42 42 42 12 37 42 42 37 6 12 6 12 2 5 42 42 12 4 7 7 42 17 12 12 17 4 42 18 42 42 6 12 42 7 42 42 42 42 7 8 42 42 17 42 8 7 6 42 42 8 42 12 12 42 5 4 12 2 17 4 17 42 7 42 12 42 5 12 2 42 38 17 12 42 42 6 18 42 2 42 18 2 7 3 42 16 4 42 37 42 42 42 41 6 0 4 12 6 42 42 42 5 37 41 42 2 42 42 4 42 37 42 42 2 42 42 42 37 42 5 3 42 42 5 42 4 3 42 42 42 42 0 42 42 42 42 37 42 42 42 0 42 2 42 6 3 16 42 42 0 42 0 6 42 13 42 42 42 0 4 42 42 5 42 12 42 42 42 42 12 42 42 5 0 4 4 42 41 5 42 42 3 2 6 23 25 12 12 25 12 23 7 25 8 12 25 27 27 23 25 25 26 26 25 25 24 25 12 25 8 25 12 12 7 25 4 25 12 25 12 26 25 25 27 25 25 25 26 5 25 19 25 25 25 25 24 25 27 25 7 25 25 4 26 12 25 25 25 26 25 23 26 37 25 0 27 7 26 25 24 12 25 7 26 25 7 41 4 24 27 25 7 25 7 41 6 25 25 37 12 25 25 25 5 12 31 12 12 0 0 32 12 0 3 0 19 0 41 3 12 0 0 12 41 41 3 1 0 33 0 41 12 2 0 12 3 2 12 12 12 32 33 0 0 33 41 0 0 13 12 0 2 12 1 3 3 31 0 38 3 3 3 12 3 3 0 3 12 13 0 31 12 41 0 33 0 41 41 2 19 3 13 0 31 12 0 38 12 0 12 3 19 12 33 0 12 31 3 0 3 0 12 0"
7,8,-0.8605,1.0000,0.4651,-0.2930,0.1465,"12 26 12 27 7 12 27 38 8 22 25 8 25 25 25 14 25 26 25 13 12 25 26 25 26 25 12 7 25 22 25 25 12 21 27 27 25 25 12 25 25 25 22 25 21 19 25 3 27 25 25 25 25 22 26 25 26 12 25 12 25 25 7 25 25 38 26 25 25 22 27 21 7 7 25 25 12 25 1 7 25 25 25 19 25 25 15 8 26 0 25 25 26 25 0 7 26 12 1 12 18 12 2 17 12 42 0 42 7 12 8 18 37 2 5 6 17 42 42 42 12 37 42 42 37 6 12 6 12 2 5 42 42 12 4 7 7 42 17 12 12 17 4 42 18 42 42 6 12 42 7 42 42 42 42 7 8 42 42 17 42 8 7 6 42 42 8 42 12 12 42 5 4 12 2 17 4 17 42 7 42 12 42 5 12 2 42 38 17 12 42 42 6 18 42 2 42 18 2 7 3 42 16 4 42 37 42 42 42 41 6 0 4 12 6 42 42 42 5 37 41 42 2 42 42 4 42 37 42 42 2 42 42 42 37 42 5 3 42 42 5 42 4 3 42 42 42 42 0 42 42 42 42 37 42 42 42 0 42 2 42 6 3 16 42 42 0 42 0 6 42 13 42 42 42 0 4 42 42 5 42 12 42 42 42 42 12 42 42 5 0 4 4 42 41 5 42 42 3 2 6 23 25 12 12 25 12 23 7 25 8 12 25 27 27 23 25 25 26 26 25 25 24 25 12 25 8 25 12 12 7 25 4 25 12 25 12 26 25 25 27 25 25 25 26 5 25 19 25 25 25 25 24 25 27 25 7 25 25 4 26 12 25 25 25 26 25 23 26 37 25 0 27 7 26 25 24 12 25 7 26 25 7 41 4 24 27 25 7 25 7 41 6 25 25 37 12 25 25 25 5 12 31 12 12 0 0 32 12 0 3 0 19 0 41 3 12 0 0 12 41 41 3 1 0 33 0 41 12 2 0 12 3 2 12 12 12 32 33 0 0 33 41 0 0 13 12 0 2 12 1 3 3 31 0 38 3 3 3 12 3 3 0 3 12 13 0 31 12 41 0 33 0 41 41 2 19 3 13 0 31 12 0 38 12 0 12 3 19 12 33 0 12 31 3 0 3 0 12 0"
8,8,-0.8011,0.9630,0.5396,-0.2962,0.1785,"12 26 12 27 7 12 27 38 8 22 25 8 25 25 25 14 25 26 25 13 12 25 26 25 26 25 12 7 25 22 25 25 12 21 27 27 25 25 12 25 25 25 22 25 21 19 25 3 27 25 25 25 25 22 26 25 26 12 25 12 25 25 7 25 25 38 26 25 25 22 27 21 7 7 25 25 12 25 1 7 25 25 25 19 25 25 15 8 26 0 25 25 26 25 0 7 26 12 1 12 18 12 2 17 12 42 0 42 7 12 8 18 37 2 5 6 17 42 42 42 12 37 42 42 37 6 12 6 12 2 5 42 42 12 4 7 7 42 17 12 12 17 4 42 18 42 42 6 12 42 7 42 42 42 42 7 8 42 42 17 42 8 7 6 42 42 8 42 12 12 42 5 4 12 2 17 4 17 42 7 42 12 42 5 12 2 42 38 17 12 42 42 6 18 42 2 42 18 2 7 3 42 16 4 42 37 42 42 42 41 6 0 4 12 6 42 42 42 5 37 41 42 2 42 42 4 42 37 42 42 2 42 42 42 37 42 5 3 42 42 5 42 4 3 42 42 42 42 0 42 42 42 42 37 42 42 42 0 42 2 42 6 3 16 42 42 0 42 0 6 42 13 42 42 42 0 4 42 42 5 42 12 42 42 42 42 12 42 42 5 0 4 4 42 41 5 42 42 3 2 6 23 25 12 12 25 12 23 7 25 8 12 25 27 27 23 25 25 26 26 25 25 24 25 12 25 8 25 12 12 7 25 4 25 12 25 12 26 25 25 27 25 25 25 26 5 25 19 25 25 25 25 24 25 27 25 7 25 25 4 26 12 25 25 25 26 25 23 26 37 25 0 27 7 26 25 24 12 25 7 26 25 7 41 4 24 27 25 7 25 7 41 6 25 25 37 12 25 25 25 5 12 31 12 12 0 0 32 12 0 3 0 19 0 41 3 12 0 0 12 41 41 3 1 0 33 0 41 12 2 0 12 3 2 12 12 12 32 33 0 0 33 41 0 0 13 12 0 2 12 1 3 3 31 0 38 3 3 3 12 3 3 0 3 12 13 0 31 12 41 0 33 0 41 41 2 19 3 13 0 31 12 0 38 12 0 12 3 19 12 33 0 12 31 3 0 3 0 12 0"
9,8,-0.8382,1.0000,0.5394,-0.2976,0.1524,"12 26 12 27 7 12 27 38 8 22 25 8 25 25 25 14 25 26 25 13 12 25 26 25 26 25 12 7 25 22 25 25 12 21 27 27 25 25 12 25 25 25 22 25 21 19 25 3 27 25 25 25 25 22 26 25 26 12 25 12 25 25 7 25 25 38 26 25 25 22 27 21 7 7 25 25 12 25 1 7 25 25 25 19 25 25 15 8 26 0 25 25 26 25 0 7 26 12 1 12 18 12 2 17 12 42 0 42 7 12 8 18 37 2 5 6 17 42 42 42 12 37 42 42 37 6 12 6 12 2 5 42 42 12 4 7 7 42 17 12 12 17 4 42 18 42 42 6 12 42 7 42 42 42 42 7 8 42 42 17 42 8 7 6 42 42 8 42 12 12 42 5 4 12 2 17 4 17 42 7 42 12 42 5 12 2 42 38 17 12 42 42 6 18 42 2 42 18 2 7 3 42 16 4 42 37 42 42 42 41 6 0 4 12 6 42 42 42 5 37 41 42 2 42 42 4 42 37 42 42 2 42 42 42 37 42 5 3 42 42 5 42 4 3 42 42 42 42 0 42 42 42 42 37 42 42 42 0 42 2 42 6 3 16 42 42 0 42 0 6 42 13 42 42 42 0 4 42 42 5 42 12 42 42 42 42 12 42 42 5 0 4 4 42 41 5 42 42 3 2 6 23 25 12 12 25 12 23 7 25 8 12 25 27 27 23 25 25 26 26 25 25 24 25 12 25 8 25 12 12 7 25 4 25 12 25 12 26 25 25 27 25 25 25 26 5 25 19 25 25 25 25 24 25 27 25 7 25 25 4 26 12 25 25 25 26 25 23 26 37 25 0 27 7 26 25 24 12 25 7 26 25 7 41 4 24 27 25 7 25 7 41 6 25 25 37 12 25 25 25 5 12 31 12 12 0 0 32 12 0 3 0 19 0 41 3 12 0 0 12 41 41 3 1 0 33 0 41 12 2 0 12 3 2 12 12 12 32 33 0 0 33 41 0 0 13 12 0 2 12 1 3 3 31 0 38 3 3 3 12 3 3 0 3 12 13 0 31 12 41 0 33 0 41 41 2 19 3 13 0 31 12 0 38 12 0 12 3 19 12 33 0 12 31 3 0 3 0 12 0"
