rank,fitness,winrate,genome
1,-0.7047,1.0000,"7 8 2 39 39 2 39 2 8 39 2 2 2 8 2 2 39 2 39 2 7 25 2 7 8 8 7 8 2 6 39 2 7 2 39 39 7 2 2 2 25 8 39 39 2 2 39 2 8 8 25 7 2 8 2 7 7 7 39 2 2 2 2 39 28 8 2 8 25 2 7 2 39 7 2 2 2 12 2 2 2 2 39 7 2 2 2 39 7 2 39 2 39 7 2 7 7 7 2 7 12 25 2 25 25 25 2 16 25 25 2 25 25 27 27 25 12 25 8 16 26 25 25 25 16 25 25 2 12 25 8 25 26 8 26 25 25 12 16 2 12 2 25 25 2 25 8 25 16 12 16 16 33 16 26 7 25 7 7 2 16 16 12 26 25 26 16 16 2 12 2 25 25 25 25 27 8 25 25 2 16 25 27 12 25 16 16 25 25 16 16 27 25 12 27 25 16 16 25 25 7 2 2 8 7 2 2 8 7 2 2 11 2 2 7 2 2 2 2 7 8 8 2 2 7 9 2 2 7 8 6 2 10 2 2 2 8 2 2 2 7 2 12 2 2 8 34 7 2 2 9 7 7 8 2 2 8 2 2 2 2 2 2 7 12 2 8 8 8 2 7 2 9 2 2 2 2 4 8 2 2 7 4 11 2 2 2 2 2 7 8 2 2 35 8 8 2 34 7 2 8 7 2 2 8 8 2 2 7 2 7 8 0 2 38 2 1 32 7 38 3 7 7 7 2 38 2 7 3 2 0 31 0 2 0 7 7 8 5 3 2 32 8 8 2 2 2 7 2 2 13 2 7 2 2 1 2 13 0 8 2 8 13 7 13 2 2 2 38 7 38 8 2 2 7 8 0 7 13 2 2 2 0 2 0 23 7 13 2 2 8 2 8 8 2 2 2 2 32 0 2 5 3 1 0 2 31 38 2 2 13 0 2 13 32 2 38 13 2 33 2 4 38 2 3 2 3 2 37 38 0 2 31 2 1 0 38 38 2 32 13 4 0 2 2 31 0 38 31 2 1 32 2 2 2 5 3 37 2 1 2 2 1 17 37 2 13 0 1 1 33 6 0 32 13 2 2 2 1 0 5 1 0 19 2 2 2 2 27 0 2 4 2 13 1 1 0 0 2 2"
2,-0.6702,0.9643,"39 8 39 39 39 39 39 39 39 39 39 39 2 8 27 39 39 7 39 2 5 25 39 7 39 39 7 39 39 39 39 2 8 39 39 39 25 2 2 2 39 39 39 39 39 7 39 2 8 2 25 7 39 2 39 39 4 2 39 39 39 39 39 39 28 39 8 39 25 39 39 2 39 6 39 5 2 12 39 2 39 39 39 39 2 27 39 39 39 2 39 7 39 39 39 2 39 39 39 39 12 25 2 25 25 25 2 16 25 25 2 25 25 27 27 25 12 25 8 16 26 25 25 25 16 25 25 2 12 25 8 25 26 8 26 25 25 12 16 2 12 2 25 25 2 25 8 25 16 12 16 16 33 16 26 7 25 7 7 2 16 16 12 26 25 26 16 16 2 12 2 25 25 25 25 27 8 25 25 2 16 25 27 12 25 16 16 25 25 16 16 27 25 12 27 25 16 16 25 25 7 2 2 8 7 2 2 8 7 2 2 11 2 2 7 2 2 2 2 7 8 8 2 2 7 9 2 2 7 8 6 2 10 2 2 2 8 2 2 2 7 2 12 2 2 8 34 7 2 2 9 7 7 8 2 2 8 2 2 2 2 2 2 7 12 2 8 8 8 2 7 2 9 2 2 2 2 4 8 2 2 7 4 11 2 2 2 2 2 7 8 2 2 35 8 8 2 34 7 2 8 7 2 2 8 8 2 2 7 2 7 8 0 2 38 2 1 32 7 38 3 7 7 7 2 38 2 7 3 2 0 31 0 2 0 7 7 8 5 3 2 32 8 8 2 2 2 7 2 2 13 2 7 2 2 1 2 13 0 8 2 8 13 7 13 2 2 2 38 7 38 8 2 2 7 8 0 7 13 2 2 2 0 2 0 23 7 13 2 2 8 2 8 8 2 2 2 2 32 0 2 5 3 1 0 2 31 38 2 2 13 0 2 13 32 2 38 13 2 33 2 4 38 2 3 2 3 2 37 38 0 2 31 2 1 0 38 38 2 32 13 4 0 2 2 31 0 38 31 2 1 32 2 2 2 5 3 37 2 1 2 2 1 17 37 2 13 0 1 1 33 6 0 32 13 2 2 2 1 0 5 1 0 19 2 2 2 2 27 0 2 4 2 13 1 1 0 0 2 2"
3,-0.6681,0.9600,"7 39 39 39 39 39 39 2 39 39 39 39 39 39 39 39 39 7 39 2 39 39 2 7 39 2 39 39 39 6 39 2 8 2 39 39 39 2 2 2 39 39 39 39 8 7 39 39 8 39 25 39 39 2 2 39 39 2 39 39 8 39 39 39 28 39 39 39 39 39 7 2 39 39 39 39 2 12 39 39 39 8 39 39 2 39 39 39 39 39 39 7 39 7 39 2 39 7 39 39 12 25 2 25 25 25 2 16 25 25 2 25 25 27 27 25 12 25 8 16 26 25 25 25 16 25 25 2 12 25 8 25 26 8 26 25 25 12 16 2 12 2 25 25 2 25 8 25 16 12 16 16 33 16 26 7 25 7 7 2 16 16 12 26 25 26 16 16 2 12 2 25 25 25 25 27 8 25 25 2 16 25 27 12 25 16 16 25 25 16 16 27 25 12 27 25 16 16 25 25 7 2 2 8 7 2 2 8 7 2 2 11 2 2 7 2 2 2 2 7 8 8 2 2 7 9 2 2 7 8 6 2 10 2 2 2 8 2 2 2 7 2 12 2 2 8 34 7 2 2 9 7 7 8 2 2 8 2 2 2 2 2 2 7 12 2 8 8 8 2 7 2 9 2 2 2 2 4 8 2 2 7 4 11 2 2 2 2 2 7 8 2 2 35 8 8 2 34 7 2 8 7 2 2 8 8 2 2 7 2 7 8 0 2 38 2 1 32 7 38 3 7 7 7 2 38 2 7 3 2 0 31 0 2 0 7 7 8 5 3 2 32 8 8 2 2 2 7 2 2 13 2 7 2 2 1 2 13 0 8 2 8 13 7 13 2 2 2 38 7 38 8 2 2 7 8 0 7 13 2 2 2 0 2 0 23 7 13 2 2 8 2 8 8 2 2 2 2 32 0 2 5 3 1 0 2 31 38 2 2 13 0 2 13 32 2 38 13 2 33 2 4 38 2 3 2 3 2 37 38 0 2 31 2 1 0 38 38 2 32 13 4 0 2 2 31 0 38 31 2 1 32 2 2 2 5 3 37 2 1 2 2 1 17 37 2 13 0 1 1 33 6 0 32 13 2 2 2 1 0 5 1 0 19 2 2 2 2 27 0 2 4 2 13 1 1 0 0 2 2"
4,-0.6675,0.9615,"7 8 2 39 39 2 39 2 8 39 2 2 2 8 2 2 39 2 39 2 7 25 2 7 8 8 7 8 2 6 39 2 7 2 39 39 7 2 2 2 25 8 39 39 2 2 39 2 8 8 25 7 2 8 2 7 7 7 39 2 2 2 2 39 28 8 2 8 25 2 7 2 39 7 2 2 2 12 2 2 2 2 39 7 2 2 2 39 7 2 39 2 39 7 2 7 7 7 2 7 12 25 2 25 25 25 2 16 25 25 2 25 25 27 27 25 12 25 8 16 26 25 25 25 16 25 25 2 12 25 8 25 26 8 26 25 25 12 16 2 12 2 25 25 2 25 8 25 16 12 16 16 33 16 26 7 25 7 7 2 16 16 12 26 25 26 16 16 2 12 2 25 25 25 25 27 8 25 25 2 16 25 27 12 25 16 16 25 25 16 16 27 25 12 27 25 16 16 25 25 7 7 2 8 2 2 2 5 7 8 2 11 34 8 7 2 2 8 2 9 2 2 2 2 2 9 2 2 7 2 6 7 10 2 2 2 8 2 2 4 8 2 12 7 7 7 34 2 2 2 9 11 7 7 11 2 8 8 2 2 2 2 2 2 12 2 12 2 8 2 8 7 9 2 7 2 2 4 2 2 8 8 4 11 12 2 2 8 2 2 2 2 2 35 8 2 12 34 7 34 8 7 2 2 8 8 2 2 7 2 7 8 0 2 38 2 1 32 7 38 3 7 7 7 2 38 2 7 3 2 0 31 0 2 0 7 7 8 5 3 2 32 8 8 2 2 2 7 2 2 13 2 7 2 2 1 2 13 0 8 2 8 13 7 13 2 2 2 38 7 38 8 2 2 7 8 0 7 13 2 2 2 0 2 0 23 7 13 2 2 8 2 8 8 2 2 2 2 32 0 2 5 3 1 0 2 31 38 2 2 13 0 2 13 32 2 38 13 2 33 2 4 38 2 3 2 3 2 37 38 0 2 31 2 1 0 38 38 2 32 13 4 0 2 2 31 0 38 31 2 1 32 2 2 2 5 3 37 2 1 2 2 1 17 37 2 13 0 1 1 33 6 0 32 13 2 2 2 1 0 5 1 0 19 2 2 2 2 27 0 2 4 2 13 1 1 0 0 2 2"
5,-0.6669,0.9600,"7 8 2 39 39 2 39 2 8 39 2 2 2 8 2 2 39 2 39 2 7 25 2 7 8 8 7 8 2 6 39 2 7 2 39 39 7 2 2 2 25 8 39 39 2 2 39 2 8 8 25 7 2 8 2 7 7 7 39 2 2 2 2 39 28 8 2 8 25 2 7 2 39 7 2 2 2 12 2 2 2 2 39 7 2 2 2 39 7 2 39 2 39 7 2 7 7 7 2 7 12 25 2 25 25 25 2 16 25 25 2 25 25 27 27 25 12 25 8 16 26 25 25 25 16 25 25 2 12 25 8 25 26 8 26 25 25 12 16 2 12 2 25 25 2 25 8 25 16 12 16 16 33 16 26 7 25 7 7 2 16 16 12 26 25 26 16 16 2 12 2 25 25 25 25 27 8 25 25 2 16 25 27 12 25 16 16 25 25 16 16 27 25 12 27 25 16 16 25 25 7 7 2 8 2 2 2 5 7 8 2 11 34 8 7 2 2 8 2 9 2 2 2 2 2 9 2 2 7 2 6 7 10 2 2 2 8 2 2 4 8 2 12 7 7 7 34 2 2 2 9 11 7 7 11 2 8 8 2 2 2 2 2 2 12 2 12 2 8 2 8 7 9 2 7 2 2 4 2 2 8 8 4 11 12 2 2 8 2 2 2 2 2 35 8 2 12 34 7 34 8 7 2 2 8 8 2 2 7 2 7 8 0 2 38 2 1 32 7 38 3 7 7 7 2 38 2 7 3 2 0 31 0 2 0 7 7 8 5 3 2 32 8 8 2 2 2 7 2 2 13 2 7 2 2 1 2 13 0 8 2 8 13 7 13 2 2 2 38 7 38 8 2 2 7 8 0 7 13 2 2 2 0 2 0 23 7 13 2 2 8 2 8 8 2 2 2 2 32 0 2 5 3 1 0 2 31 38 2 2 13 0 2 13 32 2 38 13 2 33 2 4 38 2 3 2 3 2 37 38 0 2 31 2 1 0 38 38 2 32 13 4 0 2 2 31 0 38 31 2 1 32 2 2 2 5 3 37 2 1 2 2 1 17 37 2 13 0 1 1 33 6 0 32 13 2 2 2 1 0 5 1 0 19 2 2 2 2 27 0 2 4 2 13 1 1 0 0 2 2"
6,-0.6667,0.9615,"39 8 39 39 39 39 39 39 39 39 39 39 2 8 27 39 39 7 39 2 5 25 39 7 39 39 7 39 39 39 39 2 8 39 39 39 25 2 2 2 39 39 39 39 39 7 39 2 8 2 25 7 39 2 39 39 4 2 39 39 39 39 39 39 28 39 8 39 25 39 39 2 39 6 39 5 2 12 39 2 39 39 39 39 2 27 39 39 39 2 39 7 39 39 39 2 39 39 39 39 12 25 2 25 25 25 2 16 25 25 2 25 25 27 27 25 12 25 8 16 26 25 25 25 16 25 25 2 12 25 8 25 26 8 26 25 25 12 16 2 12 2 25 25 2 25 8 25 16 12 16 16 33 16 26 7 25 7 7 2 16 16 12 26 25 26 16 16 2 12 2 25 25 25 25 27 8 25 25 2 16 25 27 12 25 16 16 25 25 16 16 27 25 12 27 25 16 16 25 25 7 2 2 8 7 2 2 8 7 2 2 11 2 2 7 2 2 2 2 7 8 8 2 2 7 9 2 2 7 8 6 2 10 2 2 2 8 2 2 2 7 2 12 2 2 8 34 7 2 2 9 7 7 8 2 2 8 2 2 2 2 2 2 7 12 2 8 8 8 2 7 2 9 2 2 2 2 4 8 2 2 7 4 11 2 2 2 2 2 7 8 2 2 35 8 8 2 34 7 2 8 7 2 2 8 8 2 2 7 2 7 8 0 2 38 2 1 32 7 38 3 7 7 7 2 38 2 7 3 2 0 31 0 2 0 7 7 8 5 3 2 32 8 8 2 2 2 7 2 2 13 2 7 2 2 1 2 13 0 8 2 8 13 7 13 2 2 2 38 7 38 8 2 2 7 8 0 7 13 2 2 2 0 2 0 23 7 13 2 2 8 2 8 8 2 2 2 2 32 0 2 5 3 1 0 2 31 38 2 2 13 0 2 13 32 2 38 13 2 33 2 4 38 2 3 2 3 2 37 38 0 2 31 2 1 0 38 38 2 32 13 4 0 2 2 31 0 38 31 2 1 32 2 2 2 5 3 37 2 1 2 2 1 17 37 2 13 0 1 1 33 6 0 32 13 2 2 2 1 0 5 1 0 19 2 2 2 2 27 0 2 4 2 13 1 1 0 0 2 2"
7,-0.6656,0.9583,"7 8 2 39 39 2 39 2 8 39 2 2 2 8 2 2 39 2 39 2 7 25 2 7 8 8 7 8 2 6 39 2 7 2 39 39 7 2 2 2 25 8 39 39 2 2 39 2 8 8 25 7 2 8 2 7 7 7 39 2 2 2 2 39 28 8 2 8 25 2 7 2 39 7 2 2 2 12 2 2 2 2 39 7 2 2 2 39 7 2 39 2 39 7 2 7 7 7 2 7 12 25 2 25 25 25 2 16 25 25 2 25 25 27 27 25 12 25 8 16 26 25 25 25 16 25 25 2 12 25 8 25 26 8 26 25 25 12 16 2 12 2 25 25 2 25 8 25 16 12 16 16 33 16 26 7 25 7 7 2 16 16 12 26 25 26 16 16 2 12 2 25 25 25 25 27 8 25 25 2 16 25 27 12 25 16 16 25 25 16 16 27 25 12 27 25 16 16 25 25 7 7 2 8 2 2 2 5 7 8 2 11 34 8 7 2 2 8 2 9 2 2 2 2 2 9 2 2 7 2 6 7 10 2 2 2 8 2 2 4 8 2 12 7 7 7 34 2 2 2 9 11 7 7 11 2 8 8 2 2 2 2 2 2 12 2 12 2 8 2 8 7 9 2 7 2 2 4 2 2 8 8 4 11 12 2 2 8 2 2 2 2 2 35 8 2 12 34 7 34 8 7 2 2 8 8 2 2 7 2 7 8 0 2 38 2 1 32 7 38 3 7 7 7 2 38 2 7 3 2 0 31 0 2 0 7 7 8 5 3 2 32 8 8 2 2 2 7 2 2 13 2 7 2 2 1 2 13 0 8 2 8 13 7 13 2 2 2 38 7 38 8 2 2 7 8 0 7 13 2 2 2 0 2 0 23 7 13 2 2 8 2 8 8 2 2 2 2 32 0 2 5 3 1 0 2 31 38 2 2 13 0 2 13 32 2 38 13 2 33 2 4 38 2 3 2 3 2 37 38 0 2 31 2 1 0 38 38 2 32 13 4 0 2 2 31 0 38 31 2 1 32 2 2 2 5 3 37 2 1 2 2 1 17 37 2 13 0 1 1 33 6 0 32 13 2 2 2 1 0 5 1 0 19 2 2 2 2 27 0 2 4 2 13 1 1 0 0 2 2"
8,-0.6600,0.9545,"7 39 39 39 39 39 39 2 39 39 39 39 39 39 39 39 39 7 39 2 39 39 2 7 39 2 39 39 39 6 39 2 8 2 39 39 39 2 2 2 39 39 39 39 8 7 39 39 8 39 25 39 39 2 2 39 39 2 39 39 8 39 39 39 28 39 39 39 39 39 7 2 39 39 39 39 2 12 39 39 39 8 39 39 2 39 39 39 39 39 39 7 39 7 39 2 39 7 39 39 12 25 2 25 25 25 2 16 25 25 2 25 25 27 27 25 12 25 8 16 26 25 25 25 16 25 25 2 12 25 8 25 26 8 26 25 25 12 16 2 12 2 25 25 2 25 8 25 16 12 16 16 33 16 26 7 25 7 7 2 16 16 12 26 25 26 16 16 2 12 2 25 25 25 25 27 8 25 25 2 16 25 27 12 25 16 16 25 25 16 16 27 25 12 27 25 16 16 25 25 7 7 2 8 2 2 2 5 7 8 2 11 34 8 7 2 2 8 2 9 2 2 2 2 2 9 2 2 7 2 6 7 10 2 2 2 8 2 2 4 8 2 12 7 7 7 34 2 2 2 9 11 7 7 11 2 8 8 2 2 2 2 2 2 12 2 12 2 8 2 8 7 9 2 7 2 2 4 2 2 8 8 4 11 12 2 2 8 2 2 2 2 2 35 8 2 12 34 7 34 8 7 2 2 8 8 2 2 7 2 7 8 0 2 38 2 1 32 7 38 3 7 7 7 2 38 2 7 3 2 0 31 0 2 0 7 7 8 5 3 2 32 8 8 2 2 2 7 2 2 13 2 7 2 2 1 2 13 0 8 2 8 13 7 13 2 2 2 38 7 38 8 2 2 7 8 0 7 13 2 2 2 0 2 0 23 7 13 2 2 8 2 8 8 2 2 2 2 32 0 2 5 3 1 0 2 31 38 2 2 13 0 2 13 32 2 38 13 2 33 2 4 38 2 3 2 3 2 37 38 0 2 31 2 1 0 38 38 2 32 13 4 0 2 2 31 0 38 31 2 1 32 2 2 2 5 3 37 2 1 2 2 1 17 37 2 13 0 1 1 33 6 0 32 13 2 2 2 1 0 5 1 0 19 2 2 2 2 27 0 2 4 2 13 1 1 0 0 2 2"
9,-0.6356,0.9310,"7 8 2 39 39 2 39 2 8 39 2 2 2 8 2 2 39 2 39 2 7 25 2 7 8 8 7 8 2 6 39 2 7 2 39 39 7 2 2 2 25 8 39 39 2 2 39 2 8 8 25 7 2 8 2 7 7 7 39 2 2 2 2 39 28 8 2 8 25 2 7 2 39 7 2 2 2 12 2 2 2 2 39 7 2 2 2 39 7 2 39 2 39 7 2 7 7 7 2 7 12 25 2 25 25 25 2 16 25 25 2 25 25 27 27 25 12 25 8 16 26 25 25 25 16 25 25 2 12 25 8 25 26 8 26 25 25 12 16 2 12 2 25 25 2 25 8 25 16 12 16 16 33 16 26 7 25 7 7 2 16 16 12 26 25 26 16 16 2 12 2 25 25 25 25 27 8 25 25 2 16 25 27 12 25 16 16 25 25 16 16 27 25 12 27 25 16 16 25 25 7 7 2 8 2 2 2 5 7 8 2 11 34 8 7 2 2 8 2 9 2 2 2 2 2 9 2 2 7 2 6 7 10 2 2 2 8 2 2 4 8 2 12 7 7 7 34 2 2 2 9 11 7 7 11 2 8 8 2 2 2 2 2 2 12 2 12 2 8 2 8 7 9 2 7 2 2 4 2 2 8 8 4 11 12 2 2 8 2 2 2 2 2 35 8 2 12 34 7 34 8 7 2 2 8 8 2 2 7 2 7 8 0 2 38 2 1 32 7 38 3 7 7 7 2 38 2 7 3 2 0 31 0 2 0 7 7 8 5 3 2 32 8 8 2 2 2 7 2 2 13 2 7 2 2 1 2 13 0 8 2 8 13 7 13 2 2 2 38 7 38 8 2 2 7 8 0 7 13 2 2 2 0 2 0 23 7 13 2 2 8 2 8 8 2 2 2 2 32 0 2 5 3 1 0 2 31 38 2 2 13 0 2 13 32 2 38 13 2 33 2 4 38 2 3 2 3 2 37 38 0 2 31 2 1 0 38 38 2 32 13 4 0 2 2 31 0 38 31 2 1 32 2 2 2 5 3 37 2 1 2 2 1 17 37 2 13 0 1 1 33 6 0 32 13 2 2 2 1 0 5 1 0 19 2 2 2 2 27 0 2 4 2 13 1 1 0 0 2 2"
10,-0.6236,0.9167,"39 8 39 39 39 39 39 39 39 39 39 39 2 8 27 39 39 7 39 2 5 25 39 7 39 39 7 39 39 39 39 2 8 39 39 39 25 2 2 2 39 39 39 39 39 7 39 2 8 2 25 7 39 2 39 39 4 2 39 39 39 39 39 39 28 39 8 39 25 39 39 2 39 6 39 5 2 12 39 2 39 39 39 39 2 27 39 39 39 2 39 7 39 39 39 2 39 39 39 39 12 25 2 25 25 25 2 16 25 25 2 25 25 27 27 25 12 25 8 16 26 25 25 25 16 25 25 2 12 25 8 25 26 8 26 25 25 12 16 2 12 2 25 25 2 25 8 25 16 12 16 16 33 16 26 7 25 7 7 2 16 16 12 26 25 26 16 16 2 12 2 25 25 25 25 27 8 25 25 2 16 25 27 12 25 16 16 25 25 16 16 27 25 12 27 25 16 16 25 25 7 2 2 8 7 2 2 8 7 2 2 11 2 2 7 2 2 2 2 7 8 8 2 2 7 9 2 2 7 8 6 2 10 2 2 2 8 2 2 2 7 2 12 2 2 8 34 7 2 2 9 7 7 8 2 2 8 2 2 2 2 2 2 7 12 2 8 8 8 2 7 2 9 2 2 2 2 4 8 2 2 7 4 11 2 2 2 2 2 7 8 2 2 35 8 8 2 34 7 2 8 7 2 2 8 8 2 2 7 2 7 8 0 2 38 2 1 32 7 38 3 7 7 7 2 38 2 7 3 2 0 31 0 2 0 7 7 8 5 3 2 32 8 8 2 2 2 7 2 2 13 2 7 2 2 1 2 13 0 8 2 8 13 7 13 2 2 2 38 7 38 8 2 2 7 8 0 7 13 2 2 2 0 2 0 23 7 13 2 2 8 2 8 8 2 2 2 2 32 0 2 5 3 1 0 2 31 38 2 2 13 0 2 13 32 2 38 13 2 33 2 4 38 2 3 2 3 2 37 38 0 2 31 2 1 0 38 38 2 32 13 4 0 2 2 31 0 38 31 2 1 32 2 2 2 5 3 37 2 1 2 2 1 17 37 2 13 0 1 1 33 6 0 32 13 2 2 2 1 0 5 1 0 19 2 2 2 2 27 0 2 4 2 13 1 1 0 0 2 2"
