# seed=21
# instance=EXPONENTIAL
# popSize=50
# generations=100
# crossover=BlockUniform(p=0.5)
# mutation=p0=0.002,pMin=0.002,alpha=0.95
# tournamentK=3
# elitism=2
# lambda_similarity=0.3
# fights_per_team=10
# anchors=5
gen,changes,best_fitness,best_winrate,best_similarity,avg_fitness,worst_fitness,best_genome
0,1,-0.5815,0.8621,0.9354,-0.1416,0.2773,"24 41 33 36 30 36 19 6 7 42 21 15 8 27 24 24 39 14 3 35 18 0 35 42 0 28 34 31 22 27 35 1 1 14 36 10 9 30 25 11 22 17 30 31 13 40 11 36 25 26 20 19 38 35 16 26 38 3 10 17 9 3 42 41 36 26 6 41 30 16 41 3 35 13 1 11 39 2 3 37 2 20 37 12 18 7 19 24 31 23 22 32 34 2 32 27 37 8 14 18 27 0 4 33 33 4 1 14 20 6 0 38 24 30 40 2 23 2 16 5 28 12 2 11 12 32 30 39 23 7 35 1 37 29 16 29 39 38 0 23 22 17 12 38 22 11 42 2 15 0 40 28 41 10 11 11 16 15 31 4 4 26 18 41 30 31 29 9 2 34 16 11 3 33 8 7 35 26 21 7 14 24 17 9 41 25 28 40 5 3 28 39 0 39 6 2 6 29 40 19 18 8 37 34 30 24 27 29 2 30 37 17 5 19 38 33 12 27 13 7 10 29 34 15 23 39 5 28 14 39 39 42 22 23 1 33 24 25 35 21 18 25 14 14 16 34 35 21 9 33 32 24 39 13 8 32 13 5 33 13 17 2 40 6 24 30 6 16 31 33 25 42 5 24 3 2 13 24 11 36 7 12 37 15 18 24 39 11 3 0 28 39 28 29 36 1 6 4 10 11 30 23 7 29 1 12 27 15 37 11 40 31 2 27 38 36 12 4 7 21 18 22 5 15 8 31 4 22 9 2 42 13 22 1 31 24 6 33 4 18 37 7 36 31 37 13 34 33 30 16 28 30 19 38 42 29 34 19 13 41 1 27 32 29 5 3 19 15 16 3 4 11 21 18 32 9 0 27 36 36 14 35 7 17 25 21 33 35 7 7 10 12 0 38 32 5 6 8 3 14 24 28 8 19 41 2 27 15 14 38 0 25 41 27 20 30 9 26 14 11 39 34 10 0 39 22 11 32 38 35 1 24 38 23 19 0 32 32 34 6 5 17 0 2 12 6 22 8 10 18 21 9 42 33 5 31 10 0 7 19 41 6 21 42 42 21 41 35 3 11 30 29 34 37 9 24 41 16 8 34 2 33 28 39 3 11 40 1 5 10 6 9 39 30 40 19 5 30 32 40"
1,2,-0.6437,0.8750,0.7709,-0.3777,-0.1427,"41 25 29 26 25 7 26 25 39 40 26 25 18 16 25 3 25 14 6 25 26 25 38 25 25 32 23 40 27 27 25 10 25 25 25 37 7 25 12 18 25 25 39 25 25 25 25 25 25 25 25 27 8 8 25 42 14 25 23 12 25 23 16 25 25 26 33 25 25 27 25 34 25 31 18 27 26 23 27 17 25 25 25 1 27 27 25 27 25 25 23 15 20 4 25 25 14 26 27 26 18 22 18 28 21 34 38 8 0 25 34 37 11 34 9 4 40 35 2 7 11 9 3 41 32 0 6 10 12 10 27 42 13 10 19 31 7 4 40 31 3 35 25 6 32 18 29 15 7 23 11 3 40 8 34 14 39 8 35 14 39 3 23 9 16 33 33 4 22 25 31 23 13 7 17 41 42 1 41 6 25 25 11 18 31 25 19 6 6 7 42 0 7 37 10 15 21 34 27 19 39 20 12 3 12 19 21 27 14 12 12 12 36 18 12 19 6 35 8 16 12 12 12 12 12 12 19 19 20 12 19 12 6 20 20 12 12 18 22 37 20 12 12 12 19 12 40 19 34 35 20 12 9 12 10 33 12 12 20 12 13 12 19 12 12 12 12 19 2 19 20 12 12 19 19 12 10 39 12 12 19 12 5 12 20 19 31 12 19 5 20 33 12 12 12 19 12 33 19 1 30 14 32 40 25 24 21 27 29 18 26 11 3 15 36 32 41 11 42 21 17 7 32 0 39 5 26 36 6 42 34 11 20 23 9 15 41 19 6 12 13 27 11 13 0 14 42 39 31 8 13 7 13 7 28 2 24 6 8 28 41 5 15 33 9 27 12 42 12 37 17 32 21 37 24 29 1 16 28 36 5 26 7 12 14 39 6 34 14 27 11 2 31 18 6 30 26 7 33 21 4 17 0 1 36 36 28 10 18 10 2 10 3 8 6 4 40 22 26 35 0 7 21 31 15 4 20 42 12 33 32 26 2 41 19 21 10 40 5 4 20 19 15 19 32 27 5 29 9 6 2 2 1 20 9 7 14 41 39 34 21 31 11 21 14 11 4 37 19 40 13 41 37 34 29 17 41 27 2 40 36 26 35 17 23 9 40 24 18 19 41 38 1 13 9 6 14 30 5 22"
2,3,-0.6578,0.8889,0.7702,-0.4149,-0.1978,"19 25 13 27 25 26 10 27 7 25 25 25 25 31 18 26 27 10 25 25 26 27 25 1 25 26 39 38 33 26 27 21 25 39 25 25 31 31 3 15 26 25 25 26 22 36 26 39 25 25 25 27 42 27 27 25 25 19 27 25 25 14 27 34 25 25 30 26 1 25 25 25 25 13 25 21 40 25 9 26 26 38 25 25 27 25 16 26 25 25 29 17 25 25 26 25 25 25 27 25 6 12 18 1 2 17 6 14 41 8 30 42 17 7 30 7 4 41 39 33 20 14 17 29 21 9 15 36 17 37 18 35 21 31 29 29 12 2 20 19 35 6 35 40 14 26 11 32 39 11 30 23 38 2 11 10 11 32 15 30 29 17 29 11 1 25 32 10 36 21 20 25 14 17 39 36 36 17 11 25 32 30 28 21 24 12 28 33 15 20 3 18 20 8 35 42 6 41 23 20 6 26 15 10 37 25 41 35 7 1 38 7 3 29 26 15 11 10 22 8 8 17 37 38 27 11 41 41 27 28 9 26 39 14 29 4 21 28 7 10 39 16 8 4 15 0 9 13 15 12 9 6 37 35 38 29 31 29 42 27 37 11 7 10 21 37 39 34 35 12 36 37 30 34 4 29 8 28 10 9 1 24 15 32 34 4 19 25 6 23 21 20 39 10 32 0 40 9 18 39 30 6 9 18 38 38 17 24 34 13 6 10 22 3 28 7 20 38 10 22 9 36 23 24 34 10 37 28 6 40 36 5 36 10 15 18 27 39 41 28 27 6 22 33 20 24 35 30 10 22 35 29 18 34 36 22 15 2 12 33 5 41 14 29 28 2 11 27 20 6 6 27 12 13 15 35 42 31 24 24 8 13 3 23 4 11 36 21 12 41 22 18 38 41 1 0 19 18 39 42 39 36 25 9 5 25 38 16 34 30 2 26 24 0 38 3 26 8 11 37 0 17 24 25 30 18 19 19 4 34 14 30 27 0 38 17 34 41 4 26 0 33 27 15 14 12 29 10 20 10 35 33 18 0 31 23 8 28 37 33 0 3 26 12 35 10 8 36 29 40 38 6 22 42 7 20 38 8 41 11 31 14 0 18 16 34 0 13 40 34 25 22 5 19 35 1 2 37 25 34"
3,3,-0.5979,0.8462,0.8275,-0.4153,-0.2230,"19 25 13 27 25 26 10 27 7 25 25 25 25 31 18 26 27 10 25 25 26 27 25 1 25 26 39 38 33 26 27 21 25 39 25 25 31 31 3 15 26 25 25 26 22 36 26 39 25 25 25 27 42 27 27 25 25 19 27 25 25 14 27 34 25 25 30 26 1 25 25 25 25 13 25 21 40 25 9 26 26 38 25 25 27 25 16 26 25 25 29 17 25 25 26 25 25 25 27 25 6 12 18 1 2 17 6 14 41 8 30 42 17 7 30 7 4 41 39 33 20 14 17 29 21 9 15 36 17 37 18 35 21 31 29 29 12 2 20 19 35 6 35 40 14 26 11 32 39 11 30 23 38 2 11 10 11 32 15 30 29 17 29 11 1 25 32 10 36 21 20 25 14 17 39 36 36 17 11 25 32 30 28 21 24 12 28 33 15 20 3 18 20 8 35 42 6 41 23 20 6 26 15 10 37 25 41 35 7 1 38 7 3 29 26 15 11 10 22 8 8 17 37 38 27 11 41 41 27 28 9 26 39 14 29 4 21 28 7 10 39 16 8 4 15 0 9 13 15 12 9 6 37 35 38 29 31 29 42 27 37 11 7 10 21 37 39 34 35 12 36 37 30 34 4 29 8 28 10 9 1 24 15 32 34 4 19 25 6 23 21 20 39 10 32 0 40 9 18 39 30 6 9 18 38 38 17 24 34 13 6 10 22 3 28 7 20 38 10 22 9 36 23 24 34 10 37 28 6 40 36 5 36 10 15 18 27 39 41 28 27 6 22 33 20 24 35 30 10 22 35 29 18 34 36 22 15 2 12 33 5 41 14 29 28 2 11 27 20 6 6 27 12 13 15 35 42 31 24 24 8 13 3 23 4 11 36 21 12 41 22 18 38 41 1 0 19 18 39 42 39 36 25 9 5 25 38 16 34 30 2 26 24 0 38 3 26 8 11 37 0 17 24 25 30 18 19 19 4 34 14 30 27 0 38 17 34 41 4 26 0 33 27 15 14 12 29 10 20 10 35 33 18 0 31 23 8 28 37 33 0 3 26 12 35 10 8 36 29 40 38 6 22 42 7 20 38 8 41 11 31 14 0 18 16 34 0 13 40 34 25 22 5 19 35 1 2 37 25 34"
4,4,-0.6675,0.9167,0.8306,-0.3880,-0.2517,"41 25 29 26 25 7 26 25 39 40 26 25 18 16 25 3 25 14 6 25 26 25 38 25 25 32 23 40 27 27 25 10 25 25 25 37 7 25 12 18 25 25 39 25 25 25 25 25 25 25 25 27 8 8 25 42 14 25 23 12 25 23 16 25 25 26 33 25 25 27 25 34 25 31 18 27 26 23 27 17 25 25 25 1 27 27 25 27 25 25 23 15 20 4 25 25 14 26 27 26 18 22 18 28 21 34 38 8 0 25 34 37 11 34 9 4 40 35 2 7 11 9 3 41 32 0 6 10 12 10 27 42 13 10 19 31 7 4 40 31 3 35 25 6 32 18 29 15 7 23 11 3 40 8 34 14 39 8 35 14 39 3 23 9 16 33 33 4 22 25 31 23 13 7 17 41 42 1 41 6 25 25 11 18 31 25 19 6 6 7 42 0 7 37 10 15 21 34 27 19 7 20 0 40 0 26 0 23 15 33 26 19 26 21 22 25 18 0 1 30 41 11 21 40 30 33 40 37 10 2 27 34 18 28 23 28 39 15 40 13 0 30 32 19 40 5 10 36 6 24 42 32 17 4 4 27 24 4 37 30 2 11 5 24 36 2 5 21 26 29 25 17 12 26 1 31 23 12 24 21 29 6 33 12 32 34 13 40 3 20 39 12 26 21 16 5 28 5 16 22 30 14 32 40 25 24 21 27 29 18 26 11 3 15 36 32 41 11 42 21 17 7 32 0 39 5 26 36 6 42 34 11 20 23 9 15 41 19 6 12 13 27 11 13 0 14 42 39 31 8 13 7 13 7 28 2 24 6 8 28 41 5 15 33 9 27 12 42 12 37 17 32 21 37 24 29 1 16 28 36 5 26 7 12 14 39 6 34 14 27 11 2 31 18 6 30 26 7 33 21 2 28 8 30 2 2 28 2 30 10 28 30 28 28 8 7 8 2 2 35 8 2 2 28 2 28 2 42 7 7 28 26 7 41 2 21 8 2 2 2 2 19 8 2 2 7 2 28 2 6 2 28 2 2 28 30 2 41 2 2 28 2 2 7 14 28 2 2 8 40 13 2 28 34 29 30 7 27 2 28 7 2 28 7 2 2 7 7 2 19 2 28 8 28 2 7 28 7 5 28"
5,4,-0.6556,0.9000,0.8145,-0.3650,-0.1878,"41 25 29 26 25 7 26 25 39 40 26 25 18 16 25 3 25 14 6 25 26 25 38 25 25 32 23 40 27 27 25 10 25 25 25 37 7 25 12 18 25 25 39 25 25 25 25 25 25 25 25 27 8 8 25 42 14 25 23 12 25 23 16 25 25 26 33 25 25 27 25 34 25 31 18 27 26 23 27 17 25 25 25 1 27 27 25 27 25 25 23 15 20 4 25 25 14 26 27 26 18 22 18 28 21 34 38 8 0 25 34 37 11 34 9 4 40 35 2 7 11 9 3 41 32 0 6 10 12 10 27 42 13 10 19 31 7 4 40 31 3 35 25 6 32 18 29 15 7 23 11 3 40 8 34 14 39 8 35 14 39 3 23 9 16 33 33 4 22 25 31 23 13 7 17 41 42 1 41 6 25 25 11 18 31 25 19 6 6 7 42 0 7 37 10 15 21 34 27 19 7 20 0 40 0 26 0 23 15 33 26 19 26 21 22 25 18 0 1 30 41 11 21 40 30 33 40 37 10 2 27 34 18 28 23 28 39 15 40 13 0 30 32 19 40 5 10 36 6 24 42 32 17 4 4 27 24 4 37 30 2 11 5 24 36 2 5 21 26 29 25 17 12 26 1 31 23 12 24 21 29 6 33 12 32 34 13 40 3 20 39 12 26 21 16 5 28 5 16 22 30 14 32 40 25 24 21 27 29 18 26 11 3 15 36 32 41 11 42 21 17 7 32 0 39 5 26 36 6 42 34 11 20 23 9 15 41 19 6 12 13 27 11 13 0 14 42 39 31 8 13 7 13 7 28 2 24 6 8 28 41 5 15 33 9 27 12 42 12 37 17 32 21 37 24 29 1 16 28 36 5 26 7 12 14 39 6 34 14 27 11 2 31 18 6 30 26 7 33 21 2 28 8 30 2 2 28 2 30 10 28 30 28 28 8 7 8 2 2 35 8 2 2 28 2 28 2 42 7 7 28 26 7 41 2 21 8 2 2 2 2 19 8 2 2 7 2 28 2 6 2 28 2 2 28 30 2 41 2 2 28 2 2 7 14 28 2 2 8 40 13 2 28 34 29 30 7 27 2 28 7 2 28 7 2 2 7 7 2 19 2 28 8 28 2 7 28 7 5 28"
6,5,-0.7484,1.0000,0.8386,-0.4273,-0.1975,"41 25 29 26 25 7 26 25 39 40 26 25 18 16 25 3 25 14 6 25 26 25 38 25 25 32 23 40 27 27 25 10 25 25 25 37 7 25 12 18 25 25 39 25 25 25 25 25 25 25 25 27 8 8 25 42 14 25 23 12 25 23 16 25 25 26 33 25 25 27 25 34 25 31 18 27 26 23 27 17 25 25 25 1 27 27 25 27 25 25 23 15 20 4 25 25 14 26 27 26 39 39 18 28 21 39 38 8 0 39 34 37 11 39 9 4 40 35 39 39 11 39 3 39 32 0 6 39 12 10 39 42 39 10 19 31 7 4 40 31 39 35 39 6 32 18 39 15 39 23 11 39 40 8 39 14 39 8 35 14 39 39 23 39 39 33 39 4 22 25 31 23 13 39 17 39 42 39 41 6 39 25 11 18 31 39 19 6 6 39 42 39 7 37 10 15 21 34 27 39 20 2 32 22 24 0 15 17 2 6 23 10 0 19 3 42 21 36 39 31 4 18 1 11 1 39 5 26 18 12 31 21 35 2 42 30 14 33 4 3 26 30 23 29 40 39 21 40 27 9 23 42 32 13 27 13 33 12 14 12 14 13 0 35 20 38 40 0 32 11 35 13 34 11 13 1 10 10 9 15 39 1 42 6 25 30 33 0 17 41 35 17 29 6 20 9 36 20 31 40 30 14 32 40 25 24 21 27 29 18 26 11 3 15 36 32 41 11 42 21 17 7 32 0 39 5 26 36 6 42 34 11 20 23 9 15 41 19 6 12 13 27 11 13 0 14 42 39 31 8 13 7 13 7 28 2 24 6 8 28 41 5 15 33 9 27 12 42 12 37 17 32 21 37 24 29 1 16 28 36 5 26 7 12 14 39 6 34 14 27 11 2 31 18 6 30 26 7 33 21 4 17 0 1 36 36 28 10 18 10 2 10 3 8 6 4 40 22 26 35 0 7 21 31 15 4 20 42 12 33 32 26 2 41 19 21 10 40 5 4 20 19 15 19 32 27 5 29 9 6 2 2 1 20 9 7 14 41 39 34 21 31 11 21 14 11 4 37 19 40 13 41 37 34 29 17 41 27 2 40 36 26 35 17 23 9 40 24 18 19 41 38 1 13 9 6 14 30 5 22"
7,5,-0.7423,0.9688,0.7548,-0.3829,-0.2201,"41 25 29 26 25 7 26 25 39 40 26 25 18 16 25 3 25 14 6 25 26 25 38 25 25 32 23 40 27 27 25 10 25 25 25 37 7 25 12 18 25 25 39 25 25 25 25 25 25 25 25 27 8 8 25 42 14 25 23 12 25 23 16 25 25 26 33 25 25 27 25 34 25 31 18 27 26 23 27 17 25 25 25 1 27 27 25 27 25 25 23 15 20 4 25 25 14 26 27 26 39 39 18 28 21 39 38 8 0 39 34 37 11 39 9 4 40 35 39 39 11 39 3 39 32 0 6 39 12 10 39 42 39 10 19 31 7 4 40 31 39 35 39 6 32 18 39 15 39 23 11 39 40 8 39 14 39 8 35 14 39 39 23 39 39 33 39 4 22 25 31 23 13 39 17 39 42 39 41 6 39 25 11 18 31 39 19 6 6 39 42 39 7 37 10 15 21 34 27 39 20 2 32 22 24 0 15 17 2 6 23 10 0 19 3 42 21 36 39 31 4 18 1 11 1 39 5 26 18 12 31 21 35 2 42 30 14 33 4 3 26 30 23 29 40 39 21 40 27 9 23 42 32 13 27 13 33 12 14 12 14 13 0 35 20 38 40 0 32 11 35 13 34 11 13 1 10 10 9 15 39 1 42 6 25 30 33 0 17 41 35 17 29 6 20 9 36 20 31 40 30 14 32 40 25 24 21 27 29 18 26 11 3 15 36 32 41 11 42 21 17 7 32 0 39 5 26 36 6 42 34 11 20 23 9 15 41 19 6 12 13 27 11 13 0 14 42 39 31 8 13 7 13 7 28 2 24 6 8 28 41 5 15 33 9 27 12 42 12 37 17 32 21 37 24 29 1 16 28 36 5 26 7 12 14 39 6 34 14 27 11 2 31 18 6 30 26 7 33 21 4 17 0 1 36 36 28 10 18 10 2 10 3 8 6 4 40 22 26 35 0 7 21 31 15 4 20 42 12 33 32 26 2 41 19 21 10 40 5 4 20 19 15 19 32 27 5 29 9 6 2 2 1 20 9 7 14 41 39 34 21 31 11 21 14 11 4 37 19 40 13 41 37 34 29 17 41 27 2 40 36 26 35 17 23 9 40 24 18 19 41 38 1 13 9 6 14 30 5 22"
8,5,-0.7012,0.9286,0.7580,-0.4401,-0.2456,"41 25 29 26 25 7 26 25 39 40 26 25 18 16 25 3 25 14 6 25 26 25 38 25 25 32 23 40 27 27 25 10 25 25 25 37 7 25 12 18 25 25 39 25 25 25 25 25 25 25 25 27 8 8 25 42 14 25 23 12 25 23 16 25 25 26 33 25 25 27 25 34 25 31 18 27 26 23 27 17 25 25 25 1 27 27 25 27 25 25 23 15 20 4 25 25 14 26 27 26 39 39 18 28 21 39 38 8 0 39 34 37 11 39 9 4 40 35 39 39 11 39 3 39 32 0 6 39 12 10 39 42 39 10 19 31 7 4 40 31 39 35 39 6 32 18 39 15 39 23 11 39 40 8 39 14 39 8 35 14 39 39 23 39 39 33 39 4 22 25 31 23 13 39 17 39 42 39 41 6 39 25 11 18 31 39 19 6 6 39 42 39 7 37 10 15 21 34 27 39 20 2 32 22 24 0 15 17 2 6 23 10 0 19 3 42 21 36 39 31 4 18 1 11 1 39 5 26 18 12 31 21 35 2 42 30 14 33 4 3 26 30 23 29 40 39 21 40 27 9 23 42 32 13 27 13 33 12 14 12 14 13 0 35 20 38 40 0 32 11 35 13 34 11 13 1 10 10 9 15 39 1 42 6 25 30 33 0 17 41 35 17 29 6 20 9 36 20 31 40 30 14 32 40 25 24 21 27 29 18 26 11 3 15 36 32 41 11 42 21 17 7 32 0 39 5 26 36 6 42 34 11 20 23 9 15 41 19 6 12 13 27 11 13 0 14 42 39 31 8 13 7 13 7 28 2 24 6 8 28 41 5 15 33 9 27 12 42 12 37 17 32 21 37 24 29 1 16 28 36 5 26 7 12 14 39 6 34 14 27 11 2 31 18 6 30 26 7 33 21 4 17 0 1 36 36 28 10 18 10 2 10 3 8 6 4 40 22 26 35 0 7 21 31 15 4 20 42 12 33 32 26 2 41 19 21 10 40 5 4 20 19 15 19 32 27 5 29 9 6 2 2 1 20 9 7 14 41 39 34 21 31 11 21 14 11 4 37 19 40 13 41 37 34 29 17 41 27 2 40 36 26 35 17 23 9 40 24 18 19 41 38 1 13 9 6 14 30 5 22"
9,5,-0.6865,0.9130,0.7551,-0.4311,-0.2618,"41 25 29 26 25 7 26 25 39 40 26 25 18 16 25 3 25 14 6 25 26 25 38 25 25 32 23 40 27 27 25 10 25 25 25 37 7 25 12 18 25 25 39 25 25 25 25 25 25 25 25 27 8 8 25 42 14 25 23 12 25 23 16 25 25 26 33 25 25 27 25 34 25 31 18 27 26 23 27 17 25 25 25 1 27 27 25 27 25 25 23 15 20 4 25 25 14 26 27 26 39 39 18 28 21 39 38 8 0 39 34 37 11 39 9 4 40 35 39 39 11 39 3 39 32 0 6 39 12 10 39 42 39 10 19 31 7 4 40 31 39 35 39 6 32 18 39 15 39 23 11 39 40 8 39 14 39 8 35 14 39 39 23 39 39 33 39 4 22 25 31 23 13 39 17 39 42 39 41 6 39 25 11 18 31 39 19 6 6 39 42 39 7 37 10 15 21 34 27 39 20 2 32 22 24 0 15 17 2 6 23 10 0 19 3 42 21 36 39 31 4 18 1 11 1 39 5 26 18 12 31 21 35 2 42 30 14 33 4 3 26 30 23 29 40 39 21 40 27 9 23 42 32 13 27 13 33 12 14 12 14 13 0 35 20 38 40 0 32 11 35 13 34 11 13 1 10 10 9 15 39 1 42 6 25 30 33 0 17 41 35 17 29 6 20 9 36 20 31 40 30 14 32 40 25 24 21 27 29 18 26 11 3 15 36 32 41 11 42 21 17 7 32 0 39 5 26 36 6 42 34 11 20 23 9 15 41 19 6 12 13 27 11 13 0 14 42 39 31 8 13 7 13 7 28 2 24 6 8 28 41 5 15 33 9 27 12 42 12 37 17 32 21 37 24 29 1 16 28 36 5 26 7 12 14 39 6 34 14 27 11 2 31 18 6 30 26 7 33 21 4 17 0 1 36 36 28 10 18 10 2 10 3 8 6 4 40 22 26 35 0 7 21 31 15 4 20 42 12 33 32 26 2 41 19 21 10 40 5 4 20 19 15 19 32 27 5 29 9 6 2 2 1 20 9 7 14 41 39 34 21 31 11 21 14 11 4 37 19 40 13 41 37 34 29 17 41 27 2 40 36 26 35 17 23 9 40 24 18 19 41 38 1 13 9 6 14 30 5 22"
