rank,fitness,winrate,genome
1,-0.6854,0.9706,"38 3 0 8 3 12 8 2 3 41 0 8 3 2 2 2 2 0 8 7 0 7 2 2 8 3 22 7 3 12 12 1 8 2 3 0 8 2 3 0 2 2 1 3 3 0 0 0 2 2 12 38 2 0 8 2 8 3 2 2 7 8 7 2 0 7 0 8 2 7 2 0 2 7 8 7 2 2 0 2 1 2 0 0 12 3 38 8 2 22 0 2 7 7 2 2 0 8 2 7 0 2 0 0 0 0 2 6 3 3 2 37 12 2 0 0 2 2 4 42 42 2 0 2 2 0 5 2 2 0 0 2 3 42 42 42 0 12 2 2 0 2 3 42 2 0 24 3 2 3 2 2 0 5 37 2 42 3 5 3 3 3 14 4 3 0 3 2 2 14 2 41 2 2 2 2 12 3 2 2 2 0 2 2 0 2 2 42 2 2 2 0 2 2 0 42 2 2 0 2 17 1 18 7 17 17 17 17 17 13 2 18 17 17 0 17 18 17 18 17 18 17 17 3 12 17 12 17 29 0 17 17 2 12 17 18 18 0 0 0 17 1 17 18 17 17 18 17 17 17 3 17 18 0 3 1 17 18 17 12 17 0 2 17 12 17 12 3 17 1 17 0 17 1 17 2 7 13 17 38 18 3 17 17 2 17 0 18 18 17 17 17 17 18 17 3 2 18 7 0 6 2 0 0 0 12 2 0 6 0 17 0 3 3 3 18 3 0 0 0 6 0 2 0 3 0 41 42 2 0 4 0 3 3 40 3 3 2 3 0 2 3 3 0 3 18 40 5 2 3 2 3 40 0 0 0 40 3 40 0 0 2 3 2 12 2 12 40 2 3 0 2 2 3 3 0 3 2 0 2 6 40 0 0 18 41 2 2 0 3 3 0 2 4 3 16 3 0 3 3 25 25 26 7 26 25 25 3 25 26 0 27 7 25 38 25 26 0 3 8 26 25 25 7 3 25 0 25 7 27 25 25 25 3 3 38 7 26 25 26 7 25 25 0 7 25 25 25 25 26 7 7 7 0 25 27 25 25 3 25 27 3 27 25 7 27 26 0 25 25 0 26 0 25 26 26 0 25 25 7 7 25 0 27 25 0 0 26 8 25 26 7 25 25 0 3 8 25 25 39"
2,-0.6753,0.9677,"38 3 0 8 3 12 8 2 3 41 0 8 3 2 2 2 2 0 8 7 0 7 2 2 8 3 22 7 3 12 12 1 8 2 3 0 8 2 3 0 2 2 1 3 3 0 0 0 2 2 12 38 2 0 8 2 8 3 2 2 7 8 7 2 0 7 0 8 2 7 2 0 2 7 8 7 2 2 0 2 1 2 0 0 12 3 38 8 2 22 0 2 7 7 2 2 0 8 2 7 0 2 0 0 0 0 2 6 3 3 2 37 12 2 0 0 2 2 4 42 42 2 0 2 2 0 5 2 2 0 0 2 3 42 42 42 0 12 2 2 0 2 3 42 2 0 24 3 2 3 2 2 0 5 37 2 42 3 5 3 3 3 14 4 3 0 3 2 2 14 2 41 2 2 2 2 12 3 2 2 2 0 2 2 0 2 2 42 2 2 2 0 2 2 0 42 2 2 0 2 10 1 2 7 11 13 38 10 2 2 2 9 2 10 10 12 1 13 2 0 2 2 2 3 12 28 11 2 2 0 2 11 2 12 2 37 9 0 0 11 9 1 9 13 9 13 2 38 10 9 3 2 8 10 9 2 9 38 13 12 3 2 2 12 2 0 12 10 38 1 2 0 0 9 38 2 7 13 13 11 2 3 2 6 2 2 2 2 2 2 0 1 0 11 2 2 9 9 2 2 6 2 0 0 0 12 2 0 6 0 17 0 3 3 3 18 3 0 0 0 6 0 2 0 3 0 41 42 2 0 4 0 3 3 40 3 3 2 3 0 2 3 3 0 3 18 40 5 2 3 2 3 40 0 0 0 40 3 40 0 0 2 3 2 12 2 12 40 2 3 0 2 2 3 3 0 3 2 0 2 6 40 0 0 18 41 2 2 0 3 3 0 2 4 3 16 3 0 3 3 25 25 26 7 26 25 25 3 25 26 0 27 7 25 38 25 26 0 3 8 26 25 25 7 3 25 0 25 7 27 25 25 25 3 3 38 7 26 25 26 7 25 25 0 7 25 25 25 25 26 7 7 7 0 25 27 25 25 3 25 27 3 27 25 7 27 26 0 25 25 0 26 0 25 26 26 0 25 25 7 7 25 0 27 25 0 0 26 8 25 26 7 25 25 0 3 8 25 25 39"
3,-0.6687,0.9600,"38 3 0 8 3 12 8 2 3 41 0 8 3 2 2 2 2 0 8 7 0 7 2 2 8 3 22 7 3 12 12 1 8 2 3 0 8 2 3 0 2 2 1 3 3 0 0 0 2 2 12 38 2 0 8 2 8 3 2 2 7 8 7 2 0 7 0 8 2 7 2 0 2 7 8 7 2 2 0 2 1 2 0 0 12 3 38 8 2 22 0 2 7 7 2 2 0 8 2 7 0 2 0 0 0 0 2 6 3 3 2 37 12 2 0 0 2 2 4 42 42 2 0 2 2 0 5 2 2 0 0 2 3 42 42 42 0 12 2 2 0 2 3 42 2 0 24 3 2 3 2 2 0 5 37 2 42 3 5 3 3 3 14 4 3 0 3 2 2 14 2 41 2 2 2 2 12 3 2 2 2 0 2 2 0 2 2 42 2 2 2 0 2 2 0 42 2 2 0 2 41 41 41 41 2 41 1 41 3 7 0 38 41 0 29 12 2 0 12 0 41 41 2 2 12 41 41 41 29 2 41 29 41 41 8 41 38 12 3 0 13 41 41 3 41 1 29 41 41 13 38 28 0 3 7 12 2 0 12 41 37 41 41 12 38 8 12 2 28 41 0 41 38 7 3 0 7 0 41 41 28 2 7 6 38 41 0 7 41 2 13 41 41 2 2 3 41 2 7 1 6 2 0 0 0 12 2 0 6 0 17 0 3 3 3 18 3 0 0 0 6 0 2 0 3 0 41 42 2 0 4 0 3 3 40 3 3 2 3 0 2 3 3 0 3 18 40 5 2 3 2 3 40 0 0 0 40 3 40 0 0 2 3 2 12 2 12 40 2 3 0 2 2 3 3 0 3 2 0 2 6 40 0 0 18 41 2 2 0 3 3 0 2 4 3 16 3 0 3 3 25 25 26 7 26 25 25 3 25 26 0 27 7 25 38 25 26 0 3 8 26 25 25 7 3 25 0 25 7 27 25 25 25 3 3 38 7 26 25 26 7 25 25 0 7 25 25 25 25 26 7 7 7 0 25 27 25 25 3 25 27 3 27 25 7 27 26 0 25 25 0 26 0 25 26 26 0 25 25 7 7 25 0 27 25 0 0 26 8 25 26 7 25 25 0 3 8 25 25 39"
4,-0.6605,0.9565,"38 3 0 8 3 12 8 2 3 41 0 8 3 2 2 2 2 0 8 7 0 7 2 2 8 3 22 7 3 12 12 1 8 2 3 0 8 2 3 0 2 2 1 3 3 0 0 0 2 2 12 38 2 0 8 2 8 3 2 2 7 8 7 2 0 7 0 8 2 7 2 0 2 7 8 7 2 2 0 2 1 2 0 0 12 3 38 8 2 22 0 2 7 7 2 2 0 8 2 7 0 2 0 0 0 0 2 6 3 3 2 37 12 2 0 0 2 2 4 42 42 2 0 2 2 0 5 2 2 0 0 2 3 42 42 42 0 12 2 2 0 2 3 42 2 0 24 3 2 3 2 2 0 5 37 2 42 3 5 3 3 3 14 4 3 0 3 2 2 14 2 41 2 2 2 2 12 3 2 2 2 0 2 2 0 2 2 42 2 2 2 0 2 2 0 42 2 2 0 2 38 27 2 7 2 2 8 1 2 3 2 2 2 13 29 12 2 2 12 0 1 1 2 3 12 28 12 5 29 2 2 13 2 12 8 37 2 0 0 0 3 13 7 13 2 38 29 2 3 0 2 1 8 13 3 12 2 12 12 12 3 2 2 12 12 8 12 2 28 2 5 2 2 7 12 2 7 13 13 38 1 3 13 6 2 4 0 38 3 2 0 29 2 1 2 3 2 2 7 0 6 2 0 0 0 12 2 0 6 0 17 0 3 3 3 18 3 0 0 0 6 0 2 0 3 0 41 42 2 0 4 0 3 3 40 3 3 2 3 0 2 3 3 0 3 18 40 5 2 3 2 3 40 0 0 0 40 3 40 0 0 2 3 2 12 2 12 40 2 3 0 2 2 3 3 0 3 2 0 2 6 40 0 0 18 41 2 2 0 3 3 0 2 4 3 16 3 0 3 3 25 25 26 7 26 25 25 3 25 26 0 27 7 25 38 25 26 0 3 8 26 25 25 7 3 25 0 25 7 27 25 25 25 3 3 38 7 26 25 26 7 25 25 0 7 25 25 25 25 26 7 7 7 0 25 27 25 25 3 25 27 3 27 25 7 27 26 0 25 25 0 26 0 25 26 26 0 25 25 7 7 25 0 27 25 0 0 26 8 25 26 7 25 25 0 3 8 25 25 39"
5,-0.6573,0.9500,"38 3 0 8 3 12 8 2 3 41 0 8 3 2 2 2 2 0 8 7 0 7 2 2 8 3 22 7 3 12 12 1 8 2 3 0 8 2 3 0 2 2 1 3 3 0 0 0 2 2 12 38 2 0 8 2 8 3 2 2 7 8 7 2 0 7 0 8 2 7 2 0 2 7 8 7 2 2 0 2 1 2 0 0 12 3 38 8 2 22 0 2 7 7 2 2 0 8 2 7 0 2 0 0 0 0 2 6 3 3 2 37 12 2 0 0 2 2 4 42 42 2 0 2 2 0 5 2 2 0 0 2 3 42 42 42 0 12 2 2 0 2 3 42 2 0 24 3 2 3 2 2 0 5 37 2 42 3 5 3 3 3 14 4 3 0 3 2 2 14 2 41 2 2 2 2 12 3 2 2 2 0 2 2 0 2 2 42 2 2 2 0 2 2 0 42 2 2 0 2 41 41 41 41 2 41 1 41 3 7 0 38 41 0 29 12 2 0 12 0 41 41 2 2 12 41 41 41 29 2 41 29 41 41 8 41 38 12 3 0 13 41 41 3 41 1 29 41 41 13 38 28 0 3 7 12 2 0 12 41 37 41 41 12 38 8 12 2 28 41 0 41 38 7 3 0 7 0 41 41 28 2 7 6 38 41 0 7 41 2 13 41 41 2 2 3 41 2 7 1 6 2 0 0 0 12 2 0 6 0 17 0 3 3 3 18 3 0 0 0 6 0 2 0 3 0 41 42 2 0 4 0 3 3 40 3 3 2 3 0 2 3 3 0 3 18 40 5 2 3 2 3 40 0 0 0 40 3 40 0 0 2 3 2 12 2 12 40 2 3 0 2 2 3 3 0 3 2 0 2 6 40 0 0 18 41 2 2 0 3 3 0 2 4 3 16 3 0 3 3 25 25 26 7 26 25 25 3 25 26 0 27 7 25 38 25 26 0 3 8 26 25 25 7 3 25 0 25 7 27 25 25 25 3 3 38 7 26 25 26 7 25 25 0 7 25 25 25 25 26 7 7 7 0 25 27 25 25 3 25 27 3 27 25 7 27 26 0 25 25 0 26 0 25 26 26 0 25 25 7 7 25 0 27 25 0 0 26 8 25 26 7 25 25 0 3 8 25 25 39"
6,-0.6563,0.9524,"38 3 0 8 3 12 8 2 3 41 0 8 3 2 2 2 2 0 8 7 0 7 2 2 8 3 22 7 3 12 12 1 8 2 3 0 8 2 3 0 2 2 1 3 3 0 0 0 2 2 12 38 2 0 8 2 8 3 2 2 7 8 7 2 0 7 0 8 2 7 2 0 2 7 8 7 2 2 0 2 1 2 0 0 12 3 38 8 2 22 0 2 7 7 2 2 0 8 2 7 0 2 0 0 0 0 2 6 3 3 2 37 12 2 0 0 2 2 4 42 42 2 0 2 2 0 5 2 2 0 0 2 3 42 42 42 0 12 2 2 0 2 3 42 2 0 24 3 2 3 2 2 0 5 37 2 42 3 5 3 3 3 14 4 3 0 3 2 2 14 2 41 2 2 2 2 12 3 2 2 2 0 2 2 0 2 2 42 2 2 2 0 2 2 0 42 2 2 0 2 38 27 2 7 2 2 8 1 2 3 2 2 2 13 29 12 2 2 12 0 1 1 2 3 12 28 12 5 29 2 2 13 2 12 8 37 2 0 0 0 3 13 7 13 2 38 29 2 3 0 2 1 8 13 3 12 2 12 12 12 3 2 2 12 12 8 12 2 28 2 5 2 2 7 12 2 7 13 13 38 1 3 13 6 2 4 0 38 3 2 0 29 2 1 2 3 2 2 7 0 6 2 0 0 0 12 2 0 6 0 17 0 3 3 3 18 3 0 0 0 6 0 2 0 3 0 41 42 2 0 4 0 3 3 40 3 3 2 3 0 2 3 3 0 3 18 40 5 2 3 2 3 40 0 0 0 40 3 40 0 0 2 3 2 12 2 12 40 2 3 0 2 2 3 3 0 3 2 0 2 6 40 0 0 18 41 2 2 0 3 3 0 2 4 3 16 3 0 3 3 25 25 26 7 26 25 25 3 25 26 0 27 7 25 38 25 26 0 3 8 26 25 25 7 3 25 0 25 7 27 25 25 25 3 3 38 7 26 25 26 7 25 25 0 7 25 25 25 25 26 7 7 7 0 25 27 25 25 3 25 27 3 27 25 7 27 26 0 25 25 0 26 0 25 26 26 0 25 25 7 7 25 0 27 25 0 0 26 8 25 26 7 25 25 0 3 8 25 25 39"
7,-0.6478,0.9394,"38 3 0 8 3 12 8 2 3 41 0 8 3 2 2 2 2 0 8 7 0 7 2 2 8 3 22 7 3 12 12 1 8 2 3 0 8 2 3 0 2 2 1 3 3 0 0 0 2 2 12 38 2 0 8 2 8 3 2 2 7 8 7 2 0 7 0 8 2 7 2 0 2 7 8 7 2 2 0 2 1 2 0 0 12 3 38 8 2 22 0 2 7 7 2 2 0 8 2 7 0 2 0 0 0 0 2 6 3 3 2 37 12 2 0 0 2 2 4 42 42 2 0 2 2 0 5 2 2 0 0 2 3 42 42 42 0 12 2 2 0 2 3 42 2 0 24 3 2 3 2 2 0 5 37 2 42 3 5 3 3 3 14 4 3 0 3 2 2 14 2 41 2 2 2 2 12 3 2 2 2 0 2 2 0 2 2 42 2 2 2 0 2 2 0 42 2 2 0 2 41 41 41 41 2 41 1 41 3 7 0 38 41 0 29 12 2 0 12 0 41 41 2 2 12 41 41 41 29 2 41 29 41 41 8 41 38 12 3 0 13 41 41 3 41 1 29 41 41 13 38 28 0 3 7 12 2 0 12 41 37 41 41 12 38 8 12 2 28 41 0 41 38 7 3 0 7 0 41 41 28 2 7 6 38 41 0 7 41 2 13 41 41 2 2 3 41 2 7 1 6 2 0 0 0 12 2 0 6 0 17 0 3 3 3 18 3 0 0 0 6 0 2 0 3 0 41 42 2 0 4 0 3 3 40 3 3 2 3 0 2 3 3 0 3 18 40 5 2 3 2 3 40 0 0 0 40 3 40 0 0 2 3 2 12 2 12 40 2 3 0 2 2 3 3 0 3 2 0 2 6 40 0 0 18 41 2 2 0 3 3 0 2 4 3 16 3 0 3 3 25 25 26 7 26 25 25 3 25 26 0 27 7 25 38 25 26 0 3 8 26 25 25 7 3 25 0 25 7 27 25 25 25 3 3 38 7 26 25 26 7 25 25 0 7 25 25 25 25 26 7 7 7 0 25 27 25 25 3 25 27 3 27 25 7 27 26 0 25 25 0 26 0 25 26 26 0 25 25 7 7 25 0 27 25 0 0 26 8 25 26 7 25 25 0 3 8 25 25 39"
8,-0.6338,0.9259,"38 3 0 8 3 12 8 2 3 41 0 8 3 2 2 2 2 0 8 7 0 7 2 2 8 3 22 7 3 12 12 1 8 2 3 0 8 2 3 0 2 2 1 3 3 0 0 0 2 2 12 38 2 0 8 2 8 3 2 2 7 8 7 2 0 7 0 8 2 7 2 0 2 7 8 7 2 2 0 2 1 2 0 0 12 3 38 8 2 22 0 2 7 7 2 2 0 8 2 7 0 2 0 0 0 0 2 6 3 3 2 37 12 2 0 0 2 2 4 42 42 2 0 2 2 0 5 2 2 0 0 2 3 42 42 42 0 12 2 2 0 2 3 42 2 0 24 3 2 3 2 2 0 5 37 2 42 3 5 3 3 3 14 4 3 0 3 2 2 14 2 41 2 2 2 2 12 3 2 2 2 0 2 2 0 2 2 42 2 2 2 0 2 2 0 42 2 2 0 2 41 41 41 41 2 41 1 41 3 7 0 38 41 0 29 12 2 0 12 0 41 41 2 2 12 41 41 41 29 2 41 29 41 41 8 41 38 12 3 0 13 41 41 3 41 1 29 41 41 13 38 28 0 3 7 12 2 0 12 41 37 41 41 12 38 8 12 2 28 41 0 41 38 7 3 0 7 0 41 41 28 2 7 6 38 41 0 7 41 2 13 41 41 2 2 3 41 2 7 1 6 2 0 0 0 12 2 0 6 0 17 0 3 3 3 18 3 0 0 0 6 0 2 0 3 0 41 42 2 0 4 0 3 3 40 3 3 2 3 0 2 3 3 0 3 18 40 5 2 3 2 3 40 0 0 0 40 3 40 0 0 2 3 2 12 2 12 40 2 3 0 2 2 3 3 0 3 2 0 2 6 40 0 0 18 41 2 2 0 3 3 0 2 4 3 16 3 0 3 3 25 25 26 7 26 25 25 3 25 26 0 27 7 25 38 25 26 0 3 8 26 25 25 7 3 25 0 25 7 27 25 25 25 3 3 38 7 26 25 26 7 25 25 0 7 25 25 25 25 26 7 7 7 0 25 27 25 25 3 25 27 3 27 25 7 27 26 0 25 25 0 26 0 25 26 26 0 25 25 7 7 25 0 27 25 0 0 26 8 25 26 7 25 25 0 3 8 25 25 39"
9,-0.6278,0.9200,"38 3 0 8 3 12 8 2 3 41 0 8 3 2 2 2 2 0 8 7 0 7 2 2 8 3 22 7 3 12 12 1 8 2 3 0 8 2 3 0 2 2 1 3 3 0 0 0 2 2 12 38 2 0 8 2 8 3 2 2 7 8 7 2 0 7 0 8 2 7 2 0 2 7 8 7 2 2 0 2 1 2 0 0 12 3 38 8 2 22 0 2 7 7 2 2 0 8 2 7 0 2 0 0 0 0 2 6 3 3 2 37 12 2 0 0 2 2 4 42 42 2 0 2 2 0 5 2 2 0 0 2 3 42 42 42 0 12 2 2 0 2 3 42 2 0 24 3 2 3 2 2 0 5 37 2 42 3 5 3 3 3 14 4 3 0 3 2 2 14 2 41 2 2 2 2 12 3 2 2 2 0 2 2 0 2 2 42 2 2 2 0 2 2 0 42 2 2 0 2 38 27 2 7 2 2 8 1 2 3 2 2 2 13 29 12 2 2 12 0 1 1 2 3 12 28 12 5 29 2 2 13 2 12 8 37 2 0 0 0 3 13 7 13 2 38 29 2 3 0 2 1 8 13 3 12 2 12 12 12 3 2 2 12 12 8 12 2 28 2 5 2 2 7 12 2 7 13 13 38 1 3 13 6 2 4 0 38 3 2 0 29 2 1 2 3 2 2 7 0 6 2 0 0 0 12 2 0 6 0 17 0 3 3 3 18 3 0 0 0 6 0 2 0 3 0 41 42 2 0 4 0 3 3 40 3 3 2 3 0 2 3 3 0 3 18 40 5 2 3 2 3 40 0 0 0 40 3 40 0 0 2 3 2 12 2 12 40 2 3 0 2 2 3 3 0 3 2 0 2 6 40 0 0 18 41 2 2 0 3 3 0 2 4 3 16 3 0 3 3 25 25 26 7 26 25 25 3 25 26 0 27 7 25 38 25 26 0 3 8 26 25 25 7 3 25 0 25 7 27 25 25 25 3 3 38 7 26 25 26 7 25 25 0 7 25 25 25 25 26 7 7 7 0 25 27 25 25 3 25 27 3 27 25 7 27 26 0 25 25 0 26 0 25 26 26 0 25 25 7 7 25 0 27 25 0 0 26 8 25 26 7 25 25 0 3 8 25 25 39"
10,-0.6241,0.9200,"38 3 0 8 3 12 8 2 3 41 0 8 3 2 2 2 2 0 8 7 0 7 2 2 8 3 22 7 3 12 12 1 8 2 3 0 8 2 3 0 2 2 1 3 3 0 0 0 2 2 12 38 2 0 8 2 8 3 2 2 7 8 7 2 0 7 0 8 2 7 2 0 2 7 8 7 2 2 0 2 1 2 0 0 12 3 38 8 2 22 0 2 7 7 2 2 0 8 2 7 0 2 0 0 0 0 2 6 3 3 2 37 12 2 0 0 2 2 4 42 42 2 0 2 2 0 5 2 2 0 0 2 3 42 42 42 0 12 2 2 0 2 3 42 2 0 24 3 2 3 2 2 0 5 37 2 42 3 5 3 3 3 14 4 3 0 3 2 2 14 2 41 2 2 2 2 12 3 2 2 2 0 2 2 0 2 2 42 2 2 2 0 2 2 0 42 2 2 0 2 38 27 2 7 2 2 8 1 2 3 2 2 2 13 29 12 2 2 12 0 1 1 2 3 12 28 12 5 29 2 2 13 2 12 8 37 2 0 0 0 3 13 7 13 2 38 29 2 3 0 2 1 8 13 3 12 2 12 12 12 3 2 2 12 12 8 12 2 28 2 5 2 2 7 12 2 7 13 13 38 1 3 13 6 2 4 0 38 3 2 0 29 2 1 2 3 2 2 7 0 6 2 0 0 0 12 2 0 6 0 17 0 3 3 3 18 3 0 0 0 6 0 2 0 3 0 41 42 2 0 4 0 3 3 40 3 3 2 3 0 2 3 3 0 3 18 40 5 2 3 2 3 40 0 0 0 40 3 40 0 0 2 3 2 12 2 12 40 2 3 0 2 2 3 3 0 3 2 0 2 6 40 0 0 18 41 2 2 0 3 3 0 2 4 3 16 3 0 3 3 25 25 26 7 26 25 25 3 25 26 0 27 7 25 38 25 26 0 3 8 26 25 25 7 3 25 0 25 7 27 25 25 25 3 3 38 7 26 25 26 7 25 25 0 7 25 25 25 25 26 7 7 7 0 25 27 25 25 3 25 27 3 27 25 7 27 26 0 25 25 0 26 0 25 26 26 0 25 25 7 7 25 0 27 25 0 0 26 8 25 26 7 25 25 0 3 8 25 25 39"
