# seed=30
# instance=BALANCED
# popSize=50
# generations=100
# crossover=BlockUniform(p=0.25)
# mutation=p0=0.05,pMin=0.002,alpha=0.95
# tournamentK=3
# elitism=2
# lambda_similarity=0.3
# fights_per_team=10
# anchors=5
gen,changes,best_fitness,best_winrate,best_similarity,avg_fitness,worst_fitness,best_genome
0,1,-0.5749,0.8519,0.9232,-0.1598,0.2326,"5 30 12 15 40 39 29 37 17 21 40 9 0 32 32 11 9 21 24 4 32 34 24 31 5 42 38 5 29 40 23 42 42 40 21 9 8 1 0 2 36 1 37 28 7 37 37 41 21 2 32 1 1 37 19 1 16 39 16 7 32 6 20 16 13 4 13 18 17 9 33 29 31 6 36 27 40 9 10 34 6 28 41 23 4 27 36 26 22 0 41 1 0 26 40 41 31 37 18 11 10 4 36 3 39 28 35 26 30 7 27 39 1 14 29 6 8 34 31 5 21 30 2 10 17 16 23 26 13 40 37 36 8 24 8 12 33 6 29 31 5 18 25 22 0 21 15 20 8 11 10 18 26 2 25 34 17 24 17 33 4 41 3 3 8 6 5 24 17 37 31 25 5 16 2 42 26 29 39 0 34 3 33 42 18 15 13 0 35 12 1 25 22 18 38 3 14 18 19 13 12 14 31 34 29 30 32 0 9 31 6 41 30 32 3 35 28 16 31 5 32 31 0 37 0 37 1 20 28 22 9 3 22 14 15 13 19 14 33 33 8 8 0 1 9 5 26 9 18 12 11 9 36 7 8 29 31 36 19 26 0 28 5 38 40 36 40 41 23 29 34 19 37 37 19 10 23 40 40 4 23 7 26 42 41 26 14 33 22 4 37 19 1 38 15 33 31 42 9 39 28 0 7 41 25 1 13 39 23 20 33 18 15 23 37 1 16 21 23 40 15 15 30 35 35 32 42 33 28 10 5 38 21 32 37 27 42 1 0 40 38 21 4 32 21 32 29 41 40 9 26 6 16 14 13 2 37 6 40 6 32 12 4 12 39 6 35 13 21 10 10 34 17 26 25 4 9 25 39 24 4 8 30 10 33 32 34 18 28 40 8 3 24 37 14 32 22 39 15 25 35 39 0 31 24 34 11 23 10 20 21 8 33 41 8 32 36 7 35 5 2 9 18 31 37 8 21 16 5 2 14 36 39 1 33 3 17 28 14 34 42 23 40 37 14 34 31 15 28 28 25 14 9 19 3 39 36 32 37 4 3 40 12 2 32 17 42 29 3 1 16 37 34 9 5 35 25 42 35 21 24 23 38 4 4 30 25 12 27 35 18 40 34 3 13 26 27 10 18 23"
1,2,-0.7506,0.8800,0.4313,-0.4354,-0.2284,"2 23 23 28 23 24 23 23 24 24 23 23 23 23 23 21 30 23 23 4 12 23 23 21 42 23 12 23 21 23 23 22 12 23 6 24 23 23 12 24 23 23 23 12 6 23 12 28 24 21 24 11 30 24 23 12 23 23 24 23 28 12 24 23 12 12 23 23 9 21 23 24 23 23 24 24 23 23 16 12 23 12 23 23 23 22 12 23 24 23 23 23 12 28 22 21 24 37 23 24 23 0 0 41 23 41 23 3 0 0 23 23 0 3 42 23 0 0 23 0 3 24 42 23 24 3 41 23 3 24 3 1 23 3 23 23 24 3 24 0 23 3 38 0 13 41 23 0 23 3 41 24 23 37 23 23 3 3 0 0 0 23 0 9 23 23 13 13 42 23 23 3 42 23 23 3 2 24 23 3 23 3 6 24 41 0 41 0 3 24 41 0 3 41 3 20 23 23 13 38 34 29 25 12 25 19 35 27 25 34 34 25 25 25 25 25 25 25 38 37 25 25 27 25 27 35 25 25 25 29 34 34 34 25 12 20 25 26 25 25 25 37 25 25 8 25 25 25 26 26 25 25 25 12 25 25 27 28 34 25 25 26 25 19 25 26 12 25 25 25 25 27 34 34 25 12 25 26 30 25 25 25 27 25 25 17 26 26 25 26 26 27 35 34 27 27 25 34 12 25 26 25 25 41 27 25 25 25 25 25 27 26 25 25 25 25 26 26 25 25 0 25 25 10 25 9 10 42 38 25 27 27 27 3 27 41 25 25 25 25 41 25 26 19 25 27 25 27 25 25 0 26 15 25 26 27 41 25 26 26 27 13 25 25 27 27 11 26 25 25 27 25 26 25 41 25 27 25 25 25 25 25 25 27 25 25 25 9 25 1 25 1 25 25 5 25 25 25 26 26 2 12 8 41 41 13 41 12 1 19 1 12 12 41 12 12 41 22 41 38 1 41 6 13 1 41 22 3 1 2 12 38 1 1 7 5 41 41 0 7 41 21 4 2 4 12 12 1 22 41 6 41 21 1 41 22 39 3 12 12 22 41 2 22 41 21 41 41 41 37 4 41 12 2 0 21 12 41 41 41 41 38 41 19 13 13 41 38 41 0 12 12 1 41 21 41 22 41 0 13"
2,3,-0.8345,1.0000,0.5517,-0.5176,-0.2470,"1 5 3 33 33 31 32 23 31 32 21 26 31 19 32 31 15 31 18 3 36 20 32 31 31 28 33 35 18 11 32 33 31 31 33 40 31 31 31 40 29 32 31 7 32 5 33 33 2 31 7 23 33 31 31 31 20 31 40 16 31 11 31 32 31 24 31 33 31 32 31 0 32 31 27 31 31 31 8 31 33 31 8 31 19 10 31 33 31 33 9 39 33 6 34 32 31 33 31 31 25 17 25 25 27 6 42 20 25 35 26 27 25 34 0 37 25 10 25 25 27 27 25 25 27 27 25 16 25 40 25 27 25 25 25 25 26 5 35 9 25 39 30 26 25 25 25 25 38 25 28 25 27 30 25 33 25 25 25 25 25 25 25 40 8 42 25 15 25 25 25 18 25 12 32 42 3 15 25 27 10 26 25 9 26 25 27 25 29 25 27 25 25 32 10 27 25 16 25 25 32 37 25 2 25 6 25 25 27 25 2 25 25 33 33 25 5 25 26 25 5 37 25 13 31 27 42 37 26 25 25 14 25 31 25 27 25 25 25 9 37 32 25 25 27 25 25 0 5 25 25 26 3 31 27 27 37 4 33 26 25 25 27 25 25 25 27 25 29 25 31 25 25 25 31 27 25 31 25 37 2 25 26 25 31 27 13 25 6 31 25 25 25 25 27 42 25 26 37 31 12 27 41 13 19 13 12 1 41 1 1 12 17 41 41 3 12 7 12 41 41 3 38 41 20 1 12 41 41 12 12 25 25 26 18 41 41 12 41 38 23 41 12 19 41 25 25 41 41 0 41 19 25 41 41 41 38 41 13 12 12 20 12 41 41 1 20 3 41 41 27 41 17 12 41 12 0 41 17 13 25 0 41 41 27 41 41 20 41 12 3 19 41 11 41 41 12 27 13 1 2 2 19 5 12 2 12 2 2 19 19 34 4 19 37 2 14 28 20 35 2 19 2 39 2 12 19 27 2 12 39 6 2 41 12 2 2 5 4 5 6 2 6 39 6 39 2 2 2 4 40 39 2 31 37 2 2 28 12 2 2 39 2 39 2 2 2 39 20 39 30 37 12 30 2 4 2 12 6 2 2 19 28 2 12 6 2 39 12 2 40 2 5 39 2 20 2 2 12 2"
3,3,-0.7474,0.9200,0.5755,-0.4899,-0.2753,"1 5 3 33 33 31 32 23 31 32 21 26 31 19 32 31 15 31 18 3 36 20 32 31 31 28 33 35 18 11 32 33 31 31 33 40 31 31 31 40 29 32 31 7 32 5 33 33 2 31 7 23 33 31 31 31 20 31 40 16 31 11 31 32 31 24 31 33 31 32 31 0 32 31 27 31 31 31 8 31 33 31 8 31 19 10 31 33 31 33 9 39 33 6 34 32 31 33 31 31 25 17 25 25 27 6 42 20 25 35 26 27 25 34 0 37 25 10 25 25 27 27 25 25 27 27 25 16 25 40 25 27 25 25 25 25 26 5 35 9 25 39 30 26 25 25 25 25 38 25 28 25 27 30 25 33 25 25 25 25 25 25 25 40 8 42 25 15 25 25 25 18 25 12 32 42 3 15 25 27 10 26 25 9 26 25 27 25 29 25 27 25 25 32 10 27 25 16 25 25 32 37 25 2 25 6 25 25 27 25 2 25 25 33 33 25 5 25 26 25 5 37 25 13 31 27 42 37 26 25 25 14 25 31 25 27 25 25 25 9 37 32 25 25 27 25 25 0 5 25 25 26 3 31 27 27 37 4 33 26 25 25 27 25 25 25 27 25 29 25 31 25 25 25 31 27 25 31 25 37 2 25 26 25 31 27 13 25 6 31 25 25 25 25 27 42 25 26 37 31 12 27 41 13 19 13 12 1 41 1 1 12 17 41 41 3 12 7 12 41 41 3 38 41 20 1 12 41 41 12 12 25 25 26 18 41 41 12 41 38 23 41 12 19 41 25 25 41 41 0 41 19 25 41 41 41 38 41 13 12 12 20 12 41 41 1 20 3 41 41 27 41 17 12 41 12 0 41 17 13 25 0 41 41 27 41 41 20 41 12 3 19 41 11 41 41 12 27 13 1 2 2 19 5 12 2 12 2 2 19 19 34 4 19 37 2 14 28 20 35 2 19 2 39 2 12 19 27 2 12 39 6 2 41 12 2 2 5 4 5 6 2 6 39 6 39 2 2 2 4 40 39 2 31 37 2 2 28 12 2 2 39 2 39 2 2 2 39 20 39 30 37 12 30 2 4 2 12 6 2 2 19 28 2 12 6 2 39 12 2 40 2 5 39 2 20 2 2 12 2"
4,3,-0.7814,1.0000,0.7288,-0.4950,-0.3147,"1 5 3 33 33 31 32 23 31 32 21 26 31 19 32 31 15 31 18 3 36 20 32 31 31 28 33 35 18 11 32 33 31 31 33 40 31 31 31 40 29 32 31 7 32 5 33 33 2 31 7 23 33 31 31 31 20 31 40 16 31 11 31 32 31 24 31 33 31 32 31 0 32 31 27 31 31 31 8 31 33 31 8 31 19 10 31 33 31 33 9 39 33 6 34 32 31 33 31 31 25 17 25 25 27 6 42 20 25 35 26 27 25 34 0 37 25 10 25 25 27 27 25 25 27 27 25 16 25 40 25 27 25 25 25 25 26 5 35 9 25 39 30 26 25 25 25 25 38 25 28 25 27 30 25 33 25 25 25 25 25 25 25 40 8 42 25 15 25 25 25 18 25 12 32 42 3 15 25 27 10 26 25 9 26 25 27 25 29 25 27 25 25 32 10 27 25 16 25 25 32 37 25 2 25 6 25 25 27 25 2 25 25 33 33 25 5 25 26 25 5 37 25 13 31 27 42 37 26 25 25 14 25 31 25 27 25 25 25 9 37 32 25 25 27 25 25 0 5 25 25 26 3 31 27 27 37 4 33 26 25 25 27 25 25 25 27 25 29 25 31 25 25 25 31 27 25 31 25 37 2 25 26 25 31 27 13 25 6 31 25 25 25 25 27 42 25 26 37 31 12 27 41 13 19 13 12 1 41 1 1 12 17 41 41 3 12 7 12 41 41 3 38 41 20 1 12 41 41 12 12 25 25 26 18 41 41 12 41 38 23 41 12 19 41 25 25 41 41 0 41 19 25 41 41 41 38 41 13 12 12 20 12 41 41 1 20 3 41 41 27 41 17 12 41 12 0 41 17 13 25 0 41 41 27 41 41 20 41 12 3 19 41 11 41 41 12 27 13 1 2 2 19 5 12 2 12 2 2 19 19 34 4 19 37 2 14 28 20 35 2 19 2 39 2 12 19 27 2 12 39 6 2 41 12 2 2 5 4 5 6 2 6 39 6 39 2 2 2 4 40 39 2 31 37 2 2 28 12 2 2 39 2 39 2 2 2 39 20 39 30 37 12 30 2 4 2 12 6 2 2 19 28 2 12 6 2 39 12 2 40 2 5 39 2 20 2 2 12 2"
5,3,-0.8162,1.0000,0.6127,-0.5002,-0.2756,"1 5 3 33 33 31 32 23 31 32 21 26 31 19 32 31 15 31 18 3 36 20 32 31 31 28 33 35 18 11 32 33 31 31 33 40 31 31 31 40 29 32 31 7 32 5 33 33 2 31 7 23 33 31 31 31 20 31 40 16 31 11 31 32 31 24 31 33 31 32 31 0 32 31 27 31 31 31 8 31 33 31 8 31 19 10 31 33 31 33 9 39 33 6 34 32 31 33 31 31 25 17 25 25 27 6 42 20 25 35 26 27 25 34 0 37 25 10 25 25 27 27 25 25 27 27 25 16 25 40 25 27 25 25 25 25 26 5 35 9 25 39 30 26 25 25 25 25 38 25 28 25 27 30 25 33 25 25 25 25 25 25 25 40 8 42 25 15 25 25 25 18 25 12 32 42 3 15 25 27 10 26 25 9 26 25 27 25 29 25 27 25 25 32 10 27 25 16 25 25 32 37 25 2 25 6 25 25 27 25 2 25 25 33 33 25 5 25 26 25 5 37 25 13 31 27 42 37 26 25 25 14 25 31 25 27 25 25 25 9 37 32 25 25 27 25 25 0 5 25 25 26 3 31 27 27 37 4 33 26 25 25 27 25 25 25 27 25 29 25 31 25 25 25 31 27 25 31 25 37 2 25 26 25 31 27 13 25 6 31 25 25 25 25 27 42 25 26 37 31 12 27 41 13 19 13 12 1 41 1 1 12 17 41 41 3 12 7 12 41 41 3 38 41 20 1 12 41 41 12 12 25 25 26 18 41 41 12 41 38 23 41 12 19 41 25 25 41 41 0 41 19 25 41 41 41 38 41 13 12 12 20 12 41 41 1 20 3 41 41 27 41 17 12 41 12 0 41 17 13 25 0 41 41 27 41 41 20 41 12 3 19 41 11 41 41 12 27 13 1 2 2 19 5 12 2 12 2 2 19 19 34 4 19 37 2 14 28 20 35 2 19 2 39 2 12 19 27 2 12 39 6 2 41 12 2 2 5 4 5 6 2 6 39 6 39 2 2 2 4 40 39 2 31 37 2 2 28 12 2 2 39 2 39 2 2 2 39 20 39 30 37 12 30 2 4 2 12 6 2 2 19 28 2 12 6 2 39 12 2 40 2 5 39 2 20 2 2 12 2"
6,3,-0.8126,1.0000,0.6248,-0.5243,-0.2911,"1 5 3 33 33 31 32 23 31 32 21 26 31 19 32 31 15 31 18 3 36 20 32 31 31 28 33 35 18 11 32 33 31 31 33 40 31 31 31 40 29 32 31 7 32 5 33 33 2 31 7 23 33 31 31 31 20 31 40 16 31 11 31 32 31 24 31 33 31 32 31 0 32 31 27 31 31 31 8 31 33 31 8 31 19 10 31 33 31 33 9 39 33 6 34 32 31 33 31 31 25 17 25 25 27 6 42 20 25 35 26 27 25 34 0 37 25 10 25 25 27 27 25 25 27 27 25 16 25 40 25 27 25 25 25 25 26 5 35 9 25 39 30 26 25 25 25 25 38 25 28 25 27 30 25 33 25 25 25 25 25 25 25 40 8 42 25 15 25 25 25 18 25 12 32 42 3 15 25 27 10 26 25 9 26 25 27 25 29 25 27 25 25 32 10 27 25 16 25 25 32 37 25 2 25 6 25 25 27 25 2 25 25 33 33 25 5 25 26 25 5 37 25 13 31 27 42 37 26 25 25 14 25 31 25 27 25 25 25 9 37 32 25 25 27 25 25 0 5 25 25 26 3 31 27 27 37 4 33 26 25 25 27 25 25 25 27 25 29 25 31 25 25 25 31 27 25 31 25 37 2 25 26 25 31 27 13 25 6 31 25 25 25 25 27 42 25 26 37 31 12 27 41 13 19 13 12 1 41 1 1 12 17 41 41 3 12 7 12 41 41 3 38 41 20 1 12 41 41 12 12 25 25 26 18 41 41 12 41 38 23 41 12 19 41 25 25 41 41 0 41 19 25 41 41 41 38 41 13 12 12 20 12 41 41 1 20 3 41 41 27 41 17 12 41 12 0 41 17 13 25 0 41 41 27 41 41 20 41 12 3 19 41 11 41 41 12 27 13 1 2 2 19 5 12 2 12 2 2 19 19 34 4 19 37 2 14 28 20 35 2 19 2 39 2 12 19 27 2 12 39 6 2 41 12 2 2 5 4 5 6 2 6 39 6 39 2 2 2 4 40 39 2 31 37 2 2 28 12 2 2 39 2 39 2 2 2 39 20 39 30 37 12 30 2 4 2 12 6 2 2 19 28 2 12 6 2 39 12 2 40 2 5 39 2 20 2 2 12 2"
7,3,-0.7602,0.9545,0.6479,-0.5059,-0.3186,"1 5 3 33 33 31 32 23 31 32 21 26 31 19 32 31 15 31 18 3 36 20 32 31 31 28 33 35 18 11 32 33 31 31 33 40 31 31 31 40 29 32 31 7 32 5 33 33 2 31 7 23 33 31 31 31 20 31 40 16 31 11 31 32 31 24 31 33 31 32 31 0 32 31 27 31 31 31 8 31 33 31 8 31 19 10 31 33 31 33 9 39 33 6 34 32 31 33 31 31 25 17 25 25 27 6 42 20 25 35 26 27 25 34 0 37 25 10 25 25 27 27 25 25 27 27 25 16 25 40 25 27 25 25 25 25 26 5 35 9 25 39 30 26 25 25 25 25 38 25 28 25 27 30 25 33 25 25 25 25 25 25 25 40 8 42 25 15 25 25 25 18 25 12 32 42 3 15 25 27 10 26 25 9 26 25 27 25 29 25 27 25 25 32 10 27 25 16 25 25 32 37 25 2 25 6 25 25 27 25 2 25 25 33 33 25 5 25 26 25 5 37 25 13 31 27 42 37 26 25 25 14 25 31 25 27 25 25 25 9 37 32 25 25 27 25 25 0 5 25 25 26 3 31 27 27 37 4 33 26 25 25 27 25 25 25 27 25 29 25 31 25 25 25 31 27 25 31 25 37 2 25 26 25 31 27 13 25 6 31 25 25 25 25 27 42 25 26 37 31 12 27 41 13 19 13 12 1 41 1 1 12 17 41 41 3 12 7 12 41 41 3 38 41 20 1 12 41 41 12 12 25 25 26 18 41 41 12 41 38 23 41 12 19 41 25 25 41 41 0 41 19 25 41 41 41 38 41 13 12 12 20 12 41 41 1 20 3 41 41 27 41 17 12 41 12 0 41 17 13 25 0 41 41 27 41 41 20 41 12 3 19 41 11 41 41 12 27 13 1 2 2 19 5 12 2 12 2 2 19 19 34 4 19 37 2 14 28 20 35 2 19 2 39 2 12 19 27 2 12 39 6 2 41 12 2 2 5 4 5 6 2 6 39 6 39 2 2 2 4 40 39 2 31 37 2 2 28 12 2 2 39 2 39 2 2 2 39 20 39 30 37 12 30 2 4 2 12 6 2 2 19 28 2 12 6 2 39 12 2 40 2 5 39 2 20 2 2 12 2"
8,3,-0.8245,1.0000,0.5849,-0.5394,-0.2989,"1 5 3 33 33 31 32 23 31 32 21 26 31 19 32 31 15 31 18 3 36 20 32 31 31 28 33 35 18 11 32 33 31 31 33 40 31 31 31 40 29 32 31 7 32 5 33 33 2 31 7 23 33 31 31 31 20 31 40 16 31 11 31 32 31 24 31 33 31 32 31 0 32 31 27 31 31 31 8 31 33 31 8 31 19 10 31 33 31 33 9 39 33 6 34 32 31 33 31 31 25 17 25 25 27 6 42 20 25 35 26 27 25 34 0 37 25 10 25 25 27 27 25 25 27 27 25 16 25 40 25 27 25 25 25 25 26 5 35 9 25 39 30 26 25 25 25 25 38 25 28 25 27 30 25 33 25 25 25 25 25 25 25 40 8 42 25 15 25 25 25 18 25 12 32 42 3 15 25 27 10 26 25 9 26 25 27 25 29 25 27 25 25 32 10 27 25 16 25 25 32 37 25 2 25 6 25 25 27 25 2 25 25 33 33 25 5 25 26 25 5 37 25 13 31 27 42 37 26 25 25 14 25 31 25 27 25 25 25 9 37 32 25 25 27 25 25 0 5 25 25 26 3 31 27 27 37 4 33 26 25 25 27 25 25 25 27 25 29 25 31 25 25 25 31 27 25 31 25 37 2 25 26 25 31 27 13 25 6 31 25 25 25 25 27 42 25 26 37 31 12 27 41 13 19 13 12 1 41 1 1 12 17 41 41 3 12 7 12 41 41 3 38 41 20 1 12 41 41 12 12 25 25 26 18 41 41 12 41 38 23 41 12 19 41 25 25 41 41 0 41 19 25 41 41 41 38 41 13 12 12 20 12 41 41 1 20 3 41 41 27 41 17 12 41 12 0 41 17 13 25 0 41 41 27 41 41 20 41 12 3 19 41 11 41 41 12 27 13 1 2 2 19 5 12 2 12 2 2 19 19 34 4 19 37 2 14 28 20 35 2 19 2 39 2 12 19 27 2 12 39 6 2 41 12 2 2 5 4 5 6 2 6 39 6 39 2 2 2 4 40 39 2 31 37 2 2 28 12 2 2 39 2 39 2 2 2 39 20 39 30 37 12 30 2 4 2 12 6 2 2 19 28 2 12 6 2 39 12 2 40 2 5 39 2 20 2 2 12 2"
9,3,-0.8198,1.0000,0.6007,-0.5346,-0.3000,"1 5 3 33 33 31 32 23 31 32 21 26 31 19 32 31 15 31 18 3 36 20 32 31 31 28 33 35 18 11 32 33 31 31 33 40 31 31 31 40 29 32 31 7 32 5 33 33 2 31 7 23 33 31 31 31 20 31 40 16 31 11 31 32 31 24 31 33 31 32 31 0 32 31 27 31 31 31 8 31 33 31 8 31 19 10 31 33 31 33 9 39 33 6 34 32 31 33 31 31 25 17 25 25 27 6 42 20 25 35 26 27 25 34 0 37 25 10 25 25 27 27 25 25 27 27 25 16 25 40 25 27 25 25 25 25 26 5 35 9 25 39 30 26 25 25 25 25 38 25 28 25 27 30 25 33 25 25 25 25 25 25 25 40 8 42 25 15 25 25 25 18 25 12 32 42 3 15 25 27 10 26 25 9 26 25 27 25 29 25 27 25 25 32 10 27 25 16 25 25 32 37 25 2 25 6 25 25 27 25 2 25 25 33 33 25 5 25 26 25 5 37 25 13 31 27 42 37 26 25 25 14 25 31 25 27 25 25 25 9 37 32 25 25 27 25 25 0 5 25 25 26 3 31 27 27 37 4 33 26 25 25 27 25 25 25 27 25 29 25 31 25 25 25 31 27 25 31 25 37 2 25 26 25 31 27 13 25 6 31 25 25 25 25 27 42 25 26 37 31 12 27 41 13 19 13 12 1 41 1 1 12 17 41 41 3 12 7 12 41 41 3 38 41 20 1 12 41 41 12 12 25 25 26 18 41 41 12 41 38 23 41 12 19 41 25 25 41 41 0 41 19 25 41 41 41 38 41 13 12 12 20 12 41 41 1 20 3 41 41 27 41 17 12 41 12 0 41 17 13 25 0 41 41 27 41 41 20 41 12 3 19 41 11 41 41 12 27 13 1 2 2 19 5 12 2 12 2 2 19 19 34 4 19 37 2 14 28 20 35 2 19 2 39 2 12 19 27 2 12 39 6 2 41 12 2 2 5 4 5 6 2 6 39 6 39 2 2 2 4 40 39 2 31 37 2 2 28 12 2 2 39 2 39 2 2 2 39 20 39 30 37 12 30 2 4 2 12 6 2 2 19 28 2 12 6 2 39 12 2 40 2 5 39 2 20 2 2 12 2"
