rank,fitness,winrate,genome
1,-0.7030,1.0000,"12 12 25 27 26 12 26 16 16 16 25 16 25 12 16 25 12 25 8 12 16 27 16 16 16 25 25 16 16 25 25 12 25 16 12 16 25 27 25 26 16 16 16 25 12 25 16 16 15 25 25 16 16 16 12 25 27 12 12 25 12 25 16 12 25 16 12 16 16 27 16 25 16 12 12 25 27 16 16 16 25 12 16 25 16 25 12 16 25 29 27 16 16 16 16 12 15 12 25 12 2 2 2 6 2 2 2 2 2 39 2 2 2 2 2 2 5 39 25 2 5 6 2 2 2 2 2 29 5 5 2 4 2 2 39 37 2 6 4 6 6 2 2 37 39 2 2 2 2 4 2 2 2 2 2 2 2 4 2 37 2 2 39 2 2 2 5 37 2 2 2 2 2 2 2 2 4 37 2 6 39 4 2 2 39 39 5 2 4 2 2 5 2 28 2 4 2 2 2 2 39 0 39 39 0 39 0 39 3 3 39 0 3 3 39 0 33 3 39 3 2 2 0 39 0 0 39 3 0 0 39 0 39 3 29 3 0 39 2 0 0 3 0 39 6 39 4 6 37 0 0 39 39 0 37 0 5 2 2 39 39 3 0 0 31 3 3 6 2 39 39 0 18 39 39 0 39 0 0 39 39 6 2 3 39 2 39 39 39 2 0 2 0 41 39 0 2 39 39 39 4 4 5 2 2 5 2 37 28 2 2 2 37 2 2 2 6 37 2 2 6 2 2 2 2 37 37 2 2 2 2 2 4 2 6 2 2 2 2 2 4 6 2 37 2 2 2 4 5 30 28 2 2 2 2 2 2 2 2 2 4 2 2 2 2 2 6 2 6 5 28 2 2 2 37 4 2 5 2 2 2 2 2 2 2 2 2 2 2 2 2 4 6 2 4 2 2 37 37 2 3 13 0 13 13 1 34 31 0 13 25 0 38 0 0 3 3 1 3 3 0 3 0 4 13 0 0 3 0 1 0 1 0 38 38 3 13 3 0 3 38 31 38 3 38 3 3 0 0 38 13 3 3 0 3 3 38 0 0 3 0 0 3 0 0 1 3 3 0 13 31 0 0 3 0 3 3 3 1 0 32 0 3 38 3 1 0 0 0 3 0 0 0 38 0 38 3 39 0 34"
2,-0.7029,1.0000,"12 12 25 27 26 12 26 16 16 16 25 16 25 12 16 25 12 25 8 12 16 27 16 16 16 25 25 16 16 25 25 12 25 16 12 16 25 27 25 26 16 16 16 25 12 25 16 16 15 25 25 16 16 16 12 25 27 12 12 25 12 25 16 12 25 16 12 16 16 27 16 25 16 12 12 25 27 16 16 16 25 12 16 25 16 25 12 16 25 29 27 16 16 16 16 12 15 12 25 12 2 2 4 4 2 2 2 2 2 2 2 2 2 2 5 2 2 2 2 2 5 6 37 2 5 2 2 2 37 5 2 6 2 4 39 37 4 2 2 4 4 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 37 2 2 39 2 2 4 5 4 37 2 2 2 2 2 2 2 2 6 2 2 39 6 2 37 37 2 2 2 4 2 2 2 2 6 2 2 2 2 2 2 39 3 39 0 0 39 0 39 3 3 0 0 0 3 39 3 0 3 0 0 2 0 3 39 0 0 39 3 0 0 39 0 39 3 29 0 0 39 0 0 0 0 0 0 6 39 0 6 0 0 0 39 0 3 41 0 5 0 0 3 39 3 0 0 31 3 0 0 2 39 39 0 18 39 39 3 39 0 0 3 3 6 2 3 39 2 0 39 0 2 0 2 0 0 39 0 2 39 39 39 4 4 5 2 2 5 2 37 28 2 2 2 37 2 2 2 6 37 2 2 6 2 2 2 2 37 37 2 2 2 2 2 4 2 6 2 2 2 2 2 4 6 2 37 2 2 2 4 5 30 28 2 2 2 2 2 2 2 2 2 4 2 2 2 2 2 6 2 6 5 28 2 2 2 37 4 2 5 2 2 2 2 2 2 2 2 2 2 2 2 2 4 6 2 4 2 2 37 37 2 3 13 0 13 13 1 34 31 0 13 25 0 38 0 0 3 3 1 3 3 0 3 0 4 13 0 0 3 0 1 0 1 0 38 38 3 13 3 0 3 38 31 38 3 38 3 3 0 0 38 13 3 3 0 3 3 38 0 0 3 0 0 3 0 0 1 3 3 0 13 31 0 0 3 0 3 3 3 1 0 32 0 3 38 3 1 0 0 0 3 0 0 0 38 0 38 3 39 0 34"
3,-0.7018,1.0000,"12 12 25 27 26 12 26 16 16 16 25 16 25 12 16 25 12 25 8 12 16 27 16 16 16 25 25 16 16 25 25 12 25 16 12 16 25 27 25 26 16 16 16 25 12 25 16 16 15 25 25 16 16 16 12 25 27 12 12 25 12 25 16 12 25 16 12 16 16 27 16 25 16 12 12 25 27 16 16 16 25 12 16 25 16 25 12 16 25 29 27 16 16 16 16 12 15 12 25 12 2 2 4 4 2 2 2 2 2 2 2 2 2 2 5 2 2 2 2 2 5 6 37 2 5 2 2 2 37 5 2 6 2 4 39 37 4 2 2 4 4 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 37 2 2 39 2 2 4 5 4 37 2 2 2 2 2 2 2 2 6 2 2 39 6 2 37 37 2 2 2 4 2 2 2 2 6 2 2 2 2 2 2 39 3 39 0 0 39 0 39 3 3 0 0 0 3 39 3 0 3 0 0 2 0 3 39 0 0 39 3 0 0 39 0 39 3 29 0 0 39 0 0 0 0 0 0 6 39 0 6 0 0 0 39 0 3 41 0 5 0 0 3 39 3 0 0 31 3 0 0 2 39 39 0 18 39 39 3 39 0 0 3 3 6 2 3 39 2 0 39 0 2 0 2 0 0 39 0 2 39 39 39 4 4 5 2 2 5 2 37 28 2 2 2 37 2 2 2 6 37 2 2 6 2 2 2 2 37 37 2 2 2 2 2 4 2 6 2 2 2 2 2 4 6 2 37 2 2 2 4 5 30 28 2 2 2 2 2 2 2 2 2 4 2 2 2 2 2 6 2 6 5 28 2 2 2 37 4 2 5 2 2 2 2 2 2 2 2 2 2 2 2 2 4 6 2 4 2 2 37 37 2 3 13 0 13 13 1 34 31 0 13 25 0 38 0 0 3 3 1 3 3 0 3 0 4 13 0 0 3 0 1 0 1 0 38 38 3 13 3 0 3 38 31 38 3 38 3 3 0 0 38 13 3 3 0 3 3 38 0 0 3 0 0 3 0 0 1 3 3 0 13 31 0 0 3 0 3 3 3 1 0 32 0 3 38 3 1 0 0 0 3 0 0 0 38 0 38 3 39 0 34"
4,-0.7016,1.0000,"12 12 25 27 26 12 26 16 16 16 25 16 25 12 16 25 12 25 8 12 16 27 16 16 16 25 25 16 16 25 25 12 25 16 12 16 25 27 25 26 16 16 16 25 12 25 16 16 15 25 25 16 16 16 12 25 27 12 12 25 12 25 16 12 25 16 12 16 16 27 16 25 16 12 12 25 27 16 16 16 25 12 16 25 16 25 12 16 25 29 27 16 16 16 16 12 15 12 25 12 2 2 2 6 2 2 2 2 2 39 2 2 2 2 2 2 5 39 25 2 5 6 2 2 2 2 2 29 5 5 2 4 2 2 39 37 2 6 4 6 6 2 2 37 39 2 2 2 2 4 2 2 2 2 2 2 2 4 2 37 2 2 39 2 2 2 5 37 2 2 2 2 2 2 2 2 4 37 2 6 39 4 2 2 39 39 5 2 4 2 2 5 2 28 2 4 2 2 2 2 39 0 39 39 0 39 0 39 3 3 39 0 3 3 39 0 33 3 39 3 2 2 0 39 0 0 39 3 0 0 39 0 39 3 29 3 0 39 2 0 0 3 0 39 6 39 4 6 37 0 0 39 39 0 37 0 5 2 2 39 39 3 0 0 31 3 3 6 2 39 39 0 18 39 39 0 39 0 0 39 39 6 2 3 39 2 39 39 39 2 0 2 0 41 39 0 2 39 39 39 4 4 5 2 2 5 2 37 28 2 2 2 37 2 2 2 6 37 2 2 6 2 2 2 2 37 37 2 2 2 2 2 4 2 6 2 2 2 2 2 4 6 2 37 2 2 2 4 5 30 28 2 2 2 2 2 2 2 2 2 4 2 2 2 2 2 6 2 6 5 28 2 2 2 37 4 2 5 2 2 2 2 2 2 2 2 2 2 2 2 2 4 6 2 4 2 2 37 37 2 3 13 0 13 13 1 34 31 0 13 25 0 38 0 0 3 3 1 3 3 0 3 0 4 13 0 0 3 0 1 0 1 0 38 38 3 13 3 0 3 38 31 38 3 38 3 3 0 0 38 13 3 3 0 3 3 38 0 0 3 0 0 3 0 0 1 3 3 0 13 31 0 0 3 0 3 3 3 1 0 32 0 3 38 3 1 0 0 0 3 0 0 0 38 0 38 3 39 0 34"
5,-0.7005,1.0000,"12 12 25 27 26 12 26 16 16 16 25 16 25 12 16 25 12 25 8 12 16 27 16 16 16 25 25 16 16 25 25 12 25 16 12 16 25 27 25 26 16 16 16 25 12 25 16 16 15 25 25 16 16 16 12 25 27 12 12 25 12 25 16 12 25 16 12 16 16 27 16 25 16 12 12 25 27 16 16 16 25 12 16 25 16 25 12 16 25 29 27 16 16 16 16 12 15 12 25 12 2 2 2 6 2 2 2 2 2 39 2 2 2 2 2 2 5 39 25 2 5 6 2 2 2 2 2 29 5 5 2 4 2 2 39 37 2 6 4 6 6 2 2 37 39 2 2 2 2 4 2 2 2 2 2 2 2 4 2 37 2 2 39 2 2 2 5 37 2 2 2 2 2 2 2 2 4 37 2 6 39 4 2 2 39 39 5 2 4 2 2 5 2 28 2 4 2 2 2 2 39 0 39 39 0 39 0 39 3 3 39 0 3 3 39 0 33 3 39 3 2 2 0 39 0 0 39 3 0 0 39 0 39 3 29 3 0 39 2 0 0 3 0 39 6 39 4 6 37 0 0 39 39 0 37 0 5 2 2 39 39 3 0 0 31 3 3 6 2 39 39 0 18 39 39 0 39 0 0 39 39 6 2 3 39 2 39 39 39 2 0 2 0 41 39 0 2 39 39 39 4 4 5 2 2 5 2 37 28 2 2 2 37 2 2 2 6 37 2 2 6 2 2 2 2 37 37 2 2 2 2 2 4 2 6 2 2 2 2 2 4 6 2 37 2 2 2 4 5 30 28 2 2 2 2 2 2 2 2 2 4 2 2 2 2 2 6 2 6 5 28 2 2 2 37 4 2 5 2 2 2 2 2 2 2 2 2 2 2 2 2 4 6 2 4 2 2 37 37 2 3 13 0 13 13 1 34 31 0 13 25 0 38 0 0 3 3 1 3 3 0 3 0 4 13 0 0 3 0 1 0 1 0 38 38 3 13 3 0 3 38 31 38 3 38 3 3 0 0 38 13 3 3 0 3 3 38 0 0 3 0 0 3 0 0 1 3 3 0 13 31 0 0 3 0 3 3 3 1 0 32 0 3 38 3 1 0 0 0 3 0 0 0 38 0 38 3 39 0 34"
6,-0.6604,0.9600,"12 12 25 27 26 12 26 16 16 16 25 16 25 12 16 25 12 25 8 12 16 27 16 16 16 25 25 16 16 25 25 12 25 16 12 16 25 27 25 26 16 16 16 25 12 25 16 16 15 25 25 16 16 16 12 25 27 12 12 25 12 25 16 12 25 16 12 16 16 27 16 25 16 12 12 25 27 16 16 16 25 12 16 25 16 25 12 16 25 29 27 16 16 16 16 12 15 12 25 12 2 2 2 6 2 2 2 2 2 39 2 2 2 2 2 2 5 39 25 2 5 6 2 2 2 2 2 29 5 5 2 4 2 2 39 37 2 6 4 6 6 2 2 37 39 2 2 2 2 4 2 2 2 2 2 2 2 4 2 37 2 2 39 2 2 2 5 37 2 2 2 2 2 2 2 2 4 37 2 6 39 4 2 2 39 39 5 2 4 2 2 5 2 28 2 4 2 2 2 2 39 0 39 39 0 39 0 39 3 3 39 0 3 3 39 0 33 3 39 3 2 2 0 39 0 0 39 3 0 0 39 0 39 3 29 3 0 39 2 0 0 3 0 39 6 39 4 6 37 0 0 39 39 0 37 0 5 2 2 39 39 3 0 0 31 3 3 6 2 39 39 0 18 39 39 0 39 0 0 39 39 6 2 3 39 2 39 39 39 2 0 2 0 41 39 0 2 39 39 39 4 4 5 2 2 5 2 37 28 2 2 2 37 2 2 2 6 37 2 2 6 2 2 2 2 37 37 2 2 2 2 2 4 2 6 2 2 2 2 2 4 6 2 37 2 2 2 4 5 30 28 2 2 2 2 2 2 2 2 2 4 2 2 2 2 2 6 2 6 5 28 2 2 2 37 4 2 5 2 2 2 2 2 2 2 2 2 2 2 2 2 4 6 2 4 2 2 37 37 2 3 13 0 13 13 1 34 31 0 13 25 0 38 0 0 3 3 1 3 3 0 3 0 4 13 0 0 3 0 1 0 1 0 38 38 3 13 3 0 3 38 31 38 3 38 3 3 0 0 38 13 3 3 0 3 3 38 0 0 3 0 0 3 0 0 1 3 3 0 13 31 0 0 3 0 3 3 3 1 0 32 0 3 38 3 1 0 0 0 3 0 0 0 38 0 38 3 39 0 34"
7,-0.6604,0.9600,"12 12 25 27 26 12 26 16 16 16 25 16 25 12 16 25 12 25 8 12 16 27 16 16 16 25 25 16 16 25 25 12 25 16 12 16 25 27 25 26 16 16 16 25 12 25 16 16 15 25 25 16 16 16 12 25 27 12 12 25 12 25 16 12 25 16 12 16 16 27 16 25 16 12 12 25 27 16 16 16 25 12 16 25 16 25 12 16 25 29 27 16 16 16 16 12 15 12 25 12 2 2 2 6 2 2 2 2 2 39 2 2 2 2 2 2 5 39 25 2 5 6 2 2 2 2 2 29 5 5 2 4 2 2 39 37 2 6 4 6 6 2 2 37 39 2 2 2 2 4 2 2 2 2 2 2 2 4 2 37 2 2 39 2 2 2 5 37 2 2 2 2 2 2 2 2 4 37 2 6 39 4 2 2 39 39 5 2 4 2 2 5 2 28 2 4 2 2 2 2 39 0 39 39 0 39 0 39 3 3 39 0 3 3 39 0 33 3 39 3 2 2 0 39 0 0 39 3 0 0 39 0 39 3 29 3 0 39 2 0 0 3 0 39 6 39 4 6 37 0 0 39 39 0 37 0 5 2 2 39 39 3 0 0 31 3 3 6 2 39 39 0 18 39 39 0 39 0 0 39 39 6 2 3 39 2 39 39 39 2 0 2 0 41 39 0 2 39 39 39 4 4 5 2 2 5 2 37 28 2 2 2 37 2 2 2 6 37 2 2 6 2 2 2 2 37 37 2 2 2 2 2 4 2 6 2 2 2 2 2 4 6 2 37 2 2 2 4 5 30 28 2 2 2 2 2 2 2 2 2 4 2 2 2 2 2 6 2 6 5 28 2 2 2 37 4 2 5 2 2 2 2 2 2 2 2 2 2 2 2 2 4 6 2 4 2 2 37 37 2 3 13 0 13 13 1 34 31 0 13 25 0 38 0 0 3 3 1 3 3 0 3 0 4 13 0 0 3 0 1 0 1 0 38 38 3 13 3 0 3 38 31 38 3 38 3 3 0 0 38 13 3 3 0 3 3 38 0 0 3 0 0 3 0 0 1 3 3 0 13 31 0 0 3 0 3 3 3 1 0 32 0 3 38 3 1 0 0 0 3 0 0 0 38 0 38 3 39 0 34"
8,-0.6591,0.9565,"12 12 25 27 26 12 26 16 16 16 25 16 25 12 16 25 12 25 8 12 16 27 16 16 16 25 25 16 16 25 25 12 25 16 12 16 25 27 25 26 16 16 16 25 12 25 16 16 15 25 25 16 16 16 12 25 27 12 12 25 12 25 16 12 25 16 12 16 16 27 16 25 16 12 12 25 27 16 16 16 25 12 16 25 16 25 12 16 25 29 27 16 16 16 16 12 15 12 25 12 2 2 4 4 2 2 2 2 2 2 2 2 2 2 5 2 2 2 2 2 5 6 37 2 5 2 2 2 37 5 2 6 2 4 39 37 4 2 2 4 4 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 37 2 2 39 2 2 4 5 4 37 2 2 2 2 2 2 2 2 6 2 2 39 6 2 37 37 2 2 2 4 2 2 2 2 6 2 2 2 2 2 2 39 0 39 39 0 39 0 39 3 3 39 0 3 3 39 0 33 3 39 3 2 2 0 39 0 0 39 3 0 0 39 0 39 3 29 3 0 39 2 0 0 3 0 39 6 39 4 6 37 0 0 39 39 0 37 0 5 2 2 39 39 3 0 0 31 3 3 6 2 39 39 0 18 39 39 0 39 0 0 39 39 6 2 3 39 2 39 39 39 2 0 2 0 41 39 0 2 39 39 39 4 4 5 2 2 5 2 37 28 2 2 2 37 2 2 2 6 37 2 2 6 2 2 2 2 37 37 2 2 2 2 2 4 2 6 2 2 2 2 2 4 6 2 37 2 2 2 4 5 30 28 2 2 2 2 2 2 2 2 2 4 2 2 2 2 2 6 2 6 5 28 2 2 2 37 4 2 5 2 2 2 2 2 2 2 2 2 2 2 2 2 4 6 2 4 2 2 37 37 2 3 13 0 13 13 1 34 31 0 13 25 0 38 0 0 3 3 1 3 3 0 3 0 4 13 0 0 3 0 1 0 1 0 38 38 3 13 3 0 3 38 31 38 3 38 3 3 0 0 38 13 3 3 0 3 3 38 0 0 3 0 0 3 0 0 1 3 3 0 13 31 0 0 3 0 3 3 3 1 0 32 0 3 38 3 1 0 0 0 3 0 0 0 38 0 38 3 39 0 34"
9,-0.6580,0.9545,"12 12 25 27 26 12 26 16 16 16 25 16 25 12 16 25 12 25 8 12 16 27 16 16 16 25 25 16 16 25 25 12 25 16 12 16 25 27 25 26 16 16 16 25 12 25 16 16 15 25 25 16 16 16 12 25 27 12 12 25 12 25 16 12 25 16 12 16 16 27 16 25 16 12 12 25 27 16 16 16 25 12 16 25 16 25 12 16 25 29 27 16 16 16 16 12 15 12 25 12 2 2 2 6 2 2 2 2 2 39 2 2 2 2 2 2 5 39 25 2 5 6 2 2 2 2 2 29 5 5 2 4 2 2 39 37 2 6 4 6 6 2 2 37 39 2 2 2 2 4 2 2 2 2 2 2 2 4 2 37 2 2 39 2 2 2 5 37 2 2 2 2 2 2 2 2 4 37 2 6 39 4 2 2 39 39 5 2 4 2 2 5 2 28 2 4 2 2 2 2 39 0 39 39 0 39 0 39 3 3 39 0 3 3 39 0 33 3 39 3 2 2 0 39 0 0 39 3 0 0 39 0 39 3 29 3 0 39 2 0 0 3 0 39 6 39 4 6 37 0 0 39 39 0 37 0 5 2 2 39 39 3 0 0 31 3 3 6 2 39 39 0 18 39 39 0 39 0 0 39 39 6 2 3 39 2 39 39 39 2 0 2 0 41 39 0 2 39 39 39 4 4 5 2 2 5 2 37 28 2 2 2 37 2 2 2 6 37 2 2 6 2 2 2 2 37 37 2 2 2 2 2 4 2 6 2 2 2 2 2 4 6 2 37 2 2 2 4 5 30 28 2 2 2 2 2 2 2 2 2 4 2 2 2 2 2 6 2 6 5 28 2 2 2 37 4 2 5 2 2 2 2 2 2 2 2 2 2 2 2 2 4 6 2 4 2 2 37 37 2 3 13 0 13 13 1 34 31 0 13 25 0 38 0 0 3 3 1 3 3 0 3 0 4 13 0 0 3 0 1 0 1 0 38 38 3 13 3 0 3 38 31 38 3 38 3 3 0 0 38 13 3 3 0 3 3 38 0 0 3 0 0 3 0 0 1 3 3 0 13 31 0 0 3 0 3 3 3 1 0 32 0 3 38 3 1 0 0 0 3 0 0 0 38 0 38 3 39 0 34"
10,-0.6548,0.9545,"12 12 25 27 26 12 26 16 16 16 25 16 25 12 16 25 12 25 8 12 16 27 16 16 16 25 25 16 16 25 25 12 25 16 12 16 25 27 25 26 16 16 16 25 12 25 16 16 15 25 25 16 16 16 12 25 27 12 12 25 12 25 16 12 25 16 12 16 16 27 16 25 16 12 12 25 27 16 16 16 25 12 16 25 16 25 12 16 25 29 27 16 16 16 16 12 15 12 25 12 2 2 4 4 2 2 2 2 2 2 2 2 2 2 5 2 2 2 2 2 5 6 37 2 5 2 2 2 37 5 2 6 2 4 39 37 4 2 2 4 4 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 37 2 2 39 2 2 4 5 4 37 2 2 2 2 2 2 2 2 6 2 2 39 6 2 37 37 2 2 2 4 2 2 2 2 6 2 2 2 2 2 2 39 0 39 39 0 39 0 39 3 3 39 0 3 3 39 0 33 3 39 3 2 2 0 39 0 0 39 3 0 0 39 0 39 3 29 3 0 39 2 0 0 3 0 39 6 39 4 6 37 0 0 39 39 0 37 0 5 2 2 39 39 3 0 0 31 3 3 6 2 39 39 0 18 39 39 0 39 0 0 39 39 6 2 3 39 2 39 39 39 2 0 2 0 41 39 0 2 39 39 39 4 4 5 2 2 5 2 37 28 2 2 2 37 2 2 2 6 37 2 2 6 2 2 2 2 37 37 2 2 2 2 2 4 2 6 2 2 2 2 2 4 6 2 37 2 2 2 4 5 30 28 2 2 2 2 2 2 2 2 2 4 2 2 2 2 2 6 2 6 5 28 2 2 2 37 4 2 5 2 2 2 2 2 2 2 2 2 2 2 2 2 4 6 2 4 2 2 37 37 2 3 13 0 13 13 1 34 31 0 13 25 0 38 0 0 3 3 1 3 3 0 3 0 4 13 0 0 3 0 1 0 1 0 38 38 3 13 3 0 3 38 31 38 3 38 3 3 0 0 38 13 3 3 0 3 3 38 0 0 3 0 0 3 0 0 1 3 3 0 13 31 0 0 3 0 3 3 3 1 0 32 0 3 38 3 1 0 0 0 3 0 0 0 38 0 38 3 39 0 34"
