# seed=7
# instance=PIECEWISE
# popSize=50
# generations=100
# crossover=BlockUniform(p=0.75)
# mutation=p0=0.02,pMin=0.002,alpha=0.95
# tournamentK=3
# elitism=2
# lambda_similarity=0.3
# fights_per_team=10
# anchors=5
gen,changes,best_fitness,best_winrate,best_similarity,avg_fitness,worst_fitness,best_genome
0,1,-0.5897,0.8696,0.9328,-0.1923,0.1659,"8 23 1 30 14 31 17 5 1 23 28 28 2 0 18 12 39 20 12 14 36 6 26 39 8 39 0 25 1 41 38 28 12 36 41 27 39 28 20 37 25 10 25 6 7 22 20 9 40 37 22 18 39 11 1 10 41 9 23 6 2 8 2 2 39 22 0 23 30 29 1 24 2 39 6 16 3 25 33 20 26 7 13 33 38 32 11 1 33 22 37 40 34 41 28 32 22 6 19 7 37 33 3 12 40 6 21 2 15 13 24 29 31 35 23 25 22 25 1 8 16 0 10 17 11 26 34 33 23 23 17 2 26 4 1 5 31 39 21 35 18 15 15 8 13 27 30 4 5 1 37 5 30 0 10 29 2 8 34 37 31 23 6 37 5 22 15 27 31 25 4 33 24 35 30 11 24 26 40 29 32 13 26 3 34 15 36 4 18 37 40 5 1 8 10 35 12 14 5 22 7 39 38 41 2 2 7 23 3 19 23 1 0 7 34 36 9 10 39 4 38 0 27 3 21 39 41 7 12 3 8 21 18 4 6 42 33 24 5 10 6 13 33 33 0 24 36 21 34 2 35 24 21 11 16 36 12 23 40 41 33 30 13 39 30 40 2 1 31 4 33 25 32 3 1 30 37 4 38 0 16 31 28 34 2 31 30 0 27 14 22 31 15 32 6 42 34 19 17 27 42 11 36 7 21 15 37 42 0 19 32 42 36 10 25 2 33 18 8 32 18 33 42 39 6 41 37 35 16 2 17 29 1 26 3 34 38 11 29 40 29 11 2 7 11 6 6 24 0 38 34 5 39 1 3 3 30 27 15 18 4 10 10 31 27 4 0 26 7 2 41 29 37 40 36 14 32 23 29 12 20 18 13 27 30 33 30 19 16 31 36 30 4 35 29 22 42 26 9 25 37 10 13 16 2 38 25 23 5 21 38 27 38 11 16 2 11 27 9 27 2 19 38 22 11 8 11 32 27 11 21 39 12 12 7 3 42 37 36 0 36 13 12 4 23 14 26 40 7 10 27 4 12 28 18 24 13 10 9 38 2 10 5 22 32 10 21 3 29 26 35 22 1 42 27 20 3 27 2 42 22 14 6 28 9 11 39 20 28 30 25 35 19 42 40 1 40 14 9 24"
1,2,-0.7478,0.9032,0.5182,-0.4464,-0.2026,"36 10 25 3 33 33 42 39 42 42 42 11 0 12 40 42 9 42 12 42 42 42 42 42 34 42 31 35 26 5 19 40 42 42 0 42 42 21 12 42 27 26 42 33 25 33 37 16 11 42 42 7 33 39 23 23 42 12 12 16 16 16 12 42 9 42 12 40 42 42 15 16 42 3 42 16 29 16 42 12 12 28 16 23 42 12 9 42 30 42 32 14 35 42 42 12 39 42 42 42 32 0 4 3 0 41 21 17 35 13 3 18 10 0 3 3 0 2 24 0 0 30 36 3 0 3 28 0 33 23 21 0 34 3 24 0 9 3 31 3 1 0 11 23 3 0 30 15 3 13 0 18 30 3 9 15 15 7 17 3 19 3 24 0 0 0 38 19 3 20 4 0 34 0 3 28 3 22 27 7 14 0 3 36 0 3 41 19 10 28 0 0 7 0 22 14 0 0 11 3 42 42 16 4 42 37 37 2 5 42 34 34 42 34 36 4 25 6 34 42 42 37 2 34 5 5 29 30 20 2 42 6 34 42 39 37 2 5 34 2 34 22 34 5 7 42 42 13 34 42 4 42 42 34 34 42 42 37 42 6 42 42 37 42 37 42 36 35 34 34 4 2 2 4 30 24 42 36 42 12 34 6 31 6 42 34 37 42 4 34 34 42 35 2 11 34 37 10 42 42 2 5 24 23 5 37 1 0 6 14 24 4 39 37 2 2 2 11 2 4 2 19 37 28 9 4 2 2 2 2 2 42 13 6 2 25 5 2 2 2 2 2 24 2 5 5 42 38 6 21 19 31 37 2 2 5 2 39 40 2 27 6 4 5 37 2 6 19 37 2 2 2 21 29 27 6 12 22 22 5 4 4 2 33 33 12 22 11 2 38 10 2 31 32 2 2 2 4 13 2 34 34 35 34 5 13 21 39 34 20 34 34 1 13 34 34 36 34 34 13 32 36 34 34 27 25 1 35 13 3 35 36 34 7 34 1 34 36 0 20 33 36 34 34 1 36 0 36 31 35 13 35 36 36 0 1 34 34 36 36 36 40 34 34 34 0 1 34 34 20 30 42 34 34 13 20 34 35 21 36 36 36 35 34 0 34 34 3 34 34 42 38 3 15 10 35 34 34 30 34"
2,2,-0.7005,0.8571,0.5223,-0.5047,-0.3277,"36 10 25 3 33 33 42 39 42 42 42 11 0 12 40 42 9 42 12 42 42 42 42 42 34 42 31 35 26 5 19 40 42 42 0 42 42 21 12 42 27 26 42 33 25 33 37 16 11 42 42 7 33 39 23 23 42 12 12 16 16 16 12 42 9 42 12 40 42 42 15 16 42 3 42 16 29 16 42 12 12 28 16 23 42 12 9 42 30 42 32 14 35 42 42 12 39 42 42 42 32 0 4 3 0 41 21 17 35 13 3 18 10 0 3 3 0 2 24 0 0 30 36 3 0 3 28 0 33 23 21 0 34 3 24 0 9 3 31 3 1 0 11 23 3 0 30 15 3 13 0 18 30 3 9 15 15 7 17 3 19 3 24 0 0 0 38 19 3 20 4 0 34 0 3 28 3 22 27 7 14 0 3 36 0 3 41 19 10 28 0 0 7 0 22 14 0 0 11 3 42 42 16 4 42 37 37 2 5 42 34 34 42 34 36 4 25 6 34 42 42 37 2 34 5 5 29 30 20 2 42 6 34 42 39 37 2 5 34 2 34 22 34 5 7 42 42 13 34 42 4 42 42 34 34 42 42 37 42 6 42 42 37 42 37 42 36 35 34 34 4 2 2 4 30 24 42 36 42 12 34 6 31 6 42 34 37 42 4 34 34 42 35 2 11 34 37 10 42 42 2 5 24 23 5 37 1 0 6 14 24 4 39 37 2 2 2 11 2 4 2 19 37 28 9 4 2 2 2 2 2 42 13 6 2 25 5 2 2 2 2 2 24 2 5 5 42 38 6 21 19 31 37 2 2 5 2 39 40 2 27 6 4 5 37 2 6 19 37 2 2 2 21 29 27 6 12 22 22 5 4 4 2 33 33 12 22 11 2 38 10 2 31 32 2 2 2 4 13 2 34 34 35 34 5 13 21 39 34 20 34 34 1 13 34 34 36 34 34 13 32 36 34 34 27 25 1 35 13 3 35 36 34 7 34 1 34 36 0 20 33 36 34 34 1 36 0 36 31 35 13 35 36 36 0 1 34 34 36 36 36 40 34 34 34 0 1 34 34 20 30 42 34 34 13 20 34 35 21 36 36 36 35 34 0 34 34 3 34 34 42 38 3 15 10 35 34 34 30 34"
3,2,-0.7348,0.9200,0.6174,-0.5180,-0.3185,"36 10 25 3 33 33 42 39 42 42 42 11 0 12 40 42 9 42 12 42 42 42 42 42 34 42 31 35 26 5 19 40 42 42 0 42 42 21 12 42 27 26 42 33 25 33 37 16 11 42 42 7 33 39 23 23 42 12 12 16 16 16 12 42 9 42 12 40 42 42 15 16 42 3 42 16 29 16 42 12 12 28 16 23 42 12 9 42 30 42 32 14 35 42 42 12 39 42 42 42 32 0 4 3 0 41 21 17 35 13 3 18 10 0 3 3 0 2 24 0 0 30 36 3 0 3 28 0 33 23 21 0 34 3 24 0 9 3 31 3 1 0 11 23 3 0 30 15 3 13 0 18 30 3 9 15 15 7 17 3 19 3 24 0 0 0 38 19 3 20 4 0 34 0 3 28 3 22 27 7 14 0 3 36 0 3 41 19 10 28 0 0 7 0 22 14 0 0 11 3 42 42 16 4 42 37 37 2 5 42 34 34 42 34 36 4 25 6 34 42 42 37 2 34 5 5 29 30 20 2 42 6 34 42 39 37 2 5 34 2 34 22 34 5 7 42 42 13 34 42 4 42 42 34 34 42 42 37 42 6 42 42 37 42 37 42 36 35 34 34 4 2 2 4 30 24 42 36 42 12 34 6 31 6 42 34 37 42 4 34 34 42 35 2 11 34 37 10 42 42 2 5 24 23 5 37 1 0 6 14 24 4 39 37 2 2 2 11 2 4 2 19 37 28 9 4 2 2 2 2 2 42 13 6 2 25 5 2 2 2 2 2 24 2 5 5 42 38 6 21 19 31 37 2 2 5 2 39 40 2 27 6 4 5 37 2 6 19 37 2 2 2 21 29 27 6 12 22 22 5 4 4 2 33 33 12 22 11 2 38 10 2 31 32 2 2 2 4 13 2 34 34 35 34 5 13 21 39 34 20 34 34 1 13 34 34 36 34 34 13 32 36 34 34 27 25 1 35 13 3 35 36 34 7 34 1 34 36 0 20 33 36 34 34 1 36 0 36 31 35 13 35 36 36 0 1 34 34 36 36 36 40 34 34 34 0 1 34 34 20 30 42 34 34 13 20 34 35 21 36 36 36 35 34 0 34 34 3 34 34 42 38 3 15 10 35 34 34 30 34"
4,2,-0.7278,0.9286,0.6694,-0.4844,-0.2699,"36 10 25 3 33 33 42 39 42 42 42 11 0 12 40 42 9 42 12 42 42 42 42 42 34 42 31 35 26 5 19 40 42 42 0 42 42 21 12 42 27 26 42 33 25 33 37 16 11 42 42 7 33 39 23 23 42 12 12 16 16 16 12 42 9 42 12 40 42 42 15 16 42 3 42 16 29 16 42 12 12 28 16 23 42 12 9 42 30 42 32 14 35 42 42 12 39 42 42 42 32 0 4 3 0 41 21 17 35 13 3 18 10 0 3 3 0 2 24 0 0 30 36 3 0 3 28 0 33 23 21 0 34 3 24 0 9 3 31 3 1 0 11 23 3 0 30 15 3 13 0 18 30 3 9 15 15 7 17 3 19 3 24 0 0 0 38 19 3 20 4 0 34 0 3 28 3 22 27 7 14 0 3 36 0 3 41 19 10 28 0 0 7 0 22 14 0 0 11 3 42 42 16 4 42 37 37 2 5 42 34 34 42 34 36 4 25 6 34 42 42 37 2 34 5 5 29 30 20 2 42 6 34 42 39 37 2 5 34 2 34 22 34 5 7 42 42 13 34 42 4 42 42 34 34 42 42 37 42 6 42 42 37 42 37 42 36 35 34 34 4 2 2 4 30 24 42 36 42 12 34 6 31 6 42 34 37 42 4 34 34 42 35 2 11 34 37 10 42 42 2 5 24 23 5 37 1 0 6 14 24 4 39 37 2 2 2 11 2 4 2 19 37 28 9 4 2 2 2 2 2 42 13 6 2 25 5 2 2 2 2 2 24 2 5 5 42 38 6 21 19 31 37 2 2 5 2 39 40 2 27 6 4 5 37 2 6 19 37 2 2 2 21 29 27 6 12 22 22 5 4 4 2 33 33 12 22 11 2 38 10 2 31 32 2 2 2 4 13 2 34 34 35 34 5 13 21 39 34 20 34 34 1 13 34 34 36 34 34 13 32 36 34 34 27 25 1 35 13 3 35 36 34 7 34 1 34 36 0 20 33 36 34 34 1 36 0 36 31 35 13 35 36 36 0 1 34 34 36 36 36 40 34 34 34 0 1 34 34 20 30 42 34 34 13 20 34 35 21 36 36 36 35 34 0 34 34 3 34 34 42 38 3 15 10 35 34 34 30 34"
5,2,-0.7252,0.9091,0.6130,-0.4832,-0.2834,"36 10 25 3 33 33 42 39 42 42 42 11 0 12 40 42 9 42 12 42 42 42 42 42 34 42 31 35 26 5 19 40 42 42 0 42 42 21 12 42 27 26 42 33 25 33 37 16 11 42 42 7 33 39 23 23 42 12 12 16 16 16 12 42 9 42 12 40 42 42 15 16 42 3 42 16 29 16 42 12 12 28 16 23 42 12 9 42 30 42 32 14 35 42 42 12 39 42 42 42 32 0 4 3 0 41 21 17 35 13 3 18 10 0 3 3 0 2 24 0 0 30 36 3 0 3 28 0 33 23 21 0 34 3 24 0 9 3 31 3 1 0 11 23 3 0 30 15 3 13 0 18 30 3 9 15 15 7 17 3 19 3 24 0 0 0 38 19 3 20 4 0 34 0 3 28 3 22 27 7 14 0 3 36 0 3 41 19 10 28 0 0 7 0 22 14 0 0 11 3 42 42 16 4 42 37 37 2 5 42 34 34 42 34 36 4 25 6 34 42 42 37 2 34 5 5 29 30 20 2 42 6 34 42 39 37 2 5 34 2 34 22 34 5 7 42 42 13 34 42 4 42 42 34 34 42 42 37 42 6 42 42 37 42 37 42 36 35 34 34 4 2 2 4 30 24 42 36 42 12 34 6 31 6 42 34 37 42 4 34 34 42 35 2 11 34 37 10 42 42 2 5 24 23 5 37 1 0 6 14 24 4 39 37 2 2 2 11 2 4 2 19 37 28 9 4 2 2 2 2 2 42 13 6 2 25 5 2 2 2 2 2 24 2 5 5 42 38 6 21 19 31 37 2 2 5 2 39 40 2 27 6 4 5 37 2 6 19 37 2 2 2 21 29 27 6 12 22 22 5 4 4 2 33 33 12 22 11 2 38 10 2 31 32 2 2 2 4 13 2 34 34 35 34 5 13 21 39 34 20 34 34 1 13 34 34 36 34 34 13 32 36 34 34 27 25 1 35 13 3 35 36 34 7 34 1 34 36 0 20 33 36 34 34 1 36 0 36 31 35 13 35 36 36 0 1 34 34 36 36 36 40 34 34 34 0 1 34 34 20 30 42 34 34 13 20 34 35 21 36 36 36 35 34 0 34 34 3 34 34 42 38 3 15 10 35 34 34 30 34"
6,3,-0.7595,0.9310,0.5718,-0.4912,-0.3233,"18 0 13 3 2 2 13 3 0 13 3 2 2 3 2 18 13 7 1 38 2 3 38 7 2 1 13 3 1 2 13 2 2 38 3 2 17 38 2 7 0 0 1 1 0 40 2 3 3 1 13 35 38 18 38 38 13 3 17 38 17 38 1 3 38 38 38 8 0 38 2 3 8 38 2 2 3 2 3 8 3 8 17 18 2 3 17 0 1 1 17 0 13 3 1 0 17 3 38 7 35 21 38 7 2 13 7 13 38 1 6 2 41 8 2 3 41 28 0 0 0 2 2 2 0 1 12 38 2 2 7 8 13 3 7 2 2 13 2 3 1 2 29 1 0 10 3 21 22 1 2 0 35 38 38 0 13 2 5 1 7 0 2 2 10 2 13 2 8 3 1 2 3 39 2 2 19 0 7 2 3 2 2 13 38 30 11 7 2 1 29 1 2 2 39 7 38 2 0 14 7 22 7 7 7 7 7 7 7 8 7 7 7 7 7 7 7 7 7 7 7 7 40 7 7 8 7 7 8 8 40 7 7 7 8 7 7 40 7 8 8 7 7 0 7 7 40 40 7 7 7 8 7 7 7 1 7 7 7 7 8 7 7 7 7 8 7 41 7 7 8 7 40 7 7 7 8 7 7 7 0 8 7 7 35 7 7 40 7 40 16 7 7 7 7 8 13 7 7 7 9 10 12 12 9 42 9 33 0 9 9 9 42 42 10 9 10 9 12 9 12 28 42 30 9 10 4 9 9 9 9 12 9 9 26 12 42 9 10 9 9 12 28 9 22 0 29 9 15 9 9 11 9 12 29 9 9 9 11 9 10 9 12 12 9 12 9 29 28 29 9 9 30 10 9 10 9 5 38 9 10 11 9 12 29 37 12 5 9 12 9 10 42 9 12 9 42 9 12 6 0 3 42 28 28 3 17 0 3 3 0 28 0 3 3 2 30 9 12 19 28 28 30 0 0 3 2 9 11 18 9 10 0 29 0 0 0 9 2 29 29 2 3 0 9 9 2 0 2 28 0 3 0 28 29 3 0 3 28 2 3 0 3 0 0 29 28 3 0 3 28 0 11 3 28 42 0 28 17 30 2 30 28 0 28 2 28 12 3 0 42 0 2 0 0 28 42 3 28 41"
7,3,-0.7583,0.9583,0.6667,-0.5155,-0.3459,"18 0 13 3 2 2 13 3 0 13 3 2 2 3 2 18 13 7 1 38 2 3 38 7 2 1 13 3 1 2 13 2 2 38 3 2 17 38 2 7 0 0 1 1 0 40 2 3 3 1 13 35 38 18 38 38 13 3 17 38 17 38 1 3 38 38 38 8 0 38 2 3 8 38 2 2 3 2 3 8 3 8 17 18 2 3 17 0 1 1 17 0 13 3 1 0 17 3 38 7 35 21 38 7 2 13 7 13 38 1 6 2 41 8 2 3 41 28 0 0 0 2 2 2 0 1 12 38 2 2 7 8 13 3 7 2 2 13 2 3 1 2 29 1 0 10 3 21 22 1 2 0 35 38 38 0 13 2 5 1 7 0 2 2 10 2 13 2 8 3 1 2 3 39 2 2 19 0 7 2 3 2 2 13 38 30 11 7 2 1 29 1 2 2 39 7 38 2 0 14 7 22 7 7 7 7 7 7 7 8 7 7 7 7 7 7 7 7 7 7 7 7 40 7 7 8 7 7 8 8 40 7 7 7 8 7 7 40 7 8 8 7 7 0 7 7 40 40 7 7 7 8 7 7 7 1 7 7 7 7 8 7 7 7 7 8 7 41 7 7 8 7 40 7 7 7 8 7 7 7 0 8 7 7 35 7 7 40 7 40 16 7 7 7 7 8 13 7 7 7 9 10 12 12 9 42 9 33 0 9 9 9 42 42 10 9 10 9 12 9 12 28 42 30 9 10 4 9 9 9 9 12 9 9 26 12 42 9 10 9 9 12 28 9 22 0 29 9 15 9 9 11 9 12 29 9 9 9 11 9 10 9 12 12 9 12 9 29 28 29 9 9 30 10 9 10 9 5 38 9 10 11 9 12 29 37 12 5 9 12 9 10 42 9 12 9 42 9 12 6 0 3 42 28 28 3 17 0 3 3 0 28 0 3 3 2 30 9 12 19 28 28 30 0 0 3 2 9 11 18 9 10 0 29 0 0 0 9 2 29 29 2 3 0 9 9 2 0 2 28 0 3 0 28 29 3 0 3 28 2 3 0 3 0 0 29 28 3 0 3 28 0 11 3 28 42 0 28 17 30 2 30 28 0 28 2 28 12 3 0 42 0 2 0 0 28 42 3 28 41"
8,3,-0.7569,0.9688,0.7063,-0.5156,-0.3356,"18 0 13 3 2 2 13 3 0 13 3 2 2 3 2 18 13 7 1 38 2 3 38 7 2 1 13 3 1 2 13 2 2 38 3 2 17 38 2 7 0 0 1 1 0 40 2 3 3 1 13 35 38 18 38 38 13 3 17 38 17 38 1 3 38 38 38 8 0 38 2 3 8 38 2 2 3 2 3 8 3 8 17 18 2 3 17 0 1 1 17 0 13 3 1 0 17 3 38 7 35 21 38 7 2 13 7 13 38 1 6 2 41 8 2 3 41 28 0 0 0 2 2 2 0 1 12 38 2 2 7 8 13 3 7 2 2 13 2 3 1 2 29 1 0 10 3 21 22 1 2 0 35 38 38 0 13 2 5 1 7 0 2 2 10 2 13 2 8 3 1 2 3 39 2 2 19 0 7 2 3 2 2 13 38 30 11 7 2 1 29 1 2 2 39 7 38 2 0 14 7 22 7 7 7 7 7 7 7 8 7 7 7 7 7 7 7 7 7 7 7 7 40 7 7 8 7 7 8 8 40 7 7 7 8 7 7 40 7 8 8 7 7 0 7 7 40 40 7 7 7 8 7 7 7 1 7 7 7 7 8 7 7 7 7 8 7 41 7 7 8 7 40 7 7 7 8 7 7 7 0 8 7 7 35 7 7 40 7 40 16 7 7 7 7 8 13 7 7 7 9 10 12 12 9 42 9 33 0 9 9 9 42 42 10 9 10 9 12 9 12 28 42 30 9 10 4 9 9 9 9 12 9 9 26 12 42 9 10 9 9 12 28 9 22 0 29 9 15 9 9 11 9 12 29 9 9 9 11 9 10 9 12 12 9 12 9 29 28 29 9 9 30 10 9 10 9 5 38 9 10 11 9 12 29 37 12 5 9 12 9 10 42 9 12 9 42 9 12 6 0 3 42 28 28 3 17 0 3 3 0 28 0 3 3 2 30 9 12 19 28 28 30 0 0 3 2 9 11 18 9 10 0 29 0 0 0 9 2 29 29 2 3 0 9 9 2 0 2 28 0 3 0 28 29 3 0 3 28 2 3 0 3 0 0 29 28 3 0 3 28 0 11 3 28 42 0 28 17 30 2 30 28 0 28 2 28 12 3 0 42 0 2 0 0 28 42 3 28 41"
9,3,-0.7370,0.9615,0.7485,-0.4982,-0.3110,"18 0 13 3 2 2 13 3 0 13 3 2 2 3 2 18 13 7 1 38 2 3 38 7 2 1 13 3 1 2 13 2 2 38 3 2 17 38 2 7 0 0 1 1 0 40 2 3 3 1 13 35 38 18 38 38 13 3 17 38 17 38 1 3 38 38 38 8 0 38 2 3 8 38 2 2 3 2 3 8 3 8 17 18 2 3 17 0 1 1 17 0 13 3 1 0 17 3 38 7 35 21 38 7 2 13 7 13 38 1 6 2 41 8 2 3 41 28 0 0 0 2 2 2 0 1 12 38 2 2 7 8 13 3 7 2 2 13 2 3 1 2 29 1 0 10 3 21 22 1 2 0 35 38 38 0 13 2 5 1 7 0 2 2 10 2 13 2 8 3 1 2 3 39 2 2 19 0 7 2 3 2 2 13 38 30 11 7 2 1 29 1 2 2 39 7 38 2 0 14 7 22 7 7 7 7 7 7 7 8 7 7 7 7 7 7 7 7 7 7 7 7 40 7 7 8 7 7 8 8 40 7 7 7 8 7 7 40 7 8 8 7 7 0 7 7 40 40 7 7 7 8 7 7 7 1 7 7 7 7 8 7 7 7 7 8 7 41 7 7 8 7 40 7 7 7 8 7 7 7 0 8 7 7 35 7 7 40 7 40 16 7 7 7 7 8 13 7 7 7 9 10 12 12 9 42 9 33 0 9 9 9 42 42 10 9 10 9 12 9 12 28 42 30 9 10 4 9 9 9 9 12 9 9 26 12 42 9 10 9 9 12 28 9 22 0 29 9 15 9 9 11 9 12 29 9 9 9 11 9 10 9 12 12 9 12 9 29 28 29 9 9 30 10 9 10 9 5 38 9 10 11 9 12 29 37 12 5 9 12 9 10 42 9 12 9 42 9 12 6 0 3 42 28 28 3 17 0 3 3 0 28 0 3 3 2 30 9 12 19 28 28 30 0 0 3 2 9 11 18 9 10 0 29 0 0 0 9 2 29 29 2 3 0 9 9 2 0 2 28 0 3 0 28 29 3 0 3 28 2 3 0 3 0 0 29 28 3 0 3 28 0 11 3 28 42 0 28 17 30 2 30 28 0 28 2 28 12 3 0 42 0 2 0 0 28 42 3 28 41"
