rank,fitness,winrate,genome
1,-0.7696,1.0000,"2 6 37 7 9 4 2 11 10 19 2 2 37 0 2 2 2 37 20 3 9 0 2 2 6 9 2 9 4 2 5 2 2 2 2 2 2 2 37 2 19 3 11 2 5 2 2 6 0 6 6 32 0 2 37 2 0 2 2 6 10 6 2 2 37 2 37 7 2 11 10 4 2 0 0 6 2 9 37 10 0 9 2 6 4 0 2 10 6 3 4 6 2 2 2 2 2 2 2 2 2 3 5 5 0 0 4 38 2 3 41 41 5 2 37 0 6 5 41 16 37 5 41 0 0 5 39 12 0 16 3 2 6 2 0 13 13 0 4 0 41 6 6 2 2 0 37 41 42 3 6 2 4 0 39 41 37 0 0 37 2 6 4 2 0 39 3 2 41 5 6 4 2 0 13 2 41 2 37 37 3 4 2 5 3 3 0 4 2 0 12 0 4 0 2 3 0 2 41 3 41 1 41 41 3 0 0 3 3 41 0 3 0 41 0 3 3 6 41 31 41 0 0 0 41 5 0 0 13 0 0 41 1 41 2 0 38 0 0 13 0 3 1 2 41 41 6 13 41 0 0 2 2 41 41 2 0 0 41 1 0 31 42 41 13 41 41 2 3 1 0 41 6 0 41 2 3 1 3 0 41 41 38 3 3 41 41 0 41 38 41 41 0 41 0 41 3 0 0 41 4 39 2 39 39 6 25 39 39 39 2 25 39 2 39 39 42 6 39 39 34 2 39 39 27 39 39 39 39 39 39 26 5 37 39 6 39 39 39 39 39 39 2 39 2 5 2 2 25 39 39 39 39 2 39 39 6 39 39 39 39 39 39 39 2 39 39 39 5 39 4 39 39 26 39 39 39 39 5 39 39 39 39 39 39 4 6 39 39 34 2 39 39 39 39 2 39 39 39 39 2 5 2 12 3 0 1 2 4 2 2 2 37 2 1 2 2 37 6 4 2 3 6 2 0 2 2 6 0 0 2 2 2 0 2 6 2 38 37 2 2 37 6 2 2 6 2 3 2 2 3 6 2 5 42 13 2 2 5 2 6 3 4 2 2 2 2 2 0 2 2 37 0 2 2 0 2 2 2 2 5 2 4 0 2 13 2 0 2 5 4 4 2 6 2 0 37 12 2 3"
2,-0.7395,0.9545,"39 39 39 18 25 39 25 39 25 39 39 39 30 39 39 39 27 25 39 25 39 39 39 23 39 23 27 39 12 25 23 25 39 27 39 25 39 39 39 39 28 39 39 12 39 39 25 39 25 12 39 25 3 39 39 39 25 26 39 39 24 39 27 39 26 39 39 28 39 12 39 39 39 26 39 39 25 39 23 25 29 39 0 39 39 39 39 27 27 39 39 23 39 2 39 23 39 39 39 12 2 3 5 5 0 0 4 38 2 3 41 41 5 2 37 0 6 5 41 16 37 5 41 0 0 5 39 12 0 16 3 2 6 2 0 13 13 0 4 0 41 6 6 2 2 0 37 41 42 3 6 2 4 0 39 41 37 0 0 37 2 6 4 2 0 39 3 2 41 5 6 4 2 0 13 2 41 2 37 37 3 4 2 5 3 3 0 4 2 0 12 0 4 0 2 3 0 2 41 3 41 1 41 41 3 0 0 3 3 41 0 3 0 41 0 3 3 6 41 31 41 0 0 0 41 5 0 0 13 0 0 41 1 41 2 0 38 0 0 13 0 3 1 2 41 41 6 13 41 0 0 2 2 41 41 2 0 0 41 1 0 31 42 41 13 41 41 2 3 1 0 41 6 0 41 2 3 1 3 0 41 41 38 3 3 41 41 0 41 38 41 41 0 41 0 41 3 0 0 41 4 39 2 39 39 6 25 39 39 39 2 25 39 2 39 39 42 6 39 39 34 2 39 39 27 39 39 39 39 39 39 26 5 37 39 6 39 39 39 39 39 39 2 39 2 5 2 2 25 39 39 39 39 2 39 39 6 39 39 39 39 39 39 39 2 39 39 39 5 39 4 39 39 26 39 39 39 39 5 39 39 39 39 39 39 4 6 39 39 34 2 39 39 39 39 2 39 39 39 39 39 39 38 25 39 25 2 2 39 25 39 39 39 2 9 39 26 39 25 2 39 25 25 39 27 2 25 39 2 25 25 9 2 25 0 39 0 2 25 39 25 39 39 39 11 39 39 39 25 39 25 39 27 39 25 39 39 2 26 9 39 26 26 2 0 25 25 39 0 2 25 0 25 2 39 25 25 39 39 2 39 2 2 0 2 2 0 39 39 39 39 0 39 37 0 11 9 9 39 39"
3,-0.7281,1.0000,"2 6 37 7 9 4 2 11 10 19 2 2 37 0 2 2 2 37 20 3 9 0 2 2 6 9 2 9 4 2 5 2 2 2 2 2 2 2 37 2 19 3 11 2 5 2 2 6 0 6 6 32 0 2 37 2 0 2 2 6 10 6 2 2 37 2 37 7 2 11 10 4 2 0 0 6 2 9 37 10 0 9 2 6 4 0 2 10 6 3 4 6 2 2 2 2 2 2 2 2 2 3 5 5 0 0 4 38 2 3 41 41 5 2 37 0 6 5 41 16 37 5 41 0 0 5 39 12 0 16 3 2 6 2 0 13 13 0 4 0 41 6 6 2 2 0 37 41 42 3 6 2 4 0 39 41 37 0 0 37 2 6 4 2 0 39 3 2 41 5 6 4 2 0 13 2 41 2 37 37 3 4 2 5 3 3 0 4 2 0 12 0 4 0 2 3 0 2 41 3 41 1 41 41 3 0 0 3 3 41 0 3 0 41 0 3 3 6 41 31 41 0 0 0 41 5 0 0 13 0 0 41 1 41 2 0 38 0 0 13 0 3 1 2 41 41 6 13 41 0 0 2 2 41 41 2 0 0 41 1 0 31 42 41 13 41 41 2 3 1 0 41 6 0 41 2 3 1 3 0 41 41 38 3 3 41 41 0 41 38 41 41 0 41 0 41 3 0 0 41 4 39 2 39 39 6 25 39 39 39 2 25 39 2 39 39 42 6 39 39 34 2 39 39 27 39 39 39 39 39 39 26 5 37 39 6 39 39 39 39 39 39 2 39 2 5 2 2 25 39 39 39 39 2 39 39 6 39 39 39 39 39 39 39 2 39 39 39 5 39 4 39 39 26 39 39 39 39 5 39 39 39 39 39 39 4 6 39 39 34 2 39 39 39 39 2 39 39 39 39 2 5 2 12 3 0 1 2 4 2 2 2 37 2 1 2 2 37 6 4 2 3 6 2 0 2 2 6 0 0 2 2 2 0 2 6 2 38 37 2 2 37 6 2 2 6 2 3 2 2 3 6 2 5 42 13 2 2 5 2 6 3 4 2 2 2 2 2 0 2 2 37 0 2 2 0 2 2 2 2 5 2 4 0 2 13 2 0 2 5 4 4 2 6 2 0 37 12 2 3"
4,-0.7237,0.9259,"0 1 0 0 12 13 2 25 0 25 16 0 12 16 26 2 13 37 25 12 9 26 38 3 12 25 12 25 0 12 5 25 13 12 2 12 13 16 1 12 25 38 12 12 12 38 2 16 0 0 25 12 0 25 16 12 16 2 13 6 13 12 38 25 3 25 25 13 0 12 26 25 2 0 27 6 13 9 0 25 25 9 2 16 12 13 12 27 27 1 1 13 27 3 38 0 38 2 16 25 2 6 24 6 37 6 2 37 2 8 6 2 37 37 37 0 7 2 3 2 0 0 37 2 2 5 4 2 2 6 6 2 3 2 2 2 2 2 4 5 37 6 0 37 0 0 4 3 8 2 0 23 2 2 4 3 0 2 42 3 42 37 41 0 4 2 2 2 37 6 0 2 7 0 37 0 2 3 28 7 3 5 37 8 24 7 8 7 5 2 8 42 2 4 2 3 3 5 0 3 41 1 5 41 3 6 0 3 3 41 37 3 0 5 4 4 3 6 41 31 41 5 0 37 6 5 0 0 2 2 4 37 4 41 5 0 6 0 37 2 0 5 1 2 41 41 6 4 37 0 0 2 2 41 41 2 0 0 41 1 2 6 42 41 13 6 5 2 3 1 0 41 6 0 41 2 37 6 2 0 41 5 38 6 2 41 41 0 41 38 37 41 0 41 0 6 3 0 0 4 2 2 9 2 4 2 2 10 2 2 9 9 5 6 9 6 10 10 2 2 11 9 2 2 9 9 31 34 10 9 37 2 9 10 2 9 2 2 9 2 2 5 2 2 37 9 2 9 4 9 9 2 9 2 2 9 15 37 2 9 2 2 31 6 2 2 12 10 6 4 34 2 9 9 9 31 32 2 2 6 9 9 9 6 9 2 4 2 5 2 2 2 9 11 2 12 2 9 11 2 6 42 2 2 6 0 42 42 4 4 2 37 42 2 6 42 37 2 42 5 4 2 42 37 0 42 37 37 0 37 5 42 6 6 2 42 2 5 5 6 5 37 6 6 42 6 4 42 2 2 2 42 4 5 42 37 5 42 37 37 5 42 37 5 42 4 4 4 6 42 4 37 42 2 5 0 2 37 5 42 5 5 2 5 2 6 2 0 2 5 42 4 42 6 42 37 37 12 42 6"
5,-0.6997,0.8800,"41 22 41 41 13 21 21 21 21 41 22 0 21 21 21 21 13 21 21 0 21 13 13 41 0 21 3 21 21 21 21 41 21 0 21 21 21 21 0 1 21 21 21 0 38 21 41 21 21 21 13 21 21 21 41 21 41 21 22 41 21 21 13 22 22 41 21 3 21 41 21 21 41 41 13 38 22 41 21 41 21 41 21 22 21 0 21 41 3 21 38 22 21 41 21 21 21 21 21 21 2 6 24 6 37 6 2 37 2 8 6 2 37 37 37 0 7 2 3 2 0 0 37 2 2 5 4 2 2 6 6 2 3 2 2 2 2 2 4 5 37 6 0 37 0 0 4 3 8 2 0 23 2 2 4 3 0 2 42 3 42 37 41 0 4 2 2 2 37 6 0 2 7 0 37 0 2 3 28 7 3 5 37 8 24 7 8 7 5 2 8 42 2 4 2 3 3 5 0 3 41 1 41 41 3 0 0 3 3 41 0 3 0 41 0 3 3 6 41 31 41 0 0 0 41 5 0 0 13 0 0 41 1 41 2 0 38 0 0 13 0 3 1 2 41 41 6 13 41 0 0 2 2 41 41 2 0 0 41 1 0 31 42 41 13 41 41 2 3 1 0 41 6 0 41 2 3 1 3 0 41 41 38 3 3 41 41 0 41 38 41 41 0 41 0 41 3 0 0 41 19 30 28 28 20 12 3 28 41 28 12 30 29 28 12 12 28 28 28 28 29 28 28 28 28 28 12 29 13 30 28 20 20 20 28 30 19 28 12 41 19 0 38 38 12 28 12 29 25 28 28 12 1 12 28 28 30 28 1 28 29 28 29 28 29 28 20 12 28 29 35 19 28 12 1 12 12 28 28 28 13 20 28 28 13 29 30 29 28 28 12 28 29 28 28 28 28 28 29 28 6 42 2 12 2 0 42 42 4 2 2 42 42 42 1 42 42 2 42 5 42 42 42 37 0 42 5 37 0 0 42 42 2 37 2 42 2 42 6 6 37 37 6 6 42 6 4 42 2 2 3 42 4 5 42 13 2 42 5 4 5 42 37 2 42 4 42 2 0 42 42 37 42 2 2 0 2 2 5 42 5 2 42 2 2 13 2 0 5 5 42 4 42 6 42 4 37 12 42 42"
6,-0.6826,0.8929,"0 1 0 0 12 13 2 25 0 25 16 0 12 16 26 2 13 37 25 12 9 26 38 3 12 25 12 25 0 12 5 25 13 12 2 12 13 16 1 12 25 38 12 12 12 38 2 16 0 0 25 12 0 25 16 12 16 2 13 6 13 12 38 25 3 25 25 13 0 12 26 25 2 0 27 6 13 9 0 25 25 9 2 16 12 13 12 27 27 1 1 13 27 3 38 0 38 2 16 25 2 6 24 6 37 6 2 37 2 8 6 2 37 37 37 0 7 2 3 2 0 0 37 2 42 5 4 2 2 6 6 2 3 2 2 2 2 2 4 5 37 6 0 37 0 0 4 3 8 2 0 23 2 2 4 3 0 2 42 3 42 37 41 0 4 2 2 2 37 6 0 2 7 0 37 0 2 3 28 7 3 5 37 8 24 7 8 7 5 2 8 42 2 4 2 3 3 5 0 3 41 1 5 41 3 6 0 3 3 41 37 3 0 5 4 4 3 6 41 31 41 5 0 37 6 5 0 0 2 2 4 37 4 41 5 0 6 0 37 2 0 5 1 2 41 41 6 4 37 0 0 2 2 41 41 2 0 0 41 1 2 6 42 41 13 6 5 2 3 1 0 41 6 0 41 2 37 6 2 0 41 5 38 6 2 41 41 0 41 38 37 41 0 41 0 6 3 0 0 4 2 2 9 2 4 2 2 10 2 2 9 9 5 6 9 6 10 10 2 2 11 9 2 2 9 9 31 34 10 9 37 2 9 10 2 9 2 2 9 2 2 5 2 2 37 9 2 9 4 9 9 2 9 2 2 9 15 37 2 9 2 2 31 6 2 2 12 10 6 4 34 2 9 9 9 31 32 2 2 6 9 9 9 6 9 2 4 2 5 2 2 2 9 11 2 12 2 9 11 2 6 42 2 12 2 0 42 42 4 2 2 42 42 42 1 42 42 2 42 5 42 42 42 37 0 42 5 37 0 0 42 42 2 37 2 42 2 42 6 6 37 37 6 6 42 6 4 42 2 2 3 42 4 5 42 13 2 42 5 4 5 42 37 2 42 4 42 2 0 42 42 37 42 2 2 0 2 2 5 42 5 2 42 2 2 13 2 0 5 5 42 4 42 6 42 4 37 12 42 42"
7,-0.6790,0.8800,"39 39 39 18 25 39 25 39 25 39 39 39 30 39 39 39 39 25 39 25 39 39 39 23 39 39 27 39 12 39 23 25 39 39 39 25 39 39 39 39 28 39 39 12 39 39 25 39 25 12 39 25 3 39 39 39 25 26 39 39 24 39 39 39 26 39 39 28 39 12 39 39 39 39 39 39 39 39 39 25 29 39 0 39 39 39 39 27 27 39 39 39 39 39 39 39 39 39 39 12 2 3 5 5 0 0 4 38 2 3 41 41 5 2 37 0 6 5 41 16 37 5 41 0 0 5 39 12 0 16 3 2 6 2 0 13 13 0 4 0 41 6 6 2 2 0 37 41 42 3 6 2 4 0 39 41 37 0 0 37 2 6 4 2 0 39 3 2 41 5 6 4 2 0 13 2 41 2 37 37 3 4 2 5 3 3 0 4 2 0 12 0 4 0 2 3 0 2 41 3 41 1 41 41 3 0 0 4 5 6 4 5 0 41 0 6 3 6 41 31 41 0 0 37 41 5 4 0 13 0 0 41 1 6 5 37 2 0 6 13 2 37 1 37 41 41 6 13 5 0 2 2 2 37 37 37 5 37 5 1 6 31 42 37 2 41 6 2 3 6 37 41 6 0 41 5 3 1 3 0 4 41 37 3 3 41 41 0 41 38 41 41 0 41 0 41 3 37 0 41 4 39 13 3 39 6 25 39 39 39 0 25 39 2 39 39 42 0 38 39 0 2 39 39 27 39 39 39 39 39 39 26 5 37 38 6 1 1 39 1 39 39 2 3 2 5 2 3 25 3 1 3 1 0 39 39 6 1 39 39 39 38 39 38 2 13 39 1 13 39 4 39 39 13 39 0 39 39 5 1 1 1 39 39 39 0 0 39 39 34 2 39 13 39 38 2 39 39 3 39 39 39 38 25 39 25 2 2 39 25 39 39 39 2 9 39 26 39 25 2 39 25 25 39 27 2 25 39 2 25 25 9 2 25 0 39 0 2 25 39 25 39 39 39 11 39 39 39 25 39 25 39 27 39 25 39 39 2 26 9 39 26 26 2 0 25 25 39 0 2 25 0 25 2 39 25 25 39 39 2 39 2 2 0 2 2 0 39 39 39 39 0 39 37 0 11 9 9 39 39"
8,-0.6750,0.8800,"39 39 39 18 25 39 25 39 25 39 39 39 30 39 39 39 27 25 39 25 39 39 39 23 39 23 27 39 12 25 23 25 39 27 39 25 39 39 39 39 28 39 39 12 39 39 25 39 25 12 39 25 3 39 39 39 25 26 39 39 24 39 27 39 26 39 39 28 39 12 39 39 39 26 39 39 25 39 23 25 29 39 0 39 39 39 39 27 27 39 39 23 39 2 39 23 39 39 39 12 2 3 5 5 0 0 4 38 2 3 41 41 5 2 37 0 6 5 41 16 37 5 41 0 0 5 39 12 0 16 3 2 6 2 0 13 13 0 4 0 41 6 6 2 2 0 37 41 42 3 6 2 4 0 39 41 37 0 0 37 2 6 4 2 0 39 3 2 41 5 6 4 2 0 13 2 41 2 37 37 3 4 2 5 3 3 0 4 2 0 12 0 4 0 2 3 0 2 41 3 41 1 41 41 3 0 0 3 3 41 0 3 0 41 0 3 3 6 41 31 41 0 0 0 41 5 0 0 13 0 0 41 1 41 2 0 38 0 0 13 0 3 1 2 41 41 6 13 41 0 0 2 2 41 41 2 0 0 41 1 0 31 42 41 13 41 41 2 3 1 0 41 6 0 41 2 3 1 3 0 41 41 38 3 3 41 41 0 41 38 41 41 0 41 0 41 3 0 0 41 4 39 2 39 3 38 25 1 39 13 1 38 1 13 38 39 42 6 39 38 13 2 39 39 27 39 39 0 39 39 39 26 1 0 39 6 0 13 39 13 39 39 2 39 2 5 2 13 25 39 39 1 39 2 39 13 6 39 13 1 39 39 39 39 2 39 39 39 13 39 4 39 39 26 39 39 39 39 5 39 39 1 13 39 13 4 6 39 39 0 1 39 38 39 39 38 13 39 39 39 39 39 38 25 39 25 2 2 39 25 39 39 39 2 9 39 26 39 25 2 39 25 25 39 27 2 25 39 2 25 25 9 2 25 0 39 0 2 25 39 25 39 39 39 11 39 39 39 25 39 25 39 27 39 25 39 39 2 26 9 39 26 26 2 0 25 25 39 0 2 25 0 25 2 39 25 25 39 39 2 39 2 2 0 2 2 0 39 39 39 39 0 39 37 0 11 9 9 39 39"
9,-0.6563,0.8519,"0 1 0 0 12 13 2 25 0 25 16 0 12 16 26 2 13 37 25 12 9 26 38 3 12 25 12 25 0 12 5 25 13 12 2 12 13 16 1 12 25 38 12 12 12 38 2 16 0 0 25 12 0 25 16 12 16 2 13 6 13 12 38 25 3 25 25 13 0 12 26 25 2 0 27 6 13 9 0 25 25 9 2 16 12 13 12 27 27 1 1 13 27 3 38 0 38 2 16 25 2 6 24 11 9 9 9 37 9 10 9 9 9 9 9 10 7 2 9 2 0 9 9 9 42 5 9 10 9 6 6 2 10 2 2 9 9 10 9 5 9 6 9 37 0 9 4 9 8 11 9 9 9 10 4 9 0 9 9 11 10 37 41 9 4 9 11 9 9 6 11 2 7 0 9 9 10 11 28 11 10 9 9 8 9 7 9 7 5 9 9 9 9 4 9 9 3 9 0 9 41 1 5 41 3 6 0 3 3 41 37 3 0 5 4 4 3 6 41 31 41 5 0 37 6 5 0 0 2 2 4 37 4 41 5 0 6 0 37 2 0 5 1 2 41 41 6 4 37 0 0 2 2 41 41 2 0 0 41 1 2 6 42 41 13 6 5 2 3 1 0 41 6 0 41 2 37 6 2 0 41 5 38 6 2 41 41 0 41 38 37 41 0 41 0 6 3 0 0 4 2 2 9 2 4 2 2 10 2 2 9 9 5 6 9 6 10 10 2 2 11 9 2 2 9 9 31 34 10 9 37 2 9 10 2 9 2 2 9 2 2 5 2 2 37 9 2 9 4 9 9 2 9 2 2 9 15 37 2 9 2 2 31 6 2 2 12 10 6 4 34 2 9 9 9 31 32 2 2 6 9 9 9 6 9 2 4 2 5 2 2 2 9 11 2 12 2 9 11 2 6 42 2 12 2 0 42 42 4 2 2 42 42 42 1 42 42 2 42 5 42 42 42 37 0 42 5 37 0 0 42 42 2 37 2 42 2 42 6 6 37 37 6 6 42 6 4 42 2 2 3 42 4 5 42 13 2 42 5 4 5 42 37 2 42 4 42 2 0 42 42 37 42 2 2 0 2 2 5 42 5 2 42 2 2 13 2 0 5 5 42 4 42 6 42 4 37 12 42 42"
10,-0.6488,0.8421,"39 39 39 18 25 39 25 39 25 39 39 39 30 39 39 39 27 25 39 25 39 39 39 23 39 23 27 39 12 25 23 25 39 27 39 25 39 39 39 39 28 39 39 12 39 39 25 39 25 12 39 25 3 39 39 39 25 26 39 39 24 39 27 39 26 39 39 28 39 12 39 39 39 26 39 39 25 39 23 25 29 39 0 39 39 39 39 27 27 39 39 23 39 2 39 23 39 39 39 12 2 3 5 5 0 0 4 38 2 3 41 41 5 2 37 0 6 5 41 16 37 5 41 0 0 5 39 12 0 16 3 2 6 2 0 13 13 0 4 0 41 6 6 2 2 0 37 41 42 3 6 2 4 0 39 41 37 0 0 37 2 6 4 2 0 39 3 2 41 5 6 4 2 0 13 2 41 2 37 37 3 4 2 5 3 3 0 4 2 0 12 0 4 0 2 3 0 2 41 3 41 1 41 41 3 0 0 3 3 41 0 3 0 41 0 3 3 6 41 31 41 0 0 0 41 5 0 0 13 0 0 41 1 41 2 0 38 0 0 13 0 3 1 2 41 41 6 13 41 0 0 2 2 41 41 2 0 0 41 1 0 31 42 41 13 41 41 2 3 1 0 41 6 0 41 2 3 1 3 0 41 41 38 3 3 41 41 0 41 38 41 41 0 41 0 41 3 0 0 41 4 39 2 39 39 6 25 39 39 39 2 25 39 2 39 39 42 6 39 39 34 2 39 39 27 39 39 39 39 39 39 26 5 37 39 6 39 39 39 39 39 39 2 39 2 5 2 2 25 39 39 39 39 2 39 39 6 39 39 39 39 39 39 39 2 39 39 39 5 39 4 39 39 26 39 39 39 39 5 39 39 39 39 39 39 4 6 39 39 34 2 39 39 39 39 2 39 39 39 39 39 39 38 25 39 25 2 2 39 25 39 39 39 2 9 39 26 39 25 2 39 25 25 39 27 2 25 39 2 25 25 9 2 25 0 39 0 2 25 39 25 39 39 39 11 39 39 39 25 39 25 39 27 39 25 39 39 2 26 9 39 26 26 2 0 25 25 39 0 2 25 0 25 2 39 25 25 39 39 2 39 2 2 0 2 2 0 39 39 39 39 0 39 37 0 11 9 9 39 39"
