# seed=25
# instance=PIECEWISE
# popSize=50
# generations=100
# crossover=BlockUniform(p=0.25)
# mutation=p0=0.05,pMin=0.002,alpha=0.95
# tournamentK=3
# elitism=2
# lambda_similarity=0.3
# fights_per_team=10
# anchors=5
gen,changes,best_fitness,best_winrate,best_similarity,avg_fitness,worst_fitness,best_genome
0,1,-0.6020,0.8800,0.9268,-0.1639,0.2389,"32 34 41 6 15 38 17 6 34 24 33 9 17 20 38 7 39 13 31 28 4 26 40 6 35 15 10 29 36 14 42 36 21 10 0 13 30 18 26 37 41 10 40 11 3 33 0 13 18 42 30 42 18 36 42 28 26 10 5 22 22 39 35 8 9 16 9 37 4 15 9 1 0 2 11 34 41 18 37 37 32 27 18 12 33 29 23 2 40 6 36 0 5 36 22 37 12 10 16 29 2 40 21 13 12 37 32 8 6 6 17 14 36 12 21 13 0 38 9 15 40 21 21 42 37 10 0 28 26 23 30 12 3 37 9 42 39 42 3 27 10 6 3 37 6 25 10 33 39 42 31 23 14 40 37 27 16 18 37 3 2 37 28 22 30 3 3 12 0 11 33 35 8 36 25 27 28 27 4 14 3 15 19 26 40 16 31 34 29 5 0 6 31 34 36 11 40 18 1 24 23 14 42 12 5 35 11 22 34 33 31 24 42 24 3 20 31 38 0 2 20 38 5 4 13 1 11 24 6 17 10 5 18 41 27 40 19 12 41 35 3 0 1 32 3 21 7 13 3 20 15 0 37 22 1 19 12 35 7 9 33 19 4 0 42 14 7 30 16 22 33 4 10 40 16 13 31 34 38 3 4 8 39 5 6 41 12 16 31 21 12 7 35 10 41 38 1 23 18 7 8 24 2 29 25 2 2 6 11 28 41 4 40 24 5 23 34 0 6 20 37 12 7 29 32 10 42 0 26 35 20 4 35 3 6 20 16 25 3 30 23 4 29 39 18 26 30 21 0 25 28 38 26 31 4 38 0 34 2 17 19 41 17 31 27 32 4 27 16 0 24 34 2 3 7 9 2 17 0 15 9 12 17 11 24 33 10 17 4 35 28 23 24 6 19 42 6 35 2 11 35 29 36 27 15 36 34 27 23 39 39 25 38 13 6 12 15 14 20 1 11 17 18 41 12 8 21 3 36 2 4 23 5 15 12 32 29 32 27 38 32 41 27 35 26 41 37 24 23 2 30 6 2 27 2 22 10 8 0 21 37 11 24 27 17 36 25 30 1 32 20 25 16 39 11 24 41 35 4 32 15 27 29 21 19 39 31 6 13 26 28 5 0 29 23 24 7 7 14 5"
1,2,-0.7484,0.9310,0.6087,-0.2259,0.2377,"13 12 12 12 13 18 12 12 25 12 38 12 12 18 12 28 12 30 17 13 29 28 17 30 3 12 29 12 13 12 29 12 12 28 18 28 25 12 1 12 12 25 17 28 25 12 12 12 12 12 12 12 2 12 12 18 12 2 12 29 18 12 18 12 12 12 28 30 12 12 25 35 12 12 29 28 12 12 18 25 30 12 18 28 1 28 18 12 12 12 12 12 18 30 12 12 12 2 28 12 0 2 3 37 0 2 22 36 28 0 3 30 6 41 2 2 0 2 37 3 0 41 0 3 41 3 1 3 3 41 3 38 3 2 0 22 14 2 3 3 13 41 41 10 2 1 0 2 3 2 42 2 2 2 0 2 3 5 13 2 3 0 6 2 2 23 2 4 41 0 2 2 42 37 0 3 18 6 3 37 3 38 0 7 6 0 5 37 3 13 2 0 41 2 3 0 2 17 0 0 16 33 33 31 33 16 31 40 33 31 32 17 37 33 9 17 32 22 8 19 24 31 33 12 31 31 37 25 31 31 30 14 31 31 32 31 27 31 31 3 31 2 31 31 33 34 31 39 42 21 20 31 1 42 35 10 31 24 31 16 24 33 5 25 31 24 31 32 31 31 36 24 6 7 33 31 29 31 33 17 41 2 32 33 32 33 31 28 3 31 31 33 31 40 31 24 33 37 31 37 21 9 37 4 21 2 11 2 4 9 21 6 22 11 2 2 4 2 2 21 2 9 21 10 6 21 11 9 10 4 2 2 9 2 4 9 4 9 9 2 2 2 4 2 2 6 10 9 9 9 11 2 5 3 9 37 2 2 11 5 2 2 21 11 6 5 9 2 37 2 9 2 21 2 2 11 9 21 2 37 6 22 2 37 9 2 30 6 2 6 37 9 9 2 9 21 2 22 2 6 31 31 17 31 31 31 33 32 32 31 42 31 17 33 42 16 31 32 31 16 42 31 32 31 32 31 31 31 16 33 31 42 32 33 16 31 31 16 31 42 17 31 31 31 31 33 42 31 31 31 42 33 42 31 31 31 12 33 42 17 31 31 31 18 31 31 42 42 31 31 31 31 17 31 42 18 42 32 31 12 42 31 42 31 31 31 31 33 31 24 31 31 31 16 16 31 17 31 16 31"
2,3,-0.7856,0.9167,0.4368,-0.2807,0.2539,"8 7 7 7 7 7 37 2 7 7 7 2 3 2 7 7 7 7 7 8 15 2 7 7 8 2 2 2 0 7 34 24 7 13 2 7 7 19 6 7 4 23 2 7 7 12 7 7 1 7 20 7 7 29 7 9 1 7 3 31 8 2 2 42 2 7 4 6 2 2 7 7 7 37 7 2 7 7 7 7 8 7 7 7 2 2 7 0 2 0 3 7 5 37 8 2 2 7 39 7 29 28 28 30 2 28 28 28 7 2 28 30 28 28 42 28 29 29 2 29 28 42 28 42 28 28 41 28 2 29 28 41 8 29 28 30 30 30 28 28 27 28 41 41 28 28 28 29 7 29 28 28 29 42 28 2 30 28 30 28 29 7 28 28 2 7 28 8 2 2 30 28 29 26 28 28 28 8 2 8 28 2 7 28 28 2 28 37 28 28 28 37 30 2 42 28 6 28 2 4 42 42 4 6 6 13 42 0 42 42 6 37 42 42 37 42 4 42 42 42 5 13 4 42 5 42 42 1 42 42 4 4 4 2 7 37 0 5 2 31 6 42 4 0 37 2 6 42 6 42 2 42 5 2 42 42 42 42 42 38 37 38 38 4 7 42 7 7 5 13 37 42 42 42 42 37 4 42 3 2 2 42 0 0 2 1 2 2 37 42 7 8 2 37 6 2 42 42 0 42 39 2 8 5 8 39 2 39 39 7 28 39 2 7 2 2 39 2 29 5 7 7 39 39 39 2 8 28 39 39 39 8 39 39 39 39 39 2 39 39 8 7 39 39 39 39 39 39 2 2 39 39 39 29 7 2 29 6 7 2 2 39 7 28 34 2 39 7 8 39 39 39 2 7 39 36 39 39 30 8 39 39 2 8 2 8 2 39 7 2 28 39 5 28 2 7 39 2 28 8 25 25 27 25 28 12 28 28 12 25 28 26 26 28 25 28 28 25 25 25 25 25 30 25 25 25 26 28 25 25 27 12 25 25 27 25 26 25 25 25 28 29 28 26 25 25 26 26 25 26 28 26 25 27 25 25 25 27 27 21 28 25 25 25 25 36 25 25 28 25 25 25 28 12 28 12 25 25 34 21 25 28 28 28 12 25 30 25 27 25 25 30 25 25 27 28 27 25 25 25"
3,3,-0.7570,0.9231,0.5534,-0.2764,0.1590,"8 7 7 7 7 7 37 2 7 7 7 2 3 2 7 7 7 7 7 8 15 2 7 7 8 2 2 2 0 7 34 24 7 13 2 7 7 19 6 7 4 23 2 7 7 12 7 7 1 7 20 7 7 29 7 9 1 7 3 31 8 2 2 42 2 7 4 6 2 2 7 7 7 37 7 2 7 7 7 7 8 7 7 7 2 2 7 0 2 0 3 7 5 37 8 2 2 7 39 7 29 28 28 30 2 28 28 28 7 2 28 30 28 28 42 28 29 29 2 29 28 42 28 42 28 28 41 28 2 29 28 41 8 29 28 30 30 30 28 28 27 28 41 41 28 28 28 29 7 29 28 28 29 42 28 2 30 28 30 28 29 7 28 28 2 7 28 8 2 2 30 28 29 26 28 28 28 8 2 8 28 2 7 28 28 2 28 37 28 28 28 37 30 2 42 28 6 28 2 4 42 42 4 6 6 13 42 0 42 42 6 37 42 42 37 42 4 42 42 42 5 13 4 42 5 42 42 1 42 42 4 4 4 2 7 37 0 5 2 31 6 42 4 0 37 2 6 42 6 42 2 42 5 2 42 42 42 42 42 38 37 38 38 4 7 42 7 7 5 13 37 42 42 42 42 37 4 42 3 2 2 42 0 0 2 1 2 2 37 42 7 8 2 37 6 2 42 42 0 42 39 2 8 5 8 39 2 39 39 7 28 39 2 7 2 2 39 2 29 5 7 7 39 39 39 2 8 28 39 39 39 8 39 39 39 39 39 2 39 39 8 7 39 39 39 39 39 39 2 2 39 39 39 29 7 2 29 6 7 2 2 39 7 28 34 2 39 7 8 39 39 39 2 7 39 36 39 39 30 8 39 39 2 8 2 8 2 39 7 2 28 39 5 28 2 7 39 2 28 8 25 25 27 25 28 12 28 28 12 25 28 26 26 28 25 28 28 25 25 25 25 25 30 25 25 25 26 28 25 25 27 12 25 25 27 25 26 25 25 25 28 29 28 26 25 25 26 26 25 26 28 26 25 27 25 25 25 27 27 21 28 25 25 25 25 36 25 25 28 25 25 25 28 12 28 12 25 25 34 21 25 28 28 28 12 25 30 25 27 25 25 30 25 25 27 28 27 25 25 25"
4,3,-0.7816,0.9565,0.5831,-0.2850,0.1368,"8 7 7 7 7 7 37 2 7 7 7 2 3 2 7 7 7 7 7 8 15 2 7 7 8 2 2 2 0 7 34 24 7 13 2 7 7 19 6 7 4 23 2 7 7 12 7 7 1 7 20 7 7 29 7 9 1 7 3 31 8 2 2 42 2 7 4 6 2 2 7 7 7 37 7 2 7 7 7 7 8 7 7 7 2 2 7 0 2 0 3 7 5 37 8 2 2 7 39 7 29 28 28 30 2 28 28 28 7 2 28 30 28 28 42 28 29 29 2 29 28 42 28 42 28 28 41 28 2 29 28 41 8 29 28 30 30 30 28 28 27 28 41 41 28 28 28 29 7 29 28 28 29 42 28 2 30 28 30 28 29 7 28 28 2 7 28 8 2 2 30 28 29 26 28 28 28 8 2 8 28 2 7 28 28 2 28 37 28 28 28 37 30 2 42 28 6 28 2 4 42 42 4 6 6 13 42 0 42 42 6 37 42 42 37 42 4 42 42 42 5 13 4 42 5 42 42 1 42 42 4 4 4 2 7 37 0 5 2 31 6 42 4 0 37 2 6 42 6 42 2 42 5 2 42 42 42 42 42 38 37 38 38 4 7 42 7 7 5 13 37 42 42 42 42 37 4 42 3 2 2 42 0 0 2 1 2 2 37 42 7 8 2 37 6 2 42 42 0 42 39 2 8 5 8 39 2 39 39 7 28 39 2 7 2 2 39 2 29 5 7 7 39 39 39 2 8 28 39 39 39 8 39 39 39 39 39 2 39 39 8 7 39 39 39 39 39 39 2 2 39 39 39 29 7 2 29 6 7 2 2 39 7 28 34 2 39 7 8 39 39 39 2 7 39 36 39 39 30 8 39 39 2 8 2 8 2 39 7 2 28 39 5 28 2 7 39 2 28 8 25 25 27 25 28 12 28 28 12 25 28 26 26 28 25 28 28 25 25 25 25 25 30 25 25 25 26 28 25 25 27 12 25 25 27 25 26 25 25 25 28 29 28 26 25 25 26 26 25 26 28 26 25 27 25 25 25 27 27 21 28 25 25 25 25 36 25 25 28 25 25 25 28 12 28 12 25 25 34 21 25 28 28 28 12 25 30 25 27 25 25 30 25 25 27 28 27 25 25 25"
5,3,-0.7856,0.9615,0.5865,-0.2949,0.1345,"8 7 7 7 7 7 37 2 7 7 7 2 3 2 7 7 7 7 7 8 15 2 7 7 8 2 2 2 0 7 34 24 7 13 2 7 7 19 6 7 4 23 2 7 7 12 7 7 1 7 20 7 7 29 7 9 1 7 3 31 8 2 2 42 2 7 4 6 2 2 7 7 7 37 7 2 7 7 7 7 8 7 7 7 2 2 7 0 2 0 3 7 5 37 8 2 2 7 39 7 29 28 28 30 2 28 28 28 7 2 28 30 28 28 42 28 29 29 2 29 28 42 28 42 28 28 41 28 2 29 28 41 8 29 28 30 30 30 28 28 27 28 41 41 28 28 28 29 7 29 28 28 29 42 28 2 30 28 30 28 29 7 28 28 2 7 28 8 2 2 30 28 29 26 28 28 28 8 2 8 28 2 7 28 28 2 28 37 28 28 28 37 30 2 42 28 6 28 2 4 42 42 4 6 6 13 42 0 42 42 6 37 42 42 37 42 4 42 42 42 5 13 4 42 5 42 42 1 42 42 4 4 4 2 7 37 0 5 2 31 6 42 4 0 37 2 6 42 6 42 2 42 5 2 42 42 42 42 42 38 37 38 38 4 7 42 7 7 5 13 37 42 42 42 42 37 4 42 3 2 2 42 0 0 2 1 2 2 37 42 7 8 2 37 6 2 42 42 0 42 39 2 8 5 8 39 2 39 39 7 28 39 2 7 2 2 39 2 29 5 7 7 39 39 39 2 8 28 39 39 39 8 39 39 39 39 39 2 39 39 8 7 39 39 39 39 39 39 2 2 39 39 39 29 7 2 29 6 7 2 2 39 7 28 34 2 39 7 8 39 39 39 2 7 39 36 39 39 30 8 39 39 2 8 2 8 2 39 7 2 28 39 5 28 2 7 39 2 28 8 25 25 27 25 28 12 28 28 12 25 28 26 26 28 25 28 28 25 25 25 25 25 30 25 25 25 26 28 25 25 27 12 25 25 27 25 26 25 25 25 28 29 28 26 25 25 26 26 25 26 28 26 25 27 25 25 25 27 27 21 28 25 25 25 25 36 25 25 28 25 25 25 28 12 28 12 25 25 34 21 25 28 28 28 12 25 30 25 27 25 25 30 25 25 27 28 27 25 25 25"
6,3,-0.7691,0.9259,0.5228,-0.3169,0.2015,"8 7 7 7 7 7 37 2 7 7 7 2 3 2 7 7 7 7 7 8 15 2 7 7 8 2 2 2 0 7 34 24 7 13 2 7 7 19 6 7 4 23 2 7 7 12 7 7 1 7 20 7 7 29 7 9 1 7 3 31 8 2 2 42 2 7 4 6 2 2 7 7 7 37 7 2 7 7 7 7 8 7 7 7 2 2 7 0 2 0 3 7 5 37 8 2 2 7 39 7 29 28 28 30 2 28 28 28 7 2 28 30 28 28 42 28 29 29 2 29 28 42 28 42 28 28 41 28 2 29 28 41 8 29 28 30 30 30 28 28 27 28 41 41 28 28 28 29 7 29 28 28 29 42 28 2 30 28 30 28 29 7 28 28 2 7 28 8 2 2 30 28 29 26 28 28 28 8 2 8 28 2 7 28 28 2 28 37 28 28 28 37 30 2 42 28 6 28 2 4 42 42 4 6 6 13 42 0 42 42 6 37 42 42 37 42 4 42 42 42 5 13 4 42 5 42 42 1 42 42 4 4 4 2 7 37 0 5 2 31 6 42 4 0 37 2 6 42 6 42 2 42 5 2 42 42 42 42 42 38 37 38 38 4 7 42 7 7 5 13 37 42 42 42 42 37 4 42 3 2 2 42 0 0 2 1 2 2 37 42 7 8 2 37 6 2 42 42 0 42 39 2 8 5 8 39 2 39 39 7 28 39 2 7 2 2 39 2 29 5 7 7 39 39 39 2 8 28 39 39 39 8 39 39 39 39 39 2 39 39 8 7 39 39 39 39 39 39 2 2 39 39 39 29 7 2 29 6 7 2 2 39 7 28 34 2 39 7 8 39 39 39 2 7 39 36 39 39 30 8 39 39 2 8 2 8 2 39 7 2 28 39 5 28 2 7 39 2 28 8 25 25 27 25 28 12 28 28 12 25 28 26 26 28 25 28 28 25 25 25 25 25 30 25 25 25 26 28 25 25 27 12 25 25 27 25 26 25 25 25 28 29 28 26 25 25 26 26 25 26 28 26 25 27 25 25 25 27 27 21 28 25 25 25 25 36 25 25 28 25 25 25 28 12 28 12 25 25 34 21 25 28 28 28 12 25 30 25 27 25 25 30 25 25 27 28 27 25 25 25"
7,3,-0.7583,0.9355,0.5906,-0.3028,0.1477,"8 7 7 7 7 7 37 2 7 7 7 2 3 2 7 7 7 7 7 8 15 2 7 7 8 2 2 2 0 7 34 24 7 13 2 7 7 19 6 7 4 23 2 7 7 12 7 7 1 7 20 7 7 29 7 9 1 7 3 31 8 2 2 42 2 7 4 6 2 2 7 7 7 37 7 2 7 7 7 7 8 7 7 7 2 2 7 0 2 0 3 7 5 37 8 2 2 7 39 7 29 28 28 30 2 28 28 28 7 2 28 30 28 28 42 28 29 29 2 29 28 42 28 42 28 28 41 28 2 29 28 41 8 29 28 30 30 30 28 28 27 28 41 41 28 28 28 29 7 29 28 28 29 42 28 2 30 28 30 28 29 7 28 28 2 7 28 8 2 2 30 28 29 26 28 28 28 8 2 8 28 2 7 28 28 2 28 37 28 28 28 37 30 2 42 28 6 28 2 4 42 42 4 6 6 13 42 0 42 42 6 37 42 42 37 42 4 42 42 42 5 13 4 42 5 42 42 1 42 42 4 4 4 2 7 37 0 5 2 31 6 42 4 0 37 2 6 42 6 42 2 42 5 2 42 42 42 42 42 38 37 38 38 4 7 42 7 7 5 13 37 42 42 42 42 37 4 42 3 2 2 42 0 0 2 1 2 2 37 42 7 8 2 37 6 2 42 42 0 42 39 2 8 5 8 39 2 39 39 7 28 39 2 7 2 2 39 2 29 5 7 7 39 39 39 2 8 28 39 39 39 8 39 39 39 39 39 2 39 39 8 7 39 39 39 39 39 39 2 2 39 39 39 29 7 2 29 6 7 2 2 39 7 28 34 2 39 7 8 39 39 39 2 7 39 36 39 39 30 8 39 39 2 8 2 8 2 39 7 2 28 39 5 28 2 7 39 2 28 8 25 25 27 25 28 12 28 28 12 25 28 26 26 28 25 28 28 25 25 25 25 25 30 25 25 25 26 28 25 25 27 12 25 25 27 25 26 25 25 25 28 29 28 26 25 25 26 26 25 26 28 26 25 27 25 25 25 27 27 21 28 25 25 25 25 36 25 25 28 25 25 25 28 12 28 12 25 25 34 21 25 28 28 28 12 25 30 25 27 25 25 30 25 25 27 28 27 25 25 25"
8,4,-0.7901,0.9524,0.5409,-0.3172,0.1874,"21 3 0 3 25 25 0 0 16 27 25 26 25 25 0 34 25 3 26 12 0 0 0 2 26 38 3 26 0 3 12 3 12 26 0 2 25 27 0 3 3 25 0 0 3 37 3 25 13 26 3 0 3 25 6 3 25 25 0 0 0 0 26 22 6 3 25 0 13 25 3 26 42 25 16 25 25 26 25 6 38 25 0 25 5 25 25 12 0 25 0 0 25 41 3 38 0 0 3 3 17 17 18 42 6 17 17 4 17 0 17 42 3 37 17 9 0 42 11 2 6 17 42 17 17 37 18 42 3 17 42 17 17 17 4 17 42 42 0 17 42 17 17 42 0 2 3 17 17 37 17 8 17 17 5 18 17 42 17 42 42 2 2 18 17 5 42 7 0 2 7 7 18 17 42 17 17 18 9 18 2 3 18 6 42 42 17 18 18 18 18 18 18 0 17 17 42 17 17 17 21 13 3 21 3 1 13 12 3 5 2 2 2 21 2 3 38 0 1 16 3 13 2 3 21 13 22 5 21 38 0 5 4 9 2 38 12 13 0 16 11 3 0 13 2 1 38 11 22 2 0 21 5 0 21 16 2 37 21 37 13 4 11 0 21 21 21 3 5 22 38 22 13 0 9 38 16 5 13 13 2 13 12 1 2 21 21 22 21 6 0 1 1 10 1 21 38 21 21 1 7 8 4 23 7 2 8 25 8 7 25 8 8 2 25 25 7 8 26 27 8 25 25 8 7 2 2 8 2 7 26 23 25 7 26 26 7 24 12 8 23 8 8 7 7 7 8 25 8 7 7 7 23 25 25 25 7 7 7 7 25 24 2 7 7 7 7 7 4 7 8 7 2 7 7 25 7 27 8 8 8 25 7 24 7 8 7 2 25 25 25 25 7 25 25 8 7 5 7 7 40 21 40 2 21 37 42 42 42 40 2 2 2 42 2 40 2 42 4 40 2 2 2 21 4 42 6 2 42 38 2 6 37 2 0 6 2 4 2 2 37 4 37 2 5 2 37 2 2 42 21 2 40 2 37 2 2 42 2 5 2 6 12 2 4 42 22 37 42 37 42 42 6 37 42 5 42 2 40 5 2 2 40 40 2 42 5 2 40 2 2 5 2 27 42 5 42 42 42 2"
9,4,-0.7476,0.9200,0.5747,-0.3094,0.1484,"21 3 0 3 25 25 0 0 16 27 25 26 25 25 0 34 25 3 26 12 0 0 0 2 26 38 3 26 0 3 12 3 12 26 0 2 25 27 0 3 3 25 0 0 3 37 3 25 13 26 3 0 3 25 6 3 25 25 0 0 0 0 26 22 6 3 25 0 13 25 3 26 42 25 16 25 25 26 25 6 38 25 0 25 5 25 25 12 0 25 0 0 25 41 3 38 0 0 3 3 17 17 18 42 6 17 17 4 17 0 17 42 3 37 17 9 0 42 11 2 6 17 42 17 17 37 18 42 3 17 42 17 17 17 4 17 42 42 0 17 42 17 17 42 0 2 3 17 17 37 17 8 17 17 5 18 17 42 17 42 42 2 2 18 17 5 42 7 0 2 7 7 18 17 42 17 17 18 9 18 2 3 18 6 42 42 17 18 18 18 18 18 18 0 17 17 42 17 17 17 21 13 3 21 3 1 13 12 3 5 2 2 2 21 2 3 38 0 1 16 3 13 2 3 21 13 22 5 21 38 0 5 4 9 2 38 12 13 0 16 11 3 0 13 2 1 38 11 22 2 0 21 5 0 21 16 2 37 21 37 13 4 11 0 21 21 21 3 5 22 38 22 13 0 9 38 16 5 13 13 2 13 12 1 2 21 21 22 21 6 0 1 1 10 1 21 38 21 21 1 7 8 4 23 7 2 8 25 8 7 25 8 8 2 25 25 7 8 26 27 8 25 25 8 7 2 2 8 2 7 26 23 25 7 26 26 7 24 12 8 23 8 8 7 7 7 8 25 8 7 7 7 23 25 25 25 7 7 7 7 25 24 2 7 7 7 7 7 4 7 8 7 2 7 7 25 7 27 8 8 8 25 7 24 7 8 7 2 25 25 25 25 7 25 25 8 7 5 7 7 40 21 40 2 21 37 42 42 42 40 2 2 2 42 2 40 2 42 4 40 2 2 2 21 4 42 6 2 42 38 2 6 37 2 0 6 2 4 2 2 37 4 37 2 5 2 37 2 2 42 21 2 40 2 37 2 2 42 2 5 2 6 12 2 4 42 22 37 42 37 42 42 6 37 42 5 42 2 40 5 2 2 40 40 2 42 5 2 40 2 2 5 2 27 42 5 42 42 42 2"
