# seed=27
# instance=BALANCED
# popSize=50
# generations=100
# crossover=BlockUniform(p=0.25)
# mutation=p0=0.05,pMin=0.002,alpha=0.95
# tournamentK=3
# elitism=2
# lambda_similarity=0.3
# fights_per_team=10
# anchors=5
gen,changes,best_fitness,best_winrate,best_similarity,avg_fitness,worst_fitness,best_genome
0,1,-0.5768,0.8571,0.9345,-0.1621,0.2322,"16 14 35 3 4 39 17 2 18 2 38 37 16 13 21 37 7 35 37 5 6 38 10 8 7 13 2 15 24 35 31 4 32 9 32 9 39 42 11 12 1 10 33 2 17 4 15 4 42 12 10 12 2 22 22 18 18 32 14 28 37 23 14 1 29 40 8 26 21 40 5 20 4 33 4 35 28 9 23 2 0 5 11 31 11 35 33 12 22 5 32 21 19 21 19 3 37 11 35 36 37 33 22 25 14 4 36 10 5 25 31 21 29 28 30 35 12 19 27 40 39 17 19 9 10 15 38 7 42 4 22 37 10 17 41 36 18 32 34 30 18 22 9 5 19 21 28 22 17 1 39 39 9 9 15 5 40 18 30 0 16 20 39 42 21 24 12 26 42 22 2 11 20 7 13 17 2 36 34 15 4 9 13 4 26 21 32 15 19 33 4 4 37 42 13 28 25 28 34 19 15 1 7 2 31 4 23 6 8 29 6 4 6 7 7 12 16 32 34 12 39 3 25 23 11 16 10 6 31 36 13 18 17 21 15 2 1 13 29 3 10 33 23 1 27 30 18 12 22 0 30 42 3 35 8 33 22 10 5 17 40 20 13 0 29 21 26 24 12 42 14 32 14 19 41 26 30 39 11 8 19 26 27 8 7 40 8 16 8 22 0 11 42 26 22 22 37 6 11 28 17 0 35 27 19 26 17 2 35 5 25 27 15 30 16 11 35 6 32 11 41 19 14 15 8 20 30 8 39 16 14 27 11 4 34 9 6 18 7 34 9 20 37 20 20 3 27 30 18 10 7 8 27 6 37 25 32 15 24 7 12 9 2 17 10 15 29 10 0 11 6 0 32 32 39 30 33 14 28 12 25 24 41 11 25 34 32 18 40 18 18 24 2 38 10 29 30 23 14 35 21 37 20 25 25 10 26 0 22 25 38 38 2 36 1 5 34 41 10 37 30 39 37 6 20 18 12 13 24 30 40 1 16 7 42 30 2 26 18 40 2 23 13 30 25 42 29 42 6 39 38 12 29 29 35 39 13 32 18 40 11 36 10 24 27 2 0 7 0 16 34 15 39 31 41 39 6 38 0 0 41 13 19 36 19 41 20 14 8 39 39 27 23 11 37 30 40 21 17 26"
1,2,-0.8409,1.0000,0.5304,-0.2269,0.2404,"28 31 4 42 28 29 20 28 31 29 31 28 28 33 28 30 29 42 33 28 28 31 19 29 28 42 30 28 28 31 31 28 31 28 32 28 28 28 15 28 28 5 31 28 28 19 28 28 31 28 28 31 28 28 28 28 42 31 21 28 31 28 32 28 31 2 30 19 31 28 28 30 31 28 31 28 28 31 28 28 28 30 6 28 28 29 28 31 28 19 28 31 30 31 26 28 28 31 28 32 40 32 40 40 7 40 40 31 40 40 7 26 40 2 40 40 40 40 2 31 2 40 7 40 31 40 40 32 7 2 8 40 40 7 2 40 2 2 40 2 40 2 2 40 8 40 2 2 31 31 40 31 31 40 7 33 40 40 32 2 40 2 40 40 7 40 2 40 32 8 2 40 40 40 8 40 8 40 2 40 40 2 40 2 40 31 31 40 40 2 31 32 2 40 31 32 40 40 2 32 12 25 40 5 25 26 26 25 27 25 25 27 26 25 25 12 25 0 28 27 25 40 25 27 30 12 25 25 26 25 25 27 25 26 25 39 12 25 25 25 12 27 27 27 25 26 25 25 25 25 25 25 25 27 25 25 25 25 27 25 25 25 26 31 27 25 25 25 12 25 25 25 25 26 12 25 25 26 25 26 27 26 25 26 27 25 25 25 26 25 26 27 25 40 25 25 25 27 25 12 0 30 19 13 30 28 28 14 28 30 3 8 28 28 29 17 29 12 28 28 28 14 28 38 30 1 17 0 17 28 15 0 28 14 28 28 29 12 28 28 28 30 36 28 3 28 15 12 28 12 29 29 29 19 28 28 15 28 28 28 34 28 28 28 29 29 28 28 28 28 17 29 28 28 12 15 13 17 28 28 17 15 30 15 42 28 15 19 28 28 28 30 28 38 28 28 38 17 28 15 25 16 12 42 12 12 19 12 12 12 25 12 25 12 26 12 20 25 20 42 20 12 38 12 12 26 25 25 42 12 20 20 12 12 12 25 12 12 19 19 12 25 25 12 12 42 19 12 12 42 19 12 42 19 42 12 12 20 20 25 12 12 3 31 19 25 12 25 8 12 12 42 12 12 42 25 37 25 19 42 25 25 12 25 19 12 42 12 20 25 17 12 27 42 10 10 26 12 12 25"
2,2,-0.8067,1.0000,0.6445,-0.2616,0.1338,"28 31 4 42 28 29 20 28 31 29 31 28 28 33 28 30 29 42 33 28 28 31 19 29 28 42 30 28 28 31 31 28 31 28 32 28 28 28 15 28 28 5 31 28 28 19 28 28 31 28 28 31 28 28 28 28 42 31 21 28 31 28 32 28 31 2 30 19 31 28 28 30 31 28 31 28 28 31 28 28 28 30 6 28 28 29 28 31 28 19 28 31 30 31 26 28 28 31 28 32 40 32 40 40 7 40 40 31 40 40 7 26 40 2 40 40 40 40 2 31 2 40 7 40 31 40 40 32 7 2 8 40 40 7 2 40 2 2 40 2 40 2 2 40 8 40 2 2 31 31 40 31 31 40 7 33 40 40 32 2 40 2 40 40 7 40 2 40 32 8 2 40 40 40 8 40 8 40 2 40 40 2 40 2 40 31 31 40 40 2 31 32 2 40 31 32 40 40 2 32 12 25 40 5 25 26 26 25 27 25 25 27 26 25 25 12 25 0 28 27 25 40 25 27 30 12 25 25 26 25 25 27 25 26 25 39 12 25 25 25 12 27 27 27 25 26 25 25 25 25 25 25 25 27 25 25 25 25 27 25 25 25 26 31 27 25 25 25 12 25 25 25 25 26 12 25 25 26 25 26 27 26 25 26 27 25 25 25 26 25 26 27 25 40 25 25 25 27 25 12 0 30 19 13 30 28 28 14 28 30 3 8 28 28 29 17 29 12 28 28 28 14 28 38 30 1 17 0 17 28 15 0 28 14 28 28 29 12 28 28 28 30 36 28 3 28 15 12 28 12 29 29 29 19 28 28 15 28 28 28 34 28 28 28 29 29 28 28 28 28 17 29 28 28 12 15 13 17 28 28 17 15 30 15 42 28 15 19 28 28 28 30 28 38 28 28 38 17 28 15 25 16 12 42 12 12 19 12 12 12 25 12 25 12 26 12 20 25 20 42 20 12 38 12 12 26 25 25 42 12 20 20 12 12 12 25 12 12 19 19 12 25 25 12 12 42 19 12 12 42 19 12 42 19 42 12 12 20 20 25 12 12 3 31 19 25 12 25 8 12 12 42 12 12 42 25 37 25 19 42 25 25 12 25 19 12 42 12 20 25 17 12 27 42 10 10 26 12 12 25"
3,3,-0.8445,1.0000,0.5183,-0.2938,0.1462,"37 41 28 13 41 13 41 41 2 41 6 41 2 3 4 9 2 41 41 2 0 1 0 29 9 41 13 1 38 1 2 30 13 38 38 29 37 41 0 38 1 0 2 41 41 41 41 2 13 1 41 2 41 41 3 0 38 41 40 3 41 2 28 41 5 11 2 4 41 13 0 41 2 41 13 37 38 41 41 3 2 41 3 13 41 4 41 5 1 3 3 41 0 41 0 41 41 13 30 2 0 0 3 13 19 38 19 1 15 19 14 1 19 1 3 0 23 26 20 3 19 38 12 19 13 12 38 19 3 3 39 18 38 13 13 13 12 12 1 0 12 3 3 13 38 19 19 12 19 3 13 13 3 0 19 41 0 1 37 19 20 3 12 14 19 19 0 16 0 0 13 12 19 1 38 19 20 19 14 13 1 12 38 12 19 19 19 38 39 3 3 1 19 19 1 1 0 13 1 3 21 21 2 21 21 21 21 21 21 21 21 4 21 21 21 5 21 22 7 12 21 21 12 42 22 21 22 21 21 21 21 21 6 6 21 21 12 21 21 21 16 22 22 21 22 6 2 21 21 12 37 21 21 22 21 22 21 21 21 22 21 16 37 22 21 4 21 22 21 21 21 21 21 22 21 21 21 12 21 21 22 21 4 22 21 22 22 17 7 12 21 21 6 37 21 21 2 21 16 22 3 25 0 25 9 9 25 9 9 11 9 9 9 10 9 9 11 9 11 25 11 26 25 9 25 9 25 11 10 9 9 25 9 10 9 26 25 25 9 25 3 25 10 9 25 25 25 11 26 27 25 41 25 27 9 25 25 9 25 9 9 9 10 9 9 11 9 11 25 9 9 2 9 9 9 9 10 9 9 42 9 9 25 10 32 11 9 26 25 25 9 10 9 29 9 9 9 25 0 25 25 26 25 25 25 26 25 12 12 36 25 12 25 25 25 25 27 27 27 25 25 26 42 25 26 25 19 25 27 26 25 25 25 26 25 27 25 25 27 20 16 27 25 25 25 25 12 27 25 12 12 25 26 25 25 19 25 16 16 25 11 25 25 26 16 16 26 25 25 16 25 12 25 16 12 25 25 25 25 25 25 25 25 25 26 25 25 25 27 26 25 16 25 26 25 25 26 25 26 25"
4,3,-0.8265,0.9583,0.4393,-0.3012,0.0996,"37 41 28 13 41 13 41 41 2 41 6 41 2 3 4 9 2 41 41 2 0 1 0 29 9 41 13 1 38 1 2 30 13 38 38 29 37 41 0 38 1 0 2 41 41 41 41 2 13 1 41 2 41 41 3 0 38 41 40 3 41 2 28 41 5 11 2 4 41 13 0 41 2 41 13 37 38 41 41 3 2 41 3 13 41 4 41 5 1 3 3 41 0 41 0 41 41 13 30 2 0 0 3 13 19 38 19 1 15 19 14 1 19 1 3 0 23 26 20 3 19 38 12 19 13 12 38 19 3 3 39 18 38 13 13 13 12 12 1 0 12 3 3 13 38 19 19 12 19 3 13 13 3 0 19 41 0 1 37 19 20 3 12 14 19 19 0 16 0 0 13 12 19 1 38 19 20 19 14 13 1 12 38 12 19 19 19 38 39 3 3 1 19 19 1 1 0 13 1 3 21 21 2 21 21 21 21 21 21 21 21 4 21 21 21 5 21 22 7 12 21 21 12 42 22 21 22 21 21 21 21 21 6 6 21 21 12 21 21 21 16 22 22 21 22 6 2 21 21 12 37 21 21 22 21 22 21 21 21 22 21 16 37 22 21 4 21 22 21 21 21 21 21 22 21 21 21 12 21 21 22 21 4 22 21 22 22 17 7 12 21 21 6 37 21 21 2 21 16 22 3 25 0 25 9 9 25 9 9 11 9 9 9 10 9 9 11 9 11 25 11 26 25 9 25 9 25 11 10 9 9 25 9 10 9 26 25 25 9 25 3 25 10 9 25 25 25 11 26 27 25 41 25 27 9 25 25 9 25 9 9 9 10 9 9 11 9 11 25 9 9 2 9 9 9 9 10 9 9 42 9 9 25 10 32 11 9 26 25 25 9 10 9 29 9 9 9 25 0 25 25 26 25 25 25 26 25 12 12 36 25 12 25 25 25 25 27 27 27 25 25 26 42 25 26 25 19 25 27 26 25 25 25 26 25 27 25 25 27 20 16 27 25 25 25 25 12 27 25 12 12 25 26 25 25 19 25 16 16 25 11 25 25 26 16 16 26 25 25 16 25 12 25 16 12 25 25 25 25 25 25 25 25 25 26 25 25 25 27 26 25 16 25 26 25 25 26 25 26 25"
5,3,-0.8216,1.0000,0.5948,-0.3175,0.0613,"37 41 28 13 41 13 41 41 2 41 6 41 2 3 4 9 2 41 41 2 0 1 0 29 9 41 13 1 38 1 2 30 13 38 38 29 37 41 0 38 1 0 2 41 41 41 41 2 13 1 41 2 41 41 3 0 38 41 40 3 41 2 28 41 5 11 2 4 41 13 0 41 2 41 13 37 38 41 41 3 2 41 3 13 41 4 41 5 1 3 3 41 0 41 0 41 41 13 30 2 0 0 3 13 19 38 19 1 15 19 14 1 19 1 3 0 23 26 20 3 19 38 12 19 13 12 38 19 3 3 39 18 38 13 13 13 12 12 1 0 12 3 3 13 38 19 19 12 19 3 13 13 3 0 19 41 0 1 37 19 20 3 12 14 19 19 0 16 0 0 13 12 19 1 38 19 20 19 14 13 1 12 38 12 19 19 19 38 39 3 3 1 19 19 1 1 0 13 1 3 21 21 2 21 21 21 21 21 21 21 21 4 21 21 21 5 21 22 7 12 21 21 12 42 22 21 22 21 21 21 21 21 6 6 21 21 12 21 21 21 16 22 22 21 22 6 2 21 21 12 37 21 21 22 21 22 21 21 21 22 21 16 37 22 21 4 21 22 21 21 21 21 21 22 21 21 21 12 21 21 22 21 4 22 21 22 22 17 7 12 21 21 6 37 21 21 2 21 16 22 3 25 0 25 9 9 25 9 9 11 9 9 9 10 9 9 11 9 11 25 11 26 25 9 25 9 25 11 10 9 9 25 9 10 9 26 25 25 9 25 3 25 10 9 25 25 25 11 26 27 25 41 25 27 9 25 25 9 25 9 9 9 10 9 9 11 9 11 25 9 9 2 9 9 9 9 10 9 9 42 9 9 25 10 32 11 9 26 25 25 9 10 9 29 9 9 9 25 0 25 25 26 25 25 25 26 25 12 12 36 25 12 25 25 25 25 27 27 27 25 25 26 42 25 26 25 19 25 27 26 25 25 25 26 25 27 25 25 27 20 16 27 25 25 25 25 12 27 25 12 12 25 26 25 25 19 25 16 16 25 11 25 25 26 16 16 26 25 25 16 25 12 25 16 12 25 25 25 25 25 25 25 25 25 26 25 25 25 27 26 25 16 25 26 25 25 26 25 26 25"
6,3,-0.7947,1.0000,0.6845,-0.3212,0.0966,"37 41 28 13 41 13 41 41 2 41 6 41 2 3 4 9 2 41 41 2 0 1 0 29 9 41 13 1 38 1 2 30 13 38 38 29 37 41 0 38 1 0 2 41 41 41 41 2 13 1 41 2 41 41 3 0 38 41 40 3 41 2 28 41 5 11 2 4 41 13 0 41 2 41 13 37 38 41 41 3 2 41 3 13 41 4 41 5 1 3 3 41 0 41 0 41 41 13 30 2 0 0 3 13 19 38 19 1 15 19 14 1 19 1 3 0 23 26 20 3 19 38 12 19 13 12 38 19 3 3 39 18 38 13 13 13 12 12 1 0 12 3 3 13 38 19 19 12 19 3 13 13 3 0 19 41 0 1 37 19 20 3 12 14 19 19 0 16 0 0 13 12 19 1 38 19 20 19 14 13 1 12 38 12 19 19 19 38 39 3 3 1 19 19 1 1 0 13 1 3 21 21 2 21 21 21 21 21 21 21 21 4 21 21 21 5 21 22 7 12 21 21 12 42 22 21 22 21 21 21 21 21 6 6 21 21 12 21 21 21 16 22 22 21 22 6 2 21 21 12 37 21 21 22 21 22 21 21 21 22 21 16 37 22 21 4 21 22 21 21 21 21 21 22 21 21 21 12 21 21 22 21 4 22 21 22 22 17 7 12 21 21 6 37 21 21 2 21 16 22 3 25 0 25 9 9 25 9 9 11 9 9 9 10 9 9 11 9 11 25 11 26 25 9 25 9 25 11 10 9 9 25 9 10 9 26 25 25 9 25 3 25 10 9 25 25 25 11 26 27 25 41 25 27 9 25 25 9 25 9 9 9 10 9 9 11 9 11 25 9 9 2 9 9 9 9 10 9 9 42 9 9 25 10 32 11 9 26 25 25 9 10 9 29 9 9 9 25 0 25 25 26 25 25 25 26 25 12 12 36 25 12 25 25 25 25 27 27 27 25 25 26 42 25 26 25 19 25 27 26 25 25 25 26 25 27 25 25 27 20 16 27 25 25 25 25 12 27 25 12 12 25 26 25 25 19 25 16 16 25 11 25 25 26 16 16 26 25 25 16 25 12 25 16 12 25 25 25 25 25 25 25 25 25 26 25 25 25 27 26 25 16 25 26 25 25 26 25 26 25"
7,3,-0.8286,1.0000,0.5715,-0.3181,0.1035,"37 41 28 13 41 13 41 41 2 41 6 41 2 3 4 9 2 41 41 2 0 1 0 29 9 41 13 1 38 1 2 30 13 38 38 29 37 41 0 38 1 0 2 41 41 41 41 2 13 1 41 2 41 41 3 0 38 41 40 3 41 2 28 41 5 11 2 4 41 13 0 41 2 41 13 37 38 41 41 3 2 41 3 13 41 4 41 5 1 3 3 41 0 41 0 41 41 13 30 2 0 0 3 13 19 38 19 1 15 19 14 1 19 1 3 0 23 26 20 3 19 38 12 19 13 12 38 19 3 3 39 18 38 13 13 13 12 12 1 0 12 3 3 13 38 19 19 12 19 3 13 13 3 0 19 41 0 1 37 19 20 3 12 14 19 19 0 16 0 0 13 12 19 1 38 19 20 19 14 13 1 12 38 12 19 19 19 38 39 3 3 1 19 19 1 1 0 13 1 3 21 21 2 21 21 21 21 21 21 21 21 4 21 21 21 5 21 22 7 12 21 21 12 42 22 21 22 21 21 21 21 21 6 6 21 21 12 21 21 21 16 22 22 21 22 6 2 21 21 12 37 21 21 22 21 22 21 21 21 22 21 16 37 22 21 4 21 22 21 21 21 21 21 22 21 21 21 12 21 21 22 21 4 22 21 22 22 17 7 12 21 21 6 37 21 21 2 21 16 22 3 25 0 25 9 9 25 9 9 11 9 9 9 10 9 9 11 9 11 25 11 26 25 9 25 9 25 11 10 9 9 25 9 10 9 26 25 25 9 25 3 25 10 9 25 25 25 11 26 27 25 41 25 27 9 25 25 9 25 9 9 9 10 9 9 11 9 11 25 9 9 2 9 9 9 9 10 9 9 42 9 9 25 10 32 11 9 26 25 25 9 10 9 29 9 9 9 25 0 25 25 26 25 25 25 26 25 12 12 36 25 12 25 25 25 25 27 27 27 25 25 26 42 25 26 25 19 25 27 26 25 25 25 26 25 27 25 25 27 20 16 27 25 25 25 25 12 27 25 12 12 25 26 25 25 19 25 16 16 25 11 25 25 26 16 16 26 25 25 16 25 12 25 16 12 25 25 25 25 25 25 25 25 25 26 25 25 25 27 26 25 16 25 26 25 25 26 25 26 25"
8,3,-0.8063,0.9583,0.5067,-0.3136,0.0579,"37 41 28 13 41 13 41 41 2 41 6 41 2 3 4 9 2 41 41 2 0 1 0 29 9 41 13 1 38 1 2 30 13 38 38 29 37 41 0 38 1 0 2 41 41 41 41 2 13 1 41 2 41 41 3 0 38 41 40 3 41 2 28 41 5 11 2 4 41 13 0 41 2 41 13 37 38 41 41 3 2 41 3 13 41 4 41 5 1 3 3 41 0 41 0 41 41 13 30 2 0 0 3 13 19 38 19 1 15 19 14 1 19 1 3 0 23 26 20 3 19 38 12 19 13 12 38 19 3 3 39 18 38 13 13 13 12 12 1 0 12 3 3 13 38 19 19 12 19 3 13 13 3 0 19 41 0 1 37 19 20 3 12 14 19 19 0 16 0 0 13 12 19 1 38 19 20 19 14 13 1 12 38 12 19 19 19 38 39 3 3 1 19 19 1 1 0 13 1 3 21 21 2 21 21 21 21 21 21 21 21 4 21 21 21 5 21 22 7 12 21 21 12 42 22 21 22 21 21 21 21 21 6 6 21 21 12 21 21 21 16 22 22 21 22 6 2 21 21 12 37 21 21 22 21 22 21 21 21 22 21 16 37 22 21 4 21 22 21 21 21 21 21 22 21 21 21 12 21 21 22 21 4 22 21 22 22 17 7 12 21 21 6 37 21 21 2 21 16 22 3 25 0 25 9 9 25 9 9 11 9 9 9 10 9 9 11 9 11 25 11 26 25 9 25 9 25 11 10 9 9 25 9 10 9 26 25 25 9 25 3 25 10 9 25 25 25 11 26 27 25 41 25 27 9 25 25 9 25 9 9 9 10 9 9 11 9 11 25 9 9 2 9 9 9 9 10 9 9 42 9 9 25 10 32 11 9 26 25 25 9 10 9 29 9 9 9 25 0 25 25 26 25 25 25 26 25 12 12 36 25 12 25 25 25 25 27 27 27 25 25 26 42 25 26 25 19 25 27 26 25 25 25 26 25 27 25 25 27 20 16 27 25 25 25 25 12 27 25 12 12 25 26 25 25 19 25 16 16 25 11 25 25 26 16 16 26 25 25 16 25 12 25 16 12 25 25 25 25 25 25 25 25 25 26 25 25 25 27 26 25 16 25 26 25 25 26 25 26 25"
9,3,-0.8100,1.0000,0.6332,-0.3135,0.1005,"37 41 28 13 41 13 41 41 2 41 6 41 2 3 4 9 2 41 41 2 0 1 0 29 9 41 13 1 38 1 2 30 13 38 38 29 37 41 0 38 1 0 2 41 41 41 41 2 13 1 41 2 41 41 3 0 38 41 40 3 41 2 28 41 5 11 2 4 41 13 0 41 2 41 13 37 38 41 41 3 2 41 3 13 41 4 41 5 1 3 3 41 0 41 0 41 41 13 30 2 0 0 3 13 19 38 19 1 15 19 14 1 19 1 3 0 23 26 20 3 19 38 12 19 13 12 38 19 3 3 39 18 38 13 13 13 12 12 1 0 12 3 3 13 38 19 19 12 19 3 13 13 3 0 19 41 0 1 37 19 20 3 12 14 19 19 0 16 0 0 13 12 19 1 38 19 20 19 14 13 1 12 38 12 19 19 19 38 39 3 3 1 19 19 1 1 0 13 1 3 21 21 2 21 21 21 21 21 21 21 21 4 21 21 21 5 21 22 7 12 21 21 12 42 22 21 22 21 21 21 21 21 6 6 21 21 12 21 21 21 16 22 22 21 22 6 2 21 21 12 37 21 21 22 21 22 21 21 21 22 21 16 37 22 21 4 21 22 21 21 21 21 21 22 21 21 21 12 21 21 22 21 4 22 21 22 22 17 7 12 21 21 6 37 21 21 2 21 16 22 3 25 0 25 9 9 25 9 9 11 9 9 9 10 9 9 11 9 11 25 11 26 25 9 25 9 25 11 10 9 9 25 9 10 9 26 25 25 9 25 3 25 10 9 25 25 25 11 26 27 25 41 25 27 9 25 25 9 25 9 9 9 10 9 9 11 9 11 25 9 9 2 9 9 9 9 10 9 9 42 9 9 25 10 32 11 9 26 25 25 9 10 9 29 9 9 9 25 0 25 25 26 25 25 25 26 25 12 12 36 25 12 25 25 25 25 27 27 27 25 25 26 42 25 26 25 19 25 27 26 25 25 25 26 25 27 25 25 27 20 16 27 25 25 25 25 12 27 25 12 12 25 26 25 25 19 25 16 16 25 11 25 25 26 16 16 26 25 25 16 25 12 25 16 12 25 25 25 25 25 25 25 25 25 26 25 25 25 27 26 25 16 25 26 25 25 26 25 26 25"
