rank,fitness,winrate,genome
1,-0.7992,1.0000,"2 7 12 8 26 27 12 12 26 7 25 27 12 12 25 25 25 12 28 2 8 25 12 7 25 2 12 2 16 25 12 2 2 25 25 26 25 25 12 16 25 16 27 28 26 12 16 16 26 8 25 25 2 12 25 26 7 25 12 30 7 25 7 16 2 25 25 25 2 25 25 16 25 25 25 7 27 12 2 16 25 26 25 12 16 26 16 16 25 16 25 2 7 2 25 25 16 34 12 12 2 4 4 41 2 5 5 4 2 2 2 2 2 2 2 37 6 2 2 6 2 37 5 37 2 2 2 4 4 2 6 2 2 2 2 37 6 2 12 2 2 2 2 2 37 2 31 2 6 2 2 2 2 2 6 6 2 2 2 2 2 21 2 12 2 2 5 37 2 12 5 21 2 2 2 2 2 2 2 4 2 5 2 2 6 37 37 37 2 5 2 2 2 2 12 2 2 4 2 2 8 5 7 8 7 7 8 7 8 7 2 2 2 8 7 8 2 2 2 2 7 8 2 4 29 7 8 2 7 2 6 7 2 6 2 2 2 33 2 2 7 7 8 7 2 7 7 6 2 2 7 2 7 2 7 2 7 2 8 8 7 12 2 8 4 2 8 8 2 2 8 7 8 30 2 7 2 2 7 2 31 37 28 2 37 7 6 37 7 8 2 8 7 8 2 29 2 8 12 7 16 16 0 39 16 9 25 25 16 25 12 26 9 13 12 16 27 25 26 26 16 13 16 25 9 25 16 25 25 27 27 12 16 27 12 16 25 3 12 25 27 39 42 26 25 39 27 39 39 27 16 25 25 16 12 9 39 27 12 39 27 16 39 39 12 26 25 39 25 9 12 16 0 16 25 9 39 9 12 25 42 41 25 25 16 25 12 25 12 25 25 16 9 26 39 16 12 25 0 25 2 2 2 4 2 3 37 21 21 4 2 36 21 0 37 2 2 6 2 21 2 2 0 21 5 5 21 6 6 21 5 2 4 2 2 2 1 2 2 4 5 37 38 4 2 2 2 2 2 38 2 2 2 2 38 2 10 2 2 38 2 21 21 0 21 37 2 34 2 2 2 3 21 3 2 2 2 2 2 13 0 13 2 37 2 38 2 22 37 21 6 2 22 6 2 2 13 2 22 2"
2,-0.7827,1.0000,"2 7 12 8 26 27 12 12 26 7 25 27 12 12 25 25 25 12 28 2 8 25 12 7 25 2 12 2 16 25 12 2 2 25 25 26 25 25 12 16 25 16 27 28 26 12 16 16 26 8 25 25 2 12 25 26 7 25 12 30 7 25 7 16 2 25 25 25 2 25 25 16 25 25 25 7 27 12 2 16 25 26 25 12 16 26 16 16 25 16 25 2 7 2 25 25 16 34 12 12 2 4 4 41 2 5 5 4 2 2 2 2 2 2 2 37 6 2 2 6 2 37 5 37 2 2 2 4 4 2 6 2 2 2 2 37 6 2 12 2 2 2 2 2 37 2 31 2 6 2 2 2 2 2 6 6 2 2 2 2 2 21 2 12 2 2 5 37 2 12 5 21 2 2 2 2 2 2 2 4 2 5 2 2 6 37 37 37 2 5 2 2 2 2 12 2 2 4 2 2 8 5 7 8 7 7 8 7 8 7 2 2 2 8 7 8 2 2 2 2 7 8 2 4 29 7 8 2 7 2 6 7 2 6 2 2 2 33 2 2 7 7 8 7 2 7 7 6 2 2 7 2 7 2 7 2 7 2 8 8 7 12 2 8 4 2 8 8 2 2 8 7 8 30 2 7 2 2 7 2 31 37 28 2 37 7 6 37 7 8 2 8 7 8 2 29 2 8 12 7 16 16 0 39 16 9 25 25 16 25 12 26 9 13 12 16 27 25 26 26 16 13 16 25 9 25 16 25 25 27 27 12 16 27 12 16 25 3 12 25 27 39 42 26 25 39 27 39 39 27 16 25 25 16 12 9 39 27 12 39 27 16 39 39 12 26 25 39 25 9 12 16 0 16 25 9 39 9 12 25 42 41 25 25 16 25 12 25 12 25 25 16 9 26 39 16 12 25 0 25 2 2 2 4 2 3 37 21 21 4 2 36 21 0 37 2 2 6 2 21 2 2 0 21 5 5 21 6 6 21 5 2 4 2 2 2 1 2 2 4 5 37 38 4 2 2 2 2 2 38 2 2 2 2 38 2 10 2 2 38 2 21 21 0 21 37 2 34 2 2 2 3 21 3 2 2 2 2 2 13 0 13 2 37 2 38 2 22 37 21 6 2 22 6 2 2 13 2 22 2"
3,-0.7304,0.9545,"35 2 2 2 36 37 34 2 28 2 2 28 34 4 34 2 5 2 2 2 2 2 2 2 2 2 34 2 5 5 2 28 2 2 34 2 34 34 6 4 6 34 6 37 6 2 2 4 35 6 34 2 2 30 6 2 2 2 5 2 6 34 34 28 2 34 2 5 2 34 2 2 34 34 34 37 5 35 2 2 34 34 5 4 35 2 2 5 2 2 29 2 34 2 34 37 2 6 36 4 17 0 13 34 38 17 0 0 34 14 34 15 25 0 17 37 2 14 15 0 19 19 38 42 25 13 1 17 38 1 34 1 38 0 17 14 14 1 17 14 34 0 1 34 19 13 13 42 2 13 38 2 15 1 34 15 0 14 34 19 3 17 7 1 34 35 34 14 34 34 2 17 13 19 2 17 34 34 1 19 13 17 3 0 38 34 19 2 17 14 34 35 38 13 34 17 34 14 35 6 12 3 34 3 35 34 34 34 36 3 12 36 15 34 42 3 0 35 34 34 0 3 34 3 35 34 12 36 36 12 3 34 36 3 0 3 3 0 3 3 34 34 28 35 3 35 28 34 28 28 3 34 0 3 0 0 34 41 0 34 34 34 3 34 0 34 0 35 34 12 12 34 12 34 0 12 34 14 14 14 28 34 3 14 12 29 12 34 34 29 3 34 0 34 12 3 0 12 0 3 16 16 0 39 16 9 25 25 16 25 12 26 9 13 12 16 27 25 26 26 16 13 16 25 9 25 16 25 25 27 27 12 16 27 12 16 25 3 12 25 27 39 26 26 25 39 27 39 39 27 16 25 25 16 12 9 39 27 12 39 27 16 39 39 12 26 25 39 25 9 12 16 0 16 25 9 39 9 12 25 42 41 25 25 16 25 12 25 12 25 25 16 9 26 39 16 12 25 0 25 1 16 19 38 0 0 0 3 38 38 3 38 0 16 0 0 0 3 2 16 38 1 13 3 2 42 13 19 2 19 0 38 38 3 19 38 13 13 38 1 0 0 3 2 3 1 20 42 1 1 1 0 1 19 19 0 16 28 13 13 0 19 3 3 16 20 0 13 28 1 0 1 13 13 13 13 19 0 3 0 38 19 1 13 20 42 28 3 16 0 3 19 19 3 1 20 38 38 0 38"
4,-0.7083,0.9259,"2 25 12 26 26 25 25 12 27 7 25 26 26 25 25 26 25 12 25 2 25 27 27 25 25 27 12 2 25 27 25 26 2 25 25 26 25 25 25 25 25 26 26 25 27 25 26 25 25 25 25 25 2 12 25 25 25 25 25 30 25 25 25 25 2 25 27 25 2 25 25 25 25 25 25 7 27 26 26 16 25 27 25 26 25 25 16 25 25 16 25 2 25 25 25 27 16 34 26 12 39 2 2 2 5 2 2 6 4 2 4 2 39 6 5 39 2 2 39 2 2 2 2 2 39 39 2 8 2 2 7 2 2 6 9 39 6 2 6 2 37 39 2 2 2 2 39 2 5 6 2 2 2 9 2 2 2 2 2 2 7 2 6 39 28 2 2 8 6 2 4 9 39 39 6 2 2 2 2 2 2 2 39 2 2 2 2 2 2 39 4 5 4 2 2 2 2 2 2 2 2 5 7 8 7 7 7 7 31 7 4 5 2 30 7 37 7 7 2 7 5 7 2 4 29 6 37 2 37 37 6 12 7 6 31 30 12 33 37 7 4 7 8 8 2 7 2 6 2 37 7 7 7 2 2 31 7 5 5 7 37 12 2 8 4 7 8 7 37 7 12 7 31 30 7 7 2 7 7 12 31 37 28 29 37 7 6 37 12 12 8 2 7 8 7 29 12 7 12 4 39 4 39 2 8 2 19 39 2 2 39 39 37 39 39 39 39 8 39 2 6 39 2 39 2 37 39 8 38 7 2 2 4 2 6 39 2 7 2 39 0 39 39 37 31 2 2 2 39 2 2 39 7 0 39 39 2 39 2 39 39 2 7 2 8 2 2 2 2 39 2 2 2 2 39 39 2 39 2 39 8 39 2 2 2 2 39 39 39 39 39 39 39 2 39 2 2 39 39 39 12 0 0 20 3 20 6 0 3 19 3 3 4 0 6 12 3 37 3 12 20 0 19 37 3 12 6 12 12 2 25 3 6 12 3 3 2 2 41 3 20 12 3 12 12 5 19 2 20 19 2 0 2 12 12 3 12 0 20 20 3 25 5 26 3 3 0 19 0 37 12 0 4 5 12 37 12 20 19 0 20 25 12 19 20 3 0 20 2 37 12 12 3 12 12 0 19 0 2 0"
5,-0.7016,0.9231,"35 2 2 2 36 37 34 2 28 2 2 28 34 4 34 2 5 2 2 2 2 2 2 2 2 2 34 2 5 5 2 28 2 2 34 2 34 34 6 4 6 34 6 37 6 2 2 4 35 6 34 2 2 30 6 2 2 2 5 2 6 34 34 28 2 34 2 5 2 34 2 2 34 34 34 37 5 35 2 2 34 34 5 4 35 2 2 5 2 2 29 2 34 2 34 37 2 6 36 4 17 0 13 34 38 17 0 0 34 14 34 15 25 0 17 37 2 14 15 0 19 19 38 42 25 13 1 17 38 1 34 1 38 0 17 14 14 1 17 14 34 0 1 34 19 13 13 42 2 13 38 2 15 1 34 15 0 14 34 19 3 17 7 1 34 35 34 14 34 34 2 17 13 19 2 17 34 34 1 19 13 17 3 0 38 34 19 2 17 14 34 35 38 13 34 17 34 14 35 6 2 2 34 10 11 2 2 2 2 10 11 11 15 34 2 2 0 10 34 34 0 2 34 2 35 2 12 36 9 11 11 9 2 3 0 3 3 0 3 2 34 2 28 2 3 35 2 34 28 11 11 34 2 3 9 0 34 11 0 2 2 34 9 34 0 11 0 2 34 2 2 34 12 2 0 10 10 14 14 2 10 9 3 14 2 29 12 2 9 9 3 34 2 34 12 3 2 12 0 3 16 16 0 39 16 9 25 25 16 25 12 26 9 13 12 16 27 25 26 26 16 13 16 25 9 25 16 25 25 27 27 12 16 27 12 16 25 3 12 25 27 39 26 26 25 39 27 39 39 27 16 25 25 16 12 9 39 27 12 39 27 16 39 39 12 26 25 39 25 9 12 16 0 16 25 9 39 9 12 25 42 41 25 25 16 25 12 25 12 25 25 16 9 26 39 16 12 25 0 25 1 16 19 38 0 0 0 3 38 38 3 38 0 16 0 0 0 3 2 16 38 1 13 3 2 42 13 19 2 19 0 38 38 3 19 38 13 13 38 1 0 0 3 2 3 1 20 42 1 1 1 0 1 19 19 0 16 28 13 13 0 19 3 3 16 20 0 13 28 1 0 1 13 13 13 13 19 0 3 0 38 19 1 13 20 42 28 3 16 0 3 19 19 3 1 20 38 38 0 38"
6,-0.6729,0.8621,"35 2 2 2 33 31 34 2 28 2 2 31 31 4 34 2 5 2 2 2 2 31 2 2 32 31 31 31 31 31 2 31 31 2 34 2 34 34 6 32 6 34 6 37 6 2 31 4 35 32 34 31 2 30 6 31 2 2 31 31 6 31 31 31 2 34 32 31 31 32 31 2 31 34 31 37 32 35 2 32 31 34 31 31 35 33 2 31 32 2 31 33 34 2 31 37 2 31 31 4 17 0 13 34 38 17 0 0 34 14 34 15 25 0 17 37 2 14 15 0 19 19 38 42 25 13 1 17 38 1 34 1 38 0 17 14 14 1 17 14 34 0 1 34 19 13 13 42 2 13 38 2 15 1 34 15 0 14 34 19 3 17 7 1 34 35 34 14 34 34 2 17 13 19 2 17 34 34 1 19 13 17 3 0 38 34 19 2 17 14 34 35 38 13 34 17 34 14 35 6 12 3 34 3 35 34 34 34 36 3 12 36 15 34 42 3 0 35 34 34 0 3 34 3 35 34 12 36 36 12 3 34 36 3 0 3 3 0 3 3 34 34 28 35 3 35 28 34 28 28 3 34 0 3 0 0 34 41 0 34 34 34 3 34 0 34 0 35 34 12 12 34 12 34 0 12 34 14 14 14 28 34 3 14 12 29 12 34 34 29 3 34 0 34 12 3 0 12 0 3 16 16 0 39 16 9 25 25 16 25 12 26 9 13 12 16 27 25 26 26 16 13 16 25 9 25 16 25 25 27 27 12 16 27 12 16 25 3 12 25 27 39 26 26 25 39 27 39 39 27 16 25 25 16 12 9 39 27 12 39 27 16 39 39 12 26 25 39 25 9 12 16 0 16 25 9 39 9 12 25 42 41 25 25 16 25 12 25 12 25 25 16 9 26 39 16 12 25 0 25 1 16 19 38 0 0 0 3 38 38 3 38 0 16 0 0 0 3 2 16 38 1 13 3 2 42 13 19 2 19 0 38 38 3 19 38 13 13 38 1 0 0 3 2 3 1 20 42 1 1 1 0 1 19 19 0 16 28 13 13 0 19 3 3 16 20 0 13 28 1 0 1 13 13 13 13 19 0 3 0 38 19 1 13 20 42 28 3 16 0 3 19 19 3 1 20 38 38 0 38"
7,-0.6703,0.8182,"41 41 1 36 41 41 1 0 13 41 41 13 41 41 23 0 23 41 41 41 13 1 13 8 23 3 41 41 13 1 0 38 0 41 41 41 41 41 41 41 41 41 41 23 23 38 41 3 41 41 41 41 41 41 13 41 41 1 41 41 3 41 1 3 41 24 41 41 0 23 41 41 41 23 1 41 41 41 13 41 41 41 1 41 41 13 41 41 23 1 23 3 41 13 41 41 41 0 41 0 0 41 41 41 17 5 41 1 1 41 17 3 0 41 2 41 17 2 0 38 3 38 5 41 17 41 13 17 18 17 3 41 41 17 41 41 13 41 38 41 41 2 2 2 37 0 41 41 17 0 3 41 18 17 17 13 0 41 3 17 17 41 17 38 41 38 17 13 2 0 41 41 41 2 41 41 17 17 17 41 3 13 41 41 6 37 41 37 17 18 41 17 18 2 12 2 0 1 41 41 39 25 26 39 25 39 26 39 5 39 25 27 4 25 26 5 6 27 28 25 4 6 6 39 2 39 2 25 25 2 39 5 25 27 39 26 25 27 37 25 39 25 25 39 6 27 39 25 25 25 13 5 4 6 39 25 25 39 27 13 41 25 39 27 6 25 39 39 25 25 39 39 39 39 5 37 5 39 25 2 39 37 25 27 39 25 12 39 5 41 27 27 41 39 26 26 25 2 39 39 16 16 0 39 16 9 25 25 16 25 12 26 9 13 12 16 27 25 26 26 16 13 16 25 9 25 16 25 25 27 27 12 16 27 12 16 25 3 12 25 27 39 42 26 25 39 27 39 39 27 16 25 25 16 12 9 39 27 12 39 27 16 39 39 12 26 25 39 25 9 12 16 0 16 25 9 39 9 12 25 42 41 25 25 16 25 12 25 12 25 25 16 9 26 39 16 12 25 0 25 28 13 30 13 13 1 12 28 28 13 3 0 28 12 0 12 28 29 1 30 3 38 28 28 13 0 0 3 28 1 0 1 23 28 26 3 13 3 24 13 38 12 38 29 38 24 30 28 29 38 3 28 28 34 30 29 38 28 30 12 0 12 3 0 28 1 3 23 1 28 29 28 12 3 28 0 3 3 1 0 24 0 30 28 3 1 1 29 3 23 0 12 28 38 0 38 3 29 28 23"
8,-0.6608,0.8276,"35 36 2 5 36 34 34 34 28 42 34 28 34 4 34 2 5 34 35 34 34 34 28 6 2 2 34 36 34 34 6 28 28 4 34 5 34 34 34 37 2 34 6 2 35 36 35 35 35 5 34 34 2 30 2 2 2 2 34 28 36 34 34 28 2 34 2 2 34 34 34 34 34 34 34 4 2 35 34 34 34 34 34 34 35 2 2 2 34 2 29 34 34 28 34 37 35 34 36 34 17 0 13 34 38 17 0 0 34 14 34 15 25 0 17 37 2 14 15 0 19 19 38 42 25 13 1 17 38 1 34 1 38 0 17 14 14 1 17 14 34 0 1 34 19 13 13 42 2 13 38 2 15 1 34 15 0 14 34 19 3 17 7 1 34 35 34 14 34 34 2 17 13 19 2 17 34 34 1 19 13 17 3 0 38 34 19 2 17 14 34 35 38 13 34 17 34 14 35 6 12 3 34 3 35 34 34 34 36 3 12 36 15 34 42 3 0 35 34 34 0 3 34 3 35 34 12 36 36 12 3 34 36 3 0 3 3 0 3 3 34 34 28 35 3 35 28 34 28 28 3 34 0 3 0 0 34 41 0 34 34 34 3 34 0 34 0 35 34 12 12 34 12 34 0 12 34 14 14 14 28 34 3 14 12 29 12 34 34 29 3 34 0 34 12 3 0 12 0 3 16 16 0 39 16 9 25 25 16 25 12 26 9 13 12 16 27 25 26 26 16 13 16 25 9 25 16 25 25 27 27 12 16 27 12 16 25 3 12 25 27 39 26 26 25 39 27 39 39 27 16 25 25 16 12 9 39 27 12 39 27 16 39 39 12 26 25 39 25 9 12 16 0 16 25 9 39 9 12 25 42 41 25 25 16 25 12 25 12 25 25 16 9 26 39 16 12 25 0 25 1 16 19 38 0 0 0 3 38 38 3 38 0 16 0 0 0 3 2 16 38 1 13 3 2 42 13 19 2 19 0 38 38 3 19 38 13 13 38 1 0 0 3 2 3 1 20 42 1 1 1 0 1 19 19 0 16 28 13 13 0 19 3 3 16 20 0 13 28 1 0 1 13 13 13 13 19 0 3 0 38 19 1 13 20 42 28 3 16 0 3 19 19 3 1 20 38 38 0 38"
9,-0.6572,0.8571,"2 25 12 26 26 25 25 12 27 7 25 26 26 25 25 26 25 12 25 2 25 27 27 25 25 27 12 2 25 27 25 26 2 25 25 26 25 25 25 25 25 26 26 25 27 25 26 25 25 25 25 25 2 12 25 25 25 25 25 30 25 25 25 25 2 25 27 25 2 25 25 25 25 25 25 7 27 26 26 16 25 27 25 26 25 25 16 25 25 16 25 2 25 25 25 27 16 34 26 12 39 2 2 2 5 2 2 6 4 2 4 2 39 6 5 39 2 2 39 2 2 2 2 2 39 39 2 8 2 2 7 2 2 6 9 39 6 2 6 2 37 39 2 2 2 2 39 2 5 6 2 2 2 9 2 2 2 2 2 2 7 2 6 39 28 2 2 8 6 2 4 9 39 39 6 2 2 2 2 2 2 2 39 2 2 2 2 2 2 39 4 5 4 2 2 2 2 2 2 2 2 5 7 8 7 7 7 7 31 7 4 5 2 30 7 37 7 7 2 7 5 7 2 4 29 6 37 2 37 37 6 12 7 6 31 30 12 33 37 7 4 7 8 8 2 7 2 6 2 37 7 7 7 2 2 31 7 5 5 7 37 12 2 8 4 7 8 7 37 7 12 7 31 30 7 7 2 7 7 12 31 37 28 29 37 7 6 37 12 12 8 2 7 8 7 29 12 7 12 4 39 4 39 2 8 2 19 39 2 2 39 39 37 39 39 39 39 8 39 2 6 39 2 39 2 37 39 8 38 7 2 2 4 2 6 39 2 7 2 39 0 39 39 37 31 2 2 2 39 2 2 39 7 0 39 39 2 39 2 39 39 2 7 2 8 2 2 2 2 39 2 2 2 2 39 39 2 39 2 39 8 39 2 2 2 2 39 39 39 39 39 39 39 2 39 2 2 39 39 39 12 0 0 20 3 20 6 0 3 19 3 3 4 0 6 12 3 37 3 12 20 0 19 37 3 12 6 12 12 2 25 3 6 12 3 3 2 2 41 3 20 12 3 12 12 5 19 2 20 19 2 0 2 12 12 3 12 0 20 20 3 25 5 26 3 3 0 19 0 37 12 0 4 5 12 37 12 20 19 0 20 25 12 19 20 3 0 20 2 37 12 12 3 12 12 0 19 0 2 0"
10,-0.6477,0.8462,"2 7 12 8 26 27 12 12 26 7 25 27 12 12 25 25 25 12 28 2 8 25 12 7 25 2 12 2 16 25 12 2 2 25 25 26 25 25 12 16 25 16 27 28 26 12 16 16 26 8 25 25 2 12 25 26 7 25 12 30 7 25 7 16 2 25 25 25 2 25 25 16 25 25 25 7 27 12 2 16 25 26 25 12 16 26 16 16 25 16 25 2 7 2 25 25 16 34 12 12 2 4 4 41 2 5 5 4 2 2 2 2 2 2 2 37 6 2 2 6 2 37 5 37 2 2 2 4 4 2 6 2 2 2 2 37 6 2 12 2 2 2 2 2 37 2 31 2 6 2 2 2 2 2 6 6 2 2 2 2 2 21 2 12 2 2 5 37 2 12 5 21 2 2 2 2 2 2 2 4 2 5 2 2 6 37 37 37 2 5 2 2 2 2 12 2 2 4 2 2 8 5 7 8 7 7 8 7 8 7 2 2 2 8 7 8 2 2 2 2 7 8 2 4 29 7 8 2 7 2 6 7 2 6 2 2 2 33 2 2 7 7 8 7 2 7 7 6 2 2 7 2 7 2 7 2 7 2 8 8 7 12 2 8 4 2 8 8 2 2 8 7 8 30 2 7 2 2 7 2 31 37 28 2 37 7 6 37 7 8 2 8 7 8 2 29 2 8 12 7 16 16 0 39 16 9 25 25 16 25 12 26 9 13 12 16 27 25 26 26 16 13 16 25 9 25 16 25 25 27 27 12 16 27 12 16 25 3 12 25 27 39 42 26 25 39 27 39 39 27 16 25 25 16 12 9 39 27 12 39 27 16 39 39 12 26 25 39 25 9 12 16 0 16 25 9 39 9 12 25 42 41 25 25 16 25 12 25 12 25 25 16 9 26 39 16 12 25 0 25 12 21 12 1 36 12 12 21 36 36 3 12 12 0 36 0 3 12 13 21 12 12 0 21 12 21 34 12 3 21 1 36 12 0 21 22 12 12 35 12 12 12 38 12 38 12 3 0 34 38 34 12 21 0 12 34 12 38 12 38 12 12 21 34 12 12 12 34 3 21 12 3 21 36 35 21 36 12 21 13 0 12 38 12 21 36 21 22 22 12 35 3 34 2 34 21 34 12 36 12"
