rank,fitness,winrate,genome
1,-0.8409,1.0000,"11 2 31 42 2 2 2 2 2 2 9 31 11 2 38 2 2 2 2 9 2 2 2 2 10 2 2 2 7 10 2 11 2 2 9 2 2 10 2 41 2 2 37 2 2 41 2 6 2 10 8 2 37 2 7 37 2 2 5 2 1 2 2 8 2 2 2 10 2 2 2 2 2 4 2 2 2 2 2 10 2 6 2 2 10 10 9 2 10 2 7 9 2 2 2 2 0 10 2 11 25 9 42 25 25 26 39 27 27 25 25 25 25 26 17 25 9 39 25 16 9 39 17 39 12 12 9 25 39 9 9 25 39 25 25 25 9 25 9 25 25 25 39 26 38 17 27 25 39 25 39 39 16 18 25 9 25 9 9 9 27 27 25 9 39 25 39 26 39 12 25 25 26 25 25 25 9 39 25 25 25 25 17 17 25 25 25 27 25 25 12 10 27 12 25 9 12 25 27 9 2 5 2 37 37 4 4 2 5 37 6 4 2 2 2 37 2 2 2 2 10 2 37 39 2 4 2 4 2 2 2 2 2 2 2 2 10 11 2 2 2 37 2 6 37 2 6 5 10 2 5 2 6 37 5 4 2 2 10 37 2 2 4 2 4 2 9 2 2 2 6 37 2 2 11 37 37 2 10 11 6 37 6 2 37 5 37 5 2 4 11 2 4 4 2 2 2 37 10 11 35 34 34 21 37 6 12 5 12 34 6 12 34 2 12 34 5 12 4 6 5 34 5 35 36 12 12 36 21 36 5 36 34 35 34 6 12 2 0 34 6 17 12 12 34 34 34 34 6 34 23 34 34 24 2 4 2 37 24 34 35 37 34 34 2 12 34 34 35 34 2 35 2 5 35 2 6 34 2 23 6 1 34 34 6 34 2 4 35 34 3 34 34 35 34 35 34 12 13 2 39 39 6 6 39 39 2 34 34 39 39 5 36 35 2 34 2 37 2 4 34 39 2 2 34 39 36 4 37 34 37 39 39 34 40 39 39 2 5 39 34 34 39 5 34 2 39 39 6 4 37 4 39 34 2 2 42 40 2 4 39 39 39 39 34 2 34 39 39 39 40 39 35 4 4 34 40 34 39 5 6 26 4 39 6 40 34 8 39 4 2 6 6 40 34 39 36 6 5 35"
2,-0.8206,1.0000,"7 7 39 7 39 39 39 39 39 39 7 1 7 39 39 39 7 39 7 7 7 39 39 7 39 8 39 8 39 3 7 7 7 39 3 39 39 8 39 39 7 7 7 7 38 13 7 7 8 7 8 7 31 7 7 39 39 39 8 39 7 39 38 3 7 7 8 7 39 39 7 39 13 7 7 0 13 39 7 38 7 7 7 39 7 7 7 7 39 7 39 39 8 7 7 8 39 39 39 7 42 12 42 8 42 0 42 42 3 42 2 16 42 12 42 42 16 7 2 16 3 7 16 42 42 16 16 0 12 0 12 16 16 42 7 16 8 7 16 16 42 42 2 16 7 2 2 42 42 0 2 12 12 16 12 42 42 3 42 0 42 0 8 42 7 3 8 42 7 42 12 7 2 8 7 41 12 42 12 42 12 3 42 1 0 42 42 42 0 16 42 12 0 3 8 0 16 0 42 7 12 2 31 9 12 9 2 2 12 12 32 33 10 2 11 11 11 22 9 33 31 31 12 21 2 31 2 2 12 10 12 2 9 2 2 12 12 32 2 2 9 12 2 11 2 2 12 2 2 12 2 9 32 31 2 12 12 2 2 12 2 9 12 2 33 9 31 2 12 0 12 31 32 2 10 12 12 32 31 11 31 31 11 2 32 2 2 2 2 2 2 11 2 2 11 2 31 9 32 2 16 16 26 42 16 25 25 25 16 25 12 12 42 42 12 16 27 25 26 26 16 42 16 25 27 25 16 25 25 27 27 12 16 27 12 16 25 16 12 25 27 25 26 26 25 25 27 12 42 27 16 25 25 16 12 12 42 27 12 12 27 16 42 42 12 26 25 25 25 12 12 16 12 16 25 12 42 42 12 25 25 42 25 25 25 25 12 25 12 25 16 16 25 26 12 16 12 25 21 25 4 7 6 7 2 2 2 9 8 8 10 7 2 9 7 7 7 7 7 11 7 7 9 7 11 9 8 9 7 9 8 10 9 2 7 7 7 9 2 7 2 7 9 8 7 7 8 8 9 7 7 7 2 7 10 2 12 7 9 9 7 6 7 7 7 5 7 8 7 9 7 7 9 7 9 9 7 7 8 7 7 11 7 9 7 7 7 7 7 7 7 7 9 8 7 7 8 10 7 7"
3,-0.8170,1.0000,"7 7 39 7 39 39 39 39 39 39 7 1 7 39 39 39 7 39 7 7 7 39 39 7 39 8 39 8 39 3 7 7 7 39 3 39 39 8 39 39 7 7 7 7 38 13 7 7 8 7 8 7 31 7 7 39 39 39 8 39 7 39 38 3 7 7 8 7 39 39 7 39 13 7 7 0 13 39 7 38 7 7 7 39 7 7 7 7 39 7 39 39 8 7 7 8 39 39 39 7 42 12 42 8 42 0 42 42 3 42 2 16 42 12 42 42 16 7 2 16 3 7 16 42 42 16 16 0 12 0 12 16 16 42 7 16 8 7 16 16 42 42 2 16 7 2 2 42 42 0 2 12 12 16 12 42 42 3 42 0 42 0 8 42 7 3 8 42 7 42 12 7 2 8 7 41 12 42 12 42 12 3 42 1 0 42 42 42 0 16 42 12 0 3 8 0 16 0 42 7 12 2 31 9 12 9 2 2 12 12 32 33 10 2 11 11 11 22 9 33 31 31 12 21 2 31 2 2 12 10 12 2 9 2 2 12 12 32 2 2 9 12 2 11 2 2 12 2 2 12 2 9 32 31 2 12 12 2 2 12 2 9 12 2 33 9 31 2 12 0 12 31 32 2 10 12 12 32 31 11 31 31 11 2 32 2 2 2 2 2 2 11 2 2 11 2 31 9 32 2 16 16 26 42 16 25 25 25 16 25 12 12 42 42 12 16 27 25 26 26 16 42 16 25 27 25 16 25 25 27 27 12 16 27 12 16 25 16 12 25 27 25 26 26 25 25 27 12 42 27 16 25 25 16 12 12 42 27 12 12 27 16 42 42 12 26 25 25 25 12 12 16 12 16 25 12 42 42 12 25 25 42 25 25 25 25 12 25 12 25 16 16 25 26 12 16 12 25 21 25 4 7 6 7 2 2 2 9 8 8 10 7 2 9 7 7 7 7 7 11 7 7 9 7 11 9 8 9 7 9 8 10 9 2 7 7 7 9 2 7 2 7 9 8 7 7 8 8 9 7 7 7 2 7 10 2 12 7 9 9 7 6 7 7 7 5 7 8 7 9 7 7 9 7 9 9 7 7 8 7 7 11 7 9 7 7 7 7 7 7 7 7 9 8 7 7 8 10 7 7"
4,-0.8080,0.9583,"11 2 31 42 2 2 2 2 2 2 9 31 11 2 38 2 2 2 2 9 2 2 2 2 10 2 2 2 7 10 2 11 2 2 9 2 2 10 2 41 2 2 37 2 2 41 2 6 2 10 8 2 37 2 7 37 2 2 5 2 1 2 2 8 2 2 2 10 2 2 2 2 2 4 2 2 2 2 2 10 2 6 2 2 10 10 9 2 10 2 7 9 2 2 2 2 0 10 2 11 25 9 42 25 25 26 39 27 27 25 25 25 25 26 17 25 9 39 25 16 9 39 17 39 12 12 9 25 39 9 9 25 39 25 25 25 9 25 9 25 25 25 39 26 38 17 27 25 39 25 39 39 16 18 25 9 25 9 9 9 27 27 25 9 39 25 39 26 39 12 25 25 26 25 25 25 9 39 25 25 25 25 17 17 25 25 25 27 25 25 12 10 27 12 25 9 12 25 27 9 2 5 2 2 37 2 4 2 9 2 6 2 2 2 2 2 2 2 2 2 10 2 11 39 2 37 2 2 2 2 2 2 2 2 2 2 10 11 2 2 2 37 2 2 37 2 2 5 10 2 5 2 2 2 4 4 2 2 10 37 2 2 2 2 9 2 9 2 2 2 2 11 2 2 11 37 37 2 10 11 37 37 2 2 37 37 2 10 2 4 11 2 39 10 2 2 2 37 10 11 35 34 34 21 37 6 12 5 12 34 6 12 34 2 12 34 5 12 4 6 5 34 5 35 36 12 12 36 21 36 5 36 34 35 34 6 12 2 0 34 6 17 12 12 34 34 34 34 6 34 23 34 34 24 2 4 2 37 24 34 35 37 34 34 2 12 34 34 35 34 2 35 2 5 35 2 6 34 2 23 6 1 34 34 6 34 2 4 35 34 3 34 34 35 34 35 34 12 13 2 39 39 6 6 39 39 2 34 34 39 39 5 36 35 2 34 2 37 2 4 34 39 2 2 34 39 36 4 37 34 37 39 39 34 40 39 39 2 5 39 34 34 39 5 34 2 39 39 6 4 37 4 39 34 2 2 42 40 2 4 39 39 39 39 34 2 34 39 39 39 40 39 35 4 4 34 40 34 39 5 6 26 4 39 6 40 34 8 39 4 2 6 6 40 34 39 36 6 5 35"
5,-0.7816,0.9565,"25 0 26 12 25 40 12 27 40 40 25 25 40 27 12 26 23 25 40 25 25 27 23 25 25 0 25 25 26 25 27 16 25 26 40 12 40 25 38 25 12 25 24 40 25 25 25 27 12 23 40 25 40 25 40 27 25 16 40 26 16 25 16 25 25 25 23 0 16 40 25 25 16 25 25 25 27 25 25 25 25 27 40 25 16 26 25 25 25 23 25 16 27 23 26 25 40 23 25 25 27 39 39 39 39 12 26 25 39 25 25 25 39 27 39 39 25 39 39 39 39 26 16 27 25 26 39 26 39 39 25 0 25 39 39 26 25 39 39 27 0 27 39 25 25 39 25 39 25 25 26 25 39 25 25 39 1 39 27 25 16 27 25 39 39 39 27 39 25 25 26 25 39 9 26 39 39 39 38 12 25 25 25 39 25 26 39 25 25 39 39 27 25 39 29 25 25 39 26 11 41 35 21 21 21 21 13 21 21 21 36 21 21 21 21 41 21 21 9 38 22 41 34 22 21 22 41 22 39 22 22 34 1 21 38 22 21 35 22 41 22 22 35 21 21 9 21 13 21 41 22 0 39 21 21 41 21 35 21 21 38 34 21 34 34 34 21 36 21 21 9 21 41 35 21 21 21 21 36 27 34 21 21 21 41 38 13 0 34 21 25 21 21 21 41 21 21 39 34 34 7 39 40 7 7 8 40 8 7 7 7 7 7 7 7 39 8 8 7 7 39 40 40 40 7 7 7 8 40 7 7 7 8 7 7 7 7 7 8 7 40 39 34 8 7 34 8 7 40 40 7 7 9 39 7 7 7 7 40 40 40 8 7 7 40 39 40 7 7 8 7 40 34 39 7 39 7 7 7 7 7 40 40 39 7 8 7 40 7 40 7 7 40 9 7 39 7 8 40 40 35 39 39 3 0 34 39 39 39 34 35 34 39 0 3 26 3 0 34 36 39 39 39 36 0 39 39 39 34 39 39 39 0 34 39 0 39 39 25 34 34 39 34 34 34 34 39 34 0 39 36 39 39 34 39 39 0 39 34 39 39 34 34 34 34 0 39 0 34 39 12 39 39 34 34 39 35 35 12 40 34 0 40 3 0 39 2 39 12 34 39 39 34 39 39 0 34 39 39 39"
6,-0.7278,0.8800,"2 31 42 41 4 6 41 0 3 9 31 33 1 2 42 0 31 31 41 42 5 41 4 31 6 31 31 42 42 42 2 42 42 6 31 5 3 41 31 41 2 17 17 41 5 42 42 42 42 3 42 2 42 42 5 42 31 5 42 42 18 42 42 31 42 42 4 37 42 42 42 42 17 31 4 42 9 14 42 31 38 42 1 42 37 31 37 10 42 42 41 42 3 2 3 42 31 10 0 3 27 25 39 27 27 12 26 25 39 25 25 25 27 27 16 25 25 12 27 25 13 26 16 27 25 26 27 26 11 39 25 0 25 39 25 26 25 25 25 27 0 27 25 25 25 25 25 26 25 25 26 25 25 25 25 39 1 25 27 25 16 27 25 25 3 25 27 39 25 25 26 25 25 9 26 25 26 25 38 12 25 25 25 25 25 26 25 25 25 26 27 27 25 25 29 25 25 25 26 11 4 5 6 39 41 23 23 6 1 23 23 23 2 23 23 24 23 40 6 24 23 23 23 39 1 23 23 23 39 23 24 23 1 23 23 23 9 5 24 23 37 23 24 41 2 23 23 4 37 23 39 23 39 23 2 23 23 39 41 3 23 24 23 40 5 41 13 24 24 38 9 25 23 24 25 23 2 24 2 27 1 5 41 23 41 24 23 4 23 41 25 23 39 24 23 23 23 39 23 4 25 0 25 13 31 2 31 31 5 2 38 2 31 13 2 26 6 3 38 6 37 31 20 1 37 38 37 3 3 31 13 5 4 38 31 1 25 37 13 32 2 6 3 3 0 3 4 4 31 13 37 3 13 31 4 26 6 16 13 31 0 2 37 25 3 4 5 31 38 25 1 38 31 38 4 37 1 31 25 5 13 3 6 13 3 0 31 19 38 38 31 33 5 32 0 37 31 0 31 13 2 2 2 31 2 31 31 31 2 0 31 31 2 2 31 2 32 2 31 25 2 2 25 32 2 2 31 31 8 25 31 2 8 31 2 2 2 2 25 2 31 2 8 8 25 2 31 2 2 2 8 31 0 2 7 3 31 2 25 25 0 2 26 2 25 7 31 33 2 2 2 31 7 26 31 7 31 31 2 31 8 7 2 2 31 2 31 2 8 2 25 31 31 31 31 2 2 2 7 25"
7,-0.7102,0.8462,"11 2 31 42 2 2 2 2 2 2 9 31 11 2 38 2 2 2 2 9 2 2 2 2 10 2 2 2 7 10 2 11 2 2 9 2 2 10 2 41 2 2 37 2 2 41 2 6 2 10 8 2 37 2 7 37 2 2 5 2 1 2 2 8 2 2 2 10 2 2 2 2 2 4 2 2 2 2 2 10 2 6 2 2 10 10 9 2 10 2 7 9 2 2 2 2 0 10 2 11 25 9 42 25 25 26 39 27 27 25 25 25 25 26 17 25 9 39 25 16 9 39 17 39 12 12 9 25 39 9 9 25 39 25 25 25 9 25 9 25 25 25 39 26 38 17 27 25 39 25 39 39 16 18 25 9 25 9 9 9 27 27 25 9 39 25 39 26 39 12 25 25 26 25 25 25 9 39 25 25 25 25 17 17 25 25 25 27 25 25 12 10 27 12 25 9 12 25 27 9 2 5 2 2 37 2 4 2 9 2 6 2 2 2 2 2 2 2 2 2 10 2 11 39 2 37 2 2 2 2 2 2 2 2 2 2 10 11 2 2 2 37 2 2 37 2 2 5 10 2 5 2 2 2 4 4 2 2 10 37 2 2 2 2 9 2 9 2 2 2 2 11 2 2 11 37 37 2 10 11 37 37 2 2 37 37 2 10 2 4 11 2 39 10 2 2 2 37 10 11 35 34 34 21 37 6 12 5 12 34 6 12 34 2 12 34 5 12 4 6 5 34 5 35 36 12 12 36 21 36 5 36 34 35 34 6 12 2 0 34 6 17 12 12 34 34 34 34 6 34 23 34 34 24 2 4 2 37 24 34 35 37 34 34 2 12 34 34 35 34 2 35 2 5 35 2 6 34 2 23 6 1 34 34 6 34 2 4 35 34 3 34 34 35 34 35 34 12 13 2 39 39 6 6 39 39 2 34 34 39 39 5 36 35 2 34 2 37 2 4 34 39 2 2 34 39 36 4 37 34 37 39 39 34 40 39 39 2 5 39 34 34 39 5 34 2 39 39 6 4 37 4 39 34 2 2 42 40 2 4 39 39 39 39 34 2 34 39 39 39 40 39 35 4 4 34 40 34 39 5 6 26 4 39 6 40 34 8 39 4 2 6 6 40 34 39 36 6 5 35"
8,-0.7100,0.8750,"25 30 30 29 28 28 29 28 28 28 28 25 28 30 30 30 23 28 30 28 25 28 29 28 30 29 25 25 28 28 27 16 29 26 28 12 40 25 28 25 12 28 28 40 28 28 28 30 12 23 40 25 28 28 40 30 25 16 28 30 29 25 16 28 25 28 23 30 28 40 25 25 28 28 28 29 29 25 25 25 28 27 40 25 28 26 29 28 28 28 25 28 27 28 28 30 30 23 28 25 27 39 39 39 39 12 26 25 39 25 25 25 39 27 39 39 25 39 39 39 39 26 16 27 25 26 39 26 39 39 25 0 25 39 39 26 25 39 39 27 0 27 39 25 25 39 25 39 25 25 26 25 39 25 25 39 1 39 27 25 16 27 25 39 39 39 27 39 25 25 26 25 39 9 26 39 39 39 38 12 25 25 25 39 25 26 39 25 25 39 39 27 25 39 29 25 25 39 26 11 41 35 21 21 21 22 13 21 21 21 21 21 21 21 21 41 22 21 21 38 21 21 21 21 21 21 41 22 21 22 22 34 1 21 38 22 21 21 22 22 22 22 35 21 21 22 21 13 21 21 21 0 39 21 21 22 21 21 21 21 38 21 21 21 34 21 21 36 21 21 22 21 21 21 21 21 21 21 36 22 21 21 21 21 41 21 13 21 21 21 25 21 21 21 21 21 22 39 21 34 7 39 40 7 7 8 40 8 7 7 7 7 7 7 7 39 8 8 7 7 39 40 40 40 7 7 7 8 40 7 7 7 8 7 7 7 7 7 8 7 40 39 34 8 7 34 8 7 40 40 7 7 9 39 7 7 7 7 40 40 40 8 7 7 40 39 40 7 7 8 7 40 34 39 7 39 7 7 7 7 7 40 40 39 7 8 7 40 7 40 7 7 40 9 7 39 7 8 40 40 35 39 39 3 0 34 39 39 39 34 35 34 39 0 3 26 3 0 34 36 39 39 39 36 0 39 39 39 34 39 39 39 0 34 39 0 39 39 25 34 34 39 34 34 34 34 39 34 0 39 36 39 39 34 39 39 0 39 34 39 39 34 34 34 34 0 39 0 34 39 12 39 39 34 34 39 35 35 12 40 34 0 40 3 0 39 2 39 12 34 39 39 34 39 39 0 34 39 39 39"
9,-0.6999,0.8846,"37 2 8 2 2 2 2 7 7 2 31 8 0 7 2 7 7 3 7 7 8 6 8 5 2 7 37 2 4 2 2 7 2 2 3 7 2 3 2 7 7 42 5 2 38 2 1 31 7 7 2 8 2 2 2 8 6 39 7 7 2 2 8 3 7 7 7 4 37 13 2 7 5 7 2 2 2 1 7 2 2 7 8 2 8 8 7 7 37 5 2 6 38 2 7 7 2 8 7 8 25 9 42 25 25 26 39 27 27 25 25 25 25 26 17 25 9 39 25 16 9 39 17 39 12 12 9 25 39 9 9 25 39 25 25 25 9 25 9 25 25 25 39 26 38 17 27 25 39 25 39 39 16 18 25 9 25 9 9 9 27 27 25 9 39 25 39 26 39 12 25 25 26 25 25 25 9 39 25 25 25 25 17 17 25 25 25 27 25 25 12 10 27 12 25 9 12 25 27 9 2 5 2 2 37 2 4 2 9 2 6 2 2 2 2 2 2 2 2 2 10 2 11 39 2 37 2 2 2 2 2 2 2 2 2 2 10 11 2 2 2 37 2 2 37 2 2 5 10 2 5 2 2 2 4 4 2 2 10 37 2 2 2 2 9 2 9 2 2 2 2 11 2 2 11 37 37 2 10 11 37 37 2 2 37 37 2 10 2 4 11 2 39 10 2 2 2 37 10 11 8 16 8 7 8 7 7 8 7 7 7 7 7 42 12 7 7 7 8 26 7 7 8 7 7 7 8 25 25 8 7 7 8 7 7 7 8 7 7 25 7 7 8 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 42 7 7 7 7 7 7 7 8 7 8 7 8 7 7 7 7 25 8 8 7 8 7 7 7 7 25 8 7 7 7 7 7 7 7 7 8 42 7 3 3 0 2 2 9 3 8 13 42 0 12 3 16 13 3 38 0 0 38 1 42 42 9 1 16 0 0 42 13 42 2 42 3 38 42 16 42 2 42 9 16 7 3 8 8 42 7 16 1 2 42 1 42 0 16 16 42 7 6 16 16 13 38 42 0 13 9 16 1 12 12 9 1 16 12 16 42 16 12 42 42 16 7 7 38 3 13 38 7 12 16 1 7 8 10 38 7"
10,-0.6770,0.8095,"34 36 12 12 25 35 12 34 12 12 25 25 35 27 12 12 12 12 12 12 12 27 35 35 36 36 25 25 35 25 27 35 34 12 12 12 12 12 38 34 34 36 12 40 34 12 36 27 34 23 40 35 36 36 12 34 25 34 12 12 16 25 34 36 25 12 23 0 16 40 25 25 16 12 35 25 27 25 25 25 25 27 40 25 16 26 12 12 36 34 25 16 36 23 26 34 35 23 12 25 27 39 39 39 39 12 26 25 39 25 25 25 39 27 39 39 25 39 39 39 39 26 16 27 25 26 39 26 39 39 25 0 25 39 39 26 25 39 39 27 0 27 39 25 25 39 25 39 25 25 26 25 39 25 25 39 1 39 27 25 16 27 25 39 39 39 27 39 25 25 26 25 39 9 26 39 39 39 38 12 25 25 25 39 25 26 39 25 25 39 39 27 25 39 29 25 25 39 26 11 41 35 21 21 21 21 13 21 21 21 36 21 21 21 21 41 21 21 9 38 22 41 34 22 21 22 41 22 39 22 22 34 1 21 38 22 21 35 22 41 22 22 35 21 21 9 21 13 21 41 22 0 39 21 21 41 21 35 21 21 38 34 21 34 34 34 21 36 21 21 9 21 41 35 21 21 21 21 36 27 34 21 21 21 41 38 13 0 34 21 25 21 21 21 41 21 21 39 34 34 21 39 40 21 22 22 40 8 21 21 21 21 21 22 21 21 21 21 7 21 21 21 21 21 22 7 21 21 21 21 22 22 21 21 7 21 21 21 21 21 22 21 21 21 21 21 21 21 40 40 21 7 9 21 22 21 21 7 21 22 22 21 21 22 40 21 21 21 21 21 21 40 21 21 21 21 7 7 21 22 21 21 40 39 21 21 21 40 21 21 7 21 40 21 21 39 21 22 21 21 35 24 39 3 0 34 39 24 39 23 24 34 39 0 23 24 24 0 23 23 23 39 39 24 0 23 39 39 34 39 23 39 0 24 39 23 23 23 25 23 34 23 34 34 34 23 23 34 23 39 36 39 23 23 39 23 23 24 34 39 39 34 34 34 34 23 23 0 34 39 23 39 23 34 34 24 23 35 23 23 42 0 40 3 0 39 23 23 23 23 23 39 34 39 23 0 23 23 39 24"
