rank,fitness,winrate,genome
1,-0.7962,1.0000,"2 2 2 2 2 10 2 2 2 7 2 42 10 37 2 9 2 42 2 9 2 9 2 42 2 2 2 2 8 2 4 2 42 2 2 9 10 2 2 7 2 42 11 10 42 2 42 42 11 38 2 2 2 42 2 2 9 41 37 9 2 2 10 5 11 11 1 4 11 2 2 37 10 2 2 10 2 9 7 2 9 41 37 2 41 10 11 2 2 7 10 42 2 2 2 11 21 4 2 42 23 26 25 25 25 25 25 27 39 27 2 38 39 39 26 26 23 27 23 39 27 25 39 25 25 39 25 25 25 25 39 25 25 25 25 25 39 39 4 39 25 25 25 25 27 37 25 25 26 23 25 37 25 27 39 25 6 25 39 25 25 16 39 25 39 39 25 25 24 37 25 25 25 39 39 39 24 23 26 23 26 16 39 6 25 23 27 16 25 25 5 25 16 25 24 25 25 39 28 25 40 7 7 39 7 29 7 39 7 39 7 28 39 7 39 8 39 8 8 7 7 7 39 8 40 7 40 39 7 8 8 7 7 22 7 7 40 8 8 8 40 7 7 8 7 39 39 7 8 7 7 7 39 7 30 7 7 7 40 40 8 7 7 7 39 7 39 39 8 7 8 7 42 7 39 39 12 4 7 39 40 7 7 39 7 39 8 39 39 22 39 12 7 40 8 8 39 39 7 7 16 41 12 25 12 16 25 25 16 25 16 12 13 12 27 16 12 12 25 25 27 25 25 25 25 0 13 25 27 26 25 25 38 25 16 41 25 3 13 25 13 25 26 12 25 25 27 25 25 0 25 41 27 25 25 16 25 25 3 27 34 3 16 25 26 13 25 26 25 25 41 16 13 42 1 41 35 27 0 27 25 27 12 25 25 25 16 0 25 0 27 25 41 25 16 16 26 27 38 25 2 22 39 7 7 22 8 28 2 2 2 7 2 2 12 12 2 12 2 2 22 7 2 12 2 2 2 2 12 12 7 12 2 21 12 22 8 2 2 28 2 2 2 2 8 2 21 2 2 2 7 2 30 38 12 2 2 8 2 22 2 21 12 2 12 8 2 7 8 2 21 21 2 2 30 12 2 7 2 8 7 2 8 2 2 8 21 12 2 28 22 21 7 2 7 12 7 2 12 12"
2,-0.7940,1.0000,"2 2 2 2 2 10 2 2 2 7 2 42 10 37 2 9 2 42 2 9 2 9 2 42 2 2 2 2 8 2 4 2 42 2 2 9 10 2 2 7 2 42 11 10 42 2 42 42 11 38 2 2 2 42 2 2 9 41 37 9 2 2 10 5 11 11 1 4 11 2 2 37 10 2 2 10 2 9 7 2 9 41 37 2 41 10 11 2 2 7 10 42 2 2 2 11 21 4 2 42 23 26 25 25 25 25 25 27 39 27 2 38 39 39 26 26 23 27 23 39 27 25 39 25 25 39 25 25 25 25 39 25 25 25 25 25 39 39 4 39 25 25 25 25 27 37 25 25 26 23 25 37 25 27 39 25 6 25 39 25 25 16 39 25 39 39 25 25 24 37 25 25 25 39 39 39 24 23 26 23 26 16 39 6 25 23 27 16 25 25 5 25 16 25 24 25 25 39 28 25 40 7 7 39 7 29 7 39 7 39 7 28 39 7 39 8 39 8 8 7 7 7 39 8 40 7 40 39 7 8 8 7 7 22 7 7 40 8 8 8 40 7 7 8 7 39 39 7 8 7 7 7 39 7 30 7 7 7 40 40 8 7 7 7 39 7 39 39 8 7 8 7 42 7 39 39 12 4 7 39 40 7 7 39 7 39 8 39 39 22 39 12 7 40 8 8 39 39 7 7 16 41 12 25 12 16 25 25 16 25 16 12 13 12 27 16 12 12 25 25 27 25 25 25 25 0 13 25 27 26 25 25 38 25 16 41 25 3 13 25 13 25 26 12 25 25 27 25 25 0 25 41 27 25 25 16 25 25 3 27 34 3 16 25 26 13 25 26 25 25 41 16 13 42 1 41 35 27 0 27 25 27 12 25 25 25 16 0 25 0 27 25 41 25 16 16 26 27 38 25 2 22 39 7 7 22 8 28 2 2 2 7 2 2 12 12 2 12 2 2 22 7 2 12 2 2 2 2 12 12 7 12 2 21 12 22 8 2 2 28 2 2 2 2 8 2 21 2 2 2 7 2 30 38 12 2 2 8 2 22 2 21 12 2 12 8 2 7 8 2 21 21 2 2 30 12 2 7 2 8 7 2 8 2 2 8 21 12 2 28 22 21 7 2 7 12 7 2 12 12"
3,-0.7836,0.9200,"7 2 25 42 42 25 42 25 25 26 7 42 27 25 26 25 27 25 17 7 25 26 42 39 42 26 26 25 25 25 7 7 25 17 27 42 42 26 42 25 26 26 27 2 2 25 25 16 26 8 7 16 25 12 42 25 25 7 17 25 25 27 17 26 25 27 25 12 27 26 16 25 27 25 17 26 25 25 25 27 27 17 25 16 25 25 25 42 25 26 27 25 25 26 7 26 17 26 42 25 39 14 39 38 39 39 39 39 39 9 39 39 39 19 0 39 1 9 39 9 9 39 39 39 39 39 39 20 39 39 39 9 19 11 34 39 39 10 39 39 1 0 38 39 39 19 10 19 39 39 1 11 39 39 3 12 39 9 34 39 39 1 19 39 39 39 39 39 19 38 9 39 39 3 39 39 39 19 39 39 19 39 39 39 19 19 9 39 9 9 11 9 39 39 39 39 39 9 39 11 23 23 23 41 23 23 24 23 36 13 34 25 26 41 23 12 12 26 24 24 24 23 27 24 24 27 12 23 34 24 23 26 23 23 23 26 12 23 12 24 23 42 23 12 24 23 27 23 23 23 25 23 12 25 23 23 12 26 27 23 27 41 23 25 25 23 23 23 26 23 12 23 23 12 12 23 41 23 23 26 26 23 23 23 12 23 24 26 24 23 23 23 9 38 24 24 25 34 26 23 39 39 39 23 24 23 19 23 19 23 23 23 23 23 24 20 23 2 39 39 12 23 23 23 23 23 23 39 23 39 23 23 39 24 23 23 23 23 24 23 23 6 23 39 24 24 23 20 5 2 39 4 23 23 23 10 4 24 23 39 5 23 23 24 24 39 23 2 23 39 39 19 23 19 39 23 24 39 19 23 39 23 5 23 23 6 12 23 24 6 23 39 39 23 24 5 23 23 5 23 19 41 0 24 20 41 41 38 20 12 41 12 41 41 15 23 12 3 38 41 3 24 1 9 41 41 12 38 12 23 41 41 12 41 19 41 41 41 41 12 20 41 41 19 12 41 0 12 24 38 41 1 23 13 3 23 41 23 24 19 19 41 38 13 12 24 41 6 41 2 41 3 41 12 13 12 19 23 41 41 12 41 0 12 0 41 3 0 20 41 41 24 1 12 1 38 41 12 41 12"
4,-0.7778,1.0000,"35 34 34 11 0 2 13 34 34 12 0 38 29 38 1 34 11 3 34 12 35 35 34 3 1 0 3 38 34 1 2 34 29 34 38 34 0 38 36 35 11 12 34 11 13 38 34 38 30 30 28 1 38 34 34 2 13 34 12 13 34 0 34 12 13 34 13 34 36 3 2 3 13 1 1 34 1 3 3 34 12 34 0 11 1 36 38 0 34 35 3 34 3 13 3 38 34 34 38 38 25 25 25 27 25 25 25 25 25 26 26 26 26 25 25 27 26 25 25 25 25 25 25 25 25 39 25 25 25 27 25 25 25 25 25 25 39 25 25 26 27 27 26 26 27 25 25 25 27 26 26 25 25 25 25 25 25 25 25 25 25 25 27 25 25 39 26 27 27 25 26 25 27 25 26 25 25 25 27 25 26 26 25 26 25 25 25 25 25 25 27 25 16 25 24 25 25 25 28 25 6 2 5 17 2 2 38 17 2 2 17 17 13 37 18 34 17 2 18 34 2 37 17 17 34 17 2 18 2 38 2 2 2 2 17 2 36 2 40 3 2 38 12 17 38 6 34 13 2 3 19 34 0 17 0 2 37 4 17 2 17 40 6 15 2 2 6 2 2 18 2 2 2 2 0 2 2 37 2 2 2 2 34 2 2 17 3 4 2 5 37 17 5 4 34 2 17 2 2 6 7 34 2 34 35 2 2 8 34 7 2 34 36 2 8 34 2 2 2 34 34 19 7 2 2 2 2 34 2 34 36 2 2 2 34 9 8 34 36 34 7 34 34 2 2 2 2 36 2 2 2 2 35 7 7 2 34 34 7 35 2 8 36 7 7 2 2 2 2 2 35 34 2 2 34 36 8 7 7 8 9 7 36 2 35 9 2 34 35 7 2 34 2 34 2 2 2 7 34 8 39 39 39 35 34 34 39 34 34 34 34 36 34 39 36 34 39 39 35 39 9 39 39 12 39 39 9 39 39 39 39 36 35 39 34 34 39 39 12 39 39 34 39 34 39 9 34 39 39 39 39 9 34 19 34 39 9 35 9 39 9 36 34 39 35 36 35 39 39 39 19 34 39 39 34 39 34 34 34 39 39 39 39 34 39 34 39 34 39 12 35 34 34 39 39 39 39 9 34 39"
5,-0.7629,0.9600,"35 34 34 11 28 2 2 34 34 12 35 36 29 35 30 34 11 34 34 12 35 35 34 34 12 34 34 2 34 28 2 34 29 34 36 34 12 35 36 35 11 12 34 11 34 34 34 10 30 30 28 2 36 34 34 2 39 34 12 34 34 2 34 12 34 34 34 34 36 34 2 39 30 12 12 34 29 34 34 34 12 34 34 11 35 36 34 9 34 35 35 34 34 9 34 2 34 34 12 34 25 25 25 27 27 25 25 25 39 26 25 26 25 27 25 25 23 25 23 25 25 25 39 25 25 39 25 25 25 27 25 25 25 25 25 25 39 25 25 26 25 25 25 25 27 37 25 25 27 25 26 25 25 27 25 25 25 25 25 25 25 25 25 26 25 39 26 25 24 37 26 25 25 39 26 25 25 23 25 23 26 16 25 26 27 23 25 25 25 25 5 25 16 25 24 25 25 39 28 27 2 2 9 10 11 2 2 2 2 10 11 11 13 11 2 2 10 10 9 34 2 2 9 2 11 2 9 18 9 11 11 9 2 9 17 2 11 2 9 2 11 2 12 2 9 6 2 13 2 11 11 11 2 9 9 9 37 11 17 2 2 9 9 15 2 11 10 2 11 2 2 2 2 2 9 10 10 37 9 2 10 9 9 11 2 11 3 2 9 9 9 17 2 4 9 2 2 11 2 10 34 34 42 35 34 37 42 2 34 42 34 34 42 34 34 34 10 34 34 36 34 34 42 34 42 42 42 34 34 4 42 34 36 34 4 34 42 35 34 35 42 35 34 34 6 35 36 9 34 34 35 34 34 35 42 36 34 34 42 34 34 34 34 9 34 37 34 34 36 34 35 35 42 34 36 9 42 37 34 34 36 11 34 34 34 34 34 34 34 42 34 34 37 34 42 34 10 2 35 34 2 6 39 35 2 34 5 34 34 37 34 2 6 2 5 34 39 39 37 37 9 39 4 12 6 4 5 39 2 5 2 36 35 4 34 4 5 39 12 39 4 5 2 6 39 37 5 6 39 39 39 9 4 6 6 39 2 4 4 37 9 36 34 39 35 36 35 39 39 37 4 2 4 4 37 39 34 34 4 39 39 39 2 34 39 4 37 34 2 12 35 5 34 6 39 5 6 9 34 6"
6,-0.7581,0.9565,"35 34 34 11 28 2 2 34 34 12 35 36 29 35 30 34 11 34 34 12 35 35 34 34 12 34 34 2 34 28 2 34 29 34 36 34 12 35 36 35 11 12 34 11 34 34 34 10 30 30 28 2 36 34 34 2 39 34 12 34 34 2 34 12 34 34 34 34 36 34 2 39 30 12 12 34 29 34 34 34 12 34 34 11 35 36 34 9 34 35 35 34 34 9 34 2 34 34 12 34 25 25 25 27 27 25 25 25 39 26 25 26 25 27 25 25 23 25 23 25 25 25 39 25 25 39 25 25 25 27 25 25 25 25 25 25 39 25 25 26 25 25 25 25 27 37 25 25 27 25 26 25 25 27 25 25 25 25 25 25 25 25 25 26 25 39 26 25 24 37 26 25 25 39 26 25 25 23 25 23 26 16 25 26 27 23 25 25 25 25 5 25 16 25 24 25 25 39 28 27 2 2 9 10 11 2 2 2 2 10 11 11 13 11 2 2 10 10 9 34 2 2 9 2 11 2 9 18 9 11 11 9 2 9 17 2 11 2 9 2 11 2 12 2 9 6 2 13 2 11 11 11 2 9 9 9 37 11 17 2 2 9 9 15 2 11 10 2 11 2 2 2 2 2 9 10 10 37 9 2 10 9 9 11 2 11 3 2 9 9 9 17 2 4 9 2 2 11 2 10 35 34 34 34 34 2 34 2 34 10 34 34 4 34 34 34 10 34 35 34 34 19 34 34 35 9 2 34 34 35 34 34 2 35 35 9 34 34 36 34 35 2 34 34 34 34 2 9 34 34 34 2 9 34 9 34 19 6 34 35 9 34 2 9 34 34 34 34 34 34 35 34 35 34 34 9 34 9 34 9 9 11 36 35 34 9 34 34 35 9 19 34 9 35 36 36 10 34 35 34 2 6 39 35 2 34 5 34 34 37 34 2 6 2 5 34 39 39 37 37 9 39 4 12 6 4 5 39 2 5 2 36 35 4 34 4 5 39 12 39 4 5 2 6 39 37 5 6 39 39 39 9 4 6 6 39 2 4 4 37 9 36 34 39 35 36 35 39 39 37 4 2 4 4 37 39 34 34 4 39 39 39 2 34 39 4 37 34 2 12 35 5 34 6 39 5 6 9 34 6"
7,-0.7571,0.9091,"2 2 2 2 2 8 8 2 8 8 2 2 7 2 2 9 2 7 2 8 7 2 2 8 2 2 7 2 8 2 7 8 8 2 2 9 2 2 2 7 2 8 11 10 7 2 8 2 2 8 2 8 2 8 2 2 2 8 2 2 2 2 10 8 2 11 1 8 2 2 2 2 10 2 2 2 2 9 2 2 2 41 2 7 2 10 11 2 2 7 2 7 2 8 2 11 2 4 2 7 8 8 2 7 2 2 2 3 2 8 2 2 3 2 2 2 2 8 2 2 8 2 2 2 2 7 8 2 7 7 8 2 2 2 7 2 7 2 2 2 2 2 0 8 0 2 10 8 8 7 2 2 8 2 2 2 0 2 7 2 8 8 2 7 8 2 7 2 2 2 7 2 2 2 2 0 2 3 2 2 2 39 2 2 7 7 8 7 2 7 2 2 2 2 7 2 8 2 8 2 25 42 25 12 27 25 25 25 25 27 42 42 31 25 5 42 25 7 25 2 25 7 2 25 26 25 27 42 2 23 25 25 42 25 42 6 37 25 42 25 4 26 7 27 2 25 27 2 2 5 42 25 42 2 42 25 25 25 6 25 27 8 2 25 42 25 25 5 25 2 25 27 42 25 25 25 25 4 25 12 25 25 25 27 25 25 25 25 25 25 25 25 5 42 42 25 6 25 27 31 7 3 13 1 38 8 12 5 0 16 2 25 2 16 12 8 2 2 2 2 2 3 7 2 2 8 2 2 2 2 1 2 16 12 2 2 5 5 2 2 5 2 2 8 2 2 2 2 12 2 7 38 2 2 2 2 8 2 8 5 2 39 34 7 2 38 2 3 8 1 2 2 2 2 2 2 16 8 8 2 13 2 7 0 7 2 2 13 2 2 2 2 2 1 2 38 12 8 2 2 2 22 39 7 7 22 8 28 2 2 2 7 2 2 12 12 2 12 2 2 22 7 2 12 2 2 2 2 12 12 7 12 2 21 12 22 8 2 2 28 2 2 2 2 8 2 21 2 2 2 7 2 30 38 12 2 2 8 2 22 2 21 12 2 12 8 2 7 8 2 21 21 2 2 30 12 2 7 2 8 7 2 8 2 2 8 21 12 2 28 22 21 7 2 7 12 7 2 12 12"
8,-0.7429,0.9565,"35 39 39 11 28 2 2 39 34 39 39 39 29 39 30 39 11 34 34 12 39 39 34 34 12 34 34 39 34 28 2 34 39 34 39 34 39 35 39 35 11 12 34 11 39 34 34 10 30 30 39 2 36 39 34 39 39 34 12 39 34 39 34 39 34 39 34 34 39 34 39 39 39 12 39 39 29 39 34 34 12 39 34 11 39 36 39 9 34 35 39 34 34 9 34 2 34 39 39 34 23 26 25 25 25 25 25 27 39 27 2 38 39 39 26 26 23 27 23 39 27 25 39 25 25 39 25 25 25 25 39 25 25 25 25 25 39 39 4 39 25 25 25 25 27 37 25 25 26 23 25 37 25 27 39 25 6 25 39 25 25 16 39 25 39 39 25 25 24 37 25 25 25 39 39 39 24 23 26 23 26 16 39 6 25 23 27 16 25 25 5 25 16 25 24 25 25 39 28 25 6 2 5 17 2 2 38 17 2 2 17 17 13 37 18 34 17 2 18 34 2 37 17 17 34 17 2 18 2 38 2 2 2 2 17 2 36 2 40 3 2 38 12 17 38 6 34 13 2 3 19 34 0 17 0 2 37 4 17 2 17 40 6 15 2 2 6 2 2 18 2 2 2 2 0 2 2 37 2 2 2 2 34 2 2 17 3 4 2 5 37 17 5 4 34 2 17 2 2 6 16 41 12 25 12 16 25 25 16 25 16 12 13 12 27 16 12 12 25 25 27 25 25 25 25 0 13 25 27 26 25 25 38 25 16 41 25 3 13 25 13 25 26 12 25 25 27 25 25 0 25 41 27 25 25 16 25 25 3 27 34 3 16 25 26 13 25 26 25 25 41 16 13 42 1 41 35 27 0 27 25 27 12 25 25 25 16 0 25 0 27 25 41 25 16 16 26 27 38 25 30 28 12 35 34 12 12 30 12 34 34 12 34 30 36 34 12 12 35 28 12 12 39 30 12 39 9 12 12 12 12 36 12 12 34 34 12 39 12 39 12 34 12 12 12 9 12 12 39 12 30 30 12 12 30 12 9 12 9 12 12 12 12 39 35 29 35 12 39 39 12 34 12 39 12 30 12 34 34 39 29 39 12 29 12 34 39 29 29 30 30 34 12 39 39 39 39 9 12 28"
9,-0.7366,0.9200,"7 2 25 42 42 25 42 25 25 26 7 42 27 25 26 25 27 25 17 7 25 26 42 39 42 26 26 25 25 25 7 7 25 17 27 42 42 26 42 25 26 26 27 2 2 25 25 16 26 8 7 16 25 12 42 25 25 7 17 25 25 27 17 26 25 27 25 12 27 26 16 25 27 25 17 26 25 25 25 27 27 17 25 16 25 25 25 42 25 26 27 25 25 26 7 26 17 26 42 25 23 26 25 25 25 25 25 27 39 27 2 38 39 39 26 26 23 27 23 39 27 25 39 25 25 39 25 25 25 25 39 25 25 25 25 25 39 39 4 39 25 25 25 25 27 37 25 25 26 23 25 37 25 27 39 25 6 25 39 25 25 16 39 25 39 39 25 25 24 37 25 25 25 39 39 39 24 23 26 23 26 16 39 6 25 23 27 16 25 25 5 25 16 25 24 25 25 39 28 25 29 28 28 28 2 2 30 28 30 29 17 28 28 37 30 34 30 2 28 34 28 37 17 29 28 17 2 29 2 38 28 28 2 2 17 2 28 2 40 3 28 28 28 17 38 6 28 13 28 28 29 28 30 28 28 2 37 28 28 2 28 40 6 28 2 2 28 29 2 18 2 28 28 29 28 28 2 37 29 28 28 28 34 28 2 17 30 30 28 28 28 28 28 4 28 28 28 30 28 30 39 39 21 23 21 23 19 21 21 21 22 21 23 23 24 21 23 21 39 39 21 22 22 23 22 21 21 39 23 22 23 23 39 24 23 23 21 21 22 21 21 6 21 39 24 24 23 20 5 21 21 22 21 23 23 10 21 24 23 21 21 23 21 24 22 39 21 21 23 22 39 21 23 21 21 22 21 39 21 21 21 21 22 21 23 22 12 22 24 22 21 21 39 23 21 21 21 21 5 21 39 39 39 35 34 34 39 34 34 34 34 36 34 39 36 34 39 39 35 39 9 39 39 12 39 39 9 39 39 39 39 36 35 39 34 34 39 39 12 39 39 34 39 34 39 9 34 39 39 39 39 9 34 19 34 39 9 35 9 39 9 36 34 39 35 36 35 39 39 39 19 34 39 39 34 39 34 34 34 39 39 39 39 34 39 34 39 34 39 12 35 34 34 39 39 39 39 9 34 39"
10,-0.7136,0.8889,"2 25 2 2 2 25 2 37 5 39 2 26 2 2 6 2 2 6 2 25 5 4 2 7 2 2 6 39 2 5 25 2 37 7 4 2 2 2 2 7 2 6 25 37 27 6 25 2 2 2 37 2 2 8 4 2 2 2 2 7 8 37 2 25 2 2 2 6 2 2 39 2 6 5 2 37 2 2 2 2 2 8 2 25 4 2 7 9 2 39 4 8 2 2 2 7 7 2 2 37 2 8 11 3 2 9 2 3 2 8 7 2 3 2 2 2 2 2 3 2 2 2 8 2 2 2 2 2 7 0 8 2 3 8 7 7 7 2 2 2 3 2 0 0 0 2 10 8 8 7 8 2 8 2 2 8 0 2 7 2 2 2 2 0 8 8 7 2 7 2 2 2 2 2 2 0 2 3 2 2 2 39 2 8 9 8 8 2 3 7 2 2 2 2 2 2 8 8 8 2 25 42 25 12 27 25 25 25 25 27 42 42 31 25 5 42 25 7 25 2 25 7 2 25 26 25 27 42 2 23 25 25 42 25 42 6 37 25 42 25 4 26 7 27 2 25 27 2 2 5 42 25 42 2 42 25 25 25 6 25 27 8 2 25 42 25 25 5 25 2 25 27 42 25 25 25 25 4 25 12 25 25 25 27 25 25 25 25 25 25 25 25 5 42 42 25 6 25 27 31 2 3 13 1 38 13 12 5 0 16 4 25 1 16 12 3 2 37 2 2 13 3 12 38 2 2 2 2 2 5 1 1 16 12 2 2 5 5 13 2 5 17 12 6 38 2 0 2 12 2 2 38 2 38 38 1 5 12 12 5 16 39 34 6 12 38 38 3 2 1 2 12 0 37 1 13 16 2 38 0 13 3 34 0 2 2 2 13 2 12 2 12 2 1 2 38 12 2 12 1 21 21 21 9 38 9 9 21 21 22 21 9 17 22 21 9 9 21 21 21 9 21 4 21 21 21 21 21 39 9 21 21 21 22 21 9 21 9 22 21 9 21 21 21 9 21 22 39 22 9 9 39 22 22 21 22 9 21 21 21 21 22 39 21 21 21 10 9 21 9 21 21 21 9 21 10 9 10 21 11 10 22 21 13 21 21 22 21 21 21 21 22 39 9 21 9 21 11 0 22"
