rank,fitness,winrate,genome
1,-0.8467,1.0000,"13 37 38 1 38 0 2 9 9 38 38 0 2 6 0 5 9 9 13 9 0 13 3 0 3 10 0 1 2 9 38 9 3 9 2 9 38 0 2 13 9 9 9 9 13 0 38 9 9 9 9 2 1 13 2 1 38 0 9 9 3 9 38 12 2 13 2 13 9 13 2 0 9 1 2 11 13 0 13 21 21 13 13 9 9 40 38 37 9 3 10 38 0 9 9 9 9 10 40 9 25 26 25 21 25 12 16 25 12 12 25 25 16 16 12 16 25 16 16 12 42 26 42 26 25 42 27 12 12 26 25 16 12 12 16 25 12 25 27 25 16 25 25 16 42 16 25 16 26 25 25 25 16 12 0 12 25 16 12 12 28 12 16 12 21 25 34 25 25 25 12 42 27 12 12 27 16 27 42 25 42 16 25 16 16 12 42 21 16 12 25 42 25 27 22 12 29 26 21 16 2 3 2 0 2 2 0 8 3 7 0 13 0 7 38 3 0 2 0 0 7 0 3 0 0 2 2 7 5 7 7 12 38 3 8 0 0 8 0 5 6 0 0 0 38 0 0 8 0 0 0 2 0 3 7 0 13 0 0 3 7 3 3 7 38 3 0 0 7 41 2 7 7 38 38 3 13 0 37 3 3 13 7 2 0 7 0 7 0 13 3 2 0 0 8 38 8 7 12 1 12 17 3 19 7 3 12 1 17 17 12 1 0 19 18 7 37 12 3 18 1 7 17 3 38 1 12 7 8 0 38 13 7 17 12 12 7 12 0 17 7 18 18 1 7 19 13 1 18 3 14 12 17 0 7 7 12 17 1 12 1 12 3 7 19 12 12 3 19 38 14 12 13 17 1 17 3 3 12 38 7 12 1 13 12 12 17 38 3 1 17 7 13 1 12 12 17 0 12 1 16 12 12 30 9 10 11 11 11 9 9 9 9 11 9 12 9 9 12 9 10 9 12 40 28 14 15 9 9 12 12 10 9 9 12 11 11 9 9 9 28 11 14 29 40 9 9 12 40 9 9 40 15 9 9 10 9 11 15 12 9 14 9 16 9 12 12 28 9 12 9 9 14 40 9 40 11 9 10 9 9 12 9 11 12 9 9 9 12 10 9 11 9 12 9 9 10 12 42 12"
2,-0.8432,1.0000,"9 37 10 12 9 40 2 9 9 9 9 10 2 6 37 5 9 9 2 9 9 9 9 21 2 10 9 9 2 9 2 9 11 9 2 9 40 40 2 2 9 9 9 9 11 9 11 9 9 9 9 2 9 9 2 9 12 9 9 9 9 9 40 12 2 2 2 11 9 12 2 40 9 11 2 11 12 9 9 21 21 2 9 9 9 40 40 37 9 2 10 9 9 9 9 9 9 10 40 9 25 26 25 21 25 12 16 25 12 12 25 25 16 16 12 16 25 16 16 12 42 26 42 26 25 42 27 12 12 26 25 16 12 12 16 25 12 25 27 25 16 25 25 16 42 16 25 16 26 25 25 25 16 12 0 12 25 16 12 12 28 12 16 12 21 25 34 25 25 25 12 42 27 12 12 27 16 27 42 25 42 16 25 16 16 12 42 21 16 12 25 42 25 27 22 12 29 26 21 16 2 3 2 0 2 2 0 8 3 7 0 13 0 7 38 3 0 2 0 0 7 0 3 0 0 2 2 7 5 7 7 12 38 3 8 0 0 8 0 5 6 0 0 0 38 0 0 8 0 0 0 2 0 3 7 0 13 0 0 3 7 3 3 7 38 3 0 0 7 41 2 7 7 38 38 3 13 0 37 3 3 13 7 2 0 7 0 7 0 13 3 2 0 0 8 38 8 7 12 1 12 17 3 19 7 3 12 1 17 17 12 1 0 19 18 7 37 12 3 18 1 7 17 3 38 1 12 7 8 0 38 13 7 17 12 12 7 12 0 17 7 18 18 1 7 19 13 1 18 3 14 12 17 0 7 7 12 17 1 12 1 12 3 7 19 12 12 3 19 38 14 12 13 17 1 17 3 3 12 38 7 12 1 13 12 12 17 38 3 1 17 7 13 1 12 12 17 0 12 1 16 12 12 30 9 10 11 11 11 9 9 9 9 11 9 12 9 9 12 9 10 9 12 40 28 14 15 9 9 12 12 10 9 9 12 11 11 9 9 9 28 11 14 29 40 9 9 12 40 9 9 40 15 9 9 10 9 11 15 12 9 14 9 16 9 12 12 28 9 12 9 9 14 40 9 40 11 9 10 9 9 12 9 11 12 9 9 9 12 10 9 11 9 12 9 9 10 12 42 12"
3,-0.8426,1.0000,"2 39 2 25 2 2 2 25 5 37 5 4 2 25 26 25 26 2 6 2 37 39 2 26 2 2 37 2 2 4 2 2 6 2 25 2 2 20 2 39 2 25 2 5 21 2 2 42 37 2 6 39 2 2 37 2 37 25 6 27 5 37 6 39 2 2 37 2 2 6 2 2 2 27 4 12 25 2 6 2 25 2 39 39 2 2 2 4 2 2 39 5 37 4 37 2 2 2 2 25 39 2 2 2 5 2 2 6 3 2 4 2 39 6 39 39 2 2 39 2 2 2 2 2 39 39 2 23 2 39 39 2 2 7 1 39 6 2 6 2 37 39 2 2 2 0 39 2 5 6 2 2 2 13 2 2 2 1 39 5 39 2 6 39 23 2 2 23 6 38 4 39 39 39 6 2 23 23 37 2 2 2 39 2 2 2 38 2 2 39 39 5 4 2 2 2 2 12 2 1 2 2 2 4 2 2 2 37 37 2 4 2 12 5 22 4 38 2 2 37 2 2 12 12 21 2 2 12 5 2 2 12 21 2 4 2 6 2 5 5 6 12 2 12 37 37 12 2 2 2 2 2 5 12 1 2 2 6 37 2 13 2 1 2 21 6 12 2 2 2 2 2 2 2 37 2 38 2 37 6 22 38 2 2 21 6 2 6 2 13 2 2 2 12 8 2 6 2 12 2 5 2 2 2 2 2 7 8 2 8 2 2 4 2 2 7 7 6 2 2 4 2 5 5 2 2 37 2 2 2 4 2 4 5 8 2 2 2 2 2 2 2 2 2 5 2 37 2 2 5 2 2 4 8 2 2 4 5 2 37 8 6 7 4 2 2 37 2 6 2 2 37 2 5 5 37 7 37 7 6 4 6 8 2 2 2 2 2 37 2 37 42 2 2 37 5 4 2 37 2 2 2 2 2 2 4 2 6 2 2 2 2 6 2 2 2 2 37 0 2 9 2 2 17 2 11 2 2 2 2 2 6 5 2 2 2 4 2 11 6 2 2 2 2 10 4 2 5 2 2 2 37 2 6 2 2 8 37 11 2 2 5 6 2 2 2 2 2 2 2 6 5 2 2 2 10 2 2 5 5 10 3 0 2 3 37 2 2 2 2 6 2 2 2 37 6 2 4 2 2"
4,-0.8345,0.9615,"9 37 10 12 9 40 2 9 9 9 9 10 2 6 37 5 9 9 2 9 9 9 9 21 2 10 9 9 2 9 2 9 11 9 2 9 40 40 2 2 9 9 9 9 11 9 11 9 9 9 9 2 9 9 2 9 12 9 9 9 9 9 40 12 2 2 2 11 9 12 2 40 9 11 2 11 12 9 9 21 21 2 9 9 9 40 40 37 9 2 10 9 9 9 9 9 9 10 40 9 25 26 25 21 25 12 16 25 12 12 25 25 16 16 12 16 25 16 16 12 42 26 42 26 25 42 27 12 12 26 25 16 12 12 16 25 12 25 27 25 16 25 25 16 42 16 25 16 26 25 25 25 16 12 0 12 25 16 12 12 28 12 16 12 21 25 34 25 25 25 12 42 27 12 12 27 16 27 42 25 42 16 25 16 16 12 42 21 16 12 25 42 25 27 22 12 29 26 21 16 2 3 2 0 2 2 0 8 3 7 0 13 0 7 38 3 0 2 0 0 7 0 3 0 0 2 2 7 5 7 7 12 38 3 8 0 0 8 0 5 6 0 0 0 38 0 0 8 0 0 0 2 0 3 7 0 13 0 0 3 7 3 3 7 38 3 0 0 7 41 2 7 7 38 38 3 13 0 37 3 3 13 7 2 0 7 0 7 0 13 3 2 0 0 8 38 8 7 12 1 9 9 3 11 7 3 9 9 17 9 9 1 9 9 18 9 37 9 3 18 1 7 9 10 38 9 9 9 8 9 9 9 7 9 9 9 9 9 0 17 7 18 9 9 11 19 9 9 9 9 9 9 17 0 10 9 12 9 1 12 9 9 3 7 19 10 9 10 9 38 14 9 13 17 1 17 9 11 12 38 9 12 1 13 11 9 17 9 9 1 17 9 13 1 10 11 9 9 12 1 16 12 12 30 9 10 11 11 11 9 9 9 9 11 9 12 9 9 12 9 10 9 12 40 28 14 15 9 9 12 12 10 9 9 12 11 11 9 9 9 28 11 14 29 40 9 9 12 40 9 9 40 15 9 9 10 9 11 15 12 9 14 9 16 9 12 12 28 9 12 9 9 14 40 9 40 11 9 10 9 9 12 9 11 12 9 9 9 12 10 9 11 9 12 9 9 10 12 42 12"
5,-0.8117,1.0000,"7 39 25 39 39 25 8 39 39 7 39 27 7 7 25 39 39 25 7 7 7 39 39 25 7 39 7 39 39 39 39 8 8 39 39 7 8 7 25 7 39 39 25 39 39 25 7 7 7 7 7 7 39 8 39 25 7 8 39 39 39 39 39 39 7 39 25 27 7 39 39 39 39 7 39 7 8 7 39 25 7 39 7 7 25 7 7 25 39 7 39 7 25 39 39 25 39 39 39 25 25 26 25 21 25 12 16 25 12 12 25 25 16 16 12 16 25 16 16 12 42 26 42 26 25 42 27 12 12 26 25 16 12 12 16 25 12 25 27 25 16 25 25 16 42 16 25 16 26 25 25 25 16 12 0 12 25 16 12 12 28 12 16 12 21 25 34 25 25 25 12 42 27 12 12 27 16 27 42 25 42 16 25 16 16 12 42 21 16 12 25 42 25 27 22 12 29 26 21 16 7 2 2 0 7 2 0 8 3 2 2 13 2 2 38 3 2 2 0 7 8 8 2 2 7 2 2 7 5 8 7 2 38 2 8 2 0 8 0 2 7 2 0 2 2 8 0 7 0 0 0 7 7 8 2 0 13 2 2 2 7 2 3 7 38 2 8 8 7 41 7 2 7 38 2 2 2 0 8 2 2 7 7 2 2 7 2 2 2 7 8 2 0 0 8 8 2 7 12 2 27 3 0 0 38 39 38 0 0 3 3 38 0 39 4 3 38 12 0 38 3 39 3 3 0 0 39 5 13 6 3 6 3 0 3 39 3 6 0 3 3 37 0 38 3 1 3 0 3 0 0 39 38 3 1 6 3 0 4 39 13 0 0 3 0 37 3 0 0 38 37 3 5 25 0 0 0 0 3 39 4 39 3 5 0 12 3 38 26 0 25 6 37 3 3 0 0 0 0 3 3 13 1 39 34 0 18 13 1 36 20 0 0 17 3 17 17 1 0 38 3 38 20 36 1 17 3 17 3 17 17 19 3 1 12 1 17 17 0 3 19 38 38 17 39 1 0 39 19 19 0 34 38 1 34 13 19 1 39 1 35 32 20 1 38 38 3 13 17 13 38 20 1 17 39 38 0 1 3 1 34 17 17 0 17 17 17 19 12 39 1 17 32 17 13 3 17 17 1 38"
6,-0.7846,0.9630,"25 39 25 25 25 25 25 25 25 39 25 26 39 25 26 25 26 27 25 2 27 39 39 26 25 25 26 39 39 39 25 39 25 27 25 39 25 20 39 39 27 25 39 39 21 39 20 42 26 27 25 39 39 25 39 39 27 25 25 27 39 39 2 39 25 39 39 25 25 25 25 39 25 27 25 12 25 2 39 39 25 39 39 39 39 25 25 11 39 24 39 39 21 39 2 25 39 26 25 25 39 2 2 2 5 2 2 6 3 2 4 2 39 6 39 39 2 2 39 2 2 2 2 2 39 39 2 23 2 39 39 2 2 7 1 39 6 2 6 2 37 39 2 2 2 0 39 2 5 6 2 2 2 13 2 2 2 1 39 5 39 2 6 39 23 2 2 23 6 38 4 39 39 39 6 2 23 23 37 2 2 2 39 2 2 2 38 2 2 39 39 5 4 2 2 2 2 12 2 1 2 2 2 4 2 2 2 37 37 2 4 2 12 5 22 4 38 2 2 37 2 2 12 12 21 2 2 12 5 2 2 12 21 2 4 2 6 2 5 5 6 12 2 12 37 37 12 2 2 2 2 2 5 12 1 2 2 6 37 2 13 2 1 2 21 6 12 2 2 2 2 2 2 2 37 2 38 2 37 6 22 38 2 2 21 6 2 6 2 13 2 2 2 12 8 2 6 2 12 2 8 7 2 2 8 8 2 8 7 2 7 8 4 2 2 2 7 6 7 2 4 7 7 7 2 2 2 7 2 2 4 2 4 2 8 7 7 8 2 2 2 2 8 8 2 2 2 7 2 5 2 2 7 2 2 2 2 5 2 8 8 8 7 7 2 2 2 2 6 2 2 8 2 2 7 8 7 37 7 2 2 2 8 2 2 2 7 2 37 2 8 42 8 8 2 2 2 2 37 2 38 41 0 41 3 1 2 0 3 41 1 3 6 0 41 2 3 41 41 5 1 3 13 41 0 0 38 2 41 41 9 41 1 0 41 3 41 0 41 3 41 41 3 2 41 2 41 0 13 2 2 41 41 17 2 41 8 41 41 0 3 41 3 3 3 41 41 0 0 41 41 0 41 2 41 38 41 41 2 0 13 3 0 41 3 3 0 2 41 5 6 9 41 41 41 38 3 1 2 0"
7,-0.7604,0.9231,"2 39 2 25 2 2 2 25 5 37 5 4 2 25 26 25 26 2 6 2 37 39 2 26 2 2 37 2 2 4 2 2 6 2 25 2 2 20 2 39 2 25 2 5 21 2 2 42 37 2 6 39 2 2 37 2 37 25 6 27 5 37 6 39 2 2 37 2 2 6 2 2 2 27 4 12 25 2 6 2 25 2 39 39 2 2 2 4 2 2 39 5 37 4 37 2 2 2 2 25 39 2 2 2 5 2 2 6 3 2 4 2 39 6 39 39 2 2 39 2 2 2 2 2 39 39 2 23 2 39 39 2 2 7 1 39 6 2 6 2 37 39 2 2 2 0 39 2 5 6 2 2 2 13 2 2 2 1 39 5 39 2 6 39 23 2 2 23 6 38 4 39 39 39 6 2 23 23 37 2 2 2 39 2 2 2 38 2 2 39 39 5 4 2 2 2 2 12 2 1 2 2 2 4 2 38 2 37 37 3 4 2 13 5 38 4 13 2 2 37 1 2 12 12 38 2 1 38 5 2 0 12 21 2 4 2 13 2 5 5 6 13 2 12 38 13 12 38 2 0 2 2 5 13 1 2 2 3 37 2 13 0 1 2 3 38 38 2 2 2 13 2 3 3 37 3 38 2 37 6 22 38 13 13 21 6 2 6 2 3 2 13 2 12 3 0 6 2 12 38 5 2 2 2 2 2 7 8 2 8 2 2 4 2 2 7 7 6 2 2 4 2 5 5 2 2 37 2 2 2 4 2 4 5 8 2 2 2 2 2 2 2 2 2 5 2 37 2 2 5 2 2 4 8 2 2 4 5 2 37 8 6 7 4 2 2 37 2 6 2 2 37 2 5 5 37 7 37 7 6 4 6 8 2 2 2 2 2 37 2 37 42 2 2 37 5 4 2 37 2 2 2 2 2 2 4 2 6 2 2 2 2 6 2 2 2 2 37 0 2 9 2 2 17 2 11 2 2 2 2 2 6 5 2 2 2 4 2 11 6 2 2 2 2 10 4 2 5 2 2 2 37 2 6 2 2 8 37 11 2 2 5 6 2 2 2 2 2 2 2 6 5 2 2 2 10 2 2 5 5 10 3 0 2 3 37 2 2 2 2 6 2 2 2 37 6 2 4 2 2"
8,-0.7393,0.9600,"25 39 25 25 25 25 25 25 25 39 25 26 39 25 26 25 26 27 25 2 27 39 39 26 25 25 26 39 39 39 25 39 25 27 25 39 25 20 39 39 27 25 39 39 21 39 20 42 26 27 25 39 39 25 39 39 27 25 25 27 39 39 2 39 25 39 39 25 25 25 25 39 25 27 25 12 25 2 39 39 25 39 39 39 39 25 25 11 39 24 39 39 21 39 2 25 39 26 25 25 12 12 2 2 12 12 27 12 3 12 4 12 39 27 27 39 2 12 39 2 12 2 2 2 25 27 2 27 2 25 25 12 2 7 26 12 26 25 6 2 37 12 12 25 2 27 12 25 25 6 2 2 27 12 12 26 2 12 26 27 39 12 6 26 26 2 12 25 6 38 4 12 27 12 12 12 26 12 27 12 12 2 39 12 2 2 26 27 27 39 39 12 4 26 12 2 2 12 2 12 2 3 2 0 2 2 0 8 3 7 0 13 0 7 38 3 0 2 0 0 7 0 3 0 0 2 2 7 5 7 7 12 38 3 8 0 0 8 0 5 6 0 0 0 38 0 0 8 0 0 0 2 0 3 7 0 13 0 0 3 7 3 3 7 38 3 0 0 7 41 2 7 7 38 38 3 13 0 37 3 3 13 7 2 0 7 0 7 0 13 3 2 0 0 8 38 8 7 12 1 7 2 7 2 7 7 8 7 2 8 8 7 7 7 7 7 7 6 2 7 4 2 7 7 2 4 37 7 2 2 4 8 8 7 8 37 2 5 2 7 7 7 2 2 5 2 7 37 2 8 7 2 7 7 7 7 7 7 2 37 7 7 7 6 7 2 7 2 7 7 5 7 7 2 8 7 5 7 6 6 7 6 7 2 37 8 7 2 7 5 4 7 7 2 7 5 7 2 7 7 38 0 0 2 3 4 2 0 3 37 3 3 6 0 1 2 3 2 3 5 2 0 2 17 3 2 38 2 13 38 9 3 1 0 3 3 2 2 41 3 2 7 3 2 3 2 3 4 13 2 2 0 37 17 2 3 42 0 4 0 3 2 2 5 3 3 0 38 0 1 6 0 2 2 6 38 2 2 2 0 2 3 0 11 3 3 0 2 8 5 6 9 3 13 3 0 2 0 2 0"
9,-0.7376,0.9600,"25 39 25 25 25 25 25 25 25 39 25 26 39 25 26 25 26 27 25 2 27 39 39 26 25 25 26 39 39 39 25 39 25 27 25 39 25 20 39 39 27 25 39 39 21 39 20 42 26 27 25 39 39 25 39 39 27 25 25 27 39 39 2 39 25 39 39 25 25 25 25 39 25 27 25 12 25 2 39 39 25 39 39 39 39 25 25 11 39 24 39 39 21 39 2 25 39 26 25 25 25 26 25 21 25 12 16 25 12 12 25 25 16 16 12 16 25 16 16 12 42 26 42 26 25 42 27 12 12 26 25 16 12 12 16 25 12 25 27 25 16 25 25 16 42 16 25 16 26 25 25 25 16 12 0 12 25 16 12 12 28 12 16 12 21 25 34 25 25 25 12 42 27 12 12 27 16 27 42 25 42 16 25 16 16 12 42 21 16 12 25 42 25 27 22 12 29 26 21 16 2 2 2 1 2 2 38 8 8 7 7 13 38 7 38 4 8 2 2 7 7 0 7 0 38 2 2 7 5 7 7 12 38 7 8 2 1 8 13 5 6 0 2 38 38 0 12 8 7 7 3 2 7 38 7 7 13 6 13 13 7 7 3 7 38 0 12 2 7 3 2 7 7 38 38 8 13 0 37 13 7 13 7 2 0 7 2 7 0 13 3 2 0 0 8 38 8 7 12 1 13 2 0 41 41 41 7 0 38 41 1 41 4 2 41 7 3 6 0 2 41 2 5 38 41 2 37 2 2 2 3 41 4 41 8 41 41 2 3 1 41 1 2 41 41 41 0 2 41 41 41 2 4 8 38 41 4 13 41 41 41 6 41 4 2 3 37 41 41 1 41 0 2 38 3 37 38 38 7 41 41 0 3 0 41 2 41 2 41 2 38 0 2 2 41 41 4 41 1 2 2 2 2 2 2 4 2 6 2 2 2 2 6 2 2 2 2 37 0 2 9 2 2 17 2 11 2 2 2 2 2 6 5 2 2 2 4 2 11 6 2 2 2 2 10 4 2 5 2 2 2 37 2 6 2 2 8 37 11 2 2 5 6 2 2 2 2 2 2 2 6 5 2 2 2 10 2 2 5 5 10 3 0 2 3 37 2 2 2 2 6 2 2 2 37 6 2 4 2 2"
10,-0.6778,0.8182,"9 37 10 12 9 40 2 9 9 9 9 10 2 6 37 5 9 9 2 9 9 9 9 21 2 10 9 9 2 9 2 9 11 9 2 9 40 40 2 2 9 9 9 9 11 9 11 9 9 9 9 2 9 9 2 9 12 9 9 9 9 9 40 12 2 2 2 11 9 12 2 40 9 11 2 11 12 9 9 21 21 2 9 9 9 40 40 37 9 2 10 9 9 9 9 9 9 10 40 9 25 26 25 21 25 12 16 25 12 12 25 25 16 16 12 16 25 16 16 12 42 26 42 26 25 42 27 12 12 26 25 16 12 12 16 25 12 25 27 25 16 25 25 16 42 16 25 16 26 25 25 25 16 12 0 12 25 16 12 12 28 12 16 12 21 25 34 25 25 25 12 42 27 12 12 27 16 27 42 25 42 16 25 16 16 12 42 21 16 12 25 42 25 27 22 12 29 26 21 16 2 3 2 0 2 2 0 8 3 7 0 13 0 7 38 3 0 2 0 0 7 0 3 0 0 2 2 7 5 7 7 12 38 3 8 0 0 8 0 5 6 0 0 0 38 0 0 8 0 0 0 2 0 3 7 0 13 0 0 3 7 3 3 7 38 3 0 0 7 41 2 7 7 38 38 3 13 0 37 3 3 13 7 2 0 7 0 7 0 13 3 2 0 0 8 38 8 7 12 1 9 9 3 11 7 3 9 9 17 9 9 1 9 9 18 9 37 9 3 18 1 7 9 10 38 9 9 9 8 9 9 9 7 9 9 9 9 9 0 17 7 18 9 9 11 19 9 9 9 9 9 9 17 0 10 9 12 9 1 12 9 9 3 7 19 10 9 10 9 38 14 9 13 17 1 17 9 11 12 38 9 12 1 13 11 9 17 9 9 1 17 9 13 1 10 11 9 9 12 1 16 12 12 30 9 10 11 11 11 9 9 9 9 11 9 12 9 9 12 9 10 9 12 40 28 14 15 9 9 12 12 10 9 9 12 11 11 9 9 9 28 11 14 29 40 9 9 12 40 9 9 40 15 9 9 10 9 11 15 12 9 14 9 16 9 12 12 28 9 12 9 9 14 40 9 40 11 9 10 9 9 12 9 11 12 9 9 9 12 10 9 11 9 12 9 9 10 12 42 12"
