rank,fitness,winrate,genome
1,-0.7425,1.0000,"41 3 5 3 37 3 0 2 2 3 3 41 2 2 41 3 0 2 41 2 0 3 0 3 1 33 4 0 1 41 3 2 41 3 0 3 3 0 3 3 6 13 41 2 3 2 2 1 17 2 3 41 0 3 0 0 2 2 0 13 41 2 3 41 0 2 0 0 2 17 41 41 0 2 0 41 41 1 41 3 0 2 3 13 0 41 41 41 41 2 3 2 0 41 41 3 0 3 0 3 25 39 42 16 25 16 42 34 42 16 12 12 25 12 42 25 35 25 42 25 42 12 0 25 42 25 42 27 42 0 0 16 42 12 42 16 42 42 42 42 16 27 3 42 42 9 42 3 34 36 16 26 26 12 42 16 12 42 25 16 42 12 42 9 42 25 16 42 0 25 42 25 25 25 12 16 25 16 12 42 12 42 25 25 25 16 25 42 16 25 12 16 25 42 42 12 42 42 3 42 6 37 2 12 1 2 5 1 1 5 2 0 37 13 37 4 13 12 5 0 34 37 2 2 0 0 3 37 2 36 0 5 37 38 2 1 2 4 2 4 37 0 34 0 12 37 42 0 0 38 2 38 0 6 38 2 12 5 0 5 2 2 3 38 2 6 2 5 1 5 37 37 6 4 6 2 2 3 6 5 0 2 34 2 0 42 5 2 2 0 2 37 0 6 1 38 6 12 0 2 0 2 2 8 4 0 37 3 0 2 37 2 3 3 2 5 2 37 0 2 37 37 0 3 13 37 2 13 2 3 3 3 37 0 8 0 4 2 2 2 2 0 0 4 0 2 6 2 2 5 0 5 4 6 0 5 3 0 0 4 6 3 0 2 2 37 3 2 5 37 3 4 5 2 3 37 2 3 3 2 37 2 2 3 2 3 2 2 2 37 2 2 6 1 0 0 4 2 41 2 0 25 3 25 0 25 0 0 3 0 3 7 13 0 3 38 7 3 7 1 38 27 13 27 0 25 38 3 38 0 25 0 1 0 0 3 41 0 26 3 7 27 27 13 0 38 3 25 39 38 25 0 38 3 1 13 0 0 0 0 0 25 3 1 3 0 7 0 13 3 25 3 27 0 3 25 3 3 26 25 7 0 0 0 3 26 13 1 0 3 0 3 3 0 0 25 7 3 25 0"
2,-0.7175,1.0000,"41 3 5 3 37 3 0 2 2 3 3 41 2 2 41 3 0 2 41 2 0 3 0 3 1 33 4 0 1 41 3 2 41 3 0 3 3 0 3 3 6 13 41 2 3 2 2 1 17 2 3 41 0 3 0 0 2 2 0 13 41 2 3 41 0 2 0 0 2 17 41 41 0 2 0 41 41 1 41 3 0 2 3 13 0 41 41 41 41 2 3 2 0 41 41 3 0 3 0 3 25 39 42 16 25 16 42 34 42 16 12 12 25 12 42 25 35 25 42 25 42 12 0 25 42 25 42 27 42 0 0 16 42 12 42 16 42 42 42 42 16 27 3 42 42 9 42 3 34 36 16 26 26 12 42 16 12 42 25 16 42 12 42 9 42 25 16 42 0 25 42 25 25 25 12 16 25 16 12 42 12 42 25 25 25 16 25 42 16 25 12 16 25 42 42 12 42 42 3 42 6 37 2 12 1 2 5 1 1 5 2 0 37 13 37 4 13 12 5 0 34 37 2 2 0 0 3 37 2 36 0 5 37 38 2 1 2 4 2 4 37 0 34 0 12 37 42 0 0 38 2 38 0 6 38 2 12 5 0 5 2 2 3 38 2 6 2 5 1 5 37 37 6 4 6 2 2 3 6 5 0 2 34 2 0 42 5 2 2 0 2 37 0 6 1 38 6 12 0 2 0 2 2 8 4 0 37 3 0 2 37 2 3 3 2 5 2 37 0 2 37 37 0 3 13 37 2 13 2 3 3 3 37 0 8 0 4 2 2 2 2 0 0 4 0 2 6 2 2 5 0 5 4 6 0 5 3 0 0 4 6 3 0 2 2 37 3 2 5 37 3 4 5 2 3 37 2 3 3 2 37 2 2 3 2 3 2 2 2 37 2 2 6 1 0 0 4 2 41 2 0 25 3 25 0 25 0 0 3 0 3 7 13 0 3 38 7 3 7 1 38 27 13 27 0 25 38 3 38 0 25 0 1 0 0 3 41 0 26 3 7 27 27 13 0 38 3 25 39 38 25 0 38 3 1 13 0 0 0 0 0 25 3 1 3 0 7 0 13 3 25 3 27 0 3 25 3 3 26 25 7 0 0 0 3 26 13 1 0 3 0 3 3 0 0 25 7 3 25 0"
3,-0.6957,0.9565,"41 3 5 3 37 3 0 2 2 3 3 41 2 2 41 3 0 2 41 2 0 3 0 3 1 33 4 0 1 41 3 2 41 3 0 3 3 0 3 3 6 13 41 2 3 2 2 1 17 2 3 41 0 3 0 0 2 2 0 13 41 2 3 41 0 2 0 0 2 17 41 41 0 2 0 41 41 1 41 3 0 2 3 13 0 41 41 41 41 2 3 2 0 41 41 3 0 3 0 3 9 9 6 13 39 13 39 9 39 3 38 38 39 39 39 0 2 1 13 3 4 1 9 39 39 2 39 39 4 39 11 39 39 39 1 3 39 39 9 39 2 0 9 13 2 39 2 37 13 3 37 2 2 38 39 39 9 3 2 39 1 39 11 41 39 3 39 0 39 2 2 39 2 9 11 9 0 2 1 2 3 10 39 9 2 39 2 2 13 39 13 11 2 6 9 2 13 6 39 39 6 37 2 12 1 2 5 1 1 5 2 0 37 13 37 4 13 12 5 0 34 37 2 2 0 0 3 37 2 36 0 5 37 38 2 1 2 4 2 4 37 0 34 0 12 37 42 0 0 38 2 38 0 6 38 2 12 5 0 5 2 2 3 38 2 6 2 5 1 5 37 37 6 4 6 2 2 3 6 5 0 2 34 2 0 42 5 2 2 0 2 37 0 6 1 38 6 12 0 2 0 2 2 8 4 0 37 3 0 2 37 2 3 3 2 5 2 37 0 2 37 37 0 3 13 37 2 13 2 3 3 3 37 0 8 0 4 2 2 2 2 0 0 4 0 2 6 2 2 5 0 5 4 6 0 5 3 0 0 4 6 3 0 2 2 37 3 2 5 37 3 4 5 2 3 37 2 3 3 2 37 2 2 3 2 3 2 2 2 37 2 2 6 1 0 0 4 2 41 2 0 25 3 25 0 25 0 0 3 0 3 7 13 0 3 38 7 3 7 1 38 27 13 27 0 25 38 3 38 0 25 0 1 0 0 3 41 0 26 3 7 27 27 13 0 38 3 25 39 38 25 0 38 3 1 13 0 0 0 0 0 25 3 1 3 0 7 0 13 3 25 3 27 0 3 25 3 3 26 25 7 0 0 0 3 26 13 1 0 3 0 3 3 0 0 25 7 3 25 0"
4,-0.6742,0.9200,"41 3 5 3 37 3 0 2 2 3 3 41 2 2 41 3 0 2 41 2 0 3 0 3 1 33 4 0 1 41 3 2 41 3 0 3 3 0 3 3 6 13 41 2 3 2 2 1 17 2 3 41 0 3 0 0 2 2 0 13 41 2 3 41 0 2 0 0 2 17 41 41 0 2 0 41 41 1 41 3 0 2 3 13 0 41 41 41 41 2 3 2 0 41 41 3 0 3 0 3 33 3 3 3 0 38 41 0 0 0 1 3 3 0 41 41 19 41 0 0 38 3 39 41 31 0 3 3 0 0 3 3 33 41 41 31 0 3 41 24 38 31 31 0 3 39 3 0 3 41 31 31 41 41 38 24 0 41 3 0 31 31 0 31 13 1 38 3 0 3 32 3 41 31 0 17 39 31 0 41 0 0 41 0 31 41 31 39 3 3 1 41 41 3 23 32 13 13 13 0 25 25 2 12 1 2 25 25 25 25 2 25 25 25 25 4 13 26 25 27 25 25 2 25 25 25 3 26 27 27 0 27 37 38 26 25 25 25 26 4 37 0 25 25 12 37 25 26 26 38 25 38 25 25 42 2 25 5 27 5 25 25 3 25 27 25 2 25 26 25 25 37 6 25 26 25 27 3 25 25 0 25 34 2 26 42 27 2 26 26 25 26 27 25 25 38 6 25 0 25 8 8 33 2 31 2 3 7 0 2 2 2 2 2 2 1 31 2 38 32 8 2 5 3 2 2 8 8 7 7 31 2 0 38 2 2 2 2 4 13 2 2 2 2 1 2 31 31 2 2 2 3 2 38 33 2 7 8 2 2 31 2 1 2 13 2 31 38 8 2 38 1 1 1 31 0 2 38 8 7 2 7 38 2 2 7 32 31 2 1 0 2 31 8 2 38 7 2 7 2 0 25 3 25 0 25 0 0 3 0 3 7 13 0 3 38 7 3 7 1 38 27 13 27 0 25 38 3 38 0 25 0 1 0 0 3 41 0 26 3 7 27 27 13 0 38 3 25 39 38 25 0 38 3 1 13 0 0 0 0 0 25 3 1 3 0 7 0 13 3 25 3 27 0 3 25 3 3 26 25 7 0 0 0 3 26 13 1 0 3 0 3 3 0 0 25 7 3 25 0"
5,-0.6692,0.9167,"9 16 12 16 37 12 9 9 12 12 9 9 9 16 16 9 10 16 9 16 16 9 12 9 9 12 12 0 11 10 12 12 12 16 12 16 9 0 9 16 12 9 16 12 12 2 9 39 16 12 10 9 16 9 0 9 9 16 16 11 12 9 12 9 12 16 9 16 12 10 9 16 39 16 9 12 41 1 16 39 11 11 3 13 9 12 9 9 10 12 9 2 16 16 39 12 9 16 39 39 2 5 38 0 1 6 2 13 32 31 2 5 38 38 37 19 31 2 2 13 16 38 33 6 13 4 16 2 16 13 2 0 19 0 12 2 2 3 2 5 2 2 2 2 31 3 1 1 2 0 16 1 2 0 38 33 2 3 2 31 2 6 38 6 31 2 16 19 33 3 6 1 1 4 0 31 38 20 2 38 3 37 5 5 37 13 38 6 0 2 21 38 2 38 31 0 6 13 1 37 6 37 2 12 1 2 5 1 1 5 2 0 37 13 37 4 13 12 5 0 34 37 2 2 0 0 3 37 2 36 0 5 37 38 2 1 2 4 2 4 37 0 34 0 12 37 42 0 0 38 2 38 0 6 38 2 12 5 0 5 2 2 3 38 2 6 2 5 1 5 37 37 6 4 6 2 2 3 6 5 0 2 34 2 0 42 5 2 2 0 2 37 0 6 1 38 6 12 0 2 3 3 0 8 38 2 0 3 3 13 38 13 1 0 2 2 2 2 0 2 13 0 0 0 13 13 40 13 2 3 2 0 3 0 8 38 38 2 2 3 2 0 3 0 0 0 0 1 13 3 3 0 2 1 0 3 2 1 2 2 2 3 0 0 2 3 38 3 3 2 3 0 5 38 1 13 1 41 3 3 3 3 2 3 2 3 3 0 2 3 2 1 42 1 0 1 7 5 0 2 0 25 3 25 0 25 0 0 3 0 3 7 13 0 3 38 7 3 7 1 38 27 13 27 0 25 38 3 38 0 25 0 1 0 0 3 41 0 26 3 7 27 27 13 0 38 3 25 39 38 25 0 38 3 1 13 0 0 0 0 0 25 3 1 3 0 7 0 13 3 25 3 27 0 3 25 3 3 26 25 7 0 0 0 3 26 13 1 0 3 0 3 3 0 0 25 7 3 25 0"
6,-0.6357,0.8750,"7 2 2 37 2 2 17 2 2 5 2 2 2 2 2 6 6 2 37 2 6 7 2 2 2 8 8 5 8 4 2 6 17 4 2 5 6 2 2 2 2 2 39 2 2 6 2 2 0 2 6 17 5 2 2 4 2 37 37 6 5 18 6 2 8 2 6 2 2 2 2 17 18 2 2 37 37 17 6 2 37 4 5 2 18 6 2 6 6 2 37 2 2 2 2 17 4 4 5 2 33 3 2 4 0 2 4 2 2 0 2 2 2 2 41 5 2 37 2 0 38 2 39 3 31 3 3 2 2 0 3 0 2 3 2 2 37 3 2 2 38 31 37 0 0 2 3 0 2 2 2 0 6 41 38 2 2 5 2 2 2 2 3 2 0 2 38 3 0 2 5 3 2 0 0 2 6 4 0 2 2 5 6 0 0 2 31 39 6 5 1 41 2 2 4 2 5 2 13 37 6 37 2 12 1 2 5 1 1 5 2 0 37 13 37 4 13 12 5 0 34 37 2 2 0 0 3 37 2 36 0 5 37 38 2 1 2 4 2 4 37 0 34 0 12 37 42 0 0 38 2 38 0 6 38 2 12 5 0 5 2 2 3 38 2 6 2 5 1 5 37 37 6 4 6 2 2 3 6 5 0 2 34 2 0 42 5 2 2 0 2 37 0 6 1 38 6 12 0 2 2 2 2 2 4 2 2 5 2 2 2 2 3 2 2 5 5 2 5 2 37 37 0 3 13 2 2 2 2 2 2 2 4 0 8 0 4 2 2 2 2 0 2 4 2 2 5 2 2 2 2 5 5 4 2 2 2 37 0 4 4 2 2 2 4 37 3 2 5 37 2 6 2 2 3 37 2 2 2 6 37 2 2 3 2 2 2 5 2 2 2 2 2 1 2 0 4 6 41 2 0 2 2 25 0 25 2 0 3 0 3 7 13 4 6 38 7 3 4 1 38 27 13 6 0 25 38 5 38 0 25 2 1 0 0 3 41 5 6 3 7 27 4 2 0 38 3 37 37 38 4 5 37 3 2 5 37 0 0 4 0 5 2 2 3 0 5 0 13 3 4 3 27 6 37 25 3 2 26 25 6 0 0 0 3 26 13 4 5 3 0 3 3 0 5 2 2 3 6 4"
7,-0.6221,0.8800,"41 3 5 3 37 3 0 2 2 3 3 41 2 2 41 3 0 2 41 2 0 3 0 3 1 33 4 0 1 41 3 2 41 3 0 3 3 0 3 3 6 13 41 2 3 2 2 1 17 2 3 41 0 3 0 0 2 2 0 13 41 2 3 41 0 2 0 0 2 17 41 41 0 2 0 41 41 1 41 3 0 2 3 13 0 41 41 41 41 2 3 2 0 41 41 3 0 3 0 3 2 5 38 0 1 6 2 13 32 31 2 5 38 38 37 19 31 2 2 13 16 38 33 6 13 4 16 2 16 13 2 0 19 0 12 2 2 3 2 5 2 2 2 2 31 3 1 1 2 0 16 1 2 0 38 33 2 3 2 31 2 6 38 6 31 2 16 19 33 3 6 1 1 4 0 31 38 20 2 38 3 37 5 5 37 13 38 6 0 2 21 38 2 38 31 0 6 13 1 37 6 37 2 12 1 2 5 1 1 5 2 0 37 13 37 4 13 12 5 0 34 37 2 2 0 0 3 37 2 36 0 5 37 38 2 1 2 4 2 4 37 0 34 0 12 37 42 0 0 38 2 38 0 6 38 2 12 5 0 5 2 2 3 38 2 6 2 5 1 5 37 37 6 4 6 2 2 3 6 5 0 2 34 2 0 42 5 2 2 0 2 37 0 6 1 38 6 12 0 2 0 2 2 38 4 13 37 3 0 2 3 2 3 3 2 1 2 37 1 2 37 37 0 3 13 1 3 3 1 3 3 3 3 0 0 38 4 2 0 2 2 0 3 4 0 2 13 2 2 0 0 3 38 6 0 5 3 0 0 4 6 3 0 2 2 37 3 2 5 37 3 4 38 2 3 37 2 1 0 3 38 2 2 3 2 3 2 0 2 37 3 2 13 1 13 0 4 1 1 2 38 25 7 38 25 25 3 3 0 25 13 7 13 1 38 1 7 25 7 1 38 27 38 27 0 25 1 1 38 0 25 13 1 26 1 1 25 1 38 1 7 1 27 13 38 38 3 25 39 0 25 3 38 25 3 13 0 25 1 3 3 1 1 1 0 13 7 3 1 3 25 3 27 0 38 25 3 3 0 25 7 7 0 25 0 1 13 1 38 38 26 25 1 0 38 1 0 38 1 0"
8,-0.6088,0.8571,"7 18 8 2 18 2 17 2 17 2 2 2 7 2 0 13 2 8 2 18 6 7 2 2 17 8 8 7 8 2 2 7 17 2 18 2 8 13 2 3 17 2 39 38 7 18 2 2 0 2 39 17 17 24 2 7 0 18 2 18 2 18 2 2 8 2 17 39 2 17 17 17 18 7 8 7 2 17 17 23 2 8 17 24 18 1 2 2 2 7 37 18 8 17 2 17 2 2 2 2 33 3 3 3 0 38 41 0 0 0 1 3 3 0 41 41 19 41 0 0 38 3 39 41 31 0 3 3 0 0 3 3 33 41 41 31 0 3 41 24 38 31 31 0 3 39 3 0 3 41 31 31 41 41 38 24 0 41 3 0 31 31 0 31 13 1 38 3 0 3 32 3 41 31 0 17 39 31 0 41 0 0 41 0 31 41 31 39 3 3 1 41 41 3 23 32 13 13 13 0 13 1 22 8 21 13 38 27 21 13 8 38 0 7 0 25 1 13 34 22 21 8 38 8 2 22 2 2 2 0 22 3 7 2 1 21 8 8 21 21 2 2 25 2 2 13 38 38 26 7 3 38 25 0 25 1 1 38 13 7 2 0 2 2 8 0 8 3 38 1 0 0 0 1 38 21 2 21 2 21 1 2 34 21 2 21 2 7 13 38 0 1 0 21 13 2 8 34 7 22 8 8 33 2 31 2 3 7 0 2 2 2 2 2 2 1 31 2 38 32 8 2 5 3 2 2 8 8 7 7 31 2 0 38 2 2 2 2 4 13 2 2 2 2 1 2 31 31 2 2 2 3 2 38 33 2 7 8 2 2 31 2 1 2 13 2 31 38 8 2 38 1 1 1 31 0 2 38 8 7 2 7 38 2 2 7 32 31 2 1 0 2 31 8 2 38 7 2 7 2 0 2 19 2 3 2 6 14 2 2 2 2 4 2 0 4 2 37 2 3 3 2 2 3 3 5 2 37 2 2 0 0 0 6 2 19 4 37 0 2 2 19 17 6 0 6 4 6 3 5 5 6 2 2 0 37 37 5 6 5 6 2 6 6 2 4 0 5 0 2 3 5 37 37 0 2 2 2 2 37 5 4 0 5 0 4 4 2 4 2 2 0 4 0 3 2 2 37 0 6"
9,-0.5692,0.7826,"7 18 8 2 18 2 17 2 17 2 2 2 7 2 0 13 2 8 2 18 6 7 2 2 17 8 8 7 8 2 2 7 17 2 18 2 8 13 2 3 17 2 39 38 7 18 2 2 0 2 39 17 17 24 2 7 0 18 2 18 2 18 2 2 8 2 17 39 2 17 17 17 18 7 8 7 2 17 17 23 2 8 17 24 18 1 2 2 2 7 37 18 8 17 2 17 2 2 2 2 33 3 3 3 0 38 41 0 0 0 1 3 3 0 41 41 19 41 0 0 38 3 39 41 31 0 3 3 0 0 3 3 33 41 41 31 0 3 41 24 38 31 31 0 3 39 3 0 3 41 31 31 41 41 38 24 0 41 3 0 31 31 0 31 13 1 38 3 0 3 32 3 41 31 0 17 39 31 0 41 0 0 41 0 31 41 31 39 3 3 1 41 41 3 23 32 13 13 13 0 9 2 22 8 21 21 2 27 21 21 8 21 21 7 21 25 8 25 34 22 21 8 21 8 2 22 2 2 2 7 22 21 7 2 2 21 8 8 21 21 2 2 25 2 2 2 2 21 26 7 25 7 25 2 25 8 25 8 2 7 2 21 2 2 8 2 8 2 2 7 7 22 22 21 25 21 2 21 2 21 25 2 34 21 2 21 2 7 21 2 8 8 7 21 21 2 8 34 7 22 7 8 33 2 31 7 7 7 0 7 7 8 2 2 2 1 7 8 7 7 7 7 5 7 7 7 7 7 7 8 8 2 7 38 7 7 7 2 7 13 2 7 7 7 7 7 31 7 2 8 7 7 7 7 33 2 8 8 2 2 7 2 7 2 7 2 31 38 8 2 38 1 7 8 31 7 7 8 8 7 7 7 38 2 2 7 7 7 2 1 0 2 7 8 2 8 7 7 7 8 0 2 19 2 3 2 6 14 2 2 2 2 4 2 0 4 2 37 2 3 3 2 2 3 3 5 2 37 2 2 0 0 0 6 2 19 4 37 0 2 2 19 17 6 0 6 4 6 3 5 5 6 2 2 0 37 37 5 6 5 6 2 6 6 2 4 0 5 0 2 3 5 37 37 0 2 2 2 2 37 5 4 0 5 0 4 4 2 4 2 2 0 4 0 3 2 2 37 0 6"
10,-0.5631,0.8095,"9 16 12 16 37 12 9 9 12 12 9 9 9 16 16 9 10 16 9 16 16 9 12 9 9 12 12 0 11 10 12 12 12 16 12 16 9 0 9 16 12 9 16 12 12 2 9 39 16 12 10 9 16 9 0 9 9 16 16 11 12 9 12 9 12 16 9 16 12 10 9 16 39 16 9 12 41 1 16 39 11 11 3 13 9 12 9 9 10 12 9 2 16 16 39 12 9 16 39 39 2 5 38 0 1 6 2 13 32 31 2 5 38 38 37 19 31 2 2 13 16 38 33 6 13 4 16 2 16 13 2 0 19 0 12 2 2 3 2 5 2 2 2 2 31 3 1 1 2 0 16 1 2 0 38 33 2 3 2 31 2 6 38 6 31 2 16 19 33 3 6 1 1 4 0 31 38 20 2 38 3 37 5 5 37 13 38 6 0 2 21 38 2 38 31 0 6 13 1 37 28 37 29 12 28 2 28 30 1 28 2 0 37 13 28 4 28 12 29 0 28 28 2 30 28 28 28 37 2 36 0 28 28 38 28 28 28 28 28 4 28 28 30 28 12 37 42 28 28 38 28 28 28 28 38 2 28 5 28 5 28 28 3 28 2 30 28 5 1 28 37 29 30 28 28 2 2 28 6 28 0 2 34 28 29 28 28 28 2 0 28 29 29 6 28 28 6 12 30 2 3 3 0 8 38 2 0 3 3 13 38 13 1 0 2 2 2 2 0 2 13 0 0 0 13 13 40 13 2 3 2 0 3 0 8 38 38 2 2 3 2 0 3 0 0 0 0 1 13 3 3 0 2 1 0 3 2 1 2 2 2 3 0 0 2 3 38 3 3 2 3 0 5 38 1 13 1 41 3 3 3 3 2 3 2 3 3 0 2 3 2 1 42 1 0 1 7 5 0 2 0 25 3 25 0 25 0 0 3 0 3 7 13 0 3 38 7 3 7 1 38 27 13 27 0 25 38 3 38 0 25 0 1 0 0 3 41 0 26 3 7 27 27 13 0 38 3 25 39 38 25 0 38 3 1 13 0 0 0 0 0 25 3 1 3 0 7 0 13 3 25 3 27 0 3 25 3 3 26 25 7 0 0 0 3 26 13 1 0 3 0 3 3 0 0 25 7 3 25 0"
