# seed=24
# instance=EXPONENTIAL
# popSize=100
# generations=100
# crossover=BlockUniform(p=0.25)
# mutation=p0=0.05,pMin=0.002,alpha=0.95
# tournamentK=3
# elitism=2
# lambda_similarity=0.3
# fights_per_team=10
# anchors=5
gen,changes,best_fitness,best_winrate,best_similarity,avg_fitness,worst_fitness,best_genome
0,1,-0.5666,0.8462,0.9320,-0.1437,0.2806,"40 13 23 1 32 9 31 1 1 12 16 21 37 42 0 38 35 33 17 2 17 8 18 31 12 22 21 30 40 19 21 22 21 34 21 40 39 24 34 34 17 16 40 41 14 37 1 11 15 2 29 26 30 20 8 32 15 5 27 29 17 27 42 14 0 17 28 35 26 31 7 23 23 33 40 17 7 11 3 21 31 29 27 17 5 37 28 21 41 10 30 2 19 11 7 19 17 40 14 10 23 25 18 13 18 33 26 6 40 17 32 21 39 41 42 19 25 29 40 25 36 18 12 11 9 11 37 41 26 27 1 39 18 0 22 23 41 2 10 11 18 33 40 2 27 35 23 26 13 13 26 1 12 25 16 33 37 23 5 22 13 5 39 8 25 14 29 36 20 38 8 40 23 11 16 36 33 39 14 36 41 6 8 6 12 6 2 23 40 41 3 14 14 31 18 5 4 37 39 1 16 27 8 20 3 40 1 19 37 19 40 41 41 21 28 5 30 36 41 6 18 11 3 6 18 1 7 21 20 24 26 31 38 20 17 9 4 28 23 42 26 39 24 31 30 24 38 35 17 7 12 0 38 17 23 33 13 9 39 10 13 13 21 4 10 30 38 25 29 15 4 42 2 18 27 19 3 8 18 38 22 26 5 15 8 22 16 32 39 28 26 30 9 36 24 24 30 7 13 10 0 26 3 2 11 40 10 37 11 31 19 0 18 16 39 39 40 7 9 34 31 2 10 21 31 5 25 14 0 21 23 21 20 36 20 27 15 39 9 22 20 1 15 10 22 13 2 37 8 18 37 42 6 39 35 36 6 39 19 26 36 39 0 38 34 20 42 11 30 23 21 2 1 22 1 7 13 29 35 1 13 35 41 22 36 13 13 25 29 9 3 23 11 36 10 31 0 0 42 8 11 30 26 3 11 42 21 20 1 10 12 10 7 7 36 42 13 0 11 32 25 28 4 7 4 20 33 38 4 4 35 11 30 41 17 28 24 38 21 4 19 25 0 10 38 11 11 4 38 39 2 5 0 40 13 38 21 41 6 9 4 33 9 33 27 30 21 6 15 4 42 25 6 42 25 40 17 41 22 34 12 12 34 8 34 18 42 38 38 1 18 8 20 15 38 10 27 38 0 8"
1,2,-0.8271,1.0000,0.5763,-0.1907,0.2818,"10 16 2 27 25 0 25 25 12 12 8 2 25 25 25 2 16 25 2 25 25 27 16 25 25 16 25 27 12 26 12 2 2 25 25 27 16 25 27 25 16 35 16 25 25 4 25 25 2 27 16 12 25 16 25 16 25 18 25 2 26 16 25 25 12 25 27 16 26 27 27 6 13 2 25 2 25 25 25 2 25 25 26 25 2 25 25 4 26 16 26 25 26 22 25 3 26 26 25 25 42 39 10 38 39 2 12 42 39 16 12 39 12 39 39 39 39 16 39 39 16 12 39 39 16 39 42 9 39 42 39 42 42 39 39 39 39 42 2 42 39 16 39 0 2 39 42 39 39 3 16 42 12 39 2 39 42 39 30 26 42 42 39 11 39 38 12 42 12 39 9 39 16 39 10 16 9 10 12 39 39 2 0 39 39 39 42 5 42 12 12 42 16 39 2 42 39 39 2 2 12 12 18 12 18 17 12 34 18 34 36 12 34 17 12 12 12 18 36 12 12 17 17 12 12 12 18 17 17 12 18 12 18 17 12 12 18 18 12 17 21 18 17 36 34 12 12 12 34 12 18 22 12 34 36 12 36 12 18 12 12 12 12 27 12 12 21 35 12 34 34 12 34 17 32 12 34 18 34 12 34 34 12 34 18 17 12 12 34 12 18 36 34 34 34 35 12 34 36 17 28 31 31 31 36 14 16 30 32 31 31 31 31 31 16 32 31 31 12 31 31 32 33 16 21 31 31 28 36 31 31 31 31 31 31 30 28 28 31 31 31 31 28 31 16 31 31 31 25 30 31 31 31 16 31 31 12 28 12 16 28 31 12 31 31 33 16 31 32 31 31 31 29 31 33 34 2 31 28 36 38 31 31 28 34 33 28 31 28 28 34 34 31 31 28 31 31 29 28 28 11 9 9 9 7 9 10 7 9 12 11 9 9 30 9 12 10 10 9 11 9 10 7 9 9 11 12 9 30 9 12 9 24 12 8 28 9 30 28 9 10 11 28 10 10 9 12 12 9 12 9 5 9 7 37 11 11 9 9 9 9 30 9 9 9 30 9 9 12 7 10 7 29 9 9 10 10 12 27 9 9 9 29 9 9 9 10 9 9 22 9 10 9 12 7 9 9 9 9 9"
2,2,-0.8185,1.0000,0.6049,-0.2300,0.1828,"10 16 2 27 25 0 25 25 12 12 8 2 25 25 25 2 16 25 2 25 25 27 16 25 25 16 25 27 12 26 12 2 2 25 25 27 16 25 27 25 16 35 16 25 25 4 25 25 2 27 16 12 25 16 25 16 25 18 25 2 26 16 25 25 12 25 27 16 26 27 27 6 13 2 25 2 25 25 25 2 25 25 26 25 2 25 25 4 26 16 26 25 26 22 25 3 26 26 25 25 42 39 10 38 39 2 12 42 39 16 12 39 12 39 39 39 39 16 39 39 16 12 39 39 16 39 42 9 39 42 39 42 42 39 39 39 39 42 2 42 39 16 39 0 2 39 42 39 39 3 16 42 12 39 2 39 42 39 30 26 42 42 39 11 39 38 12 42 12 39 9 39 16 39 10 16 9 10 12 39 39 2 0 39 39 39 42 5 42 12 12 42 16 39 2 42 39 39 2 2 12 12 18 12 18 17 12 34 18 34 36 12 34 17 12 12 12 18 36 12 12 17 17 12 12 12 18 17 17 12 18 12 18 17 12 12 18 18 12 17 21 18 17 36 34 12 12 12 34 12 18 22 12 34 36 12 36 12 18 12 12 12 12 27 12 12 21 35 12 34 34 12 34 17 32 12 34 18 34 12 34 34 12 34 18 17 12 12 34 12 18 36 34 34 34 35 12 34 36 17 28 31 31 31 36 14 16 30 32 31 31 31 31 31 16 32 31 31 12 31 31 32 33 16 21 31 31 28 36 31 31 31 31 31 31 30 28 28 31 31 31 31 28 31 16 31 31 31 25 30 31 31 31 16 31 31 12 28 12 16 28 31 12 31 31 33 16 31 32 31 31 31 29 31 33 34 2 31 28 36 38 31 31 28 34 33 28 31 28 28 34 34 31 31 28 31 31 29 28 28 11 9 9 9 7 9 10 7 9 12 11 9 9 30 9 12 10 10 9 11 9 10 7 9 9 11 12 9 30 9 12 9 24 12 8 28 9 30 28 9 10 11 28 10 10 9 12 12 9 12 9 5 9 7 37 11 11 9 9 9 9 30 9 9 9 30 9 9 12 7 10 7 29 9 9 10 10 12 27 9 9 9 29 9 9 9 10 9 9 22 9 10 9 12 7 9 9 9 9 9"
3,2,-0.8150,1.0000,0.6166,-0.2462,0.1735,"10 16 2 27 25 0 25 25 12 12 8 2 25 25 25 2 16 25 2 25 25 27 16 25 25 16 25 27 12 26 12 2 2 25 25 27 16 25 27 25 16 35 16 25 25 4 25 25 2 27 16 12 25 16 25 16 25 18 25 2 26 16 25 25 12 25 27 16 26 27 27 6 13 2 25 2 25 25 25 2 25 25 26 25 2 25 25 4 26 16 26 25 26 22 25 3 26 26 25 25 42 39 10 38 39 2 12 42 39 16 12 39 12 39 39 39 39 16 39 39 16 12 39 39 16 39 42 9 39 42 39 42 42 39 39 39 39 42 2 42 39 16 39 0 2 39 42 39 39 3 16 42 12 39 2 39 42 39 30 26 42 42 39 11 39 38 12 42 12 39 9 39 16 39 10 16 9 10 12 39 39 2 0 39 39 39 42 5 42 12 12 42 16 39 2 42 39 39 2 2 12 12 18 12 18 17 12 34 18 34 36 12 34 17 12 12 12 18 36 12 12 17 17 12 12 12 18 17 17 12 18 12 18 17 12 12 18 18 12 17 21 18 17 36 34 12 12 12 34 12 18 22 12 34 36 12 36 12 18 12 12 12 12 27 12 12 21 35 12 34 34 12 34 17 32 12 34 18 34 12 34 34 12 34 18 17 12 12 34 12 18 36 34 34 34 35 12 34 36 17 28 31 31 31 36 14 16 30 32 31 31 31 31 31 16 32 31 31 12 31 31 32 33 16 21 31 31 28 36 31 31 31 31 31 31 30 28 28 31 31 31 31 28 31 16 31 31 31 25 30 31 31 31 16 31 31 12 28 12 16 28 31 12 31 31 33 16 31 32 31 31 31 29 31 33 34 2 31 28 36 38 31 31 28 34 33 28 31 28 28 34 34 31 31 28 31 31 29 28 28 11 9 9 9 7 9 10 7 9 12 11 9 9 30 9 12 10 10 9 11 9 10 7 9 9 11 12 9 30 9 12 9 24 12 8 28 9 30 28 9 10 11 28 10 10 9 12 12 9 12 9 5 9 7 37 11 11 9 9 9 9 30 9 9 9 30 9 9 12 7 10 7 29 9 9 10 10 12 27 9 9 9 29 9 9 9 10 9 9 22 9 10 9 12 7 9 9 9 9 9"
4,2,-0.7713,0.9565,0.6173,-0.2680,0.1710,"10 16 2 27 25 0 25 25 12 12 8 2 25 25 25 2 16 25 2 25 25 27 16 25 25 16 25 27 12 26 12 2 2 25 25 27 16 25 27 25 16 35 16 25 25 4 25 25 2 27 16 12 25 16 25 16 25 18 25 2 26 16 25 25 12 25 27 16 26 27 27 6 13 2 25 2 25 25 25 2 25 25 26 25 2 25 25 4 26 16 26 25 26 22 25 3 26 26 25 25 42 39 10 38 39 2 12 42 39 16 12 39 12 39 39 39 39 16 39 39 16 12 39 39 16 39 42 9 39 42 39 42 42 39 39 39 39 42 2 42 39 16 39 0 2 39 42 39 39 3 16 42 12 39 2 39 42 39 30 26 42 42 39 11 39 38 12 42 12 39 9 39 16 39 10 16 9 10 12 39 39 2 0 39 39 39 42 5 42 12 12 42 16 39 2 42 39 39 2 2 12 12 18 12 18 17 12 34 18 34 36 12 34 17 12 12 12 18 36 12 12 17 17 12 12 12 18 17 17 12 18 12 18 17 12 12 18 18 12 17 21 18 17 36 34 12 12 12 34 12 18 22 12 34 36 12 36 12 18 12 12 12 12 27 12 12 21 35 12 34 34 12 34 17 32 12 34 18 34 12 34 34 12 34 18 17 12 12 34 12 18 36 34 34 34 35 12 34 36 17 28 31 31 31 36 14 16 30 32 31 31 31 31 31 16 32 31 31 12 31 31 32 33 16 21 31 31 28 36 31 31 31 31 31 31 30 28 28 31 31 31 31 28 31 16 31 31 31 25 30 31 31 31 16 31 31 12 28 12 16 28 31 12 31 31 33 16 31 32 31 31 31 29 31 33 34 2 31 28 36 38 31 31 28 34 33 28 31 28 28 34 34 31 31 28 31 31 29 28 28 11 9 9 9 7 9 10 7 9 12 11 9 9 30 9 12 10 10 9 11 9 10 7 9 9 11 12 9 30 9 12 9 24 12 8 28 9 30 28 9 10 11 28 10 10 9 12 12 9 12 9 5 9 7 37 11 11 9 9 9 9 30 9 9 9 30 9 9 12 7 10 7 29 9 9 10 10 12 27 9 9 9 29 9 9 9 10 9 9 22 9 10 9 12 7 9 9 9 9 9"
5,2,-0.8240,1.0000,0.5865,-0.2702,0.1495,"10 16 2 27 25 0 25 25 12 12 8 2 25 25 25 2 16 25 2 25 25 27 16 25 25 16 25 27 12 26 12 2 2 25 25 27 16 25 27 25 16 35 16 25 25 4 25 25 2 27 16 12 25 16 25 16 25 18 25 2 26 16 25 25 12 25 27 16 26 27 27 6 13 2 25 2 25 25 25 2 25 25 26 25 2 25 25 4 26 16 26 25 26 22 25 3 26 26 25 25 42 39 10 38 39 2 12 42 39 16 12 39 12 39 39 39 39 16 39 39 16 12 39 39 16 39 42 9 39 42 39 42 42 39 39 39 39 42 2 42 39 16 39 0 2 39 42 39 39 3 16 42 12 39 2 39 42 39 30 26 42 42 39 11 39 38 12 42 12 39 9 39 16 39 10 16 9 10 12 39 39 2 0 39 39 39 42 5 42 12 12 42 16 39 2 42 39 39 2 2 12 12 18 12 18 17 12 34 18 34 36 12 34 17 12 12 12 18 36 12 12 17 17 12 12 12 18 17 17 12 18 12 18 17 12 12 18 18 12 17 21 18 17 36 34 12 12 12 34 12 18 22 12 34 36 12 36 12 18 12 12 12 12 27 12 12 21 35 12 34 34 12 34 17 32 12 34 18 34 12 34 34 12 34 18 17 12 12 34 12 18 36 34 34 34 35 12 34 36 17 28 31 31 31 36 14 16 30 32 31 31 31 31 31 16 32 31 31 12 31 31 32 33 16 21 31 31 28 36 31 31 31 31 31 31 30 28 28 31 31 31 31 28 31 16 31 31 31 25 30 31 31 31 16 31 31 12 28 12 16 28 31 12 31 31 33 16 31 32 31 31 31 29 31 33 34 2 31 28 36 38 31 31 28 34 33 28 31 28 28 34 34 31 31 28 31 31 29 28 28 11 9 9 9 7 9 10 7 9 12 11 9 9 30 9 12 10 10 9 11 9 10 7 9 9 11 12 9 30 9 12 9 24 12 8 28 9 30 28 9 10 11 28 10 10 9 12 12 9 12 9 5 9 7 37 11 11 9 9 9 9 30 9 9 9 30 9 9 12 7 10 7 29 9 9 10 10 12 27 9 9 9 29 9 9 9 10 9 9 22 9 10 9 12 7 9 9 9 9 9"
6,2,-0.8083,1.0000,0.6390,-0.2789,0.1674,"10 16 2 27 25 0 25 25 12 12 8 2 25 25 25 2 16 25 2 25 25 27 16 25 25 16 25 27 12 26 12 2 2 25 25 27 16 25 27 25 16 35 16 25 25 4 25 25 2 27 16 12 25 16 25 16 25 18 25 2 26 16 25 25 12 25 27 16 26 27 27 6 13 2 25 2 25 25 25 2 25 25 26 25 2 25 25 4 26 16 26 25 26 22 25 3 26 26 25 25 42 39 10 38 39 2 12 42 39 16 12 39 12 39 39 39 39 16 39 39 16 12 39 39 16 39 42 9 39 42 39 42 42 39 39 39 39 42 2 42 39 16 39 0 2 39 42 39 39 3 16 42 12 39 2 39 42 39 30 26 42 42 39 11 39 38 12 42 12 39 9 39 16 39 10 16 9 10 12 39 39 2 0 39 39 39 42 5 42 12 12 42 16 39 2 42 39 39 2 2 12 12 18 12 18 17 12 34 18 34 36 12 34 17 12 12 12 18 36 12 12 17 17 12 12 12 18 17 17 12 18 12 18 17 12 12 18 18 12 17 21 18 17 36 34 12 12 12 34 12 18 22 12 34 36 12 36 12 18 12 12 12 12 27 12 12 21 35 12 34 34 12 34 17 32 12 34 18 34 12 34 34 12 34 18 17 12 12 34 12 18 36 34 34 34 35 12 34 36 17 28 31 31 31 36 14 16 30 32 31 31 31 31 31 16 32 31 31 12 31 31 32 33 16 21 31 31 28 36 31 31 31 31 31 31 30 28 28 31 31 31 31 28 31 16 31 31 31 25 30 31 31 31 16 31 31 12 28 12 16 28 31 12 31 31 33 16 31 32 31 31 31 29 31 33 34 2 31 28 36 38 31 31 28 34 33 28 31 28 28 34 34 31 31 28 31 31 29 28 28 11 9 9 9 7 9 10 7 9 12 11 9 9 30 9 12 10 10 9 11 9 10 7 9 9 11 12 9 30 9 12 9 24 12 8 28 9 30 28 9 10 11 28 10 10 9 12 12 9 12 9 5 9 7 37 11 11 9 9 9 9 30 9 9 9 30 9 9 12 7 10 7 29 9 9 10 10 12 27 9 9 9 29 9 9 9 10 9 9 22 9 10 9 12 7 9 9 9 9 9"
7,3,-0.8317,1.0000,0.5611,-0.2930,0.1644,"12 12 25 25 12 12 16 25 10 12 2 16 2 2 27 25 25 12 12 25 9 12 16 12 16 12 10 25 25 12 25 25 12 11 25 16 2 25 25 16 25 33 25 2 16 12 27 12 27 16 25 25 12 25 12 27 16 27 16 16 26 12 25 25 2 2 25 16 16 16 12 26 12 16 16 16 12 2 25 12 25 16 16 16 25 12 12 26 25 16 9 25 16 12 16 2 16 12 12 16 7 7 7 7 22 16 42 8 37 27 7 13 34 27 7 1 13 34 25 7 21 42 7 7 8 12 26 42 25 42 42 2 27 7 42 16 25 42 7 42 7 8 7 7 16 7 7 7 12 7 7 7 7 7 7 7 7 8 42 7 7 8 7 25 7 8 7 7 26 7 42 7 8 7 8 7 7 7 7 42 7 7 12 8 7 42 42 25 7 7 25 5 8 12 7 7 8 8 7 12 13 13 3 26 13 3 3 13 8 25 3 0 3 1 3 3 7 3 38 0 7 34 25 8 1 7 7 1 7 34 7 38 0 1 13 7 0 38 0 7 38 13 13 13 13 38 8 7 7 7 26 7 13 0 0 8 7 7 0 25 7 3 38 13 0 1 7 7 1 34 1 3 7 7 13 3 3 0 0 25 7 7 0 7 25 0 13 7 1 0 25 1 7 3 0 1 0 8 25 7 29 21 28 30 28 21 28 30 28 30 28 29 21 20 28 28 22 28 29 21 21 12 19 12 30 28 29 21 19 28 28 22 12 12 12 28 28 12 28 21 28 28 28 28 30 12 22 28 28 28 21 28 31 28 12 19 29 28 21 29 28 28 31 21 22 28 28 20 22 29 28 28 28 21 28 28 21 28 28 22 31 12 28 28 12 19 28 21 21 28 28 28 30 30 21 28 31 21 12 19 33 23 31 31 24 9 2 33 23 12 23 31 12 31 31 31 31 31 31 12 32 32 40 31 31 32 31 31 31 12 31 31 23 31 12 31 31 31 31 31 31 31 2 11 31 33 31 32 32 31 23 31 31 31 33 31 31 32 0 33 31 23 33 31 32 24 24 31 33 31 33 12 31 2 31 31 12 31 12 31 31 31 31 33 31 31 12 12 24 31 12 11 33 31 33 11 31 24 32 2"
8,4,-0.8525,1.0000,0.4917,-0.2900,0.1953,"12 12 25 25 12 12 16 25 10 12 2 16 2 2 27 25 25 12 12 25 9 12 16 12 16 12 10 25 25 12 25 25 12 11 25 16 2 25 25 16 25 33 25 2 16 12 27 12 27 16 25 25 12 25 12 27 16 27 16 16 26 12 25 25 2 2 25 16 16 16 12 26 12 16 16 16 12 2 25 12 25 16 16 16 25 12 12 26 25 16 9 25 16 12 16 2 16 12 12 16 7 7 7 7 22 16 42 8 37 27 7 13 34 27 7 1 13 34 25 7 21 42 7 7 8 12 26 42 25 42 42 2 27 7 42 16 25 42 7 42 7 8 7 7 16 7 7 7 12 7 7 7 7 7 7 7 7 8 42 7 7 8 7 25 7 8 7 7 26 7 42 7 8 7 8 7 7 7 7 42 7 7 12 8 7 42 42 25 7 7 25 5 8 12 7 7 8 8 7 12 13 13 3 26 13 3 3 13 8 25 3 0 3 1 3 3 7 3 38 0 7 34 25 8 1 7 7 1 7 34 7 38 0 1 13 7 0 38 0 7 38 13 13 13 13 38 8 7 7 7 26 7 13 0 0 8 7 7 0 25 7 3 38 13 0 1 7 7 1 34 1 3 7 7 13 3 3 0 0 25 7 7 0 7 25 0 13 7 1 0 25 1 7 3 0 1 0 8 25 7 29 21 28 30 28 21 28 30 28 30 28 29 21 20 28 28 22 28 29 21 21 12 19 12 30 28 29 21 19 28 28 22 12 12 12 28 28 12 28 21 28 28 28 28 30 12 22 28 28 28 21 28 31 28 12 19 29 28 21 29 28 28 31 21 22 28 28 20 22 29 28 28 28 21 28 28 21 28 28 22 31 12 28 28 12 19 28 21 21 28 28 28 30 30 21 28 31 21 12 19 33 23 31 31 24 9 2 33 23 12 23 31 12 31 31 31 31 31 31 12 32 32 40 31 31 32 31 31 31 12 31 31 23 31 12 31 31 31 31 31 31 31 2 11 31 33 31 32 32 31 23 31 31 31 33 31 31 32 0 33 31 23 33 31 32 24 24 31 33 31 33 12 31 2 31 31 12 31 12 31 31 31 31 33 31 31 12 12 24 31 12 11 33 31 33 11 31 24 32 2"
9,5,-0.8540,1.0000,0.4867,-0.2961,0.2048,"12 12 25 25 12 12 16 25 10 12 2 16 2 2 27 25 25 12 12 25 9 12 16 12 16 12 10 25 25 12 25 25 12 11 25 16 2 25 25 16 25 33 25 2 16 12 27 12 27 16 25 25 12 25 12 27 16 27 16 16 26 12 25 25 2 2 25 16 16 16 12 26 12 16 16 16 12 2 25 12 25 16 16 16 25 12 12 26 25 16 9 25 16 12 16 2 16 12 12 16 7 7 7 7 22 16 42 8 37 27 7 13 34 27 7 1 13 34 25 7 21 42 7 7 8 12 26 42 25 42 42 2 27 7 42 16 25 42 7 42 7 8 7 7 16 7 7 7 12 7 7 7 7 7 7 7 7 8 42 7 7 8 7 25 7 8 7 7 26 7 42 7 8 7 8 7 7 7 7 42 7 7 12 8 7 42 42 25 7 7 25 5 8 12 7 7 8 8 7 12 13 13 3 26 13 3 3 13 8 25 3 0 3 1 3 3 7 3 38 0 7 34 25 8 1 7 7 1 7 34 7 38 0 1 13 7 0 38 0 7 38 13 13 13 13 38 8 7 7 7 26 7 13 0 0 8 7 7 0 25 7 3 38 13 0 1 7 7 1 34 1 3 7 7 13 3 3 0 0 25 7 7 0 7 25 0 13 7 1 0 25 1 7 3 0 1 0 8 25 7 29 21 28 30 28 21 28 30 28 30 28 29 21 20 28 28 22 28 29 21 21 12 19 12 30 28 29 21 19 28 28 22 12 12 12 28 28 12 28 21 28 28 28 28 30 12 22 28 28 28 21 28 31 28 12 19 29 28 21 29 28 28 31 21 22 28 28 20 22 29 28 28 28 21 28 28 21 28 28 22 31 12 28 28 12 19 28 21 21 28 28 28 30 30 21 28 31 21 12 19 33 23 31 31 24 9 2 33 23 12 23 31 12 31 31 31 31 31 31 12 32 32 40 31 31 32 31 31 31 12 31 31 23 31 12 31 31 31 31 31 31 31 2 11 31 33 31 32 32 31 23 31 31 31 33 31 31 32 0 33 31 23 33 31 32 24 24 31 33 31 33 12 31 2 31 31 12 31 12 31 31 31 31 33 31 31 12 12 24 31 12 11 33 31 33 11 31 24 32 2"
