rank,fitness,winrate,genome
1,-0.7910,1.0000,"17 39 25 25 39 0 39 39 3 0 39 0 0 39 39 39 0 0 25 39 39 17 0 0 39 41 26 25 39 39 42 0 39 26 0 25 39 39 25 39 17 39 12 39 39 39 27 39 39 0 39 39 12 31 39 0 25 39 12 25 0 0 3 25 26 39 0 27 25 26 26 25 12 39 17 0 25 25 3 39 12 0 0 39 12 39 0 12 17 39 26 39 12 25 3 12 0 39 39 25 42 3 2 0 0 2 16 2 3 12 9 0 0 2 3 0 3 2 2 2 2 10 34 0 0 12 0 0 11 0 2 0 3 2 42 2 12 10 3 42 9 16 11 3 2 12 0 10 3 42 2 2 42 12 16 0 0 11 2 9 2 42 2 2 2 16 3 2 0 42 2 16 16 2 0 3 0 2 42 42 42 3 42 16 3 9 0 2 16 12 2 3 3 11 0 3 0 2 42 0 29 0 12 0 0 28 28 29 12 29 0 30 12 29 12 12 30 30 28 28 12 30 12 28 28 30 30 28 29 28 29 29 29 28 28 12 30 29 28 8 28 12 12 41 28 41 28 12 3 28 12 12 28 3 12 30 3 41 12 30 30 0 28 12 28 12 28 12 12 0 12 12 28 30 1 28 12 0 0 8 29 29 41 29 12 12 28 28 12 28 28 12 28 30 2 12 12 12 0 28 24 0 38 24 37 0 23 0 13 3 0 3 23 3 3 23 2 23 3 1 23 23 24 0 0 23 23 23 23 2 3 23 13 24 3 2 1 0 0 3 3 3 3 3 0 0 5 23 3 0 0 0 0 38 0 3 5 23 0 0 3 0 13 37 0 3 3 23 0 0 38 0 0 0 0 23 6 24 3 37 3 23 23 23 2 23 1 2 2 3 3 3 3 0 0 3 23 1 24 41 0 38 37 3 3 41 0 3 1 3 13 1 0 38 0 41 0 13 41 0 0 3 1 1 3 13 3 1 0 1 34 41 13 3 3 1 0 38 13 34 41 3 41 3 38 13 3 41 38 1 1 38 38 0 38 13 0 13 13 41 3 0 1 3 13 13 38 41 1 38 0 3 1 13 38 13 38 1 6 0 3 3 0 1 1 3 38 38 1 1 3 38 41 13 41 38 38 13 38 38"
2,-0.7777,1.0000,"17 39 25 25 39 0 39 39 3 0 39 0 0 39 39 39 0 0 25 39 39 17 0 0 39 41 26 25 39 39 3 0 39 26 0 25 39 39 25 39 17 39 12 39 39 39 27 39 39 0 39 39 12 31 39 0 25 39 12 25 0 0 3 25 26 39 0 27 25 26 26 25 12 39 17 0 25 25 3 39 12 0 0 39 12 39 0 12 17 39 26 39 12 25 3 12 0 39 39 25 42 2 5 0 6 2 5 2 3 12 9 0 6 2 3 0 3 2 6 2 2 10 37 0 0 6 0 0 2 0 2 4 3 2 42 2 12 10 3 2 2 16 11 3 2 12 37 10 3 6 2 5 42 4 5 0 0 11 2 6 2 2 2 2 6 16 3 4 0 42 6 37 16 2 0 3 0 2 42 42 6 3 42 16 3 9 6 2 16 12 2 3 3 4 0 3 0 2 2 4 37 5 2 25 42 25 37 25 25 42 37 42 42 27 4 42 42 37 42 25 42 6 25 42 25 25 42 25 37 26 42 4 4 37 42 42 25 25 25 5 42 42 4 42 42 42 42 25 25 42 42 27 2 6 37 42 2 42 42 5 4 25 25 37 1 4 2 2 42 5 25 42 42 25 37 25 42 42 27 2 42 2 25 2 25 17 42 25 27 4 25 42 2 42 42 27 42 12 42 4 0 2 0 0 0 16 37 3 13 2 0 23 2 2 0 0 6 23 0 0 0 4 3 0 4 23 23 23 2 0 3 23 13 3 3 2 0 0 2 41 2 0 1 37 2 2 2 0 2 37 0 0 3 38 2 3 0 2 3 2 3 2 3 37 6 2 3 2 2 0 38 6 6 3 3 2 3 2 2 4 0 2 4 23 3 23 2 2 3 2 5 3 37 0 0 13 2 0 24 23 2 10 40 2 2 2 40 40 2 40 9 2 3 2 2 0 17 40 9 11 40 40 11 19 3 40 9 11 2 11 11 2 41 2 9 2 2 0 10 9 40 41 40 2 10 41 2 3 13 10 2 2 0 2 2 13 3 38 0 2 0 2 2 38 2 10 40 0 40 10 1 11 2 40 38 40 2 2 11 2 40 10 40 2 38 2 2 40 10 2 0 11 40 2 2 2 41 11 2 41"
3,-0.7754,1.0000,"17 39 25 25 39 0 39 39 3 0 39 0 0 39 39 39 0 0 25 39 39 17 0 0 39 41 26 25 39 39 3 0 39 26 0 25 39 39 25 39 17 39 12 39 39 39 27 39 39 0 39 39 12 31 39 0 25 39 12 25 0 0 3 25 26 39 0 27 25 26 26 25 12 39 17 0 25 25 3 39 12 0 0 39 12 39 0 12 17 39 26 39 12 25 3 12 0 39 39 25 42 2 5 0 6 2 5 2 3 12 9 0 6 2 3 0 3 2 6 2 2 10 37 0 0 6 0 0 2 0 2 4 3 2 42 2 12 10 3 2 2 16 11 3 2 12 37 10 3 6 2 5 42 4 5 0 0 11 2 6 2 2 2 2 6 16 3 4 0 42 6 37 16 2 0 3 0 2 42 42 6 3 42 16 3 9 6 2 16 12 2 3 3 4 0 3 0 2 2 4 37 5 2 25 42 25 37 25 25 42 37 42 42 27 4 42 42 37 42 25 42 6 25 42 25 25 42 25 37 26 42 4 4 37 42 42 25 25 25 5 42 42 4 42 42 42 42 25 25 42 42 27 2 6 37 42 2 42 42 5 4 25 25 37 1 4 2 2 42 5 25 42 42 25 37 25 42 42 27 2 42 2 25 2 25 17 42 25 27 4 25 42 2 42 42 27 42 12 42 4 0 2 0 0 0 16 37 3 13 2 0 23 2 2 0 0 6 23 0 0 0 4 3 0 4 23 23 23 2 0 3 23 13 3 3 2 0 0 2 41 2 0 1 37 2 2 2 0 2 37 0 0 3 38 2 3 0 2 3 2 3 2 3 37 6 2 3 2 2 0 38 6 6 3 3 2 3 2 2 4 0 2 4 23 3 23 2 42 3 2 5 3 37 0 0 13 2 0 24 23 2 10 40 2 2 2 40 40 2 40 9 2 3 2 2 0 17 40 9 11 40 40 11 19 3 40 9 11 2 11 11 2 41 2 9 2 2 0 10 9 40 41 40 2 10 41 2 3 13 10 2 2 0 2 2 13 3 38 0 2 0 2 2 38 2 10 40 0 40 10 1 11 2 40 38 40 2 2 11 2 40 10 40 2 38 2 2 40 10 2 0 11 40 2 2 2 41 11 2 41"
4,-0.7701,1.0000,"17 39 25 25 39 0 39 39 3 0 39 0 0 39 39 39 0 0 25 39 39 17 0 0 39 41 26 25 39 39 3 0 39 26 0 25 39 39 25 39 17 39 12 39 39 39 27 39 39 0 39 39 12 31 39 0 25 39 12 25 0 0 3 25 26 39 0 27 25 26 26 25 12 39 17 0 25 25 3 39 12 0 0 39 12 39 0 12 17 39 26 39 12 25 3 12 0 39 39 25 42 2 5 0 6 2 5 2 3 12 9 0 6 2 3 0 3 2 6 2 2 10 37 0 0 6 0 0 2 0 2 4 3 2 42 2 12 10 3 2 2 16 11 3 2 12 37 10 3 6 2 5 42 4 5 0 0 11 2 6 2 2 2 2 6 16 3 4 0 42 6 37 16 2 0 3 0 2 42 42 6 3 42 16 3 9 6 2 16 12 2 3 3 4 0 3 0 2 2 4 37 5 2 25 42 25 37 25 25 42 37 42 42 27 4 42 42 37 42 25 42 6 25 42 25 25 42 25 37 26 42 4 4 37 42 42 25 25 25 5 42 42 4 42 42 42 42 25 25 42 42 27 2 6 37 42 2 42 42 5 4 25 25 37 1 4 2 2 42 5 25 42 42 25 37 25 42 42 27 2 42 2 25 2 25 17 42 25 27 4 25 42 2 42 42 27 42 12 42 4 0 2 0 0 0 16 37 3 13 2 0 23 2 2 0 0 6 23 0 0 0 4 3 0 4 23 23 23 2 0 3 23 13 3 3 2 0 0 2 41 2 0 1 37 2 2 2 0 2 37 0 0 3 38 2 3 0 2 3 2 3 2 3 37 6 2 3 2 2 0 38 6 6 3 3 2 3 2 2 4 0 2 4 23 3 23 2 2 3 2 5 3 37 0 0 13 2 0 24 23 2 10 40 2 2 2 40 40 2 40 9 2 3 2 2 0 17 40 9 11 40 40 11 19 3 40 9 11 2 11 11 2 41 2 9 2 2 0 10 9 40 41 40 2 10 41 2 3 13 10 2 2 0 2 2 13 3 38 0 2 0 2 2 38 2 10 40 0 40 10 1 11 2 40 38 40 2 2 11 2 40 10 40 2 38 2 2 40 10 2 0 11 40 2 2 2 41 11 2 41"
5,-0.7681,0.9583,"17 39 25 25 39 0 39 39 3 0 39 0 0 39 39 39 0 0 25 39 39 17 0 0 39 41 26 25 39 39 42 0 39 26 0 25 39 39 25 39 17 39 12 39 39 39 27 39 39 0 39 39 12 31 39 0 25 39 12 25 0 0 3 25 26 39 0 27 25 26 26 25 12 39 17 0 25 25 3 39 12 0 0 39 12 39 0 12 17 39 26 39 12 25 3 12 0 39 39 25 0 3 0 2 3 0 6 6 37 2 4 2 5 39 0 39 2 0 4 2 5 2 0 2 11 2 2 2 0 3 2 4 3 39 6 2 6 0 37 2 37 2 37 37 37 39 5 2 9 2 3 2 2 2 3 6 2 4 3 2 39 5 3 3 2 2 5 3 3 2 2 2 2 2 39 2 2 4 6 2 0 37 2 3 2 2 6 0 5 2 2 2 2 2 37 2 2 2 3 2 2 3 2 0 2 2 2 4 3 3 13 36 2 3 0 34 2 2 6 2 2 3 2 34 21 2 35 2 2 4 2 2 38 2 1 2 2 0 2 2 2 0 2 0 2 2 2 3 36 34 6 12 2 2 34 2 2 25 0 36 5 37 6 2 2 2 37 2 2 0 2 2 2 0 2 0 4 22 0 2 2 0 2 13 2 2 2 4 2 2 0 13 0 4 1 2 2 2 2 34 13 21 20 13 20 38 21 22 0 23 0 21 1 13 21 3 3 21 38 21 0 1 1 13 23 22 0 0 22 22 21 21 38 21 21 3 21 22 3 21 21 21 21 13 1 13 1 21 13 12 21 38 0 3 0 1 21 22 3 21 38 21 3 3 0 21 3 1 1 21 3 21 23 3 13 38 1 21 1 0 13 21 13 38 0 23 1 42 0 21 23 9 23 22 21 21 0 1 13 3 22 21 34 36 34 21 34 35 22 36 34 34 34 21 34 34 34 9 22 22 21 34 34 21 21 34 34 22 21 21 21 21 35 21 21 34 21 3 21 21 35 21 22 16 22 35 34 34 21 21 21 22 34 21 34 25 34 34 9 34 21 34 34 21 22 21 21 21 22 34 21 21 22 21 21 21 21 25 34 9 21 21 35 22 34 22 21 34 21 21 35 21 3 34 21 9 21 21 21 22"
6,-0.7634,1.0000,"17 39 25 25 39 0 39 39 3 0 39 0 0 39 39 39 0 0 25 39 39 17 0 0 39 41 26 25 39 39 3 0 39 26 0 25 39 39 25 39 17 39 12 39 39 39 27 39 39 0 39 39 12 31 39 0 25 39 12 25 0 0 3 25 26 39 0 27 25 26 26 25 12 39 17 0 25 25 3 39 12 0 0 39 12 39 0 12 17 39 26 39 12 25 3 12 0 39 39 25 42 2 5 0 6 2 5 2 3 12 9 0 6 2 3 0 3 2 6 2 2 10 37 0 0 6 0 0 2 0 2 4 3 2 42 2 12 10 3 2 2 16 11 3 2 12 37 10 3 6 2 5 42 4 5 0 0 11 2 6 2 2 2 2 6 16 3 4 0 42 6 37 16 2 0 3 0 2 42 42 6 3 42 16 3 9 6 2 16 12 2 3 3 4 0 3 0 2 2 4 0 3 38 3 0 38 6 1 13 3 13 13 3 13 0 38 3 3 2 3 3 0 38 34 21 0 35 2 3 3 3 41 0 3 1 42 3 1 2 13 2 0 3 0 2 0 0 3 13 3 34 3 3 38 3 2 2 0 0 36 13 0 38 2 3 3 38 3 3 0 0 13 3 0 1 3 1 22 0 0 2 0 38 0 0 3 4 1 38 6 13 13 0 3 3 0 0 0 3 34 12 18 14 17 12 17 12 12 12 12 18 12 12 12 12 18 17 12 12 18 6 17 12 18 18 14 12 12 17 12 18 34 12 12 12 12 12 12 12 12 18 12 18 12 12 5 17 18 12 17 17 18 12 12 12 12 12 18 12 12 15 12 12 17 12 12 17 15 12 12 18 12 18 18 12 12 12 12 12 12 12 12 12 12 12 12 12 18 12 2 4 18 12 12 17 18 12 12 17 12 2 10 40 2 2 2 40 40 2 40 9 2 3 2 2 0 17 40 9 11 40 40 11 19 3 40 9 11 2 11 11 2 41 2 9 2 2 0 10 9 40 41 40 2 10 41 2 3 13 10 2 2 0 2 2 13 3 38 0 2 0 2 2 38 2 10 40 0 40 10 1 11 2 40 38 40 2 2 11 2 40 10 40 2 38 2 2 40 10 2 0 11 40 2 2 2 41 11 2 41"
7,-0.7623,0.9667,"17 39 25 25 39 0 39 39 3 0 39 0 0 39 39 39 0 0 25 39 39 17 0 0 39 41 26 25 39 39 42 0 39 26 0 25 39 39 25 39 17 39 12 39 39 39 27 39 39 0 39 39 12 31 39 0 25 39 12 25 0 0 3 25 26 39 0 27 25 26 26 25 12 39 17 0 25 25 3 39 12 0 0 39 12 39 0 12 17 39 26 39 12 25 3 12 0 39 39 25 0 3 0 2 3 0 6 6 37 2 4 2 5 39 0 39 2 0 4 2 5 2 0 2 11 2 2 2 0 3 2 4 3 39 6 2 6 0 37 2 37 2 37 37 37 39 5 2 9 2 3 2 2 2 3 6 2 4 3 2 39 5 3 3 2 2 5 3 3 2 2 2 2 2 39 2 2 4 6 2 0 37 2 3 2 2 6 0 5 2 2 2 2 2 37 2 2 2 3 2 2 3 2 0 2 2 2 4 3 3 13 36 2 3 0 34 2 2 6 2 2 3 2 34 21 2 35 2 2 4 2 2 38 2 1 2 2 0 2 2 2 0 2 0 2 2 2 3 36 34 6 12 2 2 34 2 2 25 0 36 5 37 6 2 2 2 37 2 2 0 2 2 2 0 2 0 4 22 0 2 2 0 2 13 2 2 2 4 2 2 0 13 0 4 1 2 2 2 2 34 13 21 20 13 20 38 21 22 0 23 0 21 1 13 21 3 3 21 38 21 0 1 1 13 23 22 0 0 22 22 21 21 38 21 21 3 21 22 3 21 21 21 21 13 1 13 1 21 13 12 21 38 0 3 0 1 21 22 3 21 38 21 3 3 0 21 3 1 1 21 3 21 23 3 13 38 1 21 1 0 13 21 13 38 0 23 1 42 0 21 23 9 23 22 21 21 0 1 13 3 39 39 39 6 39 3 39 6 39 39 39 39 0 39 1 2 1 6 13 38 3 1 39 38 39 39 0 39 39 39 39 6 0 0 0 39 39 2 39 39 39 39 39 39 1 39 0 39 39 1 13 39 39 39 39 1 39 13 7 39 39 39 13 1 13 13 39 39 39 39 38 39 2 39 39 39 39 39 13 39 39 0 3 39 0 39 38 39 39 39 0 39 2 40 39 6 39 2 0 2"
8,-0.7505,0.9286,"17 39 25 25 39 0 39 39 3 0 39 0 0 39 39 39 0 0 25 39 39 17 0 0 39 41 26 25 39 39 42 0 39 26 0 25 39 39 25 39 17 39 12 39 39 39 27 39 39 0 39 39 12 31 39 0 25 39 12 25 0 0 3 25 26 39 0 27 25 26 26 25 12 39 17 0 25 25 3 39 12 0 0 39 12 39 0 12 17 39 26 39 12 25 3 12 0 39 39 25 0 3 0 9 3 0 9 1 3 39 4 0 0 39 0 39 2 0 13 39 3 2 0 2 11 2 2 2 0 3 3 0 3 39 0 3 6 0 37 2 0 2 39 3 2 39 3 0 9 3 3 2 3 3 3 3 1 0 3 3 39 2 3 3 39 2 3 3 3 3 11 0 6 2 39 4 0 6 3 5 0 4 3 3 4 2 6 0 3 0 2 3 0 3 2 3 0 2 3 2 0 3 3 0 0 3 5 4 5 5 13 4 6 3 0 34 2 2 2 5 37 4 0 34 21 3 35 37 12 3 6 2 4 4 1 37 4 0 2 4 2 0 3 0 2 3 0 5 36 34 34 12 0 5 34 2 2 2 6 36 37 6 3 2 2 3 4 3 0 4 0 0 34 0 2 0 2 22 0 0 2 6 37 37 37 3 4 6 12 6 6 13 0 37 37 0 37 2 3 34 23 21 20 23 20 0 21 22 21 23 21 21 21 21 21 21 23 21 21 21 0 20 1 3 23 22 0 0 22 22 21 21 38 21 21 21 21 22 21 21 21 21 21 22 23 13 19 21 21 12 21 21 0 3 0 3 21 22 21 21 38 21 21 3 12 21 21 23 23 21 23 21 23 22 21 1 21 21 1 3 23 21 13 0 21 23 21 42 0 21 23 9 23 22 21 21 22 38 13 21 22 21 34 36 34 21 34 35 22 36 34 34 34 21 34 34 34 9 22 22 21 34 34 21 21 34 34 22 21 21 21 21 35 21 21 34 21 3 21 21 35 21 22 16 22 35 34 34 21 21 21 22 34 21 34 25 34 34 9 34 21 34 34 21 22 21 21 21 22 34 21 21 22 21 21 21 21 25 34 9 21 21 35 22 34 22 21 34 21 21 35 21 3 34 21 9 21 21 21 22"
9,-0.7266,0.9167,"17 39 25 25 39 0 39 39 3 0 39 0 0 39 39 39 0 0 25 39 39 17 0 0 39 41 26 25 39 39 42 0 39 26 0 25 39 39 25 39 17 39 12 39 39 39 27 39 39 0 39 39 12 31 39 0 25 39 12 25 0 0 3 25 26 39 0 27 25 26 26 25 12 39 17 0 25 25 3 39 12 0 0 39 12 39 0 12 17 39 26 39 12 25 3 12 0 39 39 25 42 3 2 0 0 2 16 2 3 12 9 0 0 2 3 0 3 2 2 2 2 10 34 0 0 12 0 0 11 0 2 0 3 2 42 2 12 10 3 42 9 16 11 3 2 12 0 10 3 42 2 2 42 12 16 0 0 11 2 9 2 42 2 2 2 16 3 2 0 42 2 16 16 2 0 3 0 2 42 42 42 3 42 16 3 9 0 2 16 12 2 3 3 11 0 3 0 2 42 0 0 3 38 3 0 38 6 1 13 3 13 13 3 13 0 38 3 3 2 3 3 0 38 34 21 0 35 2 3 3 3 41 0 3 1 42 3 1 2 13 2 0 3 0 2 0 0 3 13 3 34 3 3 38 3 2 2 0 0 36 13 0 38 2 3 3 38 3 3 0 0 13 3 0 1 3 1 22 0 0 2 0 38 0 0 3 4 1 38 6 13 13 0 3 3 0 0 0 3 34 28 17 14 17 12 28 12 18 12 17 14 12 12 14 12 18 34 12 12 18 6 12 18 17 17 14 12 12 5 34 14 34 12 12 4 12 12 12 12 12 18 12 28 17 12 5 12 12 12 12 17 17 14 12 12 15 12 12 12 12 15 12 12 17 12 12 12 15 29 18 12 12 18 12 12 12 12 12 12 12 12 18 28 18 12 12 12 12 12 2 4 12 17 14 34 18 17 18 12 12 23 23 23 34 23 23 34 23 23 1 23 23 34 23 23 12 23 34 12 23 23 34 23 36 34 23 24 34 23 23 24 23 34 23 36 23 23 23 34 23 24 34 34 24 12 34 23 1 23 23 36 23 24 23 23 23 35 23 24 23 23 23 24 34 12 23 23 24 35 23 23 39 34 23 23 34 23 36 12 23 23 34 23 23 23 23 23 12 23 23 23 23 12 24 12 34 23 23 35 23"
10,-0.7103,0.8500,"17 39 25 25 39 0 39 39 3 0 39 0 0 39 39 39 0 0 25 39 39 17 0 0 39 41 26 25 39 39 3 0 39 26 0 25 39 39 25 39 17 39 12 39 39 39 27 39 39 0 39 39 12 31 39 0 25 39 12 25 0 0 3 25 26 39 0 27 25 26 26 25 12 39 17 0 25 25 3 39 12 0 0 39 12 39 0 12 17 39 26 39 12 25 3 12 0 39 39 25 1 16 25 25 41 25 25 25 25 25 25 41 25 4 25 25 25 25 25 25 25 26 26 27 25 25 25 26 25 25 25 25 25 25 25 26 25 41 26 27 25 25 25 25 25 26 25 25 38 25 0 25 27 25 41 27 25 23 16 25 25 25 25 26 25 26 5 41 25 25 26 25 25 25 25 27 25 25 25 25 41 25 25 25 26 25 26 25 25 25 2 25 26 26 25 25 25 25 25 25 37 3 2 3 42 38 37 25 25 42 3 42 1 27 4 42 13 37 42 25 42 6 38 42 1 25 1 13 37 26 42 4 4 37 42 38 38 25 25 5 42 42 4 42 42 0 42 25 38 13 13 27 2 6 13 42 2 42 42 0 4 25 25 37 1 4 2 2 1 38 25 3 38 25 37 0 42 42 38 2 3 0 25 2 25 17 42 13 27 4 25 42 1 42 0 38 42 12 42 4 12 25 27 25 25 25 25 3 25 25 25 3 25 25 42 26 25 25 25 25 25 26 0 25 12 25 26 12 27 25 25 25 42 12 27 0 12 25 25 27 25 27 25 19 12 25 25 26 27 25 12 25 26 27 0 25 37 3 25 25 42 12 26 26 26 27 25 12 26 12 25 25 25 12 25 25 27 12 25 25 25 26 27 3 25 25 12 25 27 26 12 25 27 3 25 25 25 26 26 42 13 41 38 41 4 0 1 38 21 41 1 41 3 15 21 0 17 41 41 1 41 0 13 19 3 41 41 1 13 0 1 41 41 41 41 41 41 0 38 41 41 41 41 41 1 41 13 3 13 1 0 0 0 38 41 13 3 38 0 41 0 41 0 38 21 3 41 0 21 38 1 41 41 21 38 1 41 41 38 41 13 41 3 38 38 41 41 41 41 41 0 38 41 0 1 0 41 0 3 41"
