# seed=26
# instance=BALANCED
# popSize=100
# generations=100
# crossover=BlockUniform(p=0.25)
# mutation=p0=0.05,pMin=0.002,alpha=0.95
# tournamentK=3
# elitism=2
# lambda_similarity=0.3
# fights_per_team=10
# anchors=5
gen,changes,best_fitness,best_winrate,best_similarity,avg_fitness,worst_fitness,best_genome
0,1,-0.5592,0.8333,0.9137,-0.1678,0.2452,"36 24 26 0 34 15 16 9 0 3 28 37 39 29 31 30 39 0 29 1 25 6 33 42 27 4 16 26 17 13 25 11 12 6 17 30 39 37 36 15 15 21 31 9 23 42 34 38 19 39 29 27 0 16 40 30 6 30 15 2 3 6 23 14 28 5 29 34 24 10 13 18 32 22 2 38 1 25 2 36 35 9 5 25 0 27 11 30 35 1 19 20 0 38 42 25 2 42 0 2 40 12 18 6 10 4 39 17 38 38 4 34 30 10 34 29 11 38 2 39 29 10 29 18 13 11 26 8 3 30 6 30 3 33 2 22 17 0 34 4 42 7 13 40 37 5 25 27 14 42 8 25 37 29 34 38 1 28 18 22 25 2 27 19 42 1 16 22 32 26 14 3 1 0 28 22 22 5 29 16 2 18 26 6 1 4 21 11 35 29 33 21 16 37 35 40 23 7 29 42 33 29 11 26 6 23 22 39 36 14 28 34 34 39 23 6 6 41 31 26 8 5 34 4 27 5 33 26 40 2 9 28 36 24 19 34 36 31 4 29 2 25 37 14 24 25 31 40 15 8 28 23 28 32 23 30 28 18 22 31 19 36 8 38 9 14 6 32 9 27 17 32 28 26 31 18 10 0 12 35 20 4 17 0 42 15 6 34 41 15 25 33 10 20 38 25 3 23 15 14 32 28 39 11 9 13 21 38 40 15 42 41 15 15 1 12 38 24 27 5 29 14 29 1 34 27 16 15 27 16 2 24 35 16 0 25 31 23 33 12 12 10 24 1 33 20 1 39 38 19 16 9 41 18 19 27 6 3 38 7 15 21 16 11 39 9 42 21 17 12 18 29 27 15 17 41 1 38 14 31 18 24 25 19 9 0 16 17 20 27 6 31 1 15 32 9 20 38 19 13 0 6 2 42 6 1 10 11 0 20 33 9 37 28 20 7 35 12 15 39 26 18 21 12 26 38 19 9 20 36 26 28 32 11 9 35 42 8 11 25 13 1 32 24 29 36 15 36 2 30 2 13 9 22 12 23 36 36 29 4 0 13 6 1 33 12 4 30 26 25 36 25 29 0 27 25 9 18 18 41 25 36 6 21 22 36 9 27 42 22 16 17 0 2 38 20 41 23 37 26"
1,2,-0.8374,1.0000,0.5421,-0.2159,0.2444,"28 28 19 28 28 28 28 28 28 20 28 41 28 28 22 28 28 28 31 42 28 28 16 28 28 5 18 20 28 28 28 25 28 28 28 20 28 28 30 28 29 22 20 19 28 2 20 30 19 20 28 14 20 28 28 28 28 19 39 28 28 19 33 28 28 28 28 19 28 28 29 28 28 28 28 28 28 20 28 29 28 30 30 29 3 28 24 28 10 29 29 29 1 29 28 28 31 28 29 28 9 11 10 40 8 9 33 10 11 9 4 2 4 9 0 11 9 9 10 8 9 21 9 28 21 32 10 8 34 9 9 9 9 11 9 9 11 10 9 26 9 29 9 9 9 29 37 7 9 9 1 9 9 2 11 9 9 10 9 9 9 21 9 42 9 29 9 11 18 16 9 13 40 42 9 10 29 9 9 9 9 37 34 38 41 9 9 9 10 10 10 9 24 36 27 10 10 26 9 9 21 25 0 25 25 25 26 25 16 27 25 26 25 25 12 14 25 2 26 12 25 16 25 4 26 38 25 26 0 25 12 3 12 26 21 2 25 27 0 0 27 25 25 25 3 37 25 25 13 26 13 22 25 25 6 26 25 25 0 25 27 0 26 22 6 3 25 26 13 25 38 26 42 25 16 25 25 26 25 6 38 25 25 25 5 25 25 12 25 25 5 25 25 25 22 38 4 25 12 12 5 42 5 42 6 2 3 4 42 0 22 42 3 37 8 38 0 42 41 2 6 3 42 8 42 37 4 42 3 0 42 2 37 42 4 5 42 42 0 42 42 4 7 42 0 2 3 2 42 37 6 8 6 7 5 42 42 42 14 42 42 2 2 2 42 5 42 7 0 2 7 7 42 42 42 2 3 7 32 37 2 3 41 6 42 42 2 42 0 42 5 7 42 2 42 42 42 2 8 42 21 13 3 21 3 1 13 12 3 5 2 2 2 21 17 3 38 0 1 16 3 13 5 3 21 13 22 5 21 38 0 5 4 9 2 38 24 13 0 16 11 3 0 13 2 1 38 11 22 16 0 21 5 0 21 16 2 37 21 37 13 4 11 0 21 21 21 3 5 22 38 22 13 0 9 38 16 5 13 13 22 13 12 12 2 21 21 22 21 6 0 1 1 1 1 21 38 21 21 1"
2,2,-0.8328,1.0000,0.5574,-0.2610,0.1998,"28 28 19 28 28 28 28 28 28 20 28 41 28 28 22 28 28 28 31 42 28 28 16 28 28 5 18 20 28 28 28 25 28 28 28 20 28 28 30 28 29 22 20 19 28 2 20 30 19 20 28 14 20 28 28 28 28 19 39 28 28 19 33 28 28 28 28 19 28 28 29 28 28 28 28 28 28 20 28 29 28 30 30 29 3 28 24 28 10 29 29 29 1 29 28 28 31 28 29 28 9 11 10 40 8 9 33 10 11 9 4 2 4 9 0 11 9 9 10 8 9 21 9 28 21 32 10 8 34 9 9 9 9 11 9 9 11 10 9 26 9 29 9 9 9 29 37 7 9 9 1 9 9 2 11 9 9 10 9 9 9 21 9 42 9 29 9 11 18 16 9 13 40 42 9 10 29 9 9 9 9 37 34 38 41 9 9 9 10 10 10 9 24 36 27 10 10 26 9 9 21 25 0 25 25 25 26 25 16 27 25 26 25 25 12 14 25 2 26 12 25 16 25 4 26 38 25 26 0 25 12 3 12 26 21 2 25 27 0 0 27 25 25 25 3 37 25 25 13 26 13 22 25 25 6 26 25 25 0 25 27 0 26 22 6 3 25 26 13 25 38 26 42 25 16 25 25 26 25 6 38 25 25 25 5 25 25 12 25 25 5 25 25 25 22 38 4 25 12 12 5 42 5 42 6 2 3 4 42 0 22 42 3 37 8 38 0 42 41 2 6 3 42 8 42 37 4 42 3 0 42 2 37 42 4 5 42 42 0 42 42 4 7 42 0 2 3 2 42 37 6 8 6 7 5 42 42 42 14 42 42 2 2 2 42 5 42 7 0 2 7 7 42 42 42 2 3 7 32 37 2 3 41 6 42 42 2 42 0 42 5 7 42 2 42 42 42 2 8 42 21 13 3 21 3 1 13 12 3 5 2 2 2 21 17 3 38 0 1 16 3 13 5 3 21 13 22 5 21 38 0 5 4 9 2 38 24 13 0 16 11 3 0 13 2 1 38 11 22 16 0 21 5 0 21 16 2 37 21 37 13 4 11 0 21 21 21 3 5 22 38 22 13 0 9 38 16 5 13 13 22 13 12 12 2 21 21 22 21 6 0 1 1 1 1 21 38 21 21 1"
3,3,-0.8509,1.0000,0.4971,-0.2822,0.1370,"21 21 21 36 12 36 22 22 21 34 32 21 35 21 22 21 21 21 21 21 21 21 21 22 21 34 22 34 21 21 22 21 22 21 21 21 35 21 22 21 34 21 22 22 21 21 34 36 21 34 22 34 21 21 34 21 21 21 22 34 36 34 12 28 36 21 21 22 21 21 21 12 21 21 36 21 36 21 21 36 21 21 22 21 22 22 21 22 34 34 21 21 34 22 35 21 21 12 21 35 25 25 23 25 25 26 25 39 25 25 25 25 21 21 27 27 21 21 27 27 25 27 21 39 26 39 21 25 25 25 21 27 26 39 26 25 21 25 21 26 25 23 25 26 22 39 25 21 25 21 26 27 21 25 25 25 25 21 39 22 21 22 26 25 25 21 39 23 22 26 21 22 25 25 25 23 25 21 25 21 25 25 25 25 25 25 27 27 27 27 16 21 22 25 22 21 25 26 25 25 34 36 12 37 2 12 2 5 34 12 34 34 36 36 34 34 34 35 34 34 35 34 34 12 12 20 20 10 34 6 36 35 34 9 37 34 2 35 34 35 34 34 20 35 34 36 34 2 34 12 37 12 35 34 37 2 2 36 36 5 34 34 2 9 34 2 34 36 36 5 34 37 34 6 35 34 34 34 12 36 34 34 34 19 2 34 34 12 34 34 34 34 34 36 2 34 9 34 34 20 25 25 27 25 26 25 25 27 12 25 25 25 25 27 12 38 25 25 27 26 25 25 12 25 25 25 25 12 12 26 12 12 25 25 25 12 12 12 25 12 25 25 26 12 38 12 25 27 25 12 26 12 25 27 19 25 25 25 25 25 19 25 25 25 25 12 25 12 4 25 25 10 25 25 25 12 25 20 32 27 30 25 25 25 26 25 25 25 25 12 12 25 25 27 25 25 25 26 25 41 41 12 16 0 30 0 39 39 16 38 3 38 16 28 39 28 16 38 3 1 39 3 13 16 0 13 38 38 0 38 13 39 38 28 39 29 30 3 12 28 38 38 28 16 0 38 28 16 28 38 3 37 0 1 16 3 28 39 29 1 39 16 3 1 38 1 16 28 16 28 39 3 12 28 28 16 29 16 0 39 28 42 16 3 0 28 16 16 0 3 16 39 1 28 25 12 12 1 12 4"
4,4,-0.9043,1.0000,0.3189,-0.3012,0.1335,"32 31 37 31 10 31 2 2 31 33 32 31 31 2 9 6 31 2 31 2 9 31 31 31 31 31 2 31 31 31 11 31 2 31 31 32 31 2 32 11 2 31 2 37 2 31 2 10 31 9 31 31 33 2 11 31 31 2 9 2 32 31 2 2 9 22 31 2 32 31 33 5 31 32 31 32 33 32 31 31 2 31 31 32 32 2 31 31 31 31 31 33 31 31 31 2 31 31 31 2 3 28 38 31 31 31 3 28 13 13 3 38 3 28 3 9 13 1 9 31 31 31 31 31 31 3 1 9 32 31 31 31 9 33 31 32 38 31 9 1 3 10 9 31 10 31 13 38 3 9 10 30 31 31 13 31 13 31 38 29 30 31 31 9 1 9 9 33 1 1 31 1 32 3 38 32 31 13 0 0 31 38 28 11 1 31 0 31 9 31 9 1 13 31 1 13 1 3 12 13 25 39 39 39 25 23 39 23 25 31 39 26 26 32 23 27 23 24 31 25 25 25 33 10 25 39 26 27 26 39 23 25 26 23 24 23 39 25 32 23 25 27 25 23 25 23 31 25 23 39 39 23 25 39 39 25 27 23 39 25 24 25 25 25 31 25 25 39 25 25 31 25 26 24 25 25 39 26 25 39 24 25 9 25 31 23 23 25 25 29 25 25 25 27 23 27 25 25 25 25 17 31 31 31 33 33 31 31 17 17 28 31 28 18 31 30 17 28 32 28 31 31 31 17 31 17 17 31 31 31 17 18 17 31 31 31 31 29 31 32 31 31 31 28 17 17 31 17 31 32 31 31 32 28 31 31 17 31 31 31 31 31 31 29 31 32 31 31 31 28 31 31 17 31 17 31 33 31 31 33 31 31 31 31 17 28 31 33 31 33 18 31 29 17 31 31 18 31 31 32 12 24 21 19 12 16 42 19 12 17 41 19 19 42 16 16 42 42 16 12 16 12 17 14 19 19 19 12 19 17 7 17 17 15 42 17 15 15 19 17 17 16 19 15 17 15 16 15 17 42 16 14 0 42 8 7 19 12 12 15 17 15 39 12 12 16 19 15 19 7 19 15 19 16 7 17 1 16 12 14 14 15 19 17 12 17 17 16 19 42 7 19 14 7 19 16 19 16 19 2"
5,4,-0.8432,1.0000,0.5227,-0.3005,0.1668,"32 31 37 31 10 31 2 2 31 33 32 31 31 2 9 6 31 2 31 2 9 31 31 31 31 31 2 31 31 31 11 31 2 31 31 32 31 2 32 11 2 31 2 37 2 31 2 10 31 9 31 31 33 2 11 31 31 2 9 2 32 31 2 2 9 22 31 2 32 31 33 5 31 32 31 32 33 32 31 31 2 31 31 32 32 2 31 31 31 31 31 33 31 31 31 2 31 31 31 2 3 28 38 31 31 31 3 28 13 13 3 38 3 28 3 9 13 1 9 31 31 31 31 31 31 3 1 9 32 31 31 31 9 33 31 32 38 31 9 1 3 10 9 31 10 31 13 38 3 9 10 30 31 31 13 31 13 31 38 29 30 31 31 9 1 9 9 33 1 1 31 1 32 3 38 32 31 13 0 0 31 38 28 11 1 31 0 31 9 31 9 1 13 31 1 13 1 3 12 13 25 39 39 39 25 23 39 23 25 31 39 26 26 32 23 27 23 24 31 25 25 25 33 10 25 39 26 27 26 39 23 25 26 23 24 23 39 25 32 23 25 27 25 23 25 23 31 25 23 39 39 23 25 39 39 25 27 23 39 25 24 25 25 25 31 25 25 39 25 25 31 25 26 24 25 25 39 26 25 39 24 25 9 25 31 23 23 25 25 29 25 25 25 27 23 27 25 25 25 25 17 31 31 31 33 33 31 31 17 17 28 31 28 18 31 30 17 28 32 28 31 31 31 17 31 17 17 31 31 31 17 18 17 31 31 31 31 29 31 32 31 31 31 28 17 17 31 17 31 32 31 31 32 28 31 31 17 31 31 31 31 31 31 29 31 32 31 31 31 28 31 31 17 31 17 31 33 31 31 33 31 31 31 31 17 28 31 33 31 33 18 31 29 17 31 31 18 31 31 32 12 24 21 19 12 16 42 19 12 17 41 19 19 42 16 16 42 42 16 12 16 12 17 14 19 19 19 12 19 17 7 17 17 15 42 17 15 15 19 17 17 16 19 15 17 15 16 15 17 42 16 14 0 42 8 7 19 12 12 15 17 15 39 12 12 16 19 15 19 7 19 15 19 16 7 17 1 16 12 14 14 15 19 17 12 17 17 16 19 42 7 19 14 7 19 16 19 16 19 2"
6,4,-0.8655,1.0000,0.4484,-0.3088,0.1346,"32 31 37 31 10 31 2 2 31 33 32 31 31 2 9 6 31 2 31 2 9 31 31 31 31 31 2 31 31 31 11 31 2 31 31 32 31 2 32 11 2 31 2 37 2 31 2 10 31 9 31 31 33 2 11 31 31 2 9 2 32 31 2 2 9 22 31 2 32 31 33 5 31 32 31 32 33 32 31 31 2 31 31 32 32 2 31 31 31 31 31 33 31 31 31 2 31 31 31 2 3 28 38 31 31 31 3 28 13 13 3 38 3 28 3 9 13 1 9 31 31 31 31 31 31 3 1 9 32 31 31 31 9 33 31 32 38 31 9 1 3 10 9 31 10 31 13 38 3 9 10 30 31 31 13 31 13 31 38 29 30 31 31 9 1 9 9 33 1 1 31 1 32 3 38 32 31 13 0 0 31 38 28 11 1 31 0 31 9 31 9 1 13 31 1 13 1 3 12 13 25 39 39 39 25 23 39 23 25 31 39 26 26 32 23 27 23 24 31 25 25 25 33 10 25 39 26 27 26 39 23 25 26 23 24 23 39 25 32 23 25 27 25 23 25 23 31 25 23 39 39 23 25 39 39 25 27 23 39 25 24 25 25 25 31 25 25 39 25 25 31 25 26 24 25 25 39 26 25 39 24 25 9 25 31 23 23 25 25 29 25 25 25 27 23 27 25 25 25 25 17 31 31 31 33 33 31 31 17 17 28 31 28 18 31 30 17 28 32 28 31 31 31 17 31 17 17 31 31 31 17 18 17 31 31 31 31 29 31 32 31 31 31 28 17 17 31 17 31 32 31 31 32 28 31 31 17 31 31 31 31 31 31 29 31 32 31 31 31 28 31 31 17 31 17 31 33 31 31 33 31 31 31 31 17 28 31 33 31 33 18 31 29 17 31 31 18 31 31 32 12 24 21 19 12 16 42 19 12 17 41 19 19 42 16 16 42 42 16 12 16 12 17 14 19 19 19 12 19 17 7 17 17 15 42 17 15 15 19 17 17 16 19 15 17 15 16 15 17 42 16 14 0 42 8 7 19 12 12 15 17 15 39 12 12 16 19 15 19 7 19 15 19 16 7 17 1 16 12 14 14 15 19 17 12 17 17 16 19 42 7 19 14 7 19 16 19 16 19 2"
7,4,-0.8415,1.0000,0.5282,-0.3069,0.1475,"32 31 37 31 10 31 2 2 31 33 32 31 31 2 9 6 31 2 31 2 9 31 31 31 31 31 2 31 31 31 11 31 2 31 31 32 31 2 32 11 2 31 2 37 2 31 2 10 31 9 31 31 33 2 11 31 31 2 9 2 32 31 2 2 9 22 31 2 32 31 33 5 31 32 31 32 33 32 31 31 2 31 31 32 32 2 31 31 31 31 31 33 31 31 31 2 31 31 31 2 3 28 38 31 31 31 3 28 13 13 3 38 3 28 3 9 13 1 9 31 31 31 31 31 31 3 1 9 32 31 31 31 9 33 31 32 38 31 9 1 3 10 9 31 10 31 13 38 3 9 10 30 31 31 13 31 13 31 38 29 30 31 31 9 1 9 9 33 1 1 31 1 32 3 38 32 31 13 0 0 31 38 28 11 1 31 0 31 9 31 9 1 13 31 1 13 1 3 12 13 25 39 39 39 25 23 39 23 25 31 39 26 26 32 23 27 23 24 31 25 25 25 33 10 25 39 26 27 26 39 23 25 26 23 24 23 39 25 32 23 25 27 25 23 25 23 31 25 23 39 39 23 25 39 39 25 27 23 39 25 24 25 25 25 31 25 25 39 25 25 31 25 26 24 25 25 39 26 25 39 24 25 9 25 31 23 23 25 25 29 25 25 25 27 23 27 25 25 25 25 17 31 31 31 33 33 31 31 17 17 28 31 28 18 31 30 17 28 32 28 31 31 31 17 31 17 17 31 31 31 17 18 17 31 31 31 31 29 31 32 31 31 31 28 17 17 31 17 31 32 31 31 32 28 31 31 17 31 31 31 31 31 31 29 31 32 31 31 31 28 31 31 17 31 17 31 33 31 31 33 31 31 31 31 17 28 31 33 31 33 18 31 29 17 31 31 18 31 31 32 12 24 21 19 12 16 42 19 12 17 41 19 19 42 16 16 42 42 16 12 16 12 17 14 19 19 19 12 19 17 7 17 17 15 42 17 15 15 19 17 17 16 19 15 17 15 16 15 17 42 16 14 0 42 8 7 19 12 12 15 17 15 39 12 12 16 19 15 19 7 19 15 19 16 7 17 1 16 12 14 14 15 19 17 12 17 17 16 19 42 7 19 14 7 19 16 19 16 19 2"
8,4,-0.8509,1.0000,0.4968,-0.3162,0.0918,"32 31 37 31 10 31 2 2 31 33 32 31 31 2 9 6 31 2 31 2 9 31 31 31 31 31 2 31 31 31 11 31 2 31 31 32 31 2 32 11 2 31 2 37 2 31 2 10 31 9 31 31 33 2 11 31 31 2 9 2 32 31 2 2 9 22 31 2 32 31 33 5 31 32 31 32 33 32 31 31 2 31 31 32 32 2 31 31 31 31 31 33 31 31 31 2 31 31 31 2 3 28 38 31 31 31 3 28 13 13 3 38 3 28 3 9 13 1 9 31 31 31 31 31 31 3 1 9 32 31 31 31 9 33 31 32 38 31 9 1 3 10 9 31 10 31 13 38 3 9 10 30 31 31 13 31 13 31 38 29 30 31 31 9 1 9 9 33 1 1 31 1 32 3 38 32 31 13 0 0 31 38 28 11 1 31 0 31 9 31 9 1 13 31 1 13 1 3 12 13 25 39 39 39 25 23 39 23 25 31 39 26 26 32 23 27 23 24 31 25 25 25 33 10 25 39 26 27 26 39 23 25 26 23 24 23 39 25 32 23 25 27 25 23 25 23 31 25 23 39 39 23 25 39 39 25 27 23 39 25 24 25 25 25 31 25 25 39 25 25 31 25 26 24 25 25 39 26 25 39 24 25 9 25 31 23 23 25 25 29 25 25 25 27 23 27 25 25 25 25 17 31 31 31 33 33 31 31 17 17 28 31 28 18 31 30 17 28 32 28 31 31 31 17 31 17 17 31 31 31 17 18 17 31 31 31 31 29 31 32 31 31 31 28 17 17 31 17 31 32 31 31 32 28 31 31 17 31 31 31 31 31 31 29 31 32 31 31 31 28 31 31 17 31 17 31 33 31 31 33 31 31 31 31 17 28 31 33 31 33 18 31 29 17 31 31 18 31 31 32 12 24 21 19 12 16 42 19 12 17 41 19 19 42 16 16 42 42 16 12 16 12 17 14 19 19 19 12 19 17 7 17 17 15 42 17 15 15 19 17 17 16 19 15 17 15 16 15 17 42 16 14 0 42 8 7 19 12 12 15 17 15 39 12 12 16 19 15 19 7 19 15 19 16 7 17 1 16 12 14 14 15 19 17 12 17 17 16 19 42 7 19 14 7 19 16 19 16 19 2"
9,4,-0.8583,1.0000,0.4725,-0.3153,0.1273,"32 31 37 31 10 31 2 2 31 33 32 31 31 2 9 6 31 2 31 2 9 31 31 31 31 31 2 31 31 31 11 31 2 31 31 32 31 2 32 11 2 31 2 37 2 31 2 10 31 9 31 31 33 2 11 31 31 2 9 2 32 31 2 2 9 22 31 2 32 31 33 5 31 32 31 32 33 32 31 31 2 31 31 32 32 2 31 31 31 31 31 33 31 31 31 2 31 31 31 2 3 28 38 31 31 31 3 28 13 13 3 38 3 28 3 9 13 1 9 31 31 31 31 31 31 3 1 9 32 31 31 31 9 33 31 32 38 31 9 1 3 10 9 31 10 31 13 38 3 9 10 30 31 31 13 31 13 31 38 29 30 31 31 9 1 9 9 33 1 1 31 1 32 3 38 32 31 13 0 0 31 38 28 11 1 31 0 31 9 31 9 1 13 31 1 13 1 3 12 13 25 39 39 39 25 23 39 23 25 31 39 26 26 32 23 27 23 24 31 25 25 25 33 10 25 39 26 27 26 39 23 25 26 23 24 23 39 25 32 23 25 27 25 23 25 23 31 25 23 39 39 23 25 39 39 25 27 23 39 25 24 25 25 25 31 25 25 39 25 25 31 25 26 24 25 25 39 26 25 39 24 25 9 25 31 23 23 25 25 29 25 25 25 27 23 27 25 25 25 25 17 31 31 31 33 33 31 31 17 17 28 31 28 18 31 30 17 28 32 28 31 31 31 17 31 17 17 31 31 31 17 18 17 31 31 31 31 29 31 32 31 31 31 28 17 17 31 17 31 32 31 31 32 28 31 31 17 31 31 31 31 31 31 29 31 32 31 31 31 28 31 31 17 31 17 31 33 31 31 33 31 31 31 31 17 28 31 33 31 33 18 31 29 17 31 31 18 31 31 32 12 24 21 19 12 16 42 19 12 17 41 19 19 42 16 16 42 42 16 12 16 12 17 14 19 19 19 12 19 17 7 17 17 15 42 17 15 15 19 17 17 16 19 15 17 15 16 15 17 42 16 14 0 42 8 7 19 12 12 15 17 15 39 12 12 16 19 15 19 7 19 15 19 16 7 17 1 16 12 14 14 15 19 17 12 17 17 16 19 42 7 19 14 7 19 16 19 16 19 2"
