rank,fitness,winrate,genome
1,-0.8691,1.0000,"2 37 2 2 2 4 2 2 37 2 4 2 6 2 2 4 37 37 37 2 2 2 2 2 2 2 2 42 37 4 2 5 6 2 4 6 2 37 2 6 42 5 5 6 2 2 37 37 4 4 2 5 2 2 2 6 5 2 2 2 2 2 2 5 5 2 2 4 2 2 19 2 6 2 5 2 2 2 4 2 5 6 4 2 2 42 2 5 6 4 6 2 5 6 5 2 2 2 4 2 1 2 8 2 2 13 7 1 6 38 2 6 0 8 22 5 2 6 7 5 38 1 2 2 7 2 37 2 7 7 2 7 2 2 21 2 2 5 6 2 2 2 2 2 6 7 2 6 3 4 1 2 15 2 2 2 2 4 7 15 7 2 4 3 2 37 2 6 2 7 37 2 37 7 7 2 6 2 2 7 7 2 1 2 2 14 2 2 2 8 6 7 6 2 7 2 2 2 0 2 7 8 7 2 2 5 2 2 2 8 2 7 2 8 42 2 8 40 2 2 2 2 2 7 2 4 7 2 2 2 2 2 8 2 4 2 40 6 2 2 40 2 2 8 8 7 2 2 8 2 2 7 2 2 2 2 2 2 2 7 8 40 2 2 5 7 8 2 2 5 7 2 2 5 2 4 2 6 2 2 40 8 2 2 2 2 6 2 2 4 2 7 4 7 2 2 8 7 2 2 34 34 34 39 0 34 3 3 0 34 34 34 34 34 36 34 34 35 34 34 34 34 34 35 34 36 34 36 34 34 34 0 35 34 34 34 34 34 34 0 3 1 39 35 34 34 36 0 34 34 0 36 0 34 35 19 34 3 0 34 34 34 35 36 0 34 34 34 35 34 34 34 34 34 35 34 34 34 35 34 19 34 34 36 3 34 34 3 0 34 34 34 35 34 35 0 34 39 34 35 2 17 4 19 13 2 12 2 4 13 2 2 2 7 6 8 7 7 6 6 2 8 7 14 6 2 3 8 2 7 2 37 5 2 7 8 2 8 2 6 2 2 37 7 2 6 2 2 2 7 2 2 8 2 8 2 8 8 2 7 2 7 1 7 4 7 2 2 19 7 8 7 7 14 13 2 8 2 2 2 7 2 2 4 2 37 7 7 14 7 2 2 2 2 2 2 7 2 6 6"
2,-0.8550,1.0000,"2 37 2 2 2 4 2 2 37 2 4 2 6 2 2 4 37 37 37 2 2 2 2 2 2 2 2 42 37 4 2 5 6 2 4 6 2 37 2 6 42 5 5 6 2 2 37 37 4 4 2 5 2 2 2 6 5 2 2 2 2 2 2 5 5 2 2 4 2 2 19 2 6 2 5 2 2 2 4 2 5 6 4 2 2 42 2 5 6 4 6 2 5 6 5 2 2 2 4 2 1 2 8 2 2 13 7 1 6 38 2 6 0 8 22 5 2 6 7 5 38 1 2 2 7 2 37 2 7 7 2 7 2 2 21 2 2 5 6 2 2 2 2 2 6 7 2 6 3 4 1 2 15 2 2 2 2 4 7 15 7 2 4 3 2 37 2 6 2 7 37 2 37 7 7 2 6 2 2 7 7 2 1 2 2 14 2 2 2 8 6 7 6 2 7 2 2 2 0 2 7 8 7 2 2 5 2 2 2 8 2 7 2 8 42 2 8 40 2 2 2 2 2 7 2 4 7 2 2 2 2 2 8 2 4 2 40 6 2 2 40 2 2 8 8 7 2 2 8 2 2 7 2 2 2 2 2 2 2 7 8 40 2 2 5 7 8 2 2 5 7 2 2 5 2 4 2 6 2 2 40 8 2 2 2 2 6 2 2 4 2 7 4 7 2 2 8 7 2 2 34 34 34 39 0 34 3 3 0 34 34 34 34 34 36 34 34 35 34 34 34 34 34 35 34 36 34 36 34 34 34 0 35 34 34 34 34 34 34 0 3 1 39 35 34 34 36 0 34 34 0 36 0 34 35 19 34 3 0 34 34 34 35 36 0 34 34 34 35 34 34 34 34 34 35 34 34 34 35 34 19 34 34 36 3 34 34 3 0 34 34 34 35 34 35 0 34 39 34 35 2 17 4 19 13 2 12 2 4 13 2 2 2 7 6 8 7 7 6 6 2 8 7 14 6 2 3 8 2 7 2 37 5 2 7 8 2 8 2 6 2 2 37 7 2 6 2 2 2 7 2 2 8 2 8 2 8 8 2 7 2 7 1 7 4 7 2 2 19 7 8 7 7 14 13 2 8 2 2 2 7 2 2 4 2 37 7 7 14 7 2 2 2 2 2 2 7 2 6 6"
3,-0.8399,1.0000,"2 37 2 2 2 4 2 2 37 2 4 2 6 2 2 4 37 37 37 2 2 2 2 2 2 2 2 42 37 4 2 5 6 2 4 6 2 37 2 6 42 5 5 6 2 2 37 37 4 4 2 5 2 2 2 6 5 2 2 2 2 2 2 5 5 2 2 4 2 2 19 2 6 2 5 2 2 2 4 2 5 6 4 2 2 42 2 5 6 4 6 2 5 6 5 2 2 2 4 2 1 2 8 2 2 13 7 1 6 38 2 6 0 8 22 5 2 6 7 5 38 1 2 2 7 2 37 2 7 7 2 7 2 2 21 2 2 5 6 2 2 2 2 2 6 7 2 6 3 4 1 2 15 2 2 2 2 4 7 15 7 2 4 3 2 37 2 6 2 7 37 2 37 7 7 2 6 2 2 7 7 2 1 2 2 14 2 2 2 8 6 7 6 2 7 2 2 2 0 2 7 8 7 2 2 5 2 2 2 8 2 7 2 8 42 2 8 40 2 2 2 2 2 7 2 4 7 2 2 2 2 2 8 2 4 2 40 6 2 2 40 2 2 8 8 7 2 2 8 2 2 7 2 2 2 2 2 2 2 7 8 40 2 2 5 7 8 2 2 5 7 2 2 5 2 4 2 6 2 2 40 8 2 2 2 2 6 2 2 4 2 7 4 7 2 2 8 7 2 2 34 34 34 39 0 34 3 3 0 34 34 34 34 34 36 34 34 35 34 34 34 34 34 35 34 36 34 36 34 34 34 0 35 34 34 34 34 34 34 0 3 1 39 35 34 34 36 0 34 34 0 36 0 34 35 19 34 3 0 34 34 34 35 36 0 34 34 34 35 34 34 34 34 34 35 34 34 34 35 34 19 34 34 36 3 34 34 3 0 34 34 34 35 34 35 0 34 39 34 35 2 17 4 19 13 2 12 2 4 13 2 2 2 7 6 8 7 7 6 6 2 8 7 14 6 2 3 8 2 7 2 37 5 2 7 8 2 8 2 6 2 2 37 7 2 6 2 2 2 7 2 2 8 2 8 2 8 8 2 7 2 7 1 7 4 7 2 2 19 7 8 7 7 14 13 2 8 2 2 2 7 2 2 4 2 37 7 7 14 7 2 2 2 2 2 2 7 2 6 6"
4,-0.8364,0.9615,"12 27 12 23 23 12 23 12 2 24 23 25 23 23 23 23 2 23 10 12 24 23 25 23 24 27 25 26 12 23 25 23 24 24 23 23 26 23 26 24 26 24 12 25 24 25 23 23 23 23 12 12 27 27 23 25 23 23 23 23 25 24 27 24 12 25 24 23 23 11 23 12 23 27 24 12 23 23 24 23 27 25 25 27 12 25 23 23 23 25 24 27 25 23 23 23 23 23 25 12 39 9 10 0 39 9 0 0 39 23 39 9 39 41 39 0 9 39 2 39 10 0 10 11 8 3 39 3 0 3 3 3 9 9 9 9 3 0 10 3 11 9 39 3 3 7 9 39 23 0 3 9 9 3 39 9 9 0 3 39 39 8 3 3 0 9 3 39 3 2 0 3 0 11 9 11 3 39 9 0 39 9 39 9 3 0 39 39 0 3 39 7 39 39 9 39 39 0 9 9 16 25 12 25 16 25 27 12 25 12 25 25 16 12 12 16 9 27 42 16 26 16 12 16 16 16 25 25 16 16 12 25 25 16 16 16 27 25 12 16 25 12 16 25 16 25 16 16 25 25 12 16 16 12 12 25 16 26 16 12 9 12 25 16 25 25 12 25 12 16 25 16 12 12 16 25 25 25 16 26 27 16 12 16 16 25 12 12 25 25 16 25 16 16 16 12 16 16 26 12 23 23 13 12 23 14 24 23 23 23 23 24 1 23 23 23 23 23 12 12 23 7 12 23 23 15 23 19 23 14 23 23 12 7 12 1 23 23 24 39 12 39 23 39 23 12 39 24 15 23 23 1 23 23 23 23 23 39 23 23 23 23 24 0 12 39 23 39 39 39 39 23 23 23 24 23 39 12 24 23 24 24 39 7 23 12 23 23 23 23 39 23 23 23 24 23 23 1 39 23 17 17 3 19 0 19 0 7 8 13 15 0 0 0 3 8 7 7 0 7 38 3 7 14 0 0 3 0 7 7 7 7 0 17 7 0 12 0 12 19 14 19 17 7 7 19 3 3 7 3 7 7 8 0 8 7 0 8 15 7 0 41 1 7 7 7 14 8 19 7 8 0 0 14 0 8 8 3 20 1 3 8 19 15 0 3 7 7 14 7 15 7 7 14 8 19 3 0 7 8"
5,-0.8255,0.9583,"12 27 12 25 12 12 12 12 2 12 12 25 25 12 25 12 2 27 10 12 12 9 25 25 12 27 25 26 12 26 25 12 25 27 26 26 26 12 26 2 26 12 12 25 25 25 27 12 26 2 12 12 27 27 12 25 12 27 27 27 25 27 27 12 12 25 12 25 27 11 25 12 12 27 2 12 25 26 26 12 27 25 25 27 12 25 27 25 26 25 26 27 25 25 2 25 25 12 25 12 39 9 10 0 39 9 0 0 39 23 39 9 39 41 39 0 9 39 2 39 10 0 10 11 8 3 39 3 0 3 3 3 9 9 9 9 3 0 10 3 11 9 39 3 3 7 9 39 23 0 3 9 9 3 39 9 9 0 3 39 39 8 3 3 0 9 3 39 3 2 0 3 0 11 9 11 3 39 9 0 39 9 39 9 3 0 39 39 0 3 39 7 39 39 9 39 39 0 9 9 16 25 12 25 16 25 27 12 25 12 25 25 16 12 12 16 9 27 42 16 26 16 12 16 16 16 25 25 16 16 12 25 25 16 16 16 27 25 12 16 25 12 16 25 16 25 16 16 25 25 12 16 16 12 12 25 16 26 16 12 9 12 25 16 25 25 12 25 12 16 25 16 12 12 16 25 25 25 16 26 27 16 12 16 16 25 12 12 25 25 16 25 16 16 16 12 16 16 26 12 23 23 24 12 15 14 23 23 14 23 24 7 23 23 14 23 23 23 23 12 24 24 12 24 23 23 24 19 23 23 23 23 23 23 12 7 23 23 23 12 23 23 14 23 23 23 23 23 23 12 15 12 23 15 12 12 23 14 12 15 23 23 15 15 12 15 23 23 15 7 12 23 24 23 23 23 23 12 12 23 23 12 12 23 14 23 12 23 23 19 23 17 24 12 23 23 23 14 12 23 17 17 3 19 0 19 0 7 8 13 15 0 0 0 3 8 7 7 0 7 38 3 7 14 0 0 3 0 7 7 7 7 0 17 7 0 12 0 12 19 14 19 17 7 7 19 3 3 7 3 7 7 8 0 8 7 0 8 15 7 0 41 1 7 7 7 14 8 19 7 8 0 0 14 0 8 8 3 20 1 3 8 19 15 0 3 7 7 14 7 15 7 7 14 8 19 3 0 7 8"
6,-0.8107,0.9583,"25 0 3 19 8 25 25 0 3 0 39 28 3 27 3 27 8 0 39 3 0 3 25 25 39 27 19 39 25 19 0 7 26 7 25 0 25 25 7 25 25 3 26 3 25 25 4 3 27 25 0 3 7 0 0 25 19 39 25 0 27 39 25 0 25 3 3 0 25 7 39 25 26 25 25 25 3 41 0 3 7 30 20 3 7 25 0 0 21 25 39 27 39 26 39 7 25 19 3 39 11 9 34 36 39 35 39 9 34 31 34 11 34 35 31 34 34 34 34 35 11 34 34 34 9 34 34 34 34 34 34 31 34 34 9 34 9 31 10 35 34 9 36 11 34 36 36 9 34 34 11 34 34 34 36 34 34 35 34 11 11 34 34 34 34 9 10 34 39 34 34 34 35 10 36 9 35 9 34 31 34 36 34 35 34 36 9 34 9 2 9 33 11 9 34 34 35 34 34 31 16 25 0 0 12 25 27 25 0 25 25 25 0 25 12 16 9 27 12 16 3 16 0 25 3 16 3 3 25 16 12 0 25 3 16 16 27 25 12 26 25 0 0 3 16 0 25 16 25 3 16 12 16 12 12 0 25 26 12 0 9 12 25 0 25 25 0 25 26 16 25 26 0 25 25 3 25 25 9 26 27 25 0 41 16 25 12 27 25 3 25 25 27 26 16 12 16 0 3 3 23 23 42 12 15 14 23 42 42 42 42 4 23 42 5 23 23 23 23 4 24 24 42 24 6 42 42 19 23 23 23 23 42 42 42 42 23 42 23 42 23 23 42 42 42 4 42 23 23 12 42 42 42 42 42 12 2 5 12 15 42 4 15 42 12 15 42 23 42 5 12 4 37 4 6 42 42 42 12 42 42 42 12 5 2 42 12 23 42 42 23 42 42 4 42 23 6 14 12 5 17 17 3 1 0 19 3 7 8 13 15 0 0 0 0 0 7 7 13 7 38 0 0 14 0 0 3 0 3 7 1 7 0 0 7 0 1 0 1 19 14 1 38 7 38 19 3 0 7 38 7 7 8 0 38 7 0 38 13 38 3 41 3 7 7 7 14 8 3 7 1 0 0 14 0 8 8 3 20 13 3 13 38 15 0 38 7 7 14 7 15 3 7 14 3 19 13 0 7 0"
7,-0.7985,0.9524,"2 37 2 2 2 4 2 2 37 2 4 2 6 2 2 4 37 37 37 2 2 2 2 2 2 2 2 42 37 4 2 5 6 2 4 6 2 37 2 6 42 5 5 6 2 2 37 37 4 4 2 5 2 2 2 6 5 2 2 2 2 2 2 5 5 2 2 4 2 2 19 2 6 2 5 2 2 2 4 2 5 6 4 2 2 42 2 5 6 4 6 2 5 6 5 2 2 2 4 2 1 2 8 2 2 13 7 1 6 38 2 6 0 8 22 5 2 6 7 5 38 1 2 2 7 2 37 2 7 7 2 7 2 2 21 2 2 5 6 2 2 2 2 2 6 7 2 6 3 4 1 2 15 2 2 2 2 4 7 15 7 2 4 3 2 37 2 6 2 7 37 2 37 7 7 2 6 2 2 7 7 2 1 2 2 14 2 2 2 8 6 7 6 2 7 2 2 2 0 2 7 37 7 2 2 2 2 2 2 42 2 7 2 5 42 2 2 40 2 5 5 2 2 7 2 4 6 6 4 2 2 2 5 2 4 6 4 6 2 2 2 2 2 8 8 2 2 2 2 2 2 6 2 4 2 2 4 2 2 7 4 2 2 4 4 7 8 2 2 2 2 2 2 2 2 2 2 6 4 2 40 8 2 2 2 2 37 2 2 2 6 7 2 2 37 4 37 7 6 2 12 42 42 12 0 40 12 40 40 12 36 40 40 40 40 12 40 40 42 12 42 40 40 21 12 40 12 5 40 21 21 12 40 42 40 12 40 40 40 12 4 40 21 42 22 6 40 40 12 42 42 40 12 40 21 12 12 40 40 21 5 21 40 12 40 37 42 12 12 12 12 40 12 12 40 40 12 42 22 21 21 21 40 36 21 40 40 40 34 12 42 40 19 40 5 37 21 40 40 22 8 8 21 2 22 21 21 7 21 19 2 2 2 2 2 12 21 21 20 21 8 2 21 19 20 2 8 8 7 7 21 21 21 21 21 2 2 2 12 21 2 2 2 2 21 2 21 22 2 2 2 19 2 22 12 12 7 8 2 2 21 2 19 2 24 2 21 21 8 2 21 21 21 12 22 12 2 22 8 7 2 7 24 2 22 7 17 19 2 21 21 2 21 8 2 21 7 2 7 2"
8,-0.7938,0.9167,"34 37 4 6 36 34 34 4 3 34 34 35 3 34 2 34 35 35 5 3 0 2 25 34 36 4 37 35 25 6 34 34 34 35 34 0 34 25 7 37 35 3 2 36 34 25 35 3 36 25 37 34 37 34 0 37 34 34 25 0 35 5 34 36 34 34 34 0 35 7 34 36 35 25 35 34 34 37 34 34 36 30 34 35 7 36 0 34 34 34 5 6 6 35 39 7 34 34 34 34 11 9 34 36 39 35 39 9 34 31 34 11 34 35 31 34 34 34 34 35 11 34 34 34 9 34 34 34 34 34 34 31 34 34 9 34 9 31 10 35 34 9 36 11 34 36 36 9 34 34 11 34 34 34 36 34 34 35 34 11 11 34 34 34 34 9 10 34 39 34 34 34 35 10 36 9 35 9 34 31 34 36 34 35 34 36 9 34 9 2 9 33 11 9 34 34 35 34 34 31 16 25 12 25 16 25 27 12 25 12 25 25 16 12 12 16 9 27 12 16 26 16 12 16 16 16 25 25 16 16 12 25 25 16 16 16 27 25 12 16 25 12 16 25 16 25 16 16 25 25 12 16 16 12 12 25 16 26 16 12 9 12 25 16 25 25 12 25 12 16 25 16 12 12 16 25 25 25 16 26 27 16 12 16 16 25 12 12 25 25 16 25 16 16 16 12 16 16 26 12 23 23 24 12 15 14 23 23 14 23 24 7 23 23 14 23 23 23 23 12 24 24 12 24 23 23 24 19 23 23 23 23 23 23 12 7 23 23 23 12 23 23 14 23 23 23 23 23 23 12 15 12 23 15 12 12 23 14 12 15 23 23 15 15 12 15 23 23 15 7 12 23 24 23 23 23 23 12 12 23 23 12 12 23 14 23 12 23 23 19 23 17 24 12 23 23 23 14 12 23 17 17 3 1 0 19 3 7 8 13 15 0 0 0 0 0 7 7 13 7 38 0 0 14 0 0 3 0 3 7 1 7 0 0 7 0 1 0 1 19 14 1 38 7 38 19 3 0 7 38 7 7 8 0 38 7 0 38 13 38 3 41 3 7 7 7 14 8 3 7 1 0 0 14 0 8 8 3 20 13 3 13 38 15 0 38 7 7 14 7 15 3 7 14 3 19 13 0 7 0"
9,-0.7878,0.9167,"12 27 12 25 12 12 12 12 2 12 12 25 25 12 25 12 2 27 10 12 12 9 25 25 12 27 25 26 12 26 25 12 25 27 26 26 26 12 26 2 26 12 12 25 25 25 27 12 26 2 12 12 27 27 12 25 12 27 27 27 25 27 27 12 12 25 12 25 27 11 25 12 12 27 2 12 25 26 26 12 27 25 25 27 12 25 27 25 26 25 26 27 25 25 2 25 25 12 25 12 39 9 10 0 39 9 0 0 39 23 39 9 39 41 39 0 9 39 2 39 10 0 10 11 8 3 39 3 0 3 3 3 9 9 9 9 3 0 10 3 11 9 39 3 3 7 9 39 23 0 3 9 9 3 39 9 9 0 3 39 39 8 3 3 0 9 3 39 3 2 0 3 0 11 9 11 3 39 9 0 39 9 39 9 3 0 39 39 0 3 39 7 39 39 9 39 39 0 9 9 0 3 0 3 0 2 5 0 3 37 1 2 0 0 0 38 2 0 2 0 13 0 3 2 2 4 13 1 3 3 0 13 3 13 0 13 3 0 3 38 0 3 2 0 38 2 1 3 0 3 0 38 13 38 2 3 4 0 0 4 0 3 3 38 6 3 3 3 3 38 0 2 0 2 2 3 39 0 1 3 3 3 0 1 3 0 13 2 13 1 3 0 0 13 38 0 39 2 0 2 33 31 31 32 11 31 9 31 31 9 31 31 12 11 31 32 10 33 33 33 9 11 31 31 10 9 12 31 31 9 9 9 9 7 9 9 31 31 31 9 31 32 31 31 12 12 32 31 31 31 31 12 31 31 31 12 31 32 10 9 31 9 31 31 31 9 33 12 31 32 10 31 31 31 33 31 31 31 31 9 31 32 31 31 31 33 32 9 11 31 31 33 31 9 9 14 33 31 12 31 31 8 3 33 39 39 42 42 42 12 39 0 42 16 41 39 39 39 3 42 25 42 16 0 3 12 3 3 39 32 39 39 39 3 42 39 39 16 0 39 12 39 39 42 39 42 39 39 0 39 12 31 42 0 31 39 39 39 39 0 39 3 39 0 0 42 3 42 0 12 3 39 39 0 39 0 42 3 16 39 33 3 42 39 42 42 6 3 39 39 12 12 39 39 26 0 12 39 39 3"
10,-0.7807,0.8800,"25 25 12 25 31 39 39 39 40 5 39 39 39 27 39 39 40 39 39 26 10 39 42 39 26 39 39 31 39 25 25 37 5 31 25 25 26 39 40 39 25 5 40 27 26 2 39 39 39 6 39 39 25 25 39 39 26 26 25 39 39 25 25 25 25 25 26 39 5 39 39 39 40 6 25 25 40 39 39 39 39 25 25 39 39 25 27 39 27 25 25 40 6 12 12 40 39 25 39 25 39 29 27 39 27 25 26 25 25 25 25 25 25 25 29 39 28 39 25 28 25 25 28 11 27 25 30 28 26 26 25 25 27 25 25 25 28 9 10 25 25 25 39 27 28 7 28 28 23 26 29 27 28 25 25 25 25 39 30 27 28 30 25 26 26 25 2 27 27 25 39 25 25 11 27 11 29 28 28 25 28 25 28 25 9 25 28 39 29 25 26 7 26 25 25 27 39 28 27 30 23 18 17 17 17 23 3 17 17 17 17 17 0 17 9 17 23 17 17 12 17 17 23 17 0 3 9 17 17 3 17 17 17 17 17 17 17 18 9 0 17 23 17 12 0 17 18 11 12 17 17 18 18 18 17 23 39 12 9 17 17 23 17 18 10 17 17 0 18 17 0 23 9 17 18 18 17 12 11 0 17 3 17 17 17 24 17 17 24 9 9 17 0 3 17 17 17 0 9 23 3 23 1 12 41 7 1 7 0 7 7 7 41 23 41 7 7 8 23 12 24 7 41 41 7 23 7 7 7 7 7 7 38 7 12 7 41 41 8 7 7 8 7 7 23 7 7 7 7 41 8 8 7 15 41 7 41 41 41 41 8 7 7 7 7 7 7 23 1 8 7 7 41 41 7 8 7 7 12 7 7 7 13 23 13 41 7 7 23 7 41 1 8 8 41 7 7 14 8 7 17 17 3 19 0 19 0 7 8 13 15 0 0 0 3 8 7 7 0 7 38 3 7 14 0 0 3 0 7 7 7 7 0 17 7 0 12 0 12 19 14 19 17 7 7 19 3 3 7 3 7 7 8 0 8 7 0 8 15 7 0 41 1 7 7 7 14 8 19 7 8 0 0 14 0 8 8 3 20 1 3 8 19 15 0 3 7 7 14 7 15 7 7 14 8 19 3 0 7 8"
