# seed=5
# instance=PIECEWISE
# popSize=100
# generations=100
# crossover=BlockUniform(p=0.25)
# mutation=p0=0.05,pMin=0.002,alpha=0.95
# tournamentK=3
# elitism=2
# lambda_similarity=0.3
# fights_per_team=10
# anchors=5
gen,changes,best_fitness,best_winrate,best_similarity,avg_fitness,worst_fitness,best_genome
0,1,-0.5971,0.8750,0.9262,-0.1749,0.2800,"11 11 14 1 42 4 20 20 16 39 33 7 16 34 17 27 23 33 37 9 31 30 32 36 31 36 19 0 25 28 19 1 31 2 34 37 33 38 14 6 1 12 42 41 17 20 6 9 32 27 26 15 14 22 17 25 12 4 37 15 34 11 34 36 9 41 35 20 31 8 2 1 30 34 27 9 30 37 9 28 3 14 31 21 39 0 42 0 13 35 2 27 41 33 13 33 35 18 18 28 36 2 17 22 9 37 23 25 2 39 0 20 4 34 26 6 35 30 36 32 13 28 29 27 24 42 6 27 10 5 9 31 2 29 15 38 32 2 4 39 6 28 38 16 16 23 24 35 39 25 15 35 13 27 37 5 21 29 35 1 24 24 2 16 42 10 37 31 11 30 4 13 4 18 39 17 23 41 4 2 32 34 35 21 6 28 1 34 4 32 19 19 38 34 14 28 17 0 16 13 1 19 29 17 2 28 8 22 4 37 15 29 14 7 28 36 4 12 27 25 38 29 34 42 21 1 27 9 34 15 5 41 32 25 39 4 17 0 39 7 8 2 21 30 19 22 38 35 10 5 32 0 12 12 11 26 20 1 39 23 0 23 1 6 2 2 27 29 31 8 39 21 41 10 33 37 3 30 0 37 4 34 30 3 30 33 0 32 16 37 31 34 24 1 31 27 41 9 3 12 14 25 26 39 2 6 6 22 41 23 23 20 40 31 27 27 1 23 26 30 27 14 23 1 12 14 11 6 42 41 20 22 37 38 14 25 0 39 27 1 33 17 28 36 19 41 15 19 21 28 39 18 6 2 1 12 19 36 21 7 28 10 2 13 5 24 17 32 37 22 15 33 8 18 4 33 0 30 13 31 8 32 40 4 28 24 20 6 27 18 18 33 22 30 28 27 22 26 37 34 2 37 19 38 42 5 11 14 39 10 35 26 12 24 4 11 9 23 26 9 32 5 19 23 17 29 36 11 28 15 19 24 15 40 30 10 29 17 27 14 32 13 29 31 28 5 22 23 11 7 28 22 36 21 34 16 35 34 27 0 16 25 39 28 26 33 22 9 8 6 10 1 23 12 5 30 22 23 40 27 13 24 18 3 6 20 25 42 20 38 20 25 40 30 3 25 16 37 29 28"
1,2,-0.7123,0.8750,0.5422,-0.2248,0.2799,"39 39 19 39 31 31 32 12 31 32 20 32 39 31 31 39 39 31 31 39 30 12 32 20 20 12 30 31 39 31 19 39 33 20 19 31 31 39 33 32 12 39 31 31 32 39 28 17 39 39 39 31 39 31 39 19 19 20 31 19 28 32 39 31 31 31 39 39 31 19 31 31 39 39 31 39 39 19 31 39 31 19 12 31 39 31 39 39 39 35 19 39 31 39 39 39 39 31 5 39 25 27 0 3 23 35 3 12 12 25 25 0 0 12 12 25 34 20 3 25 3 19 25 0 0 26 0 3 0 25 34 12 25 27 0 20 25 29 3 27 20 25 27 12 25 12 26 12 12 26 25 20 27 20 26 0 25 3 0 12 25 34 25 25 25 25 25 25 36 25 34 0 25 19 20 0 3 3 25 3 3 12 18 25 25 0 27 3 0 25 30 25 34 3 3 3 20 26 25 0 12 0 21 30 17 30 17 12 28 17 17 13 41 41 41 41 12 30 41 18 41 41 38 3 0 17 41 41 41 0 28 41 17 17 0 18 41 41 41 1 1 17 41 17 12 41 17 17 17 30 41 28 41 0 18 0 28 41 41 1 3 3 18 41 41 41 41 17 28 19 30 0 38 17 3 18 17 0 41 41 12 18 41 38 17 41 0 31 17 13 1 32 41 3 38 41 38 41 0 17 6 21 37 41 41 41 4 12 4 37 12 12 1 22 6 41 21 2 41 5 37 6 41 38 2 37 41 4 41 4 21 5 3 37 2 4 38 2 41 41 4 3 0 2 4 12 6 38 41 4 34 41 4 13 12 12 41 41 4 5 37 0 4 41 12 28 41 22 4 21 4 41 41 41 41 3 4 38 5 22 12 12 4 8 6 12 1 4 21 41 1 4 5 1 41 13 12 13 41 13 42 2 39 16 16 3 39 39 12 42 2 39 42 42 42 16 42 39 39 39 12 39 16 42 13 39 42 39 42 42 39 39 39 39 40 39 39 42 42 12 39 42 39 16 39 42 12 20 42 22 42 39 39 39 39 28 39 39 12 39 14 39 39 12 39 21 42 31 42 42 39 5 22 42 39 39 13 1 42 39 39 4 42 42 42 16 39 42 39 34 12 12 42 42 10 16 42 39 16 42"
2,3,-0.7808,0.8966,0.3860,-0.2757,0.1791,"25 25 25 25 28 28 25 25 4 25 28 25 17 28 28 26 28 25 12 25 25 28 30 28 25 26 25 7 25 25 25 25 7 25 25 8 25 30 25 25 25 25 16 7 7 25 25 25 25 26 0 25 25 26 25 29 12 25 7 25 26 28 8 8 28 25 28 7 30 25 25 25 25 28 25 28 25 28 25 28 25 7 25 25 28 25 25 25 28 25 28 7 25 25 8 26 26 30 25 7 2 2 2 2 2 4 2 4 2 6 6 5 2 2 2 42 2 2 2 42 2 2 39 5 4 2 2 2 5 12 2 2 12 37 5 37 42 2 2 21 2 2 37 2 2 2 2 42 37 12 21 2 2 19 2 2 6 42 22 6 42 2 2 5 2 37 6 2 6 42 42 2 2 2 2 6 2 42 42 12 42 5 2 2 12 42 2 5 6 2 2 4 21 42 2 12 12 2 2 2 25 3 25 25 25 25 25 27 0 0 26 0 28 25 25 25 0 25 3 25 3 25 0 25 25 0 25 25 3 12 0 3 25 3 25 27 25 3 25 25 0 3 25 0 3 3 25 25 25 27 3 25 0 25 13 0 14 25 25 25 26 0 0 3 27 25 0 25 25 25 0 25 3 25 27 25 0 0 25 28 3 26 26 26 27 26 25 25 0 31 25 25 27 25 27 0 3 3 0 26 25 25 41 38 3 41 3 1 25 25 25 13 13 25 25 1 25 3 25 3 25 25 38 13 13 23 26 4 26 13 25 3 38 3 0 0 0 25 3 25 27 26 27 25 25 3 41 1 25 13 25 27 27 42 25 42 4 25 41 0 26 25 25 26 27 25 13 27 25 13 25 38 25 26 42 25 3 38 41 26 25 38 27 25 25 25 1 4 25 1 25 25 41 25 25 27 25 25 0 42 39 2 5 31 31 2 32 8 31 40 2 40 8 40 21 40 32 2 8 2 2 2 2 40 15 40 40 2 7 39 31 39 8 40 2 40 31 2 7 2 2 23 32 8 32 31 8 39 7 2 31 2 2 8 2 2 8 40 8 2 2 2 2 40 2 7 31 2 40 39 39 2 40 7 2 2 2 39 31 2 7 2 2 7 40 2 7 2 2 2 27 8 40 2 2 40 40 40 7 40"
3,3,-0.7661,0.9167,0.5018,-0.2804,0.1661,"25 25 25 25 28 28 25 25 4 25 28 25 17 28 28 26 28 25 12 25 25 28 30 28 25 26 25 7 25 25 25 25 7 25 25 8 25 30 25 25 25 25 16 7 7 25 25 25 25 26 0 25 25 26 25 29 12 25 7 25 26 28 8 8 28 25 28 7 30 25 25 25 25 28 25 28 25 28 25 28 25 7 25 25 28 25 25 25 28 25 28 7 25 25 8 26 26 30 25 7 2 2 2 2 2 4 2 4 2 6 6 5 2 2 2 42 2 2 2 42 2 2 39 5 4 2 2 2 5 12 2 2 12 37 5 37 42 2 2 21 2 2 37 2 2 2 2 42 37 12 21 2 2 19 2 2 6 42 22 6 42 2 2 5 2 37 6 2 6 42 42 2 2 2 2 6 2 42 42 12 42 5 2 2 12 42 2 5 6 2 2 4 21 42 2 12 12 2 2 2 25 3 25 25 25 25 25 27 0 0 26 0 28 25 25 25 0 25 3 25 3 25 0 25 25 0 25 25 3 12 0 3 25 3 25 27 25 3 25 25 0 3 25 0 3 3 25 25 25 27 3 25 0 25 13 0 14 25 25 25 26 0 0 3 27 25 0 25 25 25 0 25 3 25 27 25 0 0 25 28 3 26 26 26 27 26 25 25 0 31 25 25 27 25 27 0 3 3 0 26 25 25 41 38 3 41 3 1 25 25 25 13 13 25 25 1 25 3 25 3 25 25 38 13 13 23 26 4 26 13 25 3 38 3 0 0 0 25 3 25 27 26 27 25 25 3 41 1 25 13 25 27 27 42 25 42 4 25 41 0 26 25 25 26 27 25 13 27 25 13 25 38 25 26 42 25 3 38 41 26 25 38 27 25 25 25 1 4 25 1 25 25 41 25 25 27 25 25 0 42 39 2 5 31 31 2 32 8 31 40 2 40 8 40 21 40 32 2 8 2 2 2 2 40 15 40 40 2 7 39 31 39 8 40 2 40 31 2 7 2 2 23 32 8 32 31 8 39 7 2 31 2 2 8 2 2 8 40 8 2 2 2 2 40 2 7 31 2 40 39 39 2 40 7 2 2 2 39 31 2 7 2 2 7 40 2 7 2 2 2 27 8 40 2 2 40 40 40 7 40"
4,3,-0.7767,0.9200,0.4778,-0.2949,0.1595,"25 25 25 25 28 28 25 25 4 25 28 25 17 28 28 26 28 25 12 25 25 28 30 28 25 26 25 7 25 25 25 25 7 25 25 8 25 30 25 25 25 25 16 7 7 25 25 25 25 26 0 25 25 26 25 29 12 25 7 25 26 28 8 8 28 25 28 7 30 25 25 25 25 28 25 28 25 28 25 28 25 7 25 25 28 25 25 25 28 25 28 7 25 25 8 26 26 30 25 7 2 2 2 2 2 4 2 4 2 6 6 5 2 2 2 42 2 2 2 42 2 2 39 5 4 2 2 2 5 12 2 2 12 37 5 37 42 2 2 21 2 2 37 2 2 2 2 42 37 12 21 2 2 19 2 2 6 42 22 6 42 2 2 5 2 37 6 2 6 42 42 2 2 2 2 6 2 42 42 12 42 5 2 2 12 42 2 5 6 2 2 4 21 42 2 12 12 2 2 2 25 3 25 25 25 25 25 27 0 0 26 0 28 25 25 25 0 25 3 25 3 25 0 25 25 0 25 25 3 12 0 3 25 3 25 27 25 3 25 25 0 3 25 0 3 3 25 25 25 27 3 25 0 25 13 0 14 25 25 25 26 0 0 3 27 25 0 25 25 25 0 25 3 25 27 25 0 0 25 28 3 26 26 26 27 26 25 25 0 31 25 25 27 25 27 0 3 3 0 26 25 25 41 38 3 41 3 1 25 25 25 13 13 25 25 1 25 3 25 3 25 25 38 13 13 23 26 4 26 13 25 3 38 3 0 0 0 25 3 25 27 26 27 25 25 3 41 1 25 13 25 27 27 42 25 42 4 25 41 0 26 25 25 26 27 25 13 27 25 13 25 38 25 26 42 25 3 38 41 26 25 38 27 25 25 25 1 4 25 1 25 25 41 25 25 27 25 25 0 42 39 2 5 31 31 2 32 8 31 40 2 40 8 40 21 40 32 2 8 2 2 2 2 40 15 40 40 2 7 39 31 39 8 40 2 40 31 2 7 2 2 23 32 8 32 31 8 39 7 2 31 2 2 8 2 2 8 40 8 2 2 2 2 40 2 7 31 2 40 39 39 2 40 7 2 2 2 39 31 2 7 2 2 7 40 2 7 2 2 2 27 8 40 2 2 40 40 40 7 40"
5,3,-0.7634,0.9259,0.5416,-0.3004,0.1404,"25 25 25 25 28 28 25 25 4 25 28 25 17 28 28 26 28 25 12 25 25 28 30 28 25 26 25 7 25 25 25 25 7 25 25 8 25 30 25 25 25 25 16 7 7 25 25 25 25 26 0 25 25 26 25 29 12 25 7 25 26 28 8 8 28 25 28 7 30 25 25 25 25 28 25 28 25 28 25 28 25 7 25 25 28 25 25 25 28 25 28 7 25 25 8 26 26 30 25 7 2 2 2 2 2 4 2 4 2 6 6 5 2 2 2 42 2 2 2 42 2 2 39 5 4 2 2 2 5 12 2 2 12 37 5 37 42 2 2 21 2 2 37 2 2 2 2 42 37 12 21 2 2 19 2 2 6 42 22 6 42 2 2 5 2 37 6 2 6 42 42 2 2 2 2 6 2 42 42 12 42 5 2 2 12 42 2 5 6 2 2 4 21 42 2 12 12 2 2 2 25 3 25 25 25 25 25 27 0 0 26 0 28 25 25 25 0 25 3 25 3 25 0 25 25 0 25 25 3 12 0 3 25 3 25 27 25 3 25 25 0 3 25 0 3 3 25 25 25 27 3 25 0 25 13 0 14 25 25 25 26 0 0 3 27 25 0 25 25 25 0 25 3 25 27 25 0 0 25 28 3 26 26 26 27 26 25 25 0 31 25 25 27 25 27 0 3 3 0 26 25 25 41 38 3 41 3 1 25 25 25 13 13 25 25 1 25 3 25 3 25 25 38 13 13 23 26 4 26 13 25 3 38 3 0 0 0 25 3 25 27 26 27 25 25 3 41 1 25 13 25 27 27 42 25 42 4 25 41 0 26 25 25 26 27 25 13 27 25 13 25 38 25 26 42 25 3 38 41 26 25 38 27 25 25 25 1 4 25 1 25 25 41 25 25 27 25 25 0 42 39 2 5 31 31 2 32 8 31 40 2 40 8 40 21 40 32 2 8 2 2 2 2 40 15 40 40 2 7 39 31 39 8 40 2 40 31 2 7 2 2 23 32 8 32 31 8 39 7 2 31 2 2 8 2 2 8 40 8 2 2 2 2 40 2 7 31 2 40 39 39 2 40 7 2 2 2 39 31 2 7 2 2 7 40 2 7 2 2 2 27 8 40 2 2 40 40 40 7 40"
6,4,-0.8052,0.9286,0.4111,-0.2999,0.1458,"31 19 23 31 31 31 23 31 23 2 31 33 23 12 31 23 32 31 32 2 24 2 23 31 31 32 23 2 31 37 24 31 31 23 31 32 24 37 31 32 24 23 33 19 31 31 15 2 23 24 2 31 23 6 31 31 33 31 32 31 23 32 23 2 37 33 33 32 31 31 24 31 31 31 31 24 33 31 23 23 31 31 31 33 31 23 31 31 2 32 31 31 37 31 31 23 32 31 2 31 7 7 3 7 7 2 7 2 7 25 0 7 2 7 7 7 7 8 8 7 7 8 7 1 7 7 7 7 7 7 7 7 7 7 0 8 7 8 7 8 7 7 7 7 7 7 8 7 7 2 7 7 7 7 7 7 8 7 7 7 8 21 7 2 7 7 7 7 7 7 8 7 7 7 8 7 7 7 7 7 7 8 7 7 7 8 7 8 2 7 7 8 1 7 7 7 7 7 7 7 2 2 3 11 3 9 38 2 2 2 1 2 11 2 3 9 2 2 3 2 2 2 2 42 2 2 13 2 11 3 4 2 9 10 3 2 0 11 2 6 1 13 2 2 10 9 2 2 2 2 11 2 2 10 0 2 5 1 21 4 23 3 2 4 11 3 2 37 2 0 2 2 2 2 2 10 2 2 2 37 2 2 2 2 2 10 2 2 2 38 2 2 5 11 38 1 2 2 2 2 7 7 42 19 7 19 7 7 2 7 15 7 8 7 19 7 7 7 19 19 8 7 15 19 7 7 17 8 7 17 7 17 7 14 7 7 17 7 8 7 7 19 7 8 8 8 7 7 7 7 17 2 17 8 19 7 7 7 7 7 20 15 8 19 7 14 20 7 7 8 17 19 9 7 7 7 7 14 20 11 17 7 7 7 17 7 17 7 19 17 8 7 7 14 15 7 7 7 7 19 24 3 23 23 6 3 23 0 3 24 3 0 3 0 23 40 24 12 0 40 23 9 20 3 0 3 0 3 12 3 3 3 3 5 12 19 23 12 23 23 0 12 0 3 12 37 0 3 23 4 0 0 4 0 3 23 6 23 23 6 23 12 23 3 12 0 2 5 12 0 0 2 4 23 23 20 3 3 40 3 37 0 2 23 0 12 23 3 23 6 0 6 6 24 0 3 3 4 23 3"
7,4,-0.7740,0.9130,0.4635,-0.3090,0.1415,"31 19 23 31 31 31 23 31 23 2 31 33 23 12 31 23 32 31 32 2 24 2 23 31 31 32 23 2 31 37 24 31 31 23 31 32 24 37 31 32 24 23 33 19 31 31 15 2 23 24 2 31 23 6 31 31 33 31 32 31 23 32 23 2 37 33 33 32 31 31 24 31 31 31 31 24 33 31 23 23 31 31 31 33 31 23 31 31 2 32 31 31 37 31 31 23 32 31 2 31 7 7 3 7 7 2 7 2 7 25 0 7 2 7 7 7 7 8 8 7 7 8 7 1 7 7 7 7 7 7 7 7 7 7 0 8 7 8 7 8 7 7 7 7 7 7 8 7 7 2 7 7 7 7 7 7 8 7 7 7 8 21 7 2 7 7 7 7 7 7 8 7 7 7 8 7 7 7 7 7 7 8 7 7 7 8 7 8 2 7 7 8 1 7 7 7 7 7 7 7 2 2 3 11 3 9 38 2 2 2 1 2 11 2 3 9 2 2 3 2 2 2 2 42 2 2 13 2 11 3 4 2 9 10 3 2 0 11 2 6 1 13 2 2 10 9 2 2 2 2 11 2 2 10 0 2 5 1 21 4 23 3 2 4 11 3 2 37 2 0 2 2 2 2 2 10 2 2 2 37 2 2 2 2 2 10 2 2 2 38 2 2 5 11 38 1 2 2 2 2 7 7 42 19 7 19 7 7 2 7 15 7 8 7 19 7 7 7 19 19 8 7 15 19 7 7 17 8 7 17 7 17 7 14 7 7 17 7 8 7 7 19 7 8 8 8 7 7 7 7 17 2 17 8 19 7 7 7 7 7 20 15 8 19 7 14 20 7 7 8 17 19 9 7 7 7 7 14 20 11 17 7 7 7 17 7 17 7 19 17 8 7 7 14 15 7 7 7 7 19 24 3 23 23 6 3 23 0 3 24 3 0 3 0 23 40 24 12 0 40 23 9 20 3 0 3 0 3 12 3 3 3 3 5 12 19 23 12 23 23 0 12 0 3 12 37 0 3 23 4 0 0 4 0 3 23 6 23 23 6 23 12 23 3 12 0 2 5 12 0 0 2 4 23 23 20 3 3 40 3 37 0 2 23 0 12 23 3 23 6 0 6 6 24 0 3 3 4 23 3"
8,4,-0.7928,0.9310,0.4607,-0.3175,0.1450,"31 19 23 31 31 31 23 31 23 2 31 33 23 12 31 23 32 31 32 2 24 2 23 31 31 32 23 2 31 37 24 31 31 23 31 32 24 37 31 32 24 23 33 19 31 31 15 2 23 24 2 31 23 6 31 31 33 31 32 31 23 32 23 2 37 33 33 32 31 31 24 31 31 31 31 24 33 31 23 23 31 31 31 33 31 23 31 31 2 32 31 31 37 31 31 23 32 31 2 31 7 7 3 7 7 2 7 2 7 25 0 7 2 7 7 7 7 8 8 7 7 8 7 1 7 7 7 7 7 7 7 7 7 7 0 8 7 8 7 8 7 7 7 7 7 7 8 7 7 2 7 7 7 7 7 7 8 7 7 7 8 21 7 2 7 7 7 7 7 7 8 7 7 7 8 7 7 7 7 7 7 8 7 7 7 8 7 8 2 7 7 8 1 7 7 7 7 7 7 7 2 2 3 11 3 9 38 2 2 2 1 2 11 2 3 9 2 2 3 2 2 2 2 42 2 2 13 2 11 3 4 2 9 10 3 2 0 11 2 6 1 13 2 2 10 9 2 2 2 2 11 2 2 10 0 2 5 1 21 4 23 3 2 4 11 3 2 37 2 0 2 2 2 2 2 10 2 2 2 37 2 2 2 2 2 10 2 2 2 38 2 2 5 11 38 1 2 2 2 2 7 7 42 19 7 19 7 7 2 7 15 7 8 7 19 7 7 7 19 19 8 7 15 19 7 7 17 8 7 17 7 17 7 14 7 7 17 7 8 7 7 19 7 8 8 8 7 7 7 7 17 2 17 8 19 7 7 7 7 7 20 15 8 19 7 14 20 7 7 8 17 19 9 7 7 7 7 14 20 11 17 7 7 7 17 7 17 7 19 17 8 7 7 14 15 7 7 7 7 19 24 3 23 23 6 3 23 0 3 24 3 0 3 0 23 40 24 12 0 40 23 9 20 3 0 3 0 3 12 3 3 3 3 5 12 19 23 12 23 23 0 12 0 3 12 37 0 3 23 4 0 0 4 0 3 23 6 23 23 6 23 12 23 3 12 0 2 5 12 0 0 2 4 23 23 20 3 3 40 3 37 0 2 23 0 12 23 3 23 6 0 6 6 24 0 3 3 4 23 3"
9,4,-0.7745,0.9259,0.5047,-0.3064,0.1285,"31 19 23 31 31 31 23 31 23 2 31 33 23 12 31 23 32 31 32 2 24 2 23 31 31 32 23 2 31 37 24 31 31 23 31 32 24 37 31 32 24 23 33 19 31 31 15 2 23 24 2 31 23 6 31 31 33 31 32 31 23 32 23 2 37 33 33 32 31 31 24 31 31 31 31 24 33 31 23 23 31 31 31 33 31 23 31 31 2 32 31 31 37 31 31 23 32 31 2 31 7 7 3 7 7 2 7 2 7 25 0 7 2 7 7 7 7 8 8 7 7 8 7 1 7 7 7 7 7 7 7 7 7 7 0 8 7 8 7 8 7 7 7 7 7 7 8 7 7 2 7 7 7 7 7 7 8 7 7 7 8 21 7 2 7 7 7 7 7 7 8 7 7 7 8 7 7 7 7 7 7 8 7 7 7 8 7 8 2 7 7 8 1 7 7 7 7 7 7 7 2 2 3 11 3 9 38 2 2 2 1 2 11 2 3 9 2 2 3 2 2 2 2 42 2 2 13 2 11 3 4 2 9 10 3 2 0 11 2 6 1 13 2 2 10 9 2 2 2 2 11 2 2 10 0 2 5 1 21 4 23 3 2 4 11 3 2 37 2 0 2 2 2 2 2 10 2 2 2 37 2 2 2 2 2 10 2 2 2 38 2 2 5 11 38 1 2 2 2 2 7 7 42 19 7 19 7 7 2 7 15 7 8 7 19 7 7 7 19 19 8 7 15 19 7 7 17 8 7 17 7 17 7 14 7 7 17 7 8 7 7 19 7 8 8 8 7 7 7 7 17 2 17 8 19 7 7 7 7 7 20 15 8 19 7 14 20 7 7 8 17 19 9 7 7 7 7 14 20 11 17 7 7 7 17 7 17 7 19 17 8 7 7 14 15 7 7 7 7 19 24 3 23 23 6 3 23 0 3 24 3 0 3 0 23 40 24 12 0 40 23 9 20 3 0 3 0 3 12 3 3 3 3 5 12 19 23 12 23 23 0 12 0 3 12 37 0 3 23 4 0 0 4 0 3 23 6 23 23 6 23 12 23 3 12 0 2 5 12 0 0 2 4 23 23 20 3 3 40 3 37 0 2 23 0 12 23 3 23 6 0 6 6 24 0 3 3 4 23 3"
