rank,fitness,winrate,genome
1,-0.8328,0.9583,"18 3 12 18 18 17 12 12 18 12 18 17 34 12 18 12 18 12 12 3 12 12 34 34 36 35 12 34 12 17 12 12 12 18 12 12 12 18 12 12 34 12 36 34 17 18 12 12 12 17 12 12 12 34 12 12 34 12 34 12 12 21 17 12 17 18 12 12 12 35 12 17 12 12 17 12 0 12 12 34 12 17 17 12 35 12 35 18 12 12 18 12 12 17 18 12 35 12 12 12 34 34 12 34 34 34 34 34 34 35 12 34 35 31 34 12 17 34 34 34 34 34 36 34 12 34 34 34 34 34 34 34 12 12 39 35 34 34 34 34 34 33 12 35 19 34 34 36 34 34 34 34 34 34 35 36 34 36 34 36 34 34 34 34 34 35 34 36 34 39 34 35 12 39 34 34 34 12 34 36 35 34 39 36 34 33 12 34 34 35 34 33 15 34 32 34 34 35 39 36 26 25 27 6 4 16 25 2 25 25 16 16 27 25 6 25 12 25 16 25 25 5 27 25 27 12 25 2 26 25 25 27 37 25 27 25 25 25 2 39 25 5 37 25 25 25 25 25 27 25 25 25 16 27 25 5 26 39 25 12 12 25 12 27 37 25 27 25 26 39 25 16 39 12 27 26 39 39 34 25 12 25 25 27 2 16 25 25 25 39 12 6 25 4 39 25 25 26 34 26 25 2 8 25 26 16 26 27 25 25 25 8 28 8 16 25 12 12 25 26 27 16 10 7 7 27 27 25 25 25 25 25 26 25 25 25 28 27 7 25 27 7 30 26 25 25 12 26 25 25 25 12 2 25 7 7 26 7 25 7 30 25 11 30 25 27 25 25 25 27 2 25 12 25 28 25 7 27 25 25 25 25 16 25 25 27 27 25 25 25 27 7 7 2 28 16 25 27 7 16 25 25 25 42 24 12 25 25 12 25 25 26 12 12 25 12 42 25 12 26 25 18 25 25 24 26 25 25 24 25 25 25 25 12 27 25 27 12 12 12 25 25 25 25 25 23 24 12 25 25 12 27 27 25 25 12 24 12 25 12 25 12 18 18 12 17 17 26 26 12 25 12 12 12 24 25 26 12 26 25 25 26 25 12 25 27 25 12 26 24 27 25 12 12 12 24 25 17 25 17"
2,-0.8305,1.0000,"5 0 4 0 2 3 8 2 5 3 3 12 7 7 7 0 2 2 2 6 3 2 7 5 2 2 2 8 37 0 3 25 3 6 0 4 1 0 2 6 3 37 8 5 3 7 8 6 12 8 3 2 2 2 40 5 37 2 37 12 4 37 3 6 8 3 4 2 3 12 3 37 6 16 5 0 12 38 3 8 3 4 3 7 2 0 2 2 2 0 6 37 37 6 12 16 0 5 16 3 18 2 17 18 18 17 10 17 17 17 17 17 18 17 17 9 17 18 17 2 9 17 7 9 18 10 2 18 17 17 17 17 18 17 17 17 2 2 9 17 17 17 17 17 17 17 17 17 17 17 17 17 17 18 18 17 17 18 18 17 17 7 17 2 17 17 2 17 17 17 17 7 17 17 17 18 17 2 17 7 17 17 2 18 2 11 17 2 2 17 17 10 18 18 17 14 17 7 2 17 26 25 27 6 4 16 25 2 25 25 16 16 27 25 6 25 12 25 16 25 25 5 27 25 27 12 25 2 26 25 25 27 37 25 27 25 25 25 2 39 25 5 37 25 25 25 25 25 27 25 25 25 16 27 25 5 26 39 25 12 12 25 12 27 37 25 27 25 26 39 25 16 39 12 27 26 39 39 34 25 12 25 25 27 2 16 25 25 25 39 12 6 25 4 39 25 25 26 34 26 0 26 3 3 2 3 8 0 0 7 2 3 2 7 7 25 3 7 2 3 7 2 25 3 0 3 2 8 7 7 7 7 25 7 0 3 7 8 2 3 3 2 3 2 7 2 7 3 8 2 8 0 7 6 2 2 8 3 2 2 7 8 0 0 25 0 7 0 25 7 27 8 2 8 4 7 2 7 8 7 7 2 8 2 7 3 2 23 7 3 3 23 2 26 0 19 7 7 7 7 11 9 11 9 9 9 11 9 9 11 2 8 9 7 9 9 11 11 7 11 8 11 9 11 8 7 9 9 39 2 2 9 2 2 10 9 11 9 2 9 41 9 9 9 9 10 9 7 9 7 9 10 9 2 2 9 10 11 39 2 9 9 8 9 8 11 9 11 42 37 2 11 2 11 2 9 2 9 9 11 9 42 10 2 9 8 7 2 2 9 10 9 9 10 9 9 11 9 9 8"
3,-0.8168,1.0000,"8 0 16 0 2 3 8 2 7 3 3 12 7 7 7 0 2 2 2 2 3 2 7 2 0 2 2 8 0 0 3 25 3 2 0 2 1 0 2 16 3 0 8 3 3 7 8 2 12 8 3 2 2 2 40 2 7 0 3 12 3 2 3 7 8 3 0 2 3 12 3 2 8 16 41 0 12 38 3 8 3 2 3 7 2 0 2 2 2 0 2 2 2 7 12 16 0 2 16 3 4 2 17 10 2 9 10 2 7 2 17 2 18 2 17 9 17 2 17 2 9 17 7 9 17 10 2 17 18 2 11 17 11 17 17 7 2 2 9 7 17 9 10 2 7 9 2 2 17 5 7 2 18 11 17 2 2 10 2 10 17 7 17 2 2 2 2 2 2 17 11 7 9 2 9 7 17 2 2 7 18 2 2 9 2 11 10 2 2 10 2 10 2 2 2 14 7 7 2 2 26 25 27 6 4 16 25 2 25 25 16 16 27 25 6 25 12 25 16 25 25 5 27 25 27 12 25 2 26 25 25 27 37 25 27 25 25 25 2 39 25 5 37 25 25 25 25 25 27 25 25 25 16 27 25 5 26 39 25 12 12 25 12 27 37 25 27 25 26 39 25 16 39 12 27 26 39 39 34 25 12 25 25 27 2 16 25 25 25 39 12 6 25 4 39 25 25 26 34 26 0 26 3 3 2 3 8 0 0 7 2 3 2 7 7 25 3 7 2 3 7 2 25 3 0 3 2 8 7 7 7 7 25 7 0 3 7 8 2 3 3 2 3 2 7 2 7 3 8 2 8 0 7 6 2 2 8 3 2 2 7 8 0 0 25 0 7 0 25 7 27 8 2 8 4 7 2 7 8 7 7 2 8 2 7 3 2 23 7 3 3 23 2 26 0 19 7 7 7 7 2 2 8 2 2 2 2 7 9 2 2 8 2 7 2 7 8 2 7 7 8 8 8 2 8 7 2 2 39 2 2 2 2 2 2 8 2 8 2 7 41 2 2 2 7 2 8 7 42 7 2 8 2 2 2 8 8 8 39 2 2 39 8 8 8 2 2 2 42 37 2 42 2 7 2 2 2 7 2 2 2 42 8 2 8 8 7 2 2 17 2 39 42 2 7 42 2 7 2 8"
4,-0.8113,0.9545,"12 3 39 39 39 34 12 12 39 12 36 34 34 0 36 39 39 12 39 39 12 13 39 39 39 39 39 34 12 39 12 39 39 39 34 39 12 39 39 39 39 34 36 34 21 39 39 12 12 39 12 12 39 34 0 36 39 39 34 12 21 21 21 3 39 12 39 0 39 35 34 39 39 36 13 39 0 12 39 34 12 12 39 39 35 21 35 12 12 12 39 39 36 39 35 34 39 39 34 3 41 39 39 39 13 39 0 39 41 7 0 39 0 13 7 41 39 7 1 39 1 39 8 39 38 39 41 38 39 0 39 1 39 27 39 3 41 39 39 38 39 39 1 7 8 38 41 13 39 39 39 7 3 39 39 1 39 39 0 13 39 3 39 41 39 39 39 39 0 41 3 13 25 0 7 7 39 39 3 38 0 39 39 7 39 0 39 3 13 1 3 25 39 0 0 39 41 39 3 39 30 39 41 3 1 28 39 41 41 41 28 41 41 41 41 39 41 41 0 41 39 23 41 13 29 13 41 41 28 41 12 38 41 41 39 41 28 39 1 39 28 1 28 1 28 1 39 0 29 28 3 41 30 41 3 0 38 39 41 28 28 3 41 0 41 12 41 39 41 38 39 41 41 28 41 39 28 28 28 39 41 41 39 41 41 28 41 41 41 38 41 13 1 38 39 13 41 41 28 30 25 2 8 25 26 16 26 27 25 25 25 8 28 8 16 25 12 12 25 26 27 16 10 7 7 27 27 25 25 25 25 25 26 25 25 25 28 27 7 25 27 7 30 26 25 25 12 26 25 25 25 12 2 25 7 7 26 7 25 7 30 25 11 30 25 27 25 25 25 27 2 25 12 25 28 25 7 27 25 25 25 25 16 25 25 27 27 25 25 25 27 7 7 2 28 16 25 27 7 16 28 39 28 14 28 28 28 31 31 28 5 28 17 28 29 2 39 30 30 28 28 30 28 28 28 32 30 30 28 28 30 3 28 31 31 31 29 28 30 19 28 28 28 28 31 29 31 28 42 29 28 28 19 28 39 28 33 31 32 31 28 39 28 31 31 28 28 28 28 37 39 30 28 28 29 28 39 42 39 29 39 31 29 28 31 28 39 28 28 28 28 31 28 31 30 28 39 31 31 29"
5,-0.8011,1.0000,"41 37 39 39 39 40 39 4 40 40 5 41 39 40 28 13 4 40 41 41 4 37 41 4 40 40 5 2 2 37 2 41 21 9 39 41 40 4 6 5 39 28 40 40 5 37 40 40 41 41 41 2 39 28 13 4 40 39 28 39 6 38 40 41 39 39 6 41 4 37 39 1 40 37 40 5 9 4 40 2 6 40 41 40 41 40 41 28 39 28 40 28 40 39 40 6 2 38 39 9 40 39 28 28 39 40 39 28 30 28 28 39 40 39 25 28 40 28 39 28 28 39 25 29 7 39 28 28 28 28 28 28 28 28 29 28 30 2 30 28 28 28 39 28 25 30 30 40 28 28 28 39 28 28 28 29 7 25 29 28 29 7 39 28 28 28 39 28 29 28 30 39 28 28 28 28 7 28 7 28 28 28 39 39 28 7 7 25 28 7 2 29 25 28 28 39 28 25 28 28 26 25 27 6 4 16 25 2 25 25 16 16 27 25 6 25 12 25 16 25 25 5 27 25 27 12 25 2 26 25 25 27 37 25 27 25 25 25 2 39 25 5 37 25 25 25 25 25 27 25 25 25 16 27 25 5 26 39 25 12 12 25 12 27 37 25 27 25 26 39 25 16 39 12 27 26 39 39 34 25 12 25 25 27 2 16 25 25 25 39 12 6 25 4 39 25 25 26 34 26 0 26 3 3 2 3 8 0 0 7 2 3 2 7 7 25 3 7 2 3 7 2 25 3 0 3 2 8 7 7 7 7 25 7 0 3 7 8 2 3 3 2 3 2 7 2 7 3 8 2 8 0 7 6 2 2 8 3 2 2 7 8 0 0 25 0 7 0 25 7 27 8 2 8 4 7 2 7 8 7 7 2 8 2 7 3 2 23 7 3 3 23 2 26 0 19 7 7 7 7 40 23 23 23 40 23 23 42 40 37 23 24 23 42 40 40 23 23 40 6 24 23 40 40 23 40 23 23 23 35 37 40 23 37 23 40 24 24 23 24 23 40 24 42 24 2 40 12 40 24 40 23 40 23 24 38 23 24 23 42 40 23 40 23 2 24 23 40 23 23 23 13 40 42 23 4 23 40 40 42 40 23 40 40 40 40 36 40 37 40 23 37 40 42 23 23 23 12 40 23"
6,-0.7845,0.9545,"8 2 16 2 2 2 8 2 7 2 12 12 7 7 7 2 2 2 2 2 16 2 7 2 2 2 2 8 2 2 2 25 12 2 7 2 1 2 2 16 7 2 8 7 2 7 8 2 12 8 2 2 2 2 40 2 7 2 2 12 2 2 8 7 8 8 7 2 7 12 3 2 8 16 2 2 12 38 3 8 2 2 3 7 2 2 2 2 2 2 2 2 2 7 12 16 8 2 16 7 4 2 17 10 2 9 10 2 7 2 17 2 18 2 17 9 17 2 17 2 9 17 7 9 17 10 2 17 18 2 11 17 11 17 17 7 2 2 9 7 17 9 10 2 7 9 2 2 17 5 7 2 18 11 17 2 2 10 2 10 17 7 17 2 2 2 2 2 2 17 11 7 9 2 9 7 17 2 2 7 18 2 2 9 2 11 10 2 2 10 2 10 2 2 2 14 7 7 2 2 26 25 27 6 4 16 25 2 25 25 16 16 27 25 6 25 12 25 16 25 25 5 27 25 27 12 25 2 26 25 25 27 37 25 27 25 25 25 2 39 25 5 37 25 25 25 25 25 27 25 25 25 16 27 25 5 26 39 25 12 12 25 12 27 37 25 27 25 26 39 25 16 39 12 27 26 39 39 34 25 12 25 25 27 2 16 25 25 25 39 12 6 25 4 39 25 25 26 34 26 0 26 3 3 2 3 8 0 0 7 2 3 2 7 7 25 3 7 2 3 7 2 25 3 0 3 2 8 7 7 7 7 25 7 0 3 7 8 2 3 3 2 3 2 7 2 7 3 8 2 8 0 7 6 2 2 8 3 2 2 7 8 0 0 25 0 7 0 25 7 27 8 2 8 4 7 2 7 8 7 7 2 8 2 7 3 2 23 7 3 3 23 2 26 0 19 7 7 7 7 2 2 8 2 2 2 2 7 9 2 2 8 2 7 2 7 8 2 7 7 8 8 8 2 8 7 2 2 39 2 2 2 2 2 2 8 2 8 2 7 41 2 2 2 7 2 8 7 42 7 2 8 2 2 2 8 8 8 39 2 2 39 8 8 8 2 2 2 42 37 2 42 2 7 2 2 2 7 2 2 2 42 8 2 8 8 7 2 2 17 2 39 42 2 7 42 2 7 2 8"
7,-0.7806,0.9524,"41 37 39 39 39 40 39 4 40 40 5 41 39 40 28 13 4 40 41 41 4 37 41 4 40 40 5 2 2 37 2 41 21 9 39 41 40 4 6 5 39 28 40 40 5 37 40 40 41 41 41 2 39 28 13 4 40 39 28 39 6 38 40 41 39 39 6 41 4 37 39 1 40 37 40 5 9 4 40 2 6 40 41 40 41 40 41 28 39 28 40 28 40 39 40 6 2 38 39 9 40 39 28 28 39 40 39 28 30 28 28 39 40 39 25 28 40 28 39 28 28 39 25 29 7 39 28 28 28 28 28 28 28 28 29 28 30 2 30 28 28 28 39 28 25 30 30 40 28 28 28 39 28 28 28 29 7 25 29 28 29 7 39 28 28 28 39 28 29 28 30 39 28 28 28 28 7 28 7 28 28 28 39 39 28 7 7 25 28 7 2 29 25 28 28 39 28 25 28 28 28 25 2 28 27 25 26 29 28 28 25 16 25 28 12 32 25 25 29 27 25 28 25 27 31 4 28 25 26 25 25 25 12 25 25 26 31 26 25 12 26 27 12 26 25 25 25 25 25 25 16 25 25 25 28 32 30 39 25 29 27 12 10 28 25 12 25 25 25 28 30 31 25 28 25 25 27 31 27 26 27 25 25 25 27 28 4 25 25 16 25 32 31 25 12 25 28 30 12 4 25 2 8 25 26 16 26 27 25 25 25 8 28 8 16 25 12 12 25 26 27 16 10 7 7 27 27 25 25 25 25 25 26 25 25 25 28 27 7 25 27 7 30 26 25 25 12 26 25 25 25 12 2 25 7 7 26 7 25 7 30 25 11 30 25 27 25 25 25 27 2 25 12 25 28 25 7 27 25 25 25 25 16 25 25 27 27 25 25 25 27 7 7 2 28 16 25 27 7 16 40 40 40 23 40 40 40 40 40 37 40 24 23 42 40 40 40 23 40 40 24 23 40 40 23 40 23 23 40 35 37 40 40 40 40 40 40 24 23 40 23 40 40 42 24 40 40 12 40 24 40 40 40 23 40 40 23 24 23 42 40 23 40 40 2 24 23 40 40 23 23 40 40 42 40 4 23 40 40 42 40 23 40 40 40 40 40 40 37 40 23 37 40 42 40 23 23 12 40 40"
8,-0.7638,0.9259,"12 3 39 39 39 34 12 12 39 12 36 34 34 0 36 39 39 12 39 39 12 13 39 39 39 39 39 34 12 39 12 39 39 39 34 39 12 39 39 39 39 34 36 34 21 39 39 12 12 39 12 12 39 34 0 36 39 39 34 12 21 21 21 3 39 12 39 0 39 35 34 39 39 36 13 39 0 12 39 34 12 12 39 39 35 21 35 12 12 12 39 39 36 39 35 34 39 39 34 3 41 39 39 39 13 39 0 39 41 7 0 39 0 13 7 41 39 7 1 39 1 39 8 39 38 39 41 38 39 0 39 1 39 27 39 3 41 39 39 38 39 39 1 7 8 38 41 13 39 39 39 7 3 39 39 1 39 39 0 13 39 3 39 41 39 39 39 39 0 41 3 13 25 0 7 7 39 39 3 38 0 39 39 7 39 0 39 3 13 1 3 25 39 0 0 39 41 39 3 39 30 39 41 3 1 28 39 41 41 41 28 41 41 41 41 39 41 41 0 41 39 23 41 13 29 13 41 41 28 41 12 38 41 41 39 41 28 39 1 39 28 1 28 1 28 1 39 0 29 28 3 41 30 41 3 0 38 39 41 28 28 3 41 0 41 12 41 39 41 38 39 41 41 28 41 39 28 28 28 39 41 41 39 41 41 28 41 41 41 38 41 13 1 38 39 13 41 41 28 30 25 2 8 25 26 16 26 27 25 25 25 8 28 8 16 25 12 12 25 26 27 16 10 7 7 27 27 25 25 25 25 25 26 25 25 25 28 27 7 25 27 7 30 26 25 25 12 26 25 25 25 12 2 25 7 7 26 7 25 7 30 25 11 30 25 27 25 25 25 27 2 25 12 25 28 25 7 27 25 25 25 25 16 25 25 27 27 25 25 25 27 7 7 2 28 16 25 27 7 16 42 39 9 14 39 2 31 31 31 31 5 31 17 31 31 2 39 31 31 33 31 32 10 31 31 32 31 39 39 37 31 3 39 31 31 31 42 42 31 19 41 39 33 31 31 39 31 39 42 31 15 31 19 39 39 39 33 31 32 31 32 39 9 31 31 32 31 37 42 37 39 42 31 32 31 37 39 42 39 39 39 31 42 31 31 5 39 31 32 31 31 31 42 31 31 42 39 31 31 39"
9,-0.7530,0.9259,"41 37 39 39 39 40 39 4 40 40 5 41 39 40 28 13 4 40 41 41 4 37 41 4 40 40 5 2 2 37 2 41 21 9 39 41 40 4 6 5 39 28 40 40 5 37 40 40 41 41 41 2 39 28 13 4 40 39 28 39 6 38 40 41 39 39 6 41 4 37 39 1 40 37 40 5 9 4 40 2 6 40 41 40 41 40 41 28 39 28 40 28 40 39 40 6 2 38 39 9 40 39 28 28 39 40 39 28 30 28 28 39 40 39 25 28 40 28 39 28 28 39 25 29 7 39 28 28 28 28 28 28 28 28 29 28 30 2 30 28 28 28 39 28 25 30 30 40 28 28 28 39 28 28 28 29 7 25 29 28 29 7 39 28 28 28 39 28 29 28 30 39 28 28 28 28 7 28 7 28 28 28 39 39 28 7 7 25 28 7 2 29 25 28 28 39 28 25 28 28 28 25 2 28 27 25 26 29 28 28 25 16 25 28 12 32 25 25 29 27 25 28 25 27 31 4 28 25 26 25 25 25 12 25 25 26 31 26 25 12 26 27 12 26 25 25 25 25 25 25 16 25 25 25 28 32 30 39 25 29 27 12 10 28 25 12 25 25 25 42 30 31 25 28 25 25 27 31 27 26 27 25 25 25 27 28 4 25 25 16 25 32 31 25 12 25 28 30 12 4 25 2 8 25 26 16 26 27 25 25 25 8 28 8 16 25 12 12 25 26 27 16 10 7 7 27 27 25 25 25 25 25 26 25 25 25 28 27 7 25 27 7 30 26 25 25 12 26 25 25 25 12 2 25 7 7 26 7 25 7 30 25 11 30 25 27 25 25 25 27 2 25 12 25 28 25 7 27 25 25 25 25 16 25 25 27 27 25 25 25 27 7 7 2 28 16 25 27 7 16 40 40 40 23 40 40 40 40 40 37 40 24 23 42 40 40 40 23 40 40 24 23 40 40 23 40 23 23 40 35 37 40 40 40 40 40 40 24 23 40 23 40 40 42 24 40 40 12 40 24 40 40 40 23 40 40 23 24 23 42 40 23 40 40 2 24 23 40 40 23 23 40 40 42 40 4 23 40 40 42 40 23 40 40 40 40 40 40 37 40 23 37 40 42 40 23 23 12 40 40"
10,-0.7473,0.9200,"28 2 28 2 28 28 8 2 28 28 28 12 7 29 30 28 2 28 2 28 16 29 7 2 28 2 28 8 2 2 2 28 12 28 7 2 29 2 28 28 7 2 28 28 2 7 8 2 12 28 28 29 28 29 40 2 7 2 2 12 28 2 28 28 30 8 30 28 28 12 28 2 28 28 28 28 12 38 3 8 2 28 30 7 30 28 2 28 28 29 28 29 30 28 12 28 28 28 28 28 4 2 17 10 2 9 10 2 7 2 17 2 18 2 17 9 17 2 17 2 9 17 7 9 17 10 2 17 18 2 11 17 11 17 17 7 2 2 9 7 17 9 10 2 7 9 2 2 17 5 7 2 18 11 17 2 2 10 2 10 17 7 17 2 2 2 2 2 2 17 11 7 9 2 9 7 17 2 2 7 18 2 2 9 2 11 10 2 2 10 2 10 2 2 2 14 7 7 2 2 26 25 27 6 4 16 25 2 25 25 16 16 27 25 6 25 12 25 16 25 25 5 27 25 27 12 25 2 26 25 25 27 37 25 27 25 25 25 2 39 25 5 37 25 25 25 25 25 27 25 25 25 16 27 25 5 26 39 25 12 12 25 12 27 37 25 27 25 26 39 25 16 39 12 27 26 39 39 34 25 12 25 25 27 2 16 25 25 25 39 12 6 25 4 39 25 25 26 34 26 0 26 3 3 2 3 8 0 0 7 2 3 2 7 7 25 3 7 2 3 7 2 25 3 0 3 2 8 7 7 7 7 25 7 0 3 7 8 2 3 3 2 3 2 7 2 7 3 8 2 8 0 7 6 2 2 8 3 2 2 7 8 0 0 25 0 7 0 25 7 27 8 2 8 4 7 2 7 8 7 7 2 8 2 7 3 2 23 7 3 3 23 2 26 0 19 7 7 7 7 2 2 8 2 2 2 2 7 9 2 2 8 2 7 2 7 8 2 7 7 8 8 8 2 8 7 2 2 39 2 2 2 2 2 2 8 2 8 2 7 41 2 2 2 7 2 8 7 42 7 2 8 2 2 2 8 8 8 39 2 2 39 8 8 8 2 2 2 42 37 2 42 2 7 2 2 2 7 2 2 2 42 8 2 8 8 7 2 2 17 2 39 42 2 7 42 2 7 2 8"
