rank,fitness,winrate,genome
1,-0.8417,1.0000,"3 3 20 17 31 19 19 32 33 19 13 19 17 19 38 19 33 3 13 13 14 13 20 3 19 31 0 20 19 19 19 19 1 3 3 12 19 31 19 16 19 19 19 19 19 33 1 31 31 17 19 3 13 31 3 19 20 19 33 20 3 38 13 0 3 19 1 19 31 38 19 19 19 19 20 20 38 19 19 0 31 19 20 31 19 19 3 3 3 1 20 19 5 19 19 1 31 19 32 19 21 21 21 21 22 21 21 21 21 21 21 21 10 22 9 10 22 21 21 7 21 21 21 21 21 7 21 21 8 9 21 21 21 22 14 22 9 9 9 17 21 9 9 21 9 22 19 7 8 22 9 9 19 9 21 21 9 21 21 7 22 21 21 22 22 21 9 7 21 7 21 21 9 21 9 21 21 21 9 7 17 9 21 7 9 9 21 21 21 9 21 9 9 8 17 21 7 21 9 7 16 23 38 23 23 24 23 16 16 23 24 24 12 24 23 23 24 23 12 23 0 3 23 23 23 23 23 38 24 23 1 23 17 23 23 23 13 23 16 23 23 23 23 0 23 23 16 23 23 23 23 23 24 23 23 23 23 23 24 23 23 16 13 23 23 38 12 23 25 23 23 23 38 23 16 24 23 23 23 16 23 23 26 25 24 23 13 24 16 12 23 3 23 31 16 24 23 24 24 24 34 34 29 35 36 10 34 28 34 29 30 9 35 28 35 36 36 30 35 29 28 34 30 34 28 28 35 28 42 28 34 34 34 34 34 35 34 35 28 34 28 28 28 6 34 35 28 28 30 34 34 28 34 34 29 36 34 34 6 34 17 6 34 34 28 34 9 29 34 36 34 34 34 34 34 28 6 34 34 28 28 36 28 34 34 34 34 34 29 34 34 34 36 4 28 10 37 35 28 35 19 12 16 12 16 6 15 16 16 12 12 4 16 16 12 5 16 15 16 12 12 19 12 16 2 16 12 17 16 12 12 16 17 16 17 16 12 17 17 16 12 16 12 12 12 19 12 12 16 12 37 12 16 12 14 15 14 16 16 12 2 14 12 16 16 12 12 16 16 16 2 14 16 12 42 41 19 14 16 16 16 12 2 16 17 42 17 15 12 16 37 16 16 16 16 16 16 16 16 16"
2,-0.8352,0.9545,"40 28 28 40 40 28 28 28 12 28 40 34 40 28 12 28 40 28 40 17 29 40 40 40 40 40 28 40 40 40 36 40 12 28 40 30 40 29 28 28 40 28 28 40 18 36 40 40 28 40 40 40 30 40 12 30 17 30 40 40 28 40 12 28 40 40 28 40 40 28 30 28 40 40 28 40 12 29 29 12 17 28 40 40 28 28 40 28 30 28 28 28 40 40 12 12 28 28 28 17 28 29 28 30 28 28 26 28 30 28 28 28 29 5 28 12 28 26 28 28 28 4 28 29 28 4 28 28 39 18 27 28 28 12 12 28 23 25 28 28 30 28 28 28 28 28 25 28 28 29 5 28 12 21 28 12 28 28 28 30 26 2 4 28 26 12 39 28 30 12 28 30 25 30 27 28 28 39 12 30 37 12 6 28 28 30 28 28 28 6 4 5 39 29 30 28 26 30 5 37 28 30 28 2 7 7 28 2 28 7 28 2 7 28 28 28 28 2 7 29 7 28 7 7 28 30 7 28 28 29 5 29 7 30 8 28 28 28 28 7 7 2 30 29 7 21 8 28 4 28 28 7 28 28 2 7 2 28 7 7 28 42 42 28 28 28 28 28 28 28 28 6 7 7 2 29 28 42 28 28 29 28 7 28 8 7 28 28 7 28 28 30 30 28 28 28 7 28 30 28 39 19 17 15 15 15 7 39 7 39 39 39 39 14 17 19 39 7 39 12 39 15 17 17 7 39 7 39 39 39 8 19 39 7 8 39 19 17 39 39 39 7 14 19 19 7 15 39 39 39 15 14 7 39 15 19 39 15 39 39 14 15 15 19 12 19 12 17 19 19 39 19 39 7 39 7 19 17 7 15 39 7 39 8 14 39 14 17 39 14 19 7 14 39 14 19 39 39 39 39 19 12 16 12 16 6 15 16 16 12 12 4 16 16 12 5 16 15 16 12 12 19 12 16 2 16 12 17 16 12 12 16 17 16 17 16 12 17 17 16 12 16 12 12 12 19 12 12 16 12 37 12 16 12 14 15 14 16 16 12 2 14 12 16 16 12 12 16 16 16 2 14 16 12 42 41 19 14 16 16 16 12 2 16 17 42 17 15 12 16 37 16 16 16 16 16 16 16 16 16"
3,-0.8285,0.9600,"40 28 28 40 40 28 28 28 12 28 40 34 40 28 12 28 40 28 40 17 29 40 40 40 40 40 28 40 40 40 36 40 12 28 40 30 40 29 28 28 40 28 28 40 18 36 40 40 28 40 40 40 30 40 12 30 17 30 40 40 28 40 12 28 40 40 28 40 40 28 30 28 40 40 28 40 12 29 29 12 17 28 40 40 28 28 40 28 30 28 28 28 40 40 12 12 28 28 28 17 28 29 28 30 28 28 26 28 30 28 28 28 29 5 28 12 28 26 28 28 28 4 28 29 28 4 28 28 39 18 27 28 28 12 12 28 23 25 28 28 30 28 28 28 28 28 25 28 28 29 5 28 12 21 28 12 28 28 28 30 26 2 4 28 26 12 39 28 30 12 28 30 25 30 27 28 28 39 12 30 37 12 6 28 28 30 28 28 28 6 4 5 39 29 30 28 26 30 5 37 28 30 28 2 7 7 28 2 28 7 28 2 7 28 28 28 28 2 7 29 7 28 7 7 28 30 7 28 28 29 5 29 7 30 8 28 28 28 28 7 7 2 30 29 7 21 8 28 4 28 28 7 28 28 2 7 2 28 7 7 28 42 42 28 28 28 28 28 28 28 28 6 7 7 2 29 28 42 28 28 29 28 7 28 8 7 28 28 7 28 28 30 30 28 28 28 7 28 30 28 39 19 17 15 15 15 7 39 7 39 39 39 39 14 17 19 39 7 39 12 39 15 17 17 7 39 7 39 39 39 8 19 39 7 8 39 19 17 39 39 39 7 14 19 19 7 15 39 39 39 15 14 7 39 15 19 39 15 39 39 14 15 15 19 12 19 12 17 19 19 39 19 39 7 39 7 19 17 7 15 39 7 39 8 14 39 14 17 39 14 19 7 14 39 14 19 39 39 39 39 19 12 16 12 16 6 15 16 16 12 12 4 16 16 12 5 16 15 16 12 12 19 12 16 2 16 12 17 16 12 12 16 17 16 17 16 12 17 17 16 12 16 12 12 12 19 12 12 16 12 37 12 16 12 14 15 14 16 16 12 2 14 12 16 16 12 12 16 16 16 2 14 16 12 42 41 19 14 16 16 16 12 2 16 17 42 17 15 12 16 37 16 16 16 16 16 16 16 16 16"
4,-0.8217,1.0000,"2 2 2 2 31 19 19 32 2 2 13 37 2 19 38 2 2 2 2 13 37 2 20 6 37 2 0 37 4 2 2 2 4 37 3 12 19 31 5 16 2 19 2 6 37 4 4 6 5 17 19 2 13 4 2 2 20 5 2 2 2 38 2 2 3 37 37 19 2 2 6 2 2 19 37 20 2 37 2 37 31 37 20 31 2 19 2 3 2 1 2 2 2 19 19 2 31 19 2 4 21 4 2 21 2 21 37 6 21 4 21 21 10 22 2 10 2 21 2 7 21 21 21 21 21 2 21 2 2 2 21 2 21 2 2 2 2 2 9 2 21 9 2 21 2 22 37 7 8 4 2 9 19 9 21 21 2 2 2 7 22 2 21 22 2 21 2 2 37 7 5 2 2 2 9 5 21 2 9 7 17 2 21 2 2 5 21 2 21 2 2 2 9 8 37 37 4 2 2 2 16 23 38 23 23 24 23 16 16 23 24 24 12 24 23 23 24 23 12 23 0 3 23 23 23 23 23 38 24 23 1 23 17 23 23 23 13 23 16 23 23 23 23 0 23 23 16 23 23 23 23 23 24 23 23 23 23 23 24 23 23 16 13 23 23 38 12 23 25 23 23 23 38 23 16 24 23 23 23 16 23 23 26 25 24 23 13 24 16 12 23 3 23 31 16 24 23 24 24 24 34 34 29 35 36 10 34 28 34 29 30 9 35 28 35 36 36 30 35 29 28 34 30 34 28 28 35 28 42 28 34 34 34 34 34 35 34 35 28 34 28 28 28 6 34 35 28 28 30 34 34 28 34 34 29 36 34 34 6 34 17 6 34 34 28 34 9 29 34 36 34 34 34 34 34 28 6 34 34 28 28 36 28 34 34 34 34 34 29 34 34 34 36 4 28 10 37 35 28 35 19 12 16 12 16 6 15 16 16 12 12 4 16 16 12 5 16 15 16 12 12 19 12 16 2 16 12 17 16 12 12 16 17 16 17 16 12 17 17 16 12 16 12 12 12 19 12 12 16 12 37 12 16 12 14 15 14 16 16 12 2 14 12 16 16 12 12 16 16 16 2 14 16 12 42 41 19 14 16 16 16 12 2 16 17 42 17 15 12 16 37 16 16 16 16 16 16 16 16 16"
5,-0.8170,1.0000,"11 7 2 6 7 7 2 8 7 9 2 7 7 2 2 4 7 7 8 2 9 2 7 8 7 7 7 9 7 9 7 7 7 7 7 2 7 2 7 8 7 2 2 8 2 2 8 7 4 7 7 8 8 7 2 7 19 2 7 2 7 8 7 6 9 7 7 37 2 7 2 7 7 8 11 8 7 7 20 4 7 7 7 7 7 10 10 7 9 2 4 19 8 7 10 8 7 7 7 37 13 2 38 1 38 0 2 3 3 1 0 0 38 42 13 0 0 3 13 3 3 13 3 13 3 2 0 38 2 38 38 13 3 2 6 38 38 0 0 13 42 2 3 2 13 0 38 2 2 37 38 2 0 1 2 1 38 0 3 6 13 2 38 38 0 13 13 13 1 13 5 0 0 13 4 13 13 13 3 0 2 38 1 38 2 1 38 4 2 38 13 38 13 13 2 0 2 2 42 3 39 41 39 39 7 41 39 2 0 1 39 2 38 1 41 41 0 39 3 41 39 1 41 41 38 0 39 41 39 7 39 6 39 8 3 2 39 39 2 39 39 2 39 7 39 39 39 3 4 41 39 39 39 39 2 39 41 8 7 41 7 38 41 38 7 39 39 41 39 37 39 39 39 7 41 2 39 1 39 39 41 38 7 41 41 39 39 13 39 41 41 5 39 13 39 41 1 39 41 39 7 12 7 7 12 8 17 12 12 12 7 7 12 18 7 7 3 38 17 12 7 18 17 18 12 14 8 7 17 12 18 19 7 12 12 12 19 18 7 7 12 7 14 12 7 7 12 12 7 12 8 12 12 12 12 8 8 3 1 7 17 12 12 18 17 7 12 17 19 12 12 12 12 12 7 17 8 17 12 18 7 18 12 12 18 18 14 18 8 18 19 12 12 12 7 12 12 7 18 3 19 12 16 12 16 6 15 16 16 12 12 4 16 16 12 5 16 15 16 12 12 19 12 16 2 16 12 17 16 12 12 16 17 16 17 16 12 17 17 16 12 16 12 12 12 19 12 12 16 12 37 12 16 12 14 15 14 16 16 12 2 14 12 16 16 12 12 16 16 16 2 14 16 12 42 41 19 14 16 16 16 12 2 16 17 42 17 15 12 16 37 16 16 16 16 16 16 16 16 16"
6,-0.8155,0.9615,"18 34 34 34 17 17 17 17 36 34 7 35 18 17 17 18 34 17 17 34 34 17 35 36 17 17 18 17 34 17 17 34 17 17 17 18 17 35 36 2 17 35 34 18 17 17 18 17 34 18 17 17 17 17 18 2 17 17 2 34 36 17 17 17 34 35 17 34 34 18 17 17 17 2 12 17 34 17 17 17 18 34 17 17 17 17 17 17 17 17 18 17 34 18 34 18 18 18 18 34 9 9 28 9 0 9 3 21 21 3 3 3 21 9 22 0 3 26 0 3 0 3 9 0 28 9 0 0 3 21 21 28 21 0 0 9 3 21 0 28 0 21 0 21 9 9 0 0 9 21 3 3 21 21 3 22 3 22 9 30 0 9 0 21 21 9 21 22 22 3 28 11 3 21 9 21 10 22 0 30 3 21 6 21 22 9 3 21 28 10 3 21 21 22 3 3 21 30 0 21 16 16 12 12 32 25 12 16 16 32 12 12 12 25 25 42 25 16 12 25 25 16 31 12 25 25 25 25 12 16 12 12 17 16 12 12 12 25 16 26 12 16 27 32 12 19 16 12 25 16 25 19 16 25 12 16 25 16 16 16 31 16 16 16 25 25 12 12 16 26 25 12 16 27 16 12 12 25 16 16 16 25 26 16 25 25 26 16 16 12 16 16 25 31 16 25 16 16 16 25 9 11 12 11 9 19 9 9 9 9 10 38 9 41 9 9 19 13 41 11 9 10 9 11 9 38 13 9 0 9 9 9 9 9 41 9 20 41 9 10 9 9 9 11 41 9 9 41 41 9 9 0 10 11 10 3 19 9 3 10 13 9 9 9 19 19 0 38 19 9 9 9 9 9 41 9 9 19 38 20 0 13 20 19 19 41 11 9 41 9 38 9 19 41 11 13 11 9 9 9 19 14 4 42 16 6 15 17 16 17 12 4 16 42 15 5 16 15 17 12 12 19 12 16 2 16 17 17 16 12 2 14 17 16 17 15 12 17 17 16 15 16 12 19 12 19 19 16 16 12 37 12 5 12 14 15 14 16 16 12 2 14 12 2 12 12 37 42 16 16 2 14 16 14 42 41 19 14 16 15 16 34 2 16 17 42 17 15 12 16 37 16 16 41 16 14 16 16 16 16"
7,-0.8127,0.9583,"34 25 25 25 4 25 35 25 35 38 25 25 25 25 34 27 26 25 3 34 34 36 26 27 25 27 6 25 26 25 41 13 25 26 27 25 25 25 25 37 25 25 25 40 27 25 25 41 25 25 34 25 4 25 25 35 41 26 25 35 34 25 25 34 25 25 34 26 27 25 25 25 25 25 27 40 25 25 0 1 25 25 27 40 27 34 26 25 26 25 35 37 34 27 25 31 34 35 26 25 31 33 22 31 31 31 33 33 32 38 32 31 33 31 31 31 31 32 31 42 31 14 31 2 32 31 32 32 33 31 21 14 33 31 0 31 17 31 31 21 31 31 19 31 31 31 31 31 31 31 31 32 31 31 31 14 31 31 19 32 33 33 33 32 31 14 32 32 31 31 31 14 33 32 19 31 31 32 31 31 31 31 21 14 31 2 31 33 31 19 31 31 31 31 33 17 31 7 31 33 16 16 12 12 32 25 12 16 16 32 12 12 12 25 25 42 25 16 12 25 25 16 31 12 25 25 25 25 12 16 12 12 17 16 12 12 12 25 16 26 12 16 27 32 12 19 16 12 25 16 25 19 16 25 12 16 25 16 16 16 31 16 16 16 25 25 12 12 16 26 25 12 16 27 16 12 12 25 16 16 16 25 26 16 25 25 26 16 16 12 16 16 25 31 16 25 16 16 16 25 9 11 12 11 9 19 9 9 9 9 10 38 9 41 9 9 19 13 41 11 9 10 9 11 9 38 13 9 0 9 9 9 9 9 41 9 20 41 9 10 9 9 9 11 41 9 9 41 41 9 9 0 10 11 10 3 19 9 3 10 13 9 9 9 19 19 0 38 19 9 9 9 9 9 41 9 9 19 38 20 0 13 20 19 19 41 11 9 41 9 38 9 19 41 11 13 11 9 9 9 31 31 31 7 12 31 31 33 31 17 31 16 7 7 17 32 32 7 7 8 31 7 33 31 31 31 12 12 7 17 8 31 31 8 17 31 8 17 31 31 31 31 31 7 7 7 31 31 7 31 12 7 8 7 32 31 31 31 7 12 32 31 31 31 33 32 31 33 33 7 31 18 16 31 31 31 31 31 33 31 12 7 31 16 7 8 31 7 31 31 31 31 8 8 17 31 31 32 32 7"
8,-0.8045,0.9545,"34 25 25 25 4 25 35 25 35 38 25 25 25 25 34 27 26 25 3 34 34 36 26 27 25 27 6 25 26 25 41 13 25 26 27 25 25 25 25 37 25 25 25 40 27 25 25 41 25 25 34 25 4 25 25 35 41 26 25 35 34 25 25 34 25 25 34 26 27 25 25 25 25 25 27 40 25 25 0 1 25 25 27 40 27 34 26 25 26 25 35 37 34 27 25 31 34 35 26 25 31 33 22 31 31 31 33 33 32 38 32 31 33 31 31 31 31 32 31 42 31 14 31 2 32 31 32 32 33 31 21 14 33 31 0 31 17 31 31 21 31 31 19 31 31 31 31 31 31 31 31 32 31 31 31 14 31 31 19 32 33 33 33 32 31 14 32 32 31 31 31 14 33 32 19 31 31 32 31 31 31 31 21 14 31 2 31 33 31 19 31 31 31 31 33 17 31 7 31 33 16 16 12 12 32 25 12 16 16 32 12 12 12 25 25 42 25 16 12 25 25 16 31 12 25 25 25 25 12 16 12 12 17 16 12 12 12 25 16 26 12 16 27 32 12 19 16 12 25 16 25 19 16 25 12 16 25 16 16 16 31 16 16 16 25 25 12 12 16 26 25 12 16 27 16 12 12 25 16 16 16 25 26 16 25 25 26 16 16 12 16 16 25 31 16 25 16 16 16 25 9 11 12 11 9 19 9 9 9 9 10 38 9 41 9 9 19 13 41 11 9 10 9 11 9 38 13 9 0 9 9 9 9 9 41 9 20 41 9 10 9 9 9 11 41 9 9 41 41 9 9 0 10 11 10 3 19 9 3 10 13 9 9 9 19 19 0 38 19 9 9 9 9 9 41 9 9 19 38 20 0 13 20 19 19 41 11 9 41 9 38 9 19 41 11 13 11 9 9 9 31 31 31 7 12 31 31 33 31 17 31 16 7 7 17 32 32 7 7 8 31 7 33 31 31 31 12 12 7 17 8 31 31 8 17 31 8 17 31 31 31 31 31 7 7 7 31 31 7 31 12 7 8 7 32 31 31 31 7 12 32 31 31 31 33 32 31 33 33 7 31 18 16 31 31 31 31 31 33 31 12 7 31 16 7 8 31 7 31 31 31 31 8 8 17 31 31 32 32 7"
9,-0.7965,0.9200,"19 32 20 17 31 19 19 32 33 19 19 19 17 19 19 19 33 20 19 31 14 31 20 31 19 31 20 20 19 19 19 19 31 31 19 12 19 31 19 16 19 19 19 19 19 33 31 31 31 17 19 19 31 31 19 19 20 19 33 20 33 33 19 33 19 19 19 19 31 20 19 19 19 19 20 20 19 19 19 31 31 19 20 31 19 19 19 20 19 31 20 19 5 19 19 31 31 19 32 19 19 23 26 19 19 12 19 19 19 19 23 24 20 19 19 23 23 23 19 19 23 20 20 20 19 19 23 19 19 19 23 23 19 23 20 23 19 25 19 24 23 20 19 23 20 19 28 19 19 23 19 23 23 19 19 19 19 19 19 20 25 19 25 19 23 19 24 20 24 23 23 19 19 23 19 16 19 19 20 19 19 19 19 19 19 28 4 19 25 19 19 20 19 19 19 25 25 19 19 25 16 23 38 23 23 24 23 16 16 23 24 24 12 24 23 23 24 23 12 23 0 3 23 23 23 23 23 38 24 23 1 23 17 23 23 23 13 23 16 23 23 23 23 0 23 23 16 23 23 23 23 23 24 23 23 23 23 23 24 23 23 16 13 23 23 38 12 23 25 23 23 23 38 23 16 24 23 23 23 16 23 23 26 25 24 23 13 24 16 12 23 3 23 31 16 24 23 24 24 24 12 16 12 42 16 0 12 12 42 16 16 42 14 0 16 16 19 16 42 41 12 12 16 16 12 12 42 16 16 41 41 41 16 16 14 42 16 0 16 41 16 12 16 12 16 42 0 16 13 42 12 17 42 42 16 16 15 16 12 16 16 16 19 41 42 16 42 12 12 16 42 12 12 3 12 16 42 42 16 16 12 42 42 13 42 42 12 16 42 41 19 12 42 16 15 42 16 36 42 17 23 23 14 14 23 2 25 23 2 23 17 2 30 28 28 2 23 24 23 23 23 2 23 2 17 8 23 23 23 23 2 8 23 28 23 23 8 27 23 23 23 30 23 24 23 7 23 23 23 23 23 2 24 29 23 24 23 28 23 23 30 17 23 23 2 28 7 8 8 28 23 23 28 23 23 24 2 23 23 28 24 30 24 2 24 23 8 23 23 23 23 28 24 2 23 8 2 29 23 15"
10,-0.7961,0.9583,"11 9 2 6 2 2 2 9 7 9 2 2 2 2 2 4 2 7 2 2 9 2 2 6 8 37 2 9 8 9 6 2 37 9 37 2 2 2 2 9 2 2 2 2 2 2 8 2 4 2 4 9 2 11 2 7 19 2 2 2 9 9 5 6 9 2 11 37 2 2 2 2 7 2 11 8 6 7 20 4 2 2 5 9 9 10 10 9 9 2 4 19 4 11 10 9 9 2 2 37 5 2 37 42 2 2 2 37 4 2 2 2 0 42 37 2 2 2 37 2 2 2 4 2 1 2 2 37 2 5 6 2 5 2 6 2 17 16 1 37 42 4 2 2 4 2 2 3 1 37 2 37 6 2 37 5 37 37 5 6 2 2 4 5 2 2 17 2 2 2 2 42 4 2 6 2 2 2 37 42 2 2 6 5 37 2 37 2 5 2 2 2 5 37 5 6 42 5 42 3 28 30 28 2 7 7 28 2 28 7 28 2 7 28 28 28 28 2 7 29 7 28 7 7 28 30 7 28 28 29 5 29 7 30 8 28 28 28 28 7 7 2 30 29 7 21 8 28 4 28 28 7 28 28 2 7 2 28 7 7 28 42 42 28 28 28 28 28 28 28 28 6 7 7 2 29 28 42 28 28 29 28 7 28 8 7 28 28 7 28 28 30 30 28 28 28 7 28 30 28 39 19 17 15 15 15 7 39 7 39 39 39 39 14 17 19 39 7 39 12 39 15 17 17 7 39 7 39 39 39 8 19 39 7 8 39 19 17 39 39 39 7 14 19 19 7 15 39 39 39 15 14 7 39 15 19 39 15 39 39 14 15 15 19 12 19 12 17 19 19 39 19 39 7 39 7 19 17 7 15 39 7 39 8 14 39 14 17 39 14 19 7 14 39 14 19 39 39 39 39 19 12 16 12 16 6 15 16 16 12 12 4 16 16 12 5 16 15 16 12 12 19 12 16 2 16 12 17 16 12 12 16 17 16 17 16 12 17 17 16 12 16 12 12 12 19 12 12 16 12 37 12 16 12 14 15 14 16 16 12 2 14 12 16 16 12 12 16 16 16 2 14 16 12 42 41 19 14 16 16 16 12 2 16 17 42 17 15 12 16 37 16 16 16 16 16 16 16 16 16"
