# seed=42
# instance=SUPPORT_LIKE_PIECEWISE
# popSize=100
# generations=100
# crossover=BlockUniform(p=0.25)
# mutation=p0=0.05,pMin=0.002,alpha=0.95
# tournamentK=3
# elitism=2
# lambda_similarity=0.3
# fights_per_team=10
# anchors=5
gen,changes,best_fitness,best_winrate,best_similarity,avg_fitness,worst_fitness,best_genome
0,1,-0.6087,0.8846,0.9196,-0.1846,0.2784,"41 28 41 15 9 17 15 25 14 33 26 1 36 6 36 31 13 11 23 28 37 31 17 24 26 33 10 38 31 29 36 4 41 25 23 24 3 42 27 32 11 11 20 9 40 1 18 17 28 30 25 0 18 24 33 12 13 11 24 17 10 26 39 39 8 2 28 10 30 32 24 37 8 28 34 31 41 20 17 11 28 33 0 27 9 15 27 10 22 24 36 0 35 20 37 6 30 16 2 15 10 28 16 25 20 33 42 14 34 6 30 16 10 24 39 17 33 31 7 21 36 32 39 9 21 18 41 41 9 1 2 33 20 17 11 16 30 25 31 16 40 34 23 35 1 4 10 24 27 5 38 29 28 42 39 14 17 38 34 19 24 13 6 31 11 36 23 38 18 25 10 30 32 22 34 13 2 10 11 34 9 28 42 24 0 21 32 4 38 21 1 29 35 0 32 26 10 20 20 38 8 16 1 17 11 37 28 23 20 18 7 41 21 31 18 38 4 30 17 0 40 10 34 24 8 24 33 25 7 19 5 26 28 30 4 4 10 11 1 25 38 24 11 13 4 16 27 7 14 10 42 42 26 25 36 3 35 37 3 23 31 35 37 13 3 7 36 15 33 35 37 32 24 20 33 30 16 12 2 3 22 6 13 21 24 20 35 18 30 7 19 18 17 27 3 36 7 25 36 1 27 28 26 24 6 23 21 41 24 9 9 0 36 34 30 24 10 38 4 12 32 31 41 3 37 12 15 14 25 13 2 38 0 14 2 9 8 10 13 22 16 35 15 34 6 23 20 34 10 22 19 0 20 24 39 34 14 33 30 28 20 41 7 28 33 8 38 15 11 17 35 28 35 36 1 28 2 41 0 31 42 16 13 39 41 7 39 12 11 8 38 0 25 7 40 26 29 28 36 0 27 22 1 16 34 16 42 39 27 22 16 28 39 40 40 9 21 6 19 27 20 7 11 11 38 8 0 38 34 18 15 6 1 14 37 16 32 19 30 40 19 14 16 30 38 38 24 11 18 34 12 24 2 11 6 21 22 8 21 3 5 15 27 18 38 36 36 35 11 8 2 36 31 31 18 21 25 38 14 22 14 21 33 12 34 1 12 14 18 12 38 41 13 38 21 32 33 6 4 2"
1,2,-0.7598,0.9355,0.5856,-0.2251,0.2808,"21 1 21 3 32 0 18 21 3 21 21 38 21 27 32 40 38 21 21 21 21 1 1 21 3 0 21 21 3 3 1 21 40 21 21 31 38 3 21 21 1 13 21 32 31 21 13 21 20 21 1 1 21 21 1 1 21 21 13 21 38 1 3 21 21 0 3 21 31 3 38 3 11 21 38 13 1 21 1 13 21 1 13 13 25 21 21 22 37 21 1 22 13 22 21 0 22 21 0 21 2 12 2 2 2 15 2 2 5 17 2 4 2 2 2 14 2 12 2 2 5 2 17 17 17 2 19 15 2 12 2 2 2 2 15 17 2 34 37 12 12 19 2 4 2 2 19 6 12 37 37 6 33 34 2 2 4 17 19 2 25 32 33 17 19 6 2 31 2 17 17 2 15 2 6 2 2 4 17 15 19 14 2 2 2 2 17 19 2 5 2 6 15 2 14 2 2 19 2 19 2 2 2 4 12 2 2 42 4 16 2 3 2 12 6 42 37 2 37 13 5 4 42 2 42 5 2 6 12 2 2 2 2 5 13 2 2 3 4 4 5 38 0 5 2 2 2 0 42 2 2 40 2 2 2 4 42 37 2 2 2 6 2 37 2 2 5 2 3 21 37 0 16 2 2 37 2 16 2 2 0 6 2 4 2 42 0 42 2 42 2 2 38 3 37 2 6 42 4 3 9 0 41 9 9 13 38 3 40 13 8 9 13 13 9 9 9 17 0 38 14 9 4 9 1 1 9 9 1 0 9 42 0 28 9 1 9 24 3 3 0 13 11 6 9 14 11 1 0 9 1 1 13 1 11 0 11 13 1 9 11 38 1 13 10 0 3 8 9 9 9 1 9 32 0 9 20 3 10 0 1 35 11 13 9 3 9 10 9 9 0 9 1 11 37 3 41 9 9 3 17 26 18 17 17 25 17 27 18 12 18 18 17 3 25 38 18 17 17 18 17 17 31 17 25 38 17 17 17 17 27 17 25 25 17 0 17 18 20 18 17 17 17 12 17 12 17 17 17 17 17 18 32 18 17 17 17 27 25 17 17 0 25 27 12 17 25 17 17 17 17 38 17 17 5 25 18 25 33 18 17 0 17 17 17 17 18 17 17 17 25 0 17 3 17 3 18 18 17 18"
2,3,-0.7976,0.9615,0.5464,-0.2661,0.2159,"27 3 10 13 3 0 41 3 3 22 3 0 38 41 19 3 8 0 41 41 0 3 0 35 0 41 38 41 0 0 3 1 41 9 41 0 11 3 3 0 0 3 19 41 41 41 3 27 13 13 41 0 13 3 3 0 41 41 41 41 3 41 0 41 41 41 41 41 3 30 0 41 3 6 3 8 19 12 3 0 14 3 41 3 41 26 3 41 0 2 0 3 3 0 41 41 41 31 3 3 3 22 24 12 12 12 12 21 12 12 12 3 21 12 21 12 12 12 12 12 22 22 12 22 0 23 12 12 12 21 33 23 4 12 12 12 0 24 21 21 3 12 5 3 12 12 12 12 25 12 23 21 22 12 24 12 21 12 12 1 22 21 12 37 21 12 22 21 12 12 0 37 21 22 5 21 4 23 22 12 6 22 23 3 12 12 22 22 37 5 21 12 37 21 23 22 12 22 0 22 12 12 24 25 25 8 25 26 12 25 26 25 27 27 1 25 27 25 7 2 25 2 7 2 11 12 8 26 2 12 25 25 12 25 2 2 7 26 25 25 7 25 25 25 7 7 25 7 25 12 38 12 25 25 38 25 25 25 2 2 2 26 2 26 25 2 2 25 27 2 25 2 7 13 25 25 7 26 25 27 25 25 2 26 25 2 12 25 26 25 25 2 12 26 2 2 8 8 25 25 12 24 12 12 31 5 2 12 12 29 31 12 12 12 12 30 12 12 12 30 12 29 30 30 12 28 12 12 12 12 12 10 4 28 32 12 12 31 31 12 12 33 30 12 12 12 12 12 2 2 24 5 12 12 28 12 12 28 12 4 12 29 12 12 2 28 12 12 12 2 2 12 12 31 2 28 29 12 12 30 12 30 5 12 29 12 2 12 28 12 29 12 12 2 12 12 30 33 12 12 27 23 25 25 23 25 23 23 23 23 33 24 25 23 27 12 23 12 23 23 23 32 12 23 24 23 23 12 26 12 33 23 23 23 9 12 23 23 12 27 12 26 12 3 23 27 12 24 23 23 23 24 23 24 12 23 33 31 23 23 12 23 24 12 24 12 12 23 23 24 25 24 12 12 23 23 23 23 23 12 23 31 23 24 23 23 24 24 23 25 23 23 23 23 23 23 9 9 31 23"
3,4,-0.8098,0.9667,0.5230,-0.2903,0.2127,"42 18 12 28 12 12 12 18 2 12 12 28 17 12 28 37 42 12 18 12 32 37 32 28 12 17 18 12 37 17 39 28 27 12 6 12 12 18 42 12 18 12 12 12 42 42 17 40 12 42 42 42 12 17 12 42 12 12 42 17 17 12 28 12 28 5 2 42 17 12 12 18 34 12 17 12 42 17 12 42 28 42 12 12 12 42 42 18 42 26 12 6 38 12 2 42 0 42 42 12 33 31 32 19 31 31 33 0 31 1 31 31 31 33 22 24 12 31 31 33 31 31 32 33 33 4 31 42 31 33 33 41 31 31 32 32 31 14 34 18 17 31 2 35 36 6 26 21 31 31 31 31 31 31 33 4 31 31 31 31 31 8 22 31 31 16 33 35 35 17 33 31 31 4 17 0 33 39 34 15 31 31 22 31 7 8 5 31 19 4 35 31 41 31 4 31 31 31 31 31 25 34 35 36 33 36 25 10 25 34 34 25 34 34 41 25 34 34 35 34 36 19 27 25 35 34 34 10 0 34 35 36 35 34 34 34 28 25 35 34 34 34 17 35 34 35 21 41 27 25 2 34 35 34 34 34 34 34 36 26 26 18 35 34 10 25 36 18 42 34 29 34 25 25 36 35 36 34 34 34 35 25 25 25 34 32 25 7 25 25 8 34 34 25 25 34 25 34 35 34 13 21 18 0 21 21 12 21 13 0 21 0 33 13 14 13 21 12 17 17 17 21 21 12 0 12 22 21 17 21 21 13 12 17 12 12 18 22 12 21 19 21 21 12 21 19 21 17 22 22 21 12 18 15 12 21 0 21 21 21 21 21 12 22 21 21 21 3 21 17 21 21 17 21 12 22 21 21 21 17 19 21 21 21 21 22 17 0 0 21 33 21 12 19 21 38 1 15 22 21 12 12 25 32 12 6 12 12 2 33 12 12 1 4 12 2 6 27 12 33 4 32 3 2 37 2 25 0 12 5 25 6 31 17 31 2 32 31 12 12 12 25 2 26 6 25 6 38 25 13 37 12 37 38 25 12 37 37 5 33 6 32 12 2 12 4 31 31 2 12 4 26 19 12 31 25 12 33 25 5 31 5 2 6 12 12 12 6 37 6 5 2 2 25 5 3 32 5 12 6"
4,4,-0.8008,0.9667,0.5528,-0.2964,0.1782,"42 18 12 28 12 12 12 18 2 12 12 28 17 12 28 37 42 12 18 12 32 37 32 28 12 17 18 12 37 17 39 28 27 12 6 12 12 18 42 12 18 12 12 12 42 42 17 40 12 42 42 42 12 17 12 42 12 12 42 17 17 12 28 12 28 5 2 42 17 12 12 18 34 12 17 12 42 17 12 42 28 42 12 12 12 42 42 18 42 26 12 6 38 12 2 42 0 42 42 12 33 31 32 19 31 31 33 0 31 1 31 31 31 33 22 24 12 31 31 33 31 31 32 33 33 4 31 42 31 33 33 41 31 31 32 32 31 14 34 18 17 31 2 35 36 6 26 21 31 31 31 31 31 31 33 4 31 31 31 31 31 8 22 31 31 16 33 35 35 17 33 31 31 4 17 0 33 39 34 15 31 31 22 31 7 8 5 31 19 4 35 31 41 31 4 31 31 31 31 31 25 34 35 36 33 36 25 10 25 34 34 25 34 34 41 25 34 34 35 34 36 19 27 25 35 34 34 10 0 34 35 36 35 34 34 34 28 25 35 34 34 34 17 35 34 35 21 41 27 25 2 34 35 34 34 34 34 34 36 26 26 18 35 34 10 25 36 18 42 34 29 34 25 25 36 35 36 34 34 34 35 25 25 25 34 32 25 7 25 25 8 34 34 25 25 34 25 34 35 34 13 21 18 0 21 21 12 21 13 0 21 0 33 13 14 13 21 12 17 17 17 21 21 12 0 12 22 21 17 21 21 13 12 17 12 12 18 22 12 21 19 21 21 12 21 19 21 17 22 22 21 12 18 15 12 21 0 21 21 21 21 21 12 22 21 21 21 3 21 17 21 21 17 21 12 22 21 21 21 17 19 21 21 21 21 22 17 0 0 21 33 21 12 19 21 38 1 15 22 21 12 12 25 32 12 6 12 12 2 33 12 12 1 4 12 2 6 27 12 33 4 32 3 2 37 2 25 0 12 5 25 6 31 17 31 2 32 31 12 12 12 25 2 26 6 25 6 38 25 13 37 12 37 38 25 12 37 37 5 33 6 32 12 2 12 4 31 31 2 12 4 26 19 12 31 25 12 33 25 5 31 5 2 6 12 12 12 6 37 6 5 2 2 25 5 3 32 5 12 6"
5,4,-0.7982,0.9655,0.5577,-0.3072,0.1305,"42 18 12 28 12 12 12 18 2 12 12 28 17 12 28 37 42 12 18 12 32 37 32 28 12 17 18 12 37 17 39 28 27 12 6 12 12 18 42 12 18 12 12 12 42 42 17 40 12 42 42 42 12 17 12 42 12 12 42 17 17 12 28 12 28 5 2 42 17 12 12 18 34 12 17 12 42 17 12 42 28 42 12 12 12 42 42 18 42 26 12 6 38 12 2 42 0 42 42 12 33 31 32 19 31 31 33 0 31 1 31 31 31 33 22 24 12 31 31 33 31 31 32 33 33 4 31 42 31 33 33 41 31 31 32 32 31 14 34 18 17 31 2 35 36 6 26 21 31 31 31 31 31 31 33 4 31 31 31 31 31 8 22 31 31 16 33 35 35 17 33 31 31 4 17 0 33 39 34 15 31 31 22 31 7 8 5 31 19 4 35 31 41 31 4 31 31 31 31 31 25 34 35 36 33 36 25 10 25 34 34 25 34 34 41 25 34 34 35 34 36 19 27 25 35 34 34 10 0 34 35 36 35 34 34 34 28 25 35 34 34 34 17 35 34 35 21 41 27 25 2 34 35 34 34 34 34 34 36 26 26 18 35 34 10 25 36 18 42 34 29 34 25 25 36 35 36 34 34 34 35 25 25 25 34 32 25 7 25 25 8 34 34 25 25 34 25 34 35 34 13 21 18 0 21 21 12 21 13 0 21 0 33 13 14 13 21 12 17 17 17 21 21 12 0 12 22 21 17 21 21 13 12 17 12 12 18 22 12 21 19 21 21 12 21 19 21 17 22 22 21 12 18 15 12 21 0 21 21 21 21 21 12 22 21 21 21 3 21 17 21 21 17 21 12 22 21 21 21 17 19 21 21 21 21 22 17 0 0 21 33 21 12 19 21 38 1 15 22 21 12 12 25 32 12 6 12 12 2 33 12 12 1 4 12 2 6 27 12 33 4 32 3 2 37 2 25 0 12 5 25 6 31 17 31 2 32 31 12 12 12 25 2 26 6 25 6 38 25 13 37 12 37 38 25 12 37 37 5 33 6 32 12 2 12 4 31 31 2 12 4 26 19 12 31 25 12 33 25 5 31 5 2 6 12 12 12 6 37 6 5 2 2 25 5 3 32 5 12 6"
6,4,-0.7888,0.9474,0.5285,-0.3149,0.1527,"42 18 12 28 12 12 12 18 2 12 12 28 17 12 28 37 42 12 18 12 32 37 32 28 12 17 18 12 37 17 39 28 27 12 6 12 12 18 42 12 18 12 12 12 42 42 17 40 12 42 42 42 12 17 12 42 12 12 42 17 17 12 28 12 28 5 2 42 17 12 12 18 34 12 17 12 42 17 12 42 28 42 12 12 12 42 42 18 42 26 12 6 38 12 2 42 0 42 42 12 33 31 32 19 31 31 33 0 31 1 31 31 31 33 22 24 12 31 31 33 31 31 32 33 33 4 31 42 31 33 33 41 31 31 32 32 31 14 34 18 17 31 2 35 36 6 26 21 31 31 31 31 31 31 33 4 31 31 31 31 31 8 22 31 31 16 33 35 35 17 33 31 31 4 17 0 33 39 34 15 31 31 22 31 7 8 5 31 19 4 35 31 41 31 4 31 31 31 31 31 25 34 35 36 33 36 25 10 25 34 34 25 34 34 41 25 34 34 35 34 36 19 27 25 35 34 34 10 0 34 35 36 35 34 34 34 28 25 35 34 34 34 17 35 34 35 21 41 27 25 2 34 35 34 34 34 34 34 36 26 26 18 35 34 10 25 36 18 42 34 29 34 25 25 36 35 36 34 34 34 35 25 25 25 34 32 25 7 25 25 8 34 34 25 25 34 25 34 35 34 13 21 18 0 21 21 12 21 13 0 21 0 33 13 14 13 21 12 17 17 17 21 21 12 0 12 22 21 17 21 21 13 12 17 12 12 18 22 12 21 19 21 21 12 21 19 21 17 22 22 21 12 18 15 12 21 0 21 21 21 21 21 12 22 21 21 21 3 21 17 21 21 17 21 12 22 21 21 21 17 19 21 21 21 21 22 17 0 0 21 33 21 12 19 21 38 1 15 22 21 12 12 25 32 12 6 12 12 2 33 12 12 1 4 12 2 6 27 12 33 4 32 3 2 37 2 25 0 12 5 25 6 31 17 31 2 32 31 12 12 12 25 2 26 6 25 6 38 25 13 37 12 37 38 25 12 37 37 5 33 6 32 12 2 12 4 31 31 2 12 4 26 19 12 31 25 12 33 25 5 31 5 2 6 12 12 12 6 37 6 5 2 2 25 5 3 32 5 12 6"
7,4,-0.7584,0.8750,0.3886,-0.3141,0.1195,"42 18 12 28 12 12 12 18 2 12 12 28 17 12 28 37 42 12 18 12 32 37 32 28 12 17 18 12 37 17 39 28 27 12 6 12 12 18 42 12 18 12 12 12 42 42 17 40 12 42 42 42 12 17 12 42 12 12 42 17 17 12 28 12 28 5 2 42 17 12 12 18 34 12 17 12 42 17 12 42 28 42 12 12 12 42 42 18 42 26 12 6 38 12 2 42 0 42 42 12 33 31 32 19 31 31 33 0 31 1 31 31 31 33 22 24 12 31 31 33 31 31 32 33 33 4 31 42 31 33 33 41 31 31 32 32 31 14 34 18 17 31 2 35 36 6 26 21 31 31 31 31 31 31 33 4 31 31 31 31 31 8 22 31 31 16 33 35 35 17 33 31 31 4 17 0 33 39 34 15 31 31 22 31 7 8 5 31 19 4 35 31 41 31 4 31 31 31 31 31 25 34 35 36 33 36 25 10 25 34 34 25 34 34 41 25 34 34 35 34 36 19 27 25 35 34 34 10 0 34 35 36 35 34 34 34 28 25 35 34 34 34 17 35 34 35 21 41 27 25 2 34 35 34 34 34 34 34 36 26 26 18 35 34 10 25 36 18 42 34 29 34 25 25 36 35 36 34 34 34 35 25 25 25 34 32 25 7 25 25 8 34 34 25 25 34 25 34 35 34 13 21 18 0 21 21 12 21 13 0 21 0 33 13 14 13 21 12 17 17 17 21 21 12 0 12 22 21 17 21 21 13 12 17 12 12 18 22 12 21 19 21 21 12 21 19 21 17 22 22 21 12 18 15 12 21 0 21 21 21 21 21 12 22 21 21 21 3 21 17 21 21 17 21 12 22 21 21 21 17 19 21 21 21 21 22 17 0 0 21 33 21 12 19 21 38 1 15 22 21 12 12 25 32 12 6 12 12 2 33 12 12 1 4 12 2 6 27 12 33 4 32 3 2 37 2 25 0 12 5 25 6 31 17 31 2 32 31 12 12 12 25 2 26 6 25 6 38 25 13 37 12 37 38 25 12 37 37 5 33 6 32 12 2 12 4 31 31 2 12 4 26 19 12 31 25 12 33 25 5 31 5 2 6 12 12 12 6 37 6 5 2 2 25 5 3 32 5 12 6"
8,5,-0.8318,0.9643,0.4417,-0.3261,0.1203,"27 3 10 13 3 0 41 3 3 22 3 0 38 41 19 3 8 0 41 41 0 3 0 35 0 41 38 41 0 0 3 1 41 9 41 0 11 3 3 0 0 3 19 41 41 41 3 27 13 13 41 0 13 3 3 0 41 41 41 41 3 41 0 41 41 41 41 41 3 30 0 41 3 6 3 8 19 12 3 0 14 3 41 3 41 26 3 41 0 2 0 3 3 0 41 41 41 31 3 3 3 22 24 12 12 12 12 21 12 12 12 3 21 12 21 12 12 12 12 12 22 22 12 22 0 23 12 12 12 21 33 23 4 12 12 12 0 24 21 21 3 12 5 3 12 12 12 12 25 12 23 21 22 12 24 12 21 12 12 1 22 21 12 37 21 12 22 21 12 12 0 37 21 22 5 21 4 23 22 12 6 22 23 3 12 12 22 22 37 5 21 12 37 21 23 22 12 22 0 22 12 12 24 25 25 8 25 26 12 25 26 25 27 27 1 25 27 25 7 2 25 2 7 2 11 12 8 26 2 12 25 25 12 25 2 2 7 26 25 25 7 25 25 25 7 7 25 7 25 12 38 12 25 25 38 25 25 25 2 2 2 26 2 26 25 2 2 25 27 2 25 2 7 13 25 25 7 26 25 27 25 25 2 26 25 2 12 25 26 25 25 2 12 26 2 2 8 8 25 25 12 24 12 12 31 5 2 12 12 29 31 12 12 12 12 30 12 12 12 30 12 29 30 30 12 28 12 12 12 12 12 10 4 28 32 12 12 31 31 12 12 33 30 12 12 12 12 12 2 2 24 5 12 12 28 12 12 28 12 4 12 29 12 12 2 28 12 12 12 2 2 12 12 31 2 28 29 12 12 30 12 30 5 12 29 12 2 12 28 12 29 12 12 2 12 12 30 33 12 12 27 23 25 25 23 25 23 23 23 23 33 24 25 23 27 12 23 12 23 23 23 32 12 23 24 23 23 12 26 12 33 23 23 23 9 12 23 23 12 27 12 26 12 3 23 27 12 24 23 23 23 24 23 24 12 23 33 31 23 23 12 23 24 12 24 12 12 23 23 24 25 24 12 12 23 23 23 23 23 12 23 31 23 24 23 23 24 24 23 25 23 23 23 23 23 23 9 9 31 23"
9,5,-0.8311,0.9130,0.2732,-0.3277,0.1271,"27 3 10 13 3 0 41 3 3 22 3 0 38 41 19 3 8 0 41 41 0 3 0 35 0 41 38 41 0 0 3 1 41 9 41 0 11 3 3 0 0 3 19 41 41 41 3 27 13 13 41 0 13 3 3 0 41 41 41 41 3 41 0 41 41 41 41 41 3 30 0 41 3 6 3 8 19 12 3 0 14 3 41 3 41 26 3 41 0 2 0 3 3 0 41 41 41 31 3 3 3 22 24 12 12 12 12 21 12 12 12 3 21 12 21 12 12 12 12 12 22 22 12 22 0 23 12 12 12 21 33 23 4 12 12 12 0 24 21 21 3 12 5 3 12 12 12 12 25 12 23 21 22 12 24 12 21 12 12 1 22 21 12 37 21 12 22 21 12 12 0 37 21 22 5 21 4 23 22 12 6 22 23 3 12 12 22 22 37 5 21 12 37 21 23 22 12 22 0 22 12 12 24 25 25 8 25 26 12 25 26 25 27 27 1 25 27 25 7 2 25 2 7 2 11 12 8 26 2 12 25 25 12 25 2 2 7 26 25 25 7 25 25 25 7 7 25 7 25 12 38 12 25 25 38 25 25 25 2 2 2 26 2 26 25 2 2 25 27 2 25 2 7 13 25 25 7 26 25 27 25 25 2 26 25 2 12 25 26 25 25 2 12 26 2 2 8 8 25 25 12 24 12 12 31 5 2 12 12 29 31 12 12 12 12 30 12 12 12 30 12 29 30 30 12 28 12 12 12 12 12 10 4 28 32 12 12 31 31 12 12 33 30 12 12 12 12 12 2 2 24 5 12 12 28 12 12 28 12 4 12 29 12 12 2 28 12 12 12 2 2 12 12 31 2 28 29 12 12 30 12 30 5 12 29 12 2 12 28 12 29 12 12 2 12 12 30 33 12 12 27 23 25 25 23 25 23 23 23 23 33 24 25 23 27 12 23 12 23 23 23 32 12 23 24 23 23 12 26 12 33 23 23 23 9 12 23 23 12 27 12 26 12 3 23 27 12 24 23 23 23 24 23 24 12 23 33 31 23 23 12 23 24 12 24 12 12 23 23 24 25 24 12 12 23 23 23 23 23 12 23 31 23 24 23 23 24 24 23 25 23 23 23 23 23 23 9 9 31 23"
