# seed=43
# instance=LINEAR
# popSize=100
# generations=100
# crossover=BlockUniform(p=0.25)
# mutation=p0=0.05,pMin=0.002,alpha=0.95
# tournamentK=3
# elitism=2
# lambda_similarity=0.3
# fights_per_team=10
# anchors=5
gen,changes,best_fitness,best_winrate,best_similarity,avg_fitness,worst_fitness,best_genome
0,1,-0.7233,1.0000,0.9224,-0.3299,0.1268,"39 35 30 16 17 32 26 16 0 4 19 42 13 34 35 17 11 9 19 38 32 39 32 10 12 15 31 17 35 13 39 0 35 2 21 24 10 37 13 40 12 28 36 25 30 8 36 9 4 29 22 13 32 34 37 32 23 32 12 7 24 21 10 16 7 35 16 38 24 9 8 23 9 13 8 27 16 6 14 35 41 3 38 27 38 23 19 18 18 16 36 18 38 16 24 12 4 17 11 8 38 14 19 0 19 12 30 8 42 0 24 38 27 35 1 5 31 28 25 37 30 4 23 0 31 4 9 21 38 23 21 13 23 37 41 31 24 24 10 38 8 14 25 13 6 4 16 34 14 39 5 30 33 24 32 25 39 11 27 4 34 32 17 23 10 11 26 17 20 28 21 21 40 42 37 40 12 15 11 28 36 25 17 35 41 21 32 7 20 22 42 36 27 30 13 16 22 31 21 40 37 16 22 11 37 17 3 36 15 28 36 38 8 4 39 20 16 36 15 13 37 16 40 19 35 22 32 6 3 3 18 26 40 27 35 33 32 0 14 3 34 34 2 10 14 3 1 11 36 15 29 8 27 31 9 27 13 12 41 12 5 37 36 33 29 11 6 6 16 26 27 3 41 24 16 15 31 19 12 14 6 38 26 42 19 7 42 7 14 15 38 29 36 12 34 28 20 32 30 39 36 6 26 3 10 22 22 11 40 19 39 19 31 38 14 6 12 28 33 27 13 10 9 24 22 16 7 36 3 33 20 5 2 14 38 14 30 2 39 34 37 10 22 34 12 2 18 41 39 10 5 41 26 23 35 25 8 13 10 41 3 12 1 15 28 11 28 17 39 36 5 19 32 9 32 27 37 9 41 22 18 8 14 20 9 28 22 33 26 18 10 29 21 19 39 2 19 6 30 39 26 14 25 7 17 37 32 31 13 7 35 21 10 10 38 34 34 2 2 9 3 3 2 36 27 6 6 25 11 38 4 35 0 11 29 29 7 31 25 19 6 40 35 23 17 26 22 33 37 2 15 9 28 41 21 5 36 41 22 12 37 12 6 35 8 25 37 32 2 32 21 19 39 21 13 18 22 13 34 27 5 32 7 16 26 14 27 21 11 40 18 20 12 26 29 37 14 5 27 40"
1,2,-0.8375,1.0000,0.5416,-0.3771,0.1090,"42 38 2 16 42 42 19 0 42 42 16 2 12 2 12 2 42 42 0 42 40 42 11 38 25 39 2 12 42 2 42 2 38 10 12 39 16 42 42 1 42 42 1 42 16 42 0 10 42 38 16 16 12 42 42 42 3 11 2 38 12 42 3 42 12 2 42 13 42 42 38 42 2 12 10 12 0 42 2 16 42 42 42 2 42 42 12 42 10 2 16 9 42 12 11 2 42 16 12 2 5 2 36 2 2 37 2 26 2 34 35 2 25 25 37 37 2 34 2 25 2 25 2 5 27 2 27 2 35 9 11 2 25 2 34 28 25 27 6 2 25 2 4 25 2 6 4 5 6 5 2 2 2 2 2 34 37 2 37 6 25 2 25 2 2 2 2 2 2 2 37 37 25 2 11 25 37 2 34 4 25 5 2 2 25 2 27 2 2 37 25 34 2 4 2 34 2 34 42 2 28 26 25 34 31 25 31 36 34 28 28 27 28 28 29 28 28 29 30 34 28 34 30 28 28 34 34 31 34 28 30 29 28 36 28 28 29 34 25 28 28 34 28 25 28 28 29 28 35 25 29 34 28 28 29 28 28 30 28 27 29 28 34 28 29 28 28 28 29 28 25 30 28 28 25 36 28 34 34 28 28 28 34 29 28 28 28 29 28 30 28 30 28 35 29 30 28 28 35 34 23 1 13 23 28 23 1 3 28 38 28 13 23 28 23 23 3 24 28 23 23 13 29 1 1 23 11 23 1 28 23 23 28 28 0 1 36 3 1 23 3 13 1 23 1 38 3 38 23 23 23 3 34 23 1 34 23 29 24 23 3 30 3 23 0 3 28 23 23 38 23 30 23 23 3 9 24 38 23 38 9 23 34 24 23 23 1 3 1 3 23 23 24 23 23 28 28 38 3 23 32 24 42 10 7 8 42 6 2 39 42 42 8 7 38 42 4 7 7 42 8 42 42 6 42 4 8 4 42 2 42 42 4 7 42 8 7 4 2 42 7 42 7 7 42 42 42 5 42 42 13 7 42 8 37 42 42 2 2 42 42 42 42 37 38 5 42 42 42 42 37 7 42 2 7 7 7 42 7 7 11 4 2 24 42 29 42 7 42 8 8 25 42 42 9 7 42 42 42 30"
2,3,-0.8760,1.0000,0.4132,-0.4120,0.0167,"19 17 17 2 14 28 14 19 17 17 40 17 6 19 37 8 15 14 8 19 19 7 19 28 14 14 19 19 17 17 6 17 15 15 15 7 2 15 14 19 2 37 17 4 5 15 19 4 19 7 17 15 15 14 17 19 7 2 15 7 2 19 4 8 19 19 19 5 17 19 4 17 37 8 19 2 17 4 7 19 2 7 19 14 15 15 19 17 17 7 17 2 19 17 19 2 7 15 19 15 32 42 42 27 42 5 4 37 19 2 42 5 42 42 42 6 42 42 19 42 37 42 42 42 39 42 4 37 42 42 42 33 42 42 23 42 42 4 42 6 2 42 25 26 42 42 42 42 42 35 26 31 2 41 7 42 1 42 42 42 5 42 2 29 16 8 42 4 42 7 42 32 37 8 26 5 13 42 42 42 42 5 5 2 4 38 20 42 5 35 42 9 5 42 35 42 42 3 14 13 12 12 24 40 42 16 16 42 42 25 40 42 20 23 42 42 12 42 12 40 40 40 42 16 42 12 40 12 42 39 16 42 40 42 12 16 16 42 12 42 42 42 16 12 42 24 40 42 12 42 42 42 42 16 16 42 16 16 42 40 42 42 12 12 12 42 16 42 16 40 42 27 42 16 16 12 42 16 12 12 16 12 42 40 24 42 42 12 42 12 16 40 42 16 42 16 12 16 42 42 19 7 7 7 7 7 19 7 19 7 7 19 7 19 7 21 19 7 7 7 22 19 7 7 20 8 19 7 7 19 8 7 20 8 7 21 8 7 7 20 19 20 7 7 7 8 7 19 7 8 7 7 19 19 20 20 7 8 8 8 19 19 7 7 8 19 7 7 19 7 7 19 7 19 7 19 19 7 20 19 7 19 7 19 19 19 7 7 7 7 19 7 19 8 7 19 8 7 7 7 20 19 21 19 8 19 19 20 19 12 21 19 18 20 19 20 19 18 12 19 12 21 12 12 19 19 19 21 19 19 21 12 24 19 19 21 19 20 21 17 19 19 12 21 1 34 19 19 19 19 19 21 20 20 12 20 21 19 20 19 20 12 2 19 20 19 19 20 21 21 20 19 20 19 20 19 19 19 19 19 21 19 19 21 17 19 19 19 10 19 21 12 19 19 12 20 21 20 22 19"
3,3,-0.8570,1.0000,0.4768,-0.4252,0.0449,"19 17 17 2 14 28 14 19 17 17 40 17 6 19 37 8 15 14 8 19 19 7 19 28 14 14 19 19 17 17 6 17 15 15 15 7 2 15 14 19 2 37 17 4 5 15 19 4 19 7 17 15 15 14 17 19 7 2 15 7 2 19 4 8 19 19 19 5 17 19 4 17 37 8 19 2 17 4 7 19 2 7 19 14 15 15 19 17 17 7 17 2 19 17 19 2 7 15 19 15 32 42 42 27 42 5 4 37 19 2 42 5 42 42 42 6 42 42 19 42 37 42 42 42 39 42 4 37 42 42 42 33 42 42 23 42 42 4 42 6 2 42 25 26 42 42 42 42 42 35 26 31 2 41 7 42 1 42 42 42 5 42 2 29 16 8 42 4 42 7 42 32 37 8 26 5 13 42 42 42 42 5 5 2 4 38 20 42 5 35 42 9 5 42 35 42 42 3 14 13 12 12 24 40 42 16 16 42 42 25 40 42 20 23 42 42 12 42 12 40 40 40 42 16 42 12 40 12 42 39 16 42 40 42 12 16 16 42 12 42 42 42 16 12 42 24 40 42 12 42 42 42 42 16 16 42 16 16 42 40 42 42 12 12 12 42 16 42 16 40 42 27 42 16 16 12 42 16 12 12 16 12 42 40 24 42 42 12 42 12 16 40 42 16 42 16 12 16 42 42 19 7 7 7 7 7 19 7 19 7 7 19 7 19 7 21 19 7 7 7 22 19 7 7 20 8 19 7 7 19 8 7 20 8 7 21 8 7 7 20 19 20 7 7 7 8 7 19 7 8 7 7 19 19 20 20 7 8 8 8 19 19 7 7 8 19 7 7 19 7 7 19 7 19 7 19 19 7 20 19 7 19 7 19 19 19 7 7 7 7 19 7 19 8 7 19 8 7 7 7 20 19 21 19 8 19 19 20 19 12 21 19 18 20 19 20 19 18 12 19 12 21 12 12 19 19 19 21 19 19 21 12 24 19 19 21 19 20 21 17 19 19 12 21 1 34 19 19 19 19 19 21 20 20 12 20 21 19 20 19 20 12 2 19 20 19 19 20 21 21 20 19 20 19 20 19 19 19 19 19 21 19 19 21 17 19 19 19 10 19 21 12 19 19 12 20 21 20 22 19"
4,3,-0.8529,1.0000,0.4903,-0.4322,0.0504,"19 17 17 2 14 28 14 19 17 17 40 17 6 19 37 8 15 14 8 19 19 7 19 28 14 14 19 19 17 17 6 17 15 15 15 7 2 15 14 19 2 37 17 4 5 15 19 4 19 7 17 15 15 14 17 19 7 2 15 7 2 19 4 8 19 19 19 5 17 19 4 17 37 8 19 2 17 4 7 19 2 7 19 14 15 15 19 17 17 7 17 2 19 17 19 2 7 15 19 15 32 42 42 27 42 5 4 37 19 2 42 5 42 42 42 6 42 42 19 42 37 42 42 42 39 42 4 37 42 42 42 33 42 42 23 42 42 4 42 6 2 42 25 26 42 42 42 42 42 35 26 31 2 41 7 42 1 42 42 42 5 42 2 29 16 8 42 4 42 7 42 32 37 8 26 5 13 42 42 42 42 5 5 2 4 38 20 42 5 35 42 9 5 42 35 42 42 3 14 13 12 12 24 40 42 16 16 42 42 25 40 42 20 23 42 42 12 42 12 40 40 40 42 16 42 12 40 12 42 39 16 42 40 42 12 16 16 42 12 42 42 42 16 12 42 24 40 42 12 42 42 42 42 16 16 42 16 16 42 40 42 42 12 12 12 42 16 42 16 40 42 27 42 16 16 12 42 16 12 12 16 12 42 40 24 42 42 12 42 12 16 40 42 16 42 16 12 16 42 42 19 7 7 7 7 7 19 7 19 7 7 19 7 19 7 21 19 7 7 7 22 19 7 7 20 8 19 7 7 19 8 7 20 8 7 21 8 7 7 20 19 20 7 7 7 8 7 19 7 8 7 7 19 19 20 20 7 8 8 8 19 19 7 7 8 19 7 7 19 7 7 19 7 19 7 19 19 7 20 19 7 19 7 19 19 19 7 7 7 7 19 7 19 8 7 19 8 7 7 7 20 19 21 19 8 19 19 20 19 12 21 19 18 20 19 20 19 18 12 19 12 21 12 12 19 19 19 21 19 19 21 12 24 19 19 21 19 20 21 17 19 19 12 21 1 34 19 19 19 19 19 21 20 20 12 20 21 19 20 19 20 12 2 19 20 19 19 20 21 21 20 19 20 19 20 19 19 19 19 19 21 19 19 21 17 19 19 19 10 19 21 12 19 19 12 20 21 20 22 19"
5,3,-0.8600,1.0000,0.4668,-0.4438,-0.0423,"19 17 17 2 14 28 14 19 17 17 40 17 6 19 37 8 15 14 8 19 19 7 19 28 14 14 19 19 17 17 6 17 15 15 15 7 2 15 14 19 2 37 17 4 5 15 19 4 19 7 17 15 15 14 17 19 7 2 15 7 2 19 4 8 19 19 19 5 17 19 4 17 37 8 19 2 17 4 7 19 2 7 19 14 15 15 19 17 17 7 17 2 19 17 19 2 7 15 19 15 32 42 42 27 42 5 4 37 19 2 42 5 42 42 42 6 42 42 19 42 37 42 42 42 39 42 4 37 42 42 42 33 42 42 23 42 42 4 42 6 2 42 25 26 42 42 42 42 42 35 26 31 2 41 7 42 1 42 42 42 5 42 2 29 16 8 42 4 42 7 42 32 37 8 26 5 13 42 42 42 42 5 5 2 4 38 20 42 5 35 42 9 5 42 35 42 42 3 14 13 12 12 24 40 42 16 16 42 42 25 40 42 20 23 42 42 12 42 12 40 40 40 42 16 42 12 40 12 42 39 16 42 40 42 12 16 16 42 12 42 42 42 16 12 42 24 40 42 12 42 42 42 42 16 16 42 16 16 42 40 42 42 12 12 12 42 16 42 16 40 42 27 42 16 16 12 42 16 12 12 16 12 42 40 24 42 42 12 42 12 16 40 42 16 42 16 12 16 42 42 19 7 7 7 7 7 19 7 19 7 7 19 7 19 7 21 19 7 7 7 22 19 7 7 20 8 19 7 7 19 8 7 20 8 7 21 8 7 7 20 19 20 7 7 7 8 7 19 7 8 7 7 19 19 20 20 7 8 8 8 19 19 7 7 8 19 7 7 19 7 7 19 7 19 7 19 19 7 20 19 7 19 7 19 19 19 7 7 7 7 19 7 19 8 7 19 8 7 7 7 20 19 21 19 8 19 19 20 19 12 21 19 18 20 19 20 19 18 12 19 12 21 12 12 19 19 19 21 19 19 21 12 24 19 19 21 19 20 21 17 19 19 12 21 1 34 19 19 19 19 19 21 20 20 12 20 21 19 20 19 20 12 2 19 20 19 19 20 21 21 20 19 20 19 20 19 19 19 19 19 21 19 19 21 17 19 19 19 10 19 21 12 19 19 12 20 21 20 22 19"
6,4,-0.8843,1.0000,0.3855,-0.4477,0.0667,"9 38 9 9 12 12 1 9 11 9 11 3 28 9 9 10 9 9 9 32 9 9 13 31 9 11 9 32 0 9 9 10 11 9 12 0 9 9 9 9 29 9 28 34 32 9 9 1 28 9 9 9 9 11 9 38 33 9 28 10 9 9 10 9 10 9 10 11 9 9 9 32 9 9 10 11 9 10 1 11 0 32 13 1 29 9 31 9 12 38 11 28 10 12 12 30 32 12 12 12 38 9 9 38 9 20 19 19 0 9 12 10 9 23 9 9 9 9 12 9 9 19 9 9 9 9 9 19 19 11 38 20 9 10 9 19 10 9 11 19 23 9 12 9 9 38 19 9 9 9 9 9 19 9 9 19 19 12 9 20 19 9 10 9 19 9 9 11 38 19 9 10 9 20 20 19 9 20 11 9 10 10 19 9 9 12 9 9 9 1 10 10 9 19 38 9 9 19 9 0 16 2 23 8 7 7 2 2 2 2 8 7 7 42 7 2 23 23 7 2 42 42 7 2 2 42 16 8 8 7 42 2 42 7 12 7 2 2 42 2 7 8 2 42 7 42 2 2 2 12 8 23 2 2 42 8 7 42 36 2 7 42 2 7 42 42 12 2 2 2 2 7 12 2 2 7 7 2 12 2 2 2 23 42 8 2 16 23 16 7 8 8 2 7 7 2 7 7 42 16 17 34 16 19 14 38 23 16 16 11 10 17 16 23 23 16 12 3 14 38 18 38 3 1 3 3 16 13 2 29 31 1 42 29 16 16 38 12 13 12 3 2 16 11 16 38 18 7 3 12 16 3 7 13 12 0 19 38 1 22 12 11 23 13 5 12 16 12 12 12 35 12 2 38 4 16 13 16 41 22 16 31 12 3 17 12 1 9 40 16 12 0 13 22 12 38 38 13 3 41 20 9 9 15 9 17 10 10 9 15 19 10 9 9 11 9 11 19 9 19 25 14 11 19 19 19 17 11 9 19 9 9 17 11 9 11 9 9 19 11 10 25 15 20 10 27 19 9 19 17 9 9 9 11 19 9 9 17 9 9 9 19 9 11 9 21 19 9 19 9 10 9 20 9 10 9 9 9 9 19 9 25 11 10 10 19 9 19 19 9 9 25 10 9 19 19 11 19 19 26"
7,4,-0.8772,1.0000,0.4093,-0.4516,0.0898,"9 38 9 9 12 12 1 9 11 9 11 3 28 9 9 10 9 9 9 32 9 9 13 31 9 11 9 32 0 9 9 10 11 9 12 0 9 9 9 9 29 9 28 34 32 9 9 1 28 9 9 9 9 11 9 38 33 9 28 10 9 9 10 9 10 9 10 11 9 9 9 32 9 9 10 11 9 10 1 11 0 32 13 1 29 9 31 9 12 38 11 28 10 12 12 30 32 12 12 12 38 9 9 38 9 20 19 19 0 9 12 10 9 23 9 9 9 9 12 9 9 19 9 9 9 9 9 19 19 11 38 20 9 10 9 19 10 9 11 19 23 9 12 9 9 38 19 9 9 9 9 9 19 9 9 19 19 12 9 20 19 9 10 9 19 9 9 11 38 19 9 10 9 20 20 19 9 20 11 9 10 10 19 9 9 12 9 9 9 1 10 10 9 19 38 9 9 19 9 0 16 2 23 8 7 7 2 2 2 2 8 7 7 42 7 2 23 23 7 2 42 42 7 2 2 42 16 8 8 7 42 2 42 7 12 7 2 2 42 2 7 8 2 42 7 42 2 2 2 12 8 23 2 2 42 8 7 42 36 2 7 42 2 7 42 42 12 2 2 2 2 7 12 2 2 7 7 2 12 2 2 2 23 42 8 2 16 23 16 7 8 8 2 7 7 2 7 7 42 16 17 34 16 19 14 38 23 16 16 11 10 17 16 23 23 16 12 3 14 38 18 38 3 1 3 3 16 13 2 29 31 1 42 29 16 16 38 12 13 12 3 2 16 11 16 38 18 7 3 12 16 3 7 13 12 0 19 38 1 22 12 11 23 13 5 12 16 12 12 12 35 12 2 38 4 16 13 16 41 22 16 31 12 3 17 12 1 9 40 16 12 0 13 22 12 38 38 13 3 41 20 9 9 15 9 17 10 10 9 15 19 10 9 9 11 9 11 19 9 19 25 14 11 19 19 19 17 11 9 19 9 9 17 11 9 11 9 9 19 11 10 25 15 20 10 27 19 9 19 17 9 9 9 11 19 9 9 17 9 9 9 19 9 11 9 21 19 9 19 9 10 9 20 9 10 9 9 9 9 19 9 25 11 10 10 19 9 19 19 9 9 25 10 9 19 19 11 19 19 26"
8,4,-0.8489,1.0000,0.5036,-0.4561,0.0916,"9 38 9 9 12 12 1 9 11 9 11 3 28 9 9 10 9 9 9 32 9 9 13 31 9 11 9 32 0 9 9 10 11 9 12 0 9 9 9 9 29 9 28 34 32 9 9 1 28 9 9 9 9 11 9 38 33 9 28 10 9 9 10 9 10 9 10 11 9 9 9 32 9 9 10 11 9 10 1 11 0 32 13 1 29 9 31 9 12 38 11 28 10 12 12 30 32 12 12 12 38 9 9 38 9 20 19 19 0 9 12 10 9 23 9 9 9 9 12 9 9 19 9 9 9 9 9 19 19 11 38 20 9 10 9 19 10 9 11 19 23 9 12 9 9 38 19 9 9 9 9 9 19 9 9 19 19 12 9 20 19 9 10 9 19 9 9 11 38 19 9 10 9 20 20 19 9 20 11 9 10 10 19 9 9 12 9 9 9 1 10 10 9 19 38 9 9 19 9 0 16 2 23 8 7 7 2 2 2 2 8 7 7 42 7 2 23 23 7 2 42 42 7 2 2 42 16 8 8 7 42 2 42 7 12 7 2 2 42 2 7 8 2 42 7 42 2 2 2 12 8 23 2 2 42 8 7 42 36 2 7 42 2 7 42 42 12 2 2 2 2 7 12 2 2 7 7 2 12 2 2 2 23 42 8 2 16 23 16 7 8 8 2 7 7 2 7 7 42 16 17 34 16 19 14 38 23 16 16 11 10 17 16 23 23 16 12 3 14 38 18 38 3 1 3 3 16 13 2 29 31 1 42 29 16 16 38 12 13 12 3 2 16 11 16 38 18 7 3 12 16 3 7 13 12 0 19 38 1 22 12 11 23 13 5 12 16 12 12 12 35 12 2 38 4 16 13 16 41 22 16 31 12 3 17 12 1 9 40 16 12 0 13 22 12 38 38 13 3 41 20 9 9 15 9 17 10 10 9 15 19 10 9 9 11 9 11 19 9 19 25 14 11 19 19 19 17 11 9 19 9 9 17 11 9 11 9 9 19 11 10 25 15 20 10 27 19 9 19 17 9 9 9 11 19 9 9 17 9 9 9 19 9 11 9 21 19 9 19 9 10 9 20 9 10 9 9 9 9 19 9 25 11 10 10 19 9 19 19 9 9 25 10 9 19 19 11 19 19 26"
9,4,-0.8793,1.0000,0.4023,-0.4551,0.0683,"9 38 9 9 12 12 1 9 11 9 11 3 28 9 9 10 9 9 9 32 9 9 13 31 9 11 9 32 0 9 9 10 11 9 12 0 9 9 9 9 29 9 28 34 32 9 9 1 28 9 9 9 9 11 9 38 33 9 28 10 9 9 10 9 10 9 10 11 9 9 9 32 9 9 10 11 9 10 1 11 0 32 13 1 29 9 31 9 12 38 11 28 10 12 12 30 32 12 12 12 38 9 9 38 9 20 19 19 0 9 12 10 9 23 9 9 9 9 12 9 9 19 9 9 9 9 9 19 19 11 38 20 9 10 9 19 10 9 11 19 23 9 12 9 9 38 19 9 9 9 9 9 19 9 9 19 19 12 9 20 19 9 10 9 19 9 9 11 38 19 9 10 9 20 20 19 9 20 11 9 10 10 19 9 9 12 9 9 9 1 10 10 9 19 38 9 9 19 9 0 16 2 23 8 7 7 2 2 2 2 8 7 7 42 7 2 23 23 7 2 42 42 7 2 2 42 16 8 8 7 42 2 42 7 12 7 2 2 42 2 7 8 2 42 7 42 2 2 2 12 8 23 2 2 42 8 7 42 36 2 7 42 2 7 42 42 12 2 2 2 2 7 12 2 2 7 7 2 12 2 2 2 23 42 8 2 16 23 16 7 8 8 2 7 7 2 7 7 42 16 17 34 16 19 14 38 23 16 16 11 10 17 16 23 23 16 12 3 14 38 18 38 3 1 3 3 16 13 2 29 31 1 42 29 16 16 38 12 13 12 3 2 16 11 16 38 18 7 3 12 16 3 7 13 12 0 19 38 1 22 12 11 23 13 5 12 16 12 12 12 35 12 2 38 4 16 13 16 41 22 16 31 12 3 17 12 1 9 40 16 12 0 13 22 12 38 38 13 3 41 20 9 9 15 9 17 10 10 9 15 19 10 9 9 11 9 11 19 9 19 25 14 11 19 19 19 17 11 9 19 9 9 17 11 9 11 9 9 19 11 10 25 15 20 10 27 19 9 19 17 9 9 9 11 19 9 9 17 9 9 9 19 9 11 9 21 19 9 19 9 10 9 20 9 10 9 9 9 9 19 9 25 11 10 10 19 9 19 19 9 9 25 10 9 19 19 11 19 19 26"
