# seed=49
# instance=FULL_DAMAGE_PIECEWISE
# popSize=100
# generations=100
# crossover=BlockUniform(p=0.25)
# mutation=p0=0.05,pMin=0.002,alpha=0.95
# tournamentK=3
# elitism=2
# lambda_similarity=0.3
# fights_per_team=10
# anchors=5
gen,changes,best_fitness,best_winrate,best_similarity,avg_fitness,worst_fitness,best_genome
0,1,-0.5789,0.8571,0.9276,-0.1610,0.2795,"16 33 29 42 35 20 36 8 7 41 24 1 41 5 37 12 32 2 31 21 40 38 21 22 27 34 26 13 11 1 42 25 36 15 26 14 18 8 14 11 32 35 27 19 25 19 38 5 2 3 29 28 41 27 17 34 12 27 29 23 19 34 28 15 33 9 11 11 33 26 33 9 2 5 11 0 42 33 23 37 28 34 21 33 22 38 13 23 14 42 11 25 27 41 9 10 8 26 2 31 42 2 11 12 40 11 15 31 15 7 36 14 17 8 14 18 27 18 35 6 22 31 39 18 28 32 14 11 35 42 17 20 22 31 15 16 12 21 37 42 11 12 1 28 8 7 10 4 24 15 7 6 2 17 18 0 21 16 4 27 1 38 11 6 18 33 12 4 9 1 18 22 29 37 3 5 3 35 21 22 21 1 23 14 26 35 20 27 36 24 33 29 31 11 1 30 8 31 27 3 35 36 22 38 16 9 18 31 14 20 38 29 19 0 40 38 17 30 17 25 16 41 38 25 13 38 16 39 2 27 28 19 26 13 24 28 3 14 25 34 20 4 24 39 30 14 24 30 22 38 29 40 28 19 42 29 5 2 32 34 21 8 12 1 36 10 5 3 15 27 42 13 19 17 17 11 13 11 27 33 5 39 6 22 9 38 23 30 23 28 25 18 38 3 38 34 23 40 22 3 0 19 16 42 17 33 3 15 16 17 20 42 27 35 6 11 35 34 1 12 15 33 41 24 41 5 18 38 15 0 41 39 20 22 7 42 13 12 13 37 10 35 3 1 7 0 26 1 15 0 8 38 26 33 8 30 18 10 21 11 29 12 39 26 16 13 16 12 22 30 1 37 41 2 1 17 29 8 2 29 13 18 7 32 1 42 18 17 7 2 36 6 5 14 18 23 14 38 41 31 28 40 28 12 14 34 31 25 28 36 27 37 4 17 1 31 27 23 23 25 39 13 25 38 9 33 25 19 19 0 33 34 36 10 1 2 8 6 15 2 41 2 34 13 4 10 21 42 2 31 15 25 14 33 7 36 21 35 15 27 13 3 7 30 33 5 18 30 34 21 23 26 38 31 38 1 23 23 40 14 2 4 26 42 37 26 9 2 27 26 28 10 37 0 29 36 29 9 9 10"
1,2,-0.7354,0.9091,0.5790,-0.2092,0.2760,"28 28 31 28 31 31 28 29 31 31 28 31 28 29 34 32 32 31 31 28 33 2 31 31 7 31 28 31 28 30 31 2 28 29 36 31 31 2 28 32 31 31 28 31 32 31 28 31 31 28 31 30 29 32 31 32 28 31 31 31 28 31 31 33 28 30 31 31 31 31 33 29 31 7 33 31 2 33 32 32 28 12 33 32 28 31 2 28 31 33 32 31 33 31 30 31 28 31 33 31 31 17 19 15 15 17 17 17 0 1 13 19 19 31 15 1 38 34 17 13 14 15 17 13 34 15 19 17 14 17 17 19 19 1 15 35 14 14 15 19 35 14 17 17 10 14 38 38 31 38 34 9 17 34 9 17 17 17 13 34 1 14 34 14 13 31 1 9 14 0 1 35 1 14 19 14 36 34 34 17 3 3 38 1 15 19 36 3 17 36 14 19 17 34 14 9 14 3 31 14 2 14 7 3 2 7 2 2 8 7 7 8 2 2 2 38 7 2 2 7 7 1 3 7 0 7 2 2 7 0 8 2 13 2 2 7 2 7 2 7 2 8 8 8 8 1 8 7 7 2 13 7 8 2 2 13 2 8 8 8 31 2 2 2 18 7 2 30 18 2 1 7 2 8 7 8 2 0 2 1 7 38 14 7 10 2 23 3 7 7 2 31 3 7 7 2 2 2 2 42 6 4 2 37 0 2 5 2 1 17 10 3 2 2 11 1 6 2 3 5 3 18 0 2 2 0 0 0 3 0 2 2 3 0 42 0 0 5 2 0 37 29 5 6 0 0 2 2 3 2 2 2 3 28 0 0 2 0 2 2 0 26 2 0 18 0 2 2 4 2 2 0 4 2 31 2 2 3 2 3 5 2 0 0 0 0 0 2 2 19 30 2 0 3 2 5 0 3 2 27 38 38 1 13 41 28 41 19 13 28 41 16 19 36 13 41 41 41 41 41 17 41 28 16 10 41 28 28 3 41 31 1 41 41 41 38 41 41 41 41 41 28 28 28 28 41 41 3 1 38 41 28 40 1 1 41 41 28 38 30 41 28 0 28 9 28 28 41 41 29 0 30 18 41 41 41 17 41 13 41 41 41 28 41 28 13 13 41 28 13 41 41 41 28 41 13 0 41 1 41"
2,2,-0.7288,0.8966,0.5591,-0.2446,0.2154,"28 28 31 28 31 31 28 29 31 31 28 31 28 29 34 32 32 31 31 28 33 2 31 31 7 31 28 31 28 30 31 2 28 29 36 31 31 2 28 32 31 31 28 31 32 31 28 31 31 28 31 30 29 32 31 32 28 31 31 31 28 31 31 33 28 30 31 31 31 31 33 29 31 7 33 31 2 33 32 32 28 12 33 32 28 31 2 28 31 33 32 31 33 31 30 31 28 31 33 31 31 17 19 15 15 17 17 17 0 1 13 19 19 31 15 1 38 34 17 13 14 15 17 13 34 15 19 17 14 17 17 19 19 1 15 35 14 14 15 19 35 14 17 17 10 14 38 38 31 38 34 9 17 34 9 17 17 17 13 34 1 14 34 14 13 31 1 9 14 0 1 35 1 14 19 14 36 34 34 17 3 3 38 1 15 19 36 3 17 36 14 19 17 34 14 9 14 3 31 14 2 14 7 3 2 7 2 2 8 7 7 8 2 2 2 38 7 2 2 7 7 1 3 7 0 7 2 2 7 0 8 2 13 2 2 7 2 7 2 7 2 8 8 8 8 1 8 7 7 2 13 7 8 2 2 13 2 8 8 8 31 2 2 2 18 7 2 30 18 2 1 7 2 8 7 8 2 0 2 1 7 38 14 7 10 2 23 3 7 7 2 31 3 7 7 2 2 2 2 42 6 4 2 37 0 2 5 2 1 17 10 3 2 2 11 1 6 2 3 5 3 18 0 2 2 0 0 0 3 0 2 2 3 0 42 0 0 5 2 0 37 29 5 6 0 0 2 2 3 2 2 2 3 28 0 0 2 0 2 2 0 26 2 0 18 0 2 2 4 2 2 0 4 2 31 2 2 3 2 3 5 2 0 0 0 0 0 2 2 19 30 2 0 3 2 5 0 3 2 27 38 38 1 13 41 28 41 19 13 28 41 16 19 36 13 41 41 41 41 41 17 41 28 16 10 41 28 28 3 41 31 1 41 41 41 38 41 41 41 41 41 28 28 28 28 41 41 3 1 38 41 28 40 1 1 41 41 28 38 30 41 28 0 28 9 28 28 41 41 29 0 30 18 41 41 41 17 41 13 41 41 41 28 41 28 13 13 41 28 13 41 41 41 28 41 13 0 41 1 41"
3,3,-0.7643,0.9600,0.6523,-0.2666,0.1782,"0 8 7 0 7 7 3 7 3 0 26 7 0 0 22 7 7 0 3 7 7 21 9 27 34 14 3 20 7 3 0 3 1 22 3 3 13 7 3 7 7 21 2 19 3 0 36 7 23 13 3 7 7 42 7 7 3 7 7 7 7 0 8 0 24 34 0 7 8 6 42 7 7 19 41 0 7 0 11 3 3 3 3 34 7 0 7 36 39 0 0 8 0 17 7 0 3 3 0 29 9 9 17 25 17 9 12 19 9 26 14 17 9 17 17 9 9 11 9 9 9 11 17 9 17 9 9 9 9 9 12 11 9 19 14 9 9 9 17 9 11 9 9 12 9 9 17 19 9 9 17 9 17 26 9 9 10 26 9 19 9 9 9 11 12 26 9 9 27 19 9 14 11 9 25 17 12 9 14 9 10 9 19 26 9 10 9 15 17 19 17 12 19 9 9 17 12 9 9 9 2 2 2 42 7 2 2 2 2 2 2 8 7 2 8 2 2 16 2 2 7 2 42 8 2 8 17 17 7 17 2 17 2 23 2 2 2 2 2 4 7 2 16 7 17 2 17 2 12 2 17 7 2 12 2 2 2 2 2 2 17 37 8 7 16 2 16 18 2 2 17 17 2 6 12 17 7 2 2 2 12 7 7 7 2 38 7 12 7 2 2 2 16 2 17 8 2 2 17 8 31 12 31 12 31 39 31 31 33 33 31 31 27 31 39 32 39 31 39 29 31 31 31 28 28 39 31 12 31 33 12 31 31 31 39 28 28 39 31 31 31 33 39 33 33 31 31 31 31 31 31 31 39 26 25 32 33 33 31 32 25 31 31 39 31 33 32 31 33 31 39 31 33 31 25 12 29 33 12 31 39 33 31 32 25 31 31 32 33 27 31 25 22 31 25 31 12 31 31 25 2 2 9 3 0 37 42 0 2 3 2 38 42 16 18 2 2 36 2 42 11 2 2 2 2 0 10 9 12 2 11 11 2 2 42 2 9 4 2 2 42 2 6 9 2 42 0 42 9 2 17 2 42 42 11 11 2 2 9 11 2 2 42 9 42 2 42 10 2 42 33 6 10 42 9 2 42 9 5 11 42 2 42 9 5 37 2 9 2 2 10 42 11 9 11 2 9 10 42 37"
4,4,-0.7708,0.9355,0.5491,-0.2789,0.1778,"0 25 10 2 25 27 24 26 26 26 36 17 12 0 12 12 21 12 12 28 12 22 33 32 27 25 37 28 17 16 12 12 26 12 12 12 12 42 12 12 12 33 12 39 24 12 5 12 12 8 4 24 5 27 12 25 10 41 27 4 1 12 12 13 9 26 26 39 12 26 10 12 26 12 27 21 1 27 14 38 26 26 12 18 12 12 26 27 8 12 17 30 8 39 12 27 27 21 33 12 18 2 6 5 11 2 35 10 6 2 9 34 19 2 4 6 2 2 2 37 2 10 4 2 11 15 2 4 2 2 15 2 29 2 17 5 2 37 2 4 2 4 2 2 4 4 4 2 25 1 2 37 11 6 19 27 9 9 10 5 37 2 2 14 37 2 20 2 2 2 5 2 2 5 5 6 22 2 9 42 2 10 1 37 10 2 37 2 2 2 10 9 6 2 26 2 2 37 11 29 31 31 7 15 5 8 2 14 7 0 7 8 7 7 7 7 7 7 7 7 7 7 5 14 7 12 8 3 8 12 7 12 7 7 7 15 7 7 7 7 26 7 8 32 7 8 7 8 7 12 37 7 7 7 7 12 7 14 7 7 7 7 31 12 12 7 7 12 12 12 12 7 12 7 7 12 33 3 7 7 8 7 7 7 8 7 7 2 7 12 12 8 7 7 7 7 8 7 7 7 7 7 7 7 7 2 7 16 8 7 7 8 2 7 2 27 7 8 7 4 8 8 8 7 7 8 8 2 8 23 7 7 7 8 7 7 7 16 7 7 2 2 8 2 2 7 7 13 7 7 7 7 7 2 8 17 7 2 7 5 7 7 7 7 2 8 7 7 2 8 8 37 7 7 7 2 7 7 7 2 7 12 2 7 16 2 7 7 7 7 8 8 7 8 7 7 2 7 2 8 9 25 2 2 2 2 2 25 2 4 2 25 2 25 25 25 2 6 25 26 26 4 2 26 2 4 5 25 0 6 25 2 2 2 2 2 2 26 37 2 2 11 9 25 2 26 2 25 2 11 2 2 6 2 2 25 5 2 2 2 25 2 5 37 25 25 2 25 25 2 37 2 34 27 26 2 2 25 26 5 6 25 10 2 37 2 2 25 9 2 25 6 2 2 2 6 2 2 9 6"
5,5,-0.8292,1.0000,0.5692,-0.2805,0.1969,"28 28 31 28 31 31 28 29 31 31 28 31 28 29 34 32 32 31 31 28 33 2 31 31 7 31 28 31 28 30 31 2 28 29 36 31 31 2 28 32 31 31 28 31 32 31 28 31 31 28 31 30 29 32 31 32 28 31 31 31 28 31 31 33 28 30 31 31 31 31 33 29 31 7 33 31 2 33 32 32 28 12 33 32 28 31 2 28 31 33 32 31 33 31 30 31 28 31 33 31 31 17 19 15 15 17 17 17 0 1 13 19 19 31 15 1 38 34 17 13 14 15 17 13 34 15 19 17 14 17 17 19 19 1 15 35 14 14 15 19 35 14 17 17 10 14 38 38 31 38 34 9 17 34 9 17 17 17 13 34 1 14 34 14 13 31 1 9 14 0 1 35 1 14 19 14 36 34 34 17 3 3 38 1 15 19 36 3 17 36 14 19 17 34 14 9 14 3 31 14 2 14 7 3 2 7 2 2 8 7 7 8 2 2 2 38 7 2 2 7 7 1 3 7 0 7 2 2 7 0 8 2 13 2 2 7 2 7 2 7 2 8 8 8 8 1 8 7 7 2 13 7 8 2 2 13 2 8 8 8 31 2 2 2 18 7 2 30 18 2 1 7 2 8 7 8 2 0 2 1 7 38 14 7 10 2 23 3 7 7 2 31 3 7 7 2 2 2 2 42 6 4 2 37 0 2 5 2 1 17 10 3 2 2 11 1 6 2 3 5 3 18 0 2 2 0 0 0 3 0 2 2 3 0 42 0 0 5 2 0 37 29 5 6 0 0 2 2 3 2 2 2 3 28 0 0 2 0 2 2 0 26 2 0 18 0 2 2 4 2 2 0 4 2 31 2 2 3 2 3 5 2 0 0 0 0 0 2 2 19 30 2 0 3 2 5 0 3 2 27 38 38 1 13 41 28 41 19 13 28 41 16 19 36 13 41 41 41 41 41 17 41 28 16 10 41 28 28 3 41 31 1 41 41 41 38 41 41 41 41 41 28 28 28 28 41 41 3 1 38 41 28 40 1 1 41 41 28 38 30 41 28 0 28 9 28 28 41 41 29 0 30 18 41 41 41 17 41 13 41 41 41 28 41 28 13 13 41 28 13 41 41 41 28 41 13 0 41 1 41"
6,5,-0.7485,0.9259,0.5915,-0.2915,0.1751,"28 28 31 28 31 31 28 29 31 31 28 31 28 29 34 32 32 31 31 28 33 2 31 31 7 31 28 31 28 30 31 2 28 29 36 31 31 2 28 32 31 31 28 31 32 31 28 31 31 28 31 30 29 32 31 32 28 31 31 31 28 31 31 33 28 30 31 31 31 31 33 29 31 7 33 31 2 33 32 32 28 12 33 32 28 31 2 28 31 33 32 31 33 31 30 31 28 31 33 31 31 17 19 15 15 17 17 17 0 1 13 19 19 31 15 1 38 34 17 13 14 15 17 13 34 15 19 17 14 17 17 19 19 1 15 35 14 14 15 19 35 14 17 17 10 14 38 38 31 38 34 9 17 34 9 17 17 17 13 34 1 14 34 14 13 31 1 9 14 0 1 35 1 14 19 14 36 34 34 17 3 3 38 1 15 19 36 3 17 36 14 19 17 34 14 9 14 3 31 14 2 14 7 3 2 7 2 2 8 7 7 8 2 2 2 38 7 2 2 7 7 1 3 7 0 7 2 2 7 0 8 2 13 2 2 7 2 7 2 7 2 8 8 8 8 1 8 7 7 2 13 7 8 2 2 13 2 8 8 8 31 2 2 2 18 7 2 30 18 2 1 7 2 8 7 8 2 0 2 1 7 38 14 7 10 2 23 3 7 7 2 31 3 7 7 2 2 2 2 42 6 4 2 37 0 2 5 2 1 17 10 3 2 2 11 1 6 2 3 5 3 18 0 2 2 0 0 0 3 0 2 2 3 0 42 0 0 5 2 0 37 29 5 6 0 0 2 2 3 2 2 2 3 28 0 0 2 0 2 2 0 26 2 0 18 0 2 2 4 2 2 0 4 2 31 2 2 3 2 3 5 2 0 0 0 0 0 2 2 19 30 2 0 3 2 5 0 3 2 27 38 38 1 13 41 28 41 19 13 28 41 16 19 36 13 41 41 41 41 41 17 41 28 16 10 41 28 28 3 41 31 1 41 41 41 38 41 41 41 41 41 28 28 28 28 41 41 3 1 38 41 28 40 1 1 41 41 28 38 30 41 28 0 28 9 28 28 41 41 29 0 30 18 41 41 41 17 41 13 41 41 41 28 41 28 13 13 41 28 13 41 41 41 28 41 13 0 41 1 41"
7,5,-0.7118,0.9167,0.6829,-0.2889,0.1692,"28 28 31 28 31 31 28 29 31 31 28 31 28 29 34 32 32 31 31 28 33 2 31 31 7 31 28 31 28 30 31 2 28 29 36 31 31 2 28 32 31 31 28 31 32 31 28 31 31 28 31 30 29 32 31 32 28 31 31 31 28 31 31 33 28 30 31 31 31 31 33 29 31 7 33 31 2 33 32 32 28 12 33 32 28 31 2 28 31 33 32 31 33 31 30 31 28 31 33 31 31 17 19 15 15 17 17 17 0 1 13 19 19 31 15 1 38 34 17 13 14 15 17 13 34 15 19 17 14 17 17 19 19 1 15 35 14 14 15 19 35 14 17 17 10 14 38 38 31 38 34 9 17 34 9 17 17 17 13 34 1 14 34 14 13 31 1 9 14 0 1 35 1 14 19 14 36 34 34 17 3 3 38 1 15 19 36 3 17 36 14 19 17 34 14 9 14 3 31 14 2 14 7 3 2 7 2 2 8 7 7 8 2 2 2 38 7 2 2 7 7 1 3 7 0 7 2 2 7 0 8 2 13 2 2 7 2 7 2 7 2 8 8 8 8 1 8 7 7 2 13 7 8 2 2 13 2 8 8 8 31 2 2 2 18 7 2 30 18 2 1 7 2 8 7 8 2 0 2 1 7 38 14 7 10 2 23 3 7 7 2 31 3 7 7 2 2 2 2 42 6 4 2 37 0 2 5 2 1 17 10 3 2 2 11 1 6 2 3 5 3 18 0 2 2 0 0 0 3 0 2 2 3 0 42 0 0 5 2 0 37 29 5 6 0 0 2 2 3 2 2 2 3 28 0 0 2 0 2 2 0 26 2 0 18 0 2 2 4 2 2 0 4 2 31 2 2 3 2 3 5 2 0 0 0 0 0 2 2 19 30 2 0 3 2 5 0 3 2 27 38 38 1 13 41 28 41 19 13 28 41 16 19 36 13 41 41 41 41 41 17 41 28 16 10 41 28 28 3 41 31 1 41 41 41 38 41 41 41 41 41 28 28 28 28 41 41 3 1 38 41 28 40 1 1 41 41 28 38 30 41 28 0 28 9 28 28 41 41 29 0 30 18 41 41 41 17 41 13 41 41 41 28 41 28 13 13 41 28 13 41 41 41 28 41 13 0 41 1 41"
8,5,-0.7816,0.9583,0.5893,-0.3120,0.1753,"28 28 31 28 31 31 28 29 31 31 28 31 28 29 34 32 32 31 31 28 33 2 31 31 7 31 28 31 28 30 31 2 28 29 36 31 31 2 28 32 31 31 28 31 32 31 28 31 31 28 31 30 29 32 31 32 28 31 31 31 28 31 31 33 28 30 31 31 31 31 33 29 31 7 33 31 2 33 32 32 28 12 33 32 28 31 2 28 31 33 32 31 33 31 30 31 28 31 33 31 31 17 19 15 15 17 17 17 0 1 13 19 19 31 15 1 38 34 17 13 14 15 17 13 34 15 19 17 14 17 17 19 19 1 15 35 14 14 15 19 35 14 17 17 10 14 38 38 31 38 34 9 17 34 9 17 17 17 13 34 1 14 34 14 13 31 1 9 14 0 1 35 1 14 19 14 36 34 34 17 3 3 38 1 15 19 36 3 17 36 14 19 17 34 14 9 14 3 31 14 2 14 7 3 2 7 2 2 8 7 7 8 2 2 2 38 7 2 2 7 7 1 3 7 0 7 2 2 7 0 8 2 13 2 2 7 2 7 2 7 2 8 8 8 8 1 8 7 7 2 13 7 8 2 2 13 2 8 8 8 31 2 2 2 18 7 2 30 18 2 1 7 2 8 7 8 2 0 2 1 7 38 14 7 10 2 23 3 7 7 2 31 3 7 7 2 2 2 2 42 6 4 2 37 0 2 5 2 1 17 10 3 2 2 11 1 6 2 3 5 3 18 0 2 2 0 0 0 3 0 2 2 3 0 42 0 0 5 2 0 37 29 5 6 0 0 2 2 3 2 2 2 3 28 0 0 2 0 2 2 0 26 2 0 18 0 2 2 4 2 2 0 4 2 31 2 2 3 2 3 5 2 0 0 0 0 0 2 2 19 30 2 0 3 2 5 0 3 2 27 38 38 1 13 41 28 41 19 13 28 41 16 19 36 13 41 41 41 41 41 17 41 28 16 10 41 28 28 3 41 31 1 41 41 41 38 41 41 41 41 41 28 28 28 28 41 41 3 1 38 41 28 40 1 1 41 41 28 38 30 41 28 0 28 9 28 28 41 41 29 0 30 18 41 41 41 17 41 13 41 41 41 28 41 28 13 13 41 28 13 41 41 41 28 41 13 0 41 1 41"
9,5,-0.7612,0.9167,0.5184,-0.3086,0.1575,"28 28 31 28 31 31 28 29 31 31 28 31 28 29 34 32 32 31 31 28 33 2 31 31 7 31 28 31 28 30 31 2 28 29 36 31 31 2 28 32 31 31 28 31 32 31 28 31 31 28 31 30 29 32 31 32 28 31 31 31 28 31 31 33 28 30 31 31 31 31 33 29 31 7 33 31 2 33 32 32 28 12 33 32 28 31 2 28 31 33 32 31 33 31 30 31 28 31 33 31 31 17 19 15 15 17 17 17 0 1 13 19 19 31 15 1 38 34 17 13 14 15 17 13 34 15 19 17 14 17 17 19 19 1 15 35 14 14 15 19 35 14 17 17 10 14 38 38 31 38 34 9 17 34 9 17 17 17 13 34 1 14 34 14 13 31 1 9 14 0 1 35 1 14 19 14 36 34 34 17 3 3 38 1 15 19 36 3 17 36 14 19 17 34 14 9 14 3 31 14 2 14 7 3 2 7 2 2 8 7 7 8 2 2 2 38 7 2 2 7 7 1 3 7 0 7 2 2 7 0 8 2 13 2 2 7 2 7 2 7 2 8 8 8 8 1 8 7 7 2 13 7 8 2 2 13 2 8 8 8 31 2 2 2 18 7 2 30 18 2 1 7 2 8 7 8 2 0 2 1 7 38 14 7 10 2 23 3 7 7 2 31 3 7 7 2 2 2 2 42 6 4 2 37 0 2 5 2 1 17 10 3 2 2 11 1 6 2 3 5 3 18 0 2 2 0 0 0 3 0 2 2 3 0 42 0 0 5 2 0 37 29 5 6 0 0 2 2 3 2 2 2 3 28 0 0 2 0 2 2 0 26 2 0 18 0 2 2 4 2 2 0 4 2 31 2 2 3 2 3 5 2 0 0 0 0 0 2 2 19 30 2 0 3 2 5 0 3 2 27 38 38 1 13 41 28 41 19 13 28 41 16 19 36 13 41 41 41 41 41 17 41 28 16 10 41 28 28 3 41 31 1 41 41 41 38 41 41 41 41 41 28 28 28 28 41 41 3 1 38 41 28 40 1 1 41 41 28 38 30 41 28 0 28 9 28 28 41 41 29 0 30 18 41 41 41 17 41 13 41 41 41 28 41 28 13 13 41 28 13 41 41 41 28 41 13 0 41 1 41"
