rank,fitness,winrate,genome
1,-0.7478,0.9688,"24 24 23 23 23 24 23 23 23 23 23 24 23 23 24 23 24 23 23 23 23 23 24 23 23 23 23 18 23 32 23 24 23 24 23 23 23 23 23 23 23 23 23 23 23 31 31 23 23 23 23 23 24 23 23 23 23 24 17 24 23 23 33 24 23 24 24 23 23 23 24 32 23 23 31 31 23 23 31 23 31 32 23 31 17 12 23 17 23 31 23 23 23 23 23 23 23 23 23 23 31 2 2 5 2 2 2 2 4 2 37 31 4 4 2 5 37 37 5 2 2 37 2 2 37 2 5 6 2 2 4 38 2 4 4 2 7 2 12 2 2 2 2 31 2 42 2 2 2 31 2 2 2 2 6 2 2 2 2 37 4 2 2 2 2 2 2 2 37 31 2 32 4 6 2 2 5 37 2 42 2 2 2 6 2 5 2 2 31 2 2 2 2 2 2 5 4 2 2 4 5 42 4 7 6 37 39 4 5 37 6 42 4 42 2 5 2 6 0 2 5 2 5 2 5 6 6 2 6 5 39 42 42 5 2 42 2 37 2 37 42 2 2 39 4 2 37 37 6 2 2 4 2 4 4 2 5 2 2 2 37 4 37 6 2 2 39 42 42 4 2 3 37 4 4 2 6 2 4 37 2 2 5 6 5 2 37 5 2 42 4 42 37 4 2 2 7 37 42 6 0 0 14 2 2 6 41 3 0 41 13 41 41 13 38 3 41 41 3 3 0 3 38 41 0 0 2 41 0 2 0 0 3 2 1 0 0 1 41 13 0 3 2 41 0 0 0 0 13 38 41 0 0 3 41 38 0 3 2 0 0 38 38 7 3 0 7 13 3 38 0 41 0 41 0 41 3 41 2 38 13 19 3 0 41 41 41 38 0 41 3 0 1 3 0 0 13 3 3 1 41 13 41 12 34 0 0 41 3 34 41 3 1 0 41 3 13 0 0 41 0 3 3 41 36 41 41 0 0 41 41 3 41 41 41 41 0 41 41 41 0 12 13 41 41 41 12 38 3 3 38 0 41 3 3 1 1 41 1 1 3 41 1 1 35 41 41 0 0 0 41 41 41 0 0 12 3 41 0 0 38 3 41 41 0 38 0 41 0 1 41 38 0 41 41 41 41 0 41 41"
2,-0.7432,0.9667,"24 24 23 23 23 24 23 23 23 23 23 24 23 23 24 23 24 23 23 23 23 23 24 23 23 23 23 18 23 32 23 24 23 24 23 23 23 23 23 23 23 23 23 23 23 31 31 23 23 23 23 23 24 23 23 23 23 24 17 24 23 23 33 24 23 24 24 23 23 23 24 32 23 23 31 31 23 23 31 23 31 32 23 31 17 12 23 17 23 31 23 23 23 23 23 23 23 23 23 23 31 2 2 42 2 42 2 2 2 2 0 31 31 4 31 13 37 5 12 31 2 37 2 33 2 2 5 2 42 42 31 38 31 1 7 4 7 6 12 2 2 2 2 31 2 42 37 2 2 31 6 2 2 2 33 2 31 6 6 37 4 2 2 2 2 31 2 2 37 31 2 32 4 6 32 31 5 37 2 42 2 33 2 12 2 5 2 2 31 2 2 2 31 31 2 5 2 2 2 16 5 42 4 7 6 37 39 4 5 37 6 42 4 42 2 5 2 6 0 2 5 2 5 2 5 6 6 2 6 5 39 42 42 5 2 42 2 37 2 37 42 2 2 39 4 2 37 37 6 2 2 4 2 4 4 2 5 2 2 2 37 4 37 6 2 2 39 42 42 4 2 3 37 4 4 2 6 2 4 37 2 2 5 6 5 2 37 5 2 42 4 42 37 42 2 2 7 37 42 6 0 0 14 2 2 6 41 3 0 41 13 41 41 13 38 3 41 41 3 3 0 3 38 41 0 0 2 41 0 2 0 0 3 2 1 0 0 1 41 13 0 3 2 41 0 0 0 0 13 38 41 0 0 3 41 38 0 3 2 0 0 38 38 7 3 0 7 13 3 38 0 41 0 41 0 41 3 41 2 38 13 19 3 0 41 41 41 38 0 41 3 0 1 3 0 0 13 3 3 1 41 13 41 12 34 0 0 41 3 34 41 3 1 0 41 3 13 0 0 41 0 3 3 41 36 41 41 0 0 41 41 3 41 41 41 41 0 41 41 41 0 12 13 41 41 41 12 38 3 3 38 0 41 3 3 1 1 41 1 1 3 41 1 1 35 41 41 0 0 0 41 41 41 0 0 12 3 41 0 0 38 3 41 41 0 38 0 41 0 1 41 38 0 41 41 41 41 0 41 41"
3,-0.7320,0.9333,"32 0 31 2 37 2 2 2 2 33 31 2 31 2 37 2 6 2 25 2 2 2 5 2 31 2 37 2 2 2 2 2 31 4 40 2 6 4 2 26 31 21 33 37 2 31 40 6 2 31 2 37 2 2 2 2 25 6 2 31 2 2 2 2 31 6 40 40 31 31 2 2 27 2 31 40 25 37 2 2 2 2 2 2 6 2 6 33 37 4 4 2 2 3 4 6 6 2 31 4 12 7 2 7 2 42 2 12 27 25 42 24 42 12 25 42 24 42 42 7 16 16 42 7 12 42 16 42 16 42 12 42 42 2 42 16 12 42 42 27 8 42 12 12 16 25 42 42 12 7 12 42 25 25 2 42 25 42 7 12 42 16 25 12 42 42 42 42 12 42 42 16 42 42 42 7 16 42 8 26 27 16 16 42 16 42 42 42 8 42 12 7 2 25 2 42 2 2 12 8 42 37 2 12 2 42 31 2 32 4 12 2 37 12 2 2 2 2 5 2 2 5 6 37 31 5 5 2 2 42 33 2 37 31 2 37 2 42 42 2 2 2 2 2 4 6 5 2 2 6 2 37 6 2 4 4 42 2 2 2 4 5 42 2 31 37 5 2 2 2 2 6 6 2 32 2 2 2 37 2 42 4 42 2 2 2 2 31 2 2 31 2 5 2 2 2 2 2 2 2 0 0 14 2 2 6 41 3 0 41 13 41 41 13 38 3 41 41 3 3 0 3 38 41 0 0 2 41 0 2 0 0 3 2 1 0 0 1 41 13 0 3 2 41 0 0 0 0 13 38 41 0 0 3 41 38 0 3 2 0 0 38 38 7 3 0 7 13 3 38 0 41 0 41 0 41 3 41 2 38 13 19 3 0 41 41 41 38 0 41 3 0 1 3 0 0 13 3 3 1 10 9 9 9 9 9 9 9 11 9 9 9 2 9 2 9 9 11 11 9 9 25 9 9 9 9 9 9 9 2 9 9 9 27 10 10 9 9 11 9 10 9 11 9 9 9 9 9 2 11 9 9 9 9 25 9 9 9 9 25 9 9 27 9 9 9 11 9 11 9 9 25 11 9 9 25 9 9 9 9 9 9 11 2 9 9 42 11 10 9 11 9 9 9 9 9 11 25 9 9"
4,-0.7197,0.9200,"2 7 9 2 2 2 7 2 9 21 8 2 9 10 2 9 2 8 8 9 9 2 7 7 2 9 2 17 2 2 9 7 9 2 21 7 8 21 7 2 7 9 21 7 8 8 7 2 2 7 7 11 2 8 8 10 21 2 8 8 19 2 9 11 7 7 7 2 2 8 21 2 22 2 2 9 7 7 10 7 9 9 9 2 2 7 7 10 9 22 9 8 2 9 2 9 7 7 2 9 42 2 6 29 7 42 2 28 3 28 3 2 3 28 2 8 3 7 6 7 2 2 3 42 29 8 28 7 28 0 37 7 2 2 28 2 28 2 2 2 42 42 42 28 2 7 2 28 2 42 29 2 4 29 3 8 12 2 28 0 4 29 2 7 42 2 8 7 8 28 42 2 8 7 2 5 7 2 28 29 2 0 0 3 2 2 8 2 28 2 7 42 2 37 2 0 2 0 2 3 2 7 8 7 2 2 8 2 2 2 8 26 2 8 7 7 7 2 2 7 2 7 8 8 2 2 2 2 2 2 7 2 8 8 7 2 7 2 8 8 7 7 7 8 2 8 7 2 7 2 7 2 2 2 2 7 7 2 7 7 33 26 8 2 7 7 7 7 7 7 2 8 7 2 7 7 7 7 8 2 26 7 2 7 8 7 7 7 7 2 8 31 7 8 7 2 2 2 8 8 37 37 6 0 6 2 37 2 0 3 2 0 0 38 3 0 17 0 4 2 3 2 0 4 3 5 37 6 6 3 0 6 5 2 0 2 0 0 5 4 2 2 6 0 37 37 4 2 2 2 2 5 4 2 2 3 5 4 5 4 2 2 6 2 6 2 2 2 4 37 37 37 37 2 4 5 2 2 2 41 37 2 3 5 2 2 2 0 2 2 0 2 5 0 4 2 0 0 4 37 41 13 13 12 0 0 0 41 3 34 41 0 0 0 41 3 13 0 0 41 1 3 3 41 36 41 41 0 0 0 3 1 41 41 3 41 0 1 41 13 0 12 13 13 1 0 1 3 13 13 38 0 41 3 3 1 1 41 1 1 1 38 1 3 35 41 41 0 0 0 41 13 13 0 0 12 3 41 0 0 38 3 38 3 0 1 0 41 0 13 41 38 1 41 41 1 3 1 41 0"
5,-0.7150,0.9615,"2 7 9 2 2 2 7 2 9 21 8 2 9 10 2 9 2 8 8 9 9 2 7 7 2 9 2 17 2 2 9 7 9 2 21 7 8 21 7 2 7 9 21 7 8 8 7 2 2 7 7 11 2 8 8 10 21 2 8 8 19 2 9 11 7 7 7 2 2 8 21 2 22 2 2 9 7 7 10 7 9 9 9 2 2 7 7 10 9 22 9 8 2 9 2 9 7 7 2 9 42 2 6 29 7 42 2 28 3 28 3 2 3 28 2 8 3 7 6 7 2 2 3 42 29 8 28 7 28 0 37 7 2 2 28 2 28 2 2 2 42 42 42 28 2 7 2 28 2 42 29 2 4 29 3 8 12 2 28 0 4 29 2 7 42 2 8 7 8 28 42 2 8 7 2 5 7 2 28 29 2 0 0 3 2 2 8 2 28 2 7 42 2 37 2 0 2 0 2 3 2 7 8 7 2 2 2 2 2 4 8 26 37 8 7 5 2 2 2 2 2 2 8 2 2 2 5 2 2 2 4 2 2 8 2 5 7 2 8 8 4 2 7 2 5 2 37 2 7 2 2 2 2 5 2 6 2 2 7 7 4 26 8 2 2 7 2 2 7 5 2 37 2 4 2 2 7 6 2 5 26 37 2 2 2 2 2 2 2 2 8 31 2 2 7 2 2 2 8 8 0 0 14 2 2 6 41 3 0 41 13 41 41 13 38 3 41 41 3 3 0 3 38 41 0 0 2 41 0 2 0 0 3 2 1 0 0 1 41 13 0 3 2 41 0 0 0 0 13 38 41 0 0 3 41 38 0 3 2 0 0 38 38 7 3 0 7 13 3 38 0 41 0 41 0 41 3 41 2 38 13 19 3 0 41 41 41 38 0 41 3 0 1 3 0 0 13 3 3 1 41 13 13 12 0 0 0 41 3 34 41 0 0 0 41 3 13 0 0 41 1 3 3 41 36 41 41 0 0 0 3 1 41 41 3 41 0 1 41 13 0 12 13 13 1 0 1 3 13 13 38 0 41 3 3 1 1 41 1 1 1 38 1 3 35 41 41 0 0 0 41 13 13 0 0 12 3 41 0 0 38 3 38 3 0 1 0 41 0 13 41 38 1 41 41 1 3 1 41 0"
6,-0.7114,0.9048,"24 24 23 23 23 24 23 23 23 23 23 24 23 23 24 23 24 23 23 23 23 23 24 23 23 23 23 18 23 32 23 24 23 24 23 23 23 23 23 23 23 23 23 23 23 31 31 23 23 23 23 23 24 23 23 23 23 24 17 24 23 23 33 24 23 24 24 23 23 23 24 32 23 23 31 31 23 23 31 23 31 32 23 31 17 12 23 17 23 31 23 23 23 23 23 23 23 23 23 23 31 2 2 42 2 42 2 2 2 2 0 31 31 4 31 13 37 5 12 31 2 37 2 33 2 2 5 2 42 42 31 38 31 1 7 4 7 6 12 2 2 2 2 31 2 42 37 2 2 31 6 2 2 2 33 2 31 6 6 37 4 2 2 2 2 31 2 2 37 31 2 32 4 6 32 31 5 37 2 42 2 33 2 12 2 5 2 2 31 2 2 2 31 31 2 5 2 2 2 16 5 42 4 7 6 37 39 4 5 37 6 42 4 42 2 5 2 6 0 2 5 2 5 2 5 6 6 2 6 5 39 42 42 5 2 42 2 37 2 37 42 2 2 39 4 2 37 37 6 2 2 4 2 4 4 2 5 2 2 2 37 4 37 6 2 2 39 42 42 4 2 3 37 4 4 2 6 2 4 37 2 2 5 6 5 2 37 5 2 42 4 42 37 4 2 2 7 37 42 6 0 0 14 2 2 6 41 3 0 41 13 41 41 13 38 3 41 41 3 3 0 3 38 41 0 0 2 41 0 2 0 0 3 2 1 0 0 1 41 13 0 3 2 41 0 0 0 0 13 38 41 0 0 3 41 38 0 3 2 0 0 38 38 7 3 0 7 13 3 38 0 41 0 41 0 41 3 41 2 38 13 19 3 0 41 41 41 38 0 41 3 0 1 3 0 0 13 3 3 1 41 13 41 12 34 0 0 41 3 34 41 3 1 0 41 3 13 0 0 41 0 3 3 41 36 41 41 0 0 41 41 3 41 41 41 41 0 41 41 41 0 12 13 41 41 41 12 38 3 3 38 0 41 3 3 1 1 41 1 1 3 41 1 1 35 41 41 0 0 0 41 41 41 0 0 12 3 41 0 0 38 3 41 41 0 38 0 41 0 1 41 38 0 41 41 41 41 0 41 41"
7,-0.7090,0.9063,"2 7 9 2 2 2 7 2 9 21 8 2 9 10 2 9 2 8 8 9 9 2 7 7 2 9 2 17 2 2 9 7 9 2 21 7 8 21 7 2 7 9 21 7 8 8 7 2 2 7 7 11 2 8 8 10 21 2 8 8 19 2 9 11 7 7 7 2 2 8 21 2 22 2 2 9 7 7 10 7 9 9 9 2 2 7 7 10 9 22 9 8 2 9 2 9 7 7 2 9 42 2 6 29 7 42 2 28 3 28 3 2 3 28 2 8 3 7 6 7 2 2 3 42 29 8 28 7 28 0 37 7 2 2 28 2 28 2 2 2 42 42 42 28 2 7 2 28 2 42 29 2 4 29 3 8 12 2 28 0 4 29 2 7 42 2 8 7 8 28 42 2 8 7 2 5 7 2 28 29 2 0 0 3 2 2 8 2 28 2 7 42 2 37 2 0 2 0 2 3 2 7 8 7 2 2 8 2 2 2 8 26 2 8 7 7 7 2 2 7 2 7 8 8 2 2 2 2 2 2 7 2 8 8 7 2 7 2 8 8 7 7 7 8 2 8 7 2 7 2 7 2 2 2 2 7 7 2 7 7 33 26 8 2 7 7 7 7 7 7 2 8 7 2 7 7 7 7 8 2 26 7 2 7 8 7 7 7 7 2 8 31 7 8 7 2 2 2 8 8 37 37 6 0 6 2 37 2 0 3 2 0 0 38 3 0 17 0 4 2 3 2 0 4 3 5 37 6 6 3 0 6 5 2 0 2 0 0 5 4 2 2 6 0 37 37 4 2 2 2 2 5 4 2 2 3 5 4 5 4 2 2 6 2 6 2 2 2 4 37 37 37 37 2 4 5 2 2 2 41 37 2 3 5 2 2 2 0 2 2 0 2 5 0 4 2 0 0 4 37 41 13 41 12 34 0 0 41 3 34 41 3 1 0 41 3 13 0 0 41 0 3 3 41 36 41 41 0 0 41 41 3 41 41 41 41 0 41 41 41 0 12 13 41 41 41 12 38 3 3 38 0 41 3 3 1 1 41 1 1 3 41 1 1 35 41 41 0 0 0 41 41 41 0 0 12 3 41 0 0 38 3 41 41 0 38 0 41 0 1 41 38 0 41 41 41 41 0 41 41"
8,-0.7017,0.8571,"24 24 23 23 23 24 23 23 23 23 23 24 23 23 24 23 24 23 23 23 23 23 24 23 23 23 23 18 23 32 23 24 23 24 23 23 23 23 23 23 23 23 23 23 23 31 31 23 23 23 23 23 24 23 23 23 23 24 17 24 23 23 33 24 23 24 24 23 23 23 24 32 23 23 31 31 23 23 31 23 31 32 23 31 17 12 23 17 23 31 23 23 23 23 23 23 23 23 23 23 12 42 38 4 7 42 37 4 5 37 0 16 42 42 42 6 0 4 12 42 42 42 2 5 42 37 7 0 42 5 42 38 42 1 7 5 37 38 2 1 37 38 7 5 13 6 13 37 6 3 16 42 2 5 37 42 42 12 42 42 42 6 6 3 1 42 12 7 41 2 16 37 42 1 6 12 4 5 12 42 42 16 37 12 0 6 2 16 4 12 5 42 2 6 2 37 37 4 42 16 5 42 4 7 6 37 39 4 5 37 6 42 4 42 2 5 2 6 0 2 5 2 5 2 5 6 6 2 6 5 39 42 42 5 2 42 2 37 2 37 42 2 2 39 4 2 37 37 6 2 2 4 2 4 4 2 5 2 2 2 37 4 37 6 2 2 39 42 42 4 2 3 37 4 4 2 6 2 4 37 2 2 5 6 5 2 37 5 2 42 4 42 37 4 2 2 7 37 42 6 17 36 17 17 17 17 17 18 17 17 18 17 12 17 12 18 17 12 17 7 9 17 18 17 17 17 17 17 18 17 17 17 17 18 17 18 17 35 17 17 17 17 34 18 17 18 17 17 17 17 17 17 9 17 17 17 17 17 17 17 18 17 17 17 17 12 17 17 18 17 17 17 34 17 17 18 17 17 17 17 17 18 17 17 17 17 17 18 17 17 17 17 17 18 17 34 34 17 18 18 41 13 41 12 34 0 0 41 3 34 41 3 1 0 41 3 13 0 0 41 0 3 3 41 36 41 41 0 0 41 41 3 41 41 41 41 0 41 41 41 0 12 13 41 41 41 12 38 3 3 38 0 41 3 3 1 1 41 1 1 3 41 1 1 35 41 41 0 0 0 41 41 41 0 0 12 3 41 0 0 38 3 41 41 0 38 0 41 0 1 41 38 0 41 41 41 41 0 41 41"
9,-0.6578,0.7931,"2 0 12 38 13 2 0 2 1 2 0 4 0 13 2 37 3 0 1 0 13 3 38 6 0 3 1 0 0 27 1 0 5 1 13 37 42 3 0 13 2 9 12 3 0 0 0 13 0 0 3 2 0 0 1 3 1 1 3 0 2 3 0 38 2 38 0 0 3 3 4 2 38 2 13 0 3 2 2 1 2 0 0 1 1 3 0 0 13 0 2 25 1 2 0 41 13 0 5 3 13 12 12 2 12 17 18 2 12 18 38 2 12 12 37 17 17 3 12 12 18 12 12 12 17 18 17 17 17 18 12 12 3 12 18 13 17 12 17 18 17 12 12 6 17 17 2 17 2 12 12 17 17 18 12 12 17 12 18 1 12 12 17 12 12 17 17 1 17 12 17 12 17 17 18 12 13 17 42 12 12 17 17 2 12 18 12 17 17 17 2 12 18 17 12 17 12 18 17 17 5 42 4 7 6 37 39 4 5 37 6 42 4 42 2 5 2 6 0 2 5 2 5 2 5 6 6 2 6 5 39 42 42 5 2 42 2 37 2 37 42 2 2 39 4 2 37 37 6 2 2 4 2 4 4 2 5 2 2 2 37 4 37 6 2 2 39 42 42 4 2 3 37 4 4 2 6 2 4 37 2 2 5 6 5 2 37 5 2 42 4 42 37 4 2 2 7 37 42 6 12 36 17 17 17 18 17 7 17 17 17 17 12 17 12 18 17 12 17 7 9 12 12 12 12 12 9 17 10 17 17 9 17 18 17 17 17 35 17 17 17 17 34 17 17 17 17 17 34 12 17 17 9 17 17 17 18 17 17 35 17 17 7 17 17 12 17 17 17 17 17 17 34 18 12 17 17 17 17 17 17 17 35 17 18 12 18 17 17 17 17 18 18 17 17 34 34 17 17 17 39 39 12 39 17 18 17 39 39 39 39 39 39 28 17 30 39 17 30 12 17 17 39 18 12 39 28 17 39 39 28 39 18 17 12 39 17 18 39 39 17 17 6 39 12 12 17 39 12 17 18 18 17 39 12 18 39 18 39 39 17 12 17 12 39 17 17 39 18 39 17 17 39 39 18 12 39 12 17 39 39 18 12 28 39 12 12 18 39 12 39 39 39 17 39 18 39 17 39 39"
10,-0.6546,0.8148,"2 0 12 38 0 2 0 2 0 2 0 4 0 10 2 37 3 0 0 3 2 3 38 6 0 3 5 0 0 27 3 0 5 26 37 37 3 0 0 38 2 9 12 3 2 0 2 13 0 3 2 2 0 2 12 3 0 3 3 0 2 1 0 12 2 0 10 1 3 13 4 2 3 2 13 0 3 2 2 0 2 0 0 3 5 3 0 0 3 0 2 25 1 2 0 41 6 0 5 3 42 28 12 42 42 28 28 42 32 42 42 42 42 42 42 16 42 28 42 42 5 42 16 42 16 12 42 42 30 42 42 42 12 42 42 12 42 28 12 42 42 42 12 42 28 42 16 42 42 42 28 42 42 33 42 12 31 16 42 42 42 42 42 12 42 42 12 12 37 42 42 42 42 42 42 42 42 4 42 42 42 37 42 12 28 42 30 12 16 28 42 30 42 30 42 42 28 42 12 42 5 42 4 7 6 37 39 4 5 37 6 42 4 42 2 5 2 6 0 2 5 2 5 2 5 6 6 2 6 5 39 42 42 5 2 42 2 37 2 37 42 2 2 39 4 2 37 37 6 2 2 4 2 4 4 2 5 2 2 2 37 4 37 6 2 2 39 42 42 4 2 3 37 4 4 2 6 2 4 37 2 2 5 6 5 2 37 5 2 42 4 42 37 4 2 2 7 37 42 6 17 36 17 17 17 17 17 18 17 17 18 17 12 17 12 18 17 12 17 7 9 17 18 17 17 17 17 17 18 17 17 17 17 18 17 18 17 35 17 17 17 17 34 18 17 18 17 17 17 17 17 17 9 17 17 17 17 17 17 17 18 17 17 17 17 12 17 17 18 17 17 17 34 17 17 18 17 17 17 17 17 18 17 17 17 17 17 18 17 17 17 17 17 18 17 34 34 17 18 18 41 9 9 12 9 9 0 9 9 9 41 9 1 9 9 9 9 9 9 9 9 9 11 9 9 41 41 10 0 9 9 3 41 11 9 9 9 9 9 9 0 11 9 10 9 41 12 9 3 3 38 9 9 3 9 1 1 9 9 9 3 41 1 9 10 41 41 0 9 9 10 9 41 0 0 12 9 9 0 0 9 3 9 41 9 9 9 41 9 9 9 9 9 9 9 41 41 11 9 41"
