seed,ae_fitness,ae_winrate,tier1_winrate,tier2_winrate,tier3_winrate,tier4_winrate,tier5_winrate
31,-0.8417,1.0,0.25,0.3,0.25,0.25,0.3
32,-0.8814,1.0,0.2,0.25,0.3,0.25,0.3
33,-0.9417,1.0,0.25,0.25,0.0,0.25,0.4
34,-0.8677,1.0,0.25,0.3,0.25,0.3,0.3
35,-0.8747,1.0,0.2,0.25,0.2,0.25,0.25
36,-0.8701,1.0,0.2,0.25,0.25,0.25,0.35
37,-0.8846,1.0,0.15,0.4,0.1,0.3,0.35
38,-0.8795,1.0,0.2,0.25,0.15,0.25,0.25
39,-0.879,1.0,0.25,0.25,0.05,0.35,0.35
40,-0.9091,0.95,0.2,0.25,0.3,0.25,0.25
41,-0.87,1.0,0.2,0.25,0.1,0.25,0.25
42,-0.8855,1.0,0.2,0.25,0.25,0.3,0.4
43,-0.8687,1.0,0.25,0.25,0.3,0.25,0.25
44,-0.8624,1.0,0.2,0.25,0.1,0.25,0.3
45,-0.8611,1.0,0.2,0.3,0.25,0.25,0.3
46,-0.8716,1.0,0.2,0.25,0.05,0.35,0.25
47,-0.8805,1.0,0.2,0.25,0.2,0.25,0.25
48,-0.8657,1.0,0.25,0.25,0.25,0.3,0.3
49,-0.8805,1.0,0.2,0.25,0.1,0.25,0.25
50,-0.8813,0.85,0.2,0.3,0.25,0.3,0.25
51,-0.8404,1.0,0.2,0.4,0.3,0.3,0.3
52,-0.8588,0.9,0.2,0.25,0.05,0.25,0.25
53,-0.8641,0.8,0.25,0.3,0.0,0.3,0.25
54,-0.8795,1.0,0.2,0.25,0.35,0.25,0.35
55,-0.857,0.9,0.25,0.25,0.25,0.25,0.25
56,-0.8392,0.85,0.2,0.25,0.15,0.3,0.25
57,-0.891,1.0,0.2,0.3,0.15,0.25,0.25
58,-0.8857,0.9,0.2,0.25,0.25,0.25,0.3
59,-0.8373,1.0,0.2,0.25,0.1,0.3,0.3
60,-0.8339,0.7,0.2,0.25,0.25,0.25,0.25
