seed,ae_fitness,ae_winrate,tier1_winrate,tier2_winrate,tier3_winrate,tier4_winrate,tier5_winrate
31,-0.8096,0.95,0.85,0.3,0.6,0.1,0.1
32,-0.8365,0.9,0.75,0.3,0.6,0.1,0.1
33,-0.8413,0.9,0.8,0.35,0.75,0.1,0.1
34,-0.8597,0.9,0.65,0.45,0.6,0.15,0.1
35,-0.8785,0.95,1.0,0.5,0.8,0.15,0.1
36,-0.8736,0.85,0.55,0.15,0.25,0.15,0.1
37,-0.8109,1.0,1.0,0.4,0.6,0.1,0.15
38,-0.8122,0.95,0.8,0.4,0.65,0.2,0.15
39,-0.8612,0.7,0.65,0.35,0.6,0.15,0.2
40,-0.8169,1.0,0.75,0.35,0.5,0.15,0.1
41,-0.844,0.8,0.8,0.3,0.6,0.1,0.1
42,-0.8388,1.0,0.45,0.35,0.4,0.25,0.15
43,-0.8327,0.75,0.7,0.25,0.65,0.15,0.2
44,-0.8361,0.9,0.7,0.15,0.5,0.15,0.15
45,-0.8524,0.9,0.95,0.5,0.8,0.2,0.1
46,-0.8355,0.95,0.7,0.3,0.6,0.1,0.1
47,-0.8535,1.0,0.75,0.3,0.5,0.1,0.1
48,-0.8288,0.95,0.45,0.35,0.7,0.3,0.15
49,-0.8155,0.95,0.8,0.4,0.75,0.15,0.1
50,-0.8416,0.75,0.85,0.25,0.55,0.25,0.1
51,-0.8141,0.85,0.75,0.35,0.45,0.1,0.1
52,-0.847,1.0,0.75,0.45,0.5,0.15,0.15
53,-0.8655,0.7,0.7,0.2,0.55,0.15,0.1
54,-0.849,0.9,0.75,0.35,0.85,0.15,0.2
55,-0.8419,0.95,0.5,0.15,0.65,0.15,0.1
56,-0.8541,0.9,0.75,0.35,0.75,0.15,0.1
57,-0.8617,0.85,0.65,0.35,0.65,0.15,0.15
58,-0.8357,0.7,0.5,0.2,0.5,0.15,0.1
59,-0.8378,1.0,0.8,0.3,0.45,0.25,0.15
60,-0.8187,0.9,0.65,0.35,0.6,0.1,0.1
