rank,fitness,winrate,genome
1,-0.7838,0.9655,"7 28 28 7 2 7 8 7 2 2 7 37 37 2 6 7 7 7 8 7 7 29 7 4 7 7 29 7 7 7 7 8 8 28 7 3 2 7 28 7 7 7 2 5 2 2 2 7 37 28 8 2 7 7 2 37 8 5 8 7 7 2 2 7 7 37 7 2 7 2 2 7 7 2 0 8 4 7 7 8 0 39 7 7 5 7 7 2 7 7 7 0 7 8 7 28 8 7 7 7 37 2 3 27 25 26 39 25 25 25 26 25 39 39 25 25 25 27 37 39 27 25 25 25 25 0 39 27 3 39 25 39 25 25 26 25 26 39 0 25 27 25 0 25 4 25 40 0 25 25 25 26 25 25 39 27 27 26 25 39 25 39 35 6 25 34 39 25 26 25 0 39 25 25 3 40 25 25 25 25 12 25 39 3 25 25 25 25 25 39 0 25 0 25 25 25 25 25 27 25 5 12 2 2 5 2 37 2 8 6 31 2 2 6 2 2 2 37 2 2 37 2 2 2 2 2 2 12 2 2 5 2 5 2 37 12 2 2 2 4 6 2 2 2 2 2 2 2 2 2 5 5 2 37 2 2 28 37 30 2 6 2 37 2 5 2 2 2 2 2 2 4 2 2 30 2 12 5 6 4 6 2 7 5 2 2 2 5 5 37 2 2 2 2 2 2 2 2 2 2 2 2 12 5 2 2 2 2 39 14 39 39 39 2 4 5 2 6 2 6 12 2 37 2 4 15 0 37 39 39 2 39 4 0 2 39 39 4 2 2 2 39 12 15 2 2 2 39 6 4 2 6 39 39 2 2 2 39 15 14 37 2 39 15 2 3 2 39 2 39 12 2 39 14 39 37 2 2 4 37 39 2 37 12 39 1 39 39 5 2 15 39 12 12 12 3 39 2 6 2 29 38 1 28 3 13 9 28 28 36 28 28 28 3 29 28 12 28 30 0 28 34 28 28 28 28 12 28 28 12 28 34 12 38 34 28 28 28 28 28 28 28 0 28 0 34 1 3 28 9 36 34 34 29 29 28 28 28 34 1 30 30 1 30 30 34 0 16 28 28 36 28 36 28 29 28 28 1 34 29 38 28 29 34 30 28 35 28 34 28 28 28 34 30 29 13 36 28 29 28"
2,-0.7783,1.0000,"25 25 12 16 26 25 16 25 16 25 16 25 26 16 25 12 12 25 25 25 16 26 16 25 16 16 25 25 25 12 27 25 12 27 16 25 16 25 16 27 25 12 25 25 26 16 25 25 25 12 25 12 30 12 12 25 42 27 25 12 25 25 25 26 25 16 12 25 25 27 27 25 16 25 25 12 27 16 16 12 12 12 25 26 25 12 25 16 27 12 26 12 16 25 25 16 26 16 25 12 23 25 16 25 39 39 23 25 23 26 39 39 23 39 23 23 24 7 12 23 23 23 23 23 24 7 7 39 23 23 23 23 23 23 39 23 23 23 7 12 39 23 7 23 23 12 16 26 23 23 23 24 7 39 39 23 24 39 7 23 39 23 24 7 23 23 23 24 23 24 12 23 23 24 23 23 39 39 23 24 23 7 24 23 25 23 23 12 23 23 23 24 23 23 23 39 23 8 23 23 27 12 25 25 12 25 25 26 12 30 29 30 25 25 25 30 28 28 25 28 27 29 28 27 12 30 12 12 25 12 25 0 20 12 12 25 1 29 25 19 12 25 29 20 30 12 25 12 12 25 12 20 29 25 12 12 29 25 26 29 26 38 12 26 12 27 3 3 12 20 12 25 12 29 19 30 29 42 38 30 29 28 12 12 25 12 27 12 25 12 12 20 8 26 25 12 28 25 1 12 4 2 6 2 2 4 2 2 2 5 2 2 2 2 2 8 4 2 2 2 2 7 2 4 17 8 2 2 2 2 6 2 2 2 2 2 8 2 2 5 2 2 2 2 2 18 37 2 8 5 7 2 2 2 4 2 8 2 8 5 2 2 17 7 2 2 2 5 2 7 2 5 2 2 2 37 17 2 2 2 2 6 7 5 2 5 5 2 2 2 2 2 6 17 5 41 37 2 5 2 37 2 2 12 12 18 4 2 2 2 2 2 2 4 2 2 2 37 2 2 2 2 3 12 6 2 6 2 2 2 5 6 5 12 18 12 5 6 2 37 18 2 41 2 2 12 2 2 4 4 2 2 12 2 2 2 12 2 2 12 2 12 2 1 2 2 2 37 17 12 4 2 2 12 18 41 3 5 18 4 4 2 6 37 2 1 2 12 37 12 4 12 12 2 12 2 2 18 12 4"
3,-0.7411,0.9231,"38 28 28 30 2 1 2 2 2 2 2 37 37 2 6 30 6 2 2 6 30 29 28 4 2 1 29 28 2 0 2 28 4 28 3 3 2 6 28 2 28 26 2 5 2 2 2 2 37 28 37 2 4 2 2 37 30 5 30 37 2 2 2 4 2 37 0 2 1 2 2 30 1 2 0 28 4 1 0 1 0 39 2 2 5 28 2 2 2 37 37 0 2 2 38 28 28 39 30 2 37 2 3 27 25 26 39 25 25 25 26 25 39 39 25 25 25 27 37 39 27 25 25 25 25 0 39 27 3 39 25 39 25 25 26 25 26 39 0 25 27 25 0 25 4 25 40 0 25 25 25 26 25 25 39 27 27 26 25 39 25 39 35 6 25 34 39 25 26 25 0 39 25 25 3 40 25 25 25 25 12 25 39 3 25 25 25 25 25 39 0 25 0 25 25 25 25 25 27 25 31 31 31 2 31 31 31 31 8 37 31 2 32 31 2 4 33 37 31 6 33 33 31 33 31 31 31 37 31 31 31 33 38 33 31 31 6 31 2 4 7 31 31 2 6 33 31 31 31 33 2 33 31 31 32 32 31 7 2 6 31 33 32 33 2 2 6 31 31 2 31 33 4 6 31 31 31 31 2 33 7 31 7 32 31 32 31 31 31 2 6 2 31 5 31 31 31 2 33 2 2 2 12 5 2 2 2 2 39 14 39 39 39 2 4 5 2 6 2 6 12 2 37 2 4 15 0 37 39 39 2 39 4 0 2 39 39 4 2 2 2 39 12 15 2 2 2 39 6 4 2 6 39 39 2 2 2 39 15 14 37 2 39 15 2 3 2 39 2 39 12 2 39 14 39 37 2 2 4 37 39 2 37 12 39 1 39 39 5 2 15 39 12 12 12 3 39 2 6 2 29 38 1 28 3 13 9 28 28 36 28 28 28 3 29 28 12 28 30 0 28 34 28 28 28 28 12 28 28 12 28 34 12 38 34 28 28 28 28 28 28 28 0 28 0 34 1 3 28 9 36 34 34 29 29 28 28 28 34 1 30 30 1 30 30 34 0 16 28 28 36 28 36 28 29 28 28 1 34 29 38 28 29 34 30 28 35 28 34 28 28 28 34 30 29 13 36 28 29 28"
4,-0.7327,0.8750,"31 17 17 17 17 3 31 31 32 33 31 17 31 31 17 17 32 31 31 17 31 17 31 31 31 31 31 31 17 31 17 32 31 31 41 17 32 32 18 17 17 17 17 33 17 31 32 17 31 31 17 18 42 0 31 32 32 31 31 31 31 17 18 31 31 31 31 31 17 32 17 31 17 17 0 33 31 17 33 31 17 31 33 33 31 13 31 32 31 31 17 18 18 31 31 31 17 31 18 31 39 18 17 13 16 38 23 38 38 17 24 39 39 7 7 17 17 18 1 8 0 18 38 7 39 7 7 17 17 3 17 17 17 17 17 3 17 1 17 0 39 7 17 38 17 17 3 17 39 38 7 39 38 17 38 18 17 17 0 3 17 17 3 1 17 17 13 3 1 7 1 7 17 0 17 7 1 13 38 13 39 17 7 3 17 38 17 3 0 17 23 3 1 17 39 1 12 38 7 13 25 39 25 25 25 26 25 25 27 25 25 27 25 39 25 25 26 25 27 25 25 27 25 25 25 25 25 39 25 25 25 39 25 39 25 25 39 25 25 27 25 25 26 26 25 25 25 25 26 39 27 39 25 25 39 27 25 39 25 25 39 25 25 27 26 27 26 25 39 39 25 25 37 26 23 25 25 25 27 39 25 25 39 25 25 25 25 25 25 25 25 27 25 27 30 27 25 25 39 25 0 36 8 7 7 1 8 34 8 2 7 2 17 7 17 34 2 3 18 8 34 8 2 2 7 34 2 8 2 8 2 17 35 7 0 7 2 13 2 7 2 34 12 2 2 2 2 18 2 2 17 2 2 38 2 38 0 2 8 12 2 2 2 17 17 2 17 8 2 7 8 2 17 8 17 2 2 2 2 2 2 34 13 7 17 8 17 8 2 2 2 8 2 12 8 17 17 2 2 17 17 17 34 36 35 22 13 39 0 39 34 34 39 34 39 36 38 39 0 1 39 39 3 39 13 39 39 1 39 0 1 38 34 39 17 34 34 39 36 34 36 38 39 13 13 36 39 39 39 1 13 34 34 0 17 39 39 38 1 40 1 34 36 36 40 39 39 34 34 35 38 39 34 39 13 34 3 39 34 3 34 39 1 34 0 39 35 35 3 38 39 34 34 1 39 17 1 27 17 39"
5,-0.7242,0.9355,"38 28 28 30 2 1 2 2 2 2 2 37 37 2 6 30 6 2 2 6 30 29 28 4 2 1 29 28 2 0 2 28 4 28 3 3 2 6 28 2 28 26 2 5 2 2 2 2 37 28 37 2 4 2 2 37 30 5 30 37 2 2 2 4 2 37 0 2 1 2 2 30 1 2 0 28 4 1 0 1 0 39 2 2 5 28 2 2 2 37 37 0 2 2 38 28 28 39 30 2 12 25 17 25 25 12 2 25 17 25 27 25 12 25 12 25 17 25 12 17 25 12 25 20 25 25 25 19 12 25 12 12 25 25 12 16 12 25 26 16 25 12 12 25 25 20 25 25 12 26 25 12 25 12 1 26 19 27 25 19 25 27 26 12 25 25 25 12 25 12 25 1 19 19 25 12 12 20 25 25 12 19 27 25 25 18 25 25 26 25 25 25 20 25 25 26 25 25 12 25 28 25 5 2 28 28 12 12 28 37 28 28 2 28 28 28 28 25 12 25 12 12 28 28 28 27 7 26 30 2 28 29 38 12 2 28 12 27 2 28 28 28 2 28 30 12 25 12 28 12 2 28 27 12 12 28 6 29 28 28 28 27 12 28 30 12 12 28 28 2 28 28 30 12 29 30 28 12 28 27 29 33 7 37 28 28 29 2 28 28 30 28 28 28 29 29 28 28 28 2 2 2 12 5 2 2 13 2 13 14 39 39 39 13 4 5 2 6 2 6 0 2 37 38 4 15 0 37 39 39 2 39 4 1 2 39 39 38 2 2 0 13 12 15 2 2 2 39 0 4 2 6 39 1 13 38 2 13 13 1 37 2 39 3 3 0 2 0 38 0 12 0 39 14 13 0 2 2 0 37 39 2 37 13 39 1 39 39 0 2 15 1 1 3 12 38 3 2 6 2 22 21 21 21 3 22 21 21 21 22 21 28 22 3 29 21 21 21 30 22 28 21 21 22 28 21 12 21 21 12 21 22 21 22 34 28 28 28 28 21 28 21 22 21 22 21 22 3 21 21 21 34 34 21 21 21 28 21 21 1 21 30 21 21 30 21 21 16 21 21 22 21 21 21 21 21 21 21 34 21 38 28 22 21 21 28 35 28 21 21 28 28 21 21 29 22 36 21 21 28"
6,-0.7081,0.9200,"7 28 41 0 41 13 38 38 2 2 7 1 3 2 1 7 41 41 8 41 38 29 7 4 3 7 3 7 7 41 7 41 41 41 7 41 41 41 0 41 7 7 41 5 38 2 3 7 41 1 13 41 7 7 41 37 8 41 8 41 7 1 41 7 13 0 7 41 41 41 2 7 3 41 0 41 3 41 7 1 0 41 41 41 5 1 7 1 41 7 41 0 7 8 7 28 8 41 7 41 37 2 3 27 25 26 39 25 25 25 26 25 39 39 25 25 25 27 37 39 27 25 25 25 25 0 39 27 3 39 25 39 25 25 26 25 26 39 0 25 27 25 0 25 4 25 40 0 25 42 25 26 25 25 39 27 27 26 25 39 25 39 35 6 25 34 39 25 26 25 0 39 25 25 3 40 25 25 25 25 12 25 39 3 25 25 25 25 25 39 0 25 0 25 25 25 25 25 27 25 5 12 2 2 5 2 37 2 8 6 31 2 2 6 2 2 2 37 2 2 37 2 2 2 2 2 2 12 2 2 5 2 5 2 37 12 2 2 2 4 6 2 2 2 2 2 2 2 2 2 5 5 2 37 2 2 28 37 30 2 6 2 37 2 5 2 2 2 2 2 2 4 2 2 30 2 12 5 6 4 6 2 7 5 2 2 2 5 5 37 2 2 2 2 2 2 2 2 2 2 2 2 12 5 2 2 2 2 39 14 39 39 39 2 4 5 2 6 2 6 12 2 37 2 4 15 0 37 39 39 2 39 4 0 2 39 39 4 2 2 2 39 12 15 2 2 2 39 6 4 2 6 39 39 2 2 2 39 15 14 37 2 39 15 2 3 2 39 2 39 12 2 39 14 39 37 2 2 4 37 39 2 37 12 39 1 39 39 5 2 15 39 12 12 12 3 39 2 6 2 29 38 1 28 3 13 9 28 28 36 28 28 28 3 29 28 12 28 30 0 28 34 28 28 28 28 12 28 28 12 28 34 12 38 34 28 28 28 28 28 28 28 0 28 0 34 1 3 28 9 36 34 34 29 29 28 28 28 34 1 30 30 1 30 30 34 0 16 28 28 36 28 36 28 29 28 28 1 34 29 38 28 29 34 30 28 35 28 34 28 28 28 34 30 29 13 36 28 29 28"
7,-0.6954,0.8696,"12 5 37 5 24 37 12 24 5 23 37 6 12 6 2 2 6 4 24 5 4 6 12 37 0 37 2 24 4 2 12 23 24 2 2 24 4 32 0 23 23 2 6 4 2 2 2 23 0 6 24 2 12 2 4 9 4 4 12 6 12 23 31 37 3 24 12 26 2 37 37 12 0 12 2 6 4 2 12 12 0 10 6 2 2 37 6 6 5 2 4 4 12 4 5 2 2 12 6 24 12 25 17 25 25 12 2 25 17 25 27 25 12 25 12 25 17 25 12 17 25 12 25 20 25 25 25 19 12 25 12 12 25 25 12 16 12 25 26 16 25 12 12 25 25 20 25 25 12 26 25 12 25 12 1 26 19 27 25 19 25 27 26 12 25 25 25 12 25 12 25 1 19 19 25 12 12 20 25 25 12 19 27 25 25 18 25 25 26 25 25 25 20 25 25 26 25 25 12 25 12 25 5 2 6 5 12 12 8 37 7 12 2 25 2 12 12 25 12 25 12 12 25 12 2 27 7 26 2 2 12 26 38 12 2 26 12 27 2 4 12 2 2 12 6 12 25 12 6 12 2 26 27 12 12 2 6 27 2 26 2 27 12 4 27 12 12 27 12 2 25 12 27 12 2 26 12 12 12 27 7 33 7 37 26 2 12 2 26 12 12 2 25 12 6 12 26 25 25 2 14 16 12 12 3 12 16 3 16 16 2 15 2 15 12 12 16 14 2 16 12 16 16 12 12 16 16 3 12 12 37 12 3 16 16 2 12 12 2 3 14 12 16 16 15 12 12 12 12 12 12 16 2 2 12 12 12 12 15 14 14 16 0 15 0 3 15 0 15 12 12 12 15 16 12 12 16 12 12 12 2 15 2 12 19 16 0 12 19 16 12 0 12 16 16 3 12 15 16 16 35 21 34 12 36 21 12 12 34 22 12 35 34 12 34 22 12 12 12 19 12 2 36 21 12 12 12 2 36 36 12 12 5 21 12 2 34 21 2 36 2 22 6 34 35 12 12 12 22 12 12 12 12 10 34 2 12 22 21 12 36 12 35 36 12 12 12 35 12 22 34 35 22 12 34 12 21 36 35 35 36 34 12 35 12 35 12 12 35 12 22 12 12 22 35 34 27 22 12 34"
8,-0.6923,0.8636,"12 5 37 5 24 37 12 24 5 23 37 6 12 6 2 2 6 4 24 5 4 6 12 37 0 37 2 24 4 2 12 23 24 2 2 24 4 32 0 23 23 2 6 4 2 2 2 23 0 6 24 2 12 2 4 9 4 4 12 6 12 23 31 37 3 24 12 26 2 37 37 12 0 12 2 6 4 2 12 12 0 10 6 2 2 37 6 6 5 2 4 4 12 4 5 2 2 12 6 24 12 25 17 25 25 12 2 25 17 25 27 25 12 25 12 25 17 25 12 17 25 12 25 20 25 25 25 19 12 25 12 12 25 25 12 16 12 25 26 16 25 12 12 25 25 20 25 25 12 26 25 12 25 12 1 26 19 27 25 19 25 27 26 12 25 25 25 12 25 12 25 1 19 19 25 12 12 20 25 25 12 19 27 25 25 18 25 25 26 25 25 25 20 25 25 26 25 25 12 25 12 25 5 2 6 5 12 12 8 37 7 12 2 25 2 12 12 25 12 25 12 12 25 12 2 27 7 26 2 2 12 26 38 12 2 26 12 27 2 4 12 2 2 12 6 12 25 12 6 12 2 26 27 12 12 2 6 27 2 26 2 27 12 4 27 12 12 27 12 2 25 12 27 12 2 26 12 12 12 27 7 33 7 37 26 2 12 2 26 12 12 2 25 12 6 12 26 25 25 2 14 16 12 12 3 12 16 3 16 16 2 15 2 15 12 12 16 14 2 16 12 16 16 12 12 16 16 3 12 12 37 12 3 16 16 2 12 12 2 3 14 12 16 16 15 12 12 12 12 12 12 16 2 2 12 12 12 12 15 14 14 16 0 15 0 3 15 0 15 12 12 12 15 16 12 12 16 12 12 12 2 15 2 12 19 16 0 12 19 16 12 0 12 16 16 3 12 15 16 16 35 21 34 12 36 21 12 12 34 22 12 35 34 12 34 22 12 12 12 19 12 2 36 21 12 12 12 2 36 36 12 12 5 21 12 2 34 21 2 36 2 22 6 34 35 12 12 12 22 12 12 12 12 10 34 2 12 22 21 12 36 12 35 36 12 12 12 35 12 22 34 35 22 12 34 12 21 36 35 35 36 34 12 35 12 35 12 12 35 12 22 12 12 22 35 34 27 22 12 34"
9,-0.6547,0.7857,"4 41 3 41 0 41 21 38 21 41 41 17 41 13 41 38 41 41 3 41 41 41 41 41 41 13 3 13 17 21 41 38 41 21 41 38 41 1 38 41 41 41 13 22 41 41 41 21 41 41 41 41 41 38 41 0 41 21 41 13 41 3 0 41 17 3 41 0 13 41 41 21 38 1 41 0 13 21 3 41 3 1 13 38 41 41 41 41 3 41 21 41 13 21 1 41 41 41 41 38 38 41 21 13 21 0 23 38 21 38 41 21 41 41 21 41 0 21 13 21 41 41 41 21 22 22 41 21 41 41 41 21 41 41 13 0 21 41 0 21 41 41 17 21 21 21 3 0 13 41 38 41 21 41 38 38 21 41 22 1 41 3 41 21 1 38 21 22 21 13 1 1 41 41 41 21 13 41 38 41 41 41 13 21 41 38 41 3 1 13 23 3 41 17 13 0 3 41 7 13 21 7 1 21 0 21 8 7 13 0 13 25 21 22 2 3 1 27 2 7 1 1 3 2 3 21 0 2 21 2 3 25 21 21 1 21 38 21 25 25 3 21 8 3 3 2 25 21 21 0 1 22 21 21 0 0 7 2 2 2 3 2 21 13 21 21 21 21 38 25 21 22 21 25 13 2 27 21 1 25 7 13 0 21 22 38 21 13 25 22 21 22 21 7 13 1 22 21 2 7 40 25 25 5 27 42 40 25 26 25 26 40 12 42 42 25 42 12 26 25 42 12 25 42 27 25 12 40 25 25 25 30 25 17 25 25 42 13 25 6 25 26 25 27 12 25 25 25 6 27 26 2 42 42 25 12 30 4 26 25 40 40 25 25 25 25 25 42 27 25 12 25 26 25 2 25 25 25 42 42 26 26 40 2 40 5 25 2 26 25 26 27 25 25 27 25 42 26 25 25 2 0 8 2 0 6 2 12 8 38 2 0 2 0 2 4 19 2 12 0 13 2 2 4 37 2 2 2 3 3 3 37 2 4 2 2 2 4 2 34 2 2 2 13 3 3 0 2 1 2 12 8 12 3 2 3 2 2 2 2 2 2 5 2 2 4 2 0 2 3 2 3 2 3 41 2 0 2 6 3 2 3 2 6 2 0 37 2 2 0 4 5 2 2 2 2 5 2 2 2"
10,-0.6526,0.8462,"24 23 23 23 24 23 23 29 29 23 24 6 23 23 23 23 23 23 28 30 24 30 23 23 0 24 28 23 24 2 29 28 23 23 2 28 23 24 28 24 23 30 6 28 2 23 28 23 23 23 23 24 12 23 28 23 23 23 23 23 23 24 28 23 23 23 12 26 23 37 28 23 23 23 2 6 24 23 23 23 23 23 23 28 2 37 24 28 23 23 24 4 12 28 23 23 28 24 23 23 12 25 17 25 25 12 2 25 17 25 27 25 12 25 12 25 17 25 12 17 25 12 25 20 25 25 25 19 12 25 12 12 25 25 12 16 12 25 26 16 25 12 12 25 25 20 25 25 12 26 25 12 25 12 1 26 19 27 25 19 25 27 26 12 25 25 25 12 25 12 25 1 19 19 25 12 12 20 25 25 12 19 27 25 25 18 25 25 26 25 25 25 20 25 25 26 25 25 12 25 28 25 28 2 6 28 28 12 8 28 28 28 28 30 2 28 28 25 28 28 28 30 29 12 2 27 28 28 28 2 28 28 38 12 2 26 12 27 28 28 28 2 28 12 28 12 30 12 6 28 2 26 28 12 12 28 6 28 30 30 28 28 12 28 28 28 30 27 28 30 29 12 28 28 28 28 28 28 28 29 28 29 7 28 28 29 12 28 26 28 28 2 25 30 6 12 28 30 30 28 14 39 12 12 3 12 39 3 12 39 39 15 39 15 39 39 0 14 2 19 39 39 39 39 39 39 39 39 39 39 39 12 3 39 2 2 39 39 39 39 14 12 12 15 39 39 12 39 39 39 12 12 2 39 12 12 12 39 15 39 39 6 0 15 0 39 15 0 15 12 12 12 15 14 12 12 14 12 39 37 2 39 2 39 19 39 0 12 39 39 15 0 39 39 39 3 12 15 12 39 12 9 2 2 9 29 2 11 28 2 29 28 2 2 29 28 10 29 12 19 30 2 2 2 9 2 28 30 21 29 2 28 2 30 2 10 11 2 28 2 10 2 6 9 29 2 2 11 29 2 2 11 2 2 28 30 10 2 28 12 22 2 12 9 2 2 21 2 10 2 12 2 22 29 9 10 29 9 9 30 2 2 9 2 10 10 11 10 28 9 2 10 2 2 2 28 29 11 2 28"
