# seed=43
# instance=UNFAIR
# popSize=50
# generations=100
# crossover=BlockUniform(p=0.25)
# mutation=p0=0.05,pMin=0.002,alpha=0.95
# tournamentK=3
# elitism=2
# lambda_similarity=0.3
# fights_per_team=10
# anchors=5
gen,changes,best_fitness,best_winrate,best_similarity,avg_fitness,worst_fitness,best_genome
0,1,-0.5694,0.8462,0.9226,-0.1635,0.2336,"16 41 27 4 37 2 39 6 12 30 1 6 27 13 7 12 24 2 7 37 18 0 24 9 22 24 13 16 24 31 17 10 35 13 39 37 28 23 41 40 17 22 14 8 13 8 10 18 9 38 11 2 15 38 23 0 37 9 8 5 10 4 26 22 35 8 35 37 23 2 29 20 40 35 23 18 34 41 7 38 33 6 38 27 32 20 38 36 2 19 1 33 2 8 11 39 7 17 40 20 36 36 2 40 30 24 14 35 7 37 26 13 37 36 31 4 19 5 37 18 40 31 9 26 10 16 37 39 40 28 7 28 6 27 12 28 33 3 3 11 8 30 38 3 11 29 38 42 31 41 28 26 29 32 0 0 22 31 28 1 26 27 13 34 1 13 25 18 28 37 30 23 8 24 1 24 19 13 30 9 30 42 17 5 7 19 13 27 42 9 7 6 30 18 25 6 42 31 0 41 28 41 0 10 26 5 34 2 18 6 19 15 42 35 21 28 18 11 30 12 5 10 13 27 6 6 15 36 19 13 32 6 21 41 26 28 36 39 35 4 7 3 19 19 18 12 10 7 20 27 37 29 4 36 15 1 3 2 41 13 0 31 34 1 10 34 32 36 15 10 26 39 18 12 6 40 13 13 31 21 6 10 18 11 40 36 30 40 27 21 33 34 13 25 26 20 42 34 12 31 5 5 33 24 39 1 40 10 33 8 14 9 8 7 26 17 0 18 34 32 13 2 19 19 3 12 11 9 21 19 15 42 12 10 29 39 17 14 39 41 8 3 28 13 6 21 18 38 18 4 17 18 34 11 0 6 39 16 34 42 24 38 38 18 28 34 12 3 27 23 0 12 9 23 21 41 15 11 28 8 25 11 3 24 32 42 3 25 7 6 27 23 0 11 0 21 35 13 30 36 31 42 40 4 15 33 39 41 9 27 18 4 11 29 4 2 35 7 18 9 9 9 37 34 34 26 10 38 18 5 13 37 30 39 2 10 24 9 23 24 37 25 35 25 34 11 12 2 17 36 5 34 36 16 41 11 32 42 4 40 15 1 20 35 33 21 42 21 33 39 2 7 17 7 16 22 34 32 1 17 11 1 35 14 18 34 20 25 42 18 41 35 28 33 6 19 25 22 39 1"
1,2,-0.8122,1.0000,0.6259,-0.2211,0.2070,"19 5 15 12 2 12 31 6 2 4 2 19 2 2 12 32 31 31 2 2 31 2 31 5 2 2 2 2 6 12 31 31 2 32 2 2 2 2 2 2 4 2 2 2 15 2 31 2 6 37 15 32 5 2 19 2 2 12 5 2 2 2 4 2 37 2 15 2 2 2 2 4 2 37 2 31 2 19 6 2 12 2 31 2 32 31 33 5 33 15 2 2 12 2 4 5 37 2 2 31 21 12 20 12 13 21 12 12 12 12 22 12 19 12 2 12 22 22 12 7 12 12 22 12 21 2 21 7 12 12 22 12 19 12 21 12 8 12 19 19 2 20 12 12 12 12 12 12 22 12 12 12 21 12 19 12 12 7 2 19 12 12 21 12 22 12 12 21 12 20 21 38 7 12 12 22 12 21 12 12 19 12 12 12 12 22 22 20 12 8 21 12 21 19 12 12 12 12 12 12 22 38 12 12 38 19 16 22 12 13 39 12 16 39 19 37 2 12 22 16 38 39 3 3 39 1 20 24 12 0 12 3 39 20 0 39 1 1 0 12 38 21 13 12 16 1 20 12 12 39 12 10 22 1 21 12 16 12 12 12 21 2 39 12 12 1 5 39 12 3 38 21 0 39 12 16 12 13 12 12 21 12 39 39 39 13 30 12 19 38 0 12 16 16 12 4 3 13 13 38 12 25 25 25 27 25 26 25 25 3 25 12 25 27 25 12 25 26 27 25 12 25 27 25 27 25 12 25 22 12 27 25 26 25 27 25 26 25 25 12 26 3 27 27 27 12 27 27 27 25 25 25 26 12 26 27 12 25 12 25 25 12 25 27 40 25 0 0 25 12 25 12 25 26 25 26 12 13 26 26 25 26 25 26 25 25 25 22 26 25 26 25 12 27 27 26 25 0 25 12 23 21 39 12 12 12 39 23 39 12 12 21 12 12 12 21 21 39 23 39 21 22 21 39 12 23 42 21 23 22 12 12 19 21 12 12 12 24 12 12 12 21 21 39 19 12 12 12 24 22 12 21 12 19 12 12 39 12 24 12 21 39 21 12 22 12 19 28 39 21 23 12 39 12 12 12 12 39 12 42 39 22 22 22 19 24 19 12 21 12 22 12 24 12 12 24 19 12 12 23"
2,3,-0.8570,1.0000,0.4768,-0.2671,0.1485,"12 25 25 25 25 12 25 12 29 28 18 25 18 9 25 26 25 27 27 12 25 12 25 25 27 25 12 28 25 12 25 27 25 25 12 26 12 28 25 18 18 28 28 28 25 12 12 26 12 12 12 28 27 12 25 17 30 25 18 12 17 25 25 25 25 25 25 25 25 30 12 28 26 28 25 12 25 28 25 26 25 25 26 12 28 28 25 30 26 25 5 25 17 27 25 25 26 25 28 25 34 34 34 36 34 34 34 12 34 34 34 34 12 34 34 12 12 36 34 34 35 34 36 12 34 36 12 34 12 39 34 34 12 34 12 34 34 34 34 36 34 36 34 35 35 34 34 34 36 36 35 34 34 34 34 34 34 34 39 34 34 12 34 34 12 12 36 0 34 34 35 1 34 23 34 12 39 36 34 12 34 3 34 3 34 34 35 12 34 34 36 34 12 34 12 35 34 34 36 35 9 34 35 34 34 34 34 38 0 9 10 34 36 3 34 34 34 35 36 40 9 9 34 34 34 10 9 34 0 34 9 34 34 1 34 5 34 35 34 9 9 11 36 34 9 34 9 34 34 34 4 9 9 34 9 9 34 34 9 35 5 35 35 13 34 36 35 34 9 9 9 13 9 11 34 3 21 34 34 34 9 9 34 34 35 34 12 34 0 36 34 34 34 36 34 9 34 34 34 35 10 9 2 24 32 12 2 9 12 12 33 12 33 9 31 2 12 12 9 31 9 12 9 32 33 12 12 12 9 11 12 12 33 9 12 9 31 12 11 33 12 12 12 12 9 12 12 37 33 31 12 12 12 12 2 33 33 32 31 12 33 33 33 33 6 9 31 9 9 12 12 4 12 33 10 32 31 9 9 12 12 33 9 9 33 4 12 11 32 33 31 9 12 12 32 9 12 11 2 31 26 27 2 25 2 25 26 25 39 25 38 13 26 3 25 25 27 27 25 25 25 25 2 38 27 3 27 12 6 25 3 2 27 25 25 25 25 12 25 25 25 25 2 2 25 27 25 27 27 26 25 25 6 25 3 25 25 4 25 25 25 25 25 25 13 1 16 12 38 3 25 0 12 25 25 2 25 25 12 27 25 16 12 25 25 25 25 25 25 11 3 2 2 12 25 1 25 38 25 27"
3,3,-0.8186,1.0000,0.6046,-0.2982,0.1148,"12 25 25 25 25 12 25 12 29 28 18 25 18 9 25 26 25 27 27 12 25 12 25 25 27 25 12 28 25 12 25 27 25 25 12 26 12 28 25 18 18 28 28 28 25 12 12 26 12 12 12 28 27 12 25 17 30 25 18 12 17 25 25 25 25 25 25 25 25 30 12 28 26 28 25 12 25 28 25 26 25 25 26 12 28 28 25 30 26 25 5 25 17 27 25 25 26 25 28 25 34 34 34 36 34 34 34 12 34 34 34 34 12 34 34 12 12 36 34 34 35 34 36 12 34 36 12 34 12 39 34 34 12 34 12 34 34 34 34 36 34 36 34 35 35 34 34 34 36 36 35 34 34 34 34 34 34 34 39 34 34 12 34 34 12 12 36 0 34 34 35 1 34 23 34 12 39 36 34 12 34 3 34 3 34 34 35 12 34 34 36 34 12 34 12 35 34 34 36 35 9 34 35 34 34 34 34 38 0 9 10 34 36 3 34 34 34 35 36 40 9 9 34 34 34 10 9 34 0 34 9 34 34 1 34 5 34 35 34 9 9 11 36 34 9 34 9 34 34 34 4 9 9 34 9 9 34 34 9 35 5 35 35 13 34 36 35 34 9 9 9 13 9 11 34 3 21 34 34 34 9 9 34 34 35 34 12 34 0 36 34 34 34 36 34 9 34 34 34 35 10 9 2 24 32 12 2 9 12 12 33 12 33 9 31 2 12 12 9 31 9 12 9 32 33 12 12 12 9 11 12 12 33 9 12 9 31 12 11 33 12 12 12 12 9 12 12 37 33 31 12 12 12 12 2 33 33 32 31 12 33 33 33 33 6 9 31 9 9 12 12 4 12 33 10 32 31 9 9 12 12 33 9 9 33 4 12 11 32 33 31 9 12 12 32 9 12 11 2 31 26 27 2 25 2 25 26 25 39 25 38 13 26 3 25 25 27 27 25 25 25 25 2 38 27 3 27 12 6 25 3 2 27 25 25 25 25 12 25 25 25 25 2 2 25 27 25 27 27 26 25 25 6 25 3 25 25 4 25 25 25 25 25 25 13 1 16 12 38 3 25 0 12 25 25 2 25 25 12 27 25 16 12 25 25 25 25 25 25 11 3 2 2 12 25 1 25 38 25 27"
4,3,-0.8362,0.9643,0.4269,-0.3070,0.1250,"12 25 25 25 25 12 25 12 29 28 18 25 18 9 25 26 25 27 27 12 25 12 25 25 27 25 12 28 25 12 25 27 25 25 12 26 12 28 25 18 18 28 28 28 25 12 12 26 12 12 12 28 27 12 25 17 30 25 18 12 17 25 25 25 25 25 25 25 25 30 12 28 26 28 25 12 25 28 25 26 25 25 26 12 28 28 25 30 26 25 5 25 17 27 25 25 26 25 28 25 34 34 34 36 34 34 34 12 34 34 34 34 12 34 34 12 12 36 34 34 35 34 36 12 34 36 12 34 12 39 34 34 12 34 12 34 34 34 34 36 34 36 34 35 35 34 34 34 36 36 35 34 34 34 34 34 34 34 39 34 34 12 34 34 12 12 36 0 34 34 35 1 34 23 34 12 39 36 34 12 34 3 34 3 34 34 35 12 34 34 36 34 12 34 12 35 34 34 36 35 9 34 35 34 34 34 34 38 0 9 10 34 36 3 34 34 34 35 36 40 9 9 34 34 34 10 9 34 0 34 9 34 34 1 34 5 34 35 34 9 9 11 36 34 9 34 9 34 34 34 4 9 9 34 9 9 34 34 9 35 5 35 35 13 34 36 35 34 9 9 9 13 9 11 34 3 21 34 34 34 9 9 34 34 35 34 12 34 0 36 34 34 34 36 34 9 34 34 34 35 10 9 2 24 32 12 2 9 12 12 33 12 33 9 31 2 12 12 9 31 9 12 9 32 33 12 12 12 9 11 12 12 33 9 12 9 31 12 11 33 12 12 12 12 9 12 12 37 33 31 12 12 12 12 2 33 33 32 31 12 33 33 33 33 6 9 31 9 9 12 12 4 12 33 10 32 31 9 9 12 12 33 9 9 33 4 12 11 32 33 31 9 12 12 32 9 12 11 2 31 26 27 2 25 2 25 26 25 39 25 38 13 26 3 25 25 27 27 25 25 25 25 2 38 27 3 27 12 6 25 3 2 27 25 25 25 25 12 25 25 25 25 2 2 25 27 25 27 27 26 25 25 6 25 3 25 25 4 25 25 25 25 25 25 13 1 16 12 38 3 25 0 12 25 25 2 25 25 12 27 25 16 12 25 25 25 25 25 25 11 3 2 2 12 25 1 25 38 25 27"
5,3,-0.8536,1.0000,0.4880,-0.3038,0.1242,"12 25 25 25 25 12 25 12 29 28 18 25 18 9 25 26 25 27 27 12 25 12 25 25 27 25 12 28 25 12 25 27 25 25 12 26 12 28 25 18 18 28 28 28 25 12 12 26 12 12 12 28 27 12 25 17 30 25 18 12 17 25 25 25 25 25 25 25 25 30 12 28 26 28 25 12 25 28 25 26 25 25 26 12 28 28 25 30 26 25 5 25 17 27 25 25 26 25 28 25 34 34 34 36 34 34 34 12 34 34 34 34 12 34 34 12 12 36 34 34 35 34 36 12 34 36 12 34 12 39 34 34 12 34 12 34 34 34 34 36 34 36 34 35 35 34 34 34 36 36 35 34 34 34 34 34 34 34 39 34 34 12 34 34 12 12 36 0 34 34 35 1 34 23 34 12 39 36 34 12 34 3 34 3 34 34 35 12 34 34 36 34 12 34 12 35 34 34 36 35 9 34 35 34 34 34 34 38 0 9 10 34 36 3 34 34 34 35 36 40 9 9 34 34 34 10 9 34 0 34 9 34 34 1 34 5 34 35 34 9 9 11 36 34 9 34 9 34 34 34 4 9 9 34 9 9 34 34 9 35 5 35 35 13 34 36 35 34 9 9 9 13 9 11 34 3 21 34 34 34 9 9 34 34 35 34 12 34 0 36 34 34 34 36 34 9 34 34 34 35 10 9 2 24 32 12 2 9 12 12 33 12 33 9 31 2 12 12 9 31 9 12 9 32 33 12 12 12 9 11 12 12 33 9 12 9 31 12 11 33 12 12 12 12 9 12 12 37 33 31 12 12 12 12 2 33 33 32 31 12 33 33 33 33 6 9 31 9 9 12 12 4 12 33 10 32 31 9 9 12 12 33 9 9 33 4 12 11 32 33 31 9 12 12 32 9 12 11 2 31 26 27 2 25 2 25 26 25 39 25 38 13 26 3 25 25 27 27 25 25 25 25 2 38 27 3 27 12 6 25 3 2 27 25 25 25 25 12 25 25 25 25 2 2 25 27 25 27 27 26 25 25 6 25 3 25 25 4 25 25 25 25 25 25 13 1 16 12 38 3 25 0 12 25 25 2 25 25 12 27 25 16 12 25 25 25 25 25 25 11 3 2 2 12 25 1 25 38 25 27"
6,3,-0.8459,1.0000,0.5136,-0.3108,0.1307,"12 25 25 25 25 12 25 12 29 28 18 25 18 9 25 26 25 27 27 12 25 12 25 25 27 25 12 28 25 12 25 27 25 25 12 26 12 28 25 18 18 28 28 28 25 12 12 26 12 12 12 28 27 12 25 17 30 25 18 12 17 25 25 25 25 25 25 25 25 30 12 28 26 28 25 12 25 28 25 26 25 25 26 12 28 28 25 30 26 25 5 25 17 27 25 25 26 25 28 25 34 34 34 36 34 34 34 12 34 34 34 34 12 34 34 12 12 36 34 34 35 34 36 12 34 36 12 34 12 39 34 34 12 34 12 34 34 34 34 36 34 36 34 35 35 34 34 34 36 36 35 34 34 34 34 34 34 34 39 34 34 12 34 34 12 12 36 0 34 34 35 1 34 23 34 12 39 36 34 12 34 3 34 3 34 34 35 12 34 34 36 34 12 34 12 35 34 34 36 35 9 34 35 34 34 34 34 38 0 9 10 34 36 3 34 34 34 35 36 40 9 9 34 34 34 10 9 34 0 34 9 34 34 1 34 5 34 35 34 9 9 11 36 34 9 34 9 34 34 34 4 9 9 34 9 9 34 34 9 35 5 35 35 13 34 36 35 34 9 9 9 13 9 11 34 3 21 34 34 34 9 9 34 34 35 34 12 34 0 36 34 34 34 36 34 9 34 34 34 35 10 9 2 24 32 12 2 9 12 12 33 12 33 9 31 2 12 12 9 31 9 12 9 32 33 12 12 12 9 11 12 12 33 9 12 9 31 12 11 33 12 12 12 12 9 12 12 37 33 31 12 12 12 12 2 33 33 32 31 12 33 33 33 33 6 9 31 9 9 12 12 4 12 33 10 32 31 9 9 12 12 33 9 9 33 4 12 11 32 33 31 9 12 12 32 9 12 11 2 31 26 27 2 25 2 25 26 25 39 25 38 13 26 3 25 25 27 27 25 25 25 25 2 38 27 3 27 12 6 25 3 2 27 25 25 25 25 12 25 25 25 25 2 2 25 27 25 27 27 26 25 25 6 25 3 25 25 4 25 25 25 25 25 25 13 1 16 12 38 3 25 0 12 25 25 2 25 25 12 27 25 16 12 25 25 25 25 25 25 11 3 2 2 12 25 1 25 38 25 27"
7,3,-0.8409,1.0000,0.5304,-0.3155,0.1038,"12 25 25 25 25 12 25 12 29 28 18 25 18 9 25 26 25 27 27 12 25 12 25 25 27 25 12 28 25 12 25 27 25 25 12 26 12 28 25 18 18 28 28 28 25 12 12 26 12 12 12 28 27 12 25 17 30 25 18 12 17 25 25 25 25 25 25 25 25 30 12 28 26 28 25 12 25 28 25 26 25 25 26 12 28 28 25 30 26 25 5 25 17 27 25 25 26 25 28 25 34 34 34 36 34 34 34 12 34 34 34 34 12 34 34 12 12 36 34 34 35 34 36 12 34 36 12 34 12 39 34 34 12 34 12 34 34 34 34 36 34 36 34 35 35 34 34 34 36 36 35 34 34 34 34 34 34 34 39 34 34 12 34 34 12 12 36 0 34 34 35 1 34 23 34 12 39 36 34 12 34 3 34 3 34 34 35 12 34 34 36 34 12 34 12 35 34 34 36 35 9 34 35 34 34 34 34 38 0 9 10 34 36 3 34 34 34 35 36 40 9 9 34 34 34 10 9 34 0 34 9 34 34 1 34 5 34 35 34 9 9 11 36 34 9 34 9 34 34 34 4 9 9 34 9 9 34 34 9 35 5 35 35 13 34 36 35 34 9 9 9 13 9 11 34 3 21 34 34 34 9 9 34 34 35 34 12 34 0 36 34 34 34 36 34 9 34 34 34 35 10 9 2 24 32 12 2 9 12 12 33 12 33 9 31 2 12 12 9 31 9 12 9 32 33 12 12 12 9 11 12 12 33 9 12 9 31 12 11 33 12 12 12 12 9 12 12 37 33 31 12 12 12 12 2 33 33 32 31 12 33 33 33 33 6 9 31 9 9 12 12 4 12 33 10 32 31 9 9 12 12 33 9 9 33 4 12 11 32 33 31 9 12 12 32 9 12 11 2 31 26 27 2 25 2 25 26 25 39 25 38 13 26 3 25 25 27 27 25 25 25 25 2 38 27 3 27 12 6 25 3 2 27 25 25 25 25 12 25 25 25 25 2 2 25 27 25 27 27 26 25 25 6 25 3 25 25 4 25 25 25 25 25 25 13 1 16 12 38 3 25 0 12 25 25 2 25 25 12 27 25 16 12 25 25 25 25 25 25 11 3 2 2 12 25 1 25 38 25 27"
8,3,-0.8305,1.0000,0.5649,-0.3172,0.1203,"12 25 25 25 25 12 25 12 29 28 18 25 18 9 25 26 25 27 27 12 25 12 25 25 27 25 12 28 25 12 25 27 25 25 12 26 12 28 25 18 18 28 28 28 25 12 12 26 12 12 12 28 27 12 25 17 30 25 18 12 17 25 25 25 25 25 25 25 25 30 12 28 26 28 25 12 25 28 25 26 25 25 26 12 28 28 25 30 26 25 5 25 17 27 25 25 26 25 28 25 34 34 34 36 34 34 34 12 34 34 34 34 12 34 34 12 12 36 34 34 35 34 36 12 34 36 12 34 12 39 34 34 12 34 12 34 34 34 34 36 34 36 34 35 35 34 34 34 36 36 35 34 34 34 34 34 34 34 39 34 34 12 34 34 12 12 36 0 34 34 35 1 34 23 34 12 39 36 34 12 34 3 34 3 34 34 35 12 34 34 36 34 12 34 12 35 34 34 36 35 9 34 35 34 34 34 34 38 0 9 10 34 36 3 34 34 34 35 36 40 9 9 34 34 34 10 9 34 0 34 9 34 34 1 34 5 34 35 34 9 9 11 36 34 9 34 9 34 34 34 4 9 9 34 9 9 34 34 9 35 5 35 35 13 34 36 35 34 9 9 9 13 9 11 34 3 21 34 34 34 9 9 34 34 35 34 12 34 0 36 34 34 34 36 34 9 34 34 34 35 10 9 2 24 32 12 2 9 12 12 33 12 33 9 31 2 12 12 9 31 9 12 9 32 33 12 12 12 9 11 12 12 33 9 12 9 31 12 11 33 12 12 12 12 9 12 12 37 33 31 12 12 12 12 2 33 33 32 31 12 33 33 33 33 6 9 31 9 9 12 12 4 12 33 10 32 31 9 9 12 12 33 9 9 33 4 12 11 32 33 31 9 12 12 32 9 12 11 2 31 26 27 2 25 2 25 26 25 39 25 38 13 26 3 25 25 27 27 25 25 25 25 2 38 27 3 27 12 6 25 3 2 27 25 25 25 25 12 25 25 25 25 2 2 25 27 25 27 27 26 25 25 6 25 3 25 25 4 25 25 25 25 25 25 13 1 16 12 38 3 25 0 12 25 25 2 25 25 12 27 25 16 12 25 25 25 25 25 25 11 3 2 2 12 25 1 25 38 25 27"
9,3,-0.8316,1.0000,0.5614,-0.3208,0.1603,"12 25 25 25 25 12 25 12 29 28 18 25 18 9 25 26 25 27 27 12 25 12 25 25 27 25 12 28 25 12 25 27 25 25 12 26 12 28 25 18 18 28 28 28 25 12 12 26 12 12 12 28 27 12 25 17 30 25 18 12 17 25 25 25 25 25 25 25 25 30 12 28 26 28 25 12 25 28 25 26 25 25 26 12 28 28 25 30 26 25 5 25 17 27 25 25 26 25 28 25 34 34 34 36 34 34 34 12 34 34 34 34 12 34 34 12 12 36 34 34 35 34 36 12 34 36 12 34 12 39 34 34 12 34 12 34 34 34 34 36 34 36 34 35 35 34 34 34 36 36 35 34 34 34 34 34 34 34 39 34 34 12 34 34 12 12 36 0 34 34 35 1 34 23 34 12 39 36 34 12 34 3 34 3 34 34 35 12 34 34 36 34 12 34 12 35 34 34 36 35 9 34 35 34 34 34 34 38 0 9 10 34 36 3 34 34 34 35 36 40 9 9 34 34 34 10 9 34 0 34 9 34 34 1 34 5 34 35 34 9 9 11 36 34 9 34 9 34 34 34 4 9 9 34 9 9 34 34 9 35 5 35 35 13 34 36 35 34 9 9 9 13 9 11 34 3 21 34 34 34 9 9 34 34 35 34 12 34 0 36 34 34 34 36 34 9 34 34 34 35 10 9 2 24 32 12 2 9 12 12 33 12 33 9 31 2 12 12 9 31 9 12 9 32 33 12 12 12 9 11 12 12 33 9 12 9 31 12 11 33 12 12 12 12 9 12 12 37 33 31 12 12 12 12 2 33 33 32 31 12 33 33 33 33 6 9 31 9 9 12 12 4 12 33 10 32 31 9 9 12 12 33 9 9 33 4 12 11 32 33 31 9 12 12 32 9 12 11 2 31 26 27 2 25 2 25 26 25 39 25 38 13 26 3 25 25 27 27 25 25 25 25 2 38 27 3 27 12 6 25 3 2 27 25 25 25 25 12 25 25 25 25 2 2 25 27 25 27 27 26 25 25 6 25 3 25 25 4 25 25 25 25 25 25 13 1 16 12 38 3 25 0 12 25 25 2 25 25 12 27 25 16 12 25 25 25 25 25 25 11 3 2 2 12 25 1 25 38 25 27"
