rank,fitness,winrate,genome
1,-0.8001,1.0000,"12 25 26 25 16 25 12 26 25 25 25 25 16 12 12 16 12 25 25 12 16 25 16 25 12 16 25 27 16 26 12 16 16 26 2 25 2 12 25 12 25 25 12 26 16 12 25 25 12 25 16 25 12 12 25 25 26 12 12 16 25 25 26 25 26 12 25 16 16 25 25 37 12 12 25 16 16 2 25 16 25 27 16 16 16 26 12 26 26 16 25 12 12 16 27 25 2 16 25 25 2 34 35 34 5 6 39 37 2 39 34 25 5 2 4 2 6 39 39 5 5 5 34 39 4 34 4 39 39 39 37 37 4 4 6 2 5 2 2 2 34 36 6 4 34 39 5 37 5 37 5 39 25 39 26 39 36 40 6 6 37 2 37 2 35 39 34 39 5 5 37 34 2 34 2 5 40 4 2 2 39 4 39 4 36 37 34 6 5 37 39 34 39 34 39 39 34 2 4 39 39 8 2 39 2 37 39 39 2 39 39 37 7 2 2 37 8 39 39 39 4 2 2 8 6 2 4 8 39 4 39 0 39 2 39 39 2 39 39 37 2 37 39 2 33 32 39 39 39 2 2 2 2 2 39 39 8 2 39 2 2 7 39 2 39 8 39 2 2 6 39 39 9 8 39 39 4 37 37 6 39 39 39 2 33 39 9 2 2 8 39 2 39 2 39 39 7 39 39 2 39 35 34 35 34 34 36 39 34 34 35 39 39 39 36 39 34 34 34 39 39 34 35 34 40 39 34 39 35 39 39 34 34 36 34 39 39 34 39 39 39 17 34 39 39 36 39 35 36 34 39 34 34 39 39 39 34 39 35 34 36 39 34 34 35 39 9 39 34 39 12 39 39 34 34 34 36 34 35 34 39 39 39 34 35 34 34 36 39 34 34 39 39 39 39 36 34 35 34 39 6 21 37 25 21 2 2 2 1 6 3 6 2 0 5 4 2 1 2 2 2 13 21 2 2 2 4 5 3 13 2 11 9 37 38 1 25 38 2 0 3 2 25 13 22 2 2 2 13 0 0 5 2 6 0 5 38 38 1 0 0 13 2 0 2 2 9 0 38 2 2 0 38 2 27 3 9 0 3 3 2 0 13 2 38 3 3 3 2 2 0 0 2 3 2 2 2 2 2 2"
2,-0.7953,1.0000,"12 25 26 25 16 25 12 26 25 25 25 25 16 12 12 16 12 25 25 12 16 25 16 25 12 16 25 27 16 26 12 16 16 26 2 25 2 12 25 12 25 25 12 26 16 12 25 25 12 25 16 25 12 12 25 25 26 12 12 16 25 25 26 25 26 12 25 16 16 25 25 37 12 12 25 16 16 2 25 16 25 27 16 16 16 26 12 26 26 16 25 12 12 16 27 25 2 16 25 25 37 34 35 34 12 34 39 34 2 39 34 25 35 2 36 12 39 39 39 2 12 39 34 39 34 34 4 39 39 39 34 39 34 12 12 2 2 39 34 34 34 36 39 2 34 39 5 34 2 37 27 39 25 39 26 39 36 40 34 25 39 2 39 2 35 39 34 39 35 2 34 34 39 34 2 5 40 39 2 2 39 39 39 39 36 34 34 2 5 37 39 34 39 34 39 39 34 2 39 39 2 8 2 7 2 37 7 2 2 6 31 37 7 2 2 37 8 2 31 2 4 2 2 8 6 2 4 8 2 4 2 0 2 2 2 2 2 2 2 37 2 37 2 2 33 32 2 37 2 2 2 2 2 2 7 7 8 2 6 2 2 7 8 2 9 8 9 2 2 6 31 2 9 8 2 2 4 37 37 6 7 2 37 2 33 2 9 2 2 8 2 2 2 2 2 2 7 2 2 2 39 35 34 35 34 34 36 39 34 34 35 39 39 39 36 39 34 34 34 39 39 34 35 34 40 39 34 39 35 39 39 34 34 36 34 39 39 34 39 39 39 17 34 39 39 36 39 35 36 34 39 34 34 39 39 39 34 39 35 34 36 39 34 34 35 39 9 39 34 39 12 39 39 34 34 34 36 34 35 34 39 39 39 34 35 34 34 36 39 34 34 39 39 39 39 36 34 35 34 39 6 21 37 25 21 2 2 2 1 6 3 6 2 0 5 4 2 1 2 2 2 13 21 2 2 2 4 5 3 13 2 11 9 37 38 1 25 38 2 0 3 2 25 13 22 2 2 2 13 0 0 5 2 6 0 5 38 38 1 0 0 13 2 0 2 2 9 0 38 2 2 0 38 2 27 3 9 0 3 3 2 0 13 2 38 3 3 3 2 2 0 0 2 3 2 2 2 2 2 2"
3,-0.7873,0.9583,"2 2 2 28 2 28 37 11 7 9 2 9 28 7 2 28 2 2 7 7 8 11 11 6 29 28 2 28 2 28 28 2 2 28 10 2 30 9 28 2 28 28 2 2 28 11 7 29 28 2 9 2 28 2 2 11 7 9 2 2 7 2 2 2 7 37 2 2 9 2 2 11 2 2 28 2 9 28 2 9 28 28 28 2 28 29 28 29 28 11 28 9 9 10 2 28 28 2 2 11 27 27 25 27 12 25 39 25 2 12 25 26 35 29 29 25 28 25 12 2 25 39 34 26 12 26 25 25 12 25 25 12 34 25 12 26 27 30 25 25 25 12 12 2 25 25 12 25 12 27 28 12 25 29 26 30 36 12 27 29 29 25 25 12 12 25 27 39 27 2 25 25 25 25 2 25 12 25 26 2 25 25 39 25 12 25 25 2 27 37 30 25 25 27 25 12 25 26 25 25 25 42 25 25 42 25 25 25 25 25 16 26 26 25 25 12 12 27 26 29 42 12 25 25 16 42 25 25 25 25 25 26 12 26 16 42 25 42 25 25 42 25 42 16 42 25 25 25 25 25 26 25 23 25 25 28 27 42 25 42 25 12 25 12 25 16 42 25 42 25 25 42 27 24 27 27 25 42 26 27 25 26 26 25 25 26 25 25 26 25 27 26 25 16 16 16 25 25 26 25 28 12 28 38 28 13 24 32 28 28 3 28 28 30 28 1 33 28 1 31 28 28 31 12 28 1 3 3 1 28 32 29 3 40 0 38 12 12 0 31 23 31 3 32 28 32 13 30 28 0 28 3 38 12 28 23 29 12 28 12 28 29 31 32 29 28 31 28 31 31 32 28 38 28 31 33 12 1 0 3 38 28 28 31 23 29 29 0 28 28 3 28 13 31 13 28 31 1 1 28 41 12 28 12 0 28 28 28 28 29 41 34 41 13 28 28 30 28 28 28 16 28 41 41 29 28 41 28 28 28 28 28 28 28 29 41 12 28 28 28 30 28 35 28 28 29 3 29 28 28 41 0 28 36 13 13 28 28 41 28 28 28 28 28 29 13 28 30 30 30 30 29 28 28 0 0 41 28 41 16 1 41 28 12 12 28 28 41 28 19 41 29 28 30 28 3 19 28 12 38"
4,-0.7749,0.9583,"2 2 2 28 2 28 37 11 7 9 2 9 28 7 2 28 2 2 7 7 8 11 11 6 29 28 2 28 2 28 28 2 2 28 10 2 30 9 28 2 28 28 2 2 28 11 7 29 28 2 9 2 28 2 2 11 7 9 2 2 7 2 2 2 7 37 2 2 9 2 2 11 2 2 28 2 9 28 2 9 28 28 28 2 28 29 28 29 28 11 28 9 9 10 2 28 28 2 2 11 27 27 25 27 12 25 39 25 2 12 25 26 35 29 29 25 28 25 12 2 25 39 34 26 12 26 25 25 12 25 25 12 34 25 12 26 27 30 25 25 25 12 12 2 25 25 12 25 12 27 28 12 25 29 26 30 36 12 27 29 29 25 25 12 12 25 27 39 27 2 25 25 25 25 2 25 12 25 26 2 25 25 39 25 12 25 25 2 27 37 30 25 25 27 25 12 25 26 25 25 25 42 25 25 42 25 25 25 25 25 16 26 26 25 25 12 12 27 26 29 42 12 25 25 16 42 25 25 25 25 25 26 12 26 16 42 25 42 25 25 42 25 42 16 42 25 25 25 25 25 26 25 23 25 25 28 27 42 25 42 25 12 25 12 25 16 42 25 42 25 25 42 27 24 27 27 25 42 26 27 25 26 26 25 25 26 25 25 26 25 27 26 25 16 16 16 25 25 26 25 28 12 28 38 28 13 24 32 28 28 3 28 28 30 28 1 33 28 1 31 28 28 31 12 28 1 3 3 1 28 32 29 3 40 0 38 12 12 0 31 23 31 3 32 28 32 13 30 28 0 28 3 38 12 28 23 29 12 28 12 28 29 31 32 29 28 31 28 31 31 32 28 38 28 31 33 12 1 0 3 38 28 28 31 23 29 29 0 28 28 3 28 13 31 13 28 31 1 1 28 41 12 28 12 0 28 28 28 28 29 41 34 41 13 28 28 30 28 28 28 16 28 41 41 29 28 41 28 28 28 28 28 28 28 29 41 12 28 28 28 30 28 35 28 28 29 3 29 28 28 41 0 28 36 13 13 28 28 41 28 28 28 28 28 29 13 28 30 30 30 30 29 28 28 0 0 41 28 41 16 1 41 28 12 12 28 28 41 28 19 41 29 28 30 28 3 19 28 12 38"
5,-0.7309,0.9310,"12 25 26 25 16 25 12 26 25 25 25 25 16 12 12 16 12 25 25 12 16 25 16 25 12 16 25 27 16 26 12 16 16 26 2 25 2 12 25 12 25 25 12 26 16 12 25 25 12 25 16 25 12 12 25 25 26 12 12 16 25 25 26 25 26 12 25 16 16 25 25 37 12 12 25 16 16 2 25 16 25 27 16 16 16 26 12 26 26 16 25 12 12 16 27 25 2 16 25 25 37 34 35 34 12 34 39 34 2 39 34 25 35 2 36 12 39 39 39 2 12 39 34 39 34 34 4 39 39 39 34 39 34 12 12 2 2 39 34 34 34 36 39 2 34 39 5 34 2 37 27 39 25 39 26 39 36 40 34 25 39 2 39 2 35 39 34 39 35 2 34 34 39 34 2 5 40 39 2 2 39 39 39 39 36 34 34 2 5 37 39 34 39 34 39 39 34 2 39 39 2 8 2 7 2 37 7 2 2 6 31 37 7 2 2 37 8 2 31 2 4 2 2 8 6 2 4 8 2 4 2 0 2 2 2 2 2 2 2 37 2 37 2 2 33 32 2 37 2 2 2 2 2 2 7 7 8 2 6 2 2 7 8 2 9 8 9 2 2 6 31 2 9 8 2 2 4 37 37 6 7 2 37 2 33 2 9 2 2 8 2 2 2 2 2 2 7 2 2 2 39 35 34 35 34 34 36 39 34 34 35 39 39 39 36 39 34 34 34 39 39 34 35 34 40 39 34 39 35 39 39 34 34 36 34 39 39 34 39 39 39 17 34 39 39 36 39 35 36 34 39 34 34 39 39 39 34 39 35 34 36 39 34 34 35 39 9 39 34 39 12 39 39 34 34 34 36 34 35 34 39 39 39 34 35 34 34 36 39 34 34 39 39 39 39 36 34 35 34 39 6 21 37 25 21 2 2 2 1 6 3 6 2 0 5 4 2 1 2 2 2 13 21 2 2 2 4 5 3 13 2 11 9 37 38 1 25 38 2 0 3 2 25 13 22 2 2 2 13 0 0 5 2 6 0 5 38 38 1 0 0 13 2 0 2 2 9 0 38 2 2 0 38 2 27 3 9 0 3 3 2 0 13 2 38 3 3 3 2 2 0 0 2 3 2 2 2 2 2 2"
6,-0.7204,0.9091,"12 25 26 25 16 25 12 26 25 25 25 25 16 12 12 16 12 25 25 12 16 25 16 25 12 16 25 27 16 26 12 16 16 26 2 25 2 12 25 12 25 25 12 26 16 12 25 25 12 25 16 25 12 12 25 25 26 12 12 16 25 25 26 25 26 12 25 16 16 25 25 37 12 12 25 16 16 2 25 16 25 27 16 16 16 26 12 26 26 16 25 12 12 16 27 25 2 16 25 25 17 17 35 34 12 17 17 34 2 39 17 18 17 17 17 17 39 17 39 2 12 17 17 17 17 17 18 39 39 17 18 39 18 12 12 17 2 18 34 17 17 17 39 2 34 18 18 17 17 17 27 17 25 17 17 17 17 40 17 25 17 17 39 17 17 39 34 39 17 2 17 17 17 17 17 18 17 17 17 2 18 17 39 17 17 17 34 17 5 17 17 17 18 17 17 39 34 17 39 17 2 8 2 7 2 37 7 2 2 6 31 37 7 2 2 37 8 2 31 2 4 2 2 8 6 2 4 8 2 4 2 0 2 2 2 2 2 2 2 37 2 37 2 2 33 32 2 37 2 2 2 2 2 2 7 7 8 2 6 2 2 7 8 2 9 8 9 2 2 6 31 2 9 8 2 2 4 37 37 6 7 2 37 2 33 2 9 2 2 8 2 2 2 2 2 2 7 2 2 2 39 35 34 35 34 34 36 39 34 34 35 39 39 39 36 39 34 34 34 39 39 34 35 34 40 39 34 39 35 39 39 34 34 36 34 39 39 34 39 39 39 17 34 39 39 36 39 35 36 34 39 34 34 39 39 39 34 39 35 34 36 39 34 34 35 39 9 39 34 39 12 39 39 34 34 34 36 34 35 34 39 39 39 34 35 34 34 36 39 34 34 39 39 39 39 36 34 35 34 39 6 21 37 25 21 2 2 2 1 6 3 6 2 0 5 4 2 1 2 2 2 13 21 2 2 2 4 5 3 13 2 11 9 37 38 1 25 38 2 0 3 2 25 13 22 2 2 2 13 0 0 5 2 6 0 5 38 38 1 0 0 13 2 0 2 2 9 0 38 2 2 0 38 2 27 3 9 0 3 3 2 0 13 2 38 3 3 3 2 2 0 0 2 3 2 2 2 2 2 2"
7,-0.6889,0.8261,"21 9 23 39 10 9 39 39 39 9 39 39 39 9 39 39 39 11 39 9 9 39 39 39 23 39 39 39 11 39 39 39 9 3 39 39 11 39 39 9 24 39 39 23 39 39 9 0 13 9 39 39 39 39 39 39 9 39 23 9 39 39 39 39 39 24 39 39 39 3 39 39 11 39 13 39 21 39 11 39 23 39 9 23 39 1 9 39 39 39 39 9 39 39 39 39 23 39 39 39 37 34 34 34 34 35 34 34 2 34 34 34 35 36 34 12 39 39 39 34 12 34 34 39 34 34 4 39 34 34 34 34 34 12 12 2 34 39 34 34 34 34 39 2 34 34 34 34 2 34 34 34 25 39 34 39 34 34 34 34 39 34 34 34 34 34 34 34 34 34 34 34 35 34 2 34 34 39 34 34 36 39 39 39 36 34 34 2 5 34 36 34 39 34 39 39 34 36 39 34 25 25 25 25 25 27 12 25 40 40 25 40 25 25 27 25 25 40 40 40 40 26 40 40 16 26 40 25 40 25 40 26 40 26 40 40 25 40 40 25 25 25 40 40 40 40 40 25 40 25 40 40 26 40 25 27 25 25 27 40 27 25 40 27 25 26 12 27 25 25 40 40 25 25 40 40 29 27 25 25 25 25 25 40 40 25 40 26 40 40 25 25 25 25 40 16 25 40 26 40 17 12 39 16 17 39 39 12 17 17 39 39 16 34 17 34 34 34 16 34 16 17 35 39 16 34 34 34 16 39 34 17 12 36 17 36 12 39 40 17 16 12 16 16 34 17 16 16 17 16 16 17 12 40 17 39 17 39 17 34 16 16 12 34 12 40 18 17 39 16 39 16 39 12 16 39 39 39 16 17 12 39 17 12 16 17 16 36 16 39 16 39 17 34 12 12 39 35 12 16 33 31 32 28 24 31 31 31 32 19 17 31 15 15 31 33 32 31 31 33 19 17 17 33 32 31 32 19 32 12 31 15 17 23 12 31 32 31 28 19 28 29 28 17 33 31 30 15 32 23 31 19 17 17 31 31 31 19 31 24 31 17 31 14 31 19 12 33 31 15 31 24 31 31 31 17 32 28 19 31 31 17 23 23 31 23 28 31 31 19 15 31 17 31 14 31 17 33 23 31"
8,-0.6860,0.8636,"2 2 2 28 2 28 37 11 7 9 2 9 28 7 2 28 2 2 7 7 8 11 11 6 29 28 2 28 2 28 28 2 2 28 10 2 30 9 28 2 28 28 2 2 28 11 7 29 28 2 9 2 28 2 2 11 7 9 2 2 7 2 2 2 7 37 2 2 9 2 2 11 2 2 28 2 9 28 2 9 28 28 28 2 28 29 28 29 28 11 28 9 9 10 2 28 28 2 2 11 27 27 25 27 12 25 39 25 2 12 25 26 35 29 29 25 28 25 12 2 25 39 34 26 12 26 25 25 12 25 25 12 34 25 12 26 27 30 25 25 25 12 12 2 25 25 12 25 12 27 28 12 25 29 26 30 36 12 27 29 29 25 25 12 12 25 27 39 27 2 25 25 25 25 2 25 12 25 26 2 25 25 39 25 12 25 25 2 27 37 30 25 25 27 25 12 25 26 25 25 25 42 25 25 42 25 25 25 25 25 16 26 26 25 25 12 12 27 26 29 42 12 25 25 16 42 25 25 25 25 25 26 12 26 16 42 25 42 25 25 42 25 42 16 42 25 25 25 25 25 26 25 23 25 25 28 27 42 25 42 25 12 25 12 25 16 42 25 42 25 25 42 27 24 27 27 25 42 26 27 25 26 26 25 25 26 25 25 26 25 27 26 25 16 16 16 25 25 26 25 28 12 28 38 28 13 24 32 28 28 3 28 28 30 28 1 33 28 1 31 28 28 31 12 28 1 3 3 1 28 32 29 3 40 0 38 12 12 0 31 23 31 3 32 28 32 13 30 28 0 28 3 38 12 28 23 29 12 28 12 28 29 31 32 29 28 31 28 31 31 32 28 38 28 31 33 12 1 0 3 38 28 28 31 23 29 29 0 28 28 3 28 13 31 13 28 31 1 1 28 41 12 28 12 0 28 28 28 28 29 41 34 41 13 28 28 30 28 28 28 16 28 41 41 29 28 41 28 28 28 28 28 28 28 29 41 12 28 28 28 30 28 35 28 28 29 3 29 28 28 41 0 28 36 13 13 28 28 41 28 28 28 28 28 29 13 28 30 30 30 30 29 28 28 0 0 41 28 41 16 1 41 28 12 12 28 28 41 28 19 41 29 28 30 28 3 19 28 12 38"
9,-0.6570,0.8077,"39 39 2 7 8 39 39 8 8 7 2 28 2 2 39 39 39 39 2 8 28 39 2 39 30 39 7 2 39 2 7 28 39 28 7 2 29 12 7 2 2 2 2 39 2 2 7 7 39 2 34 36 39 39 39 7 2 7 39 2 39 7 39 39 39 28 34 7 39 2 2 30 2 7 8 39 2 39 12 7 30 39 39 2 39 39 30 7 39 28 39 39 39 2 28 28 39 2 28 2 37 34 35 34 12 37 39 34 4 37 5 25 35 2 6 12 39 39 39 2 5 4 2 37 34 34 4 39 37 39 34 39 34 6 12 2 2 4 34 6 34 4 5 2 34 39 5 2 2 5 6 39 25 39 2 4 4 40 37 25 4 2 39 2 6 39 34 6 4 2 4 6 39 37 5 6 5 2 37 4 4 37 4 5 36 34 34 2 5 37 39 34 5 34 39 4 34 4 39 39 2 8 2 7 2 37 7 2 2 6 31 37 7 2 2 37 8 2 31 2 4 2 2 8 6 2 4 8 2 4 2 0 2 2 2 2 2 2 2 37 2 37 2 2 33 32 2 37 2 2 2 2 2 2 7 7 8 2 6 2 2 7 8 2 9 8 9 2 2 6 31 2 9 8 2 2 4 37 37 6 7 2 37 2 33 2 9 2 2 8 2 2 2 2 2 2 7 2 2 2 8 18 11 5 9 38 7 2 2 6 2 7 2 7 0 38 2 7 2 8 9 7 2 2 18 2 17 18 9 2 2 2 7 38 7 2 8 8 1 5 2 9 2 2 2 2 2 9 8 2 1 13 0 37 2 2 7 2 8 2 7 2 2 2 7 9 10 7 2 2 2 2 7 2 3 8 6 38 1 2 2 7 2 2 7 2 7 11 18 2 9 7 9 5 2 2 7 7 2 9 2 9 9 25 2 10 11 2 1 2 11 6 2 2 2 2 10 9 2 10 2 13 21 2 2 2 2 5 3 10 2 2 2 2 2 2 9 2 11 9 3 2 2 2 22 2 2 2 2 2 2 2 9 2 0 5 2 38 2 0 2 11 2 0 2 2 9 0 2 9 2 0 2 2 27 2 9 0 9 2 2 0 13 2 2 2 2 3 10 2 2 2 2 3 11 2 10 2 2 2"
10,-0.6395,0.7727,"21 9 23 39 10 9 39 39 39 9 39 39 39 9 39 39 39 11 39 9 9 39 39 39 23 39 39 39 11 39 39 39 9 3 39 39 11 39 39 9 24 39 39 23 39 39 9 0 13 9 39 39 39 39 39 39 9 39 23 9 39 39 39 39 39 24 39 39 39 3 39 39 11 39 13 39 21 39 11 39 23 39 9 23 39 1 9 39 39 39 39 9 39 39 39 39 23 39 39 39 37 34 34 34 34 35 34 34 2 34 34 34 35 36 34 12 39 39 39 34 12 34 34 39 34 34 4 39 34 34 34 34 34 12 12 2 34 39 34 34 34 34 39 2 34 34 34 34 2 34 34 34 25 39 34 39 34 34 34 34 39 34 34 34 34 34 34 34 34 34 34 34 35 34 2 34 34 39 34 34 36 39 39 39 36 34 34 2 5 34 36 34 39 34 39 39 34 36 39 34 25 25 25 25 25 27 12 25 40 40 25 40 25 25 27 25 25 40 40 40 40 26 40 40 16 26 40 25 40 25 40 26 40 26 40 40 25 40 40 25 25 25 40 40 40 40 40 25 40 25 40 40 26 40 25 27 25 25 27 40 27 25 40 27 25 26 12 27 25 25 40 40 25 25 40 40 29 27 25 25 25 25 25 40 40 25 40 26 40 40 25 25 25 25 40 16 25 40 26 40 17 12 39 16 17 39 39 12 17 17 39 39 16 34 17 34 34 34 16 34 16 17 35 39 16 34 34 34 16 39 34 17 12 36 17 36 12 39 40 17 16 12 16 16 34 17 16 16 17 16 16 17 12 40 17 39 17 39 17 34 16 16 12 34 12 40 18 17 39 16 39 16 39 12 16 39 39 39 16 17 12 39 17 12 16 17 16 36 16 39 16 39 17 34 12 12 39 35 12 16 33 31 32 28 24 31 31 31 32 19 17 31 15 15 31 33 32 31 31 33 19 17 17 33 32 31 32 19 32 12 31 15 17 23 12 31 32 31 28 19 28 29 28 17 33 31 30 15 32 23 31 19 17 17 31 31 31 19 31 24 31 17 31 14 31 19 12 33 31 15 31 24 31 31 31 17 32 28 19 31 31 17 23 23 31 23 28 31 31 19 15 31 17 31 14 31 17 33 23 31"
