seed,ae_fitness,ae_winrate,tier1_winrate,tier2_winrate,tier3_winrate,tier4_winrate,tier5_winrate
31,-0.881,0.75,0.9,0.55,0.4,0.35,0.4
32,-0.8107,0.4,0.8,0.65,0.5,0.5,0.4
33,-0.8178,0.45,0.9,0.65,0.45,0.5,0.25
34,-0.8079,0.2,0.9,0.6,0.3,0.25,0.35
35,-0.8061,0.5,0.85,0.65,0.45,0.35,0.25
36,-0.7838,0.85,0.8,0.65,0.35,0.3,0.5
37,-0.8266,0.6,0.9,0.75,0.35,0.45,0.55
38,-0.7942,0.6,1.0,0.65,0.4,0.55,0.45
39,-0.7779,0.55,0.8,0.65,0.3,0.2,0.4
40,-0.8015,0.75,0.7,0.55,0.4,0.55,0.4
41,-0.8251,0.45,0.95,0.55,0.5,0.4,0.35
42,-0.8578,0.3,1.0,0.65,0.35,0.35,0.3
43,-0.7987,0.3,0.9,0.55,0.4,0.35,0.4
44,-0.811,0.85,0.9,0.55,0.55,0.5,0.6
45,-0.8034,0.5,0.9,0.5,0.15,0.2,0.2
46,-0.8009,0.9,0.85,0.55,0.4,0.3,0.3
47,-0.8334,0.5,0.9,0.75,0.45,0.3,0.5
48,-0.773,0.55,0.9,0.55,0.5,0.45,0.4
49,-0.8362,0.2,0.85,0.7,0.45,0.45,0.35
50,-0.8437,0.55,0.85,0.75,0.55,0.6,0.55
51,-0.7735,0.75,0.8,0.75,0.25,0.45,0.3
52,-0.8382,0.65,0.75,0.6,0.45,0.45,0.45
53,-0.8017,0.35,0.95,0.6,0.55,0.55,0.55
54,-0.7817,0.55,0.8,0.55,0.55,0.45,0.35
55,-0.8367,0.25,0.8,0.6,0.55,0.45,0.4
56,-0.8343,0.3,0.85,0.75,0.45,0.4,0.35
57,-0.8001,0.75,0.9,0.6,0.4,0.45,0.35
58,-0.8858,0.95,0.95,0.6,0.45,0.4,0.4
59,-0.7602,0.15,0.8,0.55,0.4,0.45,0.5
60,-0.8531,0.05,0.85,0.7,0.3,0.3,0.25
