rank,fitness,winrate,genome
1,-0.8061,0.9583,"34 35 2 34 2 34 34 34 29 34 2 10 34 34 35 17 34 36 34 17 2 11 34 34 34 36 34 34 34 9 17 10 30 2 34 34 9 2 34 10 34 34 34 34 29 34 10 18 12 34 35 34 34 34 32 34 2 34 34 17 35 30 2 2 35 2 36 34 17 11 2 34 34 2 2 11 34 2 34 2 36 34 34 36 34 34 36 17 18 34 34 36 11 34 18 2 9 34 34 34 12 25 40 25 6 26 25 26 25 40 25 40 26 25 25 25 25 37 25 40 27 40 25 16 25 25 40 25 27 25 25 40 40 12 25 27 27 25 27 40 25 27 25 25 25 40 27 40 40 40 25 40 40 19 40 40 40 40 26 25 40 27 39 25 25 19 40 40 27 25 25 40 27 25 25 40 25 20 25 16 40 25 40 16 26 25 40 40 25 40 25 12 26 5 26 25 40 25 40 25 17 17 31 39 17 31 31 31 31 31 31 31 39 39 33 31 19 31 31 39 31 18 31 31 31 15 17 31 39 31 31 39 31 31 14 39 17 17 39 39 32 31 17 17 31 31 31 31 32 17 31 39 31 31 39 32 0 33 31 0 33 31 31 11 31 39 17 32 17 32 39 39 33 31 31 31 31 17 39 39 33 0 31 31 32 31 31 31 18 31 31 3 31 17 31 31 39 39 31 31 13 0 1 38 42 42 3 30 2 42 3 42 3 42 42 29 42 38 28 28 38 38 12 0 30 12 12 13 42 0 5 29 28 0 1 12 32 38 3 38 28 12 30 1 38 29 28 3 42 0 13 4 42 38 28 6 30 1 0 42 3 38 28 1 1 42 1 30 28 42 0 3 16 13 13 0 13 13 30 30 38 28 28 28 28 3 13 38 42 28 28 42 29 1 42 0 0 28 28 3 16 25 25 1 27 25 0 3 3 12 3 16 42 16 0 3 26 25 0 27 0 12 42 0 0 3 0 0 19 13 3 12 3 25 16 26 0 0 12 26 0 0 25 0 25 25 12 3 4 0 16 0 38 12 41 26 4 0 26 2 16 3 27 16 12 26 3 25 3 16 25 3 13 25 27 25 25 0 0 16 5 0 3 16 27 3 0 25 12 25 25 25 0 0 0 0 0 3 3 25"
2,-0.8013,1.0000,"14 12 39 6 14 12 39 14 15 15 12 15 14 15 15 1 2 12 0 14 12 12 12 15 14 12 12 2 12 15 38 12 6 15 12 14 12 2 15 14 12 12 12 15 1 12 15 2 14 14 15 2 14 14 14 2 12 2 2 2 2 2 12 2 15 2 2 39 12 2 5 4 37 12 15 2 12 12 15 15 2 15 12 15 12 2 39 14 14 12 4 12 2 14 14 39 4 2 12 15 12 16 25 25 6 16 16 16 25 39 25 25 16 25 12 25 2 37 25 25 16 12 25 16 16 25 37 25 25 12 25 16 27 12 25 25 2 12 27 25 25 27 16 16 2 20 2 16 12 2 25 25 27 19 16 25 25 16 26 25 4 25 39 25 25 19 25 16 16 12 36 2 16 25 25 25 25 20 25 16 4 25 12 16 25 12 20 2 16 2 16 12 20 5 25 27 6 25 16 16 23 0 9 41 7 38 7 24 38 2 12 2 23 7 41 23 12 12 38 1 3 23 1 8 23 1 38 23 12 12 2 8 3 12 1 0 23 13 12 13 24 13 41 23 38 24 12 24 9 23 3 3 12 38 13 13 2 7 3 8 7 24 12 1 3 0 1 0 13 1 24 1 12 12 0 12 3 13 38 7 1 24 2 23 0 12 41 0 0 13 1 12 7 23 0 23 12 13 23 8 39 39 39 2 39 37 39 4 2 39 39 39 2 39 4 2 2 4 2 2 2 39 39 2 2 39 4 2 39 39 39 5 2 38 2 39 39 2 1 39 39 2 39 4 0 39 2 39 5 2 2 39 2 39 39 2 39 3 4 39 3 2 13 6 2 0 39 39 39 4 32 2 4 39 2 4 39 39 2 2 39 2 2 39 2 2 5 39 38 37 37 2 5 2 39 37 39 2 2 2 17 18 17 17 14 17 17 2 17 0 12 4 17 2 41 17 0 17 17 17 12 4 17 17 18 17 17 17 17 18 17 18 17 17 6 1 15 2 12 13 41 18 18 17 18 17 17 18 12 17 17 18 18 13 17 18 15 17 18 17 2 2 0 12 2 18 17 12 17 41 12 2 18 12 4 17 6 17 14 17 17 17 12 17 18 18 17 17 17 12 17 12 17 17 17 17 18 17 12 2"
3,-0.8010,1.0000,"14 12 39 6 14 12 39 14 15 15 12 15 14 15 15 1 2 12 0 14 12 12 12 15 14 12 12 2 12 15 38 12 6 15 12 14 12 2 15 14 12 12 12 15 1 12 15 2 14 14 15 2 14 14 14 2 12 2 2 2 2 2 12 2 15 2 2 39 12 2 5 4 37 12 15 2 12 12 15 15 2 15 12 15 12 2 39 14 14 12 4 12 2 14 14 39 4 2 12 15 12 16 25 25 6 16 16 16 25 39 25 25 16 25 12 25 2 37 25 25 16 12 25 16 16 25 37 25 25 12 25 16 27 12 25 25 2 12 27 25 25 27 16 16 2 20 2 16 12 2 25 25 27 19 16 25 25 16 26 25 4 25 39 25 25 19 25 16 16 12 36 2 16 25 25 25 25 20 25 16 4 25 12 16 25 12 20 2 16 2 16 12 20 5 25 27 6 25 16 16 23 0 9 41 7 38 7 24 38 2 12 2 23 7 41 23 12 12 38 1 3 23 1 8 23 1 38 23 12 12 2 8 3 12 1 0 23 13 12 13 24 13 41 23 38 24 12 24 9 23 3 3 12 38 13 13 2 7 3 8 7 24 12 1 3 0 1 0 13 1 24 1 12 12 0 12 3 13 38 7 1 24 2 23 0 12 41 0 0 13 1 12 7 23 0 23 12 13 23 8 39 39 39 2 39 37 39 4 2 39 39 39 2 39 4 2 2 4 2 2 2 39 39 2 2 39 4 2 39 39 39 5 2 38 2 39 39 2 1 39 39 2 39 4 0 39 2 39 5 2 2 39 2 39 39 2 39 3 4 39 3 2 13 6 2 0 39 39 39 4 32 2 4 39 2 4 39 39 2 2 39 2 2 39 2 2 5 39 38 37 37 2 5 2 39 37 39 2 2 2 17 18 17 17 14 17 17 2 17 0 12 4 17 2 41 17 0 17 17 17 12 4 17 17 18 17 17 17 17 18 17 18 17 17 6 1 15 2 12 13 41 18 18 17 18 17 17 18 12 17 17 18 18 13 17 18 15 17 18 17 2 2 0 12 2 18 17 12 17 41 12 2 18 12 4 17 6 17 14 17 17 17 12 17 18 18 17 17 17 12 17 12 17 17 17 17 18 17 12 2"
4,-0.7987,0.9375,"28 28 2 28 28 39 28 28 2 28 28 37 28 28 37 7 7 28 7 28 28 37 7 28 28 6 28 28 6 0 30 2 28 28 29 2 28 28 28 7 28 28 28 28 37 37 6 37 8 29 39 2 28 29 29 28 28 28 28 28 29 28 0 28 28 28 39 2 6 29 28 28 17 5 4 39 28 2 28 4 4 28 7 30 29 7 37 2 30 2 28 30 28 30 37 28 37 8 28 28 12 16 25 25 6 16 16 16 25 39 25 25 16 25 12 25 2 37 25 25 16 12 25 16 16 25 37 25 25 12 25 16 27 12 25 25 2 12 27 25 25 27 16 16 2 20 2 16 12 2 25 25 27 19 16 25 25 16 26 25 4 25 39 25 25 19 25 16 16 12 36 2 16 25 25 25 25 20 25 16 4 25 12 16 25 12 20 2 16 2 16 12 20 5 25 27 6 25 16 16 28 28 25 28 28 30 28 29 25 28 27 28 28 29 27 27 28 28 28 28 28 25 0 1 25 28 25 38 27 29 29 28 28 28 28 28 13 30 28 38 28 25 25 28 26 28 28 30 29 28 28 25 41 28 30 28 25 29 28 21 0 12 30 30 29 25 25 28 13 28 27 27 28 30 28 28 28 38 0 28 12 30 25 28 29 13 12 28 38 28 28 28 29 26 28 28 28 25 28 29 7 39 39 8 13 2 8 7 39 7 7 39 7 7 7 7 7 7 7 7 7 39 2 39 7 7 7 7 8 7 7 8 8 7 7 7 8 7 7 7 39 39 7 39 39 2 7 7 7 7 7 7 39 8 7 39 7 8 39 3 39 7 39 7 7 7 39 39 7 7 8 7 39 7 39 7 8 7 7 39 7 7 7 7 39 7 7 31 39 7 8 7 39 7 7 7 7 8 8 8 2 9 9 9 10 9 9 9 12 11 40 30 9 9 9 9 9 30 30 9 9 40 40 9 10 28 9 29 11 9 9 9 9 30 28 12 30 12 30 9 9 9 9 40 28 11 9 28 9 9 9 30 40 10 10 28 40 8 28 28 9 28 9 9 9 40 9 28 28 9 30 9 30 9 12 9 10 28 28 20 9 28 9 30 9 10 9 9 40 9 28 9 11 11 11 9 9 9 9 9"
5,-0.7639,0.9667,"2 12 39 6 6 12 2 14 15 15 6 15 14 15 15 1 37 37 2 14 12 12 37 4 14 12 6 4 12 15 38 37 2 15 12 2 12 2 15 2 12 37 4 5 1 12 37 2 14 14 15 2 5 14 14 2 4 2 2 2 2 2 12 2 15 2 2 5 12 2 5 4 37 12 6 4 12 2 15 2 2 15 12 15 5 6 39 14 14 12 4 12 2 14 14 39 4 2 12 37 12 16 25 25 6 16 16 16 25 39 25 25 16 25 12 25 2 37 25 25 16 12 25 16 16 25 37 25 25 12 25 16 27 12 25 25 2 12 27 25 25 27 16 16 2 20 2 16 12 2 25 25 27 19 16 25 25 16 26 25 4 25 39 25 25 19 25 16 16 12 36 2 16 25 25 25 25 20 25 16 4 25 12 16 25 12 20 2 16 2 16 12 20 5 25 27 6 25 16 16 23 0 9 41 7 38 7 24 38 2 12 2 23 7 41 23 12 12 38 1 3 23 1 8 23 1 38 23 12 12 2 8 3 12 1 0 23 13 12 13 24 13 41 23 38 24 12 24 9 23 3 3 12 38 13 13 2 7 3 8 7 24 12 1 3 0 1 0 13 1 24 1 12 12 0 12 3 13 38 7 1 24 2 23 0 12 41 0 0 13 1 12 7 23 0 23 12 13 23 8 39 39 39 2 39 37 39 4 2 39 39 39 2 39 4 2 2 4 2 2 2 39 39 2 2 39 4 2 39 39 39 5 2 38 2 39 39 2 1 39 39 2 39 4 0 39 2 39 5 2 2 39 2 39 39 2 39 3 4 39 3 2 13 6 2 0 39 39 39 4 32 2 4 39 2 4 39 39 2 2 39 2 2 39 2 2 5 39 38 37 37 2 5 2 39 37 39 2 2 2 17 18 17 17 14 17 17 2 17 0 12 4 17 2 41 17 0 17 17 17 12 4 17 17 18 17 17 17 17 18 17 18 17 17 6 1 15 2 12 13 41 18 18 17 18 17 17 18 12 17 17 18 18 13 17 18 15 17 18 17 2 2 0 12 2 18 17 12 17 41 12 2 18 12 4 17 6 17 14 17 17 17 12 17 18 18 17 17 17 12 17 12 17 17 17 17 18 17 12 2"
6,-0.7556,0.9200,"28 28 2 39 39 39 28 28 2 39 28 37 28 28 39 39 7 28 39 39 28 39 7 28 28 39 28 28 39 0 39 2 28 28 29 2 28 28 28 39 28 39 28 28 39 37 39 37 39 29 39 2 28 29 39 28 39 39 28 39 29 39 0 39 39 39 39 39 39 39 28 39 17 5 4 39 28 2 28 4 4 28 39 30 29 7 37 39 39 2 28 39 39 39 37 39 37 8 39 28 12 16 25 25 6 16 16 16 25 39 25 25 16 25 12 25 2 37 25 25 16 12 25 16 16 25 37 25 25 12 25 16 27 12 25 25 2 12 27 25 25 27 16 16 2 20 2 16 12 2 25 25 27 19 16 25 25 16 26 25 4 25 39 25 25 19 25 16 16 12 36 2 16 25 25 25 25 20 25 16 4 25 12 16 25 12 20 2 16 2 16 12 20 5 25 27 6 25 16 16 41 28 25 28 41 30 3 29 25 28 41 28 41 29 41 41 3 41 41 3 0 25 41 1 25 28 25 38 41 41 41 28 28 28 41 1 13 41 28 41 28 41 25 0 41 28 41 3 29 41 28 25 41 38 41 0 41 29 28 41 0 41 41 30 38 25 0 3 41 41 27 27 28 30 38 0 41 3 0 38 12 41 25 28 0 38 12 28 41 28 28 3 41 41 1 41 28 41 28 1 7 39 39 8 13 2 8 7 39 7 7 39 7 7 7 7 7 7 7 7 7 39 2 39 7 7 7 7 8 7 7 8 8 7 7 7 8 7 7 7 39 39 7 39 39 2 7 7 7 7 7 7 39 8 7 39 7 8 39 3 39 7 39 7 7 7 39 39 7 7 8 7 39 7 39 7 8 7 7 39 7 7 7 7 39 7 7 31 39 7 8 7 39 7 7 7 7 8 8 8 2 9 9 9 10 9 9 9 12 11 40 30 9 9 9 9 9 30 30 9 9 40 40 9 10 28 9 29 11 9 9 9 9 30 28 12 30 12 30 9 9 9 9 40 28 11 9 28 9 9 9 30 40 10 10 28 40 8 28 28 9 28 9 9 9 40 9 28 28 9 30 9 30 9 12 9 10 28 28 20 9 28 9 30 9 10 9 9 40 9 28 9 11 11 11 9 9 9 9 9"
7,-0.7281,0.8889,"31 14 15 29 31 15 31 15 19 40 17 17 17 31 31 40 40 19 17 28 15 33 19 31 17 31 40 19 15 31 31 31 17 40 19 15 31 40 40 28 17 28 19 19 28 40 40 14 40 40 31 29 32 33 40 40 19 33 31 31 19 14 14 17 31 28 31 33 17 19 40 19 31 31 14 14 33 17 28 17 15 17 12 15 15 31 14 19 17 15 40 31 28 32 14 31 17 33 15 15 2 38 1 38 2 31 1 3 31 3 2 31 3 31 0 13 4 3 31 32 23 31 1 38 17 18 0 2 2 38 31 32 33 31 17 2 32 31 2 0 23 1 31 13 3 17 38 3 31 1 23 38 37 31 0 31 31 3 0 17 2 1 23 33 31 0 33 31 0 0 31 5 31 0 38 31 31 0 31 1 38 23 31 31 38 2 3 31 2 33 31 13 31 5 2 1 33 33 0 23 31 16 12 40 32 16 41 40 40 16 32 40 16 31 16 40 12 12 16 40 0 2 40 12 40 31 12 40 12 40 31 12 32 33 16 40 31 37 31 39 40 12 32 31 40 32 40 13 16 16 16 31 31 16 41 16 1 31 12 31 39 12 40 31 12 2 39 31 31 31 40 4 40 39 40 40 12 2 2 2 16 12 41 40 16 2 41 41 40 31 16 40 16 39 31 12 2 33 12 16 25 25 23 25 16 25 26 25 25 12 25 26 25 12 16 12 12 23 25 12 25 27 12 24 25 12 24 16 24 12 27 16 25 12 12 25 26 25 24 25 25 25 25 12 25 25 25 12 16 16 27 25 25 12 16 25 27 16 27 23 12 24 16 25 25 25 12 16 25 25 25 12 12 16 16 16 25 12 16 16 25 12 25 25 16 25 25 25 25 25 16 12 16 25 16 41 25 25 25 25 17 18 17 17 14 17 17 2 17 0 12 4 17 2 41 17 0 17 17 17 12 4 17 17 18 17 17 17 17 18 17 18 17 17 6 1 15 2 12 13 41 18 18 17 18 17 17 18 12 17 17 18 18 13 17 18 15 17 18 17 2 2 0 12 2 18 17 12 17 41 12 2 18 12 4 17 6 17 14 17 17 17 12 17 18 18 17 17 17 12 17 12 17 17 17 17 18 17 12 2"
8,-0.7118,0.8636,"36 34 34 34 35 36 35 2 34 39 34 13 34 36 39 34 34 2 34 36 39 39 36 34 35 34 34 34 39 34 39 34 34 39 37 39 39 2 35 36 39 39 34 39 1 36 2 39 36 39 34 39 34 2 6 2 34 34 34 34 36 39 34 34 39 39 36 39 34 39 5 34 36 34 34 39 2 34 34 36 39 34 35 3 34 36 36 34 39 34 34 5 36 36 39 35 39 2 35 35 12 39 39 25 25 39 16 25 25 39 25 26 39 39 39 26 39 39 25 25 39 26 25 39 16 39 39 25 39 12 39 39 27 12 25 39 2 25 27 25 39 39 25 25 2 39 27 39 39 25 25 25 27 39 25 39 26 39 39 39 4 25 39 39 39 39 25 39 16 39 25 2 16 25 25 26 25 39 26 39 4 27 25 27 25 26 25 39 25 2 16 12 39 27 25 25 39 25 39 25 28 28 25 19 19 19 19 19 25 20 19 19 28 19 20 27 19 28 28 28 28 19 20 1 25 28 25 19 20 29 29 19 19 20 28 28 19 30 19 38 19 25 25 19 19 28 19 19 29 28 28 20 20 28 19 28 25 19 19 19 20 20 30 19 29 25 25 19 13 28 27 19 19 19 19 28 19 19 19 28 20 19 25 19 19 19 19 19 20 19 19 28 20 26 20 19 19 19 19 19 20 19 20 19 19 19 20 17 18 18 17 17 17 17 18 17 17 19 17 19 17 17 20 19 20 42 19 19 19 42 20 20 19 38 17 19 19 19 19 19 20 19 18 19 42 42 19 42 19 18 19 19 19 17 19 17 19 17 42 19 19 19 13 19 19 19 19 19 19 19 17 20 20 19 20 17 19 19 42 19 19 19 17 20 17 19 18 17 42 19 19 19 20 20 19 19 20 17 19 19 36 12 12 12 10 9 12 9 12 34 34 36 12 9 35 12 12 30 30 9 9 40 40 9 10 12 12 12 36 9 9 9 34 12 12 34 12 12 34 12 12 36 12 12 28 34 9 12 12 9 9 36 35 10 12 28 34 8 28 12 9 12 12 12 9 36 9 28 28 9 35 9 12 34 34 12 12 12 28 12 12 12 12 12 34 12 34 35 40 12 12 9 12 12 11 12 12 12 9 12"
9,-0.7066,0.8846,"10 39 2 17 11 39 5 10 2 2 17 9 2 10 10 17 2 6 2 5 2 2 2 2 39 2 11 2 2 0 2 11 17 2 2 2 9 39 17 11 9 9 9 28 9 39 2 39 10 9 39 2 4 10 9 2 9 4 39 17 6 2 0 2 2 39 39 10 2 2 2 39 17 2 17 39 17 39 5 11 2 39 2 39 2 2 2 2 2 2 17 6 39 11 2 2 9 9 2 2 22 16 37 16 27 25 26 25 25 6 6 25 25 25 19 12 6 9 25 16 25 25 22 37 5 25 4 2 26 26 25 5 27 6 25 37 12 12 12 25 25 2 6 27 5 5 2 22 37 26 12 37 12 25 25 37 25 4 9 27 9 16 2 26 26 4 12 27 37 25 2 25 37 24 27 19 5 2 2 25 2 6 4 2 2 25 6 9 2 25 26 16 4 25 6 5 9 6 27 37 42 12 21 16 42 12 28 42 21 42 16 27 21 16 21 4 12 16 21 42 42 42 42 42 30 42 12 16 42 16 42 16 21 12 42 42 42 12 42 42 30 28 16 12 42 37 42 42 16 12 21 42 2 12 21 21 28 21 29 21 16 16 12 29 42 12 42 42 12 42 12 21 16 28 42 12 28 42 42 28 42 42 16 25 21 16 42 21 21 42 12 21 16 42 12 42 16 42 28 16 9 9 9 2 2 2 2 9 37 2 2 9 9 2 9 11 11 38 37 2 4 2 9 9 38 37 6 9 11 28 10 0 9 9 2 9 4 11 1 29 0 6 9 4 0 37 38 9 2 5 2 9 3 37 6 6 9 3 1 13 10 9 6 9 11 11 1 2 10 31 9 6 2 6 5 6 2 9 9 9 9 9 38 9 2 4 5 10 38 9 6 9 2 4 2 9 5 9 6 3 17 18 17 17 14 17 17 2 17 0 12 4 17 2 41 17 0 17 17 17 12 4 17 17 18 17 17 17 17 18 17 18 17 17 6 1 15 2 12 13 41 18 18 17 18 17 17 18 12 17 17 18 18 13 17 18 15 17 18 17 2 2 0 12 2 18 17 12 17 41 12 2 18 12 4 17 6 17 14 17 17 17 12 17 18 18 17 17 17 12 17 12 17 17 17 17 18 17 12 2"
10,-0.6935,0.8462,"36 34 34 34 35 36 35 2 34 39 34 13 34 36 39 34 34 2 34 36 39 39 36 34 35 34 34 34 39 34 39 34 34 39 37 39 39 2 35 36 39 39 34 39 1 36 2 39 36 39 34 39 34 2 6 2 34 34 34 34 36 39 34 34 39 39 36 39 34 39 5 34 36 34 34 39 2 34 34 36 39 34 35 3 34 36 36 34 39 34 34 5 36 36 39 35 39 2 35 35 12 39 39 25 25 39 16 25 25 39 25 26 39 39 39 26 39 39 25 25 39 26 25 39 16 39 39 25 39 12 39 39 27 12 25 39 2 25 27 25 39 39 25 25 2 39 27 39 39 25 25 25 27 39 25 39 26 39 39 39 4 25 39 39 39 39 25 39 16 39 25 2 16 25 25 26 25 39 26 39 4 27 25 27 25 26 25 39 25 2 16 12 39 27 25 25 39 25 39 25 28 28 25 19 19 19 19 19 25 20 19 19 28 19 20 27 19 28 28 28 28 19 20 1 25 28 25 19 20 29 29 19 19 20 28 28 19 30 19 38 19 25 25 19 19 28 19 19 29 28 28 20 20 28 19 28 25 19 19 19 20 20 30 19 29 25 25 19 13 28 27 19 19 19 19 28 19 19 19 28 20 19 25 19 19 19 19 19 20 19 19 28 20 26 20 19 19 19 19 19 20 19 20 19 19 19 20 17 18 18 17 17 17 17 18 17 17 19 17 19 17 17 20 19 20 42 19 19 19 42 20 20 19 38 17 19 19 19 19 19 20 19 18 19 42 42 19 42 19 18 19 19 19 17 19 17 19 17 42 19 19 19 13 19 19 19 19 19 19 19 17 20 20 19 20 17 19 19 42 19 19 19 17 20 17 19 18 17 42 19 19 19 20 20 19 19 20 17 19 19 36 12 12 12 10 9 12 9 12 34 34 36 12 9 35 12 12 30 30 9 9 40 40 9 10 12 12 12 36 9 9 9 34 12 12 34 12 12 34 12 12 36 12 12 28 34 9 12 12 9 9 36 35 10 12 28 34 8 28 12 9 12 12 12 9 36 9 28 28 9 35 9 12 34 34 12 12 12 28 12 12 12 12 12 34 12 34 35 40 12 12 9 12 12 11 12 12 12 9 12"
