# seed=46
# instance=UNFAIR
# popSize=50
# generations=100
# crossover=BlockUniform(p=0.25)
# mutation=p0=0.05,pMin=0.002,alpha=0.95
# tournamentK=3
# elitism=2
# lambda_similarity=0.3
# fights_per_team=10
# anchors=5
gen,changes,best_fitness,best_winrate,best_similarity,avg_fitness,worst_fitness,best_genome
0,1,-0.5732,0.8519,0.9287,-0.1648,0.2429,"42 38 7 41 31 38 38 28 27 42 30 40 2 4 0 21 6 34 1 32 4 31 5 37 41 42 8 28 31 17 25 2 23 10 20 24 35 5 31 37 32 23 30 8 3 1 37 42 1 4 20 5 5 13 37 30 4 17 32 13 33 33 5 22 38 34 15 39 31 40 35 28 2 24 21 23 31 30 7 40 21 3 38 29 33 12 2 11 2 27 31 8 31 9 1 32 9 9 15 36 1 18 35 28 16 4 14 14 2 13 11 0 34 6 32 19 5 40 39 31 15 17 12 25 3 27 4 28 16 29 5 35 2 0 23 19 12 19 1 30 19 39 42 6 4 4 31 19 15 2 15 7 25 39 1 6 26 18 13 26 25 35 20 1 16 39 26 42 8 12 41 5 0 29 2 33 22 13 1 32 40 7 30 14 42 5 14 15 1 22 18 21 11 31 30 2 23 24 5 26 33 10 39 8 40 42 40 1 9 38 17 27 10 19 14 12 15 16 21 29 4 16 8 16 30 25 38 41 27 14 23 3 1 14 39 29 3 36 10 4 31 0 0 33 39 10 33 17 11 3 8 1 30 29 3 37 20 34 18 30 4 34 25 28 28 34 42 2 17 7 23 5 12 9 31 17 6 8 6 36 22 15 1 10 23 1 39 17 41 33 34 35 31 30 9 12 37 37 25 4 24 23 22 5 23 41 38 25 22 7 4 16 24 28 36 35 8 22 32 33 33 35 27 21 19 40 2 38 1 35 30 23 23 24 38 40 33 8 12 18 18 2 0 13 1 31 20 19 38 38 11 31 35 34 33 13 33 17 18 2 0 16 33 0 36 29 33 21 1 41 19 14 18 30 23 40 5 37 29 41 15 11 27 20 7 5 17 27 34 42 24 11 15 30 42 18 6 42 4 12 26 6 20 31 2 1 15 11 1 3 12 27 34 36 37 10 31 26 25 31 31 26 12 24 22 32 5 10 1 16 41 42 12 30 18 19 34 30 37 24 29 42 40 38 32 18 20 39 9 11 5 27 3 35 18 37 18 12 2 32 3 32 26 24 37 8 33 27 21 39 36 34 32 14 0 8 0 24 27 36 19 0 8 30 25 28 5 14 15 3 4 26 21 25 24 12 25 21 41 7"
1,2,-0.6708,0.8571,0.6211,-0.2038,0.2412,"7 5 7 2 7 4 2 2 36 5 37 2 2 2 2 7 8 4 8 8 2 37 2 5 2 18 2 5 2 2 2 12 2 2 2 7 2 4 7 8 2 12 2 4 37 4 18 2 7 2 2 2 18 2 24 2 8 2 2 2 12 2 23 7 2 7 7 18 2 5 17 8 7 5 2 7 4 8 7 8 4 5 8 7 23 39 2 17 2 7 6 2 37 7 2 19 4 2 6 7 12 18 21 21 21 22 22 12 21 21 20 17 12 18 21 18 21 21 21 12 12 21 21 12 21 21 12 22 21 13 12 13 12 21 12 21 21 21 21 21 21 22 22 21 10 19 21 21 12 12 21 1 21 21 12 21 21 21 18 22 21 21 21 21 21 21 21 21 21 22 21 21 20 21 21 21 17 21 12 12 21 21 21 21 21 21 21 21 21 12 21 21 21 21 22 21 22 21 21 21 37 9 11 10 9 9 13 9 11 10 9 9 13 9 5 11 9 3 27 9 5 11 11 9 9 11 9 9 9 4 13 11 0 9 9 13 37 38 4 9 9 10 38 9 13 9 39 9 9 9 11 4 0 11 9 9 11 29 0 9 5 6 5 9 3 9 10 9 2 9 9 9 9 13 9 2 9 1 9 11 36 1 9 9 11 6 23 9 9 9 11 9 10 1 9 9 11 9 13 9 6 12 9 4 4 2 2 12 37 2 12 12 12 12 6 12 12 19 35 35 12 12 12 12 19 12 12 12 12 2 2 2 19 2 2 11 2 2 2 12 12 19 5 34 36 34 37 35 19 12 2 12 12 36 9 2 34 18 35 6 36 2 35 9 36 36 19 12 12 34 12 12 2 34 2 2 12 35 12 12 34 12 34 12 12 19 12 2 6 36 12 12 12 4 12 12 4 12 2 12 19 13 39 19 28 39 0 19 19 39 13 39 28 0 39 1 28 1 19 1 39 19 38 3 19 19 19 19 19 0 39 39 39 39 29 0 3 38 39 39 28 39 19 39 29 21 28 39 39 39 3 19 21 19 28 19 39 13 39 1 3 38 21 39 28 19 22 39 1 0 3 1 39 39 39 0 19 0 38 1 3 39 19 19 39 1 28 0 39 13 39 39 19 2 0 39 28 39 0 39"
2,3,-0.8285,1.0000,0.5717,-0.2492,0.2036,"37 2 2 4 2 4 2 17 17 2 2 2 41 2 4 6 14 4 2 19 2 15 33 2 5 15 22 2 2 35 19 2 5 2 2 37 5 4 5 2 17 17 17 4 2 2 2 17 17 17 4 2 37 2 2 2 2 2 2 2 2 2 17 8 17 2 2 17 4 2 5 2 2 2 2 2 2 2 5 19 2 2 2 4 19 15 2 19 5 2 17 2 2 15 15 19 0 2 2 6 1 19 19 19 41 17 17 17 41 41 19 41 1 14 41 20 19 41 38 41 19 41 13 19 41 38 41 19 41 15 41 19 19 15 41 20 41 41 0 12 41 1 41 15 19 1 17 41 41 19 41 20 41 19 13 41 19 1 41 12 19 41 41 14 41 19 41 19 1 41 19 13 19 41 19 1 19 0 14 19 19 19 19 19 20 3 15 41 41 14 18 3 19 20 3 17 41 20 17 41 27 25 25 25 39 25 25 26 19 25 39 27 25 27 31 25 39 39 25 19 26 12 25 25 10 39 26 25 25 25 25 25 25 27 40 25 25 20 34 27 26 25 25 39 25 25 26 39 25 26 25 39 39 25 39 27 5 40 25 5 27 25 25 26 41 25 32 25 25 25 25 25 25 25 25 25 39 25 25 25 15 25 25 27 25 0 27 18 39 25 25 25 39 25 25 25 25 25 2 39 25 3 2 6 26 31 5 1 2 26 4 6 6 27 15 20 25 2 4 25 6 25 4 4 25 25 37 2 4 23 5 30 2 2 26 2 6 23 25 25 25 25 25 26 28 25 25 6 25 27 6 25 6 19 25 29 37 25 25 26 37 37 37 27 2 9 25 26 34 22 20 37 27 38 38 5 25 9 4 26 25 2 5 3 25 5 37 2 26 35 34 7 25 25 6 2 3 35 2 25 19 42 28 28 6 42 6 34 42 13 34 42 5 3 42 42 42 4 42 42 4 28 42 35 4 3 36 5 42 28 42 42 42 41 37 41 38 41 42 6 2 28 37 42 42 28 38 42 38 42 4 41 2 41 2 42 42 29 37 29 28 42 42 42 42 42 41 36 41 0 42 6 28 36 34 42 6 42 42 34 28 41 5 28 6 42 42 2 41 42 42 42 41 41 3 34 13 41 42 34"
3,4,-0.8448,1.0000,0.5175,-0.2714,0.2045,"37 2 2 4 2 4 2 17 17 2 2 2 41 2 4 6 14 4 2 19 2 15 33 2 5 15 22 2 2 35 19 2 5 2 2 37 5 4 5 2 17 17 17 4 2 2 2 17 17 17 4 2 37 2 2 2 2 2 2 2 2 2 17 8 17 2 2 17 4 2 5 2 2 2 2 2 2 2 5 19 2 2 2 4 19 15 2 19 5 2 17 2 2 15 15 19 0 2 2 6 1 19 19 19 41 17 17 17 41 41 19 41 1 14 41 20 19 41 38 41 19 41 13 19 41 38 41 19 41 15 41 19 19 15 41 20 41 41 0 12 41 1 41 15 19 1 17 41 41 19 41 20 41 19 13 41 19 1 41 12 19 41 41 14 41 19 41 19 1 41 19 13 19 41 19 1 19 0 14 19 19 19 19 19 20 3 15 41 41 14 18 3 19 20 3 17 41 20 17 41 27 25 25 25 39 25 25 26 19 25 39 27 25 27 31 25 39 39 25 19 26 12 25 25 10 39 26 25 25 25 25 25 25 27 40 25 25 20 34 27 26 25 25 39 25 25 26 39 25 26 25 39 39 25 39 27 5 40 25 5 27 25 25 26 41 25 32 25 25 25 25 25 25 25 25 25 39 25 25 25 15 25 25 27 25 0 27 18 39 25 25 25 39 25 25 25 25 25 2 39 25 3 2 6 26 31 5 1 2 26 4 6 6 27 15 20 25 2 4 25 6 25 4 4 25 25 37 2 4 23 5 30 2 2 26 2 6 23 25 25 25 25 25 26 28 25 25 6 25 27 6 25 6 19 25 29 37 25 25 26 37 37 37 27 2 9 25 26 34 22 20 37 27 38 38 5 25 9 4 26 25 2 5 3 25 5 37 2 26 35 34 7 25 25 6 2 3 35 2 25 19 42 28 28 6 42 6 34 42 13 34 42 5 3 42 42 42 4 42 42 4 28 42 35 4 3 36 5 42 28 42 42 42 41 37 41 38 41 42 6 2 28 37 42 42 28 38 42 38 42 4 41 2 41 2 42 42 29 37 29 28 42 42 42 42 42 41 36 41 0 42 6 28 36 34 42 6 42 42 34 28 41 5 28 6 42 42 2 41 42 42 42 41 41 3 34 13 41 42 34"
4,5,-0.8467,1.0000,0.5109,-0.2868,0.1926,"12 25 25 25 25 12 25 25 25 12 30 25 25 12 25 25 25 26 32 25 25 25 25 25 25 42 16 25 25 25 25 12 31 31 16 25 25 25 25 25 32 25 31 25 3 25 37 25 12 25 25 12 26 25 25 12 33 27 12 27 27 25 33 22 25 27 25 25 12 25 32 26 12 12 25 25 25 12 7 25 25 25 12 25 25 25 25 27 25 25 26 12 25 16 25 12 12 25 26 27 23 19 23 20 17 19 23 19 19 24 23 19 24 23 17 23 19 23 23 19 36 23 23 20 19 23 19 20 19 23 23 19 24 23 23 19 23 23 23 23 23 19 12 23 24 23 23 23 23 19 23 12 12 19 24 19 23 23 23 24 36 35 23 23 12 24 23 23 12 12 23 23 19 12 19 23 23 19 23 19 23 23 19 23 19 24 23 23 23 20 19 23 23 23 19 23 36 23 23 23 26 23 24 23 23 23 12 25 23 24 23 12 25 23 23 23 23 27 39 23 25 24 23 25 23 25 25 23 26 23 23 25 25 24 25 23 23 23 23 23 23 25 23 25 23 27 23 23 23 25 23 24 12 23 23 25 24 25 24 23 25 23 23 12 26 23 25 23 23 23 27 23 24 12 23 23 36 23 23 12 34 23 23 10 23 23 24 12 12 23 23 12 25 24 25 25 23 23 25 25 21 36 34 34 12 34 34 34 22 36 34 16 34 21 34 12 36 22 34 30 12 21 21 34 34 34 36 34 36 34 36 34 34 34 22 12 34 34 34 34 34 28 34 22 21 35 34 34 12 36 12 34 34 34 34 34 34 12 22 35 12 12 21 30 34 12 33 34 12 36 12 34 12 12 34 21 5 34 34 34 34 34 12 21 34 35 28 34 12 12 34 34 34 21 21 34 34 34 34 34 26 30 20 12 28 31 12 12 12 0 12 31 12 29 12 28 12 0 12 0 38 12 30 28 12 32 5 12 12 28 13 3 32 28 12 28 34 28 12 24 31 3 12 31 12 12 20 32 38 11 13 13 32 29 30 28 12 30 28 12 12 12 28 32 31 29 1 12 29 12 36 34 29 14 12 12 0 31 1 32 30 12 12 12 31 29 1 3 15 30 29 26 3 12 12 31 28 29 38 28"
5,5,-0.8398,1.0000,0.5339,-0.2866,0.1746,"12 25 25 25 25 12 25 25 25 12 30 25 25 12 25 25 25 26 32 25 25 25 25 25 25 42 16 25 25 25 25 12 31 31 16 25 25 25 25 25 32 25 31 25 3 25 37 25 12 25 25 12 26 25 25 12 33 27 12 27 27 25 33 22 25 27 25 25 12 25 32 26 12 12 25 25 25 12 7 25 25 25 12 25 25 25 25 27 25 25 26 12 25 16 25 12 12 25 26 27 23 19 23 20 17 19 23 19 19 24 23 19 24 23 17 23 19 23 23 19 36 23 23 20 19 23 19 20 19 23 23 19 24 23 23 19 23 23 23 23 23 19 12 23 24 23 23 23 23 19 23 12 12 19 24 19 23 23 23 24 36 35 23 23 12 24 23 23 12 12 23 23 19 12 19 23 23 19 23 19 23 23 19 23 19 24 23 23 23 20 19 23 23 23 19 23 36 23 23 23 26 23 24 23 23 23 12 25 23 24 23 12 25 23 23 23 23 27 39 23 25 24 23 25 23 25 25 23 26 23 23 25 25 24 25 23 23 23 23 23 23 25 23 25 23 27 23 23 23 25 23 24 12 23 23 25 24 25 24 23 25 23 23 12 26 23 25 23 23 23 27 23 24 12 23 23 36 23 23 12 34 23 23 10 23 23 24 12 12 23 23 12 25 24 25 25 23 23 25 25 21 36 34 34 12 34 34 34 22 36 34 16 34 21 34 12 36 22 34 30 12 21 21 34 34 34 36 34 36 34 36 34 34 34 22 12 34 34 34 34 34 28 34 22 21 35 34 34 12 36 12 34 34 34 34 34 34 12 22 35 12 12 21 30 34 12 33 34 12 36 12 34 12 12 34 21 5 34 34 34 34 34 12 21 34 35 28 34 12 12 34 34 34 21 21 34 34 34 34 34 26 30 20 12 28 31 12 12 12 0 12 31 12 29 12 28 12 0 12 0 38 12 30 28 12 32 5 12 12 28 13 3 32 28 12 28 34 28 12 24 31 3 12 31 12 12 20 32 38 11 13 13 32 29 30 28 12 30 28 12 12 12 28 32 31 29 1 12 29 12 36 34 29 14 12 12 0 31 1 32 30 12 12 12 31 29 1 3 15 30 29 26 3 12 12 31 28 29 38 28"
6,5,-0.8120,1.0000,0.6267,-0.2955,0.1702,"12 25 25 25 25 12 25 25 25 12 30 25 25 12 25 25 25 26 32 25 25 25 25 25 25 42 16 25 25 25 25 12 31 31 16 25 25 25 25 25 32 25 31 25 3 25 37 25 12 25 25 12 26 25 25 12 33 27 12 27 27 25 33 22 25 27 25 25 12 25 32 26 12 12 25 25 25 12 7 25 25 25 12 25 25 25 25 27 25 25 26 12 25 16 25 12 12 25 26 27 23 19 23 20 17 19 23 19 19 24 23 19 24 23 17 23 19 23 23 19 36 23 23 20 19 23 19 20 19 23 23 19 24 23 23 19 23 23 23 23 23 19 12 23 24 23 23 23 23 19 23 12 12 19 24 19 23 23 23 24 36 35 23 23 12 24 23 23 12 12 23 23 19 12 19 23 23 19 23 19 23 23 19 23 19 24 23 23 23 20 19 23 23 23 19 23 36 23 23 23 26 23 24 23 23 23 12 25 23 24 23 12 25 23 23 23 23 27 39 23 25 24 23 25 23 25 25 23 26 23 23 25 25 24 25 23 23 23 23 23 23 25 23 25 23 27 23 23 23 25 23 24 12 23 23 25 24 25 24 23 25 23 23 12 26 23 25 23 23 23 27 23 24 12 23 23 36 23 23 12 34 23 23 10 23 23 24 12 12 23 23 12 25 24 25 25 23 23 25 25 21 36 34 34 12 34 34 34 22 36 34 16 34 21 34 12 36 22 34 30 12 21 21 34 34 34 36 34 36 34 36 34 34 34 22 12 34 34 34 34 34 28 34 22 21 35 34 34 12 36 12 34 34 34 34 34 34 12 22 35 12 12 21 30 34 12 33 34 12 36 12 34 12 12 34 21 5 34 34 34 34 34 12 21 34 35 28 34 12 12 34 34 34 21 21 34 34 34 34 34 26 30 20 12 28 31 12 12 12 0 12 31 12 29 12 28 12 0 12 0 38 12 30 28 12 32 5 12 12 28 13 3 32 28 12 28 34 28 12 24 31 3 12 31 12 12 20 32 38 11 13 13 32 29 30 28 12 30 28 12 12 12 28 32 31 29 1 12 29 12 36 34 29 14 12 12 0 31 1 32 30 12 12 12 31 29 1 3 15 30 29 26 3 12 12 31 28 29 38 28"
7,5,-0.8331,1.0000,0.5562,-0.3100,0.1431,"12 25 25 25 25 12 25 25 25 12 30 25 25 12 25 25 25 26 32 25 25 25 25 25 25 42 16 25 25 25 25 12 31 31 16 25 25 25 25 25 32 25 31 25 3 25 37 25 12 25 25 12 26 25 25 12 33 27 12 27 27 25 33 22 25 27 25 25 12 25 32 26 12 12 25 25 25 12 7 25 25 25 12 25 25 25 25 27 25 25 26 12 25 16 25 12 12 25 26 27 23 19 23 20 17 19 23 19 19 24 23 19 24 23 17 23 19 23 23 19 36 23 23 20 19 23 19 20 19 23 23 19 24 23 23 19 23 23 23 23 23 19 12 23 24 23 23 23 23 19 23 12 12 19 24 19 23 23 23 24 36 35 23 23 12 24 23 23 12 12 23 23 19 12 19 23 23 19 23 19 23 23 19 23 19 24 23 23 23 20 19 23 23 23 19 23 36 23 23 23 26 23 24 23 23 23 12 25 23 24 23 12 25 23 23 23 23 27 39 23 25 24 23 25 23 25 25 23 26 23 23 25 25 24 25 23 23 23 23 23 23 25 23 25 23 27 23 23 23 25 23 24 12 23 23 25 24 25 24 23 25 23 23 12 26 23 25 23 23 23 27 23 24 12 23 23 36 23 23 12 34 23 23 10 23 23 24 12 12 23 23 12 25 24 25 25 23 23 25 25 21 36 34 34 12 34 34 34 22 36 34 16 34 21 34 12 36 22 34 30 12 21 21 34 34 34 36 34 36 34 36 34 34 34 22 12 34 34 34 34 34 28 34 22 21 35 34 34 12 36 12 34 34 34 34 34 34 12 22 35 12 12 21 30 34 12 33 34 12 36 12 34 12 12 34 21 5 34 34 34 34 34 12 21 34 35 28 34 12 12 34 34 34 21 21 34 34 34 34 34 26 30 20 12 28 31 12 12 12 0 12 31 12 29 12 28 12 0 12 0 38 12 30 28 12 32 5 12 12 28 13 3 32 28 12 28 34 28 12 24 31 3 12 31 12 12 20 32 38 11 13 13 32 29 30 28 12 30 28 12 12 12 28 32 31 29 1 12 29 12 36 34 29 14 12 12 0 31 1 32 30 12 12 12 31 29 1 3 15 30 29 26 3 12 12 31 28 29 38 28"
8,5,-0.8272,1.0000,0.5760,-0.3175,0.1409,"12 25 25 25 25 12 25 25 25 12 30 25 25 12 25 25 25 26 32 25 25 25 25 25 25 42 16 25 25 25 25 12 31 31 16 25 25 25 25 25 32 25 31 25 3 25 37 25 12 25 25 12 26 25 25 12 33 27 12 27 27 25 33 22 25 27 25 25 12 25 32 26 12 12 25 25 25 12 7 25 25 25 12 25 25 25 25 27 25 25 26 12 25 16 25 12 12 25 26 27 23 19 23 20 17 19 23 19 19 24 23 19 24 23 17 23 19 23 23 19 36 23 23 20 19 23 19 20 19 23 23 19 24 23 23 19 23 23 23 23 23 19 12 23 24 23 23 23 23 19 23 12 12 19 24 19 23 23 23 24 36 35 23 23 12 24 23 23 12 12 23 23 19 12 19 23 23 19 23 19 23 23 19 23 19 24 23 23 23 20 19 23 23 23 19 23 36 23 23 23 26 23 24 23 23 23 12 25 23 24 23 12 25 23 23 23 23 27 39 23 25 24 23 25 23 25 25 23 26 23 23 25 25 24 25 23 23 23 23 23 23 25 23 25 23 27 23 23 23 25 23 24 12 23 23 25 24 25 24 23 25 23 23 12 26 23 25 23 23 23 27 23 24 12 23 23 36 23 23 12 34 23 23 10 23 23 24 12 12 23 23 12 25 24 25 25 23 23 25 25 21 36 34 34 12 34 34 34 22 36 34 16 34 21 34 12 36 22 34 30 12 21 21 34 34 34 36 34 36 34 36 34 34 34 22 12 34 34 34 34 34 28 34 22 21 35 34 34 12 36 12 34 34 34 34 34 34 12 22 35 12 12 21 30 34 12 33 34 12 36 12 34 12 12 34 21 5 34 34 34 34 34 12 21 34 35 28 34 12 12 34 34 34 21 21 34 34 34 34 34 26 30 20 12 28 31 12 12 12 0 12 31 12 29 12 28 12 0 12 0 38 12 30 28 12 32 5 12 12 28 13 3 32 28 12 28 34 28 12 24 31 3 12 31 12 12 20 32 38 11 13 13 32 29 30 28 12 30 28 12 12 12 28 32 31 29 1 12 29 12 36 34 29 14 12 12 0 31 1 32 30 12 12 12 31 29 1 3 15 30 29 26 3 12 12 31 28 29 38 28"
9,5,-0.8058,1.0000,0.6472,-0.3136,0.1466,"12 25 25 25 25 12 25 25 25 12 30 25 25 12 25 25 25 26 32 25 25 25 25 25 25 42 16 25 25 25 25 12 31 31 16 25 25 25 25 25 32 25 31 25 3 25 37 25 12 25 25 12 26 25 25 12 33 27 12 27 27 25 33 22 25 27 25 25 12 25 32 26 12 12 25 25 25 12 7 25 25 25 12 25 25 25 25 27 25 25 26 12 25 16 25 12 12 25 26 27 23 19 23 20 17 19 23 19 19 24 23 19 24 23 17 23 19 23 23 19 36 23 23 20 19 23 19 20 19 23 23 19 24 23 23 19 23 23 23 23 23 19 12 23 24 23 23 23 23 19 23 12 12 19 24 19 23 23 23 24 36 35 23 23 12 24 23 23 12 12 23 23 19 12 19 23 23 19 23 19 23 23 19 23 19 24 23 23 23 20 19 23 23 23 19 23 36 23 23 23 26 23 24 23 23 23 12 25 23 24 23 12 25 23 23 23 23 27 39 23 25 24 23 25 23 25 25 23 26 23 23 25 25 24 25 23 23 23 23 23 23 25 23 25 23 27 23 23 23 25 23 24 12 23 23 25 24 25 24 23 25 23 23 12 26 23 25 23 23 23 27 23 24 12 23 23 36 23 23 12 34 23 23 10 23 23 24 12 12 23 23 12 25 24 25 25 23 23 25 25 21 36 34 34 12 34 34 34 22 36 34 16 34 21 34 12 36 22 34 30 12 21 21 34 34 34 36 34 36 34 36 34 34 34 22 12 34 34 34 34 34 28 34 22 21 35 34 34 12 36 12 34 34 34 34 34 34 12 22 35 12 12 21 30 34 12 33 34 12 36 12 34 12 12 34 21 5 34 34 34 34 34 12 21 34 35 28 34 12 12 34 34 34 21 21 34 34 34 34 34 26 30 20 12 28 31 12 12 12 0 12 31 12 29 12 28 12 0 12 0 38 12 30 28 12 32 5 12 12 28 13 3 32 28 12 28 34 28 12 24 31 3 12 31 12 12 20 32 38 11 13 13 32 29 30 28 12 30 28 12 12 12 28 32 31 29 1 12 29 12 36 34 29 14 12 12 0 31 1 32 30 12 12 12 31 29 1 3 15 30 29 26 3 12 12 31 28 29 38 28"
