# seed=47
# instance=FULL_DAMAGE_PIECEWISE
# popSize=50
# generations=100
# crossover=BlockUniform(p=0.25)
# mutation=p0=0.05,pMin=0.002,alpha=0.95
# tournamentK=3
# elitism=2
# lambda_similarity=0.3
# fights_per_team=10
# anchors=5
gen,changes,best_fitness,best_winrate,best_similarity,avg_fitness,worst_fitness,best_genome
0,1,-0.5535,0.8261,0.9087,-0.1665,0.2370,"19 6 38 18 37 17 18 18 32 17 35 34 17 4 8 17 2 34 34 31 29 36 21 24 28 11 34 41 32 24 8 1 34 1 6 4 24 17 12 18 18 11 19 5 15 22 35 29 41 20 31 37 31 42 9 25 12 16 3 7 13 27 31 36 35 1 22 6 19 18 42 37 28 31 32 23 16 39 32 29 25 0 18 32 30 5 18 40 39 41 14 30 1 3 24 19 25 1 6 1 13 29 32 41 15 39 14 23 38 27 16 21 0 26 11 30 7 8 0 23 35 42 4 3 27 42 19 35 20 38 29 29 31 13 17 28 0 39 26 41 42 18 1 1 5 42 13 7 27 1 42 26 3 34 2 19 38 11 38 9 34 11 15 8 12 21 18 29 31 7 38 31 8 23 25 35 17 26 36 24 35 3 13 2 22 36 35 37 10 31 38 35 38 6 21 37 27 17 7 9 5 40 17 38 25 32 41 32 1 39 1 9 34 32 32 31 17 19 2 21 29 34 27 30 8 18 23 37 23 31 30 6 35 16 20 22 5 7 8 29 4 10 25 19 41 19 37 22 22 41 32 1 20 24 31 9 8 1 11 16 33 14 8 20 27 2 17 31 21 23 22 0 3 20 41 16 3 39 3 7 1 23 39 7 11 13 2 32 34 23 21 41 24 39 14 26 13 33 30 37 19 24 13 6 1 3 20 5 3 30 31 32 16 41 33 5 40 14 36 8 2 25 9 37 10 30 7 3 22 11 30 41 28 24 3 30 8 24 30 29 14 40 6 17 37 37 38 30 22 13 37 31 42 3 31 16 40 42 42 13 41 33 22 7 37 35 4 42 6 3 38 1 37 31 1 32 31 11 3 40 10 19 1 2 22 8 15 3 8 10 24 8 24 6 3 35 25 34 39 30 13 1 21 32 1 21 18 34 22 10 18 19 34 34 1 35 24 41 38 31 39 29 1 9 3 33 20 38 4 0 12 15 15 7 9 37 2 1 42 41 4 8 32 35 41 7 42 26 6 1 34 0 1 25 10 21 2 34 18 11 33 10 21 35 34 38 14 0 22 34 28 39 41 15 38 35 10 9 36 4 5 3 13 40 34 4 40 42 22 8 38 16 42 28 18 20 11 24 12 34"
1,2,-0.8034,0.9600,0.5219,-0.2170,0.2253,"9 39 27 9 9 17 39 12 9 9 39 33 9 11 10 9 12 9 40 40 9 40 9 9 12 12 9 12 9 9 39 9 9 39 9 9 9 9 9 11 9 10 9 9 9 9 9 9 40 9 11 9 39 39 21 9 13 10 9 9 10 10 19 9 9 10 10 39 9 9 9 9 9 39 40 9 9 10 39 12 12 11 10 9 9 40 9 11 9 39 39 11 39 9 11 9 9 10 40 28 2 25 25 12 21 27 5 12 26 12 12 25 25 25 25 25 12 25 35 12 12 25 12 25 25 2 25 6 27 33 27 2 27 2 12 12 2 12 37 22 2 12 2 25 12 27 25 25 35 27 27 25 25 25 12 12 27 26 27 25 25 26 25 25 12 25 21 12 12 25 21 37 26 22 26 25 4 12 25 25 25 25 25 25 25 37 25 25 5 25 25 22 26 25 25 2 2 12 26 12 23 23 23 17 7 23 24 23 23 7 23 23 23 23 24 23 7 7 7 23 23 17 24 23 23 23 17 23 23 21 24 24 7 23 7 23 17 7 8 23 23 23 7 7 23 7 7 24 23 17 23 23 23 18 23 23 21 23 23 7 8 7 24 23 17 7 7 7 7 17 17 18 23 24 2 23 23 23 7 23 24 7 24 23 23 7 7 23 23 7 7 23 23 23 23 23 23 24 2 13 2 7 33 4 33 7 37 32 2 3 2 31 2 8 7 4 8 31 31 31 7 8 7 7 7 7 7 7 7 31 7 7 31 7 7 31 31 7 7 7 31 8 31 7 33 8 8 7 31 31 32 7 7 8 7 7 7 2 8 7 32 32 4 31 8 7 7 5 7 7 15 8 6 7 33 7 7 7 7 2 8 7 7 7 7 37 2 18 7 8 31 8 8 7 29 8 31 34 7 23 0 42 23 25 41 25 41 25 25 41 42 23 3 26 41 25 41 41 25 25 25 41 26 3 27 25 25 41 25 42 41 41 23 41 42 41 41 24 5 25 13 42 1 25 37 41 18 25 41 25 41 25 1 41 25 41 3 41 2 25 25 41 27 25 6 13 25 41 38 25 0 41 13 41 41 41 41 13 25 41 13 13 13 19 42 25 41 25 27 25 3 41 38 0 3 6 23 41 0 3"
2,3,-0.8277,1.0000,0.5742,-0.2681,0.1752,"42 42 42 42 7 4 42 8 42 7 2 42 8 42 42 1 7 28 42 28 42 37 42 28 42 42 7 42 30 37 42 42 7 42 42 28 5 0 28 4 5 42 4 1 37 9 42 42 9 6 11 2 5 42 28 42 1 37 5 6 7 42 42 42 4 37 28 42 42 4 42 8 42 7 7 42 28 42 42 2 7 5 42 42 42 4 42 5 7 42 37 28 42 42 42 6 5 42 7 2 9 10 39 39 39 9 39 9 39 9 31 39 9 32 39 39 9 9 42 42 9 11 39 9 9 39 9 10 39 31 9 39 9 9 39 11 39 9 39 31 39 9 31 16 39 39 9 31 39 9 39 31 9 12 39 39 39 9 39 9 39 11 39 9 39 39 39 33 9 31 42 39 39 39 31 9 9 42 31 9 12 33 39 31 39 39 9 39 42 9 39 32 39 10 9 9 11 10 39 42 12 25 12 25 25 25 5 17 25 25 35 25 25 12 27 25 25 2 2 12 26 25 25 25 25 25 25 12 2 25 2 12 12 17 26 32 25 2 2 37 18 17 25 25 4 25 2 33 12 25 18 12 12 25 26 12 27 12 37 12 25 25 25 17 25 26 25 27 17 18 37 25 25 25 25 17 2 25 25 12 25 25 6 12 25 26 16 25 25 34 12 27 25 2 17 6 25 25 25 25 7 15 34 42 12 7 36 34 42 42 42 42 34 42 35 16 42 34 35 42 35 12 42 42 42 16 12 42 16 12 42 34 36 42 42 42 42 34 16 12 42 42 42 15 16 42 42 12 12 42 35 42 42 34 42 7 16 16 42 42 42 36 12 42 34 42 34 16 34 42 34 12 16 7 7 42 42 42 34 34 42 34 42 16 42 12 12 16 16 42 42 12 12 42 34 8 16 16 34 42 38 13 19 34 19 19 19 19 34 19 13 19 34 1 13 19 19 19 19 19 34 36 12 20 27 19 19 34 1 19 3 13 19 19 19 19 19 34 20 19 19 35 34 19 20 13 19 1 19 34 25 20 0 19 19 34 19 36 19 13 1 31 19 12 19 19 20 3 19 3 34 19 36 19 27 1 1 19 19 19 19 19 1 0 20 13 0 1 19 34 35 20 42 3 31 19 0 36 0 13"
3,4,-0.8537,1.0000,0.4878,-0.2824,0.1726,"42 42 42 42 7 4 42 8 42 7 2 42 8 42 42 1 7 28 42 28 42 37 42 28 42 42 7 42 30 37 42 42 7 42 42 28 5 0 28 4 5 42 4 1 37 9 42 42 9 6 11 2 5 42 28 42 1 37 5 6 7 42 42 42 4 37 28 42 42 4 42 8 42 7 7 42 28 42 42 2 7 5 42 42 42 4 42 5 7 42 37 28 42 42 42 6 5 42 7 2 9 10 39 39 39 9 39 9 39 9 31 39 9 32 39 39 9 9 42 42 9 11 39 9 9 39 9 10 39 31 9 39 9 9 39 11 39 9 39 31 39 9 31 16 39 39 9 31 39 9 39 31 9 12 39 39 39 9 39 9 39 11 39 9 39 39 39 33 9 31 42 39 39 39 31 9 9 42 31 9 12 33 39 31 39 39 9 39 42 9 39 32 39 10 9 9 11 10 39 42 12 25 12 25 25 25 5 17 25 25 35 25 25 12 27 25 25 2 2 12 26 25 25 25 25 25 25 12 2 25 2 12 12 17 26 32 25 2 2 37 18 17 25 25 4 25 2 33 12 25 18 12 12 25 26 12 27 12 37 12 25 25 25 17 25 26 25 27 17 18 37 25 25 25 25 17 2 25 25 12 25 25 6 12 25 26 16 25 25 34 12 27 25 2 17 6 25 25 25 25 7 15 34 42 12 7 36 34 42 42 42 42 34 42 35 16 42 34 35 42 35 12 42 42 42 16 12 42 16 12 42 34 36 42 42 42 42 34 16 12 42 42 42 15 16 42 42 12 12 42 35 42 42 34 42 7 16 16 42 42 42 36 12 42 34 42 34 16 34 42 34 12 16 7 7 42 42 42 34 34 42 34 42 16 42 12 12 16 16 42 42 12 12 42 34 8 16 16 34 42 38 13 19 34 19 19 19 19 34 19 13 19 34 1 13 19 19 19 19 19 34 36 12 20 27 19 19 34 1 19 3 13 19 19 19 19 19 34 20 19 19 35 34 19 20 13 19 1 19 34 25 20 0 19 19 34 19 36 19 13 1 31 19 12 19 19 20 3 19 3 34 19 36 19 27 1 1 19 19 19 19 19 1 0 20 13 0 1 19 34 35 20 42 3 31 19 0 36 0 13"
4,4,-0.8527,1.0000,0.4911,-0.2973,0.1722,"42 42 42 42 7 4 42 8 42 7 2 42 8 42 42 1 7 28 42 28 42 37 42 28 42 42 7 42 30 37 42 42 7 42 42 28 5 0 28 4 5 42 4 1 37 9 42 42 9 6 11 2 5 42 28 42 1 37 5 6 7 42 42 42 4 37 28 42 42 4 42 8 42 7 7 42 28 42 42 2 7 5 42 42 42 4 42 5 7 42 37 28 42 42 42 6 5 42 7 2 9 10 39 39 39 9 39 9 39 9 31 39 9 32 39 39 9 9 42 42 9 11 39 9 9 39 9 10 39 31 9 39 9 9 39 11 39 9 39 31 39 9 31 16 39 39 9 31 39 9 39 31 9 12 39 39 39 9 39 9 39 11 39 9 39 39 39 33 9 31 42 39 39 39 31 9 9 42 31 9 12 33 39 31 39 39 9 39 42 9 39 32 39 10 9 9 11 10 39 42 12 25 12 25 25 25 5 17 25 25 35 25 25 12 27 25 25 2 2 12 26 25 25 25 25 25 25 12 2 25 2 12 12 17 26 32 25 2 2 37 18 17 25 25 4 25 2 33 12 25 18 12 12 25 26 12 27 12 37 12 25 25 25 17 25 26 25 27 17 18 37 25 25 25 25 17 2 25 25 12 25 25 6 12 25 26 16 25 25 34 12 27 25 2 17 6 25 25 25 25 7 15 34 42 12 7 36 34 42 42 42 42 34 42 35 16 42 34 35 42 35 12 42 42 42 16 12 42 16 12 42 34 36 42 42 42 42 34 16 12 42 42 42 15 16 42 42 12 12 42 35 42 42 34 42 7 16 16 42 42 42 36 12 42 34 42 34 16 34 42 34 12 16 7 7 42 42 42 34 34 42 34 42 16 42 12 12 16 16 42 42 12 12 42 34 8 16 16 34 42 38 13 19 34 19 19 19 19 34 19 13 19 34 1 13 19 19 19 19 19 34 36 12 20 27 19 19 34 1 19 3 13 19 19 19 19 19 34 20 19 19 35 34 19 20 13 19 1 19 34 25 20 0 19 19 34 19 36 19 13 1 31 19 12 19 19 20 3 19 3 34 19 36 19 27 1 1 19 19 19 19 19 1 0 20 13 0 1 19 34 35 20 42 3 31 19 0 36 0 13"
5,4,-0.8174,1.0000,0.6086,-0.3046,0.1459,"42 42 42 42 7 4 42 8 42 7 2 42 8 42 42 1 7 28 42 28 42 37 42 28 42 42 7 42 30 37 42 42 7 42 42 28 5 0 28 4 5 42 4 1 37 9 42 42 9 6 11 2 5 42 28 42 1 37 5 6 7 42 42 42 4 37 28 42 42 4 42 8 42 7 7 42 28 42 42 2 7 5 42 42 42 4 42 5 7 42 37 28 42 42 42 6 5 42 7 2 9 10 39 39 39 9 39 9 39 9 31 39 9 32 39 39 9 9 42 42 9 11 39 9 9 39 9 10 39 31 9 39 9 9 39 11 39 9 39 31 39 9 31 16 39 39 9 31 39 9 39 31 9 12 39 39 39 9 39 9 39 11 39 9 39 39 39 33 9 31 42 39 39 39 31 9 9 42 31 9 12 33 39 31 39 39 9 39 42 9 39 32 39 10 9 9 11 10 39 42 12 25 12 25 25 25 5 17 25 25 35 25 25 12 27 25 25 2 2 12 26 25 25 25 25 25 25 12 2 25 2 12 12 17 26 32 25 2 2 37 18 17 25 25 4 25 2 33 12 25 18 12 12 25 26 12 27 12 37 12 25 25 25 17 25 26 25 27 17 18 37 25 25 25 25 17 2 25 25 12 25 25 6 12 25 26 16 25 25 34 12 27 25 2 17 6 25 25 25 25 7 15 34 42 12 7 36 34 42 42 42 42 34 42 35 16 42 34 35 42 35 12 42 42 42 16 12 42 16 12 42 34 36 42 42 42 42 34 16 12 42 42 42 15 16 42 42 12 12 42 35 42 42 34 42 7 16 16 42 42 42 36 12 42 34 42 34 16 34 42 34 12 16 7 7 42 42 42 34 34 42 34 42 16 42 12 12 16 16 42 42 12 12 42 34 8 16 16 34 42 38 13 19 34 19 19 19 19 34 19 13 19 34 1 13 19 19 19 19 19 34 36 12 20 27 19 19 34 1 19 3 13 19 19 19 19 19 34 20 19 19 35 34 19 20 13 19 1 19 34 25 20 0 19 19 34 19 36 19 13 1 31 19 12 19 19 20 3 19 3 34 19 36 19 27 1 1 19 19 19 19 19 1 0 20 13 0 1 19 34 35 20 42 3 31 19 0 36 0 13"
6,4,-0.8263,1.0000,0.5791,-0.3141,0.1020,"42 42 42 42 7 4 42 8 42 7 2 42 8 42 42 1 7 28 42 28 42 37 42 28 42 42 7 42 30 37 42 42 7 42 42 28 5 0 28 4 5 42 4 1 37 9 42 42 9 6 11 2 5 42 28 42 1 37 5 6 7 42 42 42 4 37 28 42 42 4 42 8 42 7 7 42 28 42 42 2 7 5 42 42 42 4 42 5 7 42 37 28 42 42 42 6 5 42 7 2 9 10 39 39 39 9 39 9 39 9 31 39 9 32 39 39 9 9 42 42 9 11 39 9 9 39 9 10 39 31 9 39 9 9 39 11 39 9 39 31 39 9 31 16 39 39 9 31 39 9 39 31 9 12 39 39 39 9 39 9 39 11 39 9 39 39 39 33 9 31 42 39 39 39 31 9 9 42 31 9 12 33 39 31 39 39 9 39 42 9 39 32 39 10 9 9 11 10 39 42 12 25 12 25 25 25 5 17 25 25 35 25 25 12 27 25 25 2 2 12 26 25 25 25 25 25 25 12 2 25 2 12 12 17 26 32 25 2 2 37 18 17 25 25 4 25 2 33 12 25 18 12 12 25 26 12 27 12 37 12 25 25 25 17 25 26 25 27 17 18 37 25 25 25 25 17 2 25 25 12 25 25 6 12 25 26 16 25 25 34 12 27 25 2 17 6 25 25 25 25 7 15 34 42 12 7 36 34 42 42 42 42 34 42 35 16 42 34 35 42 35 12 42 42 42 16 12 42 16 12 42 34 36 42 42 42 42 34 16 12 42 42 42 15 16 42 42 12 12 42 35 42 42 34 42 7 16 16 42 42 42 36 12 42 34 42 34 16 34 42 34 12 16 7 7 42 42 42 34 34 42 34 42 16 42 12 12 16 16 42 42 12 12 42 34 8 16 16 34 42 38 13 19 34 19 19 19 19 34 19 13 19 34 1 13 19 19 19 19 19 34 36 12 20 27 19 19 34 1 19 3 13 19 19 19 19 19 34 20 19 19 35 34 19 20 13 19 1 19 34 25 20 0 19 19 34 19 36 19 13 1 31 19 12 19 19 20 3 19 3 34 19 36 19 27 1 1 19 19 19 19 19 1 0 20 13 0 1 19 34 35 20 42 3 31 19 0 36 0 13"
7,4,-0.8297,0.9677,0.4602,-0.3233,0.0978,"42 42 42 42 7 4 42 8 42 7 2 42 8 42 42 1 7 28 42 28 42 37 42 28 42 42 7 42 30 37 42 42 7 42 42 28 5 0 28 4 5 42 4 1 37 9 42 42 9 6 11 2 5 42 28 42 1 37 5 6 7 42 42 42 4 37 28 42 42 4 42 8 42 7 7 42 28 42 42 2 7 5 42 42 42 4 42 5 7 42 37 28 42 42 42 6 5 42 7 2 9 10 39 39 39 9 39 9 39 9 31 39 9 32 39 39 9 9 42 42 9 11 39 9 9 39 9 10 39 31 9 39 9 9 39 11 39 9 39 31 39 9 31 16 39 39 9 31 39 9 39 31 9 12 39 39 39 9 39 9 39 11 39 9 39 39 39 33 9 31 42 39 39 39 31 9 9 42 31 9 12 33 39 31 39 39 9 39 42 9 39 32 39 10 9 9 11 10 39 42 12 25 12 25 25 25 5 17 25 25 35 25 25 12 27 25 25 2 2 12 26 25 25 25 25 25 25 12 2 25 2 12 12 17 26 32 25 2 2 37 18 17 25 25 4 25 2 33 12 25 18 12 12 25 26 12 27 12 37 12 25 25 25 17 25 26 25 27 17 18 37 25 25 25 25 17 2 25 25 12 25 25 6 12 25 26 16 25 25 34 12 27 25 2 17 6 25 25 25 25 7 15 34 42 12 7 36 34 42 42 42 42 34 42 35 16 42 34 35 42 35 12 42 42 42 16 12 42 16 12 42 34 36 42 42 42 42 34 16 12 42 42 42 15 16 42 42 12 12 42 35 42 42 34 42 7 16 16 42 42 42 36 12 42 34 42 34 16 34 42 34 12 16 7 7 42 42 42 34 34 42 34 42 16 42 12 12 16 16 42 42 12 12 42 34 8 16 16 34 42 38 13 19 34 19 19 19 19 34 19 13 19 34 1 13 19 19 19 19 19 34 36 12 20 27 19 19 34 1 19 3 13 19 19 19 19 19 34 20 19 19 35 34 19 20 13 19 1 19 34 25 20 0 19 19 34 19 36 19 13 1 31 19 12 19 19 20 3 19 3 34 19 36 19 27 1 1 19 19 19 19 19 1 0 20 13 0 1 19 34 35 20 42 3 31 19 0 36 0 13"
8,4,-0.8377,0.9667,0.4300,-0.2985,0.0818,"42 42 42 42 7 4 42 8 42 7 2 42 8 42 42 1 7 28 42 28 42 37 42 28 42 42 7 42 30 37 42 42 7 42 42 28 5 0 28 4 5 42 4 1 37 9 42 42 9 6 11 2 5 42 28 42 1 37 5 6 7 42 42 42 4 37 28 42 42 4 42 8 42 7 7 42 28 42 42 2 7 5 42 42 42 4 42 5 7 42 37 28 42 42 42 6 5 42 7 2 9 10 39 39 39 9 39 9 39 9 31 39 9 32 39 39 9 9 42 42 9 11 39 9 9 39 9 10 39 31 9 39 9 9 39 11 39 9 39 31 39 9 31 16 39 39 9 31 39 9 39 31 9 12 39 39 39 9 39 9 39 11 39 9 39 39 39 33 9 31 42 39 39 39 31 9 9 42 31 9 12 33 39 31 39 39 9 39 42 9 39 32 39 10 9 9 11 10 39 42 12 25 12 25 25 25 5 17 25 25 35 25 25 12 27 25 25 2 2 12 26 25 25 25 25 25 25 12 2 25 2 12 12 17 26 32 25 2 2 37 18 17 25 25 4 25 2 33 12 25 18 12 12 25 26 12 27 12 37 12 25 25 25 17 25 26 25 27 17 18 37 25 25 25 25 17 2 25 25 12 25 25 6 12 25 26 16 25 25 34 12 27 25 2 17 6 25 25 25 25 7 15 34 42 12 7 36 34 42 42 42 42 34 42 35 16 42 34 35 42 35 12 42 42 42 16 12 42 16 12 42 34 36 42 42 42 42 34 16 12 42 42 42 15 16 42 42 12 12 42 35 42 42 34 42 7 16 16 42 42 42 36 12 42 34 42 34 16 34 42 34 12 16 7 7 42 42 42 34 34 42 34 42 16 42 12 12 16 16 42 42 12 12 42 34 8 16 16 34 42 38 13 19 34 19 19 19 19 34 19 13 19 34 1 13 19 19 19 19 19 34 36 12 20 27 19 19 34 1 19 3 13 19 19 19 19 19 34 20 19 19 35 34 19 20 13 19 1 19 34 25 20 0 19 19 34 19 36 19 13 1 31 19 12 19 19 20 3 19 3 34 19 36 19 27 1 1 19 19 19 19 19 1 0 20 13 0 1 19 34 35 20 42 3 31 19 0 36 0 13"
9,4,-0.8161,1.0000,0.6129,-0.3172,0.1113,"42 42 42 42 7 4 42 8 42 7 2 42 8 42 42 1 7 28 42 28 42 37 42 28 42 42 7 42 30 37 42 42 7 42 42 28 5 0 28 4 5 42 4 1 37 9 42 42 9 6 11 2 5 42 28 42 1 37 5 6 7 42 42 42 4 37 28 42 42 4 42 8 42 7 7 42 28 42 42 2 7 5 42 42 42 4 42 5 7 42 37 28 42 42 42 6 5 42 7 2 9 10 39 39 39 9 39 9 39 9 31 39 9 32 39 39 9 9 42 42 9 11 39 9 9 39 9 10 39 31 9 39 9 9 39 11 39 9 39 31 39 9 31 16 39 39 9 31 39 9 39 31 9 12 39 39 39 9 39 9 39 11 39 9 39 39 39 33 9 31 42 39 39 39 31 9 9 42 31 9 12 33 39 31 39 39 9 39 42 9 39 32 39 10 9 9 11 10 39 42 12 25 12 25 25 25 5 17 25 25 35 25 25 12 27 25 25 2 2 12 26 25 25 25 25 25 25 12 2 25 2 12 12 17 26 32 25 2 2 37 18 17 25 25 4 25 2 33 12 25 18 12 12 25 26 12 27 12 37 12 25 25 25 17 25 26 25 27 17 18 37 25 25 25 25 17 2 25 25 12 25 25 6 12 25 26 16 25 25 34 12 27 25 2 17 6 25 25 25 25 7 15 34 42 12 7 36 34 42 42 42 42 34 42 35 16 42 34 35 42 35 12 42 42 42 16 12 42 16 12 42 34 36 42 42 42 42 34 16 12 42 42 42 15 16 42 42 12 12 42 35 42 42 34 42 7 16 16 42 42 42 36 12 42 34 42 34 16 34 42 34 12 16 7 7 42 42 42 34 34 42 34 42 16 42 12 12 16 16 42 42 12 12 42 34 8 16 16 34 42 38 13 19 34 19 19 19 19 34 19 13 19 34 1 13 19 19 19 19 19 34 36 12 20 27 19 19 34 1 19 3 13 19 19 19 19 19 34 20 19 19 35 34 19 20 13 19 1 19 34 25 20 0 19 19 34 19 36 19 13 1 31 19 12 19 19 20 3 19 3 34 19 36 19 27 1 1 19 19 19 19 19 1 0 20 13 0 1 19 34 35 20 42 3 31 19 0 36 0 13"
