rank,fitness,winrate,genome
1,-0.7730,0.9600,"25 25 25 26 26 12 16 27 25 12 12 25 25 27 25 25 16 16 12 25 25 25 25 12 2 12 25 26 25 25 26 40 25 27 27 25 25 26 16 25 26 26 1 12 25 27 16 12 25 16 25 25 27 12 25 16 16 27 16 13 25 3 25 25 26 25 27 27 12 26 42 25 26 25 12 26 40 25 25 25 16 25 25 25 27 40 27 25 25 25 25 12 16 25 25 40 0 25 25 26 25 10 27 26 25 42 9 9 42 9 42 27 25 42 12 25 23 25 27 25 25 25 25 26 25 25 26 42 25 25 26 42 25 12 25 9 25 25 10 25 42 27 23 25 26 25 27 23 25 25 16 25 23 25 12 3 25 25 25 27 42 23 25 42 9 26 26 42 24 23 25 9 12 25 25 16 39 25 16 25 27 26 25 12 25 25 12 25 25 42 42 42 25 42 27 25 25 27 26 42 33 42 31 13 42 1 39 39 12 2 42 29 12 42 8 3 42 42 42 12 42 3 42 42 2 42 13 12 42 3 42 2 16 42 38 1 28 42 39 39 42 28 12 28 42 42 28 16 39 42 42 42 42 42 39 42 28 12 0 7 28 42 13 16 1 42 42 12 42 42 42 28 13 39 0 42 30 42 12 2 16 12 16 12 42 39 12 42 42 28 2 12 7 42 39 0 38 39 42 42 39 4 37 34 34 39 4 34 39 39 39 39 39 39 17 35 39 39 39 39 18 34 34 39 39 39 39 39 39 39 39 39 39 2 34 39 39 39 39 39 36 39 39 39 17 17 28 6 39 39 5 39 39 4 39 39 39 39 39 39 39 39 31 17 17 39 39 39 39 39 39 39 39 17 39 28 39 36 2 39 6 34 39 17 39 34 39 39 39 39 39 39 35 34 39 29 39 34 39 34 39 36 39 39 34 41 34 13 36 41 34 34 41 34 0 34 0 35 3 36 39 34 41 7 39 34 34 39 41 3 35 41 34 34 34 34 39 13 36 41 34 39 35 34 41 35 34 39 34 41 39 41 13 35 35 39 7 34 0 34 34 41 41 7 17 34 34 34 35 34 34 0 34 34 41 34 39 13 34 1 36 39 41 35 34 34 34 34 34 34 1 35 41 35 17 13 35 17 35 34"
2,-0.7665,0.9545,"25 25 25 26 26 12 16 27 25 12 12 25 25 27 25 25 16 16 12 25 25 25 25 12 2 12 25 26 25 25 26 40 25 27 27 25 25 26 16 25 26 26 1 12 25 27 16 12 25 16 25 25 27 12 25 16 16 27 16 13 25 3 25 25 26 25 27 27 12 26 42 25 26 25 12 26 40 25 25 25 16 25 25 25 27 40 27 25 25 25 25 12 16 25 25 40 0 25 25 26 3 3 37 4 2 6 2 0 0 2 9 0 0 2 3 5 3 37 39 3 2 2 3 3 5 2 2 3 0 0 2 0 2 0 9 2 2 10 2 12 2 0 37 2 0 2 2 2 2 0 6 39 38 2 0 6 0 2 2 2 39 2 2 5 33 3 2 0 39 5 0 2 2 3 37 37 39 10 0 10 6 3 41 2 6 10 2 4 10 0 3 9 3 2 2 6 2 3 3 11 33 39 2 42 42 1 39 42 0 5 42 29 8 42 8 3 13 39 39 6 42 3 2 39 6 39 13 5 42 6 42 2 29 4 38 42 5 39 42 4 42 37 42 28 5 5 42 2 42 39 2 28 42 38 42 37 42 37 0 6 6 42 42 5 1 42 39 39 42 5 42 5 13 2 42 4 5 2 38 2 42 0 2 13 39 42 5 42 42 42 2 37 42 38 42 42 37 6 42 42 20 2 3 2 19 8 3 19 2 2 2 8 3 3 0 19 2 8 0 0 2 19 19 8 8 2 2 8 3 2 2 8 0 2 2 2 8 8 3 3 8 7 8 8 2 7 3 34 34 0 7 19 8 19 8 2 8 2 20 2 20 2 2 2 2 8 2 19 8 2 20 7 7 34 0 2 2 2 2 2 3 19 31 31 8 34 2 2 8 8 8 2 41 8 19 0 0 2 0 27 17 21 21 3 3 21 21 3 9 21 22 21 21 0 0 0 3 0 3 3 0 3 21 7 21 2 21 21 21 21 0 15 21 0 21 3 9 11 3 7 21 22 9 0 21 22 21 2 2 8 22 9 3 3 0 3 0 21 21 7 0 2 0 3 22 3 21 22 2 8 21 11 0 21 0 3 2 14 3 21 0 3 41 21 0 2 11 21 3 0 2 21 21 9 21 2 22 0 22 21"
3,-0.7397,0.9600,"25 25 25 26 26 12 16 27 25 12 12 25 25 27 25 25 16 16 12 25 25 25 25 12 2 12 25 26 25 25 26 40 25 27 27 25 25 26 16 25 26 26 1 12 25 27 16 12 25 16 25 25 27 12 25 16 16 27 16 13 25 3 25 25 26 25 27 27 12 26 42 25 26 25 12 26 40 25 25 25 16 25 25 25 27 40 27 25 25 25 25 12 16 25 25 40 0 25 25 26 28 39 28 28 30 28 28 30 8 28 29 28 28 28 28 28 2 39 29 30 28 28 28 28 28 28 2 28 28 8 2 39 29 7 28 28 29 28 30 7 28 28 28 2 28 2 2 25 2 2 30 30 30 29 28 28 28 28 28 28 29 28 28 30 28 28 30 29 2 28 28 2 28 28 28 2 2 28 30 28 2 28 28 29 28 8 2 8 28 28 2 28 39 28 28 12 39 28 28 28 30 16 27 27 16 28 16 12 12 30 12 28 28 12 12 21 12 12 12 16 22 12 28 29 16 22 21 28 30 12 30 28 12 8 21 29 21 28 16 28 29 16 29 28 12 28 12 12 16 30 16 12 29 30 21 16 12 30 28 16 30 16 12 12 28 28 30 28 21 28 12 28 12 28 12 16 12 2 12 12 28 29 28 16 12 30 16 12 28 28 21 21 16 12 16 16 12 27 28 12 20 2 3 2 19 8 3 19 2 2 2 8 3 3 0 19 2 8 0 0 2 19 19 8 8 2 2 8 3 2 2 8 0 2 2 2 8 8 3 3 8 7 8 8 2 7 3 34 34 0 7 19 8 19 8 2 8 2 20 2 20 2 2 2 2 8 2 19 8 2 20 7 7 34 0 2 2 2 2 2 3 19 31 31 8 34 2 2 8 8 8 2 41 8 19 0 0 2 0 27 2 9 9 12 2 12 11 17 9 12 12 18 12 12 12 2 12 9 3 10 0 3 12 12 21 17 17 21 21 12 2 12 18 2 17 17 12 18 12 17 21 2 12 12 12 22 12 2 2 12 2 12 9 12 0 3 12 18 2 12 12 12 18 3 18 12 21 17 2 18 2 18 2 18 12 2 9 17 9 2 12 17 12 17 12 12 12 18 10 0 18 18 2 9 12 2 12 18 12 2"
4,-0.7050,0.8846,"25 25 25 26 26 12 16 27 25 12 12 25 25 27 25 25 16 16 12 25 25 25 25 12 2 12 25 26 25 25 26 40 25 27 27 25 25 26 16 25 26 26 1 12 25 27 16 12 25 16 25 25 27 12 25 16 16 27 16 13 25 3 25 25 26 25 27 27 12 26 42 25 26 25 12 26 40 25 25 25 16 25 25 25 27 40 27 25 25 25 25 12 16 25 25 40 0 25 25 26 3 3 37 4 2 6 2 0 0 2 9 0 0 2 3 5 3 37 39 3 2 2 3 3 5 2 2 3 0 0 2 0 2 0 9 2 2 10 2 12 2 0 37 2 0 2 2 2 2 0 6 39 38 2 0 6 0 2 2 2 39 2 2 5 33 3 2 0 39 5 0 2 2 3 37 37 39 10 0 10 6 3 41 2 6 10 2 4 10 0 3 9 3 2 2 6 2 3 3 11 33 39 2 42 42 1 39 42 0 5 42 29 8 42 8 3 13 39 39 6 42 3 2 39 6 39 13 5 42 6 42 2 29 4 38 42 5 39 42 4 42 37 42 28 5 5 42 2 42 39 2 28 42 38 42 37 42 37 0 6 6 42 42 5 1 42 39 39 42 5 42 5 13 2 42 4 5 2 38 2 42 0 2 13 39 42 5 42 42 42 2 37 42 38 42 42 37 6 42 42 20 2 3 2 19 8 3 19 2 2 2 8 3 3 0 19 2 8 0 0 2 19 19 8 8 2 2 8 3 2 2 8 0 2 2 2 8 8 3 3 8 7 8 8 2 7 3 34 34 0 7 19 8 19 8 2 8 2 20 2 20 2 2 2 2 8 2 19 8 2 20 7 7 34 0 2 2 2 2 2 3 19 31 31 8 34 2 2 8 8 8 2 41 8 19 0 0 2 0 27 2 0 38 1 2 10 13 2 9 2 11 21 2 38 2 2 3 9 3 10 38 3 13 1 3 3 2 21 38 10 2 2 2 2 2 2 9 38 11 9 21 2 2 2 21 22 2 0 2 2 3 1 13 2 0 3 2 21 2 3 1 11 3 3 13 3 21 13 0 9 2 11 2 13 0 3 9 13 3 2 13 3 1 1 2 2 2 21 10 0 2 0 2 9 11 2 13 0 22 2"
5,-0.6697,0.8846,"25 25 25 26 26 12 16 27 25 12 12 25 25 27 25 25 16 16 12 25 25 25 25 12 2 12 25 26 25 25 26 40 25 27 27 25 25 26 16 25 26 26 1 12 25 27 16 12 25 16 25 25 27 12 25 16 16 27 16 13 25 3 25 25 26 25 27 27 12 26 42 25 26 25 12 26 40 25 25 25 16 25 25 25 27 40 27 25 25 25 25 12 16 25 25 40 0 25 25 26 28 39 28 28 30 28 28 30 8 28 29 28 28 28 28 28 2 39 29 30 28 28 28 28 28 28 2 28 28 8 2 39 29 7 28 28 29 28 30 7 28 28 28 2 28 2 2 25 2 2 30 30 30 29 28 28 28 28 28 28 29 28 28 30 28 28 30 29 2 28 28 2 28 28 28 2 2 28 30 28 2 28 28 29 28 8 2 8 28 28 2 28 39 28 28 12 39 28 28 28 30 16 27 27 16 28 16 12 12 30 12 28 28 12 12 21 12 12 12 16 22 12 28 29 16 22 21 28 30 12 30 28 12 8 21 29 21 28 16 28 29 16 29 28 12 28 12 12 16 30 16 12 29 30 21 16 12 30 28 16 30 16 12 12 28 28 30 28 21 28 12 28 12 28 12 16 12 2 12 12 28 29 28 16 12 30 16 12 28 28 21 21 16 12 16 16 12 27 28 12 8 3 7 7 7 38 7 7 8 7 7 7 7 25 7 3 7 25 25 13 0 25 7 7 13 26 25 42 25 0 7 8 7 7 7 38 7 7 0 25 7 25 7 1 12 12 7 25 7 8 12 20 7 1 1 7 7 25 8 8 8 5 25 12 25 26 25 7 7 25 12 12 7 2 8 0 3 7 7 7 7 7 7 25 3 3 25 7 26 7 7 7 20 38 7 8 8 7 1 7 17 10 2 2 2 7 2 8 9 2 14 2 6 17 17 2 8 2 2 2 2 2 2 7 2 2 2 11 11 7 2 15 11 11 6 2 9 11 9 7 18 2 9 2 2 8 19 2 2 8 19 9 2 11 2 10 2 10 2 7 2 2 2 2 17 2 2 11 2 8 2 11 10 2 2 2 2 14 9 2 2 2 2 2 7 2 11 17 2 2 2 2 2 9 2 2 8 15 7 2"
6,-0.6491,0.8500,"25 25 25 26 26 12 16 27 25 12 12 25 25 27 25 25 16 16 12 25 25 25 25 12 2 12 25 26 25 25 26 40 25 27 27 25 25 26 16 25 26 26 1 12 25 27 16 12 25 16 25 25 27 12 25 16 16 27 16 13 25 3 25 25 26 25 27 27 12 26 42 25 26 25 12 26 40 25 25 25 16 25 25 25 27 40 27 25 25 25 25 12 16 25 25 40 0 25 25 26 28 39 28 28 30 28 28 30 8 28 29 28 28 28 28 28 2 39 29 30 28 28 28 28 28 28 2 28 28 8 2 39 29 7 28 28 29 28 30 7 28 28 28 2 28 2 2 25 2 2 30 30 30 29 28 28 28 28 28 28 29 28 28 30 28 28 30 29 2 28 28 2 28 28 28 2 2 28 30 28 2 28 28 29 28 8 2 8 28 28 2 28 39 28 28 12 39 28 28 28 30 16 27 27 16 28 16 12 12 30 12 28 28 12 12 21 12 12 12 16 22 12 28 29 16 22 21 28 30 12 30 28 12 8 21 29 21 28 16 28 29 16 29 28 12 28 12 12 16 30 16 12 29 30 21 16 12 30 28 16 30 16 12 12 28 28 30 28 21 28 12 28 12 28 12 16 12 2 12 12 28 29 28 16 12 30 16 12 28 28 21 21 16 12 16 16 12 27 28 12 9 36 12 12 9 2 34 12 34 12 34 36 11 34 34 12 39 2 12 12 12 12 12 2 2 2 34 34 39 34 4 2 2 2 2 4 39 35 12 5 12 2 12 12 11 5 2 2 12 12 12 34 2 4 35 35 2 2 12 34 2 34 12 36 12 12 35 2 34 12 2 34 35 35 35 12 34 12 12 2 2 34 2 12 2 2 9 12 36 39 2 2 35 36 2 34 2 12 9 35 17 25 17 17 17 17 17 18 17 25 18 37 20 17 25 18 17 25 25 6 0 17 18 17 17 17 17 7 18 2 17 17 26 2 17 18 17 19 17 20 25 17 37 18 17 18 17 17 17 17 17 17 6 17 17 17 17 13 17 17 18 17 17 17 17 25 17 13 18 17 17 17 2 17 17 18 25 2 17 2 17 18 17 1 17 17 17 18 17 2 17 17 17 18 26 25 26 27 18 18"
7,-0.6432,0.8519,"25 25 25 26 26 12 16 27 25 12 12 25 25 27 25 25 16 16 12 25 25 25 25 12 2 12 25 26 25 25 26 40 25 27 27 25 25 26 16 25 26 26 1 12 25 27 16 12 25 16 25 25 27 12 25 16 16 27 16 13 25 3 25 25 26 25 27 27 12 26 42 25 26 25 12 26 40 25 25 25 16 25 25 25 27 40 27 25 25 25 25 12 16 25 25 40 0 25 25 26 42 12 42 42 42 6 28 16 8 16 42 4 42 28 42 28 12 5 12 16 28 28 28 28 28 12 4 28 12 8 6 16 16 42 12 28 12 12 16 42 28 12 42 2 42 2 2 16 2 2 16 16 42 12 12 12 6 12 2 12 12 42 28 42 28 42 30 12 16 2 42 42 16 16 16 6 2 6 30 12 2 28 16 42 28 16 2 12 4 42 2 28 42 16 28 42 39 28 28 2 34 34 34 27 34 36 34 34 34 35 34 36 34 34 34 34 12 12 39 34 34 34 21 12 34 22 21 8 12 12 21 34 12 34 21 21 21 34 12 34 34 34 34 36 34 34 34 21 12 21 25 34 26 34 35 34 12 39 12 34 34 35 34 21 34 34 34 36 21 36 34 34 25 34 34 21 36 34 34 36 34 21 12 34 22 34 35 39 34 36 21 21 34 12 34 35 34 27 34 12 16 16 0 26 1 12 12 12 12 33 28 12 0 12 12 12 32 31 33 12 12 28 12 12 12 16 31 16 28 0 1 16 31 16 12 25 3 12 12 12 33 12 12 16 12 12 28 38 12 16 12 12 33 12 12 28 16 25 12 28 13 12 33 13 3 12 16 12 12 12 12 16 28 16 12 16 12 12 33 28 12 28 16 12 28 3 16 16 28 25 32 33 33 32 12 38 25 12 25 27 2 3 2 8 3 27 25 25 2 2 2 1 0 25 13 1 3 0 25 25 2 2 25 7 2 13 8 3 1 0 2 13 26 8 8 2 2 2 2 0 0 2 13 25 2 19 13 13 25 38 2 38 2 26 1 1 2 38 2 13 27 21 20 0 38 25 2 13 19 2 25 2 2 25 19 7 25 2 2 0 38 1 8 1 2 27 38 38 0 2 2 1 7 25 1 25 2 13 8 8"
8,-0.6402,0.8000,"37 2 37 4 41 2 2 1 42 41 41 2 2 39 2 12 4 2 6 41 2 2 2 2 39 41 2 2 42 42 7 2 41 2 2 38 16 2 6 42 6 2 2 16 16 42 2 39 42 3 2 5 16 16 41 2 37 4 42 12 38 5 2 41 2 42 1 16 2 2 42 2 42 41 2 12 41 39 16 42 2 2 42 41 2 41 2 42 41 2 2 2 6 2 6 4 2 12 2 2 25 10 27 26 25 42 9 9 42 9 42 27 25 42 12 25 23 25 27 25 25 25 25 26 25 25 26 42 25 25 26 42 25 12 25 9 25 25 10 25 42 27 23 25 26 25 27 23 25 25 16 25 23 25 12 3 25 25 25 27 42 23 25 42 9 26 26 42 24 23 25 9 12 25 25 16 39 25 16 25 27 26 25 12 25 25 12 25 25 42 42 42 25 42 27 25 25 27 26 42 33 42 31 13 42 1 39 39 12 2 42 29 12 42 8 3 42 42 42 12 42 3 42 42 2 42 13 12 42 3 42 2 16 42 38 1 28 42 39 39 42 28 12 28 42 42 28 16 39 42 42 42 42 42 39 42 28 12 0 7 28 42 13 16 1 42 42 12 42 42 42 28 13 39 0 42 30 42 12 2 16 12 16 12 42 39 12 42 42 28 2 12 7 42 39 0 38 39 42 42 39 4 37 34 34 39 4 34 39 39 39 39 39 39 17 35 39 39 39 39 18 34 34 39 39 39 39 39 39 39 39 39 39 2 34 39 39 39 39 39 36 39 39 39 17 17 28 6 39 39 5 39 39 4 39 39 39 39 39 39 39 39 31 17 17 39 39 39 39 39 39 39 39 17 39 28 39 36 2 39 6 34 39 17 39 34 39 39 39 39 39 39 35 34 39 29 39 34 39 34 39 18 39 39 17 41 34 13 0 41 39 34 41 41 0 39 0 41 3 17 39 3 41 7 39 39 17 39 41 3 39 41 35 41 34 41 39 13 39 41 41 39 39 38 41 41 39 39 13 41 39 41 13 17 39 39 7 41 0 41 13 41 41 7 17 38 17 34 39 41 41 0 17 39 41 39 39 13 39 1 39 39 41 17 39 39 41 18 39 34 1 39 41 35 17 13 3 17 35 17"
9,-0.6305,0.7600,"2 16 12 16 2 12 34 8 12 12 39 9 2 16 16 7 39 16 5 16 16 39 12 8 39 12 12 2 39 8 12 12 12 16 12 16 39 34 2 16 12 2 16 12 12 39 39 39 16 12 39 8 16 39 2 39 7 16 16 34 12 10 12 2 12 16 41 16 12 39 2 16 39 16 34 12 39 39 16 2 34 34 7 34 2 12 2 7 37 12 2 34 16 16 34 12 8 16 9 34 38 3 37 2 0 6 2 0 11 2 2 2 2 2 3 38 3 13 9 3 11 1 9 11 5 2 2 9 0 38 2 3 2 0 9 2 1 0 2 38 2 9 2 2 38 13 13 38 38 3 38 9 38 0 2 2 9 2 38 2 10 38 13 3 2 1 2 10 11 2 0 9 2 3 10 13 2 2 3 9 6 3 41 13 6 10 2 13 38 2 3 13 3 38 0 6 2 9 13 13 33 39 31 13 7 1 39 39 0 2 39 29 8 0 8 3 13 39 39 39 8 3 2 39 2 39 13 8 39 3 39 2 29 8 38 1 28 39 39 39 28 28 38 28 39 39 28 2 39 39 2 28 2 38 39 39 28 39 0 7 28 30 13 3 1 0 39 39 39 3 39 28 13 39 0 39 30 2 38 2 39 0 2 13 39 39 0 39 7 28 2 39 7 38 39 0 38 39 38 2 2 8 2 7 19 2 2 19 2 2 2 8 3 2 2 2 2 8 2 2 7 8 2 8 7 2 8 8 3 7 2 8 2 2 2 2 2 8 8 8 8 7 8 8 2 7 3 2 34 0 2 2 2 19 2 2 8 2 20 7 2 7 7 2 2 8 8 19 2 7 20 7 2 2 0 2 7 2 8 2 7 19 31 7 8 2 2 2 8 7 8 2 2 8 7 2 8 7 2 7 17 10 2 2 2 7 2 8 9 2 14 2 6 17 17 2 8 2 2 2 2 2 2 7 2 2 2 11 11 7 2 15 11 11 6 2 9 11 9 7 18 2 9 2 2 8 19 2 2 8 19 9 2 11 2 10 2 10 2 7 2 2 2 2 17 2 2 11 2 8 2 11 10 2 2 2 2 14 9 2 2 2 2 2 7 2 11 17 2 2 2 2 2 9 2 2 8 15 7 2"
10,-0.6291,0.7826,"37 2 37 4 41 2 2 1 42 41 41 2 2 39 2 12 4 2 6 41 2 2 2 2 39 41 2 2 42 42 7 2 41 2 2 38 16 2 6 42 6 2 2 16 16 42 2 39 42 3 2 5 16 16 41 2 37 4 42 12 38 5 2 41 2 42 1 16 2 2 42 2 42 41 2 12 41 39 16 42 2 2 42 41 2 41 2 42 41 2 2 2 6 2 6 4 2 12 2 2 25 10 27 26 25 42 9 9 42 9 42 27 25 42 12 25 23 25 27 25 25 25 25 26 25 25 26 42 25 25 26 42 25 12 25 9 25 25 10 25 42 27 23 25 26 25 27 23 25 25 16 25 23 25 12 3 25 25 25 27 42 23 25 42 9 26 26 42 24 23 25 9 12 25 25 16 39 25 16 25 27 26 25 12 25 25 12 25 25 42 42 42 25 42 27 25 25 27 26 42 33 42 31 13 42 1 39 39 12 2 42 29 12 42 8 3 42 42 42 12 42 3 42 42 2 42 13 12 42 3 42 2 16 42 38 1 28 42 39 39 42 28 12 28 42 42 28 16 39 42 42 42 42 42 39 42 28 12 0 7 28 42 13 16 1 42 42 12 42 42 42 28 13 39 0 42 30 42 12 2 16 12 16 12 42 39 12 42 42 28 2 12 7 42 39 0 38 39 42 42 39 4 37 34 34 39 4 34 39 39 39 39 39 39 17 35 39 39 39 39 18 34 34 39 39 39 39 39 39 39 39 39 39 2 34 39 39 39 39 39 36 39 39 39 17 17 28 6 39 39 5 39 39 4 39 39 39 39 39 39 39 39 31 17 17 39 39 39 39 39 39 39 39 17 39 28 39 36 2 39 6 34 39 17 39 34 39 39 39 39 39 39 35 34 39 29 39 34 39 34 39 18 39 39 17 41 34 13 0 41 39 34 41 41 0 39 0 41 3 17 39 3 41 7 39 39 17 39 41 3 39 41 35 41 34 41 39 13 39 41 41 39 39 38 41 41 39 39 13 41 39 41 13 17 39 39 7 41 0 41 13 41 41 7 17 38 17 34 39 41 41 0 17 39 41 39 39 13 39 1 39 39 41 17 39 39 41 18 39 34 1 39 41 35 17 13 3 17 35 17"
