rank,fitness,winrate,genome
1,-0.8017,1.0000,"8 2 25 2 7 27 2 25 26 25 25 8 25 8 2 2 27 42 25 25 27 42 25 12 25 25 2 25 25 7 2 25 25 8 2 12 25 26 25 25 2 27 25 25 34 25 26 2 25 42 25 25 2 26 27 12 25 2 25 25 25 25 16 26 25 25 8 2 25 42 2 34 25 25 25 25 25 25 2 2 2 8 26 25 25 25 25 25 27 42 25 12 12 2 25 26 25 7 25 2 25 25 12 16 25 39 25 39 25 16 16 16 12 25 2 25 39 25 2 12 25 25 25 25 25 11 16 25 2 39 26 26 25 25 27 11 25 12 25 9 25 16 25 25 26 11 39 27 12 26 25 26 39 25 25 25 9 25 39 39 25 2 25 25 25 25 9 25 27 25 12 26 25 25 10 25 11 25 25 12 25 2 39 25 25 25 27 25 25 11 25 12 27 25 26 25 25 25 11 2 31 17 17 17 17 28 18 31 17 18 18 17 17 17 31 32 8 31 17 17 17 31 28 31 33 2 31 17 32 17 18 33 31 17 32 18 17 18 31 17 17 31 31 17 17 17 12 18 17 17 31 31 18 31 17 18 18 17 31 17 17 17 31 18 17 31 17 29 17 17 18 17 17 7 17 17 17 32 31 31 17 31 17 31 17 32 31 17 31 17 31 17 17 17 17 17 32 17 18 17 13 7 7 8 28 7 7 7 7 8 3 0 7 1 7 38 7 7 28 7 29 28 0 7 0 28 8 3 8 1 7 7 19 38 19 1 13 30 7 7 7 7 7 7 8 7 7 8 8 3 7 19 8 1 13 28 1 7 7 0 19 7 3 7 8 7 7 7 13 28 20 19 7 8 7 7 8 28 7 28 1 29 7 19 8 7 13 7 13 8 8 8 7 1 7 7 19 7 13 19 12 0 0 12 38 12 12 12 0 12 12 18 12 17 12 38 7 9 17 7 4 3 18 38 7 17 8 3 12 3 17 8 12 17 17 0 9 0 3 12 17 12 12 3 0 18 17 12 0 12 12 12 9 0 12 12 18 0 3 7 12 12 18 13 12 12 12 38 17 18 0 17 7 0 1 12 3 0 0 3 12 0 12 0 7 18 7 0 18 17 12 17 3 18 12 0 17 17 12 12"
2,-0.7900,1.0000,"8 2 25 2 7 27 2 25 26 25 25 8 25 8 2 2 27 42 25 25 27 42 25 12 25 25 2 25 25 7 2 25 25 8 2 12 25 26 25 25 2 27 25 25 34 25 26 2 25 42 25 25 2 26 27 12 25 2 25 25 25 25 16 26 25 25 8 2 25 42 2 34 25 25 25 25 25 25 2 2 2 8 26 25 25 25 25 25 27 42 25 12 12 2 25 26 25 7 25 2 25 25 12 16 25 39 25 39 25 16 16 16 12 25 2 25 39 25 2 12 25 25 25 25 25 11 16 25 2 39 26 26 25 25 27 11 25 12 25 9 25 16 25 25 26 11 39 27 12 26 25 26 39 25 25 25 9 25 39 39 25 2 25 25 25 25 9 25 27 25 12 26 25 25 10 25 11 25 25 12 25 2 39 25 25 25 27 25 25 11 25 12 27 25 26 25 25 25 11 2 8 17 2 2 18 7 2 18 2 17 17 18 31 2 2 2 12 17 7 2 8 18 2 7 8 7 2 8 2 12 2 18 7 23 2 2 7 8 7 17 7 12 2 2 18 2 2 17 8 2 2 8 12 2 12 2 7 2 2 17 17 18 2 2 7 8 2 17 23 7 8 2 23 1 2 12 2 7 8 18 8 17 17 17 2 2 2 7 7 7 2 12 2 17 2 7 17 2 17 2 13 7 7 8 28 7 7 7 7 8 3 0 7 1 7 38 7 7 28 7 29 28 0 7 0 28 8 3 8 1 7 7 19 38 19 1 13 30 7 7 7 7 7 7 8 7 7 8 8 3 7 19 8 1 13 28 1 7 7 0 19 7 3 7 8 7 7 7 13 28 20 19 7 8 7 7 8 28 7 28 1 29 7 19 8 7 13 7 13 8 8 8 7 1 7 7 19 7 13 19 12 0 0 12 38 12 12 12 0 12 12 18 12 17 12 38 7 9 17 7 4 3 18 38 7 17 8 3 12 3 17 8 12 17 17 0 9 0 3 12 17 12 12 3 0 18 17 12 0 12 12 12 9 0 12 12 18 0 3 7 12 12 18 13 12 12 12 38 17 18 0 17 7 0 1 12 3 0 0 3 12 0 12 0 7 18 7 0 18 17 12 17 3 18 12 0 17 17 12 12"
3,-0.7875,1.0000,"8 2 25 2 7 27 2 25 26 25 25 8 25 8 2 2 27 42 25 25 27 42 25 12 25 25 2 25 25 7 2 25 25 8 2 12 25 26 25 25 2 27 25 25 34 25 26 2 25 42 25 25 2 26 27 12 25 2 25 25 25 25 16 26 25 25 8 2 25 42 2 34 25 25 25 25 25 25 2 2 2 8 26 25 25 25 25 25 27 42 25 12 12 2 25 26 25 7 25 2 12 26 27 25 25 40 12 39 25 39 25 25 25 25 16 39 25 25 26 3 39 25 39 39 1 25 39 0 39 27 25 39 39 39 39 3 39 26 25 25 39 25 40 39 40 39 25 39 26 39 25 25 39 26 39 25 3 39 25 3 27 25 25 25 1 39 25 25 25 25 0 39 25 39 40 40 39 39 25 39 27 25 39 26 25 25 39 39 26 39 26 39 38 25 13 25 39 39 25 40 3 41 8 37 38 41 2 41 37 5 41 41 1 2 3 17 8 2 41 38 5 38 2 41 41 38 41 0 41 5 41 41 2 7 41 2 2 41 38 6 1 13 3 7 41 25 3 41 13 41 38 41 41 2 1 2 1 7 2 27 41 6 8 8 38 2 41 2 7 2 2 1 8 38 41 3 2 2 17 41 2 7 8 2 0 41 8 2 8 41 1 13 41 2 41 2 2 0 2 41 39 42 6 4 41 13 41 39 0 42 41 39 39 39 1 39 41 41 1 39 39 42 9 41 10 39 9 39 41 39 39 9 41 38 13 39 39 41 39 39 39 36 13 39 39 9 39 1 41 42 39 1 1 39 39 39 41 39 9 41 42 39 0 41 41 39 41 39 38 39 41 39 39 0 34 5 41 1 0 42 39 39 39 13 41 41 41 0 39 0 0 39 39 39 39 0 42 4 41 39 3 2 4 4 2 2 0 3 2 2 2 2 2 2 2 2 4 3 3 0 0 41 5 37 2 5 3 2 2 5 5 2 3 2 0 2 37 0 42 2 0 2 2 0 0 0 6 2 2 0 6 3 2 0 25 0 0 37 25 33 32 31 2 2 2 3 3 31 2 0 31 0 2 27 3 2 2 37 3 2 2 31 2 0 5 2 3 2 2 6 6 2 5 3 2 6 4 2 33 0"
4,-0.7834,1.0000,"8 2 25 2 7 27 2 25 26 25 25 8 25 8 2 2 27 42 25 25 27 42 25 12 25 25 2 25 25 7 2 25 25 8 2 12 25 26 25 25 2 27 25 25 34 25 26 2 25 42 25 25 2 26 27 12 25 2 25 25 25 25 16 26 25 25 8 2 25 42 2 34 25 25 25 25 25 25 2 2 2 8 26 25 25 25 25 25 27 42 25 12 12 2 25 26 25 7 25 2 4 22 2 21 0 3 2 3 21 21 21 22 39 0 26 21 39 21 0 21 21 21 41 2 21 3 21 2 3 0 21 21 21 21 21 21 0 21 39 21 39 21 21 21 21 22 21 0 21 21 0 2 21 39 21 21 26 2 21 21 2 22 21 37 2 0 37 21 3 21 3 25 21 2 21 21 3 6 2 21 22 21 21 2 21 21 5 22 0 21 25 21 22 21 22 21 21 21 21 39 12 12 12 17 2 12 17 17 18 18 18 17 12 12 18 12 12 2 17 18 18 12 12 30 12 2 12 30 12 12 18 30 2 7 8 29 12 2 29 6 30 12 12 12 12 29 12 12 29 12 18 29 12 2 7 12 12 12 18 29 18 18 8 8 28 29 12 29 12 12 12 17 17 7 12 2 12 17 17 18 30 17 12 18 12 2 29 12 28 29 12 12 12 2 4 2 17 12 2 18 9 3 13 31 37 38 32 13 2 0 1 9 21 31 33 3 5 31 2 13 0 9 9 33 13 31 37 33 9 0 6 31 3 0 5 38 38 5 0 33 2 2 38 1 31 32 1 37 3 0 9 4 31 1 1 38 1 5 0 21 6 2 37 6 31 9 6 6 31 10 37 5 3 37 9 0 3 0 33 3 5 31 3 5 3 3 33 3 21 13 31 31 33 38 4 31 38 6 1 9 5 7 7 8 2 39 7 39 2 39 2 39 7 7 2 2 2 8 7 7 7 7 7 39 8 7 39 7 7 2 2 7 2 7 39 2 7 8 7 7 8 7 7 8 39 7 2 7 39 7 7 7 7 39 8 7 8 8 2 33 7 31 7 7 2 7 8 8 7 39 7 7 39 7 8 7 2 8 7 7 8 8 8 39 5 2 7 2 7 39 39 7 8 7 2 7 7 2 39 7"
5,-0.7644,1.0000,"8 2 25 2 7 27 2 25 26 25 25 8 25 8 2 2 27 42 25 25 27 42 25 12 25 25 2 25 25 7 2 25 25 8 2 12 25 26 25 25 2 27 25 25 34 25 26 2 25 42 25 25 2 26 27 12 25 2 25 25 25 25 16 26 25 25 8 2 25 42 2 34 25 25 25 25 25 25 2 2 2 8 26 25 25 25 25 25 27 42 25 12 12 2 25 26 25 7 25 2 12 26 27 25 25 40 12 39 25 39 25 25 25 25 16 39 25 25 26 3 39 25 39 39 1 25 39 0 39 27 25 39 39 39 39 3 39 26 25 25 39 25 40 39 40 39 25 39 26 39 25 25 39 26 39 25 3 39 25 3 27 25 25 25 1 39 25 25 25 25 0 39 25 39 40 40 39 39 25 39 27 25 39 26 25 25 39 39 26 39 26 39 38 25 13 25 39 39 25 40 2 8 8 37 2 2 2 8 37 5 8 7 2 2 2 17 8 2 2 8 5 2 2 2 7 2 40 2 2 5 2 40 2 7 8 2 2 2 17 6 2 2 2 7 12 25 2 2 8 6 7 2 6 2 7 2 2 7 2 27 8 6 8 8 2 2 8 2 7 2 2 2 8 7 2 2 2 2 17 2 2 7 8 2 2 2 8 2 8 2 2 2 7 2 4 2 2 17 2 2 39 42 6 4 41 13 41 39 0 42 41 39 39 39 1 39 41 41 1 39 39 42 9 41 10 39 9 39 41 39 39 9 41 38 13 39 39 41 39 39 39 36 13 39 39 9 39 1 41 42 39 1 1 39 39 39 41 39 9 41 42 39 0 41 41 39 41 39 38 39 41 39 39 0 34 5 41 1 0 42 39 39 39 13 41 41 41 0 39 0 0 39 39 39 39 0 42 4 41 39 3 2 4 4 2 2 0 3 2 2 2 2 2 2 2 2 4 3 3 0 0 41 5 37 2 5 3 2 2 5 5 2 3 2 0 2 37 0 42 2 0 2 2 0 0 0 6 2 2 0 6 3 2 0 25 0 0 37 25 33 32 31 2 2 2 3 3 31 2 0 31 0 2 27 3 2 2 37 3 2 2 31 2 0 5 2 3 2 2 6 6 2 5 3 2 6 4 2 33 0"
6,-0.7316,0.9545,"8 2 25 2 7 27 2 25 26 25 25 8 25 8 2 2 27 42 25 25 27 42 25 12 25 25 2 25 25 7 2 25 25 8 2 12 25 26 25 25 2 27 25 25 34 25 26 2 25 42 25 25 2 26 27 12 25 2 25 25 25 25 16 26 25 25 8 2 25 42 2 34 25 25 25 25 25 25 2 2 2 8 26 25 25 25 25 25 27 42 25 12 12 2 25 26 25 7 25 2 12 26 27 25 25 40 12 39 25 39 25 25 25 25 16 39 25 25 26 3 39 25 39 39 1 25 39 0 39 27 25 39 39 39 39 3 39 26 25 25 39 25 40 39 40 39 25 39 26 39 25 25 39 26 39 25 3 39 25 3 27 25 25 25 1 39 25 25 25 25 0 39 25 39 40 40 39 39 25 39 27 25 39 26 25 25 39 39 26 39 26 39 38 25 13 25 39 39 25 40 2 8 8 37 2 2 2 8 37 5 8 7 2 2 2 17 8 2 2 8 5 2 2 2 7 2 40 2 2 5 2 40 2 7 8 2 2 2 17 6 2 2 2 7 12 25 2 2 8 6 7 2 6 2 7 2 2 7 2 27 8 6 8 8 2 2 8 2 7 2 2 2 8 7 2 2 2 2 17 2 2 7 8 2 2 2 8 2 8 2 2 2 7 2 4 2 2 17 2 2 39 42 6 4 41 13 41 39 0 42 41 39 39 39 1 39 41 41 1 39 39 42 9 41 10 39 9 39 41 39 39 9 41 38 13 39 39 41 39 39 39 36 13 39 39 9 39 1 41 42 39 1 1 39 39 39 41 39 9 41 42 39 0 41 41 39 41 39 38 39 41 39 39 0 34 5 41 1 0 42 39 39 39 13 41 41 41 0 39 0 0 39 39 39 39 0 42 4 41 39 15 2 4 17 17 17 17 3 15 2 15 14 17 2 14 2 17 3 14 17 19 14 5 37 17 17 19 17 2 15 5 2 17 19 15 2 37 0 19 17 0 2 2 0 17 14 6 2 19 14 15 15 14 19 25 15 15 15 17 19 19 31 15 14 19 19 3 19 2 0 17 17 19 19 17 15 2 37 19 17 17 14 2 0 5 14 19 2 2 17 6 2 5 3 2 6 19 19 19 19"
7,-0.7281,0.9231,"8 2 25 2 7 27 2 25 26 25 25 8 25 8 2 2 27 42 25 25 27 42 25 12 25 25 2 25 25 7 2 25 25 8 2 12 25 26 25 25 2 27 25 25 34 25 26 2 25 42 25 25 2 26 27 12 25 2 25 25 25 25 16 26 25 25 8 2 25 42 2 34 25 25 25 25 25 25 2 2 2 8 26 25 25 25 25 25 27 42 25 12 12 2 25 26 25 7 25 2 12 41 1 41 25 1 3 41 3 41 1 41 25 25 16 39 25 25 1 3 41 41 41 39 1 13 39 41 39 27 25 13 1 39 39 3 39 41 41 25 39 25 3 41 40 39 38 39 0 41 25 41 41 41 0 1 3 41 41 41 41 38 38 13 1 39 25 0 25 41 0 39 25 39 41 40 3 39 25 39 13 41 13 41 41 25 0 39 0 3 41 39 0 25 13 25 0 38 3 1 2 8 8 37 2 2 2 8 37 5 8 7 2 2 2 17 8 2 2 8 5 2 2 2 7 2 40 2 2 5 2 40 2 7 8 2 2 2 17 6 2 2 2 7 12 25 2 2 8 6 7 2 6 2 7 2 2 7 2 27 8 6 8 8 2 2 8 2 7 2 2 2 8 7 2 2 2 2 17 2 2 7 8 2 2 2 8 2 8 2 2 2 7 2 4 2 2 17 2 2 39 42 2 2 4 2 4 39 0 42 2 39 39 37 4 39 2 5 1 2 2 42 9 2 2 2 9 39 41 39 2 9 2 38 13 2 39 2 39 39 2 36 2 2 39 2 2 1 4 42 2 1 2 6 5 2 41 2 2 37 2 6 0 41 41 2 41 39 38 39 2 2 2 2 34 2 2 1 0 5 2 39 6 13 2 2 2 0 39 2 4 39 6 39 39 5 2 2 2 2 3 2 4 4 2 2 0 3 2 2 2 2 2 2 2 2 4 3 3 0 0 41 5 37 2 5 3 2 2 5 5 2 3 2 0 2 37 0 42 2 0 2 2 0 0 0 6 2 2 0 6 3 2 0 25 0 0 37 25 33 32 31 2 2 2 3 3 31 2 0 31 0 2 27 3 2 2 37 3 2 2 31 2 0 5 2 3 2 2 6 6 2 5 3 2 6 4 2 33 0"
8,-0.7270,0.8889,"39 13 16 25 42 39 16 26 12 12 39 42 38 42 16 5 42 16 42 25 12 12 12 25 38 26 25 42 42 13 0 25 42 25 42 42 38 16 0 25 30 42 1 42 13 42 25 16 12 42 25 42 25 42 42 42 42 12 42 42 12 1 42 16 0 42 42 25 16 39 25 16 39 39 0 13 42 42 13 25 42 42 25 42 16 25 27 42 27 38 12 42 42 25 42 1 1 25 42 42 12 26 27 25 25 40 12 39 25 39 25 25 25 25 16 39 25 25 26 3 39 25 39 39 1 25 39 0 39 27 25 39 39 39 39 3 39 26 25 25 39 25 40 39 40 39 25 39 26 39 25 25 39 26 39 25 3 39 25 3 27 25 25 25 1 39 25 25 25 25 0 39 25 39 40 40 39 39 25 39 27 25 39 26 25 25 39 39 26 39 26 39 38 25 13 25 39 39 25 40 0 17 17 17 17 18 17 0 18 17 17 17 17 17 17 0 41 17 25 17 25 17 17 17 41 31 27 41 18 17 41 17 18 17 17 12 17 18 41 18 17 25 17 17 17 17 17 17 27 17 41 17 17 18 17 17 41 17 12 0 31 26 31 13 25 41 25 41 17 17 17 17 18 17 38 17 18 26 17 25 17 18 17 17 17 41 17 33 17 25 17 41 0 1 17 17 18 17 12 41 39 42 6 4 41 13 41 39 0 42 41 39 39 39 1 39 41 41 1 39 39 42 9 41 10 39 9 39 41 39 39 9 41 38 13 39 39 41 39 39 39 36 13 39 39 9 39 1 41 42 39 1 1 39 39 39 41 39 9 41 42 39 0 41 41 39 41 39 38 39 41 39 39 0 34 5 41 1 0 42 39 39 39 13 41 41 41 0 39 0 0 39 39 39 39 0 42 4 41 39 28 0 13 39 1 38 39 28 39 38 29 0 41 39 39 29 29 29 28 39 30 39 39 41 13 28 39 29 39 28 0 28 3 39 28 28 39 28 39 30 39 38 28 39 28 28 3 13 1 30 41 38 39 39 39 7 41 39 39 28 13 28 38 29 29 41 39 30 38 28 39 39 39 39 28 28 28 39 28 28 3 28 3 39 13 39 39 39 38 28 28 39 28 39 39 13 28 1 28 0"
9,-0.7103,0.8696,"8 2 25 2 7 27 2 25 26 25 25 8 25 8 2 2 27 42 25 25 27 42 25 12 25 25 2 25 25 7 2 25 25 8 2 12 25 26 25 25 2 27 25 25 34 25 26 2 25 42 25 25 2 26 27 12 25 2 25 25 25 25 16 26 25 25 8 2 25 42 2 34 25 25 25 25 25 25 2 2 2 8 26 25 25 25 25 25 27 42 25 12 12 2 25 26 25 7 25 2 4 22 2 21 0 3 2 3 21 21 21 22 39 0 26 21 39 21 0 21 21 21 41 2 21 3 21 2 3 0 21 21 21 21 21 21 0 21 39 21 39 21 21 21 21 22 21 0 21 21 0 2 21 39 21 21 26 2 21 21 2 22 21 37 2 0 37 21 3 21 3 25 21 2 21 21 3 6 2 21 22 21 21 2 21 21 5 22 0 21 25 21 22 21 22 21 21 21 21 39 31 31 32 12 31 28 31 31 31 28 31 31 31 32 31 32 8 31 31 31 31 31 28 31 33 2 31 31 32 29 31 33 31 32 32 31 12 31 31 6 31 31 31 31 33 31 12 32 29 31 31 31 33 31 31 2 31 31 31 31 31 31 31 33 31 31 33 29 31 31 31 2 31 7 31 31 33 32 31 31 32 31 8 31 33 32 31 31 31 33 31 31 31 33 31 33 32 32 31 31 9 3 13 31 37 38 32 13 2 0 1 9 21 31 33 3 5 31 2 13 0 9 9 33 13 31 37 33 9 0 6 31 3 0 5 38 38 5 0 33 2 2 38 1 31 32 1 37 3 0 9 4 31 1 1 38 1 5 0 21 6 2 37 6 31 9 6 6 31 10 37 5 3 37 9 0 3 0 33 3 5 31 3 5 3 3 33 3 21 13 31 31 33 38 4 31 38 6 1 9 5 2 2 4 2 2 2 2 2 8 2 7 8 8 2 2 2 7 2 7 2 2 2 8 8 5 8 2 2 2 2 8 2 2 2 2 2 8 8 7 2 7 7 2 2 2 2 2 8 2 2 2 2 8 25 2 7 8 2 33 2 31 2 2 2 2 2 2 7 2 31 2 7 27 8 2 2 37 2 8 2 31 2 42 5 2 2 2 2 2 2 8 2 2 2 7 4 2 33 2"
10,-0.7058,0.9000,"28 30 28 28 28 3 28 38 15 29 28 28 28 30 28 15 3 28 28 28 28 30 1 30 28 29 30 28 28 29 28 28 28 14 28 12 0 0 28 28 28 28 28 30 28 28 28 30 29 28 28 28 30 12 28 28 3 30 28 28 28 28 28 28 14 29 28 28 28 30 28 30 28 28 12 20 28 28 1 1 28 30 28 28 28 28 28 1 38 1 28 38 28 12 28 28 28 28 1 30 37 5 12 37 4 4 25 4 5 37 16 16 4 25 2 25 39 37 2 37 5 25 5 4 25 11 16 25 2 5 5 26 25 2 2 37 6 12 5 9 25 16 25 6 5 11 39 5 5 2 25 37 6 5 25 6 9 6 39 39 25 2 25 25 25 25 9 2 27 25 6 2 25 25 10 2 5 25 25 12 4 2 39 25 25 25 5 6 25 11 2 12 27 25 6 25 2 25 37 2 0 41 41 0 3 25 31 0 0 3 31 32 3 38 41 0 41 3 25 31 25 1 41 41 41 31 27 41 26 13 41 32 25 3 10 12 2 25 41 25 0 25 26 20 25 0 1 25 27 2 41 25 25 25 31 41 41 41 12 0 31 26 31 13 25 41 25 41 38 41 41 1 3 25 38 31 25 26 31 25 27 12 25 41 1 41 33 33 25 25 41 41 0 1 41 41 38 41 12 41 2 2 8 8 28 7 7 7 2 8 8 2 2 8 2 8 7 7 2 7 2 28 2 7 2 28 8 7 2 1 8 2 2 38 19 2 2 30 2 7 7 2 7 2 8 2 7 8 2 3 2 8 8 2 2 2 1 7 7 0 19 7 3 7 8 2 2 8 13 2 2 19 2 8 8 7 2 28 2 2 8 29 2 7 8 7 2 7 2 2 8 8 2 2 8 7 19 7 13 2 41 0 1 1 3 38 2 0 0 41 1 41 41 41 2 41 1 41 3 3 3 41 9 41 13 41 41 0 1 2 41 9 3 38 3 9 1 0 1 38 9 41 0 1 2 7 41 13 41 1 41 41 41 13 38 7 41 8 1 8 13 13 38 41 3 41 2 41 38 13 38 38 38 41 13 0 23 13 41 41 3 38 38 0 38 41 41 1 38 3 1 13 38 38 13 13 0 1 0 0"
