# seed=55
# instance=SUPPORT_LIKE_PIECEWISE
# popSize=50
# generations=100
# crossover=BlockUniform(p=0.25)
# mutation=p0=0.05,pMin=0.002,alpha=0.95
# tournamentK=3
# elitism=2
# lambda_similarity=0.3
# fights_per_team=10
# anchors=5
gen,changes,best_fitness,best_winrate,best_similarity,avg_fitness,worst_fitness,best_genome
0,1,-0.5649,0.8462,0.9376,-0.1612,0.2356,"39 27 12 12 26 24 17 39 21 7 26 36 36 31 2 0 0 0 12 10 28 37 25 35 35 23 11 15 21 29 38 9 26 31 6 19 10 37 3 35 29 22 26 29 0 12 12 1 1 33 13 24 18 27 27 37 10 30 30 18 21 6 14 26 14 3 7 7 8 40 31 35 13 26 26 21 41 17 10 31 2 2 31 9 21 29 22 11 33 41 24 33 6 6 7 37 39 36 23 6 40 31 27 26 2 34 4 4 5 3 23 36 29 34 9 41 33 22 19 40 2 2 29 12 6 42 32 29 32 40 19 35 4 28 4 11 41 25 8 12 13 42 36 22 37 24 1 20 2 8 2 13 42 9 14 25 12 9 1 31 34 17 6 29 39 7 39 11 29 15 0 13 25 16 7 32 34 30 24 6 3 25 13 22 11 10 33 9 34 1 0 0 15 22 2 4 30 12 18 32 37 31 28 18 38 15 31 30 36 37 14 21 25 6 41 13 26 2 12 1 17 38 40 38 26 10 35 8 16 41 19 36 42 12 5 42 8 40 10 6 27 21 16 32 30 10 26 14 36 14 1 11 29 30 20 34 40 42 15 8 8 25 20 11 42 39 28 26 31 18 34 38 38 4 25 31 12 24 4 33 35 34 23 1 1 1 42 14 23 6 12 35 10 21 15 39 7 41 17 14 20 14 39 42 38 41 10 6 14 39 34 10 24 33 14 33 7 7 18 15 38 39 39 4 22 34 22 12 42 19 2 8 26 34 35 10 8 33 38 36 24 35 22 19 25 10 14 0 32 42 22 9 3 8 10 19 17 27 15 25 11 10 42 19 19 18 25 33 23 9 17 8 31 19 25 37 1 15 7 29 6 23 5 10 18 18 27 37 34 39 23 42 35 26 36 0 12 3 0 25 27 17 42 20 5 33 1 10 19 35 27 25 15 2 31 0 16 29 21 7 3 28 13 39 33 34 9 23 20 22 14 11 42 5 16 15 18 36 4 33 16 10 28 18 24 5 16 4 35 17 20 12 42 14 27 42 3 40 17 32 6 28 20 2 4 21 29 12 33 28 10 14 40 41 18 27 2 11 4 2 32 33 19 27 35 8 40 5 7 34 4 20 0 6 14 11 38 13 32 35"
1,2,-0.8408,1.0000,0.5306,-0.2386,0.1900,"29 28 8 28 30 28 29 28 29 30 25 26 25 28 28 29 28 28 28 28 30 25 26 25 28 28 28 28 28 28 28 28 27 28 28 28 28 28 28 28 30 28 30 28 28 28 30 28 29 28 28 28 28 28 27 28 28 29 29 25 25 28 28 28 30 28 30 29 28 28 28 28 28 28 28 28 28 29 17 28 28 28 28 28 28 29 28 29 29 30 20 28 28 28 28 28 28 28 28 30 13 25 1 31 31 21 25 16 16 12 27 25 27 25 25 17 21 21 25 29 12 27 12 25 17 12 25 21 27 26 26 26 25 25 25 21 17 27 12 3 21 25 26 12 25 25 26 12 25 17 25 25 18 25 3 17 25 25 25 25 25 26 26 25 16 27 16 25 17 26 25 25 21 16 25 0 13 26 16 25 17 25 1 17 16 25 16 25 25 25 17 27 27 25 27 25 25 25 25 1 25 25 25 25 1 25 1 1 25 13 27 25 41 25 25 13 25 26 25 25 41 25 9 27 26 3 10 27 27 25 0 13 25 25 25 3 10 25 25 25 13 26 25 38 42 27 25 25 10 1 26 9 25 1 25 9 25 9 10 25 9 27 27 25 9 25 25 13 27 25 2 25 13 25 25 25 13 26 25 41 26 0 27 27 25 38 26 25 10 26 25 25 25 25 0 24 25 9 26 41 11 39 5 9 39 9 2 9 39 9 2 37 10 39 39 39 9 9 9 5 11 9 36 9 9 10 9 9 39 11 2 9 9 9 2 2 9 11 11 9 10 2 39 9 39 11 9 2 9 39 6 2 13 9 9 9 2 2 2 9 39 5 9 39 9 39 4 9 39 9 9 39 9 9 9 39 2 10 9 38 9 34 39 39 34 9 37 39 2 9 9 34 9 6 6 10 9 11 9 0 2 24 2 23 2 2 12 12 2 5 5 4 9 2 32 2 2 6 2 12 2 23 2 12 2 12 12 37 2 12 2 2 2 37 2 6 12 2 23 32 12 30 5 12 2 2 12 12 12 4 2 27 12 2 6 1 2 24 24 12 4 41 2 2 12 2 6 2 12 2 16 2 4 23 5 6 41 12 12 2 2 37 4 2 39 5 12 2 5 2 12 2 5 14 2 12 4 2 12 2"
2,3,-0.8408,1.0000,0.5306,-0.2738,0.1127,"29 28 8 28 30 28 29 28 29 30 25 26 25 28 28 29 28 28 28 28 30 25 26 25 28 28 28 28 28 28 28 28 27 28 28 28 28 28 28 28 30 28 30 28 28 28 30 28 29 28 28 28 28 28 27 28 28 29 29 25 25 28 28 28 30 28 30 29 28 28 28 28 28 28 28 28 28 29 17 28 28 28 28 28 28 29 28 29 29 30 20 28 28 28 28 28 28 28 28 30 13 25 1 31 31 21 25 16 16 12 27 25 27 25 25 17 21 21 25 29 12 27 12 25 17 12 25 21 27 26 26 26 25 25 25 21 17 27 12 3 21 25 26 12 25 25 26 12 25 17 25 25 18 25 3 17 25 25 25 25 25 26 26 25 16 27 16 25 17 26 25 25 21 16 25 0 13 26 16 25 17 25 1 17 16 25 16 25 25 25 17 27 27 25 27 25 25 25 25 1 25 25 25 25 1 25 1 1 25 13 27 25 41 25 25 13 25 26 25 25 41 25 9 27 26 3 10 27 27 25 0 13 25 25 25 3 10 25 25 25 13 26 25 38 42 27 25 25 10 1 26 9 25 1 25 9 25 9 10 25 9 27 27 25 9 25 25 13 27 25 2 25 13 25 25 25 13 26 25 41 26 0 27 27 25 38 26 25 10 26 25 25 25 25 0 24 25 9 26 41 11 39 5 9 39 9 2 9 39 9 2 37 10 39 39 39 9 9 9 5 11 9 36 9 9 10 9 9 39 11 2 9 9 9 2 2 9 11 11 9 10 2 39 9 39 11 9 2 9 39 6 2 13 9 9 9 2 2 2 9 39 5 9 39 9 39 4 9 39 9 9 39 9 9 9 39 2 10 9 38 9 34 39 39 34 9 37 39 2 9 9 34 9 6 6 10 9 11 9 0 2 24 2 23 2 2 12 12 2 5 5 4 9 2 32 2 2 6 2 12 2 23 2 12 2 12 12 37 2 12 2 2 2 37 2 6 12 2 23 32 12 30 5 12 2 2 12 12 12 4 2 27 12 2 6 1 2 24 24 12 4 41 2 2 12 2 6 2 12 2 16 2 4 23 5 6 41 12 12 2 2 37 4 2 39 5 12 2 5 2 12 2 5 14 2 12 4 2 12 2"
3,3,-0.8130,1.0000,0.6234,-0.2835,0.1238,"29 28 8 28 30 28 29 28 29 30 25 26 25 28 28 29 28 28 28 28 30 25 26 25 28 28 28 28 28 28 28 28 27 28 28 28 28 28 28 28 30 28 30 28 28 28 30 28 29 28 28 28 28 28 27 28 28 29 29 25 25 28 28 28 30 28 30 29 28 28 28 28 28 28 28 28 28 29 17 28 28 28 28 28 28 29 28 29 29 30 20 28 28 28 28 28 28 28 28 30 13 25 1 31 31 21 25 16 16 12 27 25 27 25 25 17 21 21 25 29 12 27 12 25 17 12 25 21 27 26 26 26 25 25 25 21 17 27 12 3 21 25 26 12 25 25 26 12 25 17 25 25 18 25 3 17 25 25 25 25 25 26 26 25 16 27 16 25 17 26 25 25 21 16 25 0 13 26 16 25 17 25 1 17 16 25 16 25 25 25 17 27 27 25 27 25 25 25 25 1 25 25 25 25 1 25 1 1 25 13 27 25 41 25 25 13 25 26 25 25 41 25 9 27 26 3 10 27 27 25 0 13 25 25 25 3 10 25 25 25 13 26 25 38 42 27 25 25 10 1 26 9 25 1 25 9 25 9 10 25 9 27 27 25 9 25 25 13 27 25 2 25 13 25 25 25 13 26 25 41 26 0 27 27 25 38 26 25 10 26 25 25 25 25 0 24 25 9 26 41 11 39 5 9 39 9 2 9 39 9 2 37 10 39 39 39 9 9 9 5 11 9 36 9 9 10 9 9 39 11 2 9 9 9 2 2 9 11 11 9 10 2 39 9 39 11 9 2 9 39 6 2 13 9 9 9 2 2 2 9 39 5 9 39 9 39 4 9 39 9 9 39 9 9 9 39 2 10 9 38 9 34 39 39 34 9 37 39 2 9 9 34 9 6 6 10 9 11 9 0 2 24 2 23 2 2 12 12 2 5 5 4 9 2 32 2 2 6 2 12 2 23 2 12 2 12 12 37 2 12 2 2 2 37 2 6 12 2 23 32 12 30 5 12 2 2 12 12 12 4 2 27 12 2 6 1 2 24 24 12 4 41 2 2 12 2 6 2 12 2 16 2 4 23 5 6 41 12 12 2 2 37 4 2 39 5 12 2 5 2 12 2 5 14 2 12 4 2 12 2"
4,4,-0.8493,1.0000,0.5024,-0.2984,0.1312,"25 25 25 25 14 17 15 25 26 27 27 19 25 12 17 27 14 25 14 15 26 25 25 25 25 17 26 25 14 25 15 25 17 18 25 25 27 25 3 19 12 17 31 25 25 25 15 26 25 13 36 15 18 14 39 26 17 19 14 26 25 25 17 25 26 25 2 27 25 25 29 19 26 25 25 18 25 25 19 34 27 17 26 14 26 26 25 25 18 25 25 25 17 25 26 25 27 25 17 26 36 34 35 21 12 31 34 34 32 8 35 34 34 34 33 34 12 31 23 30 34 12 12 34 12 34 12 33 34 12 17 36 35 35 12 12 36 34 34 36 33 35 0 12 12 36 34 31 35 12 12 32 31 35 35 36 33 34 12 12 34 36 34 34 34 33 34 34 35 34 33 34 34 35 34 35 31 34 36 32 34 34 34 31 12 35 11 34 32 34 12 12 35 34 32 34 34 35 35 34 36 17 34 29 37 30 2 2 2 2 5 2 34 6 35 35 6 2 33 6 34 4 2 6 35 34 37 4 34 34 34 28 2 34 2 34 34 35 34 2 37 34 37 4 4 28 34 34 28 2 36 6 2 36 2 34 34 36 35 6 6 35 2 34 37 29 5 34 35 29 4 2 34 4 6 4 34 5 6 34 34 34 28 5 6 36 37 4 34 6 2 34 37 4 2 35 2 27 37 34 14 12 14 12 15 12 22 12 12 12 12 21 21 14 14 12 21 12 21 19 15 12 15 21 12 15 12 22 21 22 21 21 22 12 12 21 22 12 15 15 15 12 12 14 12 21 12 12 15 15 21 19 22 12 12 12 12 21 15 12 22 14 21 21 22 21 21 12 12 12 19 12 22 12 12 21 22 21 12 14 12 15 21 12 22 21 12 15 21 15 2 12 21 14 12 14 14 12 14 15 15 13 25 12 25 38 1 12 27 8 13 25 28 25 1 0 38 3 25 12 25 12 25 12 25 0 25 15 25 13 12 12 0 38 25 28 25 1 14 14 31 25 1 25 25 27 14 25 26 25 0 0 25 2 0 3 25 28 25 38 25 25 3 13 25 26 26 12 0 26 25 3 38 37 25 25 25 12 38 1 25 25 0 25 30 25 12 26 14 25 6 25 13 1 41 3 0 3 25 25"
5,5,-0.8635,1.0000,0.4549,-0.2912,0.1688,"24 12 25 26 25 1 25 11 25 2 25 25 25 26 25 25 25 22 25 25 38 25 25 25 4 37 6 25 25 25 25 25 25 25 25 25 33 25 25 25 38 25 25 25 11 3 26 25 25 25 39 6 21 17 25 25 39 27 31 8 25 17 25 24 5 25 23 10 25 25 25 26 35 25 25 25 6 13 27 25 26 25 25 0 27 25 26 39 25 8 25 26 25 28 26 26 27 28 1 0 15 15 15 38 7 19 7 14 7 8 17 14 7 7 19 14 7 17 15 17 7 8 7 15 8 17 17 17 19 39 8 7 17 7 15 14 7 19 39 7 39 7 14 39 7 17 15 15 17 8 39 19 19 7 17 19 15 7 19 17 19 7 15 39 7 19 7 19 7 14 19 7 14 17 19 17 7 39 17 19 7 17 8 14 15 14 7 19 8 7 7 17 15 17 14 14 7 7 19 23 0 16 1 16 16 12 41 21 21 16 0 16 41 16 41 41 38 16 41 0 41 13 13 13 17 38 39 0 13 41 12 14 12 13 12 41 16 13 39 16 38 16 16 13 41 41 16 13 41 12 41 41 41 12 0 38 19 41 16 16 41 21 13 13 17 41 41 16 14 17 41 12 21 1 41 19 1 13 3 12 16 3 41 3 16 12 41 12 13 12 16 14 41 15 41 16 41 41 16 19 12 0 39 0 39 0 31 39 39 39 39 39 40 23 18 23 23 23 3 39 0 39 20 23 23 5 23 10 0 2 2 24 39 24 39 39 39 37 23 39 23 0 13 39 26 23 5 24 29 39 23 39 23 6 24 2 39 39 39 39 24 3 39 39 39 39 39 3 23 23 23 23 23 23 39 23 23 39 39 23 6 23 23 16 4 34 23 23 39 39 39 39 39 39 39 17 23 3 39 24 23 24 5 12 24 18 23 42 23 23 23 12 23 12 42 37 37 12 23 23 23 6 23 23 24 23 23 23 23 23 23 23 12 12 23 23 24 12 23 23 5 23 24 42 17 23 24 23 23 2 37 24 37 37 23 23 23 42 23 37 23 23 12 18 23 21 23 16 23 23 23 23 23 23 12 23 23 18 16 23 12 4 24 23 23 12 24 12 23 12 18 23 23 23 23 12 6 23 12 24"
6,5,-0.8155,1.0000,0.6151,-0.3009,0.1503,"24 12 25 26 25 1 25 11 25 2 25 25 25 26 25 25 25 22 25 25 38 25 25 25 4 37 6 25 25 25 25 25 25 25 25 25 33 25 25 25 38 25 25 25 11 3 26 25 25 25 39 6 21 17 25 25 39 27 31 8 25 17 25 24 5 25 23 10 25 25 25 26 35 25 25 25 6 13 27 25 26 25 25 0 27 25 26 39 25 8 25 26 25 28 26 26 27 28 1 0 15 15 15 38 7 19 7 14 7 8 17 14 7 7 19 14 7 17 15 17 7 8 7 15 8 17 17 17 19 39 8 7 17 7 15 14 7 19 39 7 39 7 14 39 7 17 15 15 17 8 39 19 19 7 17 19 15 7 19 17 19 7 15 39 7 19 7 19 7 14 19 7 14 17 19 17 7 39 17 19 7 17 8 14 15 14 7 19 8 7 7 17 15 17 14 14 7 7 19 23 0 16 1 16 16 12 41 21 21 16 0 16 41 16 41 41 38 16 41 0 41 13 13 13 17 38 39 0 13 41 12 14 12 13 12 41 16 13 39 16 38 16 16 13 41 41 16 13 41 12 41 41 41 12 0 38 19 41 16 16 41 21 13 13 17 41 41 16 14 17 41 12 21 1 41 19 1 13 3 12 16 3 41 3 16 12 41 12 13 12 16 14 41 15 41 16 41 41 16 19 12 0 39 0 39 0 31 39 39 39 39 39 40 23 18 23 23 23 3 39 0 39 20 23 23 5 23 10 0 2 2 24 39 24 39 39 39 37 23 39 23 0 13 39 26 23 5 24 29 39 23 39 23 6 24 2 39 39 39 39 24 3 39 39 39 39 39 3 23 23 23 23 23 23 39 23 23 39 39 23 6 23 23 16 4 34 23 23 39 39 39 39 39 39 39 17 23 3 39 24 23 24 5 12 24 18 23 42 23 23 23 12 23 12 42 37 37 12 23 23 23 6 23 23 24 23 23 23 23 23 23 23 12 12 23 23 24 12 23 23 5 23 24 42 17 23 24 23 23 2 37 24 37 37 23 23 23 42 23 37 23 23 12 18 23 21 23 16 23 23 23 23 23 23 12 23 23 18 16 23 12 4 24 23 23 12 24 12 23 12 18 23 23 23 23 12 6 23 12 24"
7,5,-0.8168,1.0000,0.6106,-0.3108,0.1110,"24 12 25 26 25 1 25 11 25 2 25 25 25 26 25 25 25 22 25 25 38 25 25 25 4 37 6 25 25 25 25 25 25 25 25 25 33 25 25 25 38 25 25 25 11 3 26 25 25 25 39 6 21 17 25 25 39 27 31 8 25 17 25 24 5 25 23 10 25 25 25 26 35 25 25 25 6 13 27 25 26 25 25 0 27 25 26 39 25 8 25 26 25 28 26 26 27 28 1 0 15 15 15 38 7 19 7 14 7 8 17 14 7 7 19 14 7 17 15 17 7 8 7 15 8 17 17 17 19 39 8 7 17 7 15 14 7 19 39 7 39 7 14 39 7 17 15 15 17 8 39 19 19 7 17 19 15 7 19 17 19 7 15 39 7 19 7 19 7 14 19 7 14 17 19 17 7 39 17 19 7 17 8 14 15 14 7 19 8 7 7 17 15 17 14 14 7 7 19 23 0 16 1 16 16 12 41 21 21 16 0 16 41 16 41 41 38 16 41 0 41 13 13 13 17 38 39 0 13 41 12 14 12 13 12 41 16 13 39 16 38 16 16 13 41 41 16 13 41 12 41 41 41 12 0 38 19 41 16 16 41 21 13 13 17 41 41 16 14 17 41 12 21 1 41 19 1 13 3 12 16 3 41 3 16 12 41 12 13 12 16 14 41 15 41 16 41 41 16 19 12 0 39 0 39 0 31 39 39 39 39 39 40 23 18 23 23 23 3 39 0 39 20 23 23 5 23 10 0 2 2 24 39 24 39 39 39 37 23 39 23 0 13 39 26 23 5 24 29 39 23 39 23 6 24 2 39 39 39 39 24 3 39 39 39 39 39 3 23 23 23 23 23 23 39 23 23 39 39 23 6 23 23 16 4 34 23 23 39 39 39 39 39 39 39 17 23 3 39 24 23 24 5 12 24 18 23 42 23 23 23 12 23 12 42 37 37 12 23 23 23 6 23 23 24 23 23 23 23 23 23 23 12 12 23 23 24 12 23 23 5 23 24 42 17 23 24 23 23 2 37 24 37 37 23 23 23 42 23 37 23 23 12 18 23 21 23 16 23 23 23 23 23 23 12 23 23 18 16 23 12 4 24 23 23 12 24 12 23 12 18 23 23 23 23 12 6 23 12 24"
8,5,-0.8142,1.0000,0.6194,-0.3218,0.1475,"24 12 25 26 25 1 25 11 25 2 25 25 25 26 25 25 25 22 25 25 38 25 25 25 4 37 6 25 25 25 25 25 25 25 25 25 33 25 25 25 38 25 25 25 11 3 26 25 25 25 39 6 21 17 25 25 39 27 31 8 25 17 25 24 5 25 23 10 25 25 25 26 35 25 25 25 6 13 27 25 26 25 25 0 27 25 26 39 25 8 25 26 25 28 26 26 27 28 1 0 15 15 15 38 7 19 7 14 7 8 17 14 7 7 19 14 7 17 15 17 7 8 7 15 8 17 17 17 19 39 8 7 17 7 15 14 7 19 39 7 39 7 14 39 7 17 15 15 17 8 39 19 19 7 17 19 15 7 19 17 19 7 15 39 7 19 7 19 7 14 19 7 14 17 19 17 7 39 17 19 7 17 8 14 15 14 7 19 8 7 7 17 15 17 14 14 7 7 19 23 0 16 1 16 16 12 41 21 21 16 0 16 41 16 41 41 38 16 41 0 41 13 13 13 17 38 39 0 13 41 12 14 12 13 12 41 16 13 39 16 38 16 16 13 41 41 16 13 41 12 41 41 41 12 0 38 19 41 16 16 41 21 13 13 17 41 41 16 14 17 41 12 21 1 41 19 1 13 3 12 16 3 41 3 16 12 41 12 13 12 16 14 41 15 41 16 41 41 16 19 12 0 39 0 39 0 31 39 39 39 39 39 40 23 18 23 23 23 3 39 0 39 20 23 23 5 23 10 0 2 2 24 39 24 39 39 39 37 23 39 23 0 13 39 26 23 5 24 29 39 23 39 23 6 24 2 39 39 39 39 24 3 39 39 39 39 39 3 23 23 23 23 23 23 39 23 23 39 39 23 6 23 23 16 4 34 23 23 39 39 39 39 39 39 39 17 23 3 39 24 23 24 5 12 24 18 23 42 23 23 23 12 23 12 42 37 37 12 23 23 23 6 23 23 24 23 23 23 23 23 23 23 12 12 23 23 24 12 23 23 5 23 24 42 17 23 24 23 23 2 37 24 37 37 23 23 23 42 23 37 23 23 12 18 23 21 23 16 23 23 23 23 23 23 12 23 23 18 16 23 12 4 24 23 23 12 24 12 23 12 18 23 23 23 23 12 6 23 12 24"
9,5,-0.8207,1.0000,0.5975,-0.3193,0.1430,"24 12 25 26 25 1 25 11 25 2 25 25 25 26 25 25 25 22 25 25 38 25 25 25 4 37 6 25 25 25 25 25 25 25 25 25 33 25 25 25 38 25 25 25 11 3 26 25 25 25 39 6 21 17 25 25 39 27 31 8 25 17 25 24 5 25 23 10 25 25 25 26 35 25 25 25 6 13 27 25 26 25 25 0 27 25 26 39 25 8 25 26 25 28 26 26 27 28 1 0 15 15 15 38 7 19 7 14 7 8 17 14 7 7 19 14 7 17 15 17 7 8 7 15 8 17 17 17 19 39 8 7 17 7 15 14 7 19 39 7 39 7 14 39 7 17 15 15 17 8 39 19 19 7 17 19 15 7 19 17 19 7 15 39 7 19 7 19 7 14 19 7 14 17 19 17 7 39 17 19 7 17 8 14 15 14 7 19 8 7 7 17 15 17 14 14 7 7 19 23 0 16 1 16 16 12 41 21 21 16 0 16 41 16 41 41 38 16 41 0 41 13 13 13 17 38 39 0 13 41 12 14 12 13 12 41 16 13 39 16 38 16 16 13 41 41 16 13 41 12 41 41 41 12 0 38 19 41 16 16 41 21 13 13 17 41 41 16 14 17 41 12 21 1 41 19 1 13 3 12 16 3 41 3 16 12 41 12 13 12 16 14 41 15 41 16 41 41 16 19 12 0 39 0 39 0 31 39 39 39 39 39 40 23 18 23 23 23 3 39 0 39 20 23 23 5 23 10 0 2 2 24 39 24 39 39 39 37 23 39 23 0 13 39 26 23 5 24 29 39 23 39 23 6 24 2 39 39 39 39 24 3 39 39 39 39 39 3 23 23 23 23 23 23 39 23 23 39 39 23 6 23 23 16 4 34 23 23 39 39 39 39 39 39 39 17 23 3 39 24 23 24 5 12 24 18 23 42 23 23 23 12 23 12 42 37 37 12 23 23 23 6 23 23 24 23 23 23 23 23 23 23 12 12 23 23 24 12 23 23 5 23 24 42 17 23 24 23 23 2 37 24 37 37 23 23 23 42 23 37 23 23 12 18 23 21 23 16 23 23 23 23 23 23 12 23 23 18 16 23 12 4 24 23 23 12 24 12 23 12 18 23 23 23 23 12 6 23 12 24"
