rank,fitness,winrate,genome
1,-0.7251,0.9655,"7 8 0 0 3 41 8 7 7 41 1 38 3 8 0 8 7 1 7 7 28 41 3 0 38 13 7 7 7 7 41 8 7 8 7 7 8 0 7 7 7 7 3 7 8 0 7 3 3 0 38 7 7 7 8 0 8 7 7 41 0 7 7 7 3 8 8 8 7 7 7 8 28 7 7 7 0 7 7 7 8 8 7 3 7 7 7 3 7 7 7 28 8 0 7 7 7 7 0 38 12 12 2 16 2 12 2 10 2 42 4 42 6 5 2 2 2 2 2 0 5 12 2 42 16 37 2 2 42 42 2 4 2 12 2 2 42 16 4 36 2 2 42 5 16 2 42 16 4 2 2 12 2 6 16 22 2 2 5 2 12 2 2 42 4 12 22 42 5 2 2 2 12 2 4 22 16 12 16 2 4 2 2 5 4 2 2 0 2 29 1 22 37 42 2 2 16 42 42 12 5 2 2 42 5 2 2 4 2 42 4 2 42 25 2 6 2 42 2 17 2 42 2 14 2 15 2 42 2 37 2 42 2 6 2 4 42 6 42 19 17 2 4 5 27 17 6 4 42 2 2 42 4 6 2 5 25 5 5 2 19 13 2 2 2 34 2 19 42 2 2 2 2 4 42 2 2 37 37 42 5 42 2 42 6 2 37 2 2 2 42 42 42 4 2 19 2 37 42 5 2 2 2 37 0 11 6 5 0 2 37 2 2 2 2 0 6 0 2 2 5 37 6 2 37 2 6 2 2 2 5 2 6 2 19 2 6 2 41 2 6 9 4 3 5 37 37 2 37 6 3 37 37 2 2 5 2 2 37 2 6 5 2 37 2 2 0 3 37 2 2 6 37 5 2 37 2 5 0 2 0 3 2 2 6 2 5 0 2 2 2 37 2 0 37 2 6 2 6 2 12 12 3 12 2 16 0 2 0 2 0 0 4 42 3 3 42 32 3 2 2 3 3 3 42 6 2 4 3 41 3 2 4 2 31 2 3 2 3 3 0 5 42 4 2 4 3 2 33 3 12 3 37 2 2 2 2 0 12 6 42 0 12 3 0 0 31 2 2 0 0 3 0 0 12 6 2 0 2 33 0 2 3 2 2 41 32 2 2 31 3 2 42 12 2 2 0 42 2 0"
2,-0.7096,0.9667,"7 8 0 0 3 41 8 7 7 41 1 38 3 8 0 8 7 1 7 7 28 41 3 0 38 13 7 7 7 7 41 8 7 8 7 7 8 0 7 7 7 7 3 7 8 0 7 3 3 0 38 7 7 7 8 0 8 7 7 41 0 7 7 7 3 8 8 8 7 7 7 8 28 7 7 7 0 7 7 7 8 8 7 3 7 7 7 3 7 7 7 28 8 0 7 7 7 7 0 38 12 12 2 16 2 12 2 10 2 42 4 42 6 5 2 2 2 2 2 0 5 12 2 42 16 37 2 2 42 42 2 4 2 12 2 2 42 16 4 36 2 2 42 5 16 2 42 16 4 2 2 12 2 6 16 22 2 2 5 2 12 2 2 42 4 12 22 42 5 2 2 2 12 2 4 22 16 12 16 2 4 2 2 5 4 2 2 0 2 29 1 22 37 42 2 2 16 42 42 12 5 2 2 42 5 2 2 4 2 42 4 2 42 25 2 6 2 42 2 17 2 42 2 14 2 15 2 42 2 37 2 42 2 6 2 4 42 6 42 19 17 2 4 5 27 17 6 4 42 2 2 42 4 6 2 5 25 5 5 2 19 13 2 2 2 34 2 19 42 2 2 2 2 4 42 2 2 37 37 42 5 42 2 42 6 2 37 2 2 2 42 42 42 4 2 19 2 37 42 5 2 2 2 37 0 11 6 5 0 2 37 2 2 2 2 0 6 0 2 2 5 37 6 2 37 2 6 2 2 2 5 2 6 2 19 2 6 2 41 2 6 9 4 3 5 37 37 2 37 6 3 37 37 2 2 5 2 2 37 2 6 5 2 37 2 2 0 3 37 2 2 6 37 5 2 37 2 5 0 2 0 3 2 2 6 2 5 0 2 2 2 37 2 0 37 2 6 2 6 2 12 12 3 12 2 16 0 2 0 2 0 0 4 42 3 3 42 32 3 2 2 3 3 3 42 6 2 4 3 41 3 2 4 2 31 2 3 2 3 3 0 5 42 4 2 4 3 2 33 3 12 3 37 2 2 2 2 0 12 6 42 0 12 3 0 0 31 2 2 0 0 3 0 0 12 6 2 0 2 33 0 2 3 2 2 41 32 2 2 31 3 2 42 12 2 2 0 42 2 0"
3,-0.6835,0.8750,"25 25 38 26 3 26 38 25 29 27 1 25 3 25 0 38 1 27 38 26 25 25 26 25 38 25 25 3 0 25 41 25 26 0 15 11 0 0 25 41 25 25 30 25 25 0 38 25 25 26 25 41 41 26 25 25 25 26 0 25 0 0 27 25 3 1 25 41 25 38 25 13 25 0 25 25 25 25 27 25 25 25 3 1 25 1 3 3 27 26 25 25 3 25 25 13 3 25 26 38 12 12 2 16 2 12 2 10 2 42 4 42 6 5 2 2 2 2 2 0 5 12 2 42 16 37 2 2 42 42 2 4 2 12 2 2 42 16 4 36 2 2 42 5 16 2 42 16 4 2 2 12 2 6 16 22 2 2 5 2 12 2 2 42 4 12 22 42 5 2 2 2 12 2 4 22 16 12 16 2 4 2 2 5 4 2 2 0 2 29 1 22 37 42 2 2 16 42 42 12 42 31 42 2 42 42 42 42 2 33 42 42 42 37 42 2 42 31 42 2 2 6 42 42 6 32 42 42 42 4 32 37 2 2 2 31 2 37 32 2 42 42 2 2 42 37 42 2 2 5 2 31 31 6 2 2 2 2 6 31 42 2 37 2 5 42 42 2 42 4 4 5 31 2 37 2 42 42 4 37 4 31 42 2 4 4 42 6 31 37 42 37 37 37 2 2 2 31 2 2 42 19 6 12 12 8 6 42 5 42 12 42 42 42 21 21 42 6 16 42 12 2 42 5 42 2 42 21 12 21 12 42 2 12 2 2 42 42 42 2 4 16 42 21 16 42 21 21 12 22 21 16 2 15 5 12 42 6 12 7 16 12 21 42 12 21 6 21 5 42 21 22 2 6 42 16 42 21 42 12 42 12 42 42 42 6 42 37 42 42 42 7 5 5 42 16 12 42 19 21 34 12 12 36 18 12 17 11 12 12 42 17 12 34 17 12 42 12 17 34 12 34 18 12 12 34 34 12 12 17 12 18 36 2 17 18 34 5 9 34 12 2 17 2 17 9 18 35 12 34 12 34 34 12 18 17 18 2 34 18 12 6 34 17 18 12 12 34 12 12 34 17 12 12 17 18 17 12 2 5 34 17 12 18 34 18 35 34 12 17 12 17 17 34 17 18 12 34 34 34"
4,-0.6807,0.9091,"1 13 0 0 0 41 38 12 29 41 1 38 3 0 0 38 0 3 0 0 28 41 29 0 3 0 0 3 0 3 41 28 28 0 15 11 3 3 3 41 0 0 30 0 3 0 38 3 3 0 3 0 3 3 0 0 41 28 0 0 3 0 3 1 3 1 28 0 3 38 1 0 28 0 3 0 3 3 0 0 3 3 3 1 3 1 3 3 28 3 0 3 3 0 0 13 3 0 28 3 8 25 6 27 6 37 25 25 25 25 25 2 37 28 37 2 2 26 2 2 4 26 25 26 2 2 7 25 4 25 25 2 2 2 25 2 2 2 25 4 2 2 7 26 2 6 2 37 2 2 37 2 2 26 5 7 2 25 2 25 28 37 28 25 37 25 6 25 27 2 2 2 2 25 2 5 5 2 2 2 25 2 2 25 2 2 2 2 2 25 2 25 2 6 25 2 37 6 5 6 2 36 2 3 2 2 34 2 9 2 34 6 2 2 0 3 34 36 0 3 34 34 3 2 6 34 41 3 34 2 42 6 3 34 2 0 34 3 34 9 0 2 37 6 0 0 4 36 3 0 3 34 9 34 0 2 2 0 0 42 37 3 3 0 11 3 34 2 5 3 3 3 2 5 2 2 0 4 9 2 0 9 5 37 37 2 3 9 0 2 3 0 0 4 5 2 0 2 2 3 2 4 10 2 2 2 2 42 5 9 37 2 11 2 2 37 2 11 10 2 2 2 2 20 2 19 2 10 2 6 2 5 2 2 6 9 2 14 9 37 2 2 6 42 42 2 5 10 42 37 2 2 14 2 2 19 2 4 37 2 2 10 5 10 2 10 2 5 6 37 2 9 11 9 2 37 2 5 10 2 6 2 2 6 4 9 2 2 2 2 4 4 2 2 42 9 2 11 37 2 2 9 10 28 2 10 2 28 2 25 28 10 7 26 2 28 2 27 27 28 2 2 25 11 25 29 2 2 28 2 11 28 2 2 28 11 2 26 28 8 2 7 28 9 2 2 2 28 2 2 10 28 2 2 10 2 28 10 28 2 2 2 9 11 9 9 11 28 25 2 2 2 25 29 11 25 2 2 11 29 7 28 2 25 30 25 11 25 2 2 10 2 2 28 2 25 11 2 25 25"
5,-0.6764,0.9000,"3 0 41 0 3 41 41 12 29 41 28 38 3 7 0 38 17 1 38 3 28 41 29 3 41 0 0 29 0 41 41 28 28 0 15 11 0 0 41 41 3 28 30 7 41 0 0 28 41 0 28 41 41 3 0 3 41 28 0 41 0 0 41 3 3 1 28 41 0 41 0 41 28 0 30 0 3 0 0 0 3 3 3 16 0 1 0 30 28 16 0 28 3 0 0 0 3 0 28 0 0 2 4 3 0 13 0 3 0 37 2 0 11 2 38 10 1 13 3 3 2 1 1 0 37 2 0 3 5 1 3 38 4 3 3 13 2 2 2 37 3 37 13 2 5 0 2 0 3 5 11 6 3 9 0 6 2 18 2 4 2 13 5 3 5 13 37 3 0 1 0 5 10 18 38 3 3 38 3 2 2 3 0 9 0 0 23 4 2 38 0 0 37 38 0 0 23 4 37 13 42 31 42 2 42 42 42 42 2 33 42 42 42 37 42 2 42 31 42 2 2 6 42 42 6 32 42 42 42 4 32 37 2 2 2 31 2 37 32 2 42 42 2 2 42 37 42 2 2 5 2 31 31 6 2 2 2 2 6 31 42 2 37 2 5 42 42 2 42 4 4 5 31 2 37 2 42 42 4 37 4 31 42 2 4 4 42 6 31 37 42 37 37 37 2 2 2 31 2 2 2 2 6 37 0 5 4 2 37 37 2 37 2 4 4 0 6 5 2 5 6 2 5 2 4 2 11 6 2 5 4 2 5 4 6 5 2 4 5 2 12 9 4 3 2 37 4 37 2 2 3 5 2 6 2 37 2 37 9 2 4 2 5 37 9 6 0 4 2 3 4 2 37 2 2 37 2 3 37 2 2 2 37 2 2 2 5 37 2 2 4 0 2 37 4 2 5 2 5 5 39 39 9 5 5 39 39 6 7 7 39 39 39 6 37 4 39 37 5 12 37 39 37 7 39 8 39 39 39 39 6 6 2 6 8 7 7 39 7 39 37 12 6 7 6 39 5 39 8 37 39 7 7 7 7 39 4 7 5 37 39 39 7 37 7 5 6 6 5 37 5 39 7 7 39 39 39 39 12 7 6 7 4 12 39 37 4 39 7 39 7 2 6 37 39 7 8 4 7 39"
6,-0.6523,0.8261,"3 0 41 0 3 41 41 12 29 41 28 38 3 7 0 38 17 1 38 3 28 41 29 3 41 0 0 29 0 41 41 28 28 0 15 11 0 0 41 41 3 28 30 7 41 0 0 28 41 0 28 41 41 3 0 3 41 28 0 41 0 0 41 3 3 1 28 41 0 41 0 41 28 0 30 0 3 0 0 0 3 3 3 16 0 1 0 30 28 16 0 28 3 0 0 0 3 0 28 0 0 2 4 3 0 13 0 3 0 37 2 0 11 2 38 10 1 13 3 3 2 1 1 0 37 2 0 3 5 1 3 38 4 3 3 13 2 2 2 37 3 37 13 2 5 0 2 0 3 5 11 6 3 9 0 6 2 18 2 4 2 13 5 3 5 13 37 3 0 1 0 5 10 18 38 3 3 38 3 2 2 3 0 9 0 0 23 4 2 38 0 0 37 38 0 0 23 4 37 13 41 16 13 41 41 13 41 41 42 42 42 42 41 0 42 41 1 41 41 13 16 20 12 38 42 41 13 41 38 41 3 1 41 42 16 16 41 41 41 0 41 1 41 42 41 13 41 41 12 38 42 41 19 3 19 41 41 3 41 16 41 41 1 38 20 13 42 16 42 1 41 19 41 16 38 41 1 1 41 41 12 41 41 41 24 19 12 38 41 1 16 42 19 19 12 12 12 13 20 19 7 19 6 6 5 2 2 6 4 5 2 37 2 37 8 19 2 2 4 25 2 37 7 2 2 2 25 37 2 25 2 2 2 2 25 25 4 6 2 25 37 6 25 6 2 2 5 4 2 6 2 6 5 6 5 4 7 25 7 25 2 8 2 4 7 2 6 2 2 2 6 25 4 2 37 19 37 4 7 8 27 6 4 5 2 5 2 2 2 7 5 2 5 25 2 2 6 37 25 37 12 15 41 3 15 41 29 23 12 23 28 0 12 23 12 28 41 23 0 41 13 41 28 28 41 41 15 41 41 13 41 1 41 3 15 3 41 41 0 3 38 36 12 41 41 41 14 41 13 41 12 38 0 12 41 41 12 41 38 41 41 41 14 38 1 41 23 23 12 41 0 29 41 15 14 41 12 0 28 15 12 28 41 38 13 28 13 12 3 0 23 41 13 12 0 41 38 0 23 23"
7,-0.6438,0.8636,"1 13 0 0 0 41 38 12 29 41 1 38 3 0 0 38 0 3 0 0 28 41 29 0 3 0 0 3 0 3 41 28 28 0 15 11 3 3 3 41 0 0 30 0 3 0 38 3 3 0 3 0 3 3 0 0 41 28 0 0 3 0 3 1 3 1 28 0 3 38 1 0 28 0 3 0 3 3 0 0 3 3 3 1 3 1 3 3 28 3 0 3 3 0 0 13 3 0 28 3 8 25 6 27 6 37 25 25 25 25 25 2 37 28 37 2 2 26 2 2 4 26 25 26 2 2 7 25 4 25 25 2 2 2 25 2 2 2 25 4 2 2 7 26 2 6 2 37 2 2 37 2 2 26 5 7 2 25 2 25 28 37 28 25 37 25 6 25 27 2 2 2 2 25 2 5 5 2 2 2 25 2 2 25 2 2 2 2 2 25 2 25 2 6 25 2 37 6 5 6 2 36 2 3 2 2 34 2 9 2 34 6 2 2 0 3 34 36 0 3 34 34 3 2 6 34 41 3 34 2 42 6 3 34 2 0 34 3 34 9 0 2 37 6 0 0 4 36 3 0 3 34 9 34 0 2 2 0 0 42 37 3 3 0 11 3 34 2 5 3 3 3 2 5 2 2 0 4 9 2 0 9 5 37 37 2 3 9 0 2 3 0 0 4 5 2 0 2 2 3 2 4 10 2 2 2 2 42 5 9 37 2 11 2 2 37 2 11 10 2 2 2 2 20 2 19 2 10 2 6 2 5 2 2 6 9 2 14 9 37 2 2 6 42 42 2 5 10 42 37 2 2 14 2 2 19 2 4 37 2 2 10 5 10 2 10 2 5 6 37 2 9 11 9 2 37 2 5 10 2 6 2 2 6 4 9 2 2 2 2 4 4 2 2 42 9 2 11 37 2 2 9 10 28 2 10 2 28 2 25 28 10 7 26 2 28 2 27 27 28 2 2 25 11 25 29 2 2 28 2 11 28 2 2 28 11 2 26 28 8 2 7 28 9 2 2 2 28 2 2 10 28 2 2 10 2 28 10 28 2 2 2 9 11 9 9 11 28 25 2 2 2 25 29 11 25 2 2 11 29 7 28 2 25 30 25 11 25 2 2 10 2 2 28 2 25 11 2 25 25"
8,-0.6367,0.8519,"30 0 13 28 28 13 7 30 39 39 41 29 13 6 28 41 39 30 3 29 28 39 28 39 29 39 0 28 39 6 2 28 0 4 0 41 28 28 28 6 28 28 28 28 3 30 30 28 28 39 38 28 7 39 28 19 0 28 39 30 29 28 28 41 28 28 28 13 28 28 39 28 29 30 29 39 3 28 6 28 28 28 30 39 4 39 39 28 28 28 2 30 29 29 13 30 28 28 1 28 12 12 2 16 2 12 2 10 2 42 4 42 6 5 2 2 2 2 2 0 5 12 2 42 16 37 2 2 42 42 2 4 2 12 2 2 42 16 4 36 2 2 42 5 16 2 42 16 4 2 2 12 2 6 16 22 2 2 5 2 12 2 2 42 4 12 22 42 5 2 2 2 12 2 4 22 16 12 16 2 4 2 2 5 4 2 2 0 2 29 1 22 37 42 2 2 16 42 42 12 42 31 42 2 42 42 42 42 2 33 42 42 42 37 42 2 42 31 42 2 2 6 42 42 6 32 42 42 42 4 32 37 2 2 2 31 2 37 32 2 42 42 2 2 42 37 42 2 2 5 2 31 31 6 2 2 2 2 6 31 42 2 37 2 5 42 42 2 42 4 4 5 31 2 37 2 42 42 4 37 4 31 42 2 4 4 42 6 31 37 42 37 37 37 2 2 2 31 2 2 0 5 40 0 2 2 5 2 13 28 2 0 37 38 29 6 2 2 39 6 2 3 38 2 3 2 38 4 3 2 5 2 2 40 0 2 2 2 13 2 2 6 2 7 2 4 2 2 3 9 2 5 37 38 2 2 2 13 2 2 1 0 37 2 2 2 2 2 0 4 5 0 0 2 40 0 2 2 2 2 2 2 40 5 0 2 2 2 38 8 38 2 2 6 0 4 3 6 40 0 34 31 12 36 32 31 31 11 31 12 31 33 33 33 17 12 42 31 17 31 31 31 18 12 32 31 31 12 31 31 31 31 31 2 31 18 31 31 9 34 31 2 17 2 17 32 32 31 33 33 12 31 34 31 31 32 18 2 34 18 12 32 31 17 18 12 32 34 12 31 34 31 31 31 17 18 17 33 31 31 34 32 12 31 31 33 35 32 12 17 31 31 32 32 31 31 31 34 31 34"
9,-0.6358,0.8077,"20 2 5 4 2 6 5 2 6 5 5 13 5 19 19 4 2 13 20 37 2 6 2 19 4 4 3 2 19 19 19 6 4 2 5 2 2 13 4 37 20 2 2 2 2 34 5 2 6 19 7 2 6 4 6 2 37 19 2 2 6 6 5 12 2 5 13 5 2 0 2 2 19 2 2 38 6 2 6 2 2 5 4 19 2 4 4 2 6 2 37 2 6 37 19 2 0 4 2 19 4 7 7 39 7 39 8 42 39 7 5 7 39 39 8 39 7 39 7 39 39 42 28 7 7 39 42 7 40 7 40 7 39 7 7 42 39 7 7 39 39 39 7 39 7 7 7 7 40 8 40 7 28 5 7 7 39 7 42 7 7 8 7 39 7 42 39 7 39 39 39 42 39 39 7 40 40 7 7 40 7 40 7 7 8 7 4 40 28 40 7 42 7 42 7 39 39 39 39 7 6 6 5 6 5 2 2 4 2 42 4 2 42 37 2 6 2 2 2 17 5 5 2 14 2 15 2 5 2 37 2 4 6 6 2 4 42 5 5 19 17 5 6 5 27 6 6 4 37 2 6 42 4 37 2 2 25 5 5 4 19 13 37 6 2 34 2 19 5 5 6 2 6 4 2 2 2 37 5 42 37 2 2 2 6 5 37 2 2 2 42 42 4 37 2 4 2 37 42 5 28 12 40 40 40 28 40 40 40 28 28 40 15 30 28 28 28 40 40 28 23 28 28 19 19 28 28 28 29 40 19 28 30 28 28 28 40 28 28 28 24 28 28 28 28 19 28 28 28 28 28 28 28 28 28 29 28 29 29 13 28 15 19 28 28 28 28 19 19 28 19 19 28 40 19 17 40 30 20 28 29 28 19 19 28 29 30 30 28 17 28 28 19 28 28 19 29 40 23 28 19 12 20 20 19 8 7 19 17 19 19 19 19 7 7 7 19 18 19 19 7 18 19 7 18 20 17 19 19 17 37 18 19 19 12 12 7 19 19 19 18 12 19 19 12 20 7 19 19 12 18 19 20 19 20 19 19 19 7 19 19 17 19 19 19 12 7 19 19 20 19 7 12 20 19 17 19 19 17 19 19 19 12 8 19 19 18 12 20 20 20 20 7 19 20 17 7 20 19 18"
10,-0.6210,0.8333,"30 0 13 28 28 13 7 30 39 39 41 29 13 6 28 41 39 30 3 29 28 39 28 39 29 39 0 28 39 6 2 28 0 4 0 41 28 28 28 6 28 28 28 28 3 30 30 28 28 39 38 28 7 39 28 19 0 28 39 30 29 28 28 41 28 28 28 13 28 28 39 28 29 30 29 39 3 28 6 28 28 28 30 39 4 39 39 28 28 28 2 30 29 29 13 30 28 28 1 28 4 12 37 16 2 12 2 10 2 37 4 37 6 5 2 2 6 2 2 0 37 37 2 2 2 5 2 2 42 42 2 4 2 12 2 2 42 16 4 36 2 37 37 5 16 2 42 4 4 2 4 12 2 6 16 4 2 2 37 2 5 2 2 37 4 4 22 4 5 2 2 2 12 2 4 22 16 12 16 2 4 5 2 5 4 2 2 0 2 29 1 22 37 42 4 37 37 42 42 12 42 31 42 2 42 42 42 42 2 33 42 42 42 37 42 2 42 31 42 2 2 6 42 42 6 32 42 42 42 4 32 37 2 2 2 31 2 37 32 2 42 42 2 2 42 37 42 2 2 5 2 31 31 6 2 2 2 2 6 31 42 2 37 2 5 42 42 2 42 4 4 5 31 2 37 2 42 42 4 37 4 31 42 2 4 4 42 6 31 37 42 37 37 37 2 2 2 31 2 2 0 5 40 0 2 2 5 2 13 28 2 0 37 38 29 6 2 2 39 6 2 3 38 2 3 2 38 4 3 2 5 2 2 40 0 2 2 2 13 2 2 6 2 7 2 4 2 2 3 9 2 5 37 38 2 2 2 13 2 2 1 0 37 2 2 2 2 2 0 4 5 0 0 2 40 0 2 2 2 2 2 2 40 5 0 2 2 2 38 8 38 2 2 6 0 4 3 6 40 0 34 31 12 36 32 31 31 11 31 12 31 33 33 33 17 12 42 31 17 31 31 31 18 12 32 31 31 12 31 31 31 31 31 2 31 18 31 31 9 34 31 2 17 2 17 32 32 31 33 33 12 31 34 31 31 32 18 2 34 18 12 32 31 17 18 12 32 34 12 31 34 31 31 31 17 18 17 33 31 31 34 32 12 31 31 33 35 32 12 17 31 31 32 32 31 31 31 34 31 34"
