# seed=36
# instance=LINEAR
# popSize=100
# generations=100
# crossover=BlockUniform(p=0.25)
# mutation=p0=0.05,pMin=0.002,alpha=0.95
# tournamentK=3
# elitism=2
# lambda_similarity=0.3
# fights_per_team=10
# anchors=5
gen,changes,best_fitness,best_winrate,best_similarity,avg_fitness,worst_fitness,best_genome
0,1,-0.7246,1.0000,0.9178,-0.3279,0.0748,"41 23 0 14 12 13 13 26 15 41 2 34 15 27 37 36 27 17 25 9 4 5 36 19 32 41 24 8 27 10 19 15 2 18 32 38 31 26 27 24 15 16 1 22 18 42 15 3 32 0 14 31 10 20 9 16 32 28 19 4 2 19 33 41 21 9 16 24 17 9 33 42 2 11 9 39 34 3 2 9 15 22 37 3 25 24 29 11 26 28 35 24 39 13 7 25 29 38 8 7 15 0 37 4 27 8 5 38 4 15 30 9 39 13 18 35 42 2 20 17 14 12 20 18 6 42 2 14 12 13 31 35 4 13 26 41 24 10 32 0 13 35 1 15 13 40 9 32 21 42 22 17 22 39 22 8 4 7 30 27 42 12 30 31 33 40 16 6 20 32 2 30 18 1 4 16 12 32 21 2 23 19 2 14 35 28 0 40 18 31 40 27 40 31 10 20 32 9 6 6 5 41 19 19 30 10 33 1 27 4 12 33 36 31 32 33 16 14 5 13 8 2 9 17 16 1 26 8 32 1 32 15 35 41 5 4 22 15 31 6 22 27 6 41 7 29 41 2 9 2 29 18 39 40 1 19 31 12 3 31 42 34 32 28 27 29 23 31 4 35 28 34 19 4 12 7 21 0 8 36 3 25 39 5 17 41 37 23 5 6 25 9 36 32 16 32 34 7 33 39 32 37 26 7 1 16 22 15 17 26 31 36 25 10 2 37 37 25 37 23 25 30 3 12 28 37 14 9 6 5 29 6 32 0 5 4 30 22 22 30 4 38 38 20 37 9 9 4 26 30 16 8 17 30 16 8 13 33 6 11 10 28 14 26 16 7 13 4 2 23 0 9 16 6 0 21 17 4 39 13 2 0 20 22 8 4 40 30 19 15 10 16 28 4 16 22 3 33 37 21 2 21 6 17 27 10 21 27 1 1 40 32 7 40 2 18 9 25 30 15 12 37 12 2 24 11 37 36 6 31 40 2 41 16 2 30 10 14 42 36 19 24 15 23 13 13 14 9 3 26 26 25 32 34 10 26 4 0 25 14 15 28 14 19 26 23 39 16 8 11 5 39 6 15 36 9 21 8 33 42 4 9 0 22 6 1 30 24 0 22 24 18 34 31 2 4 16 6 22 28"
1,2,-0.8715,1.0000,0.4282,-0.3817,0.0978,"19 16 17 17 16 19 42 42 16 12 16 42 42 19 17 42 42 42 17 42 31 42 17 17 16 31 16 12 14 12 42 16 16 19 15 12 42 12 16 12 19 16 42 17 42 42 42 17 25 12 19 42 42 31 17 17 17 12 15 14 16 42 16 16 42 42 15 12 42 42 14 42 12 12 16 42 42 42 42 42 19 17 42 14 17 42 17 42 17 17 17 42 16 31 6 17 12 42 15 16 9 9 9 42 42 11 9 31 9 9 42 9 11 9 42 10 9 42 11 10 5 9 9 42 31 10 9 29 9 9 9 9 37 10 9 9 9 31 42 9 33 4 9 9 42 9 9 42 9 6 9 32 31 10 9 9 31 10 33 31 9 42 4 9 9 37 9 9 42 9 42 9 9 10 10 42 42 9 11 10 9 9 33 9 10 42 6 42 9 31 11 5 9 9 37 11 11 35 9 9 38 3 0 32 3 15 0 3 41 20 31 9 3 19 9 40 36 0 3 9 23 0 10 9 9 0 0 29 3 3 17 0 3 3 9 3 10 3 16 3 9 0 10 0 9 9 3 11 3 3 1 10 37 9 21 3 11 19 9 25 36 3 9 41 3 10 9 3 2 31 3 9 24 9 36 3 0 19 9 9 9 3 11 9 0 0 9 9 9 0 9 9 7 36 42 9 0 17 9 6 6 6 37 25 11 25 26 10 12 2 2 25 25 23 2 5 26 4 27 25 4 4 4 6 37 25 25 25 5 27 5 17 9 37 6 35 5 37 25 25 25 9 14 25 9 5 5 37 25 6 9 25 25 25 6 25 25 25 6 9 25 2 25 25 25 9 27 5 4 9 12 17 6 10 25 25 6 9 27 37 37 5 10 26 2 25 26 5 25 5 25 25 9 2 12 9 4 27 5 26 11 11 2 2 2 11 18 17 2 2 2 9 11 17 26 7 9 8 7 8 18 1 7 7 2 2 9 2 9 23 17 2 8 9 9 17 2 10 7 9 2 9 7 9 2 2 29 2 2 2 9 17 2 38 2 2 0 2 17 8 9 9 7 9 2 7 2 17 9 17 8 7 2 2 17 2 0 2 2 2 2 8 2 2 2 8 2 0 17 8 24 2 38 7 4 2 2 2 18 7"
2,2,-0.8437,1.0000,0.5208,-0.4204,-0.0573,"19 16 17 17 16 19 42 42 16 12 16 42 42 19 17 42 42 42 17 42 31 42 17 17 16 31 16 12 14 12 42 16 16 19 15 12 42 12 16 12 19 16 42 17 42 42 42 17 25 12 19 42 42 31 17 17 17 12 15 14 16 42 16 16 42 42 15 12 42 42 14 42 12 12 16 42 42 42 42 42 19 17 42 14 17 42 17 42 17 17 17 42 16 31 6 17 12 42 15 16 9 9 9 42 42 11 9 31 9 9 42 9 11 9 42 10 9 42 11 10 5 9 9 42 31 10 9 29 9 9 9 9 37 10 9 9 9 31 42 9 33 4 9 9 42 9 9 42 9 6 9 32 31 10 9 9 31 10 33 31 9 42 4 9 9 37 9 9 42 9 42 9 9 10 10 42 42 9 11 10 9 9 33 9 10 42 6 42 9 31 11 5 9 9 37 11 11 35 9 9 38 3 0 32 3 15 0 3 41 20 31 9 3 19 9 40 36 0 3 9 23 0 10 9 9 0 0 29 3 3 17 0 3 3 9 3 10 3 16 3 9 0 10 0 9 9 3 11 3 3 1 10 37 9 21 3 11 19 9 25 36 3 9 41 3 10 9 3 2 31 3 9 24 9 36 3 0 19 9 9 9 3 11 9 0 0 9 9 9 0 9 9 7 36 42 9 0 17 9 6 6 6 37 25 11 25 26 10 12 2 2 25 25 23 2 5 26 4 27 25 4 4 4 6 37 25 25 25 5 27 5 17 9 37 6 35 5 37 25 25 25 9 14 25 9 5 5 37 25 6 9 25 25 25 6 25 25 25 6 9 25 2 25 25 25 9 27 5 4 9 12 17 6 10 25 25 6 9 27 37 37 5 10 26 2 25 26 5 25 5 25 25 9 2 12 9 4 27 5 26 11 11 2 2 2 11 18 17 2 2 2 9 11 17 26 7 9 8 7 8 18 1 7 7 2 2 9 2 9 23 17 2 8 9 9 17 2 10 7 9 2 9 7 9 2 2 29 2 2 2 9 17 2 38 2 2 0 2 17 8 9 9 7 9 2 7 2 17 9 17 8 7 2 2 17 2 0 2 2 2 2 8 2 2 2 8 2 0 17 8 24 2 38 7 4 2 2 2 18 7"
3,2,-0.8567,1.0000,0.4777,-0.4369,-0.0739,"19 16 17 17 16 19 42 42 16 12 16 42 42 19 17 42 42 42 17 42 31 42 17 17 16 31 16 12 14 12 42 16 16 19 15 12 42 12 16 12 19 16 42 17 42 42 42 17 25 12 19 42 42 31 17 17 17 12 15 14 16 42 16 16 42 42 15 12 42 42 14 42 12 12 16 42 42 42 42 42 19 17 42 14 17 42 17 42 17 17 17 42 16 31 6 17 12 42 15 16 9 9 9 42 42 11 9 31 9 9 42 9 11 9 42 10 9 42 11 10 5 9 9 42 31 10 9 29 9 9 9 9 37 10 9 9 9 31 42 9 33 4 9 9 42 9 9 42 9 6 9 32 31 10 9 9 31 10 33 31 9 42 4 9 9 37 9 9 42 9 42 9 9 10 10 42 42 9 11 10 9 9 33 9 10 42 6 42 9 31 11 5 9 9 37 11 11 35 9 9 38 3 0 32 3 15 0 3 41 20 31 9 3 19 9 40 36 0 3 9 23 0 10 9 9 0 0 29 3 3 17 0 3 3 9 3 10 3 16 3 9 0 10 0 9 9 3 11 3 3 1 10 37 9 21 3 11 19 9 25 36 3 9 41 3 10 9 3 2 31 3 9 24 9 36 3 0 19 9 9 9 3 11 9 0 0 9 9 9 0 9 9 7 36 42 9 0 17 9 6 6 6 37 25 11 25 26 10 12 2 2 25 25 23 2 5 26 4 27 25 4 4 4 6 37 25 25 25 5 27 5 17 9 37 6 35 5 37 25 25 25 9 14 25 9 5 5 37 25 6 9 25 25 25 6 25 25 25 6 9 25 2 25 25 25 9 27 5 4 9 12 17 6 10 25 25 6 9 27 37 37 5 10 26 2 25 26 5 25 5 25 25 9 2 12 9 4 27 5 26 11 11 2 2 2 11 18 17 2 2 2 9 11 17 26 7 9 8 7 8 18 1 7 7 2 2 9 2 9 23 17 2 8 9 9 17 2 10 7 9 2 9 7 9 2 2 29 2 2 2 9 17 2 38 2 2 0 2 17 8 9 9 7 9 2 7 2 17 9 17 8 7 2 2 17 2 0 2 2 2 2 8 2 2 2 8 2 0 17 8 24 2 38 7 4 2 2 2 18 7"
4,2,-0.8620,1.0000,0.4601,-0.4383,0.0621,"19 16 17 17 16 19 42 42 16 12 16 42 42 19 17 42 42 42 17 42 31 42 17 17 16 31 16 12 14 12 42 16 16 19 15 12 42 12 16 12 19 16 42 17 42 42 42 17 25 12 19 42 42 31 17 17 17 12 15 14 16 42 16 16 42 42 15 12 42 42 14 42 12 12 16 42 42 42 42 42 19 17 42 14 17 42 17 42 17 17 17 42 16 31 6 17 12 42 15 16 9 9 9 42 42 11 9 31 9 9 42 9 11 9 42 10 9 42 11 10 5 9 9 42 31 10 9 29 9 9 9 9 37 10 9 9 9 31 42 9 33 4 9 9 42 9 9 42 9 6 9 32 31 10 9 9 31 10 33 31 9 42 4 9 9 37 9 9 42 9 42 9 9 10 10 42 42 9 11 10 9 9 33 9 10 42 6 42 9 31 11 5 9 9 37 11 11 35 9 9 38 3 0 32 3 15 0 3 41 20 31 9 3 19 9 40 36 0 3 9 23 0 10 9 9 0 0 29 3 3 17 0 3 3 9 3 10 3 16 3 9 0 10 0 9 9 3 11 3 3 1 10 37 9 21 3 11 19 9 25 36 3 9 41 3 10 9 3 2 31 3 9 24 9 36 3 0 19 9 9 9 3 11 9 0 0 9 9 9 0 9 9 7 36 42 9 0 17 9 6 6 6 37 25 11 25 26 10 12 2 2 25 25 23 2 5 26 4 27 25 4 4 4 6 37 25 25 25 5 27 5 17 9 37 6 35 5 37 25 25 25 9 14 25 9 5 5 37 25 6 9 25 25 25 6 25 25 25 6 9 25 2 25 25 25 9 27 5 4 9 12 17 6 10 25 25 6 9 27 37 37 5 10 26 2 25 26 5 25 5 25 25 9 2 12 9 4 27 5 26 11 11 2 2 2 11 18 17 2 2 2 9 11 17 26 7 9 8 7 8 18 1 7 7 2 2 9 2 9 23 17 2 8 9 9 17 2 10 7 9 2 9 7 9 2 2 29 2 2 2 9 17 2 38 2 2 0 2 17 8 9 9 7 9 2 7 2 17 9 17 8 7 2 2 17 2 0 2 2 2 2 8 2 2 2 8 2 0 17 8 24 2 38 7 4 2 2 2 18 7"
5,2,-0.8688,1.0000,0.4372,-0.4444,-0.0439,"19 16 17 17 16 19 42 42 16 12 16 42 42 19 17 42 42 42 17 42 31 42 17 17 16 31 16 12 14 12 42 16 16 19 15 12 42 12 16 12 19 16 42 17 42 42 42 17 25 12 19 42 42 31 17 17 17 12 15 14 16 42 16 16 42 42 15 12 42 42 14 42 12 12 16 42 42 42 42 42 19 17 42 14 17 42 17 42 17 17 17 42 16 31 6 17 12 42 15 16 9 9 9 42 42 11 9 31 9 9 42 9 11 9 42 10 9 42 11 10 5 9 9 42 31 10 9 29 9 9 9 9 37 10 9 9 9 31 42 9 33 4 9 9 42 9 9 42 9 6 9 32 31 10 9 9 31 10 33 31 9 42 4 9 9 37 9 9 42 9 42 9 9 10 10 42 42 9 11 10 9 9 33 9 10 42 6 42 9 31 11 5 9 9 37 11 11 35 9 9 38 3 0 32 3 15 0 3 41 20 31 9 3 19 9 40 36 0 3 9 23 0 10 9 9 0 0 29 3 3 17 0 3 3 9 3 10 3 16 3 9 0 10 0 9 9 3 11 3 3 1 10 37 9 21 3 11 19 9 25 36 3 9 41 3 10 9 3 2 31 3 9 24 9 36 3 0 19 9 9 9 3 11 9 0 0 9 9 9 0 9 9 7 36 42 9 0 17 9 6 6 6 37 25 11 25 26 10 12 2 2 25 25 23 2 5 26 4 27 25 4 4 4 6 37 25 25 25 5 27 5 17 9 37 6 35 5 37 25 25 25 9 14 25 9 5 5 37 25 6 9 25 25 25 6 25 25 25 6 9 25 2 25 25 25 9 27 5 4 9 12 17 6 10 25 25 6 9 27 37 37 5 10 26 2 25 26 5 25 5 25 25 9 2 12 9 4 27 5 26 11 11 2 2 2 11 18 17 2 2 2 9 11 17 26 7 9 8 7 8 18 1 7 7 2 2 9 2 9 23 17 2 8 9 9 17 2 10 7 9 2 9 7 9 2 2 29 2 2 2 9 17 2 38 2 2 0 2 17 8 9 9 7 9 2 7 2 17 9 17 8 7 2 2 17 2 0 2 2 2 2 8 2 2 2 8 2 0 17 8 24 2 38 7 4 2 2 2 18 7"
6,2,-0.8565,1.0000,0.4784,-0.4452,-0.0321,"19 16 17 17 16 19 42 42 16 12 16 42 42 19 17 42 42 42 17 42 31 42 17 17 16 31 16 12 14 12 42 16 16 19 15 12 42 12 16 12 19 16 42 17 42 42 42 17 25 12 19 42 42 31 17 17 17 12 15 14 16 42 16 16 42 42 15 12 42 42 14 42 12 12 16 42 42 42 42 42 19 17 42 14 17 42 17 42 17 17 17 42 16 31 6 17 12 42 15 16 9 9 9 42 42 11 9 31 9 9 42 9 11 9 42 10 9 42 11 10 5 9 9 42 31 10 9 29 9 9 9 9 37 10 9 9 9 31 42 9 33 4 9 9 42 9 9 42 9 6 9 32 31 10 9 9 31 10 33 31 9 42 4 9 9 37 9 9 42 9 42 9 9 10 10 42 42 9 11 10 9 9 33 9 10 42 6 42 9 31 11 5 9 9 37 11 11 35 9 9 38 3 0 32 3 15 0 3 41 20 31 9 3 19 9 40 36 0 3 9 23 0 10 9 9 0 0 29 3 3 17 0 3 3 9 3 10 3 16 3 9 0 10 0 9 9 3 11 3 3 1 10 37 9 21 3 11 19 9 25 36 3 9 41 3 10 9 3 2 31 3 9 24 9 36 3 0 19 9 9 9 3 11 9 0 0 9 9 9 0 9 9 7 36 42 9 0 17 9 6 6 6 37 25 11 25 26 10 12 2 2 25 25 23 2 5 26 4 27 25 4 4 4 6 37 25 25 25 5 27 5 17 9 37 6 35 5 37 25 25 25 9 14 25 9 5 5 37 25 6 9 25 25 25 6 25 25 25 6 9 25 2 25 25 25 9 27 5 4 9 12 17 6 10 25 25 6 9 27 37 37 5 10 26 2 25 26 5 25 5 25 25 9 2 12 9 4 27 5 26 11 11 2 2 2 11 18 17 2 2 2 9 11 17 26 7 9 8 7 8 18 1 7 7 2 2 9 2 9 23 17 2 8 9 9 17 2 10 7 9 2 9 7 9 2 2 29 2 2 2 9 17 2 38 2 2 0 2 17 8 9 9 7 9 2 7 2 17 9 17 8 7 2 2 17 2 0 2 2 2 2 8 2 2 2 8 2 0 17 8 24 2 38 7 4 2 2 2 18 7"
7,2,-0.8576,1.0000,0.4747,-0.4538,-0.0558,"19 16 17 17 16 19 42 42 16 12 16 42 42 19 17 42 42 42 17 42 31 42 17 17 16 31 16 12 14 12 42 16 16 19 15 12 42 12 16 12 19 16 42 17 42 42 42 17 25 12 19 42 42 31 17 17 17 12 15 14 16 42 16 16 42 42 15 12 42 42 14 42 12 12 16 42 42 42 42 42 19 17 42 14 17 42 17 42 17 17 17 42 16 31 6 17 12 42 15 16 9 9 9 42 42 11 9 31 9 9 42 9 11 9 42 10 9 42 11 10 5 9 9 42 31 10 9 29 9 9 9 9 37 10 9 9 9 31 42 9 33 4 9 9 42 9 9 42 9 6 9 32 31 10 9 9 31 10 33 31 9 42 4 9 9 37 9 9 42 9 42 9 9 10 10 42 42 9 11 10 9 9 33 9 10 42 6 42 9 31 11 5 9 9 37 11 11 35 9 9 38 3 0 32 3 15 0 3 41 20 31 9 3 19 9 40 36 0 3 9 23 0 10 9 9 0 0 29 3 3 17 0 3 3 9 3 10 3 16 3 9 0 10 0 9 9 3 11 3 3 1 10 37 9 21 3 11 19 9 25 36 3 9 41 3 10 9 3 2 31 3 9 24 9 36 3 0 19 9 9 9 3 11 9 0 0 9 9 9 0 9 9 7 36 42 9 0 17 9 6 6 6 37 25 11 25 26 10 12 2 2 25 25 23 2 5 26 4 27 25 4 4 4 6 37 25 25 25 5 27 5 17 9 37 6 35 5 37 25 25 25 9 14 25 9 5 5 37 25 6 9 25 25 25 6 25 25 25 6 9 25 2 25 25 25 9 27 5 4 9 12 17 6 10 25 25 6 9 27 37 37 5 10 26 2 25 26 5 25 5 25 25 9 2 12 9 4 27 5 26 11 11 2 2 2 11 18 17 2 2 2 9 11 17 26 7 9 8 7 8 18 1 7 7 2 2 9 2 9 23 17 2 8 9 9 17 2 10 7 9 2 9 7 9 2 2 29 2 2 2 9 17 2 38 2 2 0 2 17 8 9 9 7 9 2 7 2 17 9 17 8 7 2 2 17 2 0 2 2 2 2 8 2 2 2 8 2 0 17 8 24 2 38 7 4 2 2 2 18 7"
8,2,-0.8586,1.0000,0.4713,-0.4569,-0.0974,"19 16 17 17 16 19 42 42 16 12 16 42 42 19 17 42 42 42 17 42 31 42 17 17 16 31 16 12 14 12 42 16 16 19 15 12 42 12 16 12 19 16 42 17 42 42 42 17 25 12 19 42 42 31 17 17 17 12 15 14 16 42 16 16 42 42 15 12 42 42 14 42 12 12 16 42 42 42 42 42 19 17 42 14 17 42 17 42 17 17 17 42 16 31 6 17 12 42 15 16 9 9 9 42 42 11 9 31 9 9 42 9 11 9 42 10 9 42 11 10 5 9 9 42 31 10 9 29 9 9 9 9 37 10 9 9 9 31 42 9 33 4 9 9 42 9 9 42 9 6 9 32 31 10 9 9 31 10 33 31 9 42 4 9 9 37 9 9 42 9 42 9 9 10 10 42 42 9 11 10 9 9 33 9 10 42 6 42 9 31 11 5 9 9 37 11 11 35 9 9 38 3 0 32 3 15 0 3 41 20 31 9 3 19 9 40 36 0 3 9 23 0 10 9 9 0 0 29 3 3 17 0 3 3 9 3 10 3 16 3 9 0 10 0 9 9 3 11 3 3 1 10 37 9 21 3 11 19 9 25 36 3 9 41 3 10 9 3 2 31 3 9 24 9 36 3 0 19 9 9 9 3 11 9 0 0 9 9 9 0 9 9 7 36 42 9 0 17 9 6 6 6 37 25 11 25 26 10 12 2 2 25 25 23 2 5 26 4 27 25 4 4 4 6 37 25 25 25 5 27 5 17 9 37 6 35 5 37 25 25 25 9 14 25 9 5 5 37 25 6 9 25 25 25 6 25 25 25 6 9 25 2 25 25 25 9 27 5 4 9 12 17 6 10 25 25 6 9 27 37 37 5 10 26 2 25 26 5 25 5 25 25 9 2 12 9 4 27 5 26 11 11 2 2 2 11 18 17 2 2 2 9 11 17 26 7 9 8 7 8 18 1 7 7 2 2 9 2 9 23 17 2 8 9 9 17 2 10 7 9 2 9 7 9 2 2 29 2 2 2 9 17 2 38 2 2 0 2 17 8 9 9 7 9 2 7 2 17 9 17 8 7 2 2 17 2 0 2 2 2 2 8 2 2 2 8 2 0 17 8 24 2 38 7 4 2 2 2 18 7"
9,2,-0.8585,1.0000,0.4716,-0.4572,-0.0604,"19 16 17 17 16 19 42 42 16 12 16 42 42 19 17 42 42 42 17 42 31 42 17 17 16 31 16 12 14 12 42 16 16 19 15 12 42 12 16 12 19 16 42 17 42 42 42 17 25 12 19 42 42 31 17 17 17 12 15 14 16 42 16 16 42 42 15 12 42 42 14 42 12 12 16 42 42 42 42 42 19 17 42 14 17 42 17 42 17 17 17 42 16 31 6 17 12 42 15 16 9 9 9 42 42 11 9 31 9 9 42 9 11 9 42 10 9 42 11 10 5 9 9 42 31 10 9 29 9 9 9 9 37 10 9 9 9 31 42 9 33 4 9 9 42 9 9 42 9 6 9 32 31 10 9 9 31 10 33 31 9 42 4 9 9 37 9 9 42 9 42 9 9 10 10 42 42 9 11 10 9 9 33 9 10 42 6 42 9 31 11 5 9 9 37 11 11 35 9 9 38 3 0 32 3 15 0 3 41 20 31 9 3 19 9 40 36 0 3 9 23 0 10 9 9 0 0 29 3 3 17 0 3 3 9 3 10 3 16 3 9 0 10 0 9 9 3 11 3 3 1 10 37 9 21 3 11 19 9 25 36 3 9 41 3 10 9 3 2 31 3 9 24 9 36 3 0 19 9 9 9 3 11 9 0 0 9 9 9 0 9 9 7 36 42 9 0 17 9 6 6 6 37 25 11 25 26 10 12 2 2 25 25 23 2 5 26 4 27 25 4 4 4 6 37 25 25 25 5 27 5 17 9 37 6 35 5 37 25 25 25 9 14 25 9 5 5 37 25 6 9 25 25 25 6 25 25 25 6 9 25 2 25 25 25 9 27 5 4 9 12 17 6 10 25 25 6 9 27 37 37 5 10 26 2 25 26 5 25 5 25 25 9 2 12 9 4 27 5 26 11 11 2 2 2 11 18 17 2 2 2 9 11 17 26 7 9 8 7 8 18 1 7 7 2 2 9 2 9 23 17 2 8 9 9 17 2 10 7 9 2 9 7 9 2 2 29 2 2 2 9 17 2 38 2 2 0 2 17 8 9 9 7 9 2 7 2 17 9 17 8 7 2 2 17 2 0 2 2 2 2 8 2 2 2 8 2 0 17 8 24 2 38 7 4 2 2 2 18 7"
