rank,fitness,winrate,genome
1,-0.8109,1.0000,"25 23 24 23 23 23 9 25 23 9 23 0 25 23 23 9 10 25 23 11 23 25 25 23 27 23 25 23 9 25 11 23 9 23 23 23 25 23 23 23 23 9 27 23 23 23 1 23 24 24 27 23 27 3 25 11 9 24 23 23 23 28 23 23 23 24 9 24 23 25 38 23 23 23 25 24 23 27 25 0 23 23 23 23 23 39 25 23 27 27 23 25 25 25 26 9 23 23 9 23 0 3 2 8 2 0 2 3 7 8 0 0 5 8 3 2 3 8 2 0 41 12 2 0 2 2 7 4 7 0 6 7 0 4 2 0 8 0 3 0 8 2 3 7 7 0 37 2 2 3 3 3 7 7 3 2 8 8 3 3 3 2 2 42 30 2 42 2 8 0 0 7 0 4 7 3 0 2 6 0 0 8 37 0 42 2 3 8 0 3 0 0 0 2 0 42 2 42 3 42 28 29 28 39 38 39 13 3 28 28 28 31 39 28 0 28 38 39 3 28 0 28 28 28 3 28 30 39 28 30 28 28 28 28 28 28 28 28 30 28 28 28 28 28 29 28 0 0 29 28 28 39 28 28 3 30 28 0 39 28 28 28 28 28 28 1 0 28 28 28 28 18 0 0 30 3 29 0 28 0 0 3 39 28 39 28 28 39 38 30 28 29 3 28 1 29 0 28 39 28 28 28 28 28 31 30 23 28 13 28 16 23 29 31 30 29 28 28 31 33 12 42 29 28 31 28 42 28 31 28 2 28 31 31 28 28 28 28 28 28 28 29 28 42 29 28 28 29 28 28 28 28 28 28 12 32 28 28 42 31 30 28 42 29 32 28 28 12 42 23 31 42 33 30 28 30 42 28 23 12 28 31 28 28 31 33 31 30 29 30 28 23 28 28 30 28 28 31 28 31 2 2 37 4 38 2 4 4 13 2 13 2 38 3 1 13 1 13 2 3 37 3 23 2 38 13 2 1 2 38 2 13 2 6 3 1 2 2 0 2 13 24 1 1 0 38 0 13 38 2 2 1 0 38 1 38 42 2 38 0 38 5 38 3 5 6 1 0 4 5 0 3 2 0 38 2 38 3 38 3 0 23 2 2 2 38 0 0 4 1 1 13 2 38 3 1 0 0 3 38"
2,-0.7999,1.0000,"25 23 24 23 23 23 9 25 23 9 23 0 25 23 23 9 10 25 23 11 23 25 25 23 27 23 25 23 9 25 11 23 9 23 23 23 25 23 23 23 23 9 27 23 23 23 1 23 24 24 27 23 27 3 25 11 9 24 23 23 23 28 23 23 23 24 9 24 23 25 38 23 23 23 25 24 23 27 25 0 23 23 23 23 23 39 25 23 27 27 23 25 25 25 26 9 23 23 9 23 0 3 2 8 2 0 2 3 7 8 0 0 5 8 3 2 3 8 2 0 41 12 2 0 2 2 7 4 7 0 6 7 0 4 2 0 8 0 3 0 8 2 3 7 7 0 37 2 2 3 3 3 7 7 3 2 8 8 3 3 3 2 2 42 30 2 42 2 8 0 0 7 0 4 7 3 0 2 6 0 0 8 37 0 42 2 3 8 0 3 0 0 0 2 0 42 2 42 3 42 1 0 3 0 1 0 0 13 3 3 1 31 21 3 0 3 38 38 3 1 3 3 0 3 3 3 13 17 0 3 1 3 0 0 0 38 3 41 0 7 0 0 3 0 13 0 0 0 13 0 1 7 0 8 42 0 17 0 0 0 0 3 3 7 38 17 0 38 1 3 38 18 13 38 0 3 0 0 38 0 13 1 0 3 3 0 1 3 3 7 0 1 3 3 3 13 3 3 3 13 2 6 0 2 2 2 13 4 13 37 2 1 6 2 2 2 2 19 2 0 2 3 1 3 0 3 2 6 3 19 2 38 38 2 6 38 3 2 38 3 1 19 0 1 5 38 6 1 13 2 2 0 5 3 4 1 3 1 2 34 2 6 13 19 13 2 2 21 2 2 6 19 2 6 37 4 13 1 2 13 4 2 34 1 2 0 19 2 3 10 1 13 2 0 38 4 19 19 1 3 2 2 37 4 38 2 4 4 13 2 13 2 38 3 1 13 1 13 2 3 37 3 23 2 38 13 2 1 2 38 2 13 2 6 3 1 2 2 0 2 13 24 1 1 0 38 0 13 38 2 2 1 0 38 1 38 42 2 38 0 38 5 38 3 5 6 1 0 4 5 0 3 2 0 38 2 38 3 38 3 0 23 2 2 2 38 0 0 4 1 1 13 2 38 3 1 0 0 3 38"
3,-0.7993,1.0000,"25 23 24 23 23 23 9 25 23 9 23 0 25 23 23 9 10 25 23 11 23 25 25 23 27 23 25 23 9 25 11 23 9 23 23 23 25 23 23 23 23 9 27 23 23 23 1 23 24 24 27 23 27 3 25 11 9 24 23 23 23 28 23 23 23 24 9 24 23 25 38 23 23 23 25 24 23 27 25 0 23 23 23 23 23 39 25 23 27 27 23 25 25 25 26 9 23 23 9 23 0 2 2 8 2 0 2 3 7 8 0 0 5 2 3 2 6 6 2 6 2 12 37 37 37 2 2 4 2 2 6 5 2 4 2 2 2 0 2 2 2 2 2 2 2 0 37 4 2 3 6 3 2 4 6 2 5 5 2 3 3 2 2 42 2 2 5 2 2 5 2 2 2 4 2 2 2 2 5 0 0 8 37 0 2 2 2 8 2 3 0 2 2 2 2 37 2 42 2 42 1 0 3 0 1 0 0 13 3 3 1 31 21 3 0 3 38 38 3 1 3 3 0 3 3 3 13 17 0 3 1 3 0 0 0 38 3 41 0 7 0 0 3 0 13 0 0 0 13 0 1 7 0 8 42 0 17 0 0 0 0 3 3 7 38 17 0 38 1 3 38 18 13 38 0 3 0 0 38 0 13 1 0 3 3 0 1 3 3 7 0 1 3 3 3 13 3 3 3 13 2 6 0 2 2 2 13 4 13 37 2 1 6 2 2 2 2 19 2 0 2 3 1 3 0 3 2 6 3 19 2 38 38 2 6 38 3 2 38 3 1 19 0 1 5 38 6 1 13 2 2 0 5 3 4 1 3 1 2 34 2 6 13 19 13 2 2 21 2 2 6 19 2 6 37 4 13 1 2 13 4 2 34 1 2 0 19 2 3 10 1 13 2 0 38 4 19 19 1 3 2 2 37 4 38 2 4 4 13 2 13 2 38 3 1 13 1 13 2 3 37 3 23 2 38 13 2 1 2 38 2 13 2 6 3 1 2 2 0 2 13 24 1 1 0 38 0 13 38 2 2 1 0 38 1 38 42 2 38 0 38 5 38 3 5 6 1 0 4 5 0 3 2 0 38 2 38 3 38 3 0 23 2 2 2 38 0 0 4 1 1 13 2 38 3 1 0 0 3 38"
4,-0.7986,1.0000,"25 23 24 23 23 23 9 25 23 9 23 0 25 23 23 9 10 25 23 11 23 25 25 23 27 23 25 23 9 25 11 23 9 23 23 23 25 23 23 23 23 9 27 23 23 23 1 23 24 24 27 23 27 3 25 11 9 24 23 23 23 28 23 23 23 24 9 24 23 25 38 23 23 23 25 24 23 27 25 0 23 23 23 23 23 39 25 23 27 27 23 25 25 25 26 9 23 23 9 23 0 3 2 8 2 0 2 3 7 8 0 0 5 8 3 2 3 8 2 0 41 12 2 0 2 2 7 4 7 0 6 7 0 4 2 0 8 0 3 0 8 2 3 7 7 0 37 2 2 3 3 3 7 7 3 2 8 8 3 3 3 2 2 42 30 2 42 2 8 0 0 7 0 4 7 3 0 2 6 0 0 8 37 0 42 2 3 8 0 3 0 0 0 2 0 42 2 42 3 42 1 0 3 0 1 0 0 13 3 3 1 31 21 3 0 3 38 38 3 1 3 3 0 3 3 3 13 17 0 3 1 3 0 0 0 38 3 41 0 7 0 0 3 0 13 0 0 0 13 0 1 7 0 8 42 0 17 0 0 0 0 3 3 7 38 17 0 38 1 3 38 18 13 38 0 3 0 0 38 0 13 1 0 3 3 0 1 3 3 7 0 1 3 3 3 13 3 3 3 13 2 6 0 2 2 2 13 4 13 37 2 1 6 2 2 2 2 19 2 0 2 3 1 3 0 3 2 6 3 19 2 38 38 2 6 38 3 2 38 3 1 19 0 1 5 38 6 1 13 2 2 0 5 3 4 1 3 1 2 34 2 6 13 19 13 2 2 21 2 2 6 19 2 6 37 4 13 1 2 13 4 2 34 1 2 0 19 2 3 10 1 13 2 0 38 4 19 19 1 3 2 2 37 4 38 2 4 4 13 2 13 2 38 3 1 13 1 13 2 3 37 3 23 2 38 13 2 1 2 38 2 13 2 6 3 1 2 2 0 2 13 24 1 1 0 38 0 13 38 2 2 1 0 38 1 38 42 2 38 0 38 5 38 3 5 6 1 0 4 5 0 3 2 0 38 2 38 3 38 3 0 23 2 2 2 38 0 0 4 1 1 13 2 38 3 1 0 0 3 38"
5,-0.7928,0.9630,"25 27 10 25 9 26 9 25 25 9 25 0 25 9 25 9 10 25 10 11 26 25 25 25 27 10 25 9 9 25 11 25 9 25 11 27 25 25 38 9 25 9 27 26 11 9 1 25 25 25 27 25 27 3 25 11 9 11 11 25 25 28 9 10 11 25 9 25 25 25 38 9 25 25 25 9 9 27 25 0 26 11 9 25 25 39 25 9 27 27 0 25 25 25 26 9 27 25 9 27 21 22 21 0 21 21 21 12 38 21 22 21 21 21 21 21 21 21 21 21 21 21 21 22 3 12 12 25 21 16 16 21 22 12 12 21 25 21 21 21 22 21 21 21 0 12 21 25 21 21 22 21 21 22 21 0 21 38 12 13 21 22 21 12 22 21 21 22 21 13 21 21 12 12 21 21 12 21 21 12 21 21 12 22 21 21 21 12 26 21 22 21 21 22 21 38 12 21 25 22 4 0 6 0 0 31 0 25 2 0 38 3 4 15 12 15 0 3 4 25 12 14 0 0 3 12 2 12 3 2 4 3 12 12 14 14 12 4 15 12 3 0 0 3 3 12 37 14 0 3 12 3 0 6 0 12 0 25 15 14 3 37 14 25 0 0 3 12 0 26 25 12 2 3 3 3 12 2 25 41 3 0 42 25 0 3 3 0 26 15 3 0 0 25 0 14 3 0 5 14 12 12 27 2 12 12 13 12 13 12 12 25 6 27 26 26 25 12 12 12 26 12 12 3 12 12 2 33 27 12 2 38 38 25 12 38 3 12 12 26 12 12 0 12 5 25 12 12 12 12 12 25 12 12 12 25 12 12 33 12 12 12 25 12 12 12 2 12 12 12 31 19 27 6 12 4 12 12 12 12 4 12 34 1 25 0 12 12 25 12 1 12 2 0 33 12 19 19 12 12 37 2 3 2 4 42 42 1 38 1 5 40 42 38 3 39 2 40 20 2 2 37 2 0 42 6 2 38 0 2 2 37 20 13 13 1 2 42 40 37 42 2 2 2 0 3 2 5 3 2 37 0 38 42 1 0 5 19 6 0 38 2 0 4 1 42 1 13 2 0 38 1 13 2 19 37 37 38 37 2 2 7 40 38 19 6 42 42 38 3 39 42 37 42 2 2 42 19 0 13"
6,-0.7743,0.9600,"25 23 24 23 23 23 9 25 23 9 23 0 25 23 23 9 10 25 23 11 23 25 25 23 27 23 25 23 9 25 11 23 9 23 23 23 25 23 23 23 23 9 27 23 23 23 1 23 24 24 27 23 27 3 25 11 9 24 23 23 23 28 23 23 23 24 9 24 23 25 38 23 23 23 25 24 23 27 25 0 23 23 23 23 23 39 25 23 27 27 23 25 25 25 26 9 23 23 9 23 0 3 2 8 2 0 2 3 7 8 0 0 5 8 3 2 3 8 2 0 41 12 2 0 2 2 7 4 7 0 6 7 0 4 2 0 8 0 3 0 8 2 3 7 7 0 37 2 2 3 3 3 7 7 3 2 8 8 3 3 3 2 2 42 30 2 42 2 8 0 0 7 0 4 7 3 0 2 6 0 0 8 37 0 42 2 3 8 0 3 0 0 0 2 0 42 2 42 3 42 28 29 28 39 38 39 13 3 28 28 28 31 39 28 0 28 38 39 3 28 0 28 28 28 3 28 30 39 28 30 28 28 28 28 28 28 28 28 30 28 28 28 28 28 29 28 0 0 29 28 28 39 28 28 3 30 28 0 39 28 28 28 28 28 28 1 0 28 28 28 28 18 0 0 30 3 29 0 28 0 0 3 39 28 39 28 28 39 38 30 28 29 3 28 1 29 0 28 39 28 28 28 28 28 31 30 23 28 13 28 16 23 29 31 30 29 28 28 31 33 12 42 29 28 31 28 42 28 31 28 2 28 31 31 28 28 28 28 28 28 28 29 28 42 29 28 28 29 28 28 28 28 28 28 12 32 28 28 42 31 30 28 42 29 32 28 28 12 42 23 31 42 33 30 28 30 42 28 23 12 28 31 28 28 31 33 31 30 29 30 28 23 28 28 30 28 28 31 28 31 2 2 37 4 38 2 4 4 13 2 13 2 38 3 1 13 1 13 2 3 37 3 23 2 38 13 2 1 2 38 2 13 2 6 3 1 2 2 0 2 13 24 1 1 0 38 0 13 38 2 2 1 0 38 1 38 42 2 38 0 38 5 38 3 5 6 1 0 4 5 0 3 2 0 38 2 38 3 38 3 0 23 2 2 2 38 0 0 4 1 1 13 2 38 3 1 0 0 3 38"
7,-0.7700,0.9524,"25 23 24 23 23 23 9 25 23 9 23 0 25 23 23 9 10 25 23 11 23 25 25 23 27 23 25 23 9 25 11 23 9 23 23 23 25 23 23 23 23 9 27 23 23 23 1 23 24 24 27 23 27 3 25 11 9 24 23 23 23 28 23 23 23 24 9 24 23 25 38 23 23 23 25 24 23 27 25 0 23 23 23 23 23 39 25 23 27 27 23 25 25 25 26 9 23 23 9 23 0 3 2 8 2 0 2 3 7 8 0 0 5 8 3 2 3 8 2 0 41 12 2 0 2 2 7 4 7 0 6 7 0 4 2 0 8 0 3 0 8 2 3 7 7 0 37 2 2 3 3 3 7 7 3 2 8 8 3 3 3 2 2 42 30 2 42 2 8 0 0 7 0 4 7 3 0 2 6 0 0 8 37 0 42 2 3 8 0 3 0 0 0 2 0 42 2 42 3 42 28 29 28 39 38 39 13 3 28 28 28 31 39 28 0 28 38 39 3 28 0 28 28 28 3 28 30 39 28 30 28 28 28 28 28 28 28 28 30 28 28 28 28 28 29 28 0 0 29 28 28 39 28 28 3 30 28 0 39 28 28 28 28 28 28 1 0 28 28 28 28 18 0 0 30 3 29 0 28 0 0 3 39 28 39 28 28 39 38 30 28 29 3 28 1 29 0 28 39 28 28 28 28 28 31 30 23 28 13 28 16 23 29 31 30 29 28 28 31 33 12 42 29 28 31 28 42 28 31 28 2 28 31 31 28 28 28 28 28 28 28 29 28 42 29 28 28 29 28 28 28 28 28 28 12 32 28 28 42 31 30 28 42 29 32 28 28 12 42 23 31 42 33 30 28 30 42 28 23 12 28 31 28 28 31 33 31 30 29 30 28 23 28 28 30 28 28 31 28 31 2 2 37 4 38 2 4 4 13 2 13 2 38 3 1 13 1 13 2 3 37 3 23 2 38 13 2 1 2 38 2 13 2 6 3 1 2 2 0 2 13 24 1 1 0 38 0 13 38 2 2 1 0 38 1 38 42 2 38 0 38 5 38 3 5 6 1 0 4 5 0 3 2 0 38 2 38 3 38 3 0 23 2 2 2 38 0 0 4 1 1 13 2 38 3 1 0 0 3 38"
8,-0.7631,0.9286,"25 27 10 25 9 26 9 25 25 9 25 0 25 9 25 9 10 25 10 11 26 25 25 25 27 10 25 9 9 25 11 25 9 25 11 27 25 25 38 9 25 9 27 26 11 9 1 25 25 25 27 25 27 3 25 11 9 11 11 25 25 28 9 10 11 25 9 25 25 25 38 9 25 25 25 9 9 27 25 0 26 11 9 25 25 39 25 9 27 27 0 25 25 25 26 9 27 25 9 27 21 22 21 0 21 21 21 12 38 21 22 21 21 21 21 21 21 21 21 21 21 21 21 22 3 12 12 25 21 16 16 21 22 12 12 21 25 21 21 21 22 21 21 21 0 12 21 25 21 21 22 21 21 22 21 0 21 38 12 13 21 22 21 12 22 21 21 22 21 13 21 21 12 12 21 21 12 21 21 12 21 21 12 22 21 21 21 12 26 21 22 21 21 22 21 38 12 21 25 22 4 0 6 0 0 31 0 25 2 0 38 3 4 15 12 15 0 3 4 25 12 14 0 0 3 12 2 12 3 2 4 3 12 12 14 14 12 4 15 12 3 0 0 3 3 12 37 14 0 3 12 3 0 6 0 12 0 25 15 14 3 37 14 25 0 0 3 12 0 26 25 12 2 3 3 3 12 2 25 41 3 0 42 25 0 3 3 0 26 15 3 0 0 25 0 14 3 0 5 14 12 12 27 2 12 12 13 12 13 12 12 25 6 27 26 26 25 12 12 12 26 12 12 3 12 12 2 33 27 12 2 38 38 25 12 38 3 12 12 26 12 12 0 12 5 25 12 12 12 12 12 25 12 12 12 25 12 12 33 12 12 12 25 12 12 12 2 12 12 12 31 19 27 6 12 4 12 12 12 12 4 12 34 1 25 0 12 12 25 12 1 12 2 0 33 12 19 19 12 12 37 2 3 2 4 42 42 1 38 1 5 40 42 38 3 39 2 40 20 2 2 37 2 0 42 6 2 38 0 2 2 37 20 13 13 1 2 42 40 37 42 2 2 2 0 3 2 5 3 2 37 0 38 42 1 0 5 19 6 0 38 2 0 4 1 42 1 13 2 0 38 1 13 2 19 37 37 38 37 2 2 7 40 38 19 6 42 42 38 3 39 42 37 42 2 2 42 19 0 13"
9,-0.7552,0.8929,"2 27 10 25 9 2 9 25 25 2 2 0 2 9 25 9 2 10 9 2 11 10 25 2 9 10 2 9 2 25 11 2 2 2 11 2 25 25 38 2 25 9 2 9 10 2 2 11 9 25 2 10 9 9 25 2 2 2 9 2 25 9 2 9 2 2 9 25 11 25 2 9 2 25 2 2 2 10 25 0 2 11 9 25 9 39 2 11 9 27 2 2 9 25 2 9 11 2 2 27 9 19 14 9 0 17 41 19 13 41 41 9 3 15 17 9 41 41 0 13 41 17 15 0 17 15 41 41 0 3 17 41 38 14 41 15 41 41 19 38 1 41 1 19 41 11 19 13 17 41 41 3 1 41 17 41 3 41 15 17 41 15 15 41 19 9 41 26 38 17 41 14 41 1 41 0 17 19 41 41 38 14 17 19 41 9 1 19 0 41 41 19 15 0 10 14 41 1 19 41 19 19 11 19 10 9 20 19 19 10 19 2 2 4 2 19 19 2 9 19 20 2 9 2 20 19 20 19 4 2 11 20 19 10 2 11 19 10 11 2 19 37 19 9 5 20 9 19 9 9 19 19 19 19 19 19 10 19 2 19 9 19 9 19 19 2 21 2 6 9 19 2 19 19 19 19 2 19 20 19 2 2 19 11 20 4 19 19 19 37 19 19 20 2 2 19 19 19 19 2 0 41 41 26 41 1 0 41 13 25 2 25 25 25 27 41 41 41 41 40 1 13 41 41 1 1 34 38 0 27 41 41 25 13 3 0 41 34 25 40 13 34 41 41 13 41 41 1 38 25 27 13 38 25 25 1 41 27 41 41 13 26 41 25 25 25 41 25 27 41 25 25 25 25 41 25 0 26 38 26 25 41 26 41 0 41 41 0 41 27 0 25 41 27 41 41 41 3 38 25 19 19 0 24 37 14 14 17 17 19 4 15 38 3 23 17 13 14 23 15 19 19 14 23 19 13 19 17 17 15 19 15 17 14 19 14 1 13 14 19 15 24 2 1 15 38 4 19 17 17 23 14 13 2 4 13 15 1 37 1 3 14 38 14 5 1 19 1 2 19 17 17 2 19 17 23 37 19 23 19 14 15 0 0 1 17 19 15 17 1 2 15 17 19 14 15 0 15 14 15"
10,-0.7531,0.9000,"25 23 24 23 23 23 9 25 23 9 23 0 25 23 23 9 10 25 23 11 23 25 25 23 27 23 25 23 9 25 11 23 9 23 23 23 25 23 23 23 23 9 27 23 23 23 1 23 24 24 27 23 27 3 25 11 9 24 23 23 23 28 23 23 23 24 9 24 23 25 38 23 23 23 25 24 23 27 25 0 23 23 23 23 23 39 25 23 27 27 23 25 25 25 26 9 23 23 9 23 21 22 21 0 21 21 21 12 38 21 22 21 21 21 21 21 21 21 21 21 21 21 21 22 3 12 12 25 21 16 16 21 22 12 12 21 25 21 21 21 22 21 21 21 0 12 21 25 21 21 22 21 21 22 21 0 21 38 12 13 21 22 21 12 22 21 21 22 21 13 21 21 12 12 21 21 12 21 21 12 21 21 12 22 21 21 21 12 26 21 22 21 21 22 21 38 12 21 25 22 14 15 14 25 12 31 1 25 12 12 38 25 12 15 12 15 25 25 25 25 12 14 12 12 12 12 12 12 14 12 12 12 12 12 14 14 12 12 15 12 27 12 25 14 26 12 12 14 3 12 12 12 12 3 12 12 15 25 15 14 12 12 14 25 12 15 14 12 25 26 25 12 13 9 12 14 12 12 25 25 25 12 42 25 12 15 1 26 26 15 12 12 25 25 12 14 12 12 15 14 12 12 27 2 12 12 13 12 13 12 12 25 6 27 26 26 25 12 12 12 26 12 12 3 12 12 2 33 27 12 2 38 38 25 12 38 3 12 12 26 12 12 0 12 5 25 12 12 12 12 12 25 12 12 12 25 12 12 33 12 12 12 25 12 12 12 2 12 12 12 31 19 27 6 12 4 12 12 12 12 4 12 34 1 25 0 12 12 25 12 1 12 2 0 33 12 19 19 12 12 2 38 37 4 38 2 3 4 13 3 13 1 38 0 1 13 13 13 1 3 13 3 23 13 0 13 2 1 2 38 2 13 2 1 3 1 2 2 0 1 13 24 1 1 0 38 0 3 3 2 2 1 0 38 13 38 1 2 38 0 38 5 38 3 5 6 0 0 4 5 0 13 2 0 38 2 38 3 13 0 0 0 1 2 2 38 0 0 3 1 1 13 38 13 3 1 0 0 3 38"
