# seed=51
# instance=FULL_DAMAGE_PIECEWISE
# popSize=100
# generations=100
# crossover=BlockUniform(p=0.25)
# mutation=p0=0.05,pMin=0.002,alpha=0.95
# tournamentK=3
# elitism=2
# lambda_similarity=0.3
# fights_per_team=10
# anchors=5
gen,changes,best_fitness,best_winrate,best_similarity,avg_fitness,worst_fitness,best_genome
0,1,-0.5893,0.8621,0.9093,-0.1579,0.2794,"36 20 18 16 3 36 14 12 13 10 1 27 23 37 9 27 34 32 25 1 39 34 37 11 4 12 11 16 16 13 14 17 33 1 26 37 39 37 27 11 36 41 38 36 37 26 17 20 31 16 41 16 27 27 24 31 39 18 7 41 6 30 32 28 26 11 22 37 13 29 40 2 17 3 20 38 32 10 34 6 28 36 18 35 42 10 17 9 25 25 6 32 30 11 17 32 17 20 10 23 0 25 22 7 35 13 9 13 29 5 38 14 14 0 1 29 39 20 31 2 29 10 1 4 26 3 28 22 29 33 32 5 38 10 21 1 10 0 26 32 34 37 34 28 26 16 5 20 3 13 26 35 41 26 27 41 38 13 26 33 22 21 42 27 27 30 24 9 21 13 17 37 29 40 12 32 29 39 25 22 40 0 2 27 24 23 11 15 6 1 11 10 28 24 16 23 16 42 9 16 21 37 21 2 20 9 4 2 29 12 4 34 12 35 4 23 11 39 16 21 6 18 31 16 5 32 1 0 32 12 11 12 12 17 24 1 33 10 8 9 30 1 42 28 41 23 41 3 29 16 37 26 24 0 11 28 10 2 5 30 14 32 31 25 18 3 29 15 12 35 35 20 39 4 25 25 31 38 6 0 20 23 4 20 41 32 13 2 15 14 20 24 28 9 2 36 9 19 29 31 27 12 4 19 29 32 14 22 42 2 12 42 12 13 5 36 20 24 30 22 3 37 5 9 5 34 1 15 17 5 0 13 0 30 37 8 40 28 20 39 2 0 39 11 2 21 31 40 15 12 39 28 31 31 38 32 37 25 11 20 5 3 19 38 18 22 28 1 5 33 18 18 24 39 32 3 9 31 21 25 31 15 5 39 4 6 41 28 7 12 27 2 2 39 27 27 12 19 1 30 36 4 13 24 2 3 39 27 12 33 26 35 24 35 14 16 40 6 20 10 36 12 37 12 28 13 29 35 32 23 30 38 7 27 42 2 2 4 24 33 1 39 8 25 1 28 35 12 2 20 3 17 18 0 33 37 37 40 27 26 5 29 4 37 13 5 5 4 27 18 39 16 8 13 25 3 33 16 33 36 32 39 40 29 12 21 39 7 15 14 36 14 16 27 1 12 2 4 3 11"
1,2,-0.7076,0.9231,0.7184,-0.2106,0.2772,"12 4 5 2 6 2 2 5 2 12 2 12 38 4 33 38 37 2 4 2 12 2 2 2 2 12 36 2 37 2 6 2 2 16 2 2 33 12 2 2 12 2 2 0 2 5 2 37 12 6 12 6 2 12 35 4 12 2 6 31 36 4 12 2 37 12 2 37 2 2 34 4 4 6 4 4 2 4 5 2 2 12 6 12 35 4 4 4 2 12 2 35 2 2 4 2 23 2 38 9 40 20 12 12 12 12 27 12 12 12 40 25 2 12 19 19 27 40 12 39 40 40 12 12 12 40 34 40 40 12 12 40 25 40 40 40 12 40 25 42 40 40 26 12 40 19 40 40 2 12 25 12 27 12 26 12 12 40 27 40 12 12 12 40 12 26 19 12 25 42 40 12 5 6 27 40 40 40 40 40 12 40 40 19 40 12 40 27 20 19 6 2 27 19 42 12 37 40 37 27 2 2 2 19 2 2 31 8 2 2 19 8 2 19 2 2 19 2 2 7 2 19 2 19 12 32 8 19 2 19 2 2 2 2 19 8 42 2 8 2 19 2 19 2 2 7 8 2 7 2 42 8 19 2 8 19 20 32 2 19 2 5 7 2 0 8 20 7 12 19 12 19 7 2 16 19 31 2 7 7 2 12 8 19 2 8 20 7 32 35 2 2 7 31 8 2 2 8 2 19 12 29 8 29 21 12 29 12 12 21 30 21 20 12 33 12 31 30 5 32 29 30 12 12 22 12 12 29 12 22 12 12 29 12 12 30 22 32 12 12 13 29 12 12 29 12 12 12 12 28 28 12 12 12 28 18 29 29 29 28 12 31 8 12 28 21 28 21 31 31 12 12 29 31 12 12 12 12 12 30 32 28 31 12 12 12 38 30 28 12 12 30 12 30 12 12 29 12 12 12 26 26 12 25 25 1 33 25 25 38 38 25 25 25 26 25 1 25 3 25 25 38 25 42 3 3 25 0 38 42 25 25 25 42 13 38 38 38 25 12 25 25 38 0 25 38 42 3 26 25 0 25 38 25 13 13 1 25 25 25 25 26 19 12 25 3 3 26 38 38 1 38 27 38 1 25 38 9 13 26 25 25 3 25 13 25 25 25 38 0 25 12 38 42 25 25 1 0 27 1"
2,3,-0.7452,0.9167,0.5717,-0.2458,0.1949,"42 42 3 38 3 3 38 28 42 38 6 42 29 42 28 28 0 29 29 38 29 13 28 42 5 13 0 10 18 42 1 28 1 3 30 30 3 30 28 3 4 28 0 13 0 28 42 38 28 1 28 0 13 28 3 3 28 28 13 3 13 2 28 28 28 3 38 0 1 28 8 1 28 13 38 42 38 28 28 38 28 1 42 28 29 42 28 28 3 28 42 1 39 38 0 6 26 42 30 42 35 34 42 28 42 34 29 34 34 7 35 28 34 34 34 29 16 36 34 28 7 7 35 42 36 42 7 34 28 34 35 34 28 34 34 30 28 42 36 34 34 35 28 35 34 28 34 34 12 30 34 28 34 34 16 34 28 34 36 2 34 34 34 29 34 35 34 28 34 34 34 34 42 42 36 16 34 28 34 34 42 35 36 12 28 30 34 30 36 42 35 36 34 34 34 34 35 42 34 35 19 19 30 2 2 19 2 6 2 28 29 28 2 29 2 2 30 2 19 5 19 2 37 19 5 2 6 2 2 6 4 6 2 2 19 2 2 2 2 2 2 19 2 6 4 20 5 20 34 2 20 2 2 19 19 2 2 19 2 2 6 2 19 19 4 4 2 5 20 2 6 2 2 37 20 29 20 37 2 2 20 2 19 2 2 4 2 37 5 19 20 20 6 2 2 20 5 2 28 2 0 12 0 3 1 0 12 3 38 0 33 0 12 31 12 42 0 12 38 32 1 3 0 31 0 13 0 12 1 1 12 3 9 9 3 32 13 1 33 1 3 0 0 0 38 3 12 1 13 36 3 1 36 38 0 13 3 38 13 32 1 13 32 32 0 3 13 3 3 0 12 12 31 0 38 13 0 1 13 9 0 38 0 0 3 1 31 1 0 31 0 3 3 1 13 35 41 3 0 13 28 6 28 4 4 5 4 28 33 9 6 29 4 12 4 30 28 12 12 18 15 21 12 15 15 6 12 6 4 4 12 14 28 15 6 5 15 42 6 6 12 5 2 30 14 5 4 12 28 4 4 5 6 2 37 28 12 30 4 28 15 6 2 6 22 4 5 37 15 4 28 14 29 6 6 28 14 4 41 14 30 5 28 12 12 33 12 12 12 14 5 6 14 6 12 11 4 4 29 12"
3,4,-0.7515,0.9167,0.5506,-0.2645,0.2522,"42 42 3 38 3 3 38 28 42 38 6 42 29 42 28 28 0 29 29 38 29 13 28 42 5 13 0 10 18 42 1 28 1 3 30 30 3 30 28 3 4 28 0 13 0 28 42 38 28 1 28 0 13 28 3 3 28 28 13 3 13 2 28 28 28 3 38 0 1 28 8 1 28 13 38 42 38 28 28 38 28 1 42 28 29 42 28 28 3 28 42 1 39 38 0 6 26 42 30 42 35 34 42 28 42 34 29 34 34 7 35 28 34 34 34 29 16 36 34 28 7 7 35 42 36 42 7 34 28 34 35 34 28 34 34 30 28 42 36 34 34 35 28 35 34 28 34 34 12 30 34 28 34 34 16 34 28 34 36 2 34 34 34 29 34 35 34 28 34 34 34 34 42 42 36 16 34 28 34 34 42 35 36 12 28 30 34 30 36 42 35 36 34 34 34 34 35 42 34 35 19 19 30 2 2 19 2 6 2 28 29 28 2 29 2 2 30 2 19 5 19 2 37 19 5 2 6 2 2 6 4 6 2 2 19 2 2 2 2 2 2 19 2 6 4 20 5 20 34 2 20 2 2 19 19 2 2 19 2 2 6 2 19 19 4 4 2 5 20 2 6 2 2 37 20 29 20 37 2 2 20 2 19 2 2 4 2 37 5 19 20 20 6 2 2 20 5 2 28 2 0 12 0 3 1 0 12 3 38 0 33 0 12 31 12 42 0 12 38 32 1 3 0 31 0 13 0 12 1 1 12 3 9 9 3 32 13 1 33 1 3 0 0 0 38 3 12 1 13 36 3 1 36 38 0 13 3 38 13 32 1 13 32 32 0 3 13 3 3 0 12 12 31 0 38 13 0 1 13 9 0 38 0 0 3 1 31 1 0 31 0 3 3 1 13 35 41 3 0 13 28 6 28 4 4 5 4 28 33 9 6 29 4 12 4 30 28 12 12 18 15 21 12 15 15 6 12 6 4 4 12 14 28 15 6 5 15 42 6 6 12 5 2 30 14 5 4 12 28 4 4 5 6 2 37 28 12 30 4 28 15 6 2 6 22 4 5 37 15 4 28 14 29 6 6 28 14 4 41 14 30 5 28 12 12 33 12 12 12 14 5 6 14 6 12 11 4 4 29 12"
4,5,-0.7580,0.9231,0.5504,-0.2707,0.2232,"32 31 34 31 34 34 3 38 0 34 35 31 34 31 31 27 35 34 31 34 3 31 36 34 34 31 32 1 31 36 13 34 31 34 34 34 38 34 34 31 34 34 34 31 0 26 31 34 31 34 34 34 34 27 34 31 34 31 31 42 6 34 36 0 35 35 34 35 1 32 34 35 34 35 31 34 31 35 31 33 31 32 34 36 31 31 34 36 34 34 34 33 35 0 34 3 36 20 31 3 31 31 33 38 38 0 13 19 32 28 21 21 3 31 30 22 38 31 19 29 22 31 1 38 31 29 0 31 13 31 28 38 13 28 28 31 32 22 31 22 31 31 21 0 3 28 28 31 31 3 1 31 28 33 28 32 4 31 33 3 28 32 28 3 31 31 1 31 0 32 21 33 31 3 0 38 30 29 32 38 3 20 38 31 13 13 31 33 2 0 12 33 1 31 3 3 0 31 0 28 6 42 2 6 7 24 7 38 6 2 2 37 2 4 6 2 2 5 2 7 42 4 2 8 2 8 6 37 2 37 4 2 37 6 2 5 5 2 5 2 2 2 2 2 2 37 6 2 5 3 7 6 2 2 2 4 7 2 6 2 2 2 37 2 5 37 4 2 5 4 7 7 2 37 37 2 37 2 7 2 7 4 7 37 4 6 4 42 5 42 8 8 6 37 2 2 4 2 42 2 0 31 37 2 2 5 31 32 2 1 4 2 31 36 31 36 5 2 34 2 36 2 2 2 35 2 2 6 31 31 1 31 2 34 34 2 33 4 33 2 32 31 31 31 32 2 31 5 2 2 34 31 2 31 37 2 2 2 0 6 36 6 34 6 4 2 4 2 31 2 4 32 31 31 2 2 31 2 2 32 5 2 2 2 34 31 31 2 2 36 2 31 2 2 2 37 31 2 31 31 12 28 37 28 28 31 29 28 28 34 12 12 28 23 30 12 28 12 28 28 12 28 28 34 2 6 24 29 34 30 29 12 12 24 29 24 4 28 28 28 28 23 24 30 31 28 28 29 30 28 28 30 28 28 34 30 12 28 4 28 28 12 23 34 28 35 28 28 28 12 29 30 24 28 28 28 34 23 24 31 28 12 28 34 30 34 28 28 28 28 28 30 28 12 29 29 28 12 28 30"
5,5,-0.7390,0.9259,0.6230,-0.2712,0.2537,"32 31 34 31 34 34 3 38 0 34 35 31 34 31 31 27 35 34 31 34 3 31 36 34 34 31 32 1 31 36 13 34 31 34 34 34 38 34 34 31 34 34 34 31 0 26 31 34 31 34 34 34 34 27 34 31 34 31 31 42 6 34 36 0 35 35 34 35 1 32 34 35 34 35 31 34 31 35 31 33 31 32 34 36 31 31 34 36 34 34 34 33 35 0 34 3 36 20 31 3 31 31 33 38 38 0 13 19 32 28 21 21 3 31 30 22 38 31 19 29 22 31 1 38 31 29 0 31 13 31 28 38 13 28 28 31 32 22 31 22 31 31 21 0 3 28 28 31 31 3 1 31 28 33 28 32 4 31 33 3 28 32 28 3 31 31 1 31 0 32 21 33 31 3 0 38 30 29 32 38 3 20 38 31 13 13 31 33 2 0 12 33 1 31 3 3 0 31 0 28 6 42 2 6 7 24 7 38 6 2 2 37 2 4 6 2 2 5 2 7 42 4 2 8 2 8 6 37 2 37 4 2 37 6 2 5 5 2 5 2 2 2 2 2 2 37 6 2 5 3 7 6 2 2 2 4 7 2 6 2 2 2 37 2 5 37 4 2 5 4 7 7 2 37 37 2 37 2 7 2 7 4 7 37 4 6 4 42 5 42 8 8 6 37 2 2 4 2 42 2 0 31 37 2 2 5 31 32 2 1 4 2 31 36 31 36 5 2 34 2 36 2 2 2 35 2 2 6 31 31 1 31 2 34 34 2 33 4 33 2 32 31 31 31 32 2 31 5 2 2 34 31 2 31 37 2 2 2 0 6 36 6 34 6 4 2 4 2 31 2 4 32 31 31 2 2 31 2 2 32 5 2 2 2 34 31 31 2 2 36 2 31 2 2 2 37 31 2 31 31 12 28 37 28 28 31 29 28 28 34 12 12 28 23 30 12 28 12 28 28 12 28 28 34 2 6 24 29 34 30 29 12 12 24 29 24 4 28 28 28 28 23 24 30 31 28 28 29 30 28 28 30 28 28 34 30 12 28 4 28 28 12 23 34 28 35 28 28 28 12 29 30 24 28 28 28 34 23 24 31 28 12 28 34 30 34 28 28 28 28 28 30 28 12 29 29 28 12 28 30"
6,5,-0.7328,0.9000,0.5575,-0.2884,0.2175,"32 31 34 31 34 34 3 38 0 34 35 31 34 31 31 27 35 34 31 34 3 31 36 34 34 31 32 1 31 36 13 34 31 34 34 34 38 34 34 31 34 34 34 31 0 26 31 34 31 34 34 34 34 27 34 31 34 31 31 42 6 34 36 0 35 35 34 35 1 32 34 35 34 35 31 34 31 35 31 33 31 32 34 36 31 31 34 36 34 34 34 33 35 0 34 3 36 20 31 3 31 31 33 38 38 0 13 19 32 28 21 21 3 31 30 22 38 31 19 29 22 31 1 38 31 29 0 31 13 31 28 38 13 28 28 31 32 22 31 22 31 31 21 0 3 28 28 31 31 3 1 31 28 33 28 32 4 31 33 3 28 32 28 3 31 31 1 31 0 32 21 33 31 3 0 38 30 29 32 38 3 20 38 31 13 13 31 33 2 0 12 33 1 31 3 3 0 31 0 28 6 42 2 6 7 24 7 38 6 2 2 37 2 4 6 2 2 5 2 7 42 4 2 8 2 8 6 37 2 37 4 2 37 6 2 5 5 2 5 2 2 2 2 2 2 37 6 2 5 3 7 6 2 2 2 4 7 2 6 2 2 2 37 2 5 37 4 2 5 4 7 7 2 37 37 2 37 2 7 2 7 4 7 37 4 6 4 42 5 42 8 8 6 37 2 2 4 2 42 2 0 31 37 2 2 5 31 32 2 1 4 2 31 36 31 36 5 2 34 2 36 2 2 2 35 2 2 6 31 31 1 31 2 34 34 2 33 4 33 2 32 31 31 31 32 2 31 5 2 2 34 31 2 31 37 2 2 2 0 6 36 6 34 6 4 2 4 2 31 2 4 32 31 31 2 2 31 2 2 32 5 2 2 2 34 31 31 2 2 36 2 31 2 2 2 37 31 2 31 31 12 28 37 28 28 31 29 28 28 34 12 12 28 23 30 12 28 12 28 28 12 28 28 34 2 6 24 29 34 30 29 12 12 24 29 24 4 28 28 28 28 23 24 30 31 28 28 29 30 28 28 30 28 28 34 30 12 28 4 28 28 12 23 34 28 35 28 28 28 12 29 30 24 28 28 28 34 23 24 31 28 12 28 34 30 34 28 28 28 28 28 30 28 12 29 29 28 12 28 30"
7,5,-0.7445,0.9200,0.5849,-0.2897,0.2275,"32 31 34 31 34 34 3 38 0 34 35 31 34 31 31 27 35 34 31 34 3 31 36 34 34 31 32 1 31 36 13 34 31 34 34 34 38 34 34 31 34 34 34 31 0 26 31 34 31 34 34 34 34 27 34 31 34 31 31 42 6 34 36 0 35 35 34 35 1 32 34 35 34 35 31 34 31 35 31 33 31 32 34 36 31 31 34 36 34 34 34 33 35 0 34 3 36 20 31 3 31 31 33 38 38 0 13 19 32 28 21 21 3 31 30 22 38 31 19 29 22 31 1 38 31 29 0 31 13 31 28 38 13 28 28 31 32 22 31 22 31 31 21 0 3 28 28 31 31 3 1 31 28 33 28 32 4 31 33 3 28 32 28 3 31 31 1 31 0 32 21 33 31 3 0 38 30 29 32 38 3 20 38 31 13 13 31 33 2 0 12 33 1 31 3 3 0 31 0 28 6 42 2 6 7 24 7 38 6 2 2 37 2 4 6 2 2 5 2 7 42 4 2 8 2 8 6 37 2 37 4 2 37 6 2 5 5 2 5 2 2 2 2 2 2 37 6 2 5 3 7 6 2 2 2 4 7 2 6 2 2 2 37 2 5 37 4 2 5 4 7 7 2 37 37 2 37 2 7 2 7 4 7 37 4 6 4 42 5 42 8 8 6 37 2 2 4 2 42 2 0 31 37 2 2 5 31 32 2 1 4 2 31 36 31 36 5 2 34 2 36 2 2 2 35 2 2 6 31 31 1 31 2 34 34 2 33 4 33 2 32 31 31 31 32 2 31 5 2 2 34 31 2 31 37 2 2 2 0 6 36 6 34 6 4 2 4 2 31 2 4 32 31 31 2 2 31 2 2 32 5 2 2 2 34 31 31 2 2 36 2 31 2 2 2 37 31 2 31 31 12 28 37 28 28 31 29 28 28 34 12 12 28 23 30 12 28 12 28 28 12 28 28 34 2 6 24 29 34 30 29 12 12 24 29 24 4 28 28 28 28 23 24 30 31 28 28 29 30 28 28 30 28 28 34 30 12 28 4 28 28 12 23 34 28 35 28 28 28 12 29 30 24 28 28 28 34 23 24 31 28 12 28 34 30 34 28 28 28 28 28 30 28 12 29 29 28 12 28 30"
8,6,-0.7910,0.9565,0.5516,-0.2939,0.1841,"17 12 35 35 36 35 12 36 35 19 34 19 36 12 12 17 19 12 17 36 12 12 19 35 19 12 15 12 12 34 12 17 36 14 12 19 12 14 12 15 12 34 35 15 17 17 34 12 12 35 15 12 12 14 12 41 12 34 35 12 19 12 17 12 12 14 19 19 12 12 12 34 12 36 15 35 17 12 12 17 15 12 14 19 19 36 12 12 15 12 31 35 17 15 15 19 14 12 12 35 12 12 12 28 2 28 39 30 12 12 12 39 12 22 12 12 12 28 12 5 12 29 12 29 12 30 32 12 39 12 21 12 12 21 30 22 21 2 12 33 12 39 12 28 12 32 2 12 29 12 12 12 33 12 12 29 12 12 12 30 12 12 12 12 12 12 30 21 22 12 30 22 12 28 12 2 12 28 12 39 12 12 12 22 28 28 12 29 12 33 12 22 2 12 2 30 29 12 29 28 36 36 27 25 7 36 25 25 25 25 7 12 35 34 12 25 12 12 36 12 25 25 12 12 7 12 25 25 26 25 34 25 12 25 12 34 12 34 12 12 12 7 12 36 35 34 12 12 25 8 42 34 12 12 12 12 35 12 12 12 35 36 12 12 12 12 25 5 12 25 12 12 12 25 12 7 26 12 25 25 12 25 12 34 12 12 36 34 12 12 12 12 36 35 25 12 7 35 26 12 5 42 2 2 4 2 2 42 6 6 6 6 2 2 6 2 5 42 37 2 42 2 2 2 17 6 6 42 2 6 2 37 2 2 16 2 4 2 2 17 6 2 2 2 2 5 2 2 2 2 2 37 2 6 17 6 42 2 17 2 37 42 12 5 12 5 6 6 37 2 6 42 2 6 5 2 37 42 12 5 42 42 2 5 37 2 5 5 6 5 16 4 6 2 2 4 2 2 2 4 5 12 33 12 2 5 2 4 2 16 12 5 2 2 2 37 6 2 6 2 12 12 2 4 12 2 12 16 2 2 31 6 12 16 2 16 12 12 12 16 2 12 16 37 16 12 12 37 2 12 2 12 5 12 31 12 2 5 2 31 16 2 2 6 6 16 2 12 37 16 16 2 16 16 2 2 12 2 2 12 12 2 16 2 31 16 33 2 12 12 5 16 2 32 31 2 5 16 16 16"
9,6,-0.7482,0.9310,0.6096,-0.2988,0.2103,"17 12 35 35 36 35 12 36 35 19 34 19 36 12 12 17 19 12 17 36 12 12 19 35 19 12 15 12 12 34 12 17 36 14 12 19 12 14 12 15 12 34 35 15 17 17 34 12 12 35 15 12 12 14 12 41 12 34 35 12 19 12 17 12 12 14 19 19 12 12 12 34 12 36 15 35 17 12 12 17 15 12 14 19 19 36 12 12 15 12 31 35 17 15 15 19 14 12 12 35 12 12 12 28 2 28 39 30 12 12 12 39 12 22 12 12 12 28 12 5 12 29 12 29 12 30 32 12 39 12 21 12 12 21 30 22 21 2 12 33 12 39 12 28 12 32 2 12 29 12 12 12 33 12 12 29 12 12 12 30 12 12 12 12 12 12 30 21 22 12 30 22 12 28 12 2 12 28 12 39 12 12 12 22 28 28 12 29 12 33 12 22 2 12 2 30 29 12 29 28 36 36 27 25 7 36 25 25 25 25 7 12 35 34 12 25 12 12 36 12 25 25 12 12 7 12 25 25 26 25 34 25 12 25 12 34 12 34 12 12 12 7 12 36 35 34 12 12 25 8 42 34 12 12 12 12 35 12 12 12 35 36 12 12 12 12 25 5 12 25 12 12 12 25 12 7 26 12 25 25 12 25 12 34 12 12 36 34 12 12 12 12 36 35 25 12 7 35 26 12 5 42 2 2 4 2 2 42 6 6 6 6 2 2 6 2 5 42 37 2 42 2 2 2 17 6 6 42 2 6 2 37 2 2 16 2 4 2 2 17 6 2 2 2 2 5 2 2 2 2 2 37 2 6 17 6 42 2 17 2 37 42 12 5 12 5 6 6 37 2 6 42 2 6 5 2 37 42 12 5 42 42 2 5 37 2 5 5 6 5 16 4 6 2 2 4 2 2 2 4 5 12 33 12 2 5 2 4 2 16 12 5 2 2 2 37 6 2 6 2 12 12 2 4 12 2 12 16 2 2 31 6 12 16 2 16 12 12 12 16 2 12 16 37 16 12 12 37 2 12 2 12 5 12 31 12 2 5 2 31 16 2 2 6 6 16 2 12 37 16 16 2 16 16 2 2 12 2 2 12 12 2 16 2 31 16 33 2 12 12 5 16 2 32 31 2 5 16 16 16"
