rank,fitness,winrate,genome
1,-0.8588,1.0000,"15 12 12 7 14 12 12 12 14 7 12 14 12 12 12 12 12 15 14 23 12 12 14 12 14 12 12 23 15 12 15 14 17 12 15 24 12 12 23 8 12 7 12 15 24 12 23 12 8 16 12 14 15 16 14 12 12 14 23 14 12 16 12 12 14 12 12 12 12 15 12 12 12 17 16 14 12 15 14 7 12 14 12 24 12 12 8 7 12 15 14 24 12 24 12 16 24 12 12 12 16 12 16 16 16 16 40 2 42 42 12 16 16 16 16 12 16 16 16 42 12 4 5 16 12 16 12 37 16 12 12 37 4 16 16 12 16 16 12 12 12 42 12 5 2 12 40 5 12 16 6 16 4 2 42 12 16 5 6 16 16 12 16 12 42 16 12 16 16 2 40 4 16 16 12 12 12 12 16 42 19 12 16 12 6 12 42 16 16 4 12 16 12 12 16 16 16 16 12 12 12 25 12 33 12 12 12 12 27 32 32 26 26 25 25 26 12 25 25 12 12 12 12 35 31 33 12 33 12 12 42 25 12 26 12 27 12 12 31 27 12 25 27 12 12 12 12 36 42 12 36 12 12 27 12 32 12 12 12 12 12 12 12 34 25 12 26 12 12 25 27 27 12 12 12 25 27 32 12 12 27 26 12 12 12 12 26 40 26 12 12 12 27 12 12 12 12 32 25 12 6 16 16 4 16 16 12 12 16 16 16 23 12 16 12 16 37 37 2 16 6 12 12 16 12 37 16 12 2 12 4 12 23 16 16 16 5 12 16 12 5 12 12 6 34 12 16 16 37 37 12 16 12 12 5 16 16 12 6 16 16 12 12 37 12 12 16 6 12 16 12 16 12 16 16 4 6 5 16 37 16 16 12 16 16 16 12 2 12 12 16 16 12 19 16 6 12 23 12 12 12 24 24 24 12 21 24 12 24 23 24 23 12 23 12 24 12 23 12 23 12 12 24 12 12 13 12 12 5 24 0 12 4 12 12 0 12 23 12 24 12 12 12 12 0 23 12 3 23 12 12 12 23 38 12 12 24 12 12 12 24 13 23 12 41 12 12 12 24 12 12 23 41 0 38 23 12 12 12 12 24 12 12 24 0 12 0 12 12 23 12 12 24 12 12 24 23 0 23 3"
2,-0.8489,1.0000,"34 36 36 16 42 34 36 34 16 42 34 34 42 34 34 42 34 34 34 34 34 36 36 34 34 42 34 36 35 34 35 34 36 36 12 34 34 34 35 34 34 16 34 42 34 34 34 34 34 34 35 36 34 34 42 34 34 34 34 34 12 36 16 34 42 34 34 35 34 34 42 34 36 34 36 34 35 12 42 34 34 34 42 34 35 34 34 34 16 34 34 34 34 34 34 34 34 34 34 34 16 12 16 16 16 16 40 2 42 42 12 16 16 16 16 12 16 16 16 42 12 4 5 16 12 16 12 37 16 12 12 37 4 16 16 12 16 16 12 12 12 42 12 5 2 12 40 5 12 16 6 16 4 2 42 12 16 5 6 16 16 12 16 12 42 16 12 16 16 2 40 4 16 16 12 12 12 12 16 42 19 12 16 12 6 12 42 16 16 4 12 16 12 12 16 16 16 16 12 12 7 7 34 34 34 2 18 34 7 36 34 7 2 36 2 2 34 36 2 0 34 34 34 36 8 34 36 7 7 35 34 2 35 2 34 34 0 7 35 35 0 2 3 3 0 7 3 7 2 34 34 34 34 34 34 34 34 34 7 34 2 2 34 34 36 34 3 7 34 34 34 7 34 17 8 34 0 35 34 8 34 34 34 2 34 34 35 34 34 2 34 36 34 34 8 35 2 34 2 8 2 19 17 18 6 14 2 15 17 19 6 17 17 1 14 19 37 37 2 18 17 17 37 4 17 19 6 4 17 6 17 37 2 18 14 2 17 17 17 2 17 37 4 5 17 17 37 17 15 28 13 28 5 14 17 14 4 2 17 2 17 2 15 17 17 17 17 5 17 14 17 17 17 17 19 4 19 2 17 2 17 17 17 15 5 6 14 17 17 17 14 18 17 17 14 17 17 17 17 37 2 2 13 6 2 6 0 3 35 6 37 2 34 5 36 4 37 6 13 6 16 13 34 13 6 34 1 34 34 36 12 34 6 34 2 0 5 38 3 4 13 3 2 13 6 2 5 34 37 5 16 2 34 5 2 41 6 36 5 38 3 35 36 6 38 34 13 36 3 34 5 3 41 2 4 0 34 16 0 12 34 16 38 2 12 0 13 37 6 35 3 12 41 6 34 0 34 13 34 37"
3,-0.8461,1.0000,"31 32 19 31 31 25 25 31 31 31 31 4 31 26 26 31 26 25 26 31 32 25 25 32 31 25 20 19 31 25 31 25 31 26 25 31 25 32 20 32 19 2 32 31 31 31 31 32 31 25 31 25 32 26 26 31 31 31 33 6 25 31 31 19 19 33 31 31 31 31 25 27 26 31 27 27 19 25 32 31 31 31 31 19 31 31 25 33 31 31 31 31 31 31 31 41 31 31 33 25 16 12 16 16 16 16 40 2 42 42 12 16 16 16 16 12 16 16 16 42 12 4 5 16 12 16 12 37 16 12 12 37 4 16 16 12 16 16 12 12 12 42 12 5 2 12 40 5 12 16 6 16 4 2 42 12 16 5 6 16 16 12 16 12 42 16 12 16 16 2 40 4 16 16 12 12 12 12 16 42 19 12 16 12 6 12 42 16 16 4 12 16 12 12 16 16 16 16 12 12 3 1 25 21 25 21 38 25 25 25 13 0 1 25 25 21 1 25 25 25 21 0 21 21 26 21 1 21 0 26 40 21 21 21 3 3 0 3 40 25 38 38 26 1 0 25 3 3 27 21 38 25 13 25 25 3 1 1 21 13 21 13 40 27 25 21 25 27 0 25 28 25 3 0 13 25 13 25 38 21 25 38 26 25 0 25 25 26 25 21 21 0 25 3 38 25 21 38 13 1 2 3 41 18 41 14 3 15 17 19 13 17 41 41 41 19 41 41 41 18 41 17 41 41 17 41 6 4 41 41 41 13 2 18 41 41 41 3 1 41 41 3 41 5 17 38 38 17 41 41 41 28 5 41 41 14 3 1 13 41 0 1 15 17 17 17 17 1 41 41 41 3 17 41 19 41 19 2 17 2 41 17 17 15 5 41 41 38 0 0 41 41 38 13 13 41 41 0 3 37 39 27 25 39 13 39 0 39 39 25 39 3 25 25 25 0 3 39 25 0 25 39 39 0 3 3 0 3 39 0 0 25 27 0 0 27 0 38 39 0 39 39 3 0 25 39 0 39 0 39 3 0 0 39 39 25 0 0 3 25 25 25 25 0 3 25 3 25 0 0 25 39 25 25 25 25 0 3 25 25 0 3 39 39 0 26 3 39 39 1 27 25 25 0 0 39 0 39 3 39"
4,-0.8425,1.0000,"31 32 19 31 31 25 25 31 31 31 31 4 31 26 26 31 26 25 26 31 32 25 25 32 31 25 20 19 31 25 31 25 31 26 25 31 25 32 20 32 19 2 32 31 31 31 31 32 31 25 31 25 32 26 26 31 31 31 33 6 25 31 31 19 19 33 31 31 31 31 25 27 26 31 27 27 19 25 32 31 31 31 31 19 31 31 25 33 31 31 31 31 31 31 31 41 31 31 33 25 16 12 16 16 16 16 40 2 42 42 12 16 16 16 16 12 16 16 16 42 12 4 5 16 12 16 12 37 16 12 12 37 4 16 16 12 16 16 12 12 12 42 12 5 2 12 40 5 12 16 6 16 4 2 42 12 16 5 6 16 16 12 16 12 42 16 12 16 16 2 40 4 16 16 12 12 12 12 16 42 19 12 16 12 6 12 42 16 16 4 12 16 12 12 16 16 16 16 12 12 3 1 25 21 25 21 38 25 25 25 13 0 1 25 25 21 1 25 25 25 21 0 21 21 26 21 1 21 0 26 40 21 21 21 3 3 0 3 40 25 38 38 26 1 0 25 3 3 27 21 38 25 13 25 25 3 1 1 21 13 21 13 40 27 25 21 25 27 0 25 28 25 3 0 13 25 13 25 38 21 25 38 26 25 0 25 25 26 25 21 21 0 25 3 38 25 21 38 13 1 2 19 17 18 6 14 2 15 17 19 6 17 17 1 14 19 37 37 2 18 17 17 37 4 17 19 6 4 17 6 17 37 2 18 14 2 17 17 17 2 17 37 4 5 17 17 37 17 15 28 13 28 5 14 17 14 4 2 17 2 17 2 15 17 17 17 17 5 17 14 17 17 17 17 19 4 19 2 17 2 17 17 17 15 5 6 14 17 17 17 14 18 17 17 14 17 17 17 17 37 39 27 25 39 13 39 26 39 39 25 39 39 25 25 25 0 26 39 25 25 25 39 39 39 27 39 25 31 39 0 25 25 27 39 39 27 39 38 39 27 39 39 3 26 25 39 25 39 39 39 25 0 39 39 39 25 0 39 25 25 25 25 25 27 39 25 3 25 3 25 25 39 25 25 25 25 13 39 25 25 25 25 39 39 39 26 27 39 39 1 27 25 25 25 39 39 39 39 27 39"
5,-0.8309,1.0000,"34 36 36 16 42 34 36 34 16 42 34 34 42 34 34 42 34 34 34 34 34 36 36 34 34 42 34 36 35 34 35 34 36 36 12 34 34 34 35 34 34 16 34 42 34 34 34 34 34 34 35 36 34 34 42 34 34 34 34 34 12 36 16 34 42 34 34 35 34 34 42 34 36 34 36 34 35 12 42 34 34 34 42 34 35 34 34 34 16 34 34 34 34 34 34 34 34 34 34 34 16 12 16 16 16 16 40 2 42 42 12 16 16 16 16 12 16 16 16 42 12 4 5 16 12 16 12 37 16 12 12 37 4 16 16 12 16 16 12 12 12 42 12 5 2 12 40 5 12 16 6 16 4 2 42 12 16 5 6 16 16 12 16 12 42 16 12 16 16 2 40 4 16 16 12 12 12 12 16 42 19 12 16 12 6 12 42 16 16 4 12 16 12 12 16 16 16 16 12 12 7 7 2 2 8 2 18 17 7 2 3 7 2 2 2 2 2 2 2 0 7 8 2 3 8 0 2 7 7 7 7 2 7 2 2 3 0 7 7 2 0 2 3 3 0 7 3 7 2 7 2 7 3 2 2 0 7 8 7 0 2 2 7 7 8 8 3 7 2 2 2 7 8 17 8 8 0 3 0 8 2 0 2 2 0 0 7 3 2 2 7 2 2 7 8 2 2 8 2 8 7 7 17 18 8 8 7 15 7 8 7 17 7 7 7 19 37 37 7 18 17 7 7 4 17 19 6 4 17 7 17 7 2 18 7 7 7 17 17 2 17 8 4 7 8 7 8 7 15 7 7 28 7 7 8 14 8 7 7 7 7 7 15 7 7 17 8 5 7 8 7 17 8 17 19 7 19 2 7 2 17 7 8 15 5 7 14 8 17 7 7 7 7 8 7 17 17 7 17 37 2 2 13 6 2 6 0 3 35 6 37 2 34 5 36 4 37 6 13 6 16 13 34 13 6 34 1 34 34 36 12 34 6 34 2 0 5 38 3 4 13 3 2 13 6 2 5 34 37 5 16 2 34 5 2 41 6 36 5 38 3 35 36 6 38 34 13 36 3 34 5 3 41 2 4 0 34 16 0 12 34 16 38 2 12 0 13 37 6 35 3 12 41 6 34 0 34 13 34 37"
6,-0.8246,1.0000,"34 36 35 34 34 34 19 34 34 42 35 19 34 19 34 34 34 34 34 36 34 34 34 34 34 19 34 36 20 20 34 34 34 36 34 34 34 34 35 34 36 34 34 34 34 34 35 34 34 20 34 34 19 34 36 36 35 19 34 19 19 19 34 35 19 36 34 35 34 34 36 19 35 34 19 34 34 36 42 34 19 34 34 34 19 34 34 34 16 19 35 34 36 19 34 35 34 35 36 34 16 12 16 16 16 16 40 2 42 42 12 16 16 16 16 12 16 16 16 42 12 4 5 16 12 16 12 37 16 12 12 37 4 16 16 12 16 16 12 12 12 42 12 5 2 12 40 5 12 16 6 16 4 2 42 12 16 5 6 16 16 12 16 12 42 16 12 16 16 2 40 4 16 16 12 12 12 12 16 42 19 12 16 12 6 12 42 16 16 4 12 16 12 12 16 16 16 16 12 12 7 5 2 34 2 2 18 34 7 36 34 2 2 2 2 6 34 2 2 5 2 2 5 2 2 2 2 5 7 5 2 6 2 37 34 34 0 5 37 2 0 2 3 3 0 5 37 7 2 34 34 34 2 34 34 34 37 2 2 2 2 37 34 34 2 2 3 7 2 37 2 2 34 2 4 2 2 2 2 8 34 34 34 5 34 2 2 2 2 2 2 2 34 34 2 35 2 6 4 8 2 19 17 18 6 14 2 15 17 19 6 17 17 1 14 19 37 37 2 18 17 17 37 4 17 19 6 4 17 6 17 37 2 18 14 2 17 17 17 2 17 37 4 5 17 17 37 17 15 28 13 28 5 14 17 14 4 2 17 2 17 2 15 17 17 17 17 5 17 14 17 17 17 17 19 4 19 2 17 2 17 17 17 15 5 6 14 17 17 17 14 18 17 17 14 17 17 17 17 37 2 2 13 6 2 6 0 3 35 6 37 2 34 5 36 4 37 6 13 6 16 13 34 13 6 34 1 34 34 36 12 34 6 34 2 0 5 38 3 4 13 3 2 13 6 2 5 34 37 5 16 2 34 5 2 41 6 36 5 38 3 35 36 6 38 34 13 36 3 34 5 3 41 2 4 0 34 16 0 12 34 16 38 2 12 0 13 37 6 35 3 12 41 6 34 0 34 13 34 37"
7,-0.8223,0.9643,"31 32 19 31 31 25 25 31 31 31 31 4 31 26 26 31 26 25 26 31 32 25 25 32 31 25 20 19 31 25 31 25 31 26 25 31 25 32 20 32 19 2 32 31 31 31 31 32 31 25 31 25 32 26 26 31 31 31 33 6 25 31 31 19 19 33 31 31 31 31 25 27 26 31 27 27 19 25 32 31 31 31 31 19 31 31 25 33 31 31 31 31 31 31 31 41 31 31 33 25 16 12 16 16 16 16 40 2 42 42 12 16 16 16 16 12 16 16 16 42 12 4 5 16 12 16 12 37 16 12 12 37 4 16 16 12 16 16 12 12 12 42 12 5 2 12 40 5 12 16 6 16 4 2 42 12 16 5 6 16 16 12 16 12 42 16 12 16 16 2 40 4 16 16 12 12 12 12 16 42 19 12 16 12 6 12 42 16 16 4 12 16 12 12 16 16 16 16 12 12 3 1 25 21 25 21 38 25 25 25 13 0 1 25 25 21 1 25 25 25 21 0 21 21 26 21 1 21 0 26 40 21 21 21 3 3 0 3 40 25 38 38 26 1 0 25 3 3 27 21 38 25 13 25 25 3 1 1 21 13 21 13 40 27 25 21 25 27 0 25 28 25 3 0 13 25 13 25 38 21 25 38 26 25 0 25 25 26 25 21 21 0 25 3 38 25 21 38 13 1 2 19 17 18 6 14 2 15 17 19 6 17 17 1 14 19 37 37 2 18 17 17 37 4 17 19 6 4 17 6 17 37 2 18 14 2 17 17 17 2 17 37 4 5 17 17 37 17 15 28 13 28 5 14 17 14 4 2 17 2 17 2 15 17 17 17 17 5 17 14 17 17 17 17 19 4 19 2 17 2 17 17 17 15 5 6 14 17 17 17 14 18 17 17 14 17 17 17 17 37 39 27 25 39 13 39 26 39 39 25 39 39 25 25 25 0 26 39 25 25 25 39 39 39 27 39 25 31 39 0 25 25 27 39 39 27 39 38 39 27 39 39 3 26 25 39 25 39 39 39 25 0 39 39 39 25 0 39 25 25 25 25 25 27 39 25 3 25 3 25 25 39 25 25 25 25 13 39 25 25 25 25 39 39 39 26 27 39 39 1 27 25 25 25 39 39 39 39 27 39"
8,-0.8038,0.9583,"17 12 12 7 5 12 37 2 24 5 12 12 12 24 7 12 24 12 12 23 4 12 16 24 23 12 12 23 12 12 5 12 17 12 17 2 5 12 2 8 23 37 12 5 6 37 23 4 8 16 12 23 37 16 4 12 12 17 23 16 16 5 2 24 12 12 37 8 6 2 12 12 12 5 16 23 12 5 2 5 6 7 7 4 6 37 8 7 4 12 23 24 7 24 12 16 2 4 8 12 16 12 16 16 16 16 40 2 42 42 12 16 16 16 16 12 16 16 16 42 12 4 5 16 12 16 12 37 16 12 12 37 4 16 16 12 16 16 12 12 12 42 12 5 2 12 40 5 12 16 6 16 4 2 42 12 16 5 6 16 16 12 16 12 42 16 12 16 16 2 40 4 16 16 12 12 12 12 16 42 19 12 16 12 6 12 42 16 16 4 12 16 12 12 16 16 16 16 12 12 12 25 12 33 12 12 12 12 27 32 32 26 26 25 25 26 12 25 25 12 12 12 12 35 31 33 12 33 12 12 42 25 12 26 12 27 12 12 31 27 12 25 27 12 12 12 12 36 42 12 36 12 12 27 12 32 12 12 12 12 12 12 12 34 25 12 26 12 12 25 27 27 12 12 12 25 27 32 12 12 27 26 12 12 12 12 26 40 26 12 12 12 27 12 12 12 12 32 25 12 6 16 16 4 16 16 12 12 16 16 16 23 12 16 12 16 37 37 2 16 6 12 12 16 12 37 16 12 2 12 4 12 23 16 16 16 5 12 16 12 5 12 12 6 34 12 16 16 37 37 12 16 12 12 5 16 16 12 6 16 16 12 12 37 12 12 16 6 12 16 12 16 12 16 16 4 6 5 16 37 16 16 12 16 16 16 12 2 12 12 16 16 12 19 16 6 12 23 12 12 8 8 7 24 41 41 7 41 41 41 41 23 12 41 41 1 12 7 12 38 41 7 7 41 41 13 12 41 41 3 41 41 7 7 1 1 41 41 1 41 12 7 41 41 0 41 41 38 41 41 0 1 0 41 0 12 24 7 12 41 24 13 41 7 0 41 41 12 24 41 41 1 8 0 41 41 13 1 41 41 7 7 41 41 8 41 13 8 41 41 41 41 41 12 1 41 41 41 3 41"
9,-0.8018,0.9630,"34 36 7 16 7 34 7 7 8 7 34 34 42 34 7 42 34 34 7 7 34 8 36 7 34 7 8 36 35 34 7 34 8 8 7 7 34 34 35 8 34 16 34 7 7 34 7 8 7 7 35 36 7 34 42 34 34 7 34 34 8 8 7 34 8 7 34 35 34 34 42 7 36 34 36 34 35 12 42 34 8 8 7 7 7 8 34 7 8 8 34 34 7 34 8 34 7 7 34 7 16 12 16 16 16 16 40 2 42 42 12 16 16 16 16 12 16 16 16 42 12 4 5 16 12 16 12 37 16 12 12 37 4 16 16 12 16 16 12 12 12 42 12 5 2 12 40 5 12 16 6 16 4 2 42 12 16 5 6 16 16 12 16 12 42 16 12 16 16 2 40 4 16 16 12 12 12 12 16 42 19 12 16 12 6 12 42 16 16 4 12 16 12 12 16 16 16 16 12 12 7 7 34 34 34 2 18 34 7 36 34 7 2 36 2 2 34 36 2 0 34 34 34 36 8 34 36 7 7 35 34 2 35 2 34 34 0 7 35 35 0 2 3 3 0 7 3 7 2 34 34 34 34 34 34 34 34 34 7 34 2 2 34 34 36 34 3 7 34 34 34 7 34 17 8 34 0 35 34 8 34 34 34 2 34 34 35 34 34 2 34 36 34 34 8 35 2 34 2 8 2 19 17 18 6 14 2 15 17 19 6 17 17 1 14 19 37 37 2 18 17 17 37 4 17 19 6 4 17 6 17 37 2 18 14 2 17 17 17 2 17 37 4 5 17 17 37 17 15 28 13 28 5 14 17 14 4 2 17 2 17 2 15 17 17 17 17 5 17 14 17 17 17 17 19 4 19 2 17 2 17 17 17 15 5 6 14 17 17 17 14 18 17 17 14 17 17 17 17 37 2 2 13 6 2 6 0 3 35 6 37 2 34 5 36 4 37 6 13 6 16 13 34 13 6 34 1 34 34 36 12 34 6 34 2 0 5 38 3 4 13 3 2 13 6 2 5 34 37 5 16 2 34 5 2 41 6 36 5 38 3 35 36 6 38 34 13 36 3 34 5 3 41 2 4 0 34 16 0 12 34 16 38 2 12 0 13 37 6 35 3 12 41 6 34 0 34 13 34 37"
10,-0.7992,0.9643,"31 41 19 5 19 19 19 19 19 19 19 4 19 19 33 25 19 31 19 19 41 19 19 19 20 19 20 19 41 19 19 19 41 19 6 19 20 20 20 5 19 2 19 20 20 19 19 1 19 19 41 5 19 16 19 0 19 19 19 6 31 41 19 19 19 19 41 41 19 19 31 6 20 41 41 20 19 38 41 19 19 19 19 19 19 19 31 19 19 20 19 41 19 20 19 41 19 20 19 3 31 3 34 33 3 31 31 31 42 34 34 31 31 38 38 34 3 31 11 31 13 33 34 38 0 31 10 31 31 1 32 4 38 13 31 34 2 5 13 2 0 38 13 31 2 31 1 34 34 34 31 32 35 37 31 1 33 1 2 31 31 1 31 31 31 13 38 32 32 13 31 31 31 34 31 3 38 31 31 38 31 3 38 31 31 31 31 31 35 6 34 38 38 13 13 1 31 31 13 33 3 1 25 2 25 21 5 5 25 25 13 5 4 6 25 6 5 5 6 25 2 0 2 37 26 21 4 21 0 6 2 21 21 21 6 2 5 3 40 25 37 4 26 1 0 25 3 3 4 21 38 25 6 25 25 6 1 1 21 13 21 13 5 27 25 5 25 37 0 4 28 25 2 2 13 25 37 25 6 4 6 2 4 25 37 25 25 26 25 21 2 0 25 37 38 2 4 38 5 1 6 16 16 4 16 16 12 12 16 16 16 23 12 16 12 16 37 37 2 16 6 12 12 16 12 37 16 12 2 12 4 12 23 16 16 16 5 12 16 12 5 12 12 6 34 12 16 16 37 37 12 16 12 12 5 16 16 12 6 16 16 12 12 37 12 12 16 6 12 16 12 16 12 16 16 4 6 5 16 37 16 16 12 16 16 16 12 2 12 12 16 16 12 19 16 6 12 23 12 12 1 27 13 25 13 27 26 27 25 0 25 31 27 25 25 0 26 38 37 26 37 25 25 25 27 3 25 31 25 0 0 25 25 25 38 0 13 38 25 25 25 25 3 26 25 1 25 3 26 1 25 0 38 38 25 25 0 25 25 0 25 0 25 38 25 25 3 13 3 25 26 25 25 25 25 27 13 1 25 25 25 25 27 25 25 25 27 0 27 1 27 3 41 25 25 25 25 25 25 3"
