# seed=53
# instance=SUPPORT_LIKE_PIECEWISE
# popSize=100
# generations=100
# crossover=BlockUniform(p=0.25)
# mutation=p0=0.05,pMin=0.002,alpha=0.95
# tournamentK=3
# elitism=2
# lambda_similarity=0.3
# fights_per_team=10
# anchors=5
gen,changes,best_fitness,best_winrate,best_similarity,avg_fitness,worst_fitness,best_genome
0,1,-0.6117,0.8889,0.9241,-0.1753,0.2431,"27 13 37 9 24 16 36 20 1 30 35 21 39 8 34 2 39 24 11 25 10 26 21 11 28 28 24 37 41 25 28 8 17 12 0 30 17 36 12 27 13 20 36 23 28 37 35 2 21 30 37 18 4 15 5 24 10 13 6 11 1 23 34 6 11 29 32 3 39 34 29 36 18 27 12 41 33 15 23 3 34 33 21 3 31 0 12 18 32 25 14 8 37 39 37 22 12 40 2 26 6 21 26 40 14 21 1 38 39 17 42 16 40 16 30 30 34 23 14 31 0 20 28 1 10 37 4 40 34 14 35 21 38 23 42 31 24 25 36 20 37 2 20 17 25 32 41 22 24 24 1 20 23 19 13 41 39 29 3 35 17 25 1 3 38 38 0 18 41 0 26 41 31 20 27 9 2 28 20 11 4 30 33 42 20 42 0 37 27 35 4 3 29 23 0 39 15 2 17 10 29 22 11 17 40 16 29 23 30 33 32 15 4 40 4 42 24 11 25 17 34 40 40 17 35 0 11 1 21 6 37 9 21 26 38 13 16 9 25 20 37 30 23 32 34 32 24 27 30 38 40 19 41 19 15 35 36 38 35 10 2 12 21 29 3 6 37 15 32 18 10 23 32 13 17 9 18 4 1 15 7 37 0 15 9 34 37 12 19 1 8 18 35 21 19 3 2 7 15 23 19 23 36 29 39 12 30 7 40 38 39 19 14 12 27 1 13 15 2 41 21 20 3 20 26 8 26 10 7 37 4 28 35 0 4 42 31 28 11 27 31 32 41 38 30 25 12 38 35 27 36 16 5 14 14 40 9 12 38 4 42 11 14 24 37 42 14 24 14 7 41 36 22 10 16 22 1 30 21 23 9 16 9 9 30 42 25 20 36 7 8 30 34 20 42 19 3 31 24 35 33 24 4 27 7 0 26 25 9 31 2 7 17 39 6 19 12 6 41 40 21 41 40 2 34 21 42 37 15 1 26 38 35 20 42 23 0 35 25 10 11 35 5 33 10 0 25 10 29 31 36 2 1 15 17 39 15 5 4 11 37 7 6 20 31 9 10 13 30 15 8 27 23 11 18 20 2 16 26 1 11 19 24 27 28 14 9 37 29 3 13 27 3 9 39 38 17 20 6 22"
1,2,-0.7142,0.9091,0.6496,-0.2308,0.2756,"19 19 12 40 41 13 20 0 19 19 19 19 19 38 19 19 40 19 16 3 16 12 19 40 40 19 19 19 20 40 19 20 16 19 40 12 1 41 12 19 40 17 19 19 12 12 19 19 16 38 20 40 41 16 12 19 19 20 12 19 16 0 20 19 19 38 20 19 20 12 19 19 19 16 20 12 19 41 12 16 19 12 19 20 19 19 40 19 19 19 10 19 4 19 16 16 19 19 19 12 6 13 38 2 3 42 13 5 2 2 1 2 4 37 2 0 3 2 38 17 2 2 1 2 0 2 2 2 13 41 13 2 1 6 0 6 1 41 2 2 13 5 2 38 41 2 41 2 3 42 2 1 6 4 2 2 0 2 4 2 2 2 2 41 37 6 38 5 2 38 1 38 2 2 1 38 13 38 0 41 5 2 41 13 0 2 5 2 2 13 1 38 42 5 41 13 20 2 41 41 12 36 12 2 8 2 8 8 2 2 7 12 8 2 28 2 2 12 2 12 7 12 29 2 35 32 18 7 7 2 12 7 8 12 8 12 12 2 2 12 2 2 12 8 7 2 35 8 7 17 7 12 36 2 26 12 2 2 29 12 2 7 34 35 2 8 12 2 8 34 12 28 2 7 2 12 2 8 12 12 2 7 2 7 12 2 2 17 12 2 8 12 2 8 7 2 12 12 7 12 28 28 30 12 29 12 29 2 28 28 12 28 29 34 14 28 30 28 30 21 12 28 28 28 28 35 12 28 28 29 30 28 12 28 28 28 0 20 28 30 28 29 28 28 22 12 12 30 28 21 21 28 22 34 30 28 12 28 28 28 28 29 21 28 12 30 29 35 28 12 21 30 12 12 29 28 28 12 12 30 12 28 28 29 28 29 12 28 35 22 28 28 28 7 28 28 21 28 12 28 41 34 41 13 41 34 1 41 26 3 38 41 13 41 13 25 41 26 25 27 34 41 3 41 0 3 41 26 38 3 41 25 27 26 26 25 0 41 27 25 25 1 25 38 41 25 41 41 26 41 41 35 38 41 26 41 38 27 13 41 25 41 41 41 38 27 3 34 3 41 41 0 25 41 41 25 41 38 0 25 41 41 41 25 13 25 1 27 41 41 41 25 25 41 34 41 41 41 3 25"
2,3,-0.7460,0.9259,0.5996,-0.2670,0.1720,"6 12 14 12 17 17 15 12 29 17 35 12 15 19 17 25 18 19 19 14 17 17 19 17 36 15 12 19 19 19 14 19 14 17 37 35 31 34 19 12 14 31 17 14 17 12 36 15 12 15 34 15 17 18 17 35 36 19 19 12 17 42 14 12 31 12 15 19 15 12 36 17 17 17 19 17 17 31 14 14 12 15 17 14 19 19 35 12 15 17 15 17 15 18 17 17 12 17 34 12 39 39 19 39 19 19 19 20 19 19 20 3 26 39 25 31 39 25 39 1 19 19 19 19 19 19 19 19 39 20 37 27 1 39 19 19 39 25 20 19 19 19 3 19 20 3 19 19 1 6 19 19 19 19 20 19 19 19 19 19 39 13 25 3 25 19 20 31 20 19 19 19 19 19 25 19 19 19 19 38 38 19 26 19 19 19 19 19 3 19 3 19 19 26 19 19 19 19 39 19 2 1 12 18 1 2 2 2 27 8 3 1 38 2 2 2 0 1 2 41 31 3 2 13 2 13 6 0 2 1 2 1 38 2 8 1 7 38 2 2 1 2 38 0 1 2 1 7 2 7 2 0 2 7 24 2 2 4 2 3 8 3 1 2 15 5 1 7 7 2 5 2 1 7 5 2 38 8 8 2 1 2 2 1 2 2 2 7 0 3 2 2 25 2 4 2 2 0 13 2 4 2 4 28 6 17 17 12 18 17 2 2 2 2 6 5 28 2 39 30 37 2 2 37 2 2 4 2 2 5 37 17 2 39 6 18 37 2 2 39 17 17 37 5 2 17 4 5 2 2 5 2 17 2 37 2 28 4 2 5 37 18 28 2 5 2 2 17 17 17 2 5 2 6 18 2 28 17 2 5 2 17 2 2 2 17 17 42 2 37 2 18 2 2 2 17 2 2 5 39 31 31 11 3 41 41 41 31 31 41 13 10 31 41 41 31 31 38 41 32 31 41 31 31 1 41 0 31 33 31 32 10 41 31 41 38 41 32 41 31 41 41 41 31 0 0 41 31 2 41 41 38 1 11 0 1 13 32 31 33 41 31 31 41 32 9 41 9 10 0 2 1 9 1 32 13 31 38 3 0 31 0 41 0 41 41 41 9 31 41 0 41 41 38 33 32 41 41 31 31"
3,4,-0.7662,0.9565,0.6344,-0.2896,0.2046,"19 19 12 40 41 13 20 0 19 19 19 19 19 38 19 19 40 19 16 3 16 12 19 40 40 19 19 19 20 40 19 20 16 19 40 12 1 41 12 19 40 17 19 19 12 12 19 19 16 38 20 40 41 16 12 19 19 20 12 19 16 0 20 19 19 38 20 19 20 12 19 19 19 16 20 12 19 41 12 16 19 12 19 20 19 19 40 19 19 19 10 19 4 19 16 16 19 19 19 12 6 13 38 2 3 42 13 5 2 2 1 2 4 37 2 0 3 2 38 17 2 2 1 2 0 2 2 2 13 41 13 2 1 6 0 6 1 41 2 2 13 5 2 38 41 2 41 2 3 42 2 1 6 4 2 2 0 2 4 2 2 2 2 41 37 6 38 5 2 38 1 38 2 2 1 38 13 38 0 41 5 2 41 13 0 2 5 2 2 13 1 38 42 5 41 13 20 2 41 41 12 36 12 2 8 2 8 8 2 2 7 12 8 2 28 2 2 12 2 12 7 12 29 2 35 32 18 7 7 2 12 7 8 12 8 12 12 2 2 12 2 2 12 8 7 2 35 8 7 17 7 12 36 2 26 12 2 2 29 12 2 7 34 35 2 8 12 2 8 34 12 28 2 7 2 12 2 8 12 12 2 7 2 7 12 2 2 17 12 2 8 12 2 8 7 2 12 12 7 12 28 28 30 12 29 12 29 2 28 28 12 28 29 34 14 28 30 28 30 21 12 28 28 28 28 35 12 28 28 29 30 28 12 28 28 28 0 20 28 30 28 29 28 28 22 12 12 30 28 21 21 28 22 34 30 28 12 28 28 28 28 29 21 28 12 30 29 35 28 12 21 30 12 12 29 28 28 12 12 30 12 28 28 29 28 29 12 28 35 22 28 28 28 7 28 28 21 28 12 28 41 34 41 13 41 34 1 41 26 3 38 41 13 41 13 25 41 26 25 27 34 41 3 41 0 3 41 26 38 3 41 25 27 26 26 25 0 41 27 25 25 1 25 38 41 25 41 41 26 41 41 35 38 41 26 41 38 27 13 41 25 41 41 41 38 27 3 34 3 41 41 0 25 41 41 25 41 38 0 25 41 41 41 25 13 25 1 27 41 41 41 25 25 41 34 41 41 41 3 25"
4,5,-0.7721,0.9048,0.4421,-0.2980,0.1679,"22 12 22 21 12 21 22 21 21 12 22 21 21 17 21 21 17 22 21 12 17 12 21 21 12 21 21 17 21 21 21 21 21 21 22 11 24 21 21 12 21 21 22 17 21 12 21 21 21 36 12 22 21 17 21 21 12 21 18 21 21 21 21 22 21 22 22 21 17 21 21 22 12 21 22 17 22 21 21 21 22 21 18 21 21 17 12 21 21 21 17 21 21 21 21 21 21 18 21 21 26 24 13 17 25 23 13 18 23 23 25 25 27 25 24 25 25 25 25 25 25 25 23 25 13 38 27 25 17 1 13 3 23 25 25 38 25 23 13 25 23 25 24 23 13 23 25 25 23 25 25 23 25 1 25 23 0 27 25 27 26 25 27 25 23 1 25 23 23 25 38 27 13 23 25 38 25 25 25 23 25 26 23 0 23 25 25 13 23 25 25 3 26 27 25 26 3 27 25 26 25 17 17 18 10 17 17 17 17 18 17 17 25 25 17 17 18 18 18 18 17 2 17 17 17 17 17 25 17 25 17 17 17 2 17 18 31 2 17 18 17 18 25 17 27 17 17 17 27 27 31 17 17 25 17 17 25 25 25 25 25 17 2 25 17 26 17 17 8 27 18 10 26 17 17 17 2 17 17 17 17 2 17 17 25 17 17 25 17 18 17 17 17 25 17 18 17 27 18 17 12 24 24 41 12 23 12 38 23 12 1 1 24 31 23 12 23 0 40 23 12 12 24 24 12 12 12 41 23 23 13 13 12 13 32 12 12 12 31 41 1 3 12 16 23 0 0 12 38 12 23 12 33 12 0 40 12 24 23 12 40 12 41 12 41 31 41 41 32 12 12 12 23 12 41 24 12 12 12 12 42 12 12 12 31 12 12 38 12 12 23 0 0 12 32 23 12 41 12 41 39 21 29 12 15 39 12 34 30 12 28 19 39 1 41 12 39 30 4 11 28 39 28 39 29 11 12 12 29 39 39 39 39 39 12 42 39 39 9 39 39 11 39 39 12 30 12 39 39 37 12 12 30 12 39 29 39 30 30 33 12 6 23 4 39 12 39 9 12 32 39 39 12 12 39 39 39 10 39 39 28 24 39 39 12 11 39 39 39 39 39 12 30 39 29 39 27 30 39 39"
5,5,-0.7687,0.9231,0.5144,-0.2971,0.1716,"22 12 22 21 12 21 22 21 21 12 22 21 21 17 21 21 17 22 21 12 17 12 21 21 12 21 21 17 21 21 21 21 21 21 22 11 24 21 21 12 21 21 22 17 21 12 21 21 21 36 12 22 21 17 21 21 12 21 18 21 21 21 21 22 21 22 22 21 17 21 21 22 12 21 22 17 22 21 21 21 22 21 18 21 21 17 12 21 21 21 17 21 21 21 21 21 21 18 21 21 26 24 13 17 25 23 13 18 23 23 25 25 27 25 24 25 25 25 25 25 25 25 23 25 13 38 27 25 17 1 13 3 23 25 25 38 25 23 13 25 23 25 24 23 13 23 25 25 23 25 25 23 25 1 25 23 0 27 25 27 26 25 27 25 23 1 25 23 23 25 38 27 13 23 25 38 25 25 25 23 25 26 23 0 23 25 25 13 23 25 25 3 26 27 25 26 3 27 25 26 25 17 17 18 10 17 17 17 17 18 17 17 25 25 17 17 18 18 18 18 17 2 17 17 17 17 17 25 17 25 17 17 17 2 17 18 31 2 17 18 17 18 25 17 27 17 17 17 27 27 31 17 17 25 17 17 25 25 25 25 25 17 2 25 17 26 17 17 8 27 18 10 26 17 17 17 2 17 17 17 17 2 17 17 25 17 17 25 17 18 17 17 17 25 17 18 17 27 18 17 12 24 24 41 12 23 12 38 23 12 1 1 24 31 23 12 23 0 40 23 12 12 24 24 12 12 12 41 23 23 13 13 12 13 32 12 12 12 31 41 1 3 12 16 23 0 0 12 38 12 23 12 33 12 0 40 12 24 23 12 40 12 41 12 41 31 41 41 32 12 12 12 23 12 41 24 12 12 12 12 42 12 12 12 31 12 12 38 12 12 23 0 0 12 32 23 12 41 12 41 39 21 29 12 15 39 12 34 30 12 28 19 39 1 41 12 39 30 4 11 28 39 28 39 29 11 12 12 29 39 39 39 39 39 12 42 39 39 9 39 39 11 39 39 12 30 12 39 39 37 12 12 30 12 39 29 39 30 30 33 12 6 23 4 39 12 39 9 12 32 39 39 12 12 39 39 39 10 39 39 28 24 39 39 12 11 39 39 39 39 39 12 30 39 29 39 27 30 39 39"
6,5,-0.7585,0.9231,0.5485,-0.3034,0.1566,"22 12 22 21 12 21 22 21 21 12 22 21 21 17 21 21 17 22 21 12 17 12 21 21 12 21 21 17 21 21 21 21 21 21 22 11 24 21 21 12 21 21 22 17 21 12 21 21 21 36 12 22 21 17 21 21 12 21 18 21 21 21 21 22 21 22 22 21 17 21 21 22 12 21 22 17 22 21 21 21 22 21 18 21 21 17 12 21 21 21 17 21 21 21 21 21 21 18 21 21 26 24 13 17 25 23 13 18 23 23 25 25 27 25 24 25 25 25 25 25 25 25 23 25 13 38 27 25 17 1 13 3 23 25 25 38 25 23 13 25 23 25 24 23 13 23 25 25 23 25 25 23 25 1 25 23 0 27 25 27 26 25 27 25 23 1 25 23 23 25 38 27 13 23 25 38 25 25 25 23 25 26 23 0 23 25 25 13 23 25 25 3 26 27 25 26 3 27 25 26 25 17 17 18 10 17 17 17 17 18 17 17 25 25 17 17 18 18 18 18 17 2 17 17 17 17 17 25 17 25 17 17 17 2 17 18 31 2 17 18 17 18 25 17 27 17 17 17 27 27 31 17 17 25 17 17 25 25 25 25 25 17 2 25 17 26 17 17 8 27 18 10 26 17 17 17 2 17 17 17 17 2 17 17 25 17 17 25 17 18 17 17 17 25 17 18 17 27 18 17 12 24 24 41 12 23 12 38 23 12 1 1 24 31 23 12 23 0 40 23 12 12 24 24 12 12 12 41 23 23 13 13 12 13 32 12 12 12 31 41 1 3 12 16 23 0 0 12 38 12 23 12 33 12 0 40 12 24 23 12 40 12 41 12 41 31 41 41 32 12 12 12 23 12 41 24 12 12 12 12 42 12 12 12 31 12 12 38 12 12 23 0 0 12 32 23 12 41 12 41 39 21 29 12 15 39 12 34 30 12 28 19 39 1 41 12 39 30 4 11 28 39 28 39 29 11 12 12 29 39 39 39 39 39 12 42 39 39 9 39 39 11 39 39 12 30 12 39 39 37 12 12 30 12 39 29 39 30 30 33 12 6 23 4 39 12 39 9 12 32 39 39 12 12 39 39 39 10 39 39 28 24 39 39 12 11 39 39 39 39 39 12 30 39 29 39 27 30 39 39"
7,5,-0.7317,0.8889,0.5240,-0.3049,0.1535,"22 12 22 21 12 21 22 21 21 12 22 21 21 17 21 21 17 22 21 12 17 12 21 21 12 21 21 17 21 21 21 21 21 21 22 11 24 21 21 12 21 21 22 17 21 12 21 21 21 36 12 22 21 17 21 21 12 21 18 21 21 21 21 22 21 22 22 21 17 21 21 22 12 21 22 17 22 21 21 21 22 21 18 21 21 17 12 21 21 21 17 21 21 21 21 21 21 18 21 21 26 24 13 17 25 23 13 18 23 23 25 25 27 25 24 25 25 25 25 25 25 25 23 25 13 38 27 25 17 1 13 3 23 25 25 38 25 23 13 25 23 25 24 23 13 23 25 25 23 25 25 23 25 1 25 23 0 27 25 27 26 25 27 25 23 1 25 23 23 25 38 27 13 23 25 38 25 25 25 23 25 26 23 0 23 25 25 13 23 25 25 3 26 27 25 26 3 27 25 26 25 17 17 18 10 17 17 17 17 18 17 17 25 25 17 17 18 18 18 18 17 2 17 17 17 17 17 25 17 25 17 17 17 2 17 18 31 2 17 18 17 18 25 17 27 17 17 17 27 27 31 17 17 25 17 17 25 25 25 25 25 17 2 25 17 26 17 17 8 27 18 10 26 17 17 17 2 17 17 17 17 2 17 17 25 17 17 25 17 18 17 17 17 25 17 18 17 27 18 17 12 24 24 41 12 23 12 38 23 12 1 1 24 31 23 12 23 0 40 23 12 12 24 24 12 12 12 41 23 23 13 13 12 13 32 12 12 12 31 41 1 3 12 16 23 0 0 12 38 12 23 12 33 12 0 40 12 24 23 12 40 12 41 12 41 31 41 41 32 12 12 12 23 12 41 24 12 12 12 12 42 12 12 12 31 12 12 38 12 12 23 0 0 12 32 23 12 41 12 41 39 21 29 12 15 39 12 34 30 12 28 19 39 1 41 12 39 30 4 11 28 39 28 39 29 11 12 12 29 39 39 39 39 39 12 42 39 39 9 39 39 11 39 39 12 30 12 39 39 37 12 12 30 12 39 29 39 30 30 33 12 6 23 4 39 12 39 9 12 32 39 39 12 12 39 39 39 10 39 39 28 24 39 39 12 11 39 39 39 39 39 12 30 39 29 39 27 30 39 39"
8,5,-0.7691,0.9231,0.5133,-0.3187,0.1404,"22 12 22 21 12 21 22 21 21 12 22 21 21 17 21 21 17 22 21 12 17 12 21 21 12 21 21 17 21 21 21 21 21 21 22 11 24 21 21 12 21 21 22 17 21 12 21 21 21 36 12 22 21 17 21 21 12 21 18 21 21 21 21 22 21 22 22 21 17 21 21 22 12 21 22 17 22 21 21 21 22 21 18 21 21 17 12 21 21 21 17 21 21 21 21 21 21 18 21 21 26 24 13 17 25 23 13 18 23 23 25 25 27 25 24 25 25 25 25 25 25 25 23 25 13 38 27 25 17 1 13 3 23 25 25 38 25 23 13 25 23 25 24 23 13 23 25 25 23 25 25 23 25 1 25 23 0 27 25 27 26 25 27 25 23 1 25 23 23 25 38 27 13 23 25 38 25 25 25 23 25 26 23 0 23 25 25 13 23 25 25 3 26 27 25 26 3 27 25 26 25 17 17 18 10 17 17 17 17 18 17 17 25 25 17 17 18 18 18 18 17 2 17 17 17 17 17 25 17 25 17 17 17 2 17 18 31 2 17 18 17 18 25 17 27 17 17 17 27 27 31 17 17 25 17 17 25 25 25 25 25 17 2 25 17 26 17 17 8 27 18 10 26 17 17 17 2 17 17 17 17 2 17 17 25 17 17 25 17 18 17 17 17 25 17 18 17 27 18 17 12 24 24 41 12 23 12 38 23 12 1 1 24 31 23 12 23 0 40 23 12 12 24 24 12 12 12 41 23 23 13 13 12 13 32 12 12 12 31 41 1 3 12 16 23 0 0 12 38 12 23 12 33 12 0 40 12 24 23 12 40 12 41 12 41 31 41 41 32 12 12 12 23 12 41 24 12 12 12 12 42 12 12 12 31 12 12 38 12 12 23 0 0 12 32 23 12 41 12 41 39 21 29 12 15 39 12 34 30 12 28 19 39 1 41 12 39 30 4 11 28 39 28 39 29 11 12 12 29 39 39 39 39 39 12 42 39 39 9 39 39 11 39 39 12 30 12 39 39 37 12 12 30 12 39 29 39 30 30 33 12 6 23 4 39 12 39 9 12 32 39 39 12 12 39 39 39 10 39 39 28 24 39 39 12 11 39 39 39 39 39 12 30 39 29 39 27 30 39 39"
9,6,-0.7812,0.9200,0.4626,-0.3226,0.1404,"2 13 21 21 21 2 2 37 6 2 21 2 37 2 2 2 21 13 2 6 2 21 21 1 21 2 6 4 2 4 2 2 5 38 2 2 2 6 37 2 5 2 0 2 2 22 2 2 15 5 2 15 2 5 2 2 21 2 0 2 2 12 21 2 5 5 6 2 13 4 2 2 6 21 2 21 38 2 6 2 4 6 2 38 6 2 21 2 6 15 2 22 12 22 2 15 2 37 2 2 2 18 12 18 2 12 5 18 12 18 2 12 12 4 12 17 17 37 2 12 2 12 6 37 2 18 2 18 5 12 18 2 2 2 18 17 2 2 34 12 17 12 2 12 2 2 18 4 2 12 5 12 2 12 18 12 4 18 2 38 12 37 2 18 12 2 18 18 12 2 12 18 2 17 12 12 17 17 2 5 12 5 17 18 18 12 17 12 2 12 37 12 12 2 17 12 13 12 2 12 11 9 5 6 2 2 10 2 12 2 2 2 6 2 2 2 2 2 12 5 2 11 2 2 9 2 9 12 10 2 14 9 12 29 2 2 11 2 11 2 2 2 37 2 9 9 2 14 2 9 2 2 11 2 12 2 2 6 2 11 2 10 2 2 2 2 2 2 34 2 2 2 2 12 2 9 2 5 2 2 9 37 2 2 2 15 4 2 2 2 2 2 2 2 11 2 2 2 2 2 7 2 2 2 2 2 2 2 2 2 2 2 25 26 2 2 2 2 2 25 7 25 27 25 2 2 7 7 2 2 0 39 27 25 10 25 25 2 7 27 27 2 2 8 8 2 25 2 8 7 2 2 7 7 7 0 8 2 0 2 25 2 2 7 2 0 7 2 25 2 2 25 7 39 3 3 7 2 0 25 26 8 0 2 39 25 2 26 3 3 2 7 7 25 2 25 7 7 2 27 9 2 0 0 2 2 3 2 2 40 2 2 2 9 2 2 11 40 2 2 11 9 3 40 2 2 11 2 2 40 9 40 3 40 9 2 23 2 40 2 2 2 2 20 9 2 9 2 2 2 10 2 10 40 2 2 19 23 0 2 10 2 40 19 2 2 9 0 2 10 2 39 11 2 2 2 23 2 2 2 9 3 2 19 19 11 0 2 40 9 9 40 3 2 19 2 10 40 2 10"
